8225_274376_000000_000000	* Rush, vol. vi.	asterisk Rush, vol vi.	false	0.45	2.7	19
8225_274376_000011_000000	By the concessions which the king had granted to Scotland, it became necessary for him to summon a parliament once in three years; and in June of the subsequent year was fixed the period for the meeting of that assembly.	By the concessions which the king had granted to Scotland, it became necessary for him to summon a parliament once in three years; and in June of the subsequent year was fixed the period for the meeting of that assembly.	false	315.5	327.28	19.956291
8225_274376_000011_000001	Before that time elapsed, Charles flattered himself that he should be able, by some decisive advantage, to reduce the English parliament to a reasonable submission, and might then expect with security the meeting of a Scottish parliament.	Before that time elapsed, Charles flattered himself that he should be able, by some decisive advantage, to reduce the English parliament to a reasonable submission, and might then expect with security the meeting of a Scottish parliament.	false	327.98	341.41	21.733133
8225_274376_000011_000002	Though earnestly solicited by Loudon to summon presently that great council of the nation, he absolutely refused to give authority to men who had already excited such dangerous commotions, and who showed still the same disposition to resist and invade his authority.	Though earnestly solicited by Loudon to summon presently that great council of the nation, he absolutely refused to give authority to men who had already excited such dangerous commotions, and who showed still the same disposition to resist and invade his authority.	false	341.69	356.11	20.455603
8225_274376_000011_000003	The commissioners, therefore, not being able to prevail in any of their demands, desired the king's passport for London, where they purposed to confer with the English parliament;[*] and being likewise denied this request, they returned with extreme dissatisfaction to Edinburgh.	The commissioners, therefore, not being able to prevail in any of their demands, desired the king's passport for London, where they purposed to confer with the English parliament;[asterisk] and being likewise denied this request, they returned with extreme dissatisfaction to Edinburgh.	false	356.75	372.88	22.299728
8225_274376_000012_000000	The office of conservators of the peace was newly erected in Scotland, in order to maintain the confederacy between the two kingdoms; and these, instigated by the clergy, were resolved, since they could not obtain the king's consent, to summon in his name, but by their own authority, a convention of states; and to bereave their sovereign of this article, the only one which remained, of his prerogative.	The office of conservators of the peace was newly erected in Scotland, in order to maintain the confederacy between the two kingdoms; and these, instigated by the clergy, were resolved, since they could not obtain the king's consent, to summon in his name, but by their own authority, a convention of states; and to bereave their sovereign of this article, the only one which remained, of his prerogative.	false	373.85	397.72	21.400282
8225_274376_000012_000001	Under color of providing for national peace, endangered by the neighborhood of English armies, was a convention called; an assembly which though it meets with less solemnity, has the same authority as a parliament in raising money and levying forces.	Under color of providing for national peace, endangered by the neighborhood of English armies, was a convention called; an assembly which though it meets with less solemnity, has the same authority as a parliament in raising money and levying forces.	true	398	412.24	20.36808
8225_274376_000012_000002	Hamilton, and his brother the earl of Laneric, who had been sent into Scotland in order to oppose, these measures, wanted either authority or sincerity; and passively yielded to the torrent.	Hamilton, and his brother the earl of Laneric, who had been sent into Scotland in order to oppose, these measures, wanted either authority or sincerity; and passively yielded to the torrent.	true	412.7	424.36	20.581783
8225_274376_000012_000003	The general assembly of the church met at the same time with the convention; and exercising an authority almost absolute over the whole civil power, made every political consideration yield to their theological zeal and prejudices.	The general assembly of the church met at the same time with the convention; and exercising an authority almost absolute over the whole civil power, made every political consideration yield to their theological zeal and prejudices.	true	424.85	437.2	20
8225_274376_000013_000000	The English parliament was at that time fallen into great distress by the progress of the royal arms; and they gladly sent to Edinburgh commissioners, with ample powers to treat of a nearer union and confederacy with the Scottish nation.	The English parliament was at that time fallen into great distress by the progress of the royal arms; and they gladly sent to Edinburgh commissioners, with ample powers to treat of a nearer union and confederacy with the Scottish nation.	true	437.96	450.28	21.650105
8225_274376_000013_000001	The persons employed were the earl of Rutland, Sir William Armyne, Sir Henry Vane the younger, Thomas Hatcher, and Henry Dailey, attended by Marshall and Nye, two clergymen of signal authority.[**]	The persons employed were the earl of Rutland, Sir William Armyne, Sir Henry Vane the younger, Thomas Hatcher, and Henry Dailey, attended by Marshall and Nye, two clergymen of signal authority.[asterisk asterisk]	false	450.95	463.44	18.80179
8225_274376_000014_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	463.44	463.59	-20
8225_274376_000014_000001	p. 406.	p. four hundred six.	false	463.59	463.71	-20
8225_274376_000015_000000	** Whitlocke, p. 73.	asterisk asterisk Whitlocke, p. seventy three.	false	463.71	463.95	-20
8225_274376_000015_000001	Rush. vol. vi.	Rush. vol vi.	false	463.95	464.04	-20
8225_274376_000015_000002	p. 466.	p. four hundred sixty six.	false	464.04	464.22	10
8225_274376_000015_000003	Clarendon, vol. iii.	Clarendon, vol iii.	false	464.22	464.34	-20
8225_274376_000015_000004	p.300	p point three zero zero	false	464.34	464.52	11
8225_274376_000016_000000	In this negotiation, the man chiefly trusted was Vane, who, in eloquence, address, capacity, as well as in art and dissimulation, was not surpassed by any one even during that age, so famous for active talents.	In this negotiation, the man chiefly trusted was Vane, who, in eloquence, address, capacity, as well as in art and dissimulation, was not surpassed by any one even during that age, so famous for active talents.	true	464.52	478.3	22.871515
8225_274376_000016_000001	By his persuasion was framed, at Edinburgh, that Solemn League and Covenant, which effaced all former protestations and vows taken in both kingdoms, and long maintained its credit and authority.	By his persuasion was framed, at Edinburgh, that Solemn League and Covenant, which effaced all former protestations and vows taken in both kingdoms, and long maintained its credit and authority.	false	478.94	489.73	24.121841
8225_274376_000016_000002	In this covenant, the subscribers, besides engaging mutually to defend each other against all opponents bound themselves to endeavor, without respect of persons the extirpation of Popery and prelacy, superstition, heresy, schism, and profaneness; to maintain the rights and privileges of parliaments, together with the king's authority, and to discover and bring to justice all incendiaries and malignants.[*]	In this covenant, the subscribers, besides engaging mutually to defend each other against all opponents bound themselves to endeavor, without respect of persons the extirpation of Popery and prelacy, superstition, heresy, schism, and profaneness; to maintain the rights and privileges of parliaments, together with the king's authority, and to discover and bring to justice all incendiaries and malignants.[asterisk]	false	490.19	513.81	22.960264
8225_274376_000017_000000	* Rush vol. vi.	asterisk Rush vol vi.	false	513.81	514.02	8
8225_274376_000017_000001	p. 478.	p. four hundred seventy eight.	false	514.02	514.26	-20
8225_274376_000017_000002	Clarendon, vol iii.	Clarendon, vol iii.	false	514.26	514.38	-20
8225_274376_000017_000003	p. 373.	p. three hundred seventy three.	false	514.38	514.65	10
8225_274376_000018_000000	The subscribers of the covenant vowed also to preserve the reformed religion established in the church of Scotland; but, by the artifice of Vane, no declaration more explicit was made with regard to England and Ireland, than that these kingdoms should be reformed according to the word of God and the example of the purest churches.	The subscribers of the covenant vowed also to preserve the reformed religion established in the church of Scotland; but, by the artifice of Vane, no declaration more explicit was made with regard to England and Ireland, than that these kingdoms should be reformed according to the word of God and the example of the purest churches.	true	514.65	532.33	22
8225_274376_000018_000001	The Scottish zealots, when prelacy was abjured, deemed this expression quite free from ambiguity, and regarded their own model as the only one which corresponded in any degree to such a description: but that able politician had other views; and while he employed his great talents in overreaching the Presbyterians, and secretly laughed at their simplicity, he had blindly devoted himself to the maintenance of systems still more absurd and more dangerous.	The Scottish zealots, when prelacy was abjured, deemed this expression quite free from ambiguity, and regarded their own model as the only one which corresponded in any degree to such a description: but that able politician had other views; and while he employed his great talents in overreaching the Presbyterians, and secretly laughed at their simplicity, he had blindly devoted himself to the maintenance of systems still more absurd and more dangerous.	false	532.76	559.84	20.497873
8225_274376_000019_000000	In the English parliament there remained some members who, though they had been induced, either by private ambition or by zeal for civil liberty, to concur with the majority, still retained an attachment to the hierarchy, and to the ancient modes of worship.	In the English parliament there remained some members who, though they had been induced, either by private ambition or by zeal for civil liberty, to concur with the majority, still retained an attachment to the hierarchy, and to the ancient modes of worship.	true	560.69	575.05	20.650854
8225_274376_000019_000001	But in the present danger which threatened their cause, all scruples were laid aside; and the covenant, by whose means alone they could expect to obtain so considerable a reenforcement as the accession of the Scottish nation, was received without opposition.	But in the present danger which threatened their cause, all scruples were laid aside; and the covenant, by whose means alone they could expect to obtain so considerable a reenforcement as the accession of the Scottish nation, was received without opposition.	true	575.39	589.36	23.055977
8225_274376_000019_000002	The parliament, therefore, having first subscribed it themselves, ordered it to be received by all who lived under their authority.	The parliament, therefore, having first subscribed it themselves, ordered it to be received by all who lived under their authority.	true	590	597.25	21.945288
8225_274376_000020_000000	Great were the rejoicings among the Scots, that they should be the happy instruments of extending their mode of religion, and dissipating that profound darkness in which the neighboring nations were involved. The general assembly applauded this glorious imitation of the piety displayed by their ancestors who, they said, in three different applications, during the reign of Elizabeth, had endeavored to engage the English, by persuasion, to lay aside the use of the surplice, tippet, and corner-cap.[*] The convention, too, in the height of their zeal, ordered every one to swear to this covenant, under the penalty of confiscation; besides what further punishment it should please the ensuing parliament to inflict on the refusers, as enemies to God, to the king, and to the kingdom.	Great were the rejoicings among the Scots, that they should be the happy instruments of extending their mode of religion, and dissipating that profound darkness in which the neighboring nations were involved. The general assembly applauded this glorious imitation of the piety displayed by their ancestors who, they said, in three different applications, during the reign of Elizabeth, had endeavored to engage the English, by persuasion, to lay aside the use of the surplice, tippet, and corner cap.[asterisk] The convention, too, in the height of their zeal, ordered every one to swear to this covenant, under the penalty of confiscation; besides what further punishment it should please the ensuing parliament to inflict on the refusers, as enemies to God, to the king, and to the kingdom.	false	598.31	641.23	21.080551
8225_274376_000020_000001	And being determined that the sword should carry conviction to all refractory minds, they prepared themselves, with great vigilance and activity, for their military enterprises.	And being determined that the sword should carry conviction to all refractory minds, they prepared themselves, with great vigilance and activity, for their military enterprises.	true	641.72	651.55	22.99717
8225_274376_000020_000002	By means of a hundred thousand pounds, which they received from England; by the hopes of good pay and warm quarters; not to mention men's favorable disposition towards the cause; they soon completed their levies.	By means of a hundred thousand pounds, which they received from England; by the hopes of good pay and warm quarters; not to mention men's favorable disposition towards the cause; they soon completed their levies.	true	651.98	664.09	22.960812
8225_274376_000020_000003	And having added to their other forces the troops which they had recalled from Ireland, they were ready, about the end of the year, to enter England, under the command of their old general, the earl of Leven, with an army of above twenty thousand men.[**]	And having added to their other forces the troops which they had recalled from Ireland, they were ready, about the end of the year, to enter England, under the command of their old general, the earl of Leven, with an army of above twenty thousand men.[asterisk asterisk]	false	664.55	677.37	23.227715
8225_274376_000021_000000	* Rush., vol. vi. p 388.	asterisk Rush., vol vi. p three hundred eighty eight.	false	677.37	677.79	-20
8225_274376_000022_000000	** Clarendon, vol. iii. p 383.	asterisk asterisk Clarendon, vol iii. p three hundred eighty three.	false	677.79	678.24	12
8225_274376_000023_000000	The king, foreseeing this tempest which was gathering upon him, endeavored to secure himself by every expedient; and he cast his eye towards Ireland, in hopes that this kingdom, from which his cause had already received so much prejudice, might at length contribute somewhat towards his protection and security.	The king, foreseeing this tempest which was gathering upon him, endeavored to secure himself by every expedient; and he cast his eye towards Ireland, in hopes that this kingdom, from which his cause had already received so much prejudice, might at length contribute somewhat towards his protection and security.	false	678.24	696.13	22.939945
8225_274376_000024_000000	After the commencement of the Irish insurrection, the English parliament, though they undertook the suppression of it, had ever been too much engaged, either in military projects or expeditions at home, to take any effectual step towards finishing that enterprise.	After the commencement of the Irish insurrection, the English parliament, though they undertook the suppression of it, had ever been too much engaged, either in military projects or expeditions at home, to take any effectual step towards finishing that enterprise.	false	696.8	711.76	23.524553
8225_274376_000024_000001	They had entered, indeed, into a contract with the Scots, for sending over an army of ten thousand men into Ireland; and in order to engage that nation in this undertaking, besides giving a promise of pay, they agreed to put Caricfergus into their hands, and to invest their general with an authority quite independent of the English government.	They had entered, indeed, into a contract with the Scots, for sending over an army of ten thousand men into Ireland; and in order to engage that nation in this undertaking, besides giving a promise of pay, they agreed to put Caricfergus into their hands, and to invest their general with an authority quite independent of the English government.	true	712.16	731.29	22.101393
8225_274376_000024_000002	These troops, so long as they were allowed to remain, were useful, by diverting the force of the Irish rebels, and protecting in the north the small remnants of the British planters.	These troops, so long as they were allowed to remain, were useful, by diverting the force of the Irish rebels, and protecting in the north the small remnants of the British planters.	true	731.57	741.64	22.5121
8225_274376_000024_000003	But except this contract with the Scottish nation, all the other measures of the parliament either were hitherto absolutely insignificant, or tended rather to the prejudice of the Protestant cause in Ireland.	But except this contract with the Scottish nation, all the other measures of the parliament either were hitherto absolutely insignificant, or tended rather to the prejudice of the Protestant cause in Ireland.	true	742.22	752.65	20.441832
8225_274376_000024_000004	By continuing their violent persecution, and still more violent menaces against priests and Papists, they confirmed the Irish Catholics in their rebellion, and cut off all hopes of indulgence and toleration.	By continuing their violent persecution, and still more violent menaces against priests and Papists, they confirmed the Irish Catholics in their rebellion, and cut off all hopes of indulgence and toleration.	true	753.44	764.62	20.790327
8225_274376_000024_000005	By disposing beforehand of all the Irish forfeitures to subscribers or adventurers, they rendered all men of property desperate, and seemed to threaten a total extirpation of the natives.[*] And while they thus infused zeal and animosity into the enemy, no measure was pursued which could tend to support or encourage the Protestants, now reduced to the last extremities.	By disposing beforehand of all the Irish forfeitures to subscribers or adventurers, they rendered all men of property desperate, and seemed to threaten a total extirpation of the natives.[asterisk] And while they thus infused zeal and animosity into the enemy, no measure was pursued which could tend to support or encourage the Protestants, now reduced to the last extremities.	false	765.38	785.83	20.524607
8225_274376_000025_000000	So great is the ascendant which, from a long course of successes, the English has acquired over the Irish nation, that though the latter, when they receive military discipline among foreigners, are not surpassed by any troops, they have never, in their own country, been able to make any vigorous effort for the defence or recovery of their liberties.	So great is the ascendant which, from a long course of successes, the English has acquired over the Irish nation, that though the latter, when they receive military discipline among foreigners, are not surpassed by any troops, they have never, in their own country, been able to make any vigorous effort for the defence or recovery of their liberties.	false	786.62	805.12	19.990032
8225_274376_000025_000001	In many rencounters, the English, under Lord More, Sir William St. Leger, Sir Frederic Hamilton, and others, had, though under great disadvantages of situation and numbers, put the Irish to rout, and returned in triumph to Dublin.	In many rencounters, the English, under Lord More, Sir William st Leger, Sir Frederic Hamilton, and others, had, though under great disadvantages of situation and numbers, put the Irish to rout, and returned in triumph to Dublin.	false	805.7	819.64	21.967371
8225_274376_000025_000002	The rebels raised the siege of Tredah, after an obstinate defence made by the garrison.[**] Ormond had obtained two complete victories at Kilrush and Ross; and had brought relief to all the forts which were besieged or blockaded in different parts of the kingdom.[***]	The rebels raised the siege of Tredah, after an obstinate defence made by the garrison.[asterisk asterisk] Ormond had obtained two complete victories at Kilrush and Ross; and had brought relief to all the forts which were besieged or blockaded in different parts of the kingdom.[asterisk asterisk asterisk]	false	820.4	834.33	20.68688
8225_274376_000026_000000	* A thousand acres in Ulster were given to every one that subscribed two hundred pounds, in Connaught to the subscribers of three hundred and fifty, in Munster for four hundred and fifty, in Leinster for six hundred.	asterisk A thousand acres in Ulster were given to every one that subscribed two hundred pounds, in Connaught to the subscribers of three hundred and fifty, in Munster for four hundred and fifty, in Leinster for six hundred.	false	834.33	834.96	-20
8225_274376_000027_000000	* Rush vol. vi.	asterisk Rush vol vi.	false	834.96	835.02	-20
8225_274376_000027_000001	p. 506.	p. five hundred six.	false	835.02	835.08	-20
8225_274376_000028_000000	** Rush. vol. vi.	asterisk asterisk Rush. vol vi.	false	835.08	835.17	-20
8225_274376_000028_000001	p. 512.	p. five hundred twelve.	false	835.17	835.245	20
8225_274376_000029_000000	But notwithstanding these successes, even the most common necessaries of life were wanting to the victorious armies.	But notwithstanding these successes, even the most common necessaries of life were wanting to the victorious armies.	true	835.245	841.66	22.559843
8225_274376_000029_000001	The Irish, in their wild rage against the British planters, had laid waste the whole kingdom, and were themselves totally unfit, from their habitual sloth and ignorance, to raise any convenience of human life.	The Irish, in their wild rage against the British planters, had laid waste the whole kingdom, and were themselves totally unfit, from their habitual sloth and ignorance, to raise any convenience of human life.	true	842.27	854.74	21.196669
8225_274376_000029_000002	During the course of six months, no supplies had come from England, except the fourth part of one small vessel's lading.	During the course of six months, no supplies had come from England, except the fourth part of one small vessel's lading.	true	855.14	862	23.046047
8225_274376_000029_000003	Dublin, to save itself from starving, had been obliged to send the greater part of its inhabitants to England.	Dublin, to save itself from starving, had been obliged to send the greater part of its inhabitants to England.	true	862.52	868.96	23.060465
8225_274376_000029_000004	The army had little ammunition, scarcely exceeding forty barrels of gunpowder; not even shoes or clothes; and for want of food, the soldiers had been obliged to eat their own horses.	The army had little ammunition, scarcely exceeding forty barrels of gunpowder; not even shoes or clothes; and for want of food, the soldiers had been obliged to eat their own horses.	true	869.27	880.24	20.003668
8225_274376_000029_000005	And though the distress of the Irish was not much inferior,[*] besides that they were more hardened against such extremities, it was but a melancholy reflection, that the two nations, while they continued their furious animosities, should make desolate that fertile island, which might serve to the subsistence and happiness, of both.	And though the distress of the Irish was not much inferior,[asterisk] besides that they were more hardened against such extremities, it was but a melancholy reflection, that the two nations, while they continued their furious animosities, should make desolate that fertile island, which might serve to the subsistence and happiness, of both.	false	881	898.75	19.740911
8225_274376_000030_000000	The justices and council of Ireland had been engaged, chiefly by the interest and authority of Ormond, to fall into an entire dependence on the king.	The justices and council of Ireland had been engaged, chiefly by the interest and authority of Ormond, to fall into an entire dependence on the king.	true	899.42	908.05	21.852114
8225_274376_000030_000001	Parsons, Temple, Loftus, and Meredith, who favored the opposite party, had been removed; and Charles had supplied their place by others better affected to his service.	Parsons, Temple, Loftus, and Meredith, who favored the opposite party, had been removed; and Charles had supplied their place by others better affected to his service.	true	908.45	918.82	22.712154
8225_274376_000030_000002	A committee of the English house of commons, which had been sent over to Ireland in order to conduct the affairs of that kingdom, had been excluded the council, in obedience to orders transmitted from the king.[**] And these were reasons sufficient, besides the great difficulties under which they themselves labored, why the parliament was unwilling to send supplies to an army which, though engaged in a cause much favored by them, was commanded by their declared enemies.	A committee of the English house of commons, which had been sent over to Ireland in order to conduct the affairs of that kingdom, had been excluded the council, in obedience to orders transmitted from the king.[asterisk asterisk] And these were reasons sufficient, besides the great difficulties under which they themselves labored, why the parliament was unwilling to send supplies to an army which, though engaged in a cause much favored by them, was commanded by their declared enemies.	false	919.22	943.93	20.871973
8225_274376_000030_000003	They even intercepted some small succors sent thither by the king.	They even intercepted some small succors sent thither by the king.	true	944.42	948.1	22.91282
8225_274376_000031_000000	The king, as he had neither money, arms, ammunition, nor provisions to spare from his own urgent wants, resolved to embrace an expedient which might at once relieve the necessities of the Irish Protestants, and contribute to the advancement of his affairs in England.	The king, as he had neither money, arms, ammunition, nor provisions to spare from his own urgent wants, resolved to embrace an expedient which might at once relieve the necessities of the Irish Protestants, and contribute to the advancement of his affairs in England.	false	948.83	963.25	22.287697
8225_274376_000031_000001	A truce with the rebels, he thought, would enable his subjects in Ireland to provide for their own support, and would procure him the assistance of the army against the English parliament.	A truce with the rebels, he thought, would enable his subjects in Ireland to provide for their own support, and would procure him the assistance of the army against the English parliament.	true	963.71	973.15	22.353552
8225_274376_000031_000002	But as a treaty with a people so odious for their barbarities, and still more for their religion, might be represented in invidious colors, and renew all those calumnies with which he had been loaded, it was necessary to proceed with great caution in conducting that measure.	But as a treaty with a people so odious for their barbarities, and still more for their religion, might be represented in invidious colors, and renew all those calumnies with which he had been loaded, it was necessary to proceed with great caution in conducting that measure.	false	973.76	988.51	22.618849
