2774_131722_000001_000000	MAGNETIC ORE MILLING WORK	MAGNETIC ORE MILLING WORK
2774_131722_000016_000003	These few acres alone contained sufficient ore to supply the whole United States iron trade, including exports, for seventy years."	These few acres alone contained sufficient ore to supply the whole United States iron trade, including exports, for seventy years."
2774_131722_000018_000000	Edison realized from the start that the true solution of this problem lay in the continuous treatment of the material, with the maximum employment of natural forces and the minimum of manual labor and generated power.	Edison realized from the start that the true solution of this problem lay in the continuous treatment of the material, with the maximum employment of natural forces and the minimum of manual labor and generated power.
2774_131722_000019_000000	It is hardly necessary to devote space to the beginnings of the enterprise, although they are full of interest.	It is hardly necessary to devote space to the beginnings of the enterprise, although they are full of interest.
2774_131722_000019_000001	They served, however, to convince Edison that if he ever expected to carry out his scheme on the extensive scale planned, he could not depend upon the market to supply suitable machinery for important operations, but would be obliged to devise and build it himself.	They served, however, to convince Edison that if he ever expected to carry out his scheme on the extensive scale planned, he could not depend upon the market to supply suitable machinery for important operations, but would be obliged to devise and build it himself.
2774_131722_000020_000000	No such departure was as radical as that of the method of crushing the ore.	No such departure was as radical as that of the method of crushing the ore.
2774_131722_000020_000001	Existing machinery for this purpose had been designed on the basis of mining methods then in vogue, by which the rock was thoroughly shattered by means of high explosives and reduced to pieces of one hundred pounds or less.	Existing machinery for this purpose had been designed on the basis of mining methods then in vogue, by which the rock was thoroughly shattered by means of high explosives and reduced to pieces of one hundred pounds or less.
2774_131722_000020_000002	These pieces were then crushed by power directly applied.	These pieces were then crushed by power directly applied.
2774_131722_000020_000004	From a consideration of these facts, and with his usual tendency to upset traditional observances, Edison conceived the bold idea of constructing gigantic rolls which, by the force of momentum, would be capable of crushing individual rocks of vastly greater size than ever before attempted.	From a consideration of these facts, and with his usual tendency to upset traditional observances, Edison conceived the bold idea of constructing gigantic rolls which, by the force of momentum, would be capable of crushing individual rocks of vastly greater size than ever before attempted.
2774_131722_000020_000005	He reasoned that the advantages thus obtained would be fourfold: a minimum of machinery and parts; greater compactness; a saving of power; and greater economy in mining.	He reasoned that the advantages thus obtained would be fourfold: a minimum of machinery and parts; greater compactness; a saving of power; and greater economy in mining.
2774_131722_000020_000006	As this last-named operation precedes the crushing, let us first consider it as it was projected and carried on by him.	As this last named operation precedes the crushing, let us first consider it as it was projected and carried on by him.
2774_131722_000021_000001	The faith that "moves mountains" had a new opportunity.	The faith that "moves mountains" had a new opportunity.
2774_131722_000021_000004	Hence, he believed that only the minimum of work should be done with the costly explosive; and, therefore, planned to use dynamite merely to dislodge great masses of rock, and depended upon the steam-shovel, operated by coal under the boiler, to displace, handle, and remove the rock in detail.	Hence, he believed that only the minimum of work should be done with the costly explosive; and, therefore, planned to use dynamite merely to dislodge great masses of rock, and depended upon the steam shovel, operated by coal under the boiler, to displace, handle, and remove the rock in detail.
2774_131722_000021_000005	This was the plan that was subsequently put into practice in the great works at Edison, New Jersey.	This was the plan that was subsequently put into practice in the great works at edison new jersey.
2774_131722_000021_000006	A series of three-inch holes twenty feet deep were drilled eight feet apart, about twelve feet back of the ore-bank, and into these were inserted dynamite cartridges.	A series of three inch holes twenty feet deep were drilled eight feet apart, about twelve feet back of the ore bank, and into these were inserted dynamite cartridges.
2774_131722_000021_000007	The blast would dislodge thirty to thirty-five thousand tons of rock, which was scooped up by great steam-shovels and loaded on to skips carried by a line of cars on a narrow-gauge railroad running to and from the crushing mill.	The blast would dislodge thirty to thirty five thousand tons of rock, which was scooped up by great steam shovels and loaded on to skips carried by a line of cars on a narrow gauge railroad running to and from the crushing mill.
2774_131722_000021_000009	The problem included handling and crushing the "run of the mine," without selection.	The problem included handling and crushing the "run of the mine," without selection.
2774_131722_000021_000010	The steam-shovel did not discriminate, but picked up handily single pieces weighing five or six tons and loaded them on the skips with quantities of smaller lumps. When the skips arrived at the giant rolls, their contents were dumped automatically into a superimposed hopper.	The steam shovel did not discriminate, but picked up handily single pieces weighing five or six tons and loaded them on the skips with quantities of smaller lumps. When the skips arrived at the giant rolls, their contents were dumped automatically into a superimposed hopper.
2774_131722_000021_000011	The rolls were well named, for with ear-splitting noise they broke up in a few seconds the great pieces of rock tossed in from the skips.	The rolls were well named, for with ear splitting noise they broke up in a few seconds the great pieces of rock tossed in from the skips.
2774_131722_000022_000000	It is not easy to appreciate to the full the daring exemplified in these great crushing rolls, or rather "rock-crackers," without having watched them in operation delivering their "solar-plexus" blows.	It is not easy to appreciate to the full the daring exemplified in these great crushing rolls, or rather "rock crackers," without having watched them in operation delivering their "solar plexus" blows.
2774_131722_000023_000001	To the faces of these rolls were bolted a series of heavy, chilled-iron plates containing a number of projecting knobs two inches high.	To the faces of these rolls were bolted a series of heavy, chilled iron plates containing a number of projecting knobs two inches high.
2774_131722_000023_000003	The rolls were set face to face fourteen inches apart, in a heavy frame, and the total weight was one hundred and thirty tons, of which seventy tons were in moving parts.	The rolls were set face to face fourteen inches apart, in a heavy frame, and the total weight was one hundred and thirty tons, of which seventy tons were in moving parts.
2774_131722_000023_000004	The space between these two rolls allowed pieces of rock measuring less than fourteen inches to descend to other smaller rolls placed below.	The space between these two rolls allowed pieces of rock measuring less than fourteen inches to descend to other smaller rolls placed below.
2774_131722_000023_000005	The giant rolls were belt-driven, in opposite directions, through friction clutches, although the belt was not depended upon for the actual crushing.	The giant rolls were belt driven, in opposite directions, through friction clutches, although the belt was not depended upon for the actual crushing.
2774_131722_000023_000006	Previous to the dumping of a skip, the rolls were speeded up to a circumferential velocity of nearly a mile a minute, thus imparting to them the terrific momentum that would break up easily in a few seconds boulders weighing five or six tons each.	Previous to the dumping of a skip, the rolls were speeded up to a circumferential velocity of nearly a mile a minute, thus imparting to them the terrific momentum that would break up easily in a few seconds boulders weighing five or six tons each.
2774_131722_000023_000008	In other words, it was the kinetic energy of the rolls that crumbled up the rocks with pile-driver effect.	In other words, it was the kinetic energy of the rolls that crumbled up the rocks with pile driver effect.
2774_131722_000023_000010	The act of breaking and crushing would naturally decrease the tremendous momentum, but after the rock was reduced and the pieces had passed through, the belt would again come into play, and once more speed up the rolls for a repetition of their regular prize-fighter duty.	The act of breaking and crushing would naturally decrease the tremendous momentum, but after the rock was reduced and the pieces had passed through, the belt would again come into play, and once more speed up the rolls for a repetition of their regular prize fighter duty.
2774_131722_000024_000000	On leaving the giant rolls the rocks, having been reduced to pieces not larger than fourteen inches, passed into the series of "Intermediate Rolls" of similar construction and operation, by which they were still further reduced, and again passed on to three other sets of rolls of smaller dimensions.	On leaving the giant rolls the rocks, having been reduced to pieces not larger than fourteen inches, passed into the series of "Intermediate Rolls" of similar construction and operation, by which they were still further reduced, and again passed on to three other sets of rolls of smaller dimensions.
2774_131722_000024_000001	These latter rolls were also face-lined with chilled-iron plates; but, unlike the larger ones, were positively driven, reducing the rock to pieces of about one-half-inch size, or smaller.	These latter rolls were also face lined with chilled iron plates; but, unlike the larger ones, were positively driven, reducing the rock to pieces of about one half inch size, or smaller.
2774_131722_000024_000002	The whole crushing operation of reduction from massive boulders to small pebbly pieces having been done in less time than the telling has occupied, the product was conveyed to the "Dryer," a tower nine feet square and fifty feet high, heated from below by great open furnace fires.	The whole crushing operation of reduction from massive boulders to small pebbly pieces having been done in less time than the telling has occupied, the product was conveyed to the "Dryer," a tower nine feet square and fifty feet high, heated from below by great open furnace fires.
2774_131722_000024_000004	The crushed rock, being delivered at the top, would fall down from plate to plate, constantly exposing different surfaces to the heat, until it landed completely dried in the lower portion of the tower, where it fell into conveyors which took it up to the stock-house.	The crushed rock, being delivered at the top, would fall down from plate to plate, constantly exposing different surfaces to the heat, until it landed completely dried in the lower portion of the tower, where it fell into conveyors which took it up to the stock house.
2774_131722_000025_000000	This method of drying was original with Edison.	This method of drying was original with Edison.
2774_131722_000025_000001	At the time this adjunct to the plant was required, the best dryer on the market was of a rotary type, which had a capacity of only twenty tons per hour, with the expenditure of considerable power.	At the time this adjunct to the plant was required, the best dryer on the market was of a rotary type, which had a capacity of only twenty tons per hour, with the expenditure of considerable power.
2774_131722_000025_000002	As Edison had determined upon treating two hundred and fifty tons or more per hour, he decided to devise an entirely new type of great capacity, requiring a minimum of power (for elevating the material), and depending upon the force of gravity for handling it during the drying process.	As Edison had determined upon treating two hundred and fifty tons or more per hour, he decided to devise an entirely new type of great capacity, requiring a minimum of power (for elevating the material), and depending upon the force of gravity for handling it during the drying process.
2774_131722_000026_000003	His nature revolted at such an immense loss of power, especially as he proposed the crushing of vast quantities of ore.	His nature revolted at such an immense loss of power, especially as he proposed the crushing of vast quantities of ore.
2774_131722_000027_000000	A brief description of this remarkable machine will probably interest the reader.	A brief description of this remarkable machine will probably interest the reader.
2774_131722_000027_000001	In the two end pieces of a heavy iron frame were set three rolls, or cylinders--one in the centre, another below, and the other above--all three being in a vertical line.	In the two end pieces of a heavy iron frame were set three rolls, or cylinders-one in the centre, another below, and the other above-all three being in a vertical line.
2774_131722_000027_000005	In operation the material passed first through the upper and middle rolls, and then between the middle and lowest rolls.	In operation the material passed first through the upper and middle rolls, and then between the middle and lowest rolls.
2774_131722_000028_000000	This pressure was applied in a most ingenious manner.	This pressure was applied in a most ingenious manner.
2774_131722_000030_000000	The rocks having thus been reduced to fine powder, the mass was ready for screening on its way to the magnetic separators.	The rocks having thus been reduced to fine powder, the mass was ready for screening on its way to the magnetic separators.
2774_131722_000030_000001	Here again Edison reversed prior practice by discarding rotary screens and devising a form of tower screen, which, besides having a very large working capacity by gravity, eliminated all power except that required to elevate the material.	Here again Edison reversed prior practice by discarding rotary screens and devising a form of tower screen, which, besides having a very large working capacity by gravity, eliminated all power except that required to elevate the material.
2774_131722_000030_000002	The screening process allowed the finest part of the crushed rock to pass on, by conveyor belts, to the magnetic separators, while the coarser particles were in like manner automatically returned to the rolls for further reduction.	The screening process allowed the finest part of the crushed rock to pass on, by conveyor belts, to the magnetic separators, while the coarser particles were in like manner automatically returned to the rolls for further reduction.
2774_131722_000031_000000	In a narrative not intended to be strictly technical, it would probably tire the reader to follow this material in detail through the numerous steps attending the magnetic separation.	In a narrative not intended to be strictly technical, it would probably tire the reader to follow this material in detail through the numerous steps attending the magnetic separation.
2774_131722_000031_000002	This batch of material goes back for another crushing, so that everything is subjected to an equality of refining.	This batch of material goes back for another crushing, so that everything is subjected to an equality of refining.
2774_131722_000031_000005	Obviously, at each step the percentage of felspar and phosphorus is less and less until in the final concentrates the percentage of iron oxide is 91 to 93 per cent.	Obviously, at each step the percentage of felspar and phosphorus is less and less until in the final concentrates the percentage of iron oxide is ninety one to ninety three per cent.
2774_131722_000032_000000	This sand was transported automatically by belt conveyors to the rear of the works to be stored and sold.	This sand was transported automatically by belt conveyors to the rear of the works to be stored and sold.
2774_131722_000032_000002	The concentrate, in fine powdery form, was delivered in similar manner to a stock-house.	The concentrate, in fine powdery form, was delivered in similar manner to a stock house.
2774_131722_000033_000001	Furnacemen object to more than a very small proportion of fine ore in their mixtures, particularly when the ore is magnetic, not easily reduced.	Furnacemen object to more than a very small proportion of fine ore in their mixtures, particularly when the ore is magnetic, not easily reduced.
2774_131722_000033_000002	The problem to be solved was to market an agglomerated material so as to avoid the drawbacks of fine ore.	The problem to be solved was to market an agglomerated material so as to avoid the drawbacks of fine ore.
2774_131722_000033_000004	It must be hard enough to bear transportation, and to carry the furnace burden without crumbling to pieces.	It must be hard enough to bear transportation, and to carry the furnace burden without crumbling to pieces.
2774_131722_000033_000006	In many respects the attainment of these somewhat conflicting ends was the most perplexing of the problems which confronted Mr. Edison.	In many respects the attainment of these somewhat conflicting ends was the most perplexing of the problems which confronted mr Edison.
2774_131722_000033_000007	The agglomeration of the concentrates having been decided upon, two other considerations, not mentioned above, were of primary importance--first, to find a suitable cheap binding material; and, second, its nature must be such that very little would be necessary per ton of concentrates.	The agglomeration of the concentrates having been decided upon, two other considerations, not mentioned above, were of primary importance-first, to find a suitable cheap binding material; and, second, its nature must be such that very little would be necessary per ton of concentrates.
2774_131722_000033_000008	These severe requirements were staggering, but Mr. Edison's courage did not falter. Although it seemed a well-nigh hopeless task, he entered upon the investigation with his usual optimism and vim.	These severe requirements were staggering, but mr Edison's courage did not falter. Although it seemed a well nigh hopeless task, he entered upon the investigation with his usual optimism and vim.
2774_131722_000033_000009	After many months of unremitting toil and research, and the trial of thousands of experiments, the goal was reached in the completion of a successful formula for agglomerating the fine ore and pressing it into briquettes by special machinery."	After many months of unremitting toil and research, and the trial of thousands of experiments, the goal was reached in the completion of a successful formula for agglomerating the fine ore and pressing it into briquettes by special machinery."
2774_131722_000034_000000	This was the final process requisite for the making of a completed commercial product.	This was the final process requisite for the making of a completed commercial product.
2774_131722_000036_000000	Thus, with never-failing persistence and patience, coupled with intense thought and hard work, Edison met and conquered, one by one, the complex difficulties that confronted him.	Thus, with never failing persistence and patience, coupled with intense thought and hard work, Edison met and conquered, one by one, the complex difficulties that confronted him.
2774_131722_000037_000000	"The furnace at which the test was made produces from one hundred to one hundred and ten tons per day when running on the ordinary mixture.	"The furnace at which the test was made produces from one hundred to one hundred and ten tons per day when running on the ordinary mixture.
2774_131722_000037_000001	The charging of briquettes was begun with a percentage of 25 per cent., and was carried up to 100 per cent.	The charging of briquettes was begun with a percentage of twenty five per cent., and was carried up to one hundred per cent.
2774_131722_000037_000002	The following is the record of the results:	The following is the record of the results:
2774_131722_000041_000000	"These figures prove that the yield of the furnace is considerably increased.	"These figures prove that the yield of the furnace is considerably increased.
2774_131722_000041_000001	The Crane trial was too short to settle the question to what extent the increase in product may be carried.	The Crane trial was too short to settle the question to what extent the increase in product may be carried.
2774_131722_000041_000002	This increase in output, of course, means a reduction in the cost of labor and of general expenses.	This increase in output, of course, means a reduction in the cost of labor and of general expenses.
2774_131722_000042_000000	"The richness of the ore and its purity of course affect the limestone consumption.	"The richness of the ore and its purity of course affect the limestone consumption.
2774_131722_000042_000001	In the case of the Crane trial there was a reduction from 30 per cent. to 12 per cent. of the ore charge.	In the case of the Crane trial there was a reduction from thirty per cent. to twelve per cent. of the ore charge.
2774_131722_000043_000000	"Finally, the fuel consumption is reduced, which in the case of the Eastern plants, with their relatively costly coke, is a very important consideration.	"Finally, the fuel consumption is reduced, which in the case of the Eastern plants, with their relatively costly coke, is a very important consideration.
2774_131722_000043_000001	It is regarded as possible that Eastern furnaces will be able to use a smaller proportion of the costlier coke and correspondingly increase in anthracite coal, which is a cheaper fuel in that section.	It is regarded as possible that Eastern furnaces will be able to use a smaller proportion of the costlier coke and correspondingly increase in anthracite coal, which is a cheaper fuel in that section.
2774_131722_000043_000002	So far as foundry iron is concerned, the experience at Catasauqua, Pennsylvania, brief as it has been, shows that a stronger and tougher metal is made."	So far as foundry iron is concerned, the experience at Catasauqua, Pennsylvania, brief as it has been, shows that a stronger and tougher metal is made."
2774_131722_000044_000002	They saw I was very anxious to sell it, and they would take advantage of my necessity.	They saw I was very anxious to sell it, and they would take advantage of my necessity.
2774_131722_000044_000004	They ought to help you, for it will help us out.	They ought to help you, for it will help us out.
2774_131722_000044_000005	I am willing to help you.	I am willing to help you.
2774_131722_000044_000006	I mix a little sentiment with business, and I will give you an order for one hundred thousand tons.' And he sat right down and gave me the order."	I mix a little sentiment with business, and I will give you an order for one hundred thousand tons.' And he sat right down and gave me the order."
2774_131722_000045_000000	The Edison concentrating plant has been sketched in the briefest outline with a view of affording merely a bare idea of the great work of its projector.	The Edison concentrating plant has been sketched in the briefest outline with a view of affording merely a bare idea of the great work of its projector.
2774_131722_000045_000003	Interesting as it might be to follow at length the numerous phases of ingenious and resourceful development that took place during those busy years, the limit of present space forbids their relation.	Interesting as it might be to follow at length the numerous phases of ingenious and resourceful development that took place during those busy years, the limit of present space forbids their relation.
2774_131722_000045_000006	The second item was the ingenious and varied forms of conveyor belt, devised and used by Edison at the concentrating works, and subsequently developed into a separate and extensive business by an engineer to whom he gave permission to use his plans and patterns.	The second item was the ingenious and varied forms of conveyor belt, devised and used by Edison at the concentrating works, and subsequently developed into a separate and extensive business by an engineer to whom he gave permission to use his plans and patterns.
2774_131722_000046_000000	Edison's native shrewdness and knowledge of human nature was put to practical use in the busy days of plant construction.	Edison's native shrewdness and knowledge of human nature was put to practical use in the busy days of plant construction.
2774_131722_000046_000001	It was found impossible to keep mechanics on account of indifferent residential accommodations afforded by the tiny village, remote from civilization, among the central mountains of New Jersey.	It was found impossible to keep mechanics on account of indifferent residential accommodations afforded by the tiny village, remote from civilization, among the central mountains of New Jersey.
2774_131722_000046_000003	Fifty were quickly built and fully described in advertising for mechanics.	Fifty were quickly built and fully described in advertising for mechanics.
2774_131722_000046_000004	Three days' advertisements brought in over six hundred and fifty applications, and afterward Edison had no trouble in obtaining all the first-class men he required, as settlers in the artificial Yosemite he was creating.	Three days' advertisements brought in over six hundred and fifty applications, and afterward Edison had no trouble in obtaining all the first-class men he required, as settlers in the artificial Yosemite he was creating.
2774_131722_000047_000001	During some of these waits Mr. Edison had seen me play billiards.	During some of these waits mr Edison had seen me play billiards.
2774_131722_000047_000002	At the particular time this incident happened, Mrs. Edison and her family were away for the summer, and I was staying at the Glenmont home on the Orange Mountains.	At the particular time this incident happened, mrs Edison and her family were away for the summer, and I was staying at the Glenmont home on the Orange Mountains.
2774_131722_000048_000002	I took off the cloth, got out the balls, picked out a cue for Mr. Edison, and when we banked for the first shot I won and started the game.	I took off the cloth, got out the balls, picked out a cue for mr Edison, and when we banked for the first shot I won and started the game.
2774_131722_000048_000003	After making two or three shots I missed, and a long carom shot was left for Mr. Edison, the cue ball and object ball being within about twelve inches of each other, and the other ball a distance of nearly the length of the table.	After making two or three shots I missed, and a long carom shot was left for mr Edison, the cue ball and object ball being within about twelve inches of each other, and the other ball a distance of nearly the length of the table.
2774_131722_000048_000004	Mr. Edison attempted to make the shot, but missed it and said 'Put the balls back.' So I put them back in the same position and he missed it the second time.	mr Edison attempted to make the shot, but missed it and said 'Put the balls back.' So I put them back in the same position and he missed it the second time.
2774_131722_000048_000005	I continued at his request to put the balls back in the same position for the next fifteen minutes, until he could make the shot every time--then he said: 'I don't want to play any more.'"	I continued at his request to put the balls back in the same position for the next fifteen minutes, until he could make the shot every time-then he said: 'I don't want to play any more.'"
2774_131722_000049_000002	In the patient solving of tremendous problems he had toiled up the mountain-side of success--scaling its topmost peak and obtaining a view of the boundless prospect.	In the patient solving of tremendous problems he had toiled up the mountain side of success-scaling its topmost peak and obtaining a view of the boundless prospect.
2774_131722_000049_000003	But, alas!	But, alas!
2774_131722_000049_000006	At the former price he could have supplied the market and earned a liberal profit on his investment, but at $3.50 per ton he was left without a reasonable chance of competition.	At the former price he could have supplied the market and earned a liberal profit on his investment, but at three dollars and fifty cents per ton he was left without a reasonable chance of competition.
2774_131722_000049_000007	Thus was swept away the possibility of reaping the reward so richly earned by years of incessant thought, labor, and care.	Thus was swept away the possibility of reaping the reward so richly earned by years of incessant thought, labor, and care.
2774_131722_000049_000008	This great and notable plant, representing a very large outlay of money, brought to completion, ready for business, and embracing some of the most brilliant and remarkable of Edison's inventions and methods, must be abandoned by force of circumstances over which he had no control, and with it must die the high hopes that his progressive, conquering march to success had legitimately engendered.	This great and notable plant, representing a very large outlay of money, brought to completion, ready for business, and embracing some of the most brilliant and remarkable of Edison's inventions and methods, must be abandoned by force of circumstances over which he had no control, and with it must die the high hopes that his progressive, conquering march to success had legitimately engendered.
2774_131722_000050_000000	The financial aspect of these enterprises is often overlooked and forgotten.	The financial aspect of these enterprises is often overlooked and forgotten.
2774_131722_000050_000001	In this instance it was of more than usual import and seriousness, as Edison was virtually his own "backer," putting into the company almost the whole of all the fortune his inventions had brought him.	In this instance it was of more than usual import and seriousness, as Edison was virtually his own "backer," putting into the company almost the whole of all the fortune his inventions had brought him.
2774_131722_000050_000003	It is an absolute fact that the great electrical inventors and the men who stood behind them have had little return for their foresight and courage.	It is an absolute fact that the great electrical inventors and the men who stood behind them have had little return for their foresight and courage.
2774_131722_000050_000005	Let Mr. Mallory give an instance: "During the latter part of the panic of 1893 there came a period when we were very hard up for ready cash, due largely to the panicky conditions; and a large pay-roll had been raised with considerable difficulty.	Let mr Mallory give an instance: "During the latter part of the panic of eighteen ninety three there came a period when we were very hard up for ready cash, due largely to the panicky conditions; and a large pay roll had been raised with considerable difficulty.
2774_131722_000050_000007	When I had finished he said: 'It is too bad the money is gone, but I will tell you what to do.	When I had finished he said: 'It is too bad the money is gone, but I will tell you what to do.
2774_131722_000050_000008	Go and see the president of the bank which paid the forged checks. Get him to admit the bank's liability, and then say to him that Mr. Edison does not think the bank should suffer because he happened to have a dishonest clerk in his employ.	Go and see the president of the bank which paid the forged checks. Get him to admit the bank's liability, and then say to him that mr Edison does not think the bank should suffer because he happened to have a dishonest clerk in his employ.
2774_131722_000050_000009	Also say to him that I shall not ask them to make the amount good.' This was done; the bank admitting its liability and being much pleased with this action.	Also say to him that I shall not ask them to make the amount good.' This was done; the bank admitting its liability and being much pleased with this action.
2774_131722_000050_000010	When I reported to Mr. Edison he said: 'That's all right.	When I reported to mr Edison he said: 'That's all right.
2774_131722_000051_000000	This iron-ore concentrating project had lain close to Edison's heart and ambition--indeed, it had permeated his whole being to the exclusion of almost all other investigations or inventions for a while.	This iron ore concentrating project had lain close to Edison's heart and ambition-indeed, it had permeated his whole being to the exclusion of almost all other investigations or inventions for a while.
2774_131722_000051_000001	For five years he had lived and worked steadily at Edison, leaving there only on Saturday night to spend Sunday at his home in Orange, and returning to the plant by an early train on Monday morning.	For five years he had lived and worked steadily at Edison, leaving there only on Saturday night to spend Sunday at his home in Orange, and returning to the plant by an early train on Monday morning.
2774_131722_000051_000004	Even the scenery is austere.	Even the scenery is austere.
2774_131722_000054_000000	"In the discussion that followed he suggested several kinds of work which he had in his mind, and which might prove profitable.	"In the discussion that followed he suggested several kinds of work which he had in his mind, and which might prove profitable.
