2774_131722_000000_000000	CHAPTER XIX	CHAPTER nineteen	false	0.33	22.965	22.667292
2774_131722_000013_000001	His genius as an inventor is revealed in many details of the great concentrating plant....	His genius as an inventor is revealed in many details of the great concentrating plant....	true	501.89	507.04	23.461683
2774_131722_000013_000002	But to our mind, originality of the highest type as a constructor and designer appears in the bold way in which he sweeps aside accepted practice in this particular field and attains results not hitherto approached.	But to our mind, originality of the highest type as a constructor and designer appears in the bold way in which he sweeps aside accepted practice in this particular field and attains results not hitherto approached.	false	507.05	519.73	22.996468
2774_131722_000013_000003	He pursues methods in ore-dressing at which those who are trained in the usual practice may well stand aghast. But considering the special features of the problems to be solved, his methods will be accepted as those economically wise and expedient."	He pursues methods in ore dressing at which those who are trained in the usual practice may well stand aghast. But considering the special features of the problems to be solved, his methods will be accepted as those economically wise and expedient."	false	520.28	533.08	21.918379
2774_131722_000014_000000	A cursory glance at these problems will reveal their import.	A cursory glance at these problems will reveal their import.	true	533.15	536.565	22.883343
2774_131722_000014_000001	Mountains must be reduced to dust; all this dust must be handled in detail, so to speak, and from it must be separated the fine particles of iron constituting only one-fourth or one-fifth of its mass; and then this iron-ore dust must be put into such shape that it could be commercially shipped and used.	Mountains must be reduced to dust; all this dust must be handled in detail, so to speak, and from it must be separated the fine particles of iron constituting only one fourth or one fifth of its mass; and then this iron ore dust must be put into such shape that it could be commercially shipped and used.	false	536.565	552.97	23.792166
2774_131722_000014_000002	One of the most interesting and striking investigations made by Edison in this connection is worthy of note, and may be related in his own words: "I felt certain that there must be large bodies of magnetite in the East, which if crushed and concentrated would satisfy the wants of the Eastern furnaces for steel-making. Having determined to investigate the mountain regions of New Jersey, I constructed a very sensitive magnetic needle, which would dip toward the earth if brought over any considerable body of magnetic iron ore.	One of the most interesting and striking investigations made by Edison in this connection is worthy of note, and may be related in his own words: "I felt certain that there must be large bodies of magnetite in the East, which if crushed and concentrated would satisfy the wants of the Eastern furnaces for steel making. Having determined to investigate the mountain regions of New Jersey, I constructed a very sensitive magnetic needle, which would dip toward the earth if brought over any considerable body of magnetic iron ore.	false	553.19	579.82	22
2774_131722_000014_000003	One of my laboratory assistants went out with me and we visited many of the mines of New Jersey, but did not find deposits of any magnitude. One day, however, as we drove over a mountain range, not known as iron-bearing land, I was astonished to find that the needle was strongly attracted and remained so; thus indicating that the whole mountain was underlaid with vast bodies of magnetic ore.	One of my laboratory assistants went out with me and we visited many of the mines of New Jersey, but did not find deposits of any magnitude. One day, however, as we drove over a mountain range, not known as iron bearing land, I was astonished to find that the needle was strongly attracted and remained so; thus indicating that the whole mountain was underlaid with vast bodies of magnetic ore.	false	580.16	600.46	21
2774_131722_000015_000000	"I knew it was a commercial problem to produce high-grade Bessemer ore from these deposits, and took steps to acquire a large amount of the property.	"I knew it was a commercial problem to produce high grade Bessemer ore from these deposits, and took steps to acquire a large amount of the property.	true	600.86	608.14	24.128016
2774_131722_000015_000001	I also planned a great magnetic survey of the East, and I believe it remains the most comprehensive of its kind yet performed.	I also planned a great magnetic survey of the East, and I believe it remains the most comprehensive of its kind yet performed.	true	608.3	614.74	22.716347
2774_131722_000015_000002	I had a number of men survey a strip reaching from Lower Canada to North Carolina.	I had a number of men survey a strip reaching from Lower Canada to North Carolina.	true	614.84	619.36	22
2774_131722_000015_000003	The only instrument we used was the special magnetic needle. We started in Lower Canada and travelled across the line of march twenty-five miles; then advanced south one thousand feet; then back across the line of march again twenty-five miles; then south another thousand feet, across again, and so on.	The only instrument we used was the special magnetic needle. We started in Lower Canada and travelled across the line of march twenty five miles; then advanced south one thousand feet; then back across the line of march again twenty five miles; then south another thousand feet, across again, and so on.	true	619.58	637.12	22.288134
2774_131722_000015_000004	Thus we advanced all the way to North Carolina, varying our cross-country march from two to twenty-five miles, according to geological formation.	Thus we advanced all the way to North Carolina, varying our cross-country march from two to twenty five miles, according to geological formation.	true	637.43	645.97	23.246801
2774_131722_000015_000005	Our magnetic needle indicated the presence and richness of the invisible deposits of magnetic ore. We kept minute records of these indications, and when the survey was finished we had exact information of the deposits in every part of each State we had passed through.	Our magnetic needle indicated the presence and richness of the invisible deposits of magnetic ore. We kept minute records of these indications, and when the survey was finished we had exact information of the deposits in every part of each State we had passed through.	false	646.22	659.89	22.663216
2774_131722_000015_000006	We also knew the width, length, and approximate depth of every one of these deposits, which were enormous.	We also knew the width, length, and approximate depth of every one of these deposits, which were enormous.	true	659.99	666.16	24.392523
2774_131722_000016_000000	"The amount of ore disclosed by this survey was simply fabulous.	"The amount of ore disclosed by this survey was simply fabulous.	true	666.71	670.33	23
2774_131722_000016_000001	How much so may be judged from the fact that in the three thousand acres immediately surrounding the mills that I afterward established at Edison there were over 200,000,000 tons of low-grade ore.	How much so may be judged from the fact that in the three thousand acres immediately surrounding the mills that I afterward established at Edison there were over two hundred million tons of low grade ore.	false	670.52	680.86	23
2774_131722_000016_000002	I also secured sixteen thousand acres in which the deposit was proportionately as large.	I also secured sixteen thousand acres in which the deposit was proportionately as large.	true	680.9	686.14	22.980423
2774_131722_000016_000003	These few acres alone contained sufficient ore to supply the whole United States iron trade, including exports, for seventy years."	These few acres alone contained sufficient ore to supply the whole United States iron trade, including exports, for seventy years."	true	686.45	693.91	23.24142
2774_131722_000017_000000	Given a mountain of rock containing only one-fifth to one-fourth magnetic iron, the broad problem confronting Edison resolved itself into three distinct parts--first, to tear down the mountain bodily and grind it to powder; second, to extract from this powder the particles of iron mingled in its mass; and, third, to accomplish these results at a cost sufficiently low to give the product a commercial value.	Given a mountain of rock containing only one fifth to one fourth magnetic iron, the broad problem confronting Edison resolved itself into three distinct parts-first, to tear down the mountain bodily and grind it to powder; second, to extract from this powder the particles of iron mingled in its mass; and, third, to accomplish these results at a cost sufficiently low to give the product a commercial value.	false	694.04	716.8	24.344196
2774_131722_000018_000000	Edison realized from the start that the true solution of this problem lay in the continuous treatment of the material, with the maximum employment of natural forces and the minimum of manual labor and generated power.	Edison realized from the start that the true solution of this problem lay in the continuous treatment of the material, with the maximum employment of natural forces and the minimum of manual labor and generated power.	true	717.17	728.5	21
2774_131722_000018_000001	Hence, all his conceptions followed this general principle so faithfully and completely that we find in the plant embodying his ideas the forces of momentum and gravity steadily in harness and keeping the traces taut; while there was no touch of the human hand upon the material from the beginning of the treatment to its finish--the staff being employed mainly to keep watch on the correct working of the various processes.	Hence, all his conceptions followed this general principle so faithfully and completely that we find in the plant embodying his ideas the forces of momentum and gravity steadily in harness and keeping the traces taut; while there was no touch of the human hand upon the material from the beginning of the treatment to its finish-the staff being employed mainly to keep watch on the correct working of the various processes.	false	728.51	749.59	22.358374
2774_131722_000019_000000	It is hardly necessary to devote space to the beginnings of the enterprise, although they are full of interest.	It is hardly necessary to devote space to the beginnings of the enterprise, although they are full of interest.	true	750.2	755.53	24.762402
2774_131722_000019_000001	They served, however, to convince Edison that if he ever expected to carry out his scheme on the extensive scale planned, he could not depend upon the market to supply suitable machinery for important operations, but would be obliged to devise and build it himself.	They served, however, to convince Edison that if he ever expected to carry out his scheme on the extensive scale planned, he could not depend upon the market to supply suitable machinery for important operations, but would be obliged to devise and build it himself.	true	755.69	769.6	23.469103
2774_131722_000019_000002	Thus, outside the steam-shovel and such staple items as engines, boilers, dynamos, and motors, all of the diverse and complex machinery of the entire concentrating plant, as subsequently completed, was devised by him especially for the purpose. The necessity for this was due to the many radical variations made from accepted methods.	Thus, outside the steam shovel and such staple items as engines, boilers, dynamos, and motors, all of the diverse and complex machinery of the entire concentrating plant, as subsequently completed, was devised by him especially for the purpose. The necessity for this was due to the many radical variations made from accepted methods.	false	769.7	789.28	22.514174
2774_131722_000020_000000	No such departure was as radical as that of the method of crushing the ore.	No such departure was as radical as that of the method of crushing the ore.	true	789.95	794.26	22
2774_131722_000020_000001	Existing machinery for this purpose had been designed on the basis of mining methods then in vogue, by which the rock was thoroughly shattered by means of high explosives and reduced to pieces of one hundred pounds or less.	Existing machinery for this purpose had been designed on the basis of mining methods then in vogue, by which the rock was thoroughly shattered by means of high explosives and reduced to pieces of one hundred pounds or less.	true	794.45	805.48	22
2774_131722_000020_000002	These pieces were then crushed by power directly applied.	These pieces were then crushed by power directly applied.	true	806.12	809.17	24.35409
2774_131722_000020_000003	If a concentrating mill, planned to treat five or six thousand tons per day, were to be operated on this basis the investment in crushers and the supply of power would be enormous, to say nothing of the risk of frequent breakdowns by reason of multiplicity of machinery and parts.	If a concentrating mill, planned to treat five or six thousand tons per day, were to be operated on this basis the investment in crushers and the supply of power would be enormous, to say nothing of the risk of frequent breakdowns by reason of multiplicity of machinery and parts.	false	809.3	823.27	22.206722
2774_131722_000020_000004	From a consideration of these facts, and with his usual tendency to upset traditional observances, Edison conceived the bold idea of constructing gigantic rolls which, by the force of momentum, would be capable of crushing individual rocks of vastly greater size than ever before attempted.	From a consideration of these facts, and with his usual tendency to upset traditional observances, Edison conceived the bold idea of constructing gigantic rolls which, by the force of momentum, would be capable of crushing individual rocks of vastly greater size than ever before attempted.	true	823.64	839.17	22.06165
2774_131722_000020_000005	He reasoned that the advantages thus obtained would be fourfold: a minimum of machinery and parts; greater compactness; a saving of power; and greater economy in mining.	He reasoned that the advantages thus obtained would be fourfold: a minimum of machinery and parts; greater compactness; a saving of power; and greater economy in mining.	true	839.72	849.4	23.908573
2774_131722_000020_000006	As this last-named operation precedes the crushing, let us first consider it as it was projected and carried on by him.	As this last named operation precedes the crushing, let us first consider it as it was projected and carried on by him.	true	849.62	855.25	22.43107
2774_131722_000021_000000	Perhaps quarrying would be a better term than mining in this case, as Edison's plan was to approach the rock and tear it down bodily.	Perhaps quarrying would be a better term than mining in this case, as Edison's plan was to approach the rock and tear it down bodily.	false	855.65	862	24.384733
2774_131722_000021_000001	The faith that "moves mountains" had a new opportunity.	The faith that "moves mountains" had a new opportunity.	true	862.43	865.09	21.990265
2774_131722_000021_000002	In work of this nature it had been customary, as above stated, to depend upon a high explosive, such as dynamite, to shatter and break the ore to lumps of one hundred pounds or less.	In work of this nature it had been customary, as above stated, to depend upon a high explosive, such as dynamite, to shatter and break the ore to lumps of one hundred pounds or less.	false	865.49	874.27	21
2774_131722_000021_000003	This, however, he deemed to be a most uneconomical process, for energy stored as heat units in dynamite at $260 per ton was much more expensive than that of calories in a ton of coal at $3 per ton.	This, however, he deemed to be a most uneconomical process, for energy stored as heat units in dynamite at two hundred sixty dollars per ton was much more expensive than that of calories in a ton of coal at three dollars per ton.	false	874.67	886.72	22.85511
2774_131722_000021_000004	Hence, he believed that only the minimum of work should be done with the costly explosive; and, therefore, planned to use dynamite merely to dislodge great masses of rock, and depended upon the steam-shovel, operated by coal under the boiler, to displace, handle, and remove the rock in detail.	Hence, he believed that only the minimum of work should be done with the costly explosive; and, therefore, planned to use dynamite merely to dislodge great masses of rock, and depended upon the steam shovel, operated by coal under the boiler, to displace, handle, and remove the rock in detail.	true	887.09	901.63	23.079792
2774_131722_000021_000005	This was the plan that was subsequently put into practice in the great works at Edison, New Jersey.	This was the plan that was subsequently put into practice in the great works at edison new jersey.	true	901.73	906.34	24.99715
2774_131722_000021_000006	A series of three-inch holes twenty feet deep were drilled eight feet apart, about twelve feet back of the ore-bank, and into these were inserted dynamite cartridges.	A series of three inch holes twenty feet deep were drilled eight feet apart, about twelve feet back of the ore bank, and into these were inserted dynamite cartridges.	true	906.68	914.95	25.083452
2774_131722_000021_000007	The blast would dislodge thirty to thirty-five thousand tons of rock, which was scooped up by great steam-shovels and loaded on to skips carried by a line of cars on a narrow-gauge railroad running to and from the crushing mill.	The blast would dislodge thirty to thirty five thousand tons of rock, which was scooped up by great steam shovels and loaded on to skips carried by a line of cars on a narrow gauge railroad running to and from the crushing mill.	true	915.47	927.04	23
2774_131722_000021_000008	Here the material was automatically delivered to the giant rolls.	Here the material was automatically delivered to the giant rolls.	false	927.53	930.82	22.54127
2774_131722_000021_000009	The problem included handling and crushing the "run of the mine," without selection.	The problem included handling and crushing the "run of the mine," without selection.	true	931.01	935.05	21.420715
2774_131722_000021_000010	The steam-shovel did not discriminate, but picked up handily single pieces weighing five or six tons and loaded them on the skips with quantities of smaller lumps. When the skips arrived at the giant rolls, their contents were dumped automatically into a superimposed hopper.	The steam shovel did not discriminate, but picked up handily single pieces weighing five or six tons and loaded them on the skips with quantities of smaller lumps. When the skips arrived at the giant rolls, their contents were dumped automatically into a superimposed hopper.	true	935.27	949.24	24.041946
2774_131722_000021_000011	The rolls were well named, for with ear-splitting noise they broke up in a few seconds the great pieces of rock tossed in from the skips.	The rolls were well named, for with ear splitting noise they broke up in a few seconds the great pieces of rock tossed in from the skips.	true	949.49	956.29	23.024958
2774_131722_000022_000000	It is not easy to appreciate to the full the daring exemplified in these great crushing rolls, or rather "rock-crackers," without having watched them in operation delivering their "solar-plexus" blows.	It is not easy to appreciate to the full the daring exemplified in these great crushing rolls, or rather "rock crackers," without having watched them in operation delivering their "solar plexus" blows.	true	957.08	968.08	23.669731
2774_131722_000022_000001	It was only as one might stand in their vicinity and hear the thunderous roar accompanying the smashing and rending of the massive rocks as they disappeared from view that the mind was overwhelmed with a sense of the magnificent proportions of this operation.	It was only as one might stand in their vicinity and hear the thunderous roar accompanying the smashing and rending of the massive rocks as they disappeared from view that the mind was overwhelmed with a sense of the magnificent proportions of this operation.	false	968.33	980.89	18
2774_131722_000022_000002	The enormous force exerted during this process may be illustrated from the fact that during its development, in running one of the early forms of rolls, pieces of rock weighing more than half a ton would be shot up in the air to a height of twenty or twenty-five feet.	The enormous force exerted during this process may be illustrated from the fact that during its development, in running one of the early forms of rolls, pieces of rock weighing more than half a ton would be shot up in the air to a height of twenty or twenty five feet.	false	981.14	995.17	22.282145
2774_131722_000023_000000	The giant rolls were two solid cylinders, six feet in diameter and five feet long, made of cast iron.	The giant rolls were two solid cylinders, six feet in diameter and five feet long, made of cast iron.	false	995.87	1001.26	22
2774_131722_000023_000001	To the faces of these rolls were bolted a series of heavy, chilled-iron plates containing a number of projecting knobs two inches high.	To the faces of these rolls were bolted a series of heavy, chilled iron plates containing a number of projecting knobs two inches high.	true	1001.57	1008.07	21
2774_131722_000023_000002	Each roll had also two rows of four-inch knobs, intended to strike a series of hammer-like blows.	Each roll had also two rows of four inch knobs, intended to strike a series of hammer like blows.	true	1008.77	1014.28	19
2774_131722_000023_000003	The rolls were set face to face fourteen inches apart, in a heavy frame, and the total weight was one hundred and thirty tons, of which seventy tons were in moving parts.	The rolls were set face to face fourteen inches apart, in a heavy frame, and the total weight was one hundred and thirty tons, of which seventy tons were in moving parts.	true	1014.56	1023.61	23.53346
2774_131722_000023_000004	The space between these two rolls allowed pieces of rock measuring less than fourteen inches to descend to other smaller rolls placed below.	The space between these two rolls allowed pieces of rock measuring less than fourteen inches to descend to other smaller rolls placed below.	true	1024.13	1031.05	21
