4243_187024_000000_000000	CHAPTER 29	CHAPTER twenty nine
4243_187024_000027_000003	Where's that, on this tippy-top of a hill?" Amos asked, looking about.	Where's that, on this tippy top of a hill?" amos asked, looking about.
4243_187024_000028_000000	"The ledge near where we climbed up.	"The ledge near where we climbed up.
4243_187024_000028_000001	That's big enough," Chris reminded him.	That's big enough," Chris reminded him.
4243_187024_000029_000000	"Oh yes," Amos said, looking wise.	"Oh yes," amos said, looking wise.
4243_187024_000030_000000	"Well," Chris took up again, "you put the package on the ledge and strike the ground three times--"	"Well," Chris took up again, "you put the package on the ledge and strike the ground three times-"
4243_187024_000031_000000	"Like this?" And before Chris could stop him, Amos had struck the earth beside him twice before Chris seized his hand in mid-air.	"Like this?" And before Chris could stop him, amos had struck the earth beside him twice before Chris seized his hand in mid-air.
4243_187024_000032_000002	If someone comes after you, or if I don't come back.	If someone comes after you, or if I don't come back.
4243_187024_000033_000000	Amos raised his right hand looking very solemn.	amos raised his right hand looking very solemn.
4243_187024_000033_000001	"I promise," he said. "Only," he added, looking bewildered and already somewhat forlorn, "what happens when I do hit three times?"	"I promise," he said. "Only," he added, looking bewildered and already somewhat forlorn, "what happens when I do hit three times?"
4243_187024_000035_000000	"A what?" Amos stuck his head forward, trying hard to understand.	"A what?" amos stuck his head forward, trying hard to understand.
4243_187024_000036_000001	Oh."	Oh."
4243_187024_000037_000000	Chris stopped and stared at Amos.	Chris stopped and stared at amos.
4243_187024_000037_000001	Perhaps balloons had not yet been invented.	Perhaps balloons had not yet been invented.
4243_187024_000037_000002	How very confusing!	How very confusing!
4243_187024_000038_000000	"It's something that will hold you up in the air.	"It's something that will hold you up in the air.
4243_187024_000038_000001	There's a basket for you to sit in--"	There's a basket for you to sit in-"
4243_187024_000039_000002	Not me."	Not me."
4243_187024_000040_000000	Chris was becoming exasperated.	Chris was becoming exasperated.
4243_187024_000040_000001	He had important things to do.	He had important things to do.
4243_187024_000041_000000	"Look, Amos.	"Look, amos.
4243_187024_000041_000001	If you have to use it, you'll be in such a bad fix that being up in the air will seem like the very best thing that could happen.	If you have to use it, you'll be in such a bad fix that being up in the air will seem like the very best thing that could happen.
4243_187024_000041_000002	Stop running.	Stop running.
4243_187024_000041_000003	I'll be back--I hope."	I'll be back-I hope."
4243_187024_000042_000000	He turned away toward the ledge and clearing.	He turned away toward the ledge and clearing.
4243_187024_000043_000000	"And now, wish me luck, and stay here and wait for me.	"And now, wish me luck, and stay here and wait for me.
4243_187024_000043_000001	Don't follow me now, or watch, or I might fail."	Don't follow me now, or watch, or I might fail."
4243_187024_000044_000000	Amos jumped up from the pine-covered ground.	amos jumped up from the pine covered ground.
4243_187024_000044_000001	"Oh, Chris!" he cried, his voice sharp with distress, "can't I go?	"Oh, Chris!" he cried, his voice sharp with distress, "can't I go?
4243_187024_000044_000002	You might get hurt. There's no telling what could happen if you're all alone!"	You might get hurt. There's no telling what could happen if you're all alone!"
4243_187024_000046_000000	"No," he said after a long moment.	"No," he said after a long moment.
4243_187024_000046_000001	"Better not.	"Better not.
4243_187024_000046_000002	But I'd sure like to, Amos.	But I'd sure like to, amos.
4243_187024_000046_000003	Now don't lose that package.	Now don't lose that package.
4243_187024_000046_000004	It's your escape.	It's your escape.
4243_187024_000046_000005	Wish me luck."	Wish me luck."
4243_187024_000047_000000	Amos clasped his hand, and then, rushing off, dashed back again.	amos clasped his hand, and then, rushing off, dashed back again.
4243_187024_000048_000000	"Here, Chris.	"Here, Chris.
4243_187024_000048_000001	Our fruits.	Our fruits.
4243_187024_000048_000002	Better not to eat strange food in this foreigny place.	Better not to eat strange food in this foreigny place.
4243_187024_000048_000003	Good luck," he added.	Good luck," he added.
4243_187024_000049_000000	Chris stuffed the dried fruit in his pocket.	Chris stuffed the dried fruit in his pocket.
4243_187024_000049_000001	Amos turned back into the darkening pine knoll, and Chris pushed his way out to the narrow steep ledge, hanging high above the roofs of Peking.	amos turned back into the darkening pine knoll, and Chris pushed his way out to the narrow steep ledge, hanging high above the roofs of Peking.
4243_187024_000050_000000	Chris uncoiled the magic rope from around his waist, and standing as far out on the rock ledge as he dared, in order to have the greatest possible freedom of movement, he attempted for the first time to draw an eagle in the air with the rope.	Chris uncoiled the magic rope from around his waist, and standing as far out on the rock ledge as he dared, in order to have the greatest possible freedom of movement, he attempted for the first time to draw an eagle in the air with the rope.
4243_187024_000050_000001	It was a complicated, fast maneuver.	It was a complicated, fast maneuver.
4243_187024_000050_000003	Its wings were not wide enough, its back very insecure to look at.	Its wings were not wide enough, its back very insecure to look at.
4243_187024_000050_000004	In short, Chris knew, it was a total failure.	In short, Chris knew, it was a total failure.
4243_187024_000051_000000	He tried again, racing against the oncoming darkness, and this time he succeeded, although, when he pulled it close and straddled the body of the magic bird, his heart was in his throat that it might unfurl itself, become just a rope, and hurl him to his death far below.	He tried again, racing against the oncoming darkness, and this time he succeeded, although, when he pulled it close and straddled the body of the magic bird, his heart was in his throat that it might unfurl itself, become just a rope, and hurl him to his death far below.
4243_187024_000052_000000	But this second eagle seemed secure enough.	But this second eagle seemed secure enough.
4243_187024_000052_000001	Chris pressed his hands on the wings spread out on either side, with a jolt they flapped, and the boy's strange conveyance moved somewhat unsteadily through the air.	Chris pressed his hands on the wings spread out on either side, with a jolt they flapped, and the boy's strange conveyance moved somewhat unsteadily through the air.
4243_187024_000053_000000	Chris, frightened but resolute, found that by touching the head of the bird in the direction he wanted to go, the magic eagle would turn, and after a few moments to test out his new method of travel, Chris coasted over the gaily tiled roofs as he hunted for something.	Chris, frightened but resolute, found that by touching the head of the bird in the direction he wanted to go, the magic eagle would turn, and after a few moments to test out his new method of travel, Chris coasted over the gaily tiled roofs as he hunted for something.
4243_187024_000055_000000	Peking at that time had many palaces.	Peking at that time had many palaces.
4243_187024_000055_000001	Wealthy Chinese and people of title and family owned beautiful houses set in terraced gardens surrounded by parks and ancient trees.	Wealthy Chinese and people of title and family owned beautiful houses set in terraced gardens surrounded by parks and ancient trees.
4243_187024_000055_000002	Somewhere, Chris had heard of this and remembered it, and now in the dusk that was nearly night, the eagle carried him silently over the city as he looked for what he wanted to find.	Somewhere, Chris had heard of this and remembered it, and now in the dusk that was nearly night, the eagle carried him silently over the city as he looked for what he wanted to find.
4243_187024_000056_000001	Pools of water reflected the first stars among their lilypads.	Pools of water reflected the first stars among their lilypads.
4243_187024_000056_000002	The shaded walks and lawns were deserted at that hour.	The shaded walks and lawns were deserted at that hour.
