225_131256_000000_000000	IV.	i v.	false	3.66	5.49	25.044266
225_131256_000004_000000	The burden of Mrs. Manson Mingott's flesh had long since made it impossible for her to go up and down stairs, and with characteristic independence she had made her reception rooms upstairs and established herself (in flagrant violation of all the New York proprieties) on the ground floor of her house; so that, as you sat in her sitting-room window with her, you caught (through a door that was always open, and a looped-back yellow damask portiere) the unexpected vista of a bedroom with a huge low bed upholstered like a sofa, and a toilet-table with frivolous lace flounces and a gilt-framed mirror.	The burden of mrs Manson Mingott's flesh had long since made it impossible for her to go up and down stairs, and with characteristic independence she had made her reception rooms upstairs and established herself (in flagrant violation of all the New York proprieties) on the ground floor of her house; so that, as you sat in her sitting room window with her, you caught (through a door that was always open, and a looped back yellow damask portiere) the unexpected vista of a bedroom with a huge low bed upholstered like a sofa, and a toilet table with frivolous lace flounces and a gilt framed mirror.	false	254.78	299.68	23.129467
225_131256_000005_000000	Her visitors were startled and fascinated by the foreignness of this arrangement, which recalled scenes in French fiction, and architectural incentives to immorality such as the simple American had never dreamed of.	Her visitors were startled and fascinated by the foreignness of this arrangement, which recalled scenes in French fiction, and architectural incentives to immorality such as the simple American had never dreamed of.	true	301.52	315.13	22
225_131256_000005_000001	That was how women with lovers lived in the wicked old societies, in apartments with all the rooms on one floor, and all the indecent propinquities that their novels described.	That was how women with lovers lived in the wicked old societies, in apartments with all the rooms on one floor, and all the indecent propinquities that their novels described.	true	316.37	328.15	21.749163
225_131256_000005_000002	It amused Newland Archer (who had secretly situated the love-scenes of "Monsieur de Camors" in Mrs. Mingott's bedroom) to picture her blameless life led in the stage-setting of adultery; but he said to himself, with considerable admiration, that if a lover had been what she wanted, the intrepid woman would have had him too.	It amused Newland Archer (who had secretly situated the love scenes of "Monsieur de Camors" in mrs Mingott's bedroom) to picture her blameless life led in the stage setting of adultery; but he said to himself, with considerable admiration, that if a lover had been what she wanted, the intrepid woman would have had him too.	false	329.06	351.22	22.360678
225_131256_000006_000000	To the general relief the Countess Olenska was not present in her grandmother's drawing-room during the visit of the betrothed couple. Mrs. Mingott said she had gone out; which, on a day of such glaring sunlight, and at the "shopping hour," seemed in itself an indelicate thing for a compromised woman to do.	To the general relief the Countess Olenska was not present in her grandmother's drawing room during the visit of the betrothed couple. mrs Mingott said she had gone out; which, on a day of such glaring sunlight, and at the "shopping hour," seemed in itself an indelicate thing for a compromised woman to do.	true	353.36	375.55	22.244202
225_131256_000006_000001	But at any rate it spared them the embarrassment of her presence, and the faint shadow that her unhappy past might seem to shed on their radiant future.	But at any rate it spared them the embarrassment of her presence, and the faint shadow that her unhappy past might seem to shed on their radiant future.	true	376.43	386.5	23.278044
225_131256_000006_000002	The visit went off successfully, as was to have been expected.	The visit went off successfully, as was to have been expected.	true	387.86	392.17	24.565477
225_131256_000006_000003	Old Mrs. Mingott was delighted with the engagement, which, being long foreseen by watchful relatives, had been carefully passed upon in family council; and the engagement ring, a large thick sapphire set in invisible claws, met with her unqualified admiration.	Old mrs Mingott was delighted with the engagement, which, being long foreseen by watchful relatives, had been carefully passed upon in family council; and the engagement ring, a large thick sapphire set in invisible claws, met with her unqualified admiration.	true	392.63	411.85	22.724148
225_131256_000007_000000	"It's the new setting: of course it shows the stone beautifully, but it looks a little bare to old-fashioned eyes," Mrs. Welland had explained, with a conciliatory side-glance at her future son-in-law.	"It's the new setting: of course it shows the stone beautifully, but it looks a little bare to old-fashioned eyes," mrs Welland had explained, with a conciliatory side glance at her future son in law.	true	414.77	427.84	22
225_131256_000008_000000	"Old-fashioned eyes?	"old-fashioned eyes?	true	429.35	431.22	22
225_131256_000008_000001	I hope you don't mean mine, my dear?	I hope you don't mean mine, my dear?	true	431.22	433.15	13
225_131256_000008_000002	I like all the novelties," said the ancestress, lifting the stone to her small bright orbs, which no glasses had ever disfigured.	I like all the novelties," said the ancestress, lifting the stone to her small bright orbs, which no glasses had ever disfigured.	true	433.31	442.66	23.316616
225_131256_000008_000003	"Very handsome," she added, returning the jewel; "very liberal.	"Very handsome," she added, returning the jewel; "very liberal.	true	443.72	448.06	19.6839
225_131256_000008_000004	In my time a cameo set in pearls was thought sufficient.	In my time a cameo set in pearls was thought sufficient.	true	448.46	451.53	14
225_131256_000008_000005	But it's the hand that sets off the ring, isn't it, my dear Mr. Archer?" and she waved one of her tiny hands, with small pointed nails and rolls of aged fat encircling the wrist like ivory bracelets.	But it's the hand that sets off the ring, isn't it, my dear mr Archer?" and she waved one of her tiny hands, with small pointed nails and rolls of aged fat encircling the wrist like ivory bracelets.	true	451.53	466.24	22.864784
225_131256_000008_000006	"Mine was modelled in Rome by the great Ferrigiani.	"Mine was modelled in Rome by the great Ferrigiani.	true	468.05	471.16	16
225_131256_000008_000007	You should have May's done: no doubt he'll have it done, my child.	You should have May's done: no doubt he'll have it done, my child.	true	471.59	475.32	17
225_131256_000008_000008	Her hand is large--it's these modern sports that spread the joints--but the skin is white.--And when's the wedding to be?" she broke off, fixing her eyes on Archer's face.	Her hand is large-it's these modern sports that spread the joints-but the skin is white.--And when's the wedding to be?" she broke off, fixing her eyes on Archer's face.	true	475.32	486.61	22.396723
225_131256_000009_000000	"Oh--" Mrs. Welland murmured, while the young man, smiling at his betrothed, replied: "As soon as ever it can, if only you'll back me up, Mrs. Mingott."	"Oh-" mrs Welland murmured, while the young man, smiling at his betrothed, replied: "As soon as ever it can, if only you'll back me up, mrs Mingott."	true	486.95	497.32	22.952385
225_131256_000010_000000	"We must give them time to get to know each other a little better, mamma," Mrs. Welland interposed, with the proper affectation of reluctance; to which the ancestress rejoined: "Know each other? Fiddlesticks!	"We must give them time to get to know each other a little better, mamma," mrs Welland interposed, with the proper affectation of reluctance; to which the ancestress rejoined: "Know each other? Fiddlesticks!	true	499.07	512.91	24.583014
225_131256_000010_000001	Everybody in New York has always known everybody.	Everybody in New York has always known everybody.	true	512.91	515.95	14
225_131256_000010_000002	Let the young man have his way, my dear; don't wait till the bubble's off the wine.	Let the young man have his way, my dear; don't wait till the bubble's off the wine.	true	515.99	521.83	19
225_131256_000010_000003	Marry them before Lent; I may catch pneumonia any winter now, and I want to give the wedding-breakfast."	Marry them before Lent; I may catch pneumonia any winter now, and I want to give the wedding breakfast."	false	522.02	529	23.339428
225_131256_000011_000000	These successive statements were received with the proper expressions of amusement, incredulity and gratitude; and the visit was breaking up in a vein of mild pleasantry when the door opened to admit the Countess Olenska, who entered in bonnet and mantle followed by the unexpected figure of Julius Beaufort.	These successive statements were received with the proper expressions of amusement, incredulity and gratitude; and the visit was breaking up in a vein of mild pleasantry when the door opened to admit the Countess Olenska, who entered in bonnet and mantle followed by the unexpected figure of Julius Beaufort.	true	530.54	552.04	24.100061
225_131256_000012_000000	There was a cousinly murmur of pleasure between the ladies, and Mrs. Mingott held out Ferrigiani's model to the banker.	There was a cousinly murmur of pleasure between the ladies, and mrs Mingott held out Ferrigiani's model to the banker.	true	553.43	561.21	22.77963
225_131256_000012_000001	"Ha! Beaufort, this is a rare favour!" (She had an odd foreign way of addressing men by their surnames.)	"Ha! Beaufort, this is a rare favour!" (She had an odd foreign way of addressing men by their surnames.)	false	561.21	569.14	20.570313
225_131256_000013_000000	"Thanks.	"Thanks.	true	569.84	570.585	29.772175
225_131256_000013_000001	I wish it might happen oftener," said the visitor in his easy arrogant way.	I wish it might happen oftener," said the visitor in his easy arrogant way.	true	570.585	574.78	19
225_131256_000013_000002	"I'm generally so tied down; but I met the Countess Ellen in Madison Square, and she was good enough to let me walk home with her."	"I'm generally so tied down; but I met the Countess Ellen in Madison Square, and she was good enough to let me walk home with her."	true	575.24	581.88	17
225_131256_000014_000000	"Ah--I hope the house will be gayer, now that Ellen's here!" cried Mrs. Mingott with a glorious effrontery.	"Ah-I hope the house will be gayer, now that Ellen's here!" cried mrs Mingott with a glorious effrontery.	false	581.88	589.27	20.434559
225_131256_000014_000001	"Sit down--sit down, Beaufort: push up the yellow armchair; now I've got you I want a good gossip.	"Sit down-sit down, Beaufort: push up the yellow armchair; now I've got you I want a good gossip.	true	589.58	596.47	23.562262
225_131256_000014_000002	I hear your ball was magnificent; and I understand you invited Mrs. Lemuel Struthers?	I hear your ball was magnificent; and I understand you invited mrs Lemuel Struthers?	true	596.6	602.4	18
225_131256_000014_000003	Well--I've a curiosity to see the woman myself."	Well-I've a curiosity to see the woman myself."	false	602.4	606.07	20.097647
225_131256_000015_000000	She had forgotten her relatives, who were drifting out into the hall under Ellen Olenska's guidance.	She had forgotten her relatives, who were drifting out into the hall under Ellen Olenska's guidance.	true	607.13	612.94	21.973938
225_131256_000015_000001	Old Mrs. Mingott had always professed a great admiration for Julius Beaufort, and there was a kind of kinship in their cool domineering way and their short-cuts through the conventions.	Old mrs Mingott had always professed a great admiration for Julius Beaufort, and there was a kind of kinship in their cool domineering way and their short cuts through the conventions.	true	614.99	626.95	22.280321
225_131256_000015_000002	Now she was eagerly curious to know what had decided the Beauforts to invite (for the first time) Mrs. Lemuel Struthers, the widow of Struthers's Shoe-polish, who had returned the previous year from a long initiatory sojourn in Europe to lay siege to the tight little citadel of New York.	Now she was eagerly curious to know what had decided the Beauforts to invite (for the first time) mrs Lemuel Struthers, the widow of Struthers's Shoe polish, who had returned the previous year from a long initiatory sojourn in Europe to lay siege to the tight little citadel of New York.	false	627.65	648.34	22.79822
225_131256_000015_000003	"Of course if you and Regina invite her the thing is settled.	"Of course if you and Regina invite her the thing is settled.	false	649.55	652.81	21.190928
225_131256_000015_000004	Well, we need new blood and new money--and I hear she's still very good-looking," the carnivorous old lady declared.	Well, we need new blood and new money-and I hear she's still very good looking," the carnivorous old lady declared.	false	653.18	661.89	23.162151
225_131256_000016_000000	In the hall, while Mrs. Welland and May drew on their furs, Archer saw that the Countess Olenska was looking at him with a faintly questioning smile.	In the hall, while mrs Welland and May drew on their furs, Archer saw that the Countess Olenska was looking at him with a faintly questioning smile.	true	661.89	671.44	21
225_131256_000017_000000	"Of course you know already--about May and me," he said, answering her look with a shy laugh.	"Of course you know already-about May and me," he said, answering her look with a shy laugh.	true	673.1	679.755	21.678537
225_131256_000017_000001	"She scolded me for not giving you the news last night at the Opera: I had her orders to tell you that we were engaged--but I couldn't, in that crowd."	"She scolded me for not giving you the news last night at the Opera: I had her orders to tell you that we were engaged-but I couldn't, in that crowd."	false	679.755	776.16	22.516695
