3922_723_000000_000000	Chapter VIII.	Chapter eight.	false	1.8	26.35	22.958405
3922_723_000006_000002	I saw the sum in your hands, myself--count it I didn't, you didn't let me, that's true enough--but by the look of it I should say it was far more than fifteen hundred ... fifteen hundred, indeed!	I saw the sum in your hands, myself-count it I didn't, you didn't let me, that's true enough-but by the look of it I should say it was far more than fifteen hundred ... fifteen hundred, indeed!	true	170.57	181.24	20.429596
3922_723_000006_000003	We've seen money too.	We've seen money too.	true	181.34	182.595	19.611994
3922_723_000006_000004	We can judge of amounts...."	We can judge of amounts...."	true	182.595	184.03	25.670393
3922_723_000007_000000	As for the sum spent yesterday he asserted that Dmitri Fyodorovitch had told him, as soon as he arrived, that he had brought three thousand with him.	As for the sum spent yesterday he asserted that Dmitri Fyodorovitch had told him, as soon as he arrived, that he had brought three thousand with him.	true	184.67	192.37	22.224049
3922_723_000008_000000	"Come now, is that so, Trifon Borissovitch?" replied Mitya.	"Come now, is that so, Trifon Borissovitch?" replied Mitya.	true	193.1	196.63	22.656885
3922_723_000008_000001	"Surely I didn't declare so positively that I'd brought three thousand?"	"Surely I didn't declare so positively that I'd brought three thousand?"	true	197	200.98	24.075615
3922_723_000009_000000	"You did say so, Dmitri Fyodorovitch.	"You did say so, Dmitri Fyodorovitch.	true	201.44	203.86	21.669825
3922_723_000009_000001	You said it before Andrey.	You said it before Andrey.	true	203.93	205.48	22.075727
3922_723_000009_000002	Andrey himself is still here.	Andrey himself is still here.	true	205.82	207.3	20.021559
3922_723_000009_000003	Send for him.	Send for him.	true	207.3	208.35	27.212652
3922_723_000009_000004	And in the hall, when you were treating the chorus, you shouted straight out that you would leave your sixth thousand here--that is with what you spent before, we must understand.	And in the hall, when you were treating the chorus, you shouted straight out that you would leave your sixth thousand here-that is with what you spent before, we must understand.	true	208.35	217.75	21.014755
3922_723_000009_000005	Stepan and Semyon heard it, and Pyotr Fomitch Kalganov, too, was standing beside you at the time.	Stepan and Semyon heard it, and Pyotr Fomitch Kalganov, too, was standing beside you at the time.	true	217.97	223.36	22.56628
3922_723_000009_000006	Maybe he'd remember it...."	Maybe he'd remember it...."	true	223.46	224.83	23.397432
3922_723_000010_000000	The evidence as to the "sixth" thousand made an extraordinary impression on the two lawyers.	The evidence as to the "sixth" thousand made an extraordinary impression on the two lawyers.	false	225.77	230.98	20.972013
3922_723_000010_000001	They were delighted with this new mode of reckoning; three and three made six, three thousand then and three now made six, that was clear.	They were delighted with this new mode of reckoning; three and three made six, three thousand then and three now made six, that was clear.	true	231.38	239.53	22.725147
3922_723_000011_000000	They questioned all the peasants suggested by Trifon Borissovitch, Stepan and Semyon, the driver Andrey, and Kalganov.	They questioned all the peasants suggested by Trifon Borissovitch, Stepan and Semyon, the driver Andrey, and Kalganov.	true	240.41	247.24	24.963278
3922_723_000011_000001	The peasants and the driver unhesitatingly confirmed Trifon Borissovitch's evidence.	The peasants and the driver unhesitatingly confirmed Trifon Borissovitch's evidence.	true	247.7	252.43	20.205065
3922_723_000011_000002	They noted down, with particular care, Andrey's account of the conversation he had had with Mitya on the road: " 'Where,' says he, 'am I, Dmitri Fyodorovitch, going, to heaven or to hell, and shall I be forgiven in the next world or not?' "	They noted down, with particular care, Andrey's account of the conversation he had had with Mitya on the road: " 'Where,' says he, 'am I, Dmitri Fyodorovitch, going, to heaven or to hell, and shall I be forgiven in the next world or not?' "	false	252.86	268.15	20.55849
3922_723_000012_000000	The psychological Ippolit Kirillovitch heard this with a subtle smile, and ended by recommending that these remarks as to where Dmitri Fyodorovitch would go should be "included in the case."	The psychological Ippolit Kirillovitch heard this with a subtle smile, and ended by recommending that these remarks as to where Dmitri Fyodorovitch would go should be "included in the case."	true	268.67	280.48	23.01698
3922_723_000013_000000	Kalganov, when called, came in reluctantly, frowning and ill-humored, and he spoke to the lawyers as though he had never met them before in his life, though they were acquaintances whom he had been meeting every day for a long time past.	Kalganov, when called, came in reluctantly, frowning and ill humored, and he spoke to the lawyers as though he had never met them before in his life, though they were acquaintances whom he had been meeting every day for a long time past.	false	281.39	294.4	22.5865
3922_723_000013_000001	He began by saying that "he knew nothing about it and didn't want to." But it appeared that he had heard of the "sixth" thousand, and he admitted that he had been standing close by at the moment.	He began by saying that "he knew nothing about it and didn't want to." But it appeared that he had heard of the "sixth" thousand, and he admitted that he had been standing close by at the moment.	true	294.95	305.53	22.34363
3922_723_000013_000002	As far as he could see he "didn't know" how much money Mitya had in his hands.	As far as he could see he "didn't know" how much money Mitya had in his hands.	true	305.81	309.94	22
3922_723_000013_000003	He affirmed that the Poles had cheated at cards.	He affirmed that the Poles had cheated at cards.	true	310.49	313.12	23.705145
3922_723_000013_000004	In reply to reiterated questions he stated that, after the Poles had been turned out, Mitya's position with Agrafena Alexandrovna had certainly improved, and that she had said that she loved him.	In reply to reiterated questions he stated that, after the Poles had been turned out, Mitya's position with Agrafena Alexandrovna had certainly improved, and that she had said that she loved him.	true	313.19	324.4	22.289963
3922_723_000013_000005	He spoke of Agrafena Alexandrovna with reserve and respect, as though she had been a lady of the best society, and did not once allow himself to call her Grushenka.	He spoke of Agrafena Alexandrovna with reserve and respect, as though she had been a lady of the best society, and did not once allow himself to call her Grushenka.	false	324.95	334.93	22.523962
3922_723_000013_000006	In spite of the young man's obvious repugnance at giving evidence, Ippolit Kirillovitch examined him at great length, and only from him learnt all the details of what made up Mitya's "romance," so to say, on that night. Mitya did not once pull Kalganov up.	In spite of the young man's obvious repugnance at giving evidence, Ippolit Kirillovitch examined him at great length, and only from him learnt all the details of what made up Mitya's "romance," so to say, on that night. Mitya did not once pull Kalganov up.	true	335.33	350.32	22.55879
3922_723_000013_000007	At last they let the young man go, and he left the room with unconcealed indignation.	At last they let the young man go, and he left the room with unconcealed indignation.	true	350.63	355.66	20
3922_723_000014_000000	The Poles, too, were examined.	The Poles, too, were examined.	true	356.63	358.63	21.150835
3922_723_000014_000001	Though they had gone to bed in their room, they had not slept all night, and on the arrival of the police officers they hastily dressed and got ready, realizing that they would certainly be sent for.	Though they had gone to bed in their room, they had not slept all night, and on the arrival of the police officers they hastily dressed and got ready, realizing that they would certainly be sent for.	true	358.97	369.28	21.503798
3922_723_000014_000002	They gave their evidence with dignity, though not without some uneasiness.	They gave their evidence with dignity, though not without some uneasiness.	true	369.8	373.78	19.954714
3922_723_000014_000003	The little Pole turned out to be a retired official of the twelfth class, who had served in Siberia as a veterinary surgeon.	The little Pole turned out to be a retired official of the twelfth class, who had served in Siberia as a veterinary surgeon.	true	374.15	380.56	22
3922_723_000014_000004	His name was Mussyalovitch.	His name was Mussyalovitch.	true	381.02	382.93	21.387459
3922_723_000014_000005	Pan Vrublevsky turned out to be an uncertificated dentist.	Pan Vrublevsky turned out to be an uncertificated dentist.	true	383.3	387.01	24.477036
3922_723_000014_000006	Although Nikolay Parfenovitch asked them questions on entering the room they both addressed their answers to Mihail Makarovitch, who was standing on one side, taking him in their ignorance for the most important person and in command, and addressed him at every word as "Pan Colonel." Only after several reproofs from Mihail Makarovitch himself, they grasped that they had to address their answers to Nikolay Parfenovitch only.	Although Nikolay Parfenovitch asked them questions on entering the room they both addressed their answers to Mihail Makarovitch, who was standing on one side, taking him in their ignorance for the most important person and in command, and addressed him at every word as "Pan Colonel." Only after several reproofs from Mihail Makarovitch himself, they grasped that they had to address their answers to Nikolay Parfenovitch only.	true	387.44	411.52	23.45197
3922_723_000014_000007	It turned out that they could speak Russian quite correctly except for their accent in some words.	It turned out that they could speak Russian quite correctly except for their accent in some words.	true	411.98	416.77	24.441742
3922_723_000014_000008	Of his relations with Grushenka, past and present, Pan Mussyalovitch spoke proudly and warmly, so that Mitya was roused at once and declared that he would not allow the "scoundrel" to speak like that in his presence!	Of his relations with Grushenka, past and present, Pan Mussyalovitch spoke proudly and warmly, so that Mitya was roused at once and declared that he would not allow the "scoundrel" to speak like that in his presence!	true	417.38	429.97	20.615572
3922_723_000014_000009	Pan Mussyalovitch at once called attention to the word "scoundrel" and begged that it should be put down in the protocol. Mitya fumed with rage.	Pan Mussyalovitch at once called attention to the word "scoundrel" and begged that it should be put down in the protocol. Mitya fumed with rage.	true	430.46	438.61	22.049683
3922_723_000015_000000	"He's a scoundrel!	"He's a scoundrel!	true	439.04	440.13	21.310497
3922_723_000015_000001	A scoundrel!	A scoundrel!	true	440.13	440.985	19
3922_723_000015_000002	You can put that down.	You can put that down.	true	440.985	442.245	24
3922_723_000015_000003	And put down, too, that, in spite of the protocol I still declare that he's a scoundrel!" he cried.	And put down, too, that, in spite of the protocol I still declare that he's a scoundrel!" he cried.	true	442.245	447.15	23.137676
3922_723_000016_000000	Though Nikolay Parfenovitch did insert this in the protocol, he showed the most praiseworthy tact and management.	Though Nikolay Parfenovitch did insert this in the protocol, he showed the most praiseworthy tact and management.	false	447.15	454.63	22.323101
3922_723_000016_000001	After sternly reprimanding Mitya, he cut short all further inquiry into the romantic aspect of the case, and hastened to pass to what was essential.	After sternly reprimanding Mitya, he cut short all further inquiry into the romantic aspect of the case, and hastened to pass to what was essential.	true	454.85	463.3	21.510294
3922_723_000016_000002	One piece of evidence given by the Poles roused special interest in the lawyers: that was how, in that very room, Mitya had tried to buy off Pan Mussyalovitch, and had offered him three thousand roubles to resign his claims, seven hundred roubles down, and the remaining two thousand three hundred "to be paid next day in the town." He had sworn at the time that he had not the whole sum with him at Mokroe, but that his money was in the town.	One piece of evidence given by the Poles roused special interest in the lawyers: that was how, in that very room, Mitya had tried to buy off Pan Mussyalovitch, and had offered him three thousand roubles to resign his claims, seven hundred roubles down, and the remaining two thousand three hundred "to be paid next day in the town." He had sworn at the time that he had not the whole sum with him at Mokroe, but that his money was in the town.	false	463.64	489.49	20.924885
3922_723_000016_000003	Mitya observed hotly that he had not said that he would be sure to pay him the remainder next day in the town.	Mitya observed hotly that he had not said that he would be sure to pay him the remainder next day in the town.	true	489.89	494.85	19
3922_723_000016_000004	But Pan Vrublevsky confirmed the statement, and Mitya, after thinking for a moment admitted, frowning, that it must have been as the Poles stated, that he had been excited at the time, and might indeed have said so.	But Pan Vrublevsky confirmed the statement, and Mitya, after thinking for a moment admitted, frowning, that it must have been as the Poles stated, that he had been excited at the time, and might indeed have said so.	false	494.85	507.37	21.857649
3922_723_000017_000000	The prosecutor positively pounced on this piece of evidence.	The prosecutor positively pounced on this piece of evidence.	true	508.28	511.69	22.162592
3922_723_000017_000001	It seemed to establish for the prosecution (and they did, in fact, base this deduction on it) that half, or a part of, the three thousand that had come into Mitya's hands might really have been left somewhere hidden in the town, or even, perhaps, somewhere here, in Mokroe.	It seemed to establish for the prosecution (and they did, in fact, base this deduction on it) that half, or a part of, the three thousand that had come into Mitya's hands might really have been left somewhere hidden in the town, or even, perhaps, somewhere here, in Mokroe.	false	511.85	527.7	22.575808
3922_723_000017_000002	This would explain the circumstance, so baffling for the prosecution, that only eight hundred roubles were to be found in Mitya's hands.	This would explain the circumstance, so baffling for the prosecution, that only eight hundred roubles were to be found in Mitya's hands.	true	527.7	534.96	21
3922_723_000017_000003	This circumstance had been the one piece of evidence which, insignificant as it was, had hitherto told, to some extent, in Mitya's favor.	This circumstance had been the one piece of evidence which, insignificant as it was, had hitherto told, to some extent, in Mitya's favor.	false	534.96	543.37	20.62858
3922_723_000017_000004	Now this one piece of evidence in his favor had broken down.	Now this one piece of evidence in his favor had broken down.	true	543.92	547.33	19.68943
3922_723_000017_000005	In answer to the prosecutor's inquiry, where he would have got the remaining two thousand three hundred roubles, since he himself had denied having more than fifteen hundred, Mitya confidently replied that he had meant to offer the "little chap," not money, but a formal deed of conveyance of his rights to the village of Tchermashnya, those rights which he had already offered to Samsonov and Madame Hohlakov. The prosecutor positively smiled at the "innocence of this subterfuge."	In answer to the prosecutor's inquiry, where he would have got the remaining two thousand three hundred roubles, since he himself had denied having more than fifteen hundred, Mitya confidently replied that he had meant to offer the "little chap," not money, but a formal deed of conveyance of his rights to the village of Tchermashnya, those rights which he had already offered to Samsonov and Madame Hohlakov. The prosecutor positively smiled at the "innocence of this subterfuge."	true	547.82	574.84	22.311409
3922_723_000018_000000	"And you imagine he would have accepted such a deed as a substitute for two thousand three hundred roubles in cash?"	"And you imagine he would have accepted such a deed as a substitute for two thousand three hundred roubles in cash?"	true	575.57	582.25	20.57116
3922_723_000019_000000	"He certainly would have accepted it," Mitya declared warmly.	"He certainly would have accepted it," Mitya declared warmly.	true	582.65	585.82	20.227476
3922_723_000019_000001	"Why, look here, he might have grabbed not two thousand, but four or six, for it.	"Why, look here, he might have grabbed not two thousand, but four or six, for it.	true	585.95	590.41	23.139204
3922_723_000019_000002	He would have put his lawyers, Poles and Jews, on to the job, and might have got, not three thousand, but the whole property out of the old man."	He would have put his lawyers, Poles and Jews, on to the job, and might have got, not three thousand, but the whole property out of the old man."	true	590.57	598.09	21
3922_723_000020_000000	The evidence of Pan Mussyalovitch was, of course, entered in the protocol in the fullest detail.	The evidence of Pan Mussyalovitch was, of course, entered in the protocol in the fullest detail.	false	598.79	604.21	21.977057
3922_723_000020_000001	Then they let the Poles go.	Then they let the Poles go.	true	604.37	606.04	25.622875
3922_723_000020_000002	The incident of the cheating at cards was hardly touched upon.	The incident of the cheating at cards was hardly touched upon.	false	606.47	609.76	23
3922_723_000020_000003	Nikolay Parfenovitch was too well pleased with them, as it was, and did not want to worry them with trifles, moreover, it was nothing but a foolish, drunken quarrel over cards.	Nikolay Parfenovitch was too well pleased with them, as it was, and did not want to worry them with trifles, moreover, it was nothing but a foolish, drunken quarrel over cards.	true	610.25	619.39	22.893974
3922_723_000020_000004	There had been drinking and disorder enough, that night....	There had been drinking and disorder enough, that night....	true	619.88	622.6	23.905823
3922_723_000020_000005	So the two hundred roubles remained in the pockets of the Poles.	So the two hundred roubles remained in the pockets of the Poles.	true	623.18	626.53	19.518791
3922_723_000021_000000	Then old Maximov was summoned.	Then old Maximov was summoned.	true	627.23	629.2	20.390556
3922_723_000021_000001	He came in timidly, approached with little steps, looking very disheveled and depressed.	He came in timidly, approached with little steps, looking very disheveled and depressed.	true	629.24	634.09	22.494263
3922_723_000021_000002	He had, all this time, taken refuge below with Grushenka, sitting dumbly beside her, and "now and then he'd begin blubbering over her and wiping his eyes with a blue check handkerchief," as Mihail Makarovitch described afterwards.	He had, all this time, taken refuge below with Grushenka, sitting dumbly beside her, and "now and then he'd begin blubbering over her and wiping his eyes with a blue check handkerchief," as Mihail Makarovitch described afterwards.	false	634.58	647.47	20.052412
3922_723_000021_000003	So that she herself began trying to pacify and comfort him.	So that she herself began trying to pacify and comfort him.	true	647.99	651.22	20.800095
3922_723_000021_000004	The old man at once confessed that he had done wrong, that he had borrowed "ten roubles in my poverty," from Dmitri Fyodorovitch, and that he was ready to pay it back. To Nikolay Parfenovitch's direct question, had he noticed how much money Dmitri Fyodorovitch held in his hand, as he must have been able to see the sum better than any one when he took the note from him, Maximov, in the most positive manner, declared that there was twenty thousand.	The old man at once confessed that he had done wrong, that he had borrowed "ten roubles in my poverty," from Dmitri Fyodorovitch, and that he was ready to pay it back. To Nikolay Parfenovitch's direct question, had he noticed how much money Dmitri Fyodorovitch held in his hand, as he must have been able to see the sum better than any one when he took the note from him, Maximov, in the most positive manner, declared that there was twenty thousand.	true	651.68	676.12	21.310726
3922_723_000022_000000	"Have you ever seen so much as twenty thousand before, then?" inquired Nikolay Parfenovitch, with a smile.	"Have you ever seen so much as twenty thousand before, then?" inquired Nikolay Parfenovitch, with a smile.	true	676.76	681.79	21
3922_723_000023_000000	"To be sure I have, not twenty, but seven, when my wife mortgaged my little property.	"To be sure I have, not twenty, but seven, when my wife mortgaged my little property.	true	682.46	687.69	20.712633
3922_723_000023_000001	She'd only let me look at it from a distance, boasting of it to me.	She'd only let me look at it from a distance, boasting of it to me.	false	687.69	691.69	23.144867
3922_723_000023_000002	It was a very thick bundle, all rainbow-colored notes.	It was a very thick bundle, all rainbow colored notes.	true	691.88	694.89	25.367437
3922_723_000023_000003	And Dmitri Fyodorovitch's were all rainbow-colored...."	And Dmitri Fyodorovitch's were all rainbow colored...."	false	694.89	698.17	23.102203
3922_723_000024_000000	He was not kept long.	He was not kept long.	true	698.51	699.94	23.981773
3922_723_000024_000001	At last it was Grushenka's turn.	At last it was Grushenka's turn.	true	699.98	701.89	21.63162
3922_723_000024_000002	Nikolay Parfenovitch was obviously apprehensive of the effect her appearance might have on Mitya, and he muttered a few words of admonition to him, but Mitya bowed his head in silence, giving him to understand "that he would not make a scene." Mihail Makarovitch himself led Grushenka in.	Nikolay Parfenovitch was obviously apprehensive of the effect her appearance might have on Mitya, and he muttered a few words of admonition to him, but Mitya bowed his head in silence, giving him to understand "that he would not make a scene." Mihail Makarovitch himself led Grushenka in.	true	702.2	718.78	21.023207
3922_723_000024_000003	She entered with a stern and gloomy face, that looked almost composed and sat down quietly on the chair offered her by Nikolay Parfenovitch.	She entered with a stern and gloomy face, that looked almost composed and sat down quietly on the chair offered her by Nikolay Parfenovitch.	true	719.18	727.66	22.318283
3922_723_000024_000004	She was very pale, she seemed to be cold, and wrapped herself closely in her magnificent black shawl.	She was very pale, she seemed to be cold, and wrapped herself closely in her magnificent black shawl.	true	728.09	733.66	21
3922_723_000024_000005	She was suffering from a slight feverish chill--the first symptom of the long illness which followed that night.	She was suffering from a slight feverish chill-the first symptom of the long illness which followed that night.	true	734.27	740.56	22.76396
3922_723_000024_000006	Her grave air, her direct earnest look and quiet manner made a very favorable impression on every one.	Her grave air, her direct earnest look and quiet manner made a very favorable impression on every one.	true	741.2	747.01	20
3922_723_000024_000007	Nikolay Parfenovitch was even a little bit "fascinated." He admitted himself, when talking about it afterwards, that only then had he seen "how handsome the woman was," for, though he had seen her several times before, he had always looked upon her as something of a "provincial hetaira." "She has the manners of the best society," he said enthusiastically, gossiping about her in a circle of ladies.	Nikolay Parfenovitch was even a little bit "fascinated." He admitted himself, when talking about it afterwards, that only then had he seen "how handsome the woman was," for, though he had seen her several times before, he had always looked upon her as something of a "provincial hetaira." "She has the manners of the best society," he said enthusiastically, gossiping about her in a circle of ladies.	false	747.47	769.51	20.469343
3922_723_000024_000008	But this was received with positive indignation by the ladies, who immediately called him a "naughty man," to his great satisfaction.	But this was received with positive indignation by the ladies, who immediately called him a "naughty man," to his great satisfaction.	true	769.91	777.37	21.89028
3922_723_000025_000000	As she entered the room, Grushenka only glanced for an instant at Mitya, who looked at her uneasily.	As she entered the room, Grushenka only glanced for an instant at Mitya, who looked at her uneasily.	true	778.16	783.58	21.002079
3922_723_000025_000001	But her face reassured him at once.	But her face reassured him at once.	true	784.16	786.31	20.27778
3922_723_000025_000002	After the first inevitable inquiries and warnings, Nikolay Parfenovitch asked her, hesitating a little, but preserving the most courteous manner, on what terms she was with the retired lieutenant, Dmitri Fyodorovitch Karamazov. To this Grushenka firmly and quietly replied:	After the first inevitable inquiries and warnings, Nikolay Parfenovitch asked her, hesitating a little, but preserving the most courteous manner, on what terms she was with the retired lieutenant, Dmitri Fyodorovitch Karamazov. To this Grushenka firmly and quietly replied:	false	786.47	803.77	21.792082
3922_723_000026_000000	"He was an acquaintance.	"He was an acquaintance.	true	804.23	805.6	24.260084
3922_723_000026_000001	He came to see me as an acquaintance during the last month." To further inquisitive questions she answered plainly and with complete frankness, that, though "at times" she had thought him attractive, she had not loved him, but had won his heart as well as his old father's "in my nasty spite," that she had seen that Mitya was very jealous of Fyodor Pavlovitch and every one else; but that had only amused her.	He came to see me as an acquaintance during the last month." To further inquisitive questions she answered plainly and with complete frankness, that, though "at times" she had thought him attractive, she had not loved him, but had won his heart as well as his old father's "in my nasty spite," that she had seen that Mitya was very jealous of Fyodor Pavlovitch and every one else; but that had only amused her.	true	805.67	829.66	21.481113
3922_723_000026_000002	She had never meant to go to Fyodor Pavlovitch, she had simply been laughing at him.	She had never meant to go to Fyodor Pavlovitch, she had simply been laughing at him.	true	829.94	834.1	23
3922_723_000026_000003	"I had no thoughts for either of them all this last month.	"I had no thoughts for either of them all this last month.	true	834.53	837.91	22.263563
3922_723_000026_000004	I was expecting another man who had wronged me.	I was expecting another man who had wronged me.	true	837.98	840.55	21
3922_723_000026_000005	But I think," she said in conclusion, "that there's no need for you to inquire about that, nor for me to answer you, for that's my own affair."	But I think," she said in conclusion, "that there's no need for you to inquire about that, nor for me to answer you, for that's my own affair."	true	841.19	849.1	21.849247
3922_723_000027_000000	Nikolay Parfenovitch immediately acted upon this hint.	Nikolay Parfenovitch immediately acted upon this hint.	true	850.01	852.88	21.943308
3922_723_000027_000001	He again dismissed the "romantic" aspect of the case and passed to the serious one, that is, to the question of most importance, concerning the three thousand roubles. Grushenka confirmed the statement that three thousand roubles had certainly been spent on the first carousal at Mokroe, and, though she had not counted the money herself, she had heard that it was three thousand from Dmitri Fyodorovitch's own lips.	He again dismissed the "romantic" aspect of the case and passed to the serious one, that is, to the question of most importance, concerning the three thousand roubles. Grushenka confirmed the statement that three thousand roubles had certainly been spent on the first carousal at Mokroe, and, though she had not counted the money herself, she had heard that it was three thousand from Dmitri Fyodorovitch's own lips.	false	853.25	875.23	20.688293
3922_723_000028_000000	"Did he tell you that alone, or before some one else, or did you only hear him speak of it to others in your presence?" the prosecutor inquired immediately.	"Did he tell you that alone, or before some one else, or did you only hear him speak of it to others in your presence?" the prosecutor inquired immediately.	true	875.87	883.72	19.82306
3922_723_000029_000000	To which Grushenka replied that she had heard him say so before other people, and had heard him say so when they were alone.	To which Grushenka replied that she had heard him say so before other people, and had heard him say so when they were alone.	true	884.24	890.17	20
3922_723_000030_000000	"Did he say it to you alone once, or several times?" inquired the prosecutor, and learned that he had told Grushenka so several times.	"Did he say it to you alone once, or several times?" inquired the prosecutor, and learned that he had told Grushenka so several times.	false	890.72	898.27	20.807888
3922_723_000031_000000	Ippolit Kirillovitch was very well satisfied with this piece of evidence. Further examination elicited that Grushenka knew, too, where that money had come from, and that Dmitri Fyodorovitch had got it from Katerina Ivanovna.	Ippolit Kirillovitch was very well satisfied with this piece of evidence. Further examination elicited that Grushenka knew, too, where that money had come from, and that Dmitri Fyodorovitch had got it from Katerina Ivanovna.	true	898.85	911.74	21.521399
3922_723_000032_000000	"And did you never, once, hear that the money spent a month ago was not three thousand, but less, and that Dmitri Fyodorovitch had saved half that sum for his own use?"	"And did you never, once, hear that the money spent a month ago was not three thousand, but less, and that Dmitri Fyodorovitch had saved half that sum for his own use?"	true	912.26	920.8	20.765965
3922_723_000033_000000	"No, I never heard that," answered Grushenka.	"No, I never heard that," answered Grushenka.	true	921.26	924.84	20.497328
3922_723_000034_000000	It was explained further that Mitya had, on the contrary, often told her that he hadn't a farthing.	It was explained further that Mitya had, on the contrary, often told her that he hadn't a farthing.	true	924.84	929.71	20
3922_723_000035_000000	"He was always expecting to get some from his father," said Grushenka in conclusion.	"He was always expecting to get some from his father," said Grushenka in conclusion.	true	930.26	934.47	20.26701
3922_723_000036_000000	"Did he never say before you ... casually, or in a moment of irritation," Nikolay Parfenovitch put in suddenly, "that he intended to make an attempt on his father's life?"	"Did he never say before you ... casually, or in a moment of irritation," Nikolay Parfenovitch put in suddenly, "that he intended to make an attempt on his father's life?"	false	934.47	944.34	21.314835
3922_723_000037_000000	"Ach, he did say so," sighed Grushenka.	"Ach, he did say so," sighed Grushenka.	false	944.34	947.95	22.237457
3922_723_000038_000000	"Once or several times?"	"Once or several times?"	true	948.17	950.11	25.043655
