3922_723_000000_000002	The Babe	The Babe
3922_723_000020_000004	There had been drinking and disorder enough, that night....	There had been drinking and disorder enough, that night....
3922_723_000021_000000	Then old Maximov was summoned.	Then old Maximov was summoned.
3922_723_000021_000001	He came in timidly, approached with little steps, looking very disheveled and depressed.	He came in timidly, approached with little steps, looking very disheveled and depressed.
3922_723_000021_000003	So that she herself began trying to pacify and comfort him.	So that she herself began trying to pacify and comfort him.
3922_723_000022_000000	"Have you ever seen so much as twenty thousand before, then?" inquired Nikolay Parfenovitch, with a smile.	"Have you ever seen so much as twenty thousand before, then?" inquired Nikolay Parfenovitch, with a smile.
3922_723_000023_000000	"To be sure I have, not twenty, but seven, when my wife mortgaged my little property.	"To be sure I have, not twenty, but seven, when my wife mortgaged my little property.
3922_723_000023_000002	It was a very thick bundle, all rainbow-colored notes.	It was a very thick bundle, all rainbow colored notes.
3922_723_000024_000000	He was not kept long.	He was not kept long.
3922_723_000024_000001	At last it was Grushenka's turn.	At last it was Grushenka's turn.
3922_723_000024_000002	Nikolay Parfenovitch was obviously apprehensive of the effect her appearance might have on Mitya, and he muttered a few words of admonition to him, but Mitya bowed his head in silence, giving him to understand "that he would not make a scene." Mihail Makarovitch himself led Grushenka in.	Nikolay Parfenovitch was obviously apprehensive of the effect her appearance might have on Mitya, and he muttered a few words of admonition to him, but Mitya bowed his head in silence, giving him to understand "that he would not make a scene." Mihail Makarovitch himself led Grushenka in.
3922_723_000024_000003	She entered with a stern and gloomy face, that looked almost composed and sat down quietly on the chair offered her by Nikolay Parfenovitch.	She entered with a stern and gloomy face, that looked almost composed and sat down quietly on the chair offered her by Nikolay Parfenovitch.
3922_723_000024_000004	She was very pale, she seemed to be cold, and wrapped herself closely in her magnificent black shawl.	She was very pale, she seemed to be cold, and wrapped herself closely in her magnificent black shawl.
3922_723_000024_000005	She was suffering from a slight feverish chill--the first symptom of the long illness which followed that night.	She was suffering from a slight feverish chill-the first symptom of the long illness which followed that night.
3922_723_000024_000006	Her grave air, her direct earnest look and quiet manner made a very favorable impression on every one.	Her grave air, her direct earnest look and quiet manner made a very favorable impression on every one.
3922_723_000024_000008	But this was received with positive indignation by the ladies, who immediately called him a "naughty man," to his great satisfaction.	But this was received with positive indignation by the ladies, who immediately called him a "naughty man," to his great satisfaction.
3922_723_000025_000000	As she entered the room, Grushenka only glanced for an instant at Mitya, who looked at her uneasily.	As she entered the room, Grushenka only glanced for an instant at Mitya, who looked at her uneasily.
3922_723_000025_000001	But her face reassured him at once.	But her face reassured him at once.
3922_723_000026_000000	"He was an acquaintance.	"He was an acquaintance.
3922_723_000026_000002	She had never meant to go to Fyodor Pavlovitch, she had simply been laughing at him.	She had never meant to go to Fyodor Pavlovitch, she had simply been laughing at him.
3922_723_000026_000003	"I had no thoughts for either of them all this last month.	"I had no thoughts for either of them all this last month.
3922_723_000026_000004	I was expecting another man who had wronged me.	I was expecting another man who had wronged me.
3922_723_000026_000005	But I think," she said in conclusion, "that there's no need for you to inquire about that, nor for me to answer you, for that's my own affair."	But I think," she said in conclusion, "that there's no need for you to inquire about that, nor for me to answer you, for that's my own affair."
3922_723_000027_000000	Nikolay Parfenovitch immediately acted upon this hint.	Nikolay Parfenovitch immediately acted upon this hint.
3922_723_000029_000000	To which Grushenka replied that she had heard him say so before other people, and had heard him say so when they were alone.	To which Grushenka replied that she had heard him say so before other people, and had heard him say so when they were alone.
3922_723_000031_000000	Ippolit Kirillovitch was very well satisfied with this piece of evidence. Further examination elicited that Grushenka knew, too, where that money had come from, and that Dmitri Fyodorovitch had got it from Katerina Ivanovna.	Ippolit Kirillovitch was very well satisfied with this piece of evidence. Further examination elicited that Grushenka knew, too, where that money had come from, and that Dmitri Fyodorovitch had got it from Katerina Ivanovna.
3922_723_000032_000000	"And did you never, once, hear that the money spent a month ago was not three thousand, but less, and that Dmitri Fyodorovitch had saved half that sum for his own use?"	"And did you never, once, hear that the money spent a month ago was not three thousand, but less, and that Dmitri Fyodorovitch had saved half that sum for his own use?"
3922_723_000033_000000	"No, I never heard that," answered Grushenka.	"No, I never heard that," answered Grushenka.
3922_723_000034_000000	It was explained further that Mitya had, on the contrary, often told her that he hadn't a farthing.	It was explained further that Mitya had, on the contrary, often told her that he hadn't a farthing.
3922_723_000035_000000	"He was always expecting to get some from his father," said Grushenka in conclusion.	"He was always expecting to get some from his father," said Grushenka in conclusion.
3922_723_000038_000000	"Once or several times?"	"Once or several times?"
3922_723_000039_000000	"He mentioned it several times, always in anger."	"He mentioned it several times, always in anger."
3922_723_000040_000000	"And did you believe he would do it?"	"And did you believe he would do it?"
3922_723_000041_000000	"No, I never believed it," she answered firmly.	"No, I never believed it," she answered firmly.
3922_723_000041_000001	"I had faith in his noble heart."	"I had faith in his noble heart."
3922_723_000043_000000	"You can speak," Nikolay Parfenovitch assented.	"You can speak," Nikolay Parfenovitch assented.
3922_723_000044_000000	"Agrafena Alexandrovna!" Mitya got up from his chair, "have faith in God and in me.	"Agrafena Alexandrovna!" Mitya got up from his chair, "have faith in God and in me.
3922_723_000044_000001	I am not guilty of my father's murder!"	I am not guilty of my father's murder!"
3922_723_000045_000001	Grushenka stood up and crossed herself devoutly before the ikon.	Grushenka stood up and crossed herself devoutly before the ikon.
3922_723_000046_000000	"As he has spoken now, believe it!	"As he has spoken now, believe it!
3922_723_000046_000001	I know him.	I know him.
3922_723_000046_000002	He'll say anything as a joke or from obstinacy, but he'll never deceive you against his conscience.	He'll say anything as a joke or from obstinacy, but he'll never deceive you against his conscience.
3922_723_000046_000003	He's telling the whole truth, you may believe it."	He's telling the whole truth, you may believe it."
3922_723_000047_000000	"Thanks, Agrafena Alexandrovna, you've given me fresh courage," Mitya responded in a quivering voice.	"Thanks, Agrafena Alexandrovna, you've given me fresh courage," Mitya responded in a quivering voice.
3922_723_000048_000001	And to the question where he got the money, she said that he had told her that he had "stolen" it from Katerina Ivanovna, and that she had replied to that that he hadn't stolen it, and that he must pay the money back next day.	And to the question where he got the money, she said that he had told her that he had "stolen" it from Katerina Ivanovna, and that she had replied to that that he hadn't stolen it, and that he must pay the money back next day.
3922_723_000051_000000	She went out.	She went out.
3922_723_000051_000001	Mitya was calm, and even looked more cheerful, but only for a moment.	Mitya was calm, and even looked more cheerful, but only for a moment.
3922_723_000051_000002	He felt more and more oppressed by a strange physical weakness. His eyes were closing with fatigue.	He felt more and more oppressed by a strange physical weakness. His eyes were closing with fatigue.
3922_723_000052_000000	He had a strange dream, utterly out of keeping with the place and the time.	He had a strange dream, utterly out of keeping with the place and the time.
3922_723_000053_000001	He was cold, it was early in November, and the snow was falling in big wet flakes, melting as soon as it touched the earth.	He was cold, it was early in November, and the snow was falling in big wet flakes, melting as soon as it touched the earth.
3922_723_000053_000002	And the peasant drove him smartly, he had a fair, long beard.	And the peasant drove him smartly, he had a fair, long beard.
3922_723_000053_000003	He was not an old man, somewhere about fifty, and he had on a gray peasant's smock.	He was not an old man, somewhere about fifty, and he had on a gray peasant's smock.
3922_723_000053_000005	And in her arms was a little baby crying.	And in her arms was a little baby crying.
3922_723_000053_000006	And her breasts seemed so dried up that there was not a drop of milk in them.	And her breasts seemed so dried up that there was not a drop of milk in them.
3922_723_000054_000001	Why are they crying?" Mitya asked, as they dashed gayly by.	Why are they crying?" Mitya asked, as they dashed gayly by.
3922_723_000057_000000	"But why is it weeping?" Mitya persisted stupidly, "why are its little arms bare?	"But why is it weeping?" Mitya persisted stupidly, "why are its little arms bare?
3922_723_000057_000001	Why don't they wrap it up?"	Why don't they wrap it up?"
3922_723_000058_000000	"The babe's cold, its little clothes are frozen and don't warm it."	"The babe's cold, its little clothes are frozen and don't warm it."
3922_723_000059_000000	"But why is it?	"But why is it?
3922_723_000059_000001	Why?" foolish Mitya still persisted.	Why?" foolish Mitya still persisted.
3922_723_000060_000000	"Why, they're poor people, burnt out.	"Why, they're poor people, burnt out.
3922_723_000060_000001	They've no bread.	They've no bread.
3922_723_000060_000002	They're begging because they've been burnt out."	They're begging because they've been burnt out."
3922_723_000061_000001	"Tell me why it is those poor mothers stand there?	"Tell me why it is those poor mothers stand there?
3922_723_000061_000002	Why are people poor?	Why are people poor?
3922_723_000061_000003	Why is the babe poor? Why is the steppe barren?	Why is the babe poor? Why is the steppe barren?
3922_723_000061_000004	Why don't they hug each other and kiss?	Why don't they hug each other and kiss?
3922_723_000061_000005	Why don't they sing songs of joy?	Why don't they sing songs of joy?
3922_723_000061_000006	Why are they so dark from black misery?	Why are they so dark from black misery?
3922_723_000061_000007	Why don't they feed the babe?"	Why don't they feed the babe?"
3922_723_000062_000000	And he felt that, though his questions were unreasonable and senseless, yet he wanted to ask just that, and he had to ask it just in that way.	And he felt that, though his questions were unreasonable and senseless, yet he wanted to ask just that, and he had to ask it just in that way.
3922_723_000063_000000	"And I'm coming with you.	"And I'm coming with you.
3922_723_000063_000001	I won't leave you now for the rest of my life, I'm coming with you," he heard close beside him Grushenka's tender voice, thrilling with emotion.	I won't leave you now for the rest of my life, I'm coming with you," he heard close beside him Grushenka's tender voice, thrilling with emotion.
3922_723_000063_000002	And his heart glowed, and he struggled forward towards the light, and he longed to live, to live, to go on and on, towards the new, beckoning light, and to hasten, hasten, now, at once!	And his heart glowed, and he struggled forward towards the light, and he longed to live, to live, to go on and on, towards the new, beckoning light, and to hasten, hasten, now, at once!
3922_723_000064_000000	"What!	"What!
3922_723_000064_000001	Where?" he exclaimed opening his eyes, and sitting up on the chest, as though he had revived from a swoon, smiling brightly.	Where?" he exclaimed opening his eyes, and sitting up on the chest, as though he had revived from a swoon, smiling brightly.
3922_723_000064_000002	Nikolay Parfenovitch was standing over him, suggesting that he should hear the protocol read aloud and sign it.	Nikolay Parfenovitch was standing over him, suggesting that he should hear the protocol read aloud and sign it.
3922_723_000064_000004	He was suddenly struck by the fact that there was a pillow under his head, which hadn't been there when he had leant back, exhausted, on the chest.	He was suddenly struck by the fact that there was a pillow under his head, which hadn't been there when he had leant back, exhausted, on the chest.
3922_723_000065_000000	"Who put that pillow under my head?	"Who put that pillow under my head?
3922_723_000065_000001	Who was so kind?" he cried, with a sort of ecstatic gratitude, and tears in his voice, as though some great kindness had been shown him.	Who was so kind?" he cried, with a sort of ecstatic gratitude, and tears in his voice, as though some great kindness had been shown him.
3922_723_000066_000000	He never found out who this kind man was; perhaps one of the peasant witnesses, or Nikolay Parfenovitch's little secretary, had compassionately thought to put a pillow under his head; but his whole soul was quivering with tears.	He never found out who this kind man was; perhaps one of the peasant witnesses, or Nikolay Parfenovitch's little secretary, had compassionately thought to put a pillow under his head; but his whole soul was quivering with tears.
3922_723_000066_000001	He went to the table and said that he would sign whatever they liked.	He went to the table and said that he would sign whatever they liked.
3922_723_000067_000000	"I've had a good dream, gentlemen," he said in a strange voice, with a new light, as of joy, in his face.	"I've had a good dream, gentlemen," he said in a strange voice, with a new light, as of joy, in his face.
