3866_173230_000000_000000	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	false	0	11.28	14.86561
3866_173230_000004_000002	Builders hereabouts appeared to have universally abandoned their work in the first stage of its creation. Land-holders set up poles on lost patches of ground, and, plaintively advertising that they were to let for building, raised sickly little crops meanwhile, in despair of finding a purchaser to deal with them. All the waste paper of the town seemed to float congenially to this neglected spot; and all the fretful children came and cried here, in charge of all the slatternly nurses who disgraced the place.	Builders hereabouts appeared to have universally abandoned their work in the first stage of its creation. Land holders set up poles on lost patches of ground, and, plaintively advertising that they were to let for building, raised sickly little crops meanwhile, in despair of finding a purchaser to deal with them. All the waste paper of the town seemed to float congenially to this neglected spot; and all the fretful children came and cried here, in charge of all the slatternly nurses who disgraced the place.	false	123.11	159.57	18.44966
3866_173230_000004_000003	If there was any intention in Thorpe Ambrose of sending a worn-out horse to the knacker's, that horse was sure to be found waiting his doom in a field on this side of the town.	If there was any intention in Thorpe Ambrose of sending a worn out horse to the knacker's, that horse was sure to be found waiting his doom in a field on this side of the town.	false	159.57	172.63	17.924265
3866_173230_000004_000004	No growth flourished in these desert regions but the arid growth of rubbish; and no creatures rejoiced but the creatures of the night--the vermin here and there in the beds, and the cats everywhere on the tiles.	No growth flourished in these desert regions but the arid growth of rubbish; and no creatures rejoiced but the creatures of the night-the vermin here and there in the beds, and the cats everywhere on the tiles.	false	173.3	189.31	18.736412
3866_173230_000005_000000	The sun had set, and the summer twilight was darkening.	The sun had set, and the summer twilight was darkening.	true	191.06	194.5	19.769941
3866_173230_000005_000001	The fretful children were crying in their cradles; the horse destined for the knacker dozed forlorn in the field of his imprisonment; the cats waited stealthily in corners for the coming night.	The fretful children were crying in their cradles; the horse destined for the knacker dozed forlorn in the field of his imprisonment; the cats waited stealthily in corners for the coming night.	true	195.02	206.53	20
3866_173230_000005_000002	But one living figure appeared in the lonely suburb--the figure of Mr. Bashwood.	But one living figure appeared in the lonely suburb-the figure of mr Bashwood.	true	207.29	213.13	16.61872
3866_173230_000005_000003	But one faint sound disturbed the dreadful silence--the sound of Mr. Bashwood's softly stepping feet.	But one faint sound disturbed the dreadful silence-the sound of mr Bashwood's softly stepping feet.	false	213.65	220.87	19.779615
3866_173230_000006_000000	Moving slowly past the heaps of bricks rising at intervals along the road, coasting carefully round the old iron and the broken tiles scattered here and there in his path, Mr. Bashwood advanced from the direction of the country toward one of the unfinished streets of the suburb.	Moving slowly past the heaps of bricks rising at intervals along the road, coasting carefully round the old iron and the broken tiles scattered here and there in his path, mr Bashwood advanced from the direction of the country toward one of the unfinished streets of the suburb.	false	221.51	240.46	18
3866_173230_000006_000001	His personal appearance had been apparently made the object of some special attention.	His personal appearance had been apparently made the object of some special attention.	true	240.68	245.59	17
3866_173230_000006_000002	His false teeth were brilliantly white; his wig was carefully brushed; his mourning garments, renewed throughout, gleamed with the hideous and slimy gloss of cheap black cloth.	His false teeth were brilliantly white; his wig was carefully brushed; his mourning garments, renewed throughout, gleamed with the hideous and slimy gloss of cheap black cloth.	true	246.29	260.95	19.906775
3866_173230_000006_000003	He moved with a nervous jauntiness, and looked about him with a vacant smile. Having reached the first of the skeleton cottages, his watery eyes settled steadily for the first time on the view of the street before him.	He moved with a nervous jauntiness, and looked about him with a vacant smile. Having reached the first of the skeleton cottages, his watery eyes settled steadily for the first time on the view of the street before him.	false	261.35	276.97	19.42238
3866_173230_000006_000004	The next instant he started; his breath quickened; he leaned, trembling and flushing, against the unfinished wall at his side.	The next instant he started; his breath quickened; he leaned, trembling and flushing, against the unfinished wall at his side.	true	277.67	287.95	19.69713
3866_173230_000006_000005	A lady, still at some distance, was advancing toward him down the length of the street.	A lady, still at some distance, was advancing toward him down the length of the street.	true	288.53	294.82	18.721777
3866_173230_000006_000006	"She's coming!" he whispered, with a strange mixture of rapture and fear, of alternating color and paleness, showing itself in his haggard face.	"She's coming!" he whispered, with a strange mixture of rapture and fear, of alternating color and paleness, showing itself in his haggard face.	true	295.34	307.78	18.71897
3866_173230_000006_000007	"I wish I was the ground she treads on!	"I wish I was the ground she treads on!	true	309.56	312.22	19
3866_173230_000006_000008	I wish I was the glove she's got on her hand!" He burst ecstatically into those extravagant words, with a concentrated intensity of delight in uttering them that actually shook his feeble figure from head to foot.	I wish I was the glove she's got on her hand!" He burst ecstatically into those extravagant words, with a concentrated intensity of delight in uttering them that actually shook his feeble figure from head to foot.	false	312.77	328.45	19.239649
3866_173230_000007_000000	Smoothly and gracefully the lady glided nearer and nearer, until she revealed to Mr. Bashwood's eyes, what Mr. Bashwood's instincts had recognized in the first instance--the face of Miss Gwilt.	Smoothly and gracefully the lady glided nearer and nearer, until she revealed to mr Bashwood's eyes, what mr Bashwood's instincts had recognized in the first instance-the face of Miss Gwilt.	true	329.66	345.76	18.60754
3866_173230_000008_000000	She was dressed with an exquisitely expressive economy of outlay.	She was dressed with an exquisitely expressive economy of outlay.	true	347.24	351.82	18
3866_173230_000008_000001	The plainest straw bonnet procurable, trimmed sparingly with the cheapest white ribbon, was on her head.	The plainest straw bonnet procurable, trimmed sparingly with the cheapest white ribbon, was on her head.	true	352.37	360.19	18.6064
3866_173230_000008_000002	Modest and tasteful poverty expressed itself in the speckless cleanliness and the modestly proportioned skirts of her light "print" gown, and in the scanty little mantilla of cheap black silk which she wore over it, edged with a simple frilling of the same material.	Modest and tasteful poverty expressed itself in the speckless cleanliness and the modestly proportioned skirts of her light "print" gown, and in the scanty little mantilla of cheap black silk which she wore over it, edged with a simple frilling of the same material.	false	360.95	382.45	19.999674
3866_173230_000008_000003	The luster of her terrible red hair showed itself unshrinkingly in a plaited coronet above her forehead, and escaped in one vagrant love-lock, perfectly curled, that dropped over her left shoulder.	The luster of her terrible red hair showed itself unshrinkingly in a plaited coronet above her forehead, and escaped in one vagrant love lock, perfectly curled, that dropped over her left shoulder.	false	383.15	398.17	18
3866_173230_000008_000004	Her gloves, fitting her like a second skin, were of the sober brown hue which is slowest to show signs of use.	Her gloves, fitting her like a second skin, were of the sober brown hue which is slowest to show signs of use.	true	398.69	407.89	17.312035
3866_173230_000008_000005	One hand lifted her dress daintily above the impurities of the road; the other held a little nosegay of the commonest garden flowers.	One hand lifted her dress daintily above the impurities of the road; the other held a little nosegay of the commonest garden flowers.	true	408.65	417.46	17
3866_173230_000008_000006	Noiselessly and smoothly she came on, with a gentle and regular undulation of the print gown; with the love-lock softly lifted from moment to moment in the evening breeze; with her head a little drooped, and her eyes on the ground--in walk, and look, and manner, in every casual movement that escaped her, expressing that subtle mixture of the voluptuous and the modest which, of the many attractive extremes that meet in women, is in a man's eyes the most irresistible of all.	Noiselessly and smoothly she came on, with a gentle and regular undulation of the print gown; with the love lock softly lifted from moment to moment in the evening breeze; with her head a little drooped, and her eyes on the ground-in walk, and look, and manner, in every casual movement that escaped her, expressing that subtle mixture of the voluptuous and the modest which, of the many attractive extremes that meet in women, is in a man's eyes the most irresistible of all.	false	418.13	455.56	18.305359
3866_173230_000009_000000	"Mr. Bashwood!" she exclaimed, in loud, clear tones indicative of the utmost astonishment, "what a surprise to find you here!	"mr Bashwood!" she exclaimed, in loud, clear tones indicative of the utmost astonishment, "what a surprise to find you here!	true	456.35	465.22	20.41442
3866_173230_000009_000001	I thought none but the wretched inhabitants ever ventured near this side of the town. Hush!" she added quickly, in a whisper.	I thought none but the wretched inhabitants ever ventured near this side of the town. Hush!" she added quickly, in a whisper.	true	466.19	474.25	18.068913
3866_173230_000009_000002	"You heard right when you heard that Mr. Armadale was going to have me followed and watched.	"You heard right when you heard that mr Armadale was going to have me followed and watched.	true	474.68	479.29	15
3866_173230_000009_000003	There's a man behind one of the houses.	There's a man behind one of the houses.	true	479.39	481.57	14
3866_173230_000009_000004	We must talk out loud of indifferent things, and look as if we had met by accident.	We must talk out loud of indifferent things, and look as if we had met by accident.	true	482.57	487.35	19
3866_173230_000009_000005	Ask me what I am doing. Out loud!	Ask me what I am doing. Out loud!	false	487.35	490.335	19.737762
3866_173230_000009_000006	Directly!	Directly!	true	490.335	491.14	21.369549
3866_173230_000009_000007	You shall never see me again, if you don't instantly leave off trembling and do what I tell you!"	You shall never see me again, if you don't instantly leave off trembling and do what I tell you!"	true	491.45	496.99	14
3866_173230_000010_000000	She spoke with a merciless tyranny of eye and voice--with a merciless use of her power over the feeble creature whom she addressed.	She spoke with a merciless tyranny of eye and voice-with a merciless use of her power over the feeble creature whom she addressed.	false	497.99	506.71	15
3866_173230_000010_000001	Mr. Bashwood obeyed her in tones that quavered with agitation, and with eyes that devoured her beauty in a strange fascination of terror and delight.	mr Bashwood obeyed her in tones that quavered with agitation, and with eyes that devoured her beauty in a strange fascination of terror and delight.	true	507.38	517.57	16
3866_173230_000011_000000	"I am trying to earn a little money by teaching music," she said, in the voice intended to reach the spy's ears.	"I am trying to earn a little money by teaching music," she said, in the voice intended to reach the spy's ears.	true	518.99	524.89	17
3866_173230_000011_000001	"If you are able to recommend me any pupils, Mr. Bashwood, your good word will oblige me.	"If you are able to recommend me any pupils, mr Bashwood, your good word will oblige me.	false	525.17	530.74	18.242214
3866_173230_000011_000002	Have you been in the grounds to-day?" she went on, dropping her voice again in a whisper.	Have you been in the grounds to day?" she went on, dropping her voice again in a whisper.	true	531.11	536.46	17.223063
3866_173230_000011_000003	"Has Mr. Armadale been near the cottage?	"Has mr Armadale been near the cottage?	false	536.46	538.56	12
3866_173230_000011_000004	Has Miss Milroy been out of the garden?	Has Miss Milroy been out of the garden?	false	538.56	540.76	19
3866_173230_000011_000005	No?	No?	true	541.43	542.14	23.25915
3866_173230_000011_000006	Are you sure?	Are you sure?	true	542.15	543.19	19.675568
3866_173230_000011_000007	Look out for them to-morrow, and next day, and next day.	Look out for them to morrow, and next day, and next day.	true	543.44	546.82	16
3866_173230_000011_000008	They are certain to meet and make it up again, and I must and will know of it.	They are certain to meet and make it up again, and I must and will know of it.	false	546.95	552.64	18.757706
3866_173230_000011_000009	Hush!	Hush!	true	553.01	553.63	22.749302
3866_173230_000011_000010	Ask me my terms for teaching music.	Ask me my terms for teaching music.	true	553.88	556.08	19
3866_173230_000011_000011	What are you frightened about?	What are you frightened about?	false	556.08	558.555	14.3950815
3866_173230_000011_000012	It's me the man's after--not you. Louder than when you asked me what I was doing, just now; louder, or I won't trust you any more; I'll go to somebody else!"	It's me the man's after-not you. Louder than when you asked me what I was doing, just now; louder, or I won't trust you any more; I'll go to somebody else!"	false	558.555	569.68	18.273613
3866_173230_000012_000000	Once more Mr. Bashwood obeyed.	Once more mr Bashwood obeyed.	true	570.86	572.95	19
3866_173230_000012_000001	"Don't be angry with me," he murmured, faintly, when he had spoken the necessary words.	"Don't be angry with me," he murmured, faintly, when he had spoken the necessary words.	true	573.08	578.08	17
3866_173230_000012_000002	"My heart beats so you'll kill me!"	"My heart beats so you'll kill me!"	true	578.42	580.87	17
3866_173230_000013_000000	"You poor old dear!" she whispered back, with a sudden change in her manner, with an easy satirical tenderness.	"You poor old dear!" she whispered back, with a sudden change in her manner, with an easy satirical tenderness.	true	582.59	590.56	18
3866_173230_000013_000001	"What business have you with a heart at your age?	"What business have you with a heart at your age?	false	591.2	595.15	19
3866_173230_000013_000002	Be here to-morrow at the same time, and tell me what you have seen in the grounds.	Be here to morrow at the same time, and tell me what you have seen in the grounds.	true	595.79	600.16	19
3866_173230_000013_000003	My terms are only five shillings a lesson," she went on, in her louder tone.	My terms are only five shillings a lesson," she went on, in her louder tone.	false	600.95	607.06	17.84656
3866_173230_000013_000004	"I'm sure that's not much, Mr. Bashwood; I give such long lessons, and I get all my pupils' music half-price." She suddenly dropped her voice again, and looked him brightly into instant subjection.	"I'm sure that's not much, mr Bashwood; I give such long lessons, and I get all my pupils' music half price." She suddenly dropped her voice again, and looked him brightly into instant subjection.	true	607.64	620.68	19.553804
3866_173230_000013_000005	"Don't let Mr. Armadale out of your sight to-morrow!	"Don't let mr Armadale out of your sight to morrow!	true	621.23	623.98	15
3866_173230_000013_000006	If that girl manages to speak to him, and if I don't hear of it, I'll frighten you to death.	If that girl manages to speak to him, and if I don't hear of it, I'll frighten you to death.	false	624.17	630.73	19.679138
3866_173230_000013_000007	If I _do_ hear of it, I'll kiss you!	If I underscore do underscore hear of it, I'll kiss you!	false	631.4	635.22	16.680323
3866_173230_000013_000008	Hush!	Hush!	false	635.22	636.42	19.099066
3866_173230_000013_000009	Wish me good-night, and go on to the town, and leave me to go the other way.	Wish me good night, and go on to the town, and leave me to go the other way.	false	636.42	641.08	18.729963
3866_173230_000013_000010	I don't want you--I'm not afraid of the man behind the houses; I can deal with him by myself.	I don't want you-I'm not afraid of the man behind the houses; I can deal with him by myself.	false	641.42	647.02	17.029776
3866_173230_000013_000011	Say goodnight, and I'll let you shake hands.	Say goodnight, and I'll let you shake hands.	true	647.3	649.99	17
3866_173230_000013_000012	Say it louder, and I'll give you one of my flowers, if you'll promise not to fall in love with it." She raised her voice again.	Say it louder, and I'll give you one of my flowers, if you'll promise not to fall in love with it." She raised her voice again.	true	650.72	658.69	16.677645
3866_173230_000013_000013	"Goodnight, Mr. Bashwood!	"Goodnight, mr Bashwood!	true	658.82	660.465	19.795456
3866_173230_000013_000014	Don't forget my terms.	Don't forget my terms.	true	660.465	661.92	18.31187
3866_173230_000013_000015	Five shillings a lesson, and the lessons last an hour at a time, and I get all my pupils' music half-price, which is an immense advantage, isn't it?" She slipped a flower into his hand--frowned him into obedience, and smiled to reward him for obeying, at the same moment--lifted her dress again above the impurities of the road--and went on her way with a dainty and indolent deliberation, as a cat goes on her way when she has exhausted the enjoyment of frightening a mouse.	Five shillings a lesson, and the lessons last an hour at a time, and I get all my pupils' music half price, which is an immense advantage, isn't it?" She slipped a flower into his hand-frowned him into obedience, and smiled to reward him for obeying, at the same moment-lifted her dress again above the impurities of the road-and went on her way with a dainty and indolent deliberation, as a cat goes on her way when she has exhausted the enjoyment of frightening a mouse.	false	661.92	696.43	18.695717
3866_173230_000014_000000	Left alone, Mr. Bashwood turned to the low cottage wall near which he had been standing, and, resting himself on it wearily, looked at the flower in his hand.	Left alone, mr Bashwood turned to the low cottage wall near which he had been standing, and, resting himself on it wearily, looked at the flower in his hand.	true	697.61	707.86	16
3866_173230_000015_000000	His past existence had disciplined him to bear disaster and insult, as few happier men could have borne them; but it had not prepared him to feel the master-passion of humanity, for the first time, at the dreary end of his life, in the hopeless decay of a manhood that had withered under the double blight of conjugal disappointment and parental sorrow. "Oh, if I was only young again!" murmured the poor wretch, resting his arms on the wall and touching the flower with his dry, fevered lips in a stealthy rapture of tenderness.	His past existence had disciplined him to bear disaster and insult, as few happier men could have borne them; but it had not prepared him to feel the master passion of humanity, for the first time, at the dreary end of his life, in the hopeless decay of a manhood that had withered under the double blight of conjugal disappointment and parental sorrow. "Oh, if I was only young again!" murmured the poor wretch, resting his arms on the wall and touching the flower with his dry, fevered lips in a stealthy rapture of tenderness.	true	708.68	747.1	17
3866_173230_000015_000001	"She might have liked me when I was twenty!" He suddenly started back into an erect position, and stared about him in vacant bewilderment and terror.	"She might have liked me when I was twenty!" He suddenly started back into an erect position, and stared about him in vacant bewilderment and terror.	true	747.95	757.33	18.658388
3866_173230_000015_000002	"She told me to go home," he said, with a startled look.	"She told me to go home," he said, with a startled look.	true	757.97	761.25	14.518039
3866_173230_000015_000003	"Why am I stopping here?"	"Why am I stopping here?"	true	761.25	762.61	23.331732
3866_173230_000015_000004	He turned, and hurried on to the town--in such dread of her anger, if she looked round and saw him, that he never so much as ventured on a backward glance at the road by which she had retired, and never detected the spy dogging her footsteps, under cover of the empty houses and the brick-heaps by the roadside.	He turned, and hurried on to the town-in such dread of her anger, if she looked round and saw him, that he never so much as ventured on a backward glance at the road by which she had retired, and never detected the spy dogging her footsteps, under cover of the empty houses and the brick heaps by the roadside.	false	763.04	782.11	16
3866_173230_000016_000000	Smoothly and gracefully, carefully preserving the speckless integrity of her dress, never hastening her pace, and never looking aside to the right hand or the left, Miss Gwilt pursued her way toward the open country.	Smoothly and gracefully, carefully preserving the speckless integrity of her dress, never hastening her pace, and never looking aside to the right hand or the left, Miss Gwilt pursued her way toward the open country.	true	783.17	797.65	18.364166
3866_173230_000016_000001	The suburban road branched off at its end in two directions.	The suburban road branched off at its end in two directions.	true	798.05	801.64	15
3866_173230_000016_000002	On the left, the path wound through a ragged little coppice to the grazing grounds of a neighboring farm; on the right, it led across a hillock of waste land to the high-road.	On the left, the path wound through a ragged little coppice to the grazing grounds of a neighboring farm; on the right, it led across a hillock of waste land to the high road.	true	801.74	813.28	19
3866_173230_000016_000003	Stopping a moment to consider, but not showing the spy that she suspected him by glancing behind her while there was a hiding-place within his reach, Miss Gwilt took the path across the hillock.	Stopping a moment to consider, but not showing the spy that she suspected him by glancing behind her while there was a hiding place within his reach, Miss Gwilt took the path across the hillock.	false	814.28	825.16	18
3866_173230_000016_000004	"I'll catch him there," she said to herself, looking up quietly at the long straight line of the empty high-road.	"I'll catch him there," she said to herself, looking up quietly at the long straight line of the empty high road.	true	825.65	832.6	16
3866_173230_000017_000000	Once on the ground that she had chosen for her purpose, she met the difficulties of the position with perfect tact and self-possession. After walking some thirty yards along the road, she let her nosegay drop, half turned round in stooping to pick it up, saw the man stopping at the same moment behind her, and instantly went on again, quickening her pace little by little, until she was walking at the top of her speed.	Once on the ground that she had chosen for her purpose, she met the difficulties of the position with perfect tact and self possession. After walking some thirty yards along the road, she let her nosegay drop, half turned round in stooping to pick it up, saw the man stopping at the same moment behind her, and instantly went on again, quickening her pace little by little, until she was walking at the top of her speed.	false	833.51	860.59	19.134491
3866_173230_000017_000001	The spy fell into the snare laid for him.	The spy fell into the snare laid for him.	true	861.26	864.19	20
3866_173230_000017_000002	Seeing the night coming, and fearing that he might lose sight of her in the darkness, he rapidly lessened the distance between them.	Seeing the night coming, and fearing that he might lose sight of her in the darkness, he rapidly lessened the distance between them.	false	864.44	872.64	19.202618
3866_173230_000017_000003	Miss Gwilt went on faster and faster till she plainly heard his footstep behind her, then stopped, turned, and met the man face to face the next moment.	Miss Gwilt went on faster and faster till she plainly heard his footstep behind her, then stopped, turned, and met the man face to face the next moment.	false	872.64	884.65	19.403748
3866_173230_000018_000000	"My compliments to Mr. Armadale," she said, "and tell him I've caught you watching me."	"My compliments to mr Armadale," she said, "and tell him I've caught you watching me."	true	885.35	891.76	19.678398
3866_173230_000019_000000	"I'm not watching you, miss," retorted the spy, thrown off his guard by the daring plainness of the language in which she had spoken to him.	"I'm not watching you, miss," retorted the spy, thrown off his guard by the daring plainness of the language in which she had spoken to him.	true	892.43	900.16	18
3866_173230_000020_000000	Miss Gwilt's eyes measured him contemptuously from head to foot.	Miss Gwilt's eyes measured him contemptuously from head to foot.	true	901.28	905.62	18.179882
3866_173230_000020_000001	He was a weakly, undersized man.	He was a weakly, undersized man.	false	906.08	909.36	19.261946
3866_173230_000020_000002	She was the taller, and (quite possibly) the stronger of the two.	She was the taller, and (quite possibly) the stronger of the two.	false	909.36	914.46	20.172005
3866_173230_000021_000000	"Take your hat off, you blackguard, when you speak to a lady," she said, and tossed his hat in an instant, across a ditch by which they were standing, into a pool on the other side.	"Take your hat off, you blackguard, when you speak to a lady," she said, and tossed his hat in an instant, across a ditch by which they were standing, into a pool on the other side.	false	914.46	926.17	18.33527
3866_173230_000022_000000	This time the spy was on his guard.	This time the spy was on his guard.	true	927.2	929.47	18.740583
3866_173230_000022_000001	He knew as well as Miss Gwilt knew the use which might be made of the precious minutes, if he turned his back on her and crossed the ditch to recover his hat.	He knew as well as Miss Gwilt knew the use which might be made of the precious minutes, if he turned his back on her and crossed the ditch to recover his hat.	true	929.78	939.73	19.921911
3866_173230_000022_000002	"It's well for you you're a woman," he said, standing scowling at her bareheaded in the fast-darkening light.	"It's well for you you're a woman," he said, standing scowling at her bareheaded in the fast darkening light.	true	940.34	947.65	17.73067
3866_173230_000023_000000	Miss Gwilt glanced sidelong down the onward vista of the road, and saw, through the gathering obscurity, the solitary figure of a man rapidly advancing toward her.	Miss Gwilt glanced sidelong down the onward vista of the road, and saw, through the gathering obscurity, the solitary figure of a man rapidly advancing toward her.	true	948.47	960.79	12
3866_173230_000023_000001	Some women would have noticed the approach of a stranger at that hour and in that lonely place with a certain anxiety. Miss Gwilt was too confident in her own powers of persuasion not to count on the man's assistance beforehand, whoever he might be, _because_ he was a man.	Some women would have noticed the approach of a stranger at that hour and in that lonely place with a certain anxiety. Miss Gwilt was too confident in her own powers of persuasion not to count on the man's assistance beforehand, whoever he might be, underscore because underscore he was a man.	false	961.55	981.67	11
3866_173230_000023_000002	She looked back at the spy with redoubled confidence in herself, and measured him contemptuously from head to foot for the second time.	She looked back at the spy with redoubled confidence in herself, and measured him contemptuously from head to foot for the second time.	false	982.4	992.11	13
3866_173230_000024_000000	"I wonder whether I'm strong enough to throw you after your hat?" she said.	"I wonder whether I'm strong enough to throw you after your hat?" she said.	true	992.99	997.18	20.609077
3866_173230_000024_000001	"I'll take a turn and consider it."	"I'll take a turn and consider it."	true	997.67	999.58	20.434225
3866_173230_000025_000000	She sauntered on a few steps toward the figure advancing along the road. The spy followed her close.	She sauntered on a few steps toward the figure advancing along the road. The spy followed her close.	true	1000.4	1006.6	21
3866_173230_000025_000001	"Try it," he said, brutally.	"Try it," he said, brutally.	true	1007.24	1009.33	16
3866_173230_000025_000002	"You're a fine woman; you're welcome to put your arms round me if you like." As the words escaped him, he too saw the stranger for the first time.	"You're a fine woman; you're welcome to put your arms round me if you like." As the words escaped him, he too saw the stranger for the first time.	false	1009.7	1019.83	18.21835
3866_173230_000025_000003	He drew back a step and waited.	He drew back a step and waited.	true	1020.59	1022.56	18.8633
3866_173230_000025_000004	Miss Gwilt, on her side, advanced a step and waited, too.	Miss Gwilt, on her side, advanced a step and waited, too.	false	1022.72	1028.16	19.340631
3866_173230_000026_000000	The stranger came on, with the lithe, light step of a practiced walker, swinging a stick in his hand and carrying a knapsack on his shoulders. A few paces nearer, and his face became visible.	The stranger came on, with the lithe, light step of a practiced walker, swinging a stick in his hand and carrying a knapsack on his shoulders. A few paces nearer, and his face became visible.	false	1028.16	1040.92	19.924843
3866_173230_000026_000001	He was a dark man, his black hair was powdered with dust, and his black eyes were looking steadfastly forward along the road before him.	He was a dark man, his black hair was powdered with dust, and his black eyes were looking steadfastly forward along the road before him.	true	1041.26	1049.68	20.649431
3866_173230_000027_000000	Miss Gwilt advanced with the first signs of agitation she had shown yet. "Is it possible?" she said, softly.	Miss Gwilt advanced with the first signs of agitation she had shown yet. "Is it possible?" she said, softly.	true	1050.53	1058.56	18.833319
3866_173230_000027_000001	"Can it really be you?"	"Can it really be you?"	true	1058.9	1060.9	17
3866_173230_000028_000000	It was Midwinter, on his way back to Thorpe Ambrose, after his fortnight among the Yorkshire moors.	It was Midwinter, on his way back to Thorpe Ambrose, after his fortnight among the Yorkshire moors.	true	1062.29	1070.29	19.297813
3866_173230_000029_000000	He stopped and looked at her, in breathless surprise.	He stopped and looked at her, in breathless surprise.	true	1070.81	1073.59	17
3866_173230_000029_000001	The image of the woman had been in his thoughts, at the moment when the woman herself spoke to him.	The image of the woman had been in his thoughts, at the moment when the woman herself spoke to him.	true	1073.99	1079.68	18
3866_173230_000029_000002	"Miss Gwilt!" he exclaimed, and mechanically held out his hand.	"Miss Gwilt!" he exclaimed, and mechanically held out his hand.	true	1080.26	1084.63	21.166357
3866_173230_000030_000000	She took it, and pressed it gently.	She took it, and pressed it gently.	false	1085.24	1087.51	17.8186
3866_173230_000030_000001	"I should have been glad to see you at any time," she said.	"I should have been glad to see you at any time," she said.	true	1088.09	1091.5	18
3866_173230_000030_000002	"You don't know how glad I am to see you now. May I trouble you to speak to that man?	"You don't know how glad I am to see you now. May I trouble you to speak to that man?	true	1091.63	1097.68	18.190422
3866_173230_000030_000003	He has been following me, and annoying me all the way from the town."	He has been following me, and annoying me all the way from the town."	true	1097.81	1102.78	21.678669
3866_173230_000031_000000	Midwinter stepped past her without uttering a word.	Midwinter stepped past her without uttering a word.	false	1103.84	1106.98	15
3866_173230_000031_000001	Faint as the light was, the spy saw what was coming in his face, and, turning instantly, leaped the ditch by the road-side.	Faint as the light was, the spy saw what was coming in his face, and, turning instantly, leaped the ditch by the road side.	false	1107.35	1116.09	20.662195
3866_173230_000031_000002	Before Midwinter could follow, Miss Gwilt's hand was on his shoulder.	Before Midwinter could follow, Miss Gwilt's hand was on his shoulder.	true	1116.09	1119.73	19
3866_173230_000032_000000	"No," she said, "you don't know who his employer is."	"No," she said, "you don't know who his employer is."	true	1120.13	1123.24	18
3866_173230_000033_000000	Midwinter stopped and looked at her.	Midwinter stopped and looked at her.	true	1124.39	1126.33	18
3866_173230_000034_000000	"Strange things have happened since you left us," she went on.	"Strange things have happened since you left us," she went on.	true	1127	1130.71	16
3866_173230_000034_000001	"I have been forced to give up my situation, and I am followed and watched by a paid spy.	"I have been forced to give up my situation, and I am followed and watched by a paid spy.	true	1131.17	1137.22	20.225988
3866_173230_000034_000002	Don't ask who forced me out of my situation, and who pays the spy--at least not just yet.	Don't ask who forced me out of my situation, and who pays the spy-at least not just yet.	false	1138.07	1145.14	18
