2299_6524_000001_000000	CHAPTER IV	CHAPTER four
2299_6524_000006_000002	I went near the ship and semaphored directions for her to get to this place as soon as she could, using steam if necessary.	I went near the ship and semaphored directions for her to get to this place as soon as she could, using steam if necessary.
2299_6524_000006_000003	She is at present wedged in with the pack, and I think Pennell hopes to warp her along when the pack loosens.	She is at present wedged in with the pack, and I think Pennell hopes to warp her along when the pack loosens.
2299_6524_000007_000000	Meares and I marked the new trail with kerosene tins before returning.	Meares and I marked the new trail with kerosene tins before returning.
2299_6524_000007_000002	Meanwhile the hut proceeds; altogether there are four layers of boarding to go on, two of which are nearing completion; it will be some time before the rest and the insulation is on.	Meanwhile the hut proceeds; altogether there are four layers of boarding to go on, two of which are nearing completion; it will be some time before the rest and the insulation is on.
2299_6524_000008_000000	It's a big job getting settled in like this and a tantalising one when one is hoping to do some depot work before the season closes.	It's a big job getting settled in like this and a tantalising one when one is hoping to do some depot work before the season closes.
2299_6524_000009_000000	We had a keen north wind to-night and a haze, but wind is dropping and sun shining brightly again.	We had a keen north wind to night and a haze, but wind is dropping and sun shining brightly again.
2299_6524_000009_000001	To-day seemed to be the hottest we have yet had; after walking across I was perspiring freely, and later as I sat in the sun after lunch one could almost imagine a warm summer day in England.	To day seemed to be the hottest we have yet had; after walking across I was perspiring freely, and later as I sat in the sun after lunch one could almost imagine a warm summer day in England.
2299_6524_000011_000003	After breakfast I went on board and was delighted to find a good solid road right up to the ship.	After breakfast I went on board and was delighted to find a good solid road right up to the ship.
2299_6524_000011_000004	A flag was hoisted immediately for the ponies to come out, and we commenced a good day's work.	A flag was hoisted immediately for the ponies to come out, and we commenced a good day's work.
2299_6524_000011_000005	All day the sledges have been coming to and fro, but most of the pulling work has been done by the ponies: the track is so good that these little animals haul anything from 12 to 18 cwt.	All day the sledges have been coming to and fro, but most of the pulling work has been done by the ponies: the track is so good that these little animals haul anything from twelve to eighteen hundredweight.
2299_6524_000011_000007	The dogs, working five to a team, haul 5 to 6 cwt. and of course they travel much faster than either ponies or men.	The dogs, working five to a team, haul five to six hundredweight. and of course they travel much faster than either ponies or men.
2299_6524_000012_000001	Later in the day we made a start on the first of these, and got 7 tons ashore before ceasing work.	Later in the day we made a start on the first of these, and got seven tons ashore before ceasing work.
2299_6524_000012_000002	We close with a good day to our credit, marred by an unfortunate incident--one of the dogs, a good puller, was seen to cough after a journey; he was evidently trying to bring something up--two minutes later he was dead.	We close with a good day to our credit, marred by an unfortunate incident-one of the dogs, a good puller, was seen to cough after a journey; he was evidently trying to bring something up-two minutes later he was dead.
2299_6524_000012_000003	Nobody seems to know the reason, but a post-mortem is being held by Atkinson and I suppose the cause of death will be found.	Nobody seems to know the reason, but a post mortem is being held by Atkinson and I suppose the cause of death will be found.
2299_6524_000012_000004	We can't afford to lose animals of any sort.	We can't afford to lose animals of any sort.
2299_6524_000013_000000	All the ponies except three have now brought loads from the ship.	All the ponies except three have now brought loads from the ship.
2299_6524_000013_000001	Oates thinks these three are too nervous to work over this slippery surface.	Oates thinks these three are too nervous to work over this slippery surface.
2299_6524_000013_000002	However, he tried one of the hardest cases to-night, a very fine pony, and got him in successfully with a big load.	However, he tried one of the hardest cases to night, a very fine pony, and got him in successfully with a big load.
2299_6524_000014_000000	To-morrow we ought to be running some twelve or thirteen of these animals.	To morrow we ought to be running some twelve or thirteen of these animals.
2299_6524_000015_000000	Griffith Taylor's bolted on three occasions, the first two times more or less due to his own fault, but the third owing to the stupidity of one of the sailors.	Griffith Taylor's bolted on three occasions, the first two times more or less due to his own fault, but the third owing to the stupidity of one of the sailors.
2299_6524_000015_000002	It was still funnier when he brought his final load (an exceptionally heavy one) with a set face and ardent pace, vouchsafing not a word to anyone he passed.	It was still funnier when he brought his final load (an exceptionally heavy one) with a set face and ardent pace, vouchsafing not a word to anyone he passed.
2299_6524_000017_000000	Bowers checks every case as it comes on shore and dashes off to the ship to arrange the precedence of different classes of goods.	Bowers checks every case as it comes on shore and dashes off to the ship to arrange the precedence of different classes of goods.
2299_6524_000017_000001	He proves a perfect treasure; there is not a single case he does not know or a single article of any sort which he cannot put his hand on at once.	He proves a perfect treasure; there is not a single case he does not know or a single article of any sort which he cannot put his hand on at once.
2299_6524_000018_000000	Rennick and Bruce are working gallantly at the discharge of stores on board.	Rennick and Bruce are working gallantly at the discharge of stores on board.
2299_6524_000019_000000	Williamson and Leese load the sledges and are getting very clever and expeditious.	Williamson and Leese load the sledges and are getting very clever and expeditious.
2299_6524_000019_000001	Evans (seaman) is generally superintending the sledging and camp outfit.	Evans (seaman) is generally superintending the sledging and camp outfit.
2299_6524_000020_000000	Wilson, Cherry-Garrard, Wright, Griffith Taylor, Debenham, Crean, and Browning have been driving ponies, a task at which I have assisted myself once or twice.	Wilson, Cherry Garrard, Wright, Griffith Taylor, Debenham, Crean, and Browning have been driving ponies, a task at which I have assisted myself once or twice.
2299_6524_000020_000001	There was a report that the ice was getting rotten, but I went over it myself and found it sound throughout.	There was a report that the ice was getting rotten, but I went over it myself and found it sound throughout.
2299_6524_000020_000002	The accident with the motor sledge has made people nervous.	The accident with the motor sledge has made people nervous.
2299_6524_000021_000000	The weather has been very warm and fine on the whole, with occasional gleams of sunshine, but to-night there is a rather chill wind from the south.	The weather has been very warm and fine on the whole, with occasional gleams of sunshine, but to night there is a rather chill wind from the south.
2299_6524_000021_000001	The hut is progressing famously.	The hut is progressing famously.
2299_6524_000022_000002	Nothing like it has been done before; nothing so expeditious and complete.	Nothing like it has been done before; nothing so expeditious and complete.
2299_6524_000022_000003	This morning the main loads were fodder.	This morning the main loads were fodder.
2299_6524_000022_000005	Some addition to our patent fuel was made in the morning, and later in the afternoon it came in a steady stream.	Some addition to our patent fuel was made in the morning, and later in the afternoon it came in a steady stream.
2299_6524_000022_000006	We have more than 12 tons and could make this do if necessity arose.	We have more than twelve tons and could make this do if necessity arose.
2299_6524_000023_000000	In addition to this oddments have been arriving all day--instruments, clothing, and personal effects.	In addition to this oddments have been arriving all day-instruments, clothing, and personal effects.
2299_6524_000023_000001	Our camp is becoming so perfect in its appointments that I am almost suspicious of some drawback hidden by the summer weather.	Our camp is becoming so perfect in its appointments that I am almost suspicious of some drawback hidden by the summer weather.
2299_6524_000024_000000	The hut is progressing apace, and all agree that it should be the most perfectly comfortable habitation.	The hut is progressing apace, and all agree that it should be the most perfectly comfortable habitation.
2299_6524_000024_000001	'It amply repays the time and attention given to the planning.' The sides have double boarding inside and outside the frames, with a layer of our excellent quilted seaweed insulation between each pair of boardings.	'It amply repays the time and attention given to the planning.' The sides have double boarding inside and outside the frames, with a layer of our excellent quilted seaweed insulation between each pair of boardings.
2299_6524_000024_000003	To add to the wall insulation the south and east sides of the hut are piled high with compressed forage bales, whilst the north side is being prepared as a winter stable for the ponies.	To add to the wall insulation the south and east sides of the hut are piled high with compressed forage bales, whilst the north side is being prepared as a winter stable for the ponies.
2299_6524_000024_000004	The stable will stand between the wall of the hut and a wall built of forage bales, six bales high and two bales thick.	The stable will stand between the wall of the hut and a wall built of forage bales, six bales high and two bales thick.
2299_6524_000024_000005	This will be roofed with rafters and tarpaulin, as we cannot find enough boarding.	This will be roofed with rafters and tarpaulin, as we cannot find enough boarding.
2299_6524_000025_000000	Some of the ponies are very troublesome, but all except two have been running to-day, and until this evening there were no excitements.	Some of the ponies are very troublesome, but all except two have been running to day, and until this evening there were no excitements.
2299_6524_000025_000001	After tea Oates suggested leading out the two intractable animals behind other sledges; at the same time he brought out the strong, nervous grey pony.	After tea Oates suggested leading out the two intractable animals behind other sledges; at the same time he brought out the strong, nervous grey pony.
2299_6524_000025_000003	But whilst one of the sledges was being unpacked the pony tied to it suddenly got scared.	But whilst one of the sledges was being unpacked the pony tied to it suddenly got scared.
2299_6524_000025_000006	Half-way over the floe my rear pony got his foreleg foul of his halter, then got frightened, tugged at his halter, and lifted the unladen sledge to which he was tied--then the halter broke and away he went.	half-way over the floe my rear pony got his foreleg foul of his halter, then got frightened, tugged at his halter, and lifted the unladen sledge to which he was tied-then the halter broke and away he went.
2299_6524_000025_000007	But by this time the damage was done.	But by this time the damage was done.
2299_6524_000025_000008	My pony snorted wildly and sprang forward as the sledge banged to the ground.	My pony snorted wildly and sprang forward as the sledge banged to the ground.
2299_6524_000025_000010	He galloped back and the party dejectedly returned.	He galloped back and the party dejectedly returned.
2299_6524_000025_000012	Finally he was captured and led forth once more between Oates and Anton.	Finally he was captured and led forth once more between Oates and Anton.
2299_6524_000025_000013	He remained fairly well on the outward journey, but on the homeward grew restive again; Evans, who was now leading him, called for Anton, and both tried to hold him, but to no purpose--he dashed off, upset his load, and came back to camp with the sledge.	He remained fairly well on the outward journey, but on the homeward grew restive again; Evans, who was now leading him, called for Anton, and both tried to hold him, but to no purpose-he dashed off, upset his load, and came back to camp with the sledge.
2299_6524_000025_000014	All these troubles arose after he had made three journeys without a hitch and we had come to regard him as a nice, placid, gritty pony.	All these troubles arose after he had made three journeys without a hitch and we had come to regard him as a nice, placid, gritty pony.
2299_6524_000025_000015	Now I'm afraid it will take a deal of trouble to get him safe again, and we have three very troublesome beasts instead of two.	Now I'm afraid it will take a deal of trouble to get him safe again, and we have three very troublesome beasts instead of two.
2299_6524_000025_000017	The majority of our animals seem pretty quiet now, but any one of them may break out in this way if things go awry.	The majority of our animals seem pretty quiet now, but any one of them may break out in this way if things go awry.
2299_6524_000026_000000	The weather has the appearance of breaking.	The weather has the appearance of breaking.
2299_6524_000026_000001	We had a strongish northerly breeze at midday with snow and hail storms, and now the wind has turned to the south and the sky is overcast with threatenings of a blizzard.	We had a strongish northerly breeze at midday with snow and hail storms, and now the wind has turned to the south and the sky is overcast with threatenings of a blizzard.
2299_6524_000026_000002	The floe is cracking and pieces may go out--if so the ship will have to get up steam again.	The floe is cracking and pieces may go out-if so the ship will have to get up steam again.
2299_6524_000027_000002	The post-mortem on last night's death revealed nothing to account for it.	The post mortem on last night's death revealed nothing to account for it.
2299_6524_000029_000000	The threatened blizzard materialised at about four o'clock this morning.	The threatened blizzard materialised at about four o'clock this morning.
2299_6524_000029_000001	The wind increased to force six or seven at the ship, and continued to blow, with drift, throughout the forenoon.	The wind increased to force six or seven at the ship, and continued to blow, with drift, throughout the forenoon.
2299_6524_000030_000001	They started to go back, but the ship being blotted out, turned and gave us their company at breakfast.	They started to go back, but the ship being blotted out, turned and gave us their company at breakfast.
2299_6524_000030_000002	The day was altogether too bad for outside work, so we turned our attention to the hut interior, with the result that to-night all the matchboarding is completed.	The day was altogether too bad for outside work, so we turned our attention to the hut interior, with the result that to night all the matchboarding is completed.
2299_6524_000030_000003	The floor linoleum is the only thing that remains to be put down; outside, the roof and ends have to be finished.	The floor linoleum is the only thing that remains to be put down; outside, the roof and ends have to be finished.
2299_6524_000030_000005	It is a first-rate building in an extraordinarily sheltered spot; whilst the wind was raging at the ship this morning we enjoyed comparative peace.	It is a first rate building in an extraordinarily sheltered spot; whilst the wind was raging at the ship this morning we enjoyed comparative peace.
2299_6524_000030_000006	Campbell says there was an extraordinary change as he approached the beach.	Campbell says there was an extraordinary change as he approached the beach.
2299_6524_000031_000000	I sent two or three people to dig into the hard snow drift behind the camp; they got into solid ice immediately, became interested in the job, and have begun the making of a cave which is to be our larder.	I sent two or three people to dig into the hard snow drift behind the camp; they got into solid ice immediately, became interested in the job, and have begun the making of a cave which is to be our larder.
2299_6524_000031_000001	Already they have tunnelled 6 or 8 feet in and have begun side channels.	Already they have tunnelled six or eight feet in and have begun side channels.
2299_6524_000031_000003	We had been speculating as to the origin of this solid drift and attached great antiquity to it, but the diggers came to a patch of earth with skua feathers, which rather knocks our theories on the head.	We had been speculating as to the origin of this solid drift and attached great antiquity to it, but the diggers came to a patch of earth with skua feathers, which rather knocks our theories on the head.
2299_6524_000032_000000	The wind began to drop at midday, and after lunch I went to the ship.	The wind began to drop at midday, and after lunch I went to the ship.
2299_6524_000033_000000	As far as I can see the open water extends to an east and west line which is a little short of the glacier tongue.	As far as I can see the open water extends to an east and west line which is a little short of the glacier tongue.
2299_6524_000034_000001	I trust they may last for a few days at least.	I trust they may last for a few days at least.
2299_6524_000036_000001	I ran six journeys with five dogs, driving them in the Siberian fashion for the first time.	I ran six journeys with five dogs, driving them in the Siberian fashion for the first time.
2299_6524_000036_000004	However, it's early days to decide such matters, and we shall learn much on the depot journey.	However, it's early days to decide such matters, and we shall learn much on the depot journey.
2299_6524_000037_000000	Early in the afternoon a message came from the ship to say that all stores had been landed.	Early in the afternoon a message came from the ship to say that all stores had been landed.
2299_6524_000037_000001	Nothing remains to be brought but mutton, books and pictures, and the pianola.	Nothing remains to be brought but mutton, books and pictures, and the pianola.
2299_6524_000037_000003	We are LANDED eight days after our arrival--a very good record.	We are LANDED eight days after our arrival-a very good record.
2299_6524_000038_000000	The hut could be inhabited at this moment, but probably we shall not begin to live in it for a week.	The hut could be inhabited at this moment, but probably we shall not begin to live in it for a week.
2299_6524_000039_000000	The grotto party are making headway into the ice for our larder, but it is slow and very arduous work.	The grotto party are making headway into the ice for our larder, but it is slow and very arduous work.
2299_6524_000042_000002	To the south the land outlines were hazy with drift, so my dog tour was abandoned.	To the south the land outlines were hazy with drift, so my dog tour was abandoned.
2299_6524_000042_000003	In the afternoon, with some moderation of conditions, the ballast party went to work, and wrought so well that more than 10 tons were got off before night.	In the afternoon, with some moderation of conditions, the ballast party went to work, and wrought so well that more than ten tons were got off before night.
2299_6524_000042_000004	The organisation of this work is extremely good.	The organisation of this work is extremely good.
2299_6524_000042_000006	I slept on board the ship and found it colder than the camp--the cabins were below freezing all night and the only warmth existed in the cheery spirit of the company.	I slept on board the ship and found it colder than the camp-the cabins were below freezing all night and the only warmth existed in the cheery spirit of the company.
2299_6524_000042_000008	I shaved and bathed last night (the first time for 10 days) and wrote letters from breakfast till tea time to-day.	I shaved and bathed last night (the first time for ten days) and wrote letters from breakfast till tea time to day.
2299_6524_000042_000009	Meanwhile the ballast team has been going on merrily, and to-night Pennell must have some 26 tons on board.	Meanwhile the ballast team has been going on merrily, and to night Pennell must have some twenty six tons on board.
2299_6524_000043_000001	The grotto has been much enlarged and is, in fact, now big enough to hold all our mutton and a considerable quantity of seal and penguin.	The grotto has been much enlarged and is, in fact, now big enough to hold all our mutton and a considerable quantity of seal and penguin.
2299_6524_000044_000002	The hard ice of this slope is a godsend and both grottoes will be ideal for their purposes.	The hard ice of this slope is a godsend and both grottoes will be ideal for their purposes.
2299_6524_000049_000000	Some of the ponies are not turning out so well as I expected; they are slow walkers and must inevitably impede the faster ones.	Some of the ponies are not turning out so well as I expected; they are slow walkers and must inevitably impede the faster ones.
2299_6524_000049_000002	'Then I am not quite sure they are going to stand the cold well, and on this first journey they may have to face pretty severe conditions.	'Then I am not quite sure they are going to stand the cold well, and on this first journey they may have to face pretty severe conditions.
2299_6524_000049_000003	Then, of course, there is the danger of losing them on thin ice or by injury sustained in rough places.	Then, of course, there is the danger of losing them on thin ice or by injury sustained in rough places.
2299_6524_000049_000004	Although we have fifteen now (two having gone for the Eastern Party) it is not at all certain that we shall have such a number when the main journey is undertaken next season.	Although we have fifteen now (two having gone for the Eastern Party) it is not at all certain that we shall have such a number when the main journey is undertaken next season.
2299_6524_000049_000005	One can only be careful and hope for the best.'	One can only be careful and hope for the best.'
2299_6524_000052_000000	We rose late, having breakfast at nine.	We rose late, having breakfast at nine.
2299_6524_000052_000001	The morning promised well and the day fulfilled the promise: we had bright sunshine and practically no wind.	The morning promised well and the day fulfilled the promise: we had bright sunshine and practically no wind.
2299_6524_000053_000001	After Service I told Campbell that I should have to cancel his two ponies and give him two others.	After Service I told Campbell that I should have to cancel his two ponies and give him two others.
2299_6524_000053_000002	He took it like the gentleman he is, thoroughly appreciating the reason.	He took it like the gentleman he is, thoroughly appreciating the reason.
2299_6524_000054_000001	After our talk we went together to explore the route, which we expected to find much crevassed.	After our talk we went together to explore the route, which we expected to find much crevassed.
2299_6524_000054_000002	I only intended to go a short way, but on reaching the snow above the uncovered hills of our Cape I found the surface so promising and so free from cracks that I went quite a long way.	I only intended to go a short way, but on reaching the snow above the uncovered hills of our Cape I found the surface so promising and so free from cracks that I went quite a long way.
2299_6524_000054_000003	Eventually I turned, leaving Campbell, Gran, and Nelson roped together and on ski to make their way onward, but not before I felt certain that the route to Cape Royds would be quite easy.	Eventually I turned, leaving Campbell, Gran, and Nelson roped together and on ski to make their way onward, but not before I felt certain that the route to Cape Royds would be quite easy.
2299_6524_000055_000001	We took a little provision and a cooker and our sleeping-bags.	We took a little provision and a cooker and our sleeping bags.
2299_6524_000055_000003	The dogs pulled well, and we went towards the Glacier Tongue at a brisk pace; found much of the ice uncovered.	The dogs pulled well, and we went towards the Glacier Tongue at a brisk pace; found much of the ice uncovered.
2299_6524_000055_000006	We found a good deal of compressed fodder and boxes of maize, but no grain crushed as expected.	We found a good deal of compressed fodder and boxes of maize, but no grain crushed as expected.
2299_6524_000055_000007	The open water was practically up to the Glacier Tongue.	The open water was practically up to the Glacier Tongue.
2299_6524_000056_000001	We came to a second crack, but avoided it by skirting to the west.	We came to a second crack, but avoided it by skirting to the west.
2299_6524_000056_000003	There was a small pool of open water and a longish crack off Hut Point.	There was a small pool of open water and a longish crack off Hut Point.
2299_6524_000056_000004	I got my feet very wet crossing the latter.	I got my feet very wet crossing the latter.
2299_6524_000056_000005	We passed hundreds of seals at the various cracks.	We passed hundreds of seals at the various cracks.
2299_6524_000057_000000	On the arrival at the hut to my chagrin we found it filled with snow.	On the arrival at the hut to my chagrin we found it filled with snow.
2299_6524_000057_000001	Shackleton reported that the door had been forced by the wind, but that he had made an entrance by the window and found shelter inside--other members of his party used it for shelter.	Shackleton reported that the door had been forced by the wind, but that he had made an entrance by the window and found shelter inside-other members of his party used it for shelter.
2299_6524_000057_000002	But they actually went away and left the window (which they had forced) open; as a result, nearly the whole of the interior of the hut is filled with hard icy snow, and it is now impossible to find shelter inside.	But they actually went away and left the window (which they had forced) open; as a result, nearly the whole of the interior of the hut is filled with hard icy snow, and it is now impossible to find shelter inside.
2299_6524_000058_000000	Meares and I were able to clamber over the snow to some extent and to examine the neat pile of cases in the middle, but they will take much digging out.	Meares and I were able to clamber over the snow to some extent and to examine the neat pile of cases in the middle, but they will take much digging out.
2299_6524_000058_000001	We got some asbestos sheeting from the magnetic hut and made the best shelter we could to boil our cocoa.	We got some asbestos sheeting from the magnetic hut and made the best shelter we could to boil our cocoa.
2299_6524_000059_000000	There was something too depressing in finding the old hut in such a desolate condition.	There was something too depressing in finding the old hut in such a desolate condition.
2299_6524_000059_000002	To camp outside and feel that all the old comfort and cheer had departed, was dreadfully heartrending.	To camp outside and feel that all the old comfort and cheer had departed, was dreadfully heartrending.
2299_6524_000059_000003	I went to bed thoroughly depressed.	I went to bed thoroughly depressed.
