816_2301_000002_000000	CHAPTER 17	CHAPTER seventeen
816_2301_000008_000009	With the brusque resolve and intrepidity that sometimes seizes upon very timid people--the courage of the coward greater than all others--she had presented herself at the old Englishman's half-open door, and, when he had not heeded her knock, had pushed it open, and at last, after all these years, stood upon the threshold of his room.	With the brusque resolve and intrepidity that sometimes seizes upon very timid people-the courage of the coward greater than all others-she had presented herself at the old Englishman's half open door, and, when he had not heeded her knock, had pushed it open, and at last, after all these years, stood upon the threshold of his room.
816_2301_000008_000010	She had found courage enough to explain her intrusion.	She had found courage enough to explain her intrusion.
816_2301_000009_000000	"I was making some tea, and I thought you would like to have a cup."	"I was making some tea, and I thought you would like to have a cup."
816_2301_000010_000000	Old Grannis dropped his hands upon either arm of his chair, and, leaning forward a little, looked at her blankly.	Old Grannis dropped his hands upon either arm of his chair, and, leaning forward a little, looked at her blankly.
816_2301_000010_000001	He did not speak.	He did not speak.
816_2301_000011_000000	The retired dressmaker's courage had carried her thus far; now it deserted her as abruptly as it had come.	The retired dressmaker's courage had carried her thus far; now it deserted her as abruptly as it had come.
816_2301_000011_000001	Her cheeks became scarlet; her funny little false curls trembled with her agitation.	Her cheeks became scarlet; her funny little false curls trembled with her agitation.
816_2301_000011_000002	What she had done seemed to her indecorous beyond expression.	What she had done seemed to her indecorous beyond expression.
816_2301_000011_000003	It was an enormity.	It was an enormity.
816_2301_000011_000005	She had done this--she who could not pass him on the stairs without a qualm. What to do she did not know.	She had done this-she who could not pass him on the stairs without a qualm. What to do she did not know.
816_2301_000011_000007	Helplessly, and with a little quaver in her voice, she repeated obstinately:	Helplessly, and with a little quaver in her voice, she repeated obstinately:
816_2301_000012_000000	"I was making some tea, and I thought you would like to have a cup of tea." Her agitation betrayed itself in the repetition of the word.	"I was making some tea, and I thought you would like to have a cup of tea." Her agitation betrayed itself in the repetition of the word.
816_2301_000012_000001	She felt that she could not hold the tray out another instant.	She felt that she could not hold the tray out another instant.
816_2301_000012_000002	Already she was trembling so that half the tea was spilled.	Already she was trembling so that half the tea was spilled.
816_2301_000013_000000	Old Grannis still kept silence, still bending forward, with wide eyes, his hands gripping the arms of his chair.	Old Grannis still kept silence, still bending forward, with wide eyes, his hands gripping the arms of his chair.
816_2301_000014_000000	Then with the tea-tray still held straight before her, the little dressmaker exclaimed tearfully:	Then with the tea tray still held straight before her, the little dressmaker exclaimed tearfully:
816_2301_000015_000000	"Oh, I didn't mean--I didn't mean--I didn't know it would seem like this.	"Oh, I didn't mean-I didn't mean-I didn't know it would seem like this.
816_2301_000015_000001	I only meant to be kind and bring you some tea; and now it seems SO improper.	I only meant to be kind and bring you some tea; and now it seems SO improper.
816_2301_000015_000002	I--I--I'm SO ashamed!	I-I-I'm SO ashamed!
816_2301_000015_000003	I don't know what you will think of me.	I don't know what you will think of me.
816_2301_000015_000004	I--" she caught her breath--"improper"--she managed to exclaim, "unlady-like--you can never think well of me--I'll go.	I-" she caught her breath-"improper"--she managed to exclaim, "unlady like-you can never think well of me-I'll go.
816_2301_000015_000005	I'll go." She turned about.	I'll go." She turned about.
816_2301_000016_000000	"Stop," cried Old Grannis, finding his voice at last.	"Stop," cried Old Grannis, finding his voice at last.
816_2301_000016_000001	Miss Baker paused, looking at him over her shoulder, her eyes very wide open, blinking through her tears, for all the world like a frightened child.	Miss Baker paused, looking at him over her shoulder, her eyes very wide open, blinking through her tears, for all the world like a frightened child.
816_2301_000017_000000	"Stop," exclaimed the old Englishman, rising to his feet.	"Stop," exclaimed the old Englishman, rising to his feet.
816_2301_000017_000001	"I didn't know it was you at first.	"I didn't know it was you at first.
816_2301_000017_000002	I hadn't dreamed--I couldn't believe you would be so good, so kind to me.	I hadn't dreamed-I couldn't believe you would be so good, so kind to me.
816_2301_000017_000003	Oh," he cried, with a sudden sharp breath, "oh, you ARE kind.	Oh," he cried, with a sudden sharp breath, "oh, you ARE kind.
816_2301_000017_000004	I--I--you have--have made me very happy."	I-I-you have-have made me very happy."
816_2301_000018_000000	"No, no," exclaimed Miss Baker, ready to sob.	"No, no," exclaimed Miss Baker, ready to sob.
816_2301_000018_000001	"It was unlady-like.	"It was unlady like.
816_2301_000018_000002	You will--you must think ill of me." She stood in the hall.	You will-you must think ill of me." She stood in the hall.
816_2301_000018_000003	The tears were running down her cheeks, and she had no free hand to dry them.	The tears were running down her cheeks, and she had no free hand to dry them.
816_2301_000019_000000	"Let me--I'll take the tray from you," cried Old Grannis, coming forward.	"Let me-I'll take the tray from you," cried Old Grannis, coming forward.
816_2301_000019_000001	A tremulous joy came upon him.	A tremulous joy came upon him.
816_2301_000019_000002	Never in his life had he been so happy.	Never in his life had he been so happy.
816_2301_000019_000003	At last it had come--come when he had least expected it.	At last it had come-come when he had least expected it.
816_2301_000019_000005	He felt his awkwardness leaving him.	He felt his awkwardness leaving him.
816_2301_000019_000006	He was almost certain that the little dressmaker loved him, and the thought gave him boldness.	He was almost certain that the little dressmaker loved him, and the thought gave him boldness.
816_2301_000019_000007	He came toward her and took the tray from her hands, and, turning back into the room with it, made as if to set it upon his table. But the piles of his pamphlets were in the way.	He came toward her and took the tray from her hands, and, turning back into the room with it, made as if to set it upon his table. But the piles of his pamphlets were in the way.
816_2301_000019_000008	Both of his hands were occupied with the tray; he could not make a place for it on the table. He stood for a moment uncertain, his embarrassment returning.	Both of his hands were occupied with the tray; he could not make a place for it on the table. He stood for a moment uncertain, his embarrassment returning.
816_2301_000020_000000	"Oh, won't you--won't you please--"	"Oh, won't you-won't you please-"
816_2301_000021_000000	"Wait, I'll help you," she said.	"Wait, I'll help you," she said.
816_2301_000021_000001	She came into the room, up to the table, and moved the pamphlets to one side.	She came into the room, up to the table, and moved the pamphlets to one side.
816_2301_000022_000000	"Thanks, thanks," murmured Old Grannis, setting down the tray.	"Thanks, thanks," murmured Old Grannis, setting down the tray.
816_2301_000023_000000	"Now--now--now I will go back," she exclaimed, hurriedly.	"Now-now-now I will go back," she exclaimed, hurriedly.
816_2301_000024_000000	"No--no," returned the old Englishman.	"No-no," returned the old Englishman.
816_2301_000024_000001	"Don't go, don't go.	"Don't go, don't go.
816_2301_000024_000002	I've been so lonely to-night--and last night too--all this year--all my life," he suddenly cried.	I've been so lonely to night-and last night too-all this year-all my life," he suddenly cried.
816_2301_000025_000000	"I--I--I've forgotten the sugar."	"I-I-I've forgotten the sugar."
816_2301_000026_000000	"But I never take sugar in my tea."	"But I never take sugar in my tea."
816_2301_000027_000000	"But it's rather cold, and I've spilled it--almost all of it."	"But it's rather cold, and I've spilled it-almost all of it."
816_2301_000028_000000	"I'll drink it from the saucer." Old Grannis had drawn up his armchair for her.	"I'll drink it from the saucer." Old Grannis had drawn up his armchair for her.
816_2301_000029_000000	"Oh, I shouldn't.	"Oh, I shouldn't.
816_2301_000030_000000	"Think ILL of you?" cried Old Grannis, "think ILL of you?	"Think ILL of you?" cried Old Grannis, "think ILL of you?
816_2301_000030_000001	Why, you don't know--you have no idea--all these years--living so close to you, I--I--" he paused suddenly.	Why, you don't know-you have no idea-all these years-living so close to you, I-I-" he paused suddenly.
816_2301_000030_000002	It seemed to him as if the beating of his heart was choking him.	It seemed to him as if the beating of his heart was choking him.
816_2301_000031_000000	"I thought you were binding your books to-night," said Miss Baker, suddenly, "and you looked tired.	"I thought you were binding your books to night," said Miss Baker, suddenly, "and you looked tired.
816_2301_000031_000001	I thought you looked tired when I last saw you, and a cup of tea, you know, it--that--that does you so much good when you're tired.	I thought you looked tired when I last saw you, and a cup of tea, you know, it-that-that does you so much good when you're tired.
816_2301_000031_000002	But you weren't binding books."	But you weren't binding books."
816_2301_000032_000000	"No, no," returned Old Grannis, drawing up a chair and sitting down. "No, I--the fact is, I've sold my apparatus; a firm of booksellers has bought the rights of it."	"No, no," returned Old Grannis, drawing up a chair and sitting down. "No, I-the fact is, I've sold my apparatus; a firm of booksellers has bought the rights of it."
816_2301_000033_000001	"I thought you always did about four o'clock.	"I thought you always did about four o'clock.
816_2301_000033_000002	I used to hear you when I was making tea."	I used to hear you when I was making tea."
816_2301_000034_000000	It hardly seemed possible to Miss Baker that she was actually talking to Old Grannis, that the two were really chatting together, face to face, and without the dreadful embarrassment that used to overwhelm them both when they met on the stairs.	It hardly seemed possible to Miss Baker that she was actually talking to Old Grannis, that the two were really chatting together, face to face, and without the dreadful embarrassment that used to overwhelm them both when they met on the stairs.
816_2301_000034_000001	She had often dreamed of this, but had always put it off to some far-distant day.	She had often dreamed of this, but had always put it off to some far distant day.
816_2301_000034_000002	It was to come gradually, little by little, instead of, as now, abruptly and with no preparation. That she should permit herself the indiscretion of actually intruding herself into his room had never so much as occurred to her.	It was to come gradually, little by little, instead of, as now, abruptly and with no preparation. That she should permit herself the indiscretion of actually intruding herself into his room had never so much as occurred to her.
816_2301_000034_000003	Yet here she was, IN HIS ROOM, and they were talking together, and little by little her embarrassment was wearing away.	Yet here she was, IN HIS ROOM, and they were talking together, and little by little her embarrassment was wearing away.
816_2301_000035_000000	"Yes, yes, I always heard you when you were making tea," returned the old Englishman; "I heard the tea things.	"Yes, yes, I always heard you when you were making tea," returned the old Englishman; "I heard the tea things.
816_2301_000035_000002	I used to pass the whole evening that way."	I used to pass the whole evening that way."
816_2301_000036_000000	"And, yes--yes--I did too," she answered.	"And, yes-yes-I did too," she answered.
816_2301_000036_000001	"I used to make tea just at that time and sit there for a whole hour."	"I used to make tea just at that time and sit there for a whole hour."
816_2301_000037_000000	"And didn't you sit close to the partition on your side?	"And didn't you sit close to the partition on your side?
816_2301_000037_000002	I could even fancy that I could hear your dress brushing against the wall-paper close beside me.	I could even fancy that I could hear your dress brushing against the wall paper close beside me.
816_2301_000037_000003	Didn't you sit close to the partition?"	Didn't you sit close to the partition?"
816_2301_000039_000000	Old Grannis shyly put out his hand and took hers as it lay upon her lap.	Old Grannis shyly put out his hand and took hers as it lay upon her lap.
816_2301_000040_000000	"Didn't you sit close to the partition on your side?" he insisted.	"Didn't you sit close to the partition on your side?" he insisted.
816_2301_000041_000000	"No--I don't know--perhaps--sometimes.	"No-I don't know-perhaps-sometimes.
816_2301_000041_000001	Oh, yes," she exclaimed, with a little gasp, "Oh, yes, I often did."	Oh, yes," she exclaimed, with a little gasp, "Oh, yes, I often did."
816_2301_000042_000000	Then Old Grannis put his arm about her, and kissed her faded cheek, that flushed to pink upon the instant.	Then Old Grannis put his arm about her, and kissed her faded cheek, that flushed to pink upon the instant.
816_2301_000043_000000	After that they spoke but little.	After that they spoke but little.
816_2301_000043_000001	The day lapsed slowly into twilight, and the two old people sat there in the gray evening, quietly, quietly, their hands in each other's hands, "keeping company," but now with nothing to separate them.	The day lapsed slowly into twilight, and the two old people sat there in the gray evening, quietly, quietly, their hands in each other's hands, "keeping company," but now with nothing to separate them.
816_2301_000043_000002	It had come at last.	It had come at last.
816_2301_000043_000003	After all these years they were together; they understood each other.	After all these years they were together; they understood each other.
816_2301_000043_000004	They stood at length in a little Elysium of their own creating.	They stood at length in a little Elysium of their own creating.
