5985_300208_000001_000000	AN INJUDICIOUS PAYMENT	AN INJUDICIOUS PAYMENT
5985_300208_000014_000001	But the old man's attitude toward society was chiefly that of an observer, and the narrow stream of sentiment left in his heart chose to flow toward the weaker party in this unequal conflict,--a young woman fighting for love and opportunity against the ranked forces of society, against immemorial tradition, against pride of family and of race.	But the old man's attitude toward society was chiefly that of an observer, and the narrow stream of sentiment left in his heart chose to flow toward the weaker party in this unequal conflict,--a young woman fighting for love and opportunity against the ranked forces of society, against immemorial tradition, against pride of family and of race.
5985_300208_000015_000000	"It may be the unwisest thing I ever did," he said to himself, turning to his desk and taking up a quill pen, "and may result in more harm than good; but I was always from childhood in sympathy with the under dog.	"It may be the unwisest thing I ever did," he said to himself, turning to his desk and taking up a quill pen, "and may result in more harm than good; but I was always from childhood in sympathy with the under dog.
5985_300208_000015_000001	There is certainly as much reason in my helping the girl as the boy, for being a woman, she is less able to help herself."	There is certainly as much reason in my helping the girl as the boy, for being a woman, she is less able to help herself."
5985_300208_000016_000000	He dipped his pen into the ink and wrote the following lines:--	He dipped his pen into the ink and wrote the following lines:--
5985_300208_000017_000000	MADAM,--If you value your daughter's happiness, keep her at home for the next day or two.	MADAM,--If you value your daughter's happiness, keep her at home for the next day or two.
5985_300208_000018_000000	This note he dried by sprinkling it with sand from a box near at hand, signed with his own name, and, with a fine courtesy, addressed to "Mrs. Molly Walden." Having first carefully sealed it in an envelope, he stepped to the open door, and spied, playing marbles on the street near by, a group of negro boys, one of whom the judge called by name.	This note he dried by sprinkling it with sand from a box near at hand, signed with his own name, and, with a fine courtesy, addressed to "mrs Molly Walden." Having first carefully sealed it in an envelope, he stepped to the open door, and spied, playing marbles on the street near by, a group of negro boys, one of whom the judge called by name.
5985_300208_000019_000001	Do you know where she lives--down on Front Street, in the house behind the cedars?"	Do you know where she lives-down on Front Street, in the house behind the cedars?"
5985_300208_000021_000001	When you come back and tell me what she says, I'll give you ten cents.	When you come back and tell me what she says, I'll give you ten cents.
5985_300208_000021_000002	On second thoughts, I shall be gone to lunch, so here's your money," he added, handing the lad the bit of soiled paper by which the United States government acknowledged its indebtedness to the bearer in the sum of ten cents.	On second thoughts, I shall be gone to lunch, so here's your money," he added, handing the lad the bit of soiled paper by which the United States government acknowledged its indebtedness to the bearer in the sum of ten cents.
5985_300208_000022_000001	Very few mortals can spare the spring of hope, the motive force of expectation.	Very few mortals can spare the spring of hope, the motive force of expectation.
5985_300208_000022_000002	The boy kept the note in his hand, winked at his companions, who had gathered as near as their awe of the judge would permit, and started down the street.	The boy kept the note in his hand, winked at his companions, who had gathered as near as their awe of the judge would permit, and started down the street.
5985_300208_000022_000003	As soon as the judge had disappeared, Billy beckoned to his friends, who speedily overtook him.	As soon as the judge had disappeared, Billy beckoned to his friends, who speedily overtook him.
5985_300208_000022_000004	When the party turned the corner of Front Street and were safely out of sight of Judge Straight's office, the capitalist entered the grocery store and invested his unearned increment in gingerbread.	When the party turned the corner of Front Street and were safely out of sight of Judge Straight's office, the capitalist entered the grocery store and invested his unearned increment in gingerbread.
5985_300208_000022_000006	He had nearly reached his objective point when he met upon the street a young white lady, whom he did not know, and for whom, the path being narrow at that point, he stepped out into the gutter.	He had nearly reached his objective point when he met upon the street a young white lady, whom he did not know, and for whom, the path being narrow at that point, he stepped out into the gutter.
5985_300208_000022_000007	He reached the house behind the cedars, went round to the back door, and handed the envelope to Mis' Molly, who was seated on the rear piazza, propped up by pillows in a comfortable rocking-chair.	He reached the house behind the cedars, went round to the back door, and handed the envelope to Mis' Molly, who was seated on the rear piazza, propped up by pillows in a comfortable rocking chair.
5985_300208_000025_000000	"Who's it fur?" she asked.	"Who's it fur?" she asked.
5985_300208_000029_000001	I'll have Aunt Zilphy fetch you a piece of 'tater pone, if you'll hol' on a minute."	I'll have Aunt Zilphy fetch you a piece of 'tater pone, if you'll hol' on a minute."
5985_300208_000030_000000	She called to Aunt Zilphy, who soon came hobbling out of the kitchen with a large square of the delicacy,--a flat cake made of mashed sweet potatoes, mixed with beaten eggs, sweetened and flavored to suit the taste, and baked in a Dutch oven upon the open hearth.	She called to Aunt Zilphy, who soon came hobbling out of the kitchen with a large square of the delicacy,--a flat cake made of mashed sweet potatoes, mixed with beaten eggs, sweetened and flavored to suit the taste, and baked in a Dutch oven upon the open hearth.
5985_300208_000031_000000	The boy took the gratuity, thanked her, and turned to go.	The boy took the gratuity, thanked her, and turned to go.
5985_300208_000031_000001	Mis' Molly was still scanning the superscription of the letter.	Mis' Molly was still scanning the superscription of the letter.
5985_300208_000031_000002	"I wonder," she murmured, "what old Judge Straight can be writin' to me about.	"I wonder," she murmured, "what old Judge Straight can be writin' to me about.
5985_300208_000031_000003	Oh, boy!"	Oh, boy!"
5985_300208_000035_000001	Never mind."	Never mind."
5985_300208_000036_000000	She laid the letter carefully on the chimney-piece of the kitchen.	She laid the letter carefully on the chimney piece of the kitchen.
