3221_9174_000002_000000	CHAPTER XI.	CHAPTER eleven.
3221_9174_000021_000008	Millowners and manufacturers build hospitals, schools, savings banks, asylums, and dwellings for their workpeople.	Millowners and manufacturers build hospitals, schools, savings banks, asylums, and dwellings for their workpeople.
3221_9174_000021_000009	Some of them form co-operative associations in which they have shares on the same terms as the others. Capitalists expend a part of their capital on educational, artistic, philanthropic, and other public institutions.	Some of them form co-operative associations in which they have shares on the same terms as the others. Capitalists expend a part of their capital on educational, artistic, philanthropic, and other public institutions.
3221_9174_000022_000000	All these phenomena might seem to be mere exceptions, except that they can all be referred to one common cause.	All these phenomena might seem to be mere exceptions, except that they can all be referred to one common cause.
3221_9174_000022_000001	Just as one might fancy the first leaves on the budding trees in April were exceptional if we did not know that they all have a common cause, the spring, and that if we see the branches on some trees shooting and turning green, it is certain that it will soon be so with all.	Just as one might fancy the first leaves on the budding trees in April were exceptional if we did not know that they all have a common cause, the spring, and that if we see the branches on some trees shooting and turning green, it is certain that it will soon be so with all.
3221_9174_000024_000001	And when there are no longer men willing to fill these offices, these offices themselves will disappear too.	And when there are no longer men willing to fill these offices, these offices themselves will disappear too.
3221_9174_000025_000000	But this is not the only way in which public opinion is leading men to the abolition of the prevailing order and the substitution of a new order.	But this is not the only way in which public opinion is leading men to the abolition of the prevailing order and the substitution of a new order.
3221_9174_000025_000001	As the positions based on the rule of force become less attractive and fewer men are found willing to fill them, the more will their uselessness be apparent.	As the positions based on the rule of force become less attractive and fewer men are found willing to fill them, the more will their uselessness be apparent.
3221_9174_000026_000000	Everywhere throughout the Christian world the same rulers, and the same governments, the same armies, the same law courts, the same tax-gatherers, the same priests, the same rich men, landowners, manufacturers, and capitalists, as ever, but the attitude of the world to them, and their attitude to themselves is altogether changed.	Everywhere throughout the Christian world the same rulers, and the same governments, the same armies, the same law courts, the same tax gatherers, the same priests, the same rich men, landowners, manufacturers, and capitalists, as ever, but the attitude of the world to them, and their attitude to themselves is altogether changed.
3221_9174_000028_000001	One year, ten, twenty years pass by.	One year, ten, twenty years pass by.
3221_9174_000028_000002	And it becomes less and less possible to rely on the army for the pacification of riots, and more and more evident, consequently, that generals, and officers, and soldiers are only figures in solemn processions--objects of amusement for governments--a sort of immense--and far too expensive--CORPS DE BALLET.	And it becomes less and less possible to rely on the army for the pacification of riots, and more and more evident, consequently, that generals, and officers, and soldiers are only figures in solemn processions-objects of amusement for governments-a sort of immense-and far too expensive-CORPS DE BALLET.
3221_9174_000029_000000	The same lawyers and judges, and the same assizes, but it becomes more and more evident that the civil courts decide cases on the most diverse grounds, but regardless of justice, and that criminal trials are quite senseless, because the punishments do not attain the objects aimed at by the judges themselves.	The same lawyers and judges, and the same assizes, but it becomes more and more evident that the civil courts decide cases on the most diverse grounds, but regardless of justice, and that criminal trials are quite senseless, because the punishments do not attain the objects aimed at by the judges themselves.
3221_9174_000030_000000	The same priests and archbishops and churches and synods, but it becomes more and more evident that they have long ago ceased to believe in what they preach, and therefore they can convince no one of the necessity of believing what they don't believe themselves.	The same priests and archbishops and churches and synods, but it becomes more and more evident that they have long ago ceased to believe in what they preach, and therefore they can convince no one of the necessity of believing what they don't believe themselves.
3221_9174_000031_000000	The same tax collectors, but they are less and less capable of taking men's property from them by force, and it becomes more and more evident that people can collect all that is necessary by voluntary subscription without their aid.	The same tax collectors, but they are less and less capable of taking men's property from them by force, and it becomes more and more evident that people can collect all that is necessary by voluntary subscription without their aid.
3221_9174_000032_000000	The same rich men, but it becomes more and more evident that they can only be of use by ceasing to administer their property in person and giving up to society the whole or at least a part of their wealth.	The same rich men, but it becomes more and more evident that they can only be of use by ceasing to administer their property in person and giving up to society the whole or at least a part of their wealth.
3221_9174_000033_000001	Wouldn't it be better, as some humorist suggested, to make a queen of india-rubber?"	Wouldn't it be better, as some humorist suggested, to make a queen of india rubber?"
3221_9174_000034_000000	And what good to us are these armies with their generals and bands and horses and drums?	And what good to us are these armies with their generals and bands and horses and drums?
3221_9174_000035_000000	And what is the use of these lawyers and judges who don't decide civil cases with justice and recognize themselves the uselessness of punishments in criminal cases?	And what is the use of these lawyers and judges who don't decide civil cases with justice and recognize themselves the uselessness of punishments in criminal cases?
3221_9174_000036_000000	And what is the use of tax collectors who collect the taxes unwillingly, when it is easy to raise all that is wanted without them?	And what is the use of tax collectors who collect the taxes unwillingly, when it is easy to raise all that is wanted without them?
3221_9174_000038_000000	And what is the use of capital in the hands of private persons, when it can only be of use as the property of all?	And what is the use of capital in the hands of private persons, when it can only be of use as the property of all?
3221_9174_000040_000000	But even before those who support these institutions decide to abolish them, the men who occupy these positions will be reduced to the necessity of throwing them up.	But even before those who support these institutions decide to abolish them, the men who occupy these positions will be reduced to the necessity of throwing them up.
3221_9174_000041_000001	And hence they must become more and more superfluous.	And hence they must become more and more superfluous.
3221_9174_000042_000000	I once took part in Moscow in a religious meeting which used to take place generally in the week after Easter near the church in the Ohotny Row.	I once took part in Moscow in a religious meeting which used to take place generally in the week after Easter near the church in the Ohotny Row.
3221_9174_000042_000002	It was absolutely unnecessary for the officer to disperse it.	It was absolutely unnecessary for the officer to disperse it.
3221_9174_000042_000003	A group of twenty men was no obstruction to anyone, but he had been standing there the whole morning, and he wanted to do something.	A group of twenty men was no obstruction to anyone, but he had been standing there the whole morning, and he wanted to do something.
3221_9174_000042_000005	It might do you good"; and turning round he continued his discourse.	It might do you good"; and turning round he continued his discourse.
3221_9174_000042_000006	The policeman turned his horse and went off without a word.	The policeman turned his horse and went off without a word.
3221_9174_000043_000000	That is just what should be done in all cases of violence.	That is just what should be done in all cases of violence.
3221_9174_000044_000000	The officer was bored, he had nothing to do.	The officer was bored, he had nothing to do.
3221_9174_000044_000001	He had been put, poor fellow, in a position in which he had no choice but to give orders.	He had been put, poor fellow, in a position in which he had no choice but to give orders.
3221_9174_000044_000003	And this is the position in which all these unlucky rulers, ministers, members of parliament, governors, generals, officers, archbishops, priests, and even rich men find themselves to some extent already, and will find themselves altogether as time goes on.	And this is the position in which all these unlucky rulers, ministers, members of parliament, governors, generals, officers, archbishops, priests, and even rich men find themselves to some extent already, and will find themselves altogether as time goes on.
3221_9174_000044_000004	They can do nothing but give orders, and they give orders and send their messengers, as the officer sent the policeman, to interfere with people.	They can do nothing but give orders, and they give orders and send their messengers, as the officer sent the policeman, to interfere with people.
3221_9174_000044_000005	And because the people they hinder turn to them and request them not to interfere, they fancy they are very useful indeed.	And because the people they hinder turn to them and request them not to interfere, they fancy they are very useful indeed.
3221_9174_000046_000000	The time will come and is inevitably coming when all institutions based on force will disappear through their uselessness, stupidity, and even inconvenience becoming obvious to all.	The time will come and is inevitably coming when all institutions based on force will disappear through their uselessness, stupidity, and even inconvenience becoming obvious to all.
3221_9174_000048_000001	And to him came two tailors, who promised to make him some extraordinary clothes.	And to him came two tailors, who promised to make him some extraordinary clothes.
3221_9174_000048_000002	The emperor engages them and they begin to sew at them, but they explain that the clothes have the extraordinary property of remaining invisible to anyone who is unfit for his position.	The emperor engages them and they begin to sew at them, but they explain that the clothes have the extraordinary property of remaining invisible to anyone who is unfit for his position.
3221_9174_000048_000006	The day of the procession comes in which the emperor is to go out in his new clothes.	The day of the procession comes in which the emperor is to go out in his new clothes.
3221_9174_000048_000007	The emperor undresses and puts on his new clothes, that is to say, remains naked, and naked he walks through the town.	The emperor undresses and puts on his new clothes, that is to say, remains naked, and naked he walks through the town.
3221_9174_000048_000008	But remembering the magic property of the clothes, no one ventures to say that he has nothing on till a little child cries out: "Look, he is naked!"	But remembering the magic property of the clothes, no one ventures to say that he has nothing on till a little child cries out: "Look, he is naked!"
3221_9174_000050_000002	All those things are the work of men.	All those things are the work of men.
3221_9174_000050_000004	And already they are beginning to understand it.	And already they are beginning to understand it.
3221_9174_000052_000000	But when will it be?	But when will it be?
3221_9174_000053_000003	For it may come any time, in such an hour as ye think not.	For it may come any time, in such an hour as ye think not.
3221_9174_000054_000002	Men cannot know when the day and the hour of the kingdom of God will come, because its coming depends on themselves alone.	Men cannot know when the day and the hour of the kingdom of God will come, because its coming depends on themselves alone.
3221_9174_000055_000000	The answer is like that of the wise man who, when asked whether it was far to the town, answered, "Walk!"	The answer is like that of the wise man who, when asked whether it was far to the town, answered, "Walk!"
3221_9174_000056_000000	How can we tell whether it is far to the goal which humanity is approaching, when we do not know how men are going toward it, while it depends on them whether they go or do not go, stand still, slacken their pace or hasten it?	How can we tell whether it is far to the goal which humanity is approaching, when we do not know how men are going toward it, while it depends on them whether they go or do not go, stand still, slacken their pace or hasten it?
3221_9174_000056_000001	All we can know is what we who make up mankind ought to do, and not to do, to bring about the coming of the kingdom of God.	All we can know is what we who make up mankind ought to do, and not to do, to bring about the coming of the kingdom of God.
3221_9174_000056_000002	And that we all know.	And that we all know.
