249_121331_000000_000000	CHAPTER 4.	CHAPTER four.	true	24.615	25.69	22.464014
249_121331_000010_000000	"Oh, clubs injurious to Princeton democracy; cost a lot; draw social lines, take time; the regular line you get sometimes from disappointed sophomores.	"Oh, clubs injurious to Princeton democracy; cost a lot; draw social lines, take time; the regular line you get sometimes from disappointed sophomores.	true	160.16	169.03	21.232468
249_121331_000010_000001	Woodrow thought they should be abolished and all that."	Woodrow thought they should be abolished and all that."	true	169.79	172.06	22.093145
249_121331_000011_000000	"But this is the real thing?"	"But this is the real thing?"	true	173.42	174.79	20.007513
249_121331_000012_000000	"Absolutely.	"Absolutely.	true	175.37	176.265	21.0141
249_121331_000012_000001	I think it'll go through."	I think it'll go through."	true	176.265	177.46	22.286438
249_121331_000013_000000	"For Pete's sake, tell me more about it."	"For Pete's sake, tell me more about it."	true	177.98	180.13	22.537228
249_121331_000014_000000	"Well," began Tom, "it seems that the idea developed simultaneously in several heads.	"Well," began Tom, "it seems that the idea developed simultaneously in several heads.	false	180.68	185.56	21.788525
249_121331_000014_000001	I was talking to Burne awhile ago, and he claims that it's a logical result if an intelligent person thinks long enough about the social system.	I was talking to Burne awhile ago, and he claims that it's a logical result if an intelligent person thinks long enough about the social system.	true	185.78	193.06	22.490568
249_121331_000014_000002	They had a 'discussion crowd' and the point of abolishing the clubs was brought up by some one--everybody there leaped at it--it had been in each one's mind, more or less, and it just needed a spark to bring it out."	They had a 'discussion crowd' and the point of abolishing the clubs was brought up by some one-everybody there leaped at it-it had been in each one's mind, more or less, and it just needed a spark to bring it out."	true	193.73	204.19	22.063448
249_121331_000015_000000	"Fine!	"Fine!	true	205.13	205.845	21.97334
249_121331_000015_000001	I swear I think it'll be most entertaining.	I swear I think it'll be most entertaining.	false	205.845	207.79	20
249_121331_000015_000002	How do they feel up at Cap and Gown?"	How do they feel up at Cap and Gown?"	false	208.16	210.78	20.506092
249_121331_000016_000000	"Wild, of course.	"Wild, of course.	true	210.78	211.93	23.754831
249_121331_000016_000001	Every one's been sitting and arguing and swearing and getting mad and getting sentimental and getting brutal.	Every one's been sitting and arguing and swearing and getting mad and getting sentimental and getting brutal.	true	212.18	216.91	13
249_121331_000016_000002	It's the same at all the clubs; I've been the rounds.	It's the same at all the clubs; I've been the rounds.	true	217.37	219.58	21.541212
249_121331_000016_000003	They get one of the radicals in the corner and fire questions at him."	They get one of the radicals in the corner and fire questions at him."	true	219.77	222.73	22
249_121331_000017_000000	"How do the radicals stand up?"	"How do the radicals stand up?"	true	223.85	225.49	25.916862
249_121331_000018_000000	"Oh, moderately well.	"Oh, moderately well.	true	226.1	227.5	23.61925
249_121331_000018_000001	Burne's a damn good talker, and so obviously sincere that you can't get anywhere with him.	Burne's a damn good talker, and so obviously sincere that you can't get anywhere with him.	true	227.9	232.45	20.802908
249_121331_000018_000002	It's so evident that resigning from his club means so much more to him than preventing it does to us that I felt futile when I argued; finally took a position that was brilliantly neutral.	It's so evident that resigning from his club means so much more to him than preventing it does to us that I felt futile when I argued; finally took a position that was brilliantly neutral.	true	232.67	242.65	21.285448
249_121331_000018_000003	In fact, I believe Burne thought for a while that he'd converted me."	In fact, I believe Burne thought for a while that he'd converted me."	true	242.84	246.34	22.761505
249_121331_000019_000000	"And you say almost a third of the junior class are going to resign?"	"And you say almost a third of the junior class are going to resign?"	true	247.61	250.66	17
249_121331_000020_000000	"Call it a fourth and be safe."	"Call it a fourth and be safe."	true	251.42	253.09	18.804941
249_121331_000021_000000	"Lord--who'd have thought it possible!"	"Lord-who'd have thought it possible!"	true	253.88	255.64	22.197453
249_121331_000022_000000	There was a brisk knock at the door, and Burne himself came in.	There was a brisk knock at the door, and Burne himself came in.	false	256.37	259.24	22.439196
249_121331_000022_000001	"Hello, Amory--hello, Tom."	"Hello, Amory-hello, Tom."	true	259.67	261.46	21.520012
249_121331_000023_000000	Amory rose.	Amory rose.	true	262.22	263.13	17
249_121331_000024_000000	"'Evening, Burne.	"'Evening, Burne.	false	263.13	264.915	19.88084
249_121331_000024_000001	Don't mind if I seem to rush; I'm going to Renwick's."	Don't mind if I seem to rush; I'm going to Renwick's."	true	264.915	267.52	18
249_121331_000025_000000	Burne turned to him quickly.	Burne turned to him quickly.	true	268.58	270.16	25.044771
249_121331_000026_000000	"You probably know what I want to talk to Tom about, and it isn't a bit private.	"You probably know what I want to talk to Tom about, and it isn't a bit private.	true	271.13	275.055	22.53248
249_121331_000026_000001	I wish you'd stay."	I wish you'd stay."	true	275.055	276.03	17
249_121331_000027_000000	"I'd be glad to." Amory sat down again, and as Burne perched on a table and launched into argument with Tom, he looked at this revolutionary more carefully than he ever had before.	"I'd be glad to." Amory sat down again, and as Burne perched on a table and launched into argument with Tom, he looked at this revolutionary more carefully than he ever had before.	false	276.03	286.75	21.384062
249_121331_000027_000001	Broad-browed and strong-chinned, with a fineness in the honest gray eyes that were like Kerry's, Burne was a man who gave an immediate impression of bigness and security--stubborn, that was evident, but his stubbornness wore no stolidity, and when he had talked for five minutes Amory knew that this keen enthusiasm had in it no quality of dilettantism.	Broad browed and strong chinned, with a fineness in the honest gray eyes that were like Kerry's, Burne was a man who gave an immediate impression of bigness and security-stubborn, that was evident, but his stubbornness wore no stolidity, and when he had talked for five minutes Amory knew that this keen enthusiasm had in it no quality of dilettantism.	true	287.63	307.42	20.908316
249_121331_000028_000000	The intense power Amory felt later in Burne Holiday differed from the admiration he had had for Humbird.	The intense power Amory felt later in Burne Holiday differed from the admiration he had had for Humbird.	true	310.52	315.88	20.282038
249_121331_000028_000001	This time it began as purely a mental interest.	This time it began as purely a mental interest.	true	316.25	318.88	18
249_121331_000028_000002	With other men of whom he had thought as primarily first-class, he had been attracted first by their personalities, and in Burne he missed that immediate magnetism to which he usually swore allegiance.	With other men of whom he had thought as primarily first-class, he had been attracted first by their personalities, and in Burne he missed that immediate magnetism to which he usually swore allegiance.	false	319.25	329.59	20.889273
249_121331_000028_000003	But that night Amory was struck by Burne's intense earnestness, a quality he was accustomed to associate only with the dread stupidity, and by the great enthusiasm that struck dead chords in his heart.	But that night Amory was struck by Burne's intense earnestness, a quality he was accustomed to associate only with the dread stupidity, and by the great enthusiasm that struck dead chords in his heart.	true	330.29	341.74	21.764837
249_121331_000028_000004	Burne stood vaguely for a land Amory hoped he was drifting toward--and it was almost time that land was in sight.	Burne stood vaguely for a land Amory hoped he was drifting toward-and it was almost time that land was in sight.	false	342.32	348.16	19.766548
249_121331_000028_000005	Tom and Amory and Alec had reached an impasse; never did they seem to have new experiences in common, for Tom and Alec had been as blindly busy with their committees and boards as Amory had been blindly idling, and the things they had for dissection--college, contemporary personality and the like--they had hashed and rehashed for many a frugal conversational meal.	Tom and Amory and Alec had reached an impasse; never did they seem to have new experiences in common, for Tom and Alec had been as blindly busy with their committees and boards as Amory had been blindly idling, and the things they had for dissection-college, contemporary personality and the like-they had hashed and rehashed for many a frugal conversational meal.	false	348.77	367.96	20.125387
249_121331_000029_000000	That night they discussed the clubs until twelve, and, in the main, they agreed with Burne.	That night they discussed the clubs until twelve, and, in the main, they agreed with Burne.	false	369.02	373.81	22.470179
249_121331_000029_000001	To the roommates it did not seem such a vital subject as it had in the two years before, but the logic of Burne's objections to the social system dovetailed so completely with everything they had thought, that they questioned rather than argued, and envied the sanity that enabled this man to stand out so against all traditions.	To the roommates it did not seem such a vital subject as it had in the two years before, but the logic of Burne's objections to the social system dovetailed so completely with everything they had thought, that they questioned rather than argued, and envied the sanity that enabled this man to stand out so against all traditions.	false	374.12	392.62	20.934847
249_121331_000030_000000	Then Amory branched off and found that Burne was deep in other things as well.	Then Amory branched off and found that Burne was deep in other things as well.	true	393.11	397.12	21
249_121331_000030_000001	Economics had interested him and he was turning socialist. Pacifism played in the back of his mind, and he read The Masses and Lyoff Tolstoi faithfully.	Economics had interested him and he was turning socialist. Pacifism played in the back of his mind, and he read The Masses and Lyoff Tolstoi faithfully.	false	397.67	406.24	21.222124
249_121331_000031_000000	"How about religion?" Amory asked him.	"How about religion?" Amory asked him.	true	407.51	409.33	21.635857
249_121331_000032_000000	"Don't know.	"Don't know.	true	410.15	410.97	19.91286
249_121331_000032_000001	I'm in a muddle about a lot of things--I've just discovered that I've a mind, and I'm starting to read."	I'm in a muddle about a lot of things-I've just discovered that I've a mind, and I'm starting to read."	true	410.97	415.96	20.381771
249_121331_000033_000000	"Read what?"	"Read what?"	false	416.63	418.17	20.90439
249_121331_000034_000000	"Everything.	"Everything.	true	418.17	418.93	20.15778
249_121331_000034_000001	I have to pick and choose, of course, but mostly things to make me think.	I have to pick and choose, of course, but mostly things to make me think.	true	419.06	422.77	21.671532
249_121331_000034_000002	I'm reading the four gospels now, and the 'Varieties of Religious Experience.'"	I'm reading the four gospels now, and the 'Varieties of Religious Experience.'"	true	423.23	427.12	20
249_121331_000035_000000	"What chiefly started you?"	"What chiefly started you?"	true	428.24	429.79	21.03061
249_121331_000036_000000	"Wells, I guess, and Tolstoi, and a man named Edward Carpenter.	"Wells, I guess, and Tolstoi, and a man named Edward Carpenter.	true	431.12	435.28	22.01011
249_121331_000036_000001	I've been reading for over a year now--on a few lines, on what I consider the essential lines."	I've been reading for over a year now-on a few lines, on what I consider the essential lines."	false	435.74	441.01	19.884848
249_121331_000037_000000	"Poetry?"	"Poetry?"	true	441.53	442.36	22.649862
249_121331_000038_000000	"Well, frankly, not what you call poetry, or for your reasons--you two write, of course, and look at things differently.	"Well, frankly, not what you call poetry, or for your reasons-you two write, of course, and look at things differently.	true	443.39	449.92	19.737606
249_121331_000038_000001	Whitman is the man that attracts me."	Whitman is the man that attracts me."	true	450.41	452.05	19.928911
249_121331_000039_000000	"Whitman?"	"Whitman?"	true	452.75	453.37	26.341373
249_121331_000040_000000	"Yes; he's a definite ethical force."	"Yes; he's a definite ethical force."	true	454.16	456.22	20.23309
249_121331_000041_000000	"Well, I'm ashamed to say that I'm a blank on the subject of Whitman. How about you, Tom?"	"Well, I'm ashamed to say that I'm a blank on the subject of Whitman. How about you, Tom?"	false	458.09	462.13	20.796843
249_121331_000042_000000	Tom nodded sheepishly.	Tom nodded sheepishly.	true	462.83	464.35	21.374083
249_121331_000043_000000	"Well," continued Burne, "you may strike a few poems that are tiresome, but I mean the mass of his work.	"Well," continued Burne, "you may strike a few poems that are tiresome, but I mean the mass of his work.	true	465.14	470.55	21.343805
249_121331_000043_000001	He's tremendous--like Tolstoi.	He's tremendous-like Tolstoi.	true	470.55	472.54	19.948584
249_121331_000043_000002	They both look things in the face, and, somehow, different as they are, stand for somewhat the same things."	They both look things in the face, and, somehow, different as they are, stand for somewhat the same things."	true	472.73	478.63	21.227667
249_121331_000044_000000	"You have me stumped, Burne," Amory admitted.	"You have me stumped, Burne," Amory admitted.	true	479.75	482.2	22.168524
249_121331_000044_000001	"I've read 'Anna Karenina' and the 'Kreutzer Sonata' of course, but Tolstoi is mostly in the original Russian as far as I'm concerned."	"I've read 'Anna Karenina' and the 'Kreutzer Sonata' of course, but Tolstoi is mostly in the original Russian as far as I'm concerned."	true	482.3	489.43	21.941713
249_121331_000045_000000	"He's the greatest man in hundreds of years," cried Burne enthusiastically.	"He's the greatest man in hundreds of years," cried Burne enthusiastically.	true	490.64	493.9	17
249_121331_000045_000001	"Did you ever see a picture of that shaggy old head of his?"	"Did you ever see a picture of that shaggy old head of his?"	false	493.94	496.33	18
249_121331_000046_000000	They talked until three, from biology to organized religion, and when Amory crept shivering into bed it was with his mind aglow with ideas and a sense of shock that some one else had discovered the path he might have followed.	They talked until three, from biology to organized religion, and when Amory crept shivering into bed it was with his mind aglow with ideas and a sense of shock that some one else had discovered the path he might have followed.	false	497.54	508.48	20.492474
249_121331_000046_000001	Burne Holiday was so evidently developing--and Amory had considered that he was doing the same.	Burne Holiday was so evidently developing-and Amory had considered that he was doing the same.	true	508.73	513.66	20.60949
249_121331_000046_000002	He had fallen into a deep cynicism over what had crossed his path, plotted the imperfectability of man and read Shaw and Chesterton enough to keep his mind from the edges of decadence--now suddenly all his mental processes of the last year and a half seemed stale and futile--a petty consummation of himself... and like a sombre background lay that incident of the spring before, that filled half his nights with a dreary terror and made him unable to pray. He was not even a Catholic, yet that was the only ghost of a code that he had, the gaudy, ritualistic, paradoxical Catholicism whose prophet was Chesterton, whose claqueurs were such reformed rakes of literature as Huysmans and Bourget, whose American sponsor was Ralph Adams Cram, with his adulation of thirteenth-century cathedrals--a Catholicism which Amory found convenient and ready-made, without priest or sacraments or sacrifice.	He had fallen into a deep cynicism over what had crossed his path, plotted the imperfectability of man and read Shaw and Chesterton enough to keep his mind from the edges of decadence-now suddenly all his mental processes of the last year and a half seemed stale and futile-a petty consummation of himself... and like a sombre background lay that incident of the spring before, that filled half his nights with a dreary terror and made him unable to pray. He was not even a Catholic, yet that was the only ghost of a code that he had, the gaudy, ritualistic, paradoxical Catholicism whose prophet was Chesterton, whose claqueurs were such reformed rakes of literature as Huysmans and Bourget, whose American sponsor was Ralph Adams Cram, with his adulation of thirteenth century cathedrals-a Catholicism which Amory found convenient and ready made, without priest or sacraments or sacrifice.	false	513.66	565	21.462719
249_121331_000047_000000	He could not sleep, so he turned on his reading-lamp and, taking down the "Kreutzer Sonata," searched it carefully for the germs of Burne's enthusiasm.	He could not sleep, so he turned on his reading lamp and, taking down the "Kreutzer Sonata," searched it carefully for the germs of Burne's enthusiasm.	false	565.94	574	21.359718
249_121331_000047_000001	Being Burne was suddenly so much realler than being clever. Yet he sighed... here were other possible clay feet.	Being Burne was suddenly so much realler than being clever. Yet he sighed... here were other possible clay feet.	true	574.31	580.39	21.108128
249_121331_000048_000000	He thought back through two years, of Burne as a hurried, nervous freshman, quite submerged in his brother's personality.	He thought back through two years, of Burne as a hurried, nervous freshman, quite submerged in his brother's personality.	false	581.57	588.21	21.66602
249_121331_000048_000001	Then he remembered an incident of sophomore year, in which Burne had been suspected of the leading role.	Then he remembered an incident of sophomore year, in which Burne had been suspected of the leading role.	false	588.21	593.41	20.275736
249_121331_000049_000000	Dean Hollister had been heard by a large group arguing with a taxi-driver, who had driven him from the junction.	Dean Hollister had been heard by a large group arguing with a taxi driver, who had driven him from the junction.	false	594.53	599.89	20.41816
249_121331_000049_000001	In the course of the altercation the dean remarked that he "might as well buy the taxicab." He paid and walked off, but next morning he entered his private office to find the taxicab itself in the space usually occupied by his desk, bearing a sign which read "Property of Dean Hollister. Bought and Paid for."...	In the course of the altercation the dean remarked that he "might as well buy the taxicab." He paid and walked off, but next morning he entered his private office to find the taxicab itself in the space usually occupied by his desk, bearing a sign which read "Property of Dean Hollister. Bought and Paid for."...	true	600.74	617.77	22.14031
249_121331_000049_000002	It took two expert mechanics half a day to dissemble it into its minutest parts and remove it, which only goes to prove the rare energy of sophomore humor under efficient leadership.	It took two expert mechanics half a day to dissemble it into its minutest parts and remove it, which only goes to prove the rare energy of sophomore humor under efficient leadership.	true	619.07	629.35	20.077763
249_121331_000050_000000	Then again, that very fall, Burne had caused a sensation.	Then again, that very fall, Burne had caused a sensation.	false	629.9	633.64	20.792608
249_121331_000050_000001	A certain Phyllis Styles, an intercollegiate prom-trotter, had failed to get her yearly invitation to the Harvard-Princeton game.	A certain Phyllis Styles, an intercollegiate prom trotter, had failed to get her yearly invitation to the Harvard Princeton game.	true	634.07	640.72	21.171946
249_121331_000051_000000	Jesse Ferrenby had brought her to a smaller game a few weeks before, and had pressed Burne into service--to the ruination of the latter's misogyny.	Jesse Ferrenby had brought her to a smaller game a few weeks before, and had pressed Burne into service-to the ruination of the latter's misogyny.	false	641.33	648.55	20.800415
249_121331_000052_000000	"Are you coming to the Harvard game?" Burne had asked indiscreetly, merely to make conversation.	"Are you coming to the Harvard game?" Burne had asked indiscreetly, merely to make conversation.	false	649.4	653.59	19
249_121331_000053_000000	"If you ask me," cried Phyllis quickly.	"If you ask me," cried Phyllis quickly.	true	654.2	657.045	23.427011
249_121331_000054_000000	"Of course I do," said Burne feebly.	"Of course I do," said Burne feebly.	true	657.045	658.84	23
249_121331_000054_000001	He was unversed in the arts of Phyllis, and was sure that this was merely a vapid form of kidding. Before an hour had passed he knew that he was indeed involved.	He was unversed in the arts of Phyllis, and was sure that this was merely a vapid form of kidding. Before an hour had passed he knew that he was indeed involved.	false	659.09	667.78	21.161562
249_121331_000054_000002	Phyllis had pinned him down and served him up, informed him the train she was arriving by, and depressed him thoroughly.	Phyllis had pinned him down and served him up, informed him the train she was arriving by, and depressed him thoroughly.	false	668.15	674.29	20.413254
249_121331_000054_000003	Aside from loathing Phyllis, he had particularly wanted to stag that game and entertain some Harvard friends.	Aside from loathing Phyllis, he had particularly wanted to stag that game and entertain some Harvard friends.	true	675.05	681.01	20.251862
249_121331_000055_000000	"She'll see," he informed a delegation who arrived in his room to josh him.	"She'll see," he informed a delegation who arrived in his room to josh him.	true	681.68	685.6	18
249_121331_000055_000001	"This will be the last game she ever persuades any young innocent to take her to!"	"This will be the last game she ever persuades any young innocent to take her to!"	true	685.94	691.27	20.114685
249_121331_000056_000000	"But, Burne--why did you _invite_ her if you didn't want her?"	"But, Burne-why did you underscore invite underscore her if you didn't want her?"	false	692.18	694.6	21.191315
249_121331_000057_000000	"Burne, you _know_ you're secretly mad about her--that's the _real_ trouble."	"Burne, you underscore know underscore you're secretly mad about her-that's the underscore real underscore trouble."	false	695.21	698.68	20.577465
249_121331_000058_000000	"What can _you_ do, Burne?	"What can underscore you underscore do, Burne?	false	699.38	700.785	24.27426
249_121331_000058_000001	What can _you_ do against Phyllis?"	What can underscore you underscore do against Phyllis?"	false	700.785	702.43	19
249_121331_000059_000000	But Burne only shook his head and muttered threats which consisted largely of the phrase: "She'll see, she'll see!"	But Burne only shook his head and muttered threats which consisted largely of the phrase: "She'll see, she'll see!"	true	703.28	709.39	21.008484
249_121331_000060_000000	The blithesome Phyllis bore her twenty-five summers gayly from the train, but on the platform a ghastly sight met her eyes.	The blithesome Phyllis bore her twenty five summers gayly from the train, but on the platform a ghastly sight met her eyes.	true	710.3	716.56	22.320452
249_121331_000060_000001	There were Burne and Fred Sloane arrayed to the last dot like the lurid figures on college posters.	There were Burne and Fred Sloane arrayed to the last dot like the lurid figures on college posters.	true	717.11	722.71	20.962883
249_121331_000060_000002	They had bought flaring suits with huge peg-top trousers and gigantic padded shoulders.	They had bought flaring suits with huge peg top trousers and gigantic padded shoulders.	true	722.99	728.02	22.726324
249_121331_000060_000003	On their heads were rakish college hats, pinned up in front and sporting bright orange-and-black bands, while from their celluloid collars blossomed flaming orange ties. They wore black arm-bands with orange "P's," and carried canes flying Princeton pennants, the effect completed by socks and peeping handkerchiefs in the same color motifs.	On their heads were rakish college hats, pinned up in front and sporting bright orange and black bands, while from their celluloid collars blossomed flaming orange ties. They wore black arm bands with orange "P's," and carried canes flying Princeton pennants, the effect completed by socks and peeping handkerchiefs in the same color motifs.	false	728.45	747.84	21.59263
249_121331_000060_000004	On a clanking chain they led a large, angry tom-cat, painted to represent a tiger.	On a clanking chain they led a large, angry tom cat, painted to represent a tiger.	true	747.84	752.71	22.507044
249_121331_000061_000000	A good half of the station crowd was already staring at them, torn between horrified pity and riotous mirth, and as Phyllis, with her svelte jaw dropping, approached, the pair bent over and emitted a college cheer in loud, far-carrying voices, thoughtfully adding the name "Phyllis" to the end.	A good half of the station crowd was already staring at them, torn between horrified pity and riotous mirth, and as Phyllis, with her svelte jaw dropping, approached, the pair bent over and emitted a college cheer in loud, far carrying voices, thoughtfully adding the name "Phyllis" to the end.	true	753.74	770.68	21.311428
249_121331_000061_000001	She was vociferously greeted and escorted enthusiastically across the campus, followed by half a hundred village urchins--to the stifled laughter of hundreds of alumni and visitors, half of whom had no idea that this was a practical joke, but thought that Burne and Fred were two varsity sports showing their girl a collegiate time.	She was vociferously greeted and escorted enthusiastically across the campus, followed by half a hundred village urchins-to the stifled laughter of hundreds of alumni and visitors, half of whom had no idea that this was a practical joke, but thought that Burne and Fred were two varsity sports showing their girl a collegiate time.	false	771.08	789.28	21.616844
249_121331_000062_000000	Phyllis's feelings as she was paraded by the Harvard and Princeton stands, where sat dozens of her former devotees, can be imagined.	Phyllis's feelings as she was paraded by the Harvard and Princeton stands, where sat dozens of her former devotees, can be imagined.	true	790.58	798.04	19.572495
249_121331_000062_000001	She tried to walk a little ahead, she tried to walk a little behind--but they stayed close, that there should be no doubt whom she was with, talking in loud voices of their friends on the football team, until she could almost hear her acquaintances whispering:	She tried to walk a little ahead, she tried to walk a little behind-but they stayed close, that there should be no doubt whom she was with, talking in loud voices of their friends on the football team, until she could almost hear her acquaintances whispering:	true	798.32	810.67	21.235945
249_121331_000063_000000	"Phyllis Styles must be _awfully hard up_ to have to come with _those two_."	"Phyllis Styles must be underscore awfully hard up underscore to have to come with underscore those two underscore."	false	811.07	816.39	20.720705
249_121331_000064_000000	That had been Burne, dynamically humorous, fundamentally serious.	That had been Burne, dynamically humorous, fundamentally serious.	true	816.39	820.15	20
249_121331_000064_000001	From that root had blossomed the energy that he was now trying to orient with progress....	From that root had blossomed the energy that he was now trying to orient with progress....	false	820.43	824.23	17
249_121331_000065_000000	So the weeks passed and March came and the clay feet that Amory looked for failed to appear.	So the weeks passed and March came and the clay feet that Amory looked for failed to appear.	false	825.11	829.96	19
249_121331_000065_000001	About a hundred juniors and seniors resigned from their clubs in a final fury of righteousness, and the clubs in helplessness turned upon Burne their finest weapon: ridicule.	About a hundred juniors and seniors resigned from their clubs in a final fury of righteousness, and the clubs in helplessness turned upon Burne their finest weapon: ridicule.	true	830.6	839.77	20.426441
249_121331_000065_000002	Every one who knew him liked him--but what he stood for (and he began to stand for more all the time) came under the lash of many tongues, until a frailer man than he would have been snowed under.	Every one who knew him liked him-but what he stood for (and he began to stand for more all the time) came under the lash of many tongues, until a frailer man than he would have been snowed under.	false	840.8	851.35	17.98658
249_121331_000066_000000	"Don't you mind losing prestige?" asked Amory one night.	"Don't you mind losing prestige?" asked Amory one night.	true	852.77	855.72	18
249_121331_000066_000001	They had taken to exchanging calls several times a week.	They had taken to exchanging calls several times a week.	false	855.72	859.12	21.148846
249_121331_000067_000000	"Of course I don't.	"Of course I don't.	true	859.79	860.955	23.88115
249_121331_000067_000001	What's prestige, at best?"	What's prestige, at best?"	true	860.955	862.51	21.417204
249_121331_000068_000000	"Some people say that you're just a rather original politician."	"Some people say that you're just a rather original politician."	true	863.24	866.14	19
249_121331_000069_000000	He roared with laughter.	He roared with laughter.	false	866.84	868.12	21.897594
249_121331_000070_000000	"That's what Fred Sloane told me to-day.	"That's what Fred Sloane told me to day.	false	868.67	870.795	19.21426
249_121331_000070_000001	I suppose I have it coming."	I suppose I have it coming."	true	870.795	872.14	23.191618
249_121331_000071_000000	One afternoon they dipped into a subject that had interested Amory for a long time--the matter of the bearing of physical attributes on a man's make-up.	One afternoon they dipped into a subject that had interested Amory for a long time-the matter of the bearing of physical attributes on a man's make-up.	false	873.59	881.41	21.910452
249_121331_000071_000001	Burne had gone into the biology of this, and then:	Burne had gone into the biology of this, and then:	false	881.81	884.62	22.431688
249_121331_000072_000000	"Of course health counts--a healthy man has twice the chance of being good," he said.	"Of course health counts-a healthy man has twice the chance of being good," he said.	true	884.99	889.42	21.46135
249_121331_000073_000000	"I don't agree with you--I don't believe in 'muscular Christianity.'"	"I don't agree with you-I don't believe in 'muscular Christianity.'"	true	890.54	894.01	22.71988
249_121331_000074_000000	"I do--I believe Christ had great physical vigor."	"I do-I believe Christ had great physical vigor."	true	894.59	897.64	22.52895
249_121331_000075_000000	"Oh, no," Amory protested.	"Oh, no," Amory protested.	true	898.37	899.79	20.061966
249_121331_000075_000001	"He worked too hard for that.	"He worked too hard for that.	true	899.79	901.36	24.185751
249_121331_000075_000002	I imagine that when he died he was a broken-down man--and the great saints haven't been strong."	I imagine that when he died he was a broken down man-and the great saints haven't been strong."	true	901.49	906.28	22.53365
249_121331_000076_000000	"Half of them have."	"Half of them have."	false	907.1	908.94	20.631897
