1498_140041_000000_000000	VII	seven	true	25.29	25.99	16
1498_140041_000003_000007	The bargain was struck, and he, Abner, had paid the hare-lipped stranger four dollars and seventy-five cents to boot; whereupon the mysterious one set down the sleigh, took the press on his cart, and vanished up the road, never to be seen or heard from afterwards.	The bargain was struck, and he, Abner, had paid the hare lipped stranger four dollars and seventy five cents to boot; whereupon the mysterious one set down the sleigh, took the press on his cart, and vanished up the road, never to be seen or heard from afterwards.	false	152.96	166.84	17
1498_140041_000004_000000	"If I could once ketch that consarned old thief," exclaimed Abner righteously, "I'd make him dance,--workin' off a stolen sleigh on me an' takin' away my good money an' cider press, to say nothin' o' my character!"	"If I could once ketch that consarned old thief," exclaimed Abner righteously, "I'd make him dance,--workin' off a stolen sleigh on me an' takin' away my good money an' cider press, to say nothin' o' my character!"	false	167.39	179.26	18
1498_140041_000005_000000	"You'll never ketch him, Ab," responded the sheriff.	"You'll never ketch him, a flat," responded the sheriff.	false	179.99	182.715	19.675684
1498_140041_000005_000001	"He's cut off the same piece o' goods as that there cider press and that there character and that there four-seventy-five o' yourn; nobody ever see any of 'em but you, and you'll never see 'em again!"	"He's cut off the same piece o' goods as that there cider press and that there character and that there four seventy five o' yourn; nobody ever see any of 'em but you, and you'll never see 'em again!"	false	182.715	193.63	16
1498_140041_000006_000000	Mrs. Simpson, who was decidedly Abner's better half, took in washing and went out to do days' cleaning, and the town helped in the feeding and clothing of the children.	mrs Simpson, who was decidedly Abner's better half, took in washing and went out to do days' cleaning, and the town helped in the feeding and clothing of the children.	false	194.66	203.26	15
1498_140041_000006_000001	George, a lanky boy of fourteen, did chores on neighboring farms, and the others, Samuel, Clara Belle, Susan, Elijah, and Elisha, went to school, when sufficiently clothed and not otherwise more pleasantly engaged.	George, a lanky boy of fourteen, did chores on neighboring farms, and the others, Samuel, Clara Belle, Susan, Elijah, and Elisha, went to school, when sufficiently clothed and not otherwise more pleasantly engaged.	true	203.57	217.54	19.439032
1498_140041_000007_000000	There were no secrets in the villages that lay along the banks of Pleasant River.	There were no secrets in the villages that lay along the banks of Pleasant River.	true	217.64	221.89	14
1498_140041_000007_000001	There were many hard-working people among the inhabitants, but life wore away so quietly and slowly that there was a good deal of spare time for conversation,--under the trees at noon in the hayfield; hanging over the bridge at nightfall; seated about the stove in the village store of an evening.	There were many hard-working people among the inhabitants, but life wore away so quietly and slowly that there was a good deal of spare time for conversation,--under the trees at noon in the hayfield; hanging over the bridge at nightfall; seated about the stove in the village store of an evening.	true	222.17	237.85	17
1498_140041_000007_000002	These meeting-places furnished ample ground for the discussion of current events as viewed by the masculine eye, while choir rehearsals, sewing societies, reading circles, church picnics, and the like, gave opportunity for the expression of feminine opinion.	These meeting places furnished ample ground for the discussion of current events as viewed by the masculine eye, while choir rehearsals, sewing societies, reading circles, church picnics, and the like, gave opportunity for the expression of feminine opinion.	false	238.25	252.04	16
1498_140041_000007_000003	All this was taken very much for granted, as a rule, but now and then some supersensitive person made violent objections to it, as a theory of life.	All this was taken very much for granted, as a rule, but now and then some supersensitive person made violent objections to it, as a theory of life.	false	253.79	262.89	19.29801
1498_140041_000008_000000	Delia Weeks, for example, was a maiden lady who did dressmaking in a small way; she fell ill, and although attended by all the physicians in the neighborhood, was sinking slowly into a decline when her cousin Cyrus asked her to come and keep house for him in Lewiston.	Delia Weeks, for example, was a maiden lady who did dressmaking in a small way; she fell ill, and although attended by all the physicians in the neighborhood, was sinking slowly into a decline when her cousin Cyrus asked her to come and keep house for him in Lewiston.	false	262.89	279.21	18.535395
1498_140041_000008_000001	She went, and in a year grew into a robust, hearty, cheerful woman.	She went, and in a year grew into a robust, hearty, cheerful woman.	true	279.21	282.94	12
1498_140041_000008_000002	Returning to Riverboro on a brief visit, she was asked if she meant to end her days away from home.	Returning to Riverboro on a brief visit, she was asked if she meant to end her days away from home.	true	283.49	288.43	16
1498_140041_000009_000000	"I do most certainly, if I can get any other place to stay," she responded candidly.	"I do most certainly, if I can get any other place to stay," she responded candidly.	true	289.28	293.8	16
1498_140041_000009_000001	"I was bein' worn to a shadder here, tryin' to keep my little secrets to myself, an' never succeedin'.	"I was bein' worn to a shadder here, tryin' to keep my little secrets to myself, an' never succeedin'.	true	294.14	299.53	13
1498_140041_000009_000002	First they had it I wanted to marry the minister, and when he took a wife in Standish I was known to be disappointed.	First they had it I wanted to marry the minister, and when he took a wife in Standish I was known to be disappointed.	true	299.96	306.43	21.4105
1498_140041_000009_000003	Then for five or six years they suspicioned I was tryin' for a place to teach school, and when I gave up hope, an' took to dressmakin', they pitied me and sympathized with me for that. When father died I was bound I'd never let anybody know how I was left, for that spites 'em worse than anything else; but there's ways o' findin' out, an' they found out, hard as I fought 'em!	Then for five or six years they suspicioned I was tryin' for a place to teach school, and when I gave up hope, an' took to dressmakin', they pitied me and sympathized with me for that. When father died I was bound I'd never let anybody know how I was left, for that spites 'em worse than anything else; but there's ways o' findin' out, an' they found out, hard as I fought 'em!	false	306.71	327.45	19.138878
1498_140041_000009_000004	Then there was my brother James that went to Arizona when he was sixteen.	Then there was my brother james that went to Arizona when he was sixteen.	false	327.45	331.36	19.9015
1498_140041_000009_000005	I gave good news of him for thirty years runnin', but aunt Achsy Tarbox had a ferretin' cousin that went out to Tombstone for her health, and she wrote to a postmaster, or to some kind of a town authority, and found Jim and wrote back aunt Achsy all about him and just how unfortunate he'd been.	I gave good news of him for thirty years runnin', but aunt Achsy Tarbox had a ferretin' cousin that went out to Tombstone for her health, and she wrote to a postmaster, or to some kind of a town authority, and found Jim and wrote back aunt Achsy all about him and just how unfortunate he'd been.	false	331.52	347.26	16
1498_140041_000009_000006	They knew when I had my teeth out and a new set made; they knew when I put on a false front-piece; they knew when the fruit peddler asked me to be his third wife--I never told 'em, an' you can be sure HE never did, but they don't NEED to be told in this village; they have nothin' to do but guess, an' they'll guess right every time.	They knew when I had my teeth out and a new set made; they knew when I put on a false front piece; they knew when the fruit peddler asked me to be his third wife-I never told 'em, an' you can be sure HE never did, but they don't NEED to be told in this village; they have nothin' to do but guess, an' they'll guess right every time.	false	347.99	366.61	20
1498_140041_000009_000007	I was all tuckered out tryin' to mislead 'em and deceive 'em and sidetrack 'em; but the minute I got where I wa'n't put under a microscope by day an' a telescope by night and had myself TO myself without sayin' 'By your leave,' I begun to pick up.	I was all tuckered out tryin' to mislead 'em and deceive 'em and sidetrack 'em; but the minute I got where I wa'n't put under a microscope by day an' a telescope by night and had myself TO myself without sayin' 'By your leave,' I begun to pick up.	false	367.04	382.36	19
1498_140041_000009_000008	Cousin Cyrus is an old man an' consid'able trouble, but he thinks my teeth are handsome an' says I've got a splendid suit of hair.	Cousin Cyrus is an old man an' consid'able trouble, but he thinks my teeth are handsome an' says I've got a splendid suit of hair.	false	382.7	390.46	15
1498_140041_000009_000009	There ain't a person in Lewiston that knows about the minister, or father's will, or Jim's doin's, or the fruit peddler; an' if they should find out, they wouldn't care, an' they couldn't remember; for Lewiston 's a busy place, thanks be!"	There ain't a person in Lewiston that knows about the minister, or father's will, or Jim's doin's, or the fruit peddler; an' if they should find out, they wouldn't care, an' they couldn't remember; for Lewiston 's a busy place, thanks be!"	false	390.89	403.92	20.359735
1498_140041_000010_000000	Miss Delia Weeks may have exaggerated matters somewhat, but it is easy to imagine that Rebecca as well as all the other Riverboro children had heard the particulars of the Widow Rideout's missing sleigh and Abner Simpson's supposed connection with it.	Miss Delia Weeks may have exaggerated matters somewhat, but it is easy to imagine that Rebecca as well as all the other Riverboro children had heard the particulars of the Widow Rideout's missing sleigh and Abner Simpson's supposed connection with it.	false	403.92	418.69	17.606453
1498_140041_000011_000000	There is not an excess of delicacy or chivalry in the ordinary country school, and several choice conundrums and bits of verse dealing with the Simpson affair were bandied about among the scholars, uttered always, be it said to their credit, in undertones, and when the Simpson children were not in the group.	There is not an excess of delicacy or chivalry in the ordinary country school, and several choice conundrums and bits of verse dealing with the Simpson affair were bandied about among the scholars, uttered always, be it said to their credit, in undertones, and when the Simpson children were not in the group.	false	419.99	436.45	18.73269
1498_140041_000012_000000	Rebecca Randall was of precisely the same stock, and had had much the same associations as her schoolmates, so one can hardly say why she so hated mean gossip and so instinctively held herself aloof from it.	Rebecca Randall was of precisely the same stock, and had had much the same associations as her schoolmates, so one can hardly say why she so hated mean gossip and so instinctively held herself aloof from it.	false	436.67	448.96	14
1498_140041_000013_000000	Among the Riverboro girls of her own age was a certain excellently named Minnie Smellie, who was anything but a general favorite.	Among the Riverboro girls of her own age was a certain excellently named Minnie Smellie, who was anything but a general favorite.	false	449.93	457.63	18.788332
1498_140041_000013_000001	She was a ferret-eyed, blond-haired, spindle-legged little creature whose mind was a cross between that of a parrot and a sheep.	She was a ferret eyed, blond haired, spindle legged little creature whose mind was a cross between that of a parrot and a sheep.	false	457.73	464.77	17
1498_140041_000013_000002	She was suspected of copying answers from other girls' slates, although she had never been caught in the act.	She was suspected of copying answers from other girls' slates, although she had never been caught in the act.	true	464.84	470.77	18
1498_140041_000013_000003	Rebecca and Emma Jane always knew when she had brought a tart or a triangle of layer cake with her school luncheon, because on those days she forsook the cheerful society of her mates and sought a safe solitude in the woods, returning after a time with a jocund smile on her smug face.	Rebecca and Emma Jane always knew when she had brought a tart or a triangle of layer cake with her school luncheon, because on those days she forsook the cheerful society of her mates and sought a safe solitude in the woods, returning after a time with a jocund smile on her smug face.	false	471.02	487.18	16
1498_140041_000014_000000	After one of these private luncheons Rebecca had been tempted beyond her strength, and when Minnie took her seat among them asked, "Is your headache better, Minnie?	After one of these private luncheons Rebecca had been tempted beyond her strength, and when Minnie took her seat among them asked, "Is your headache better, Minnie?	false	488.54	497.47	21.893768
1498_140041_000014_000001	Let me wipe off that strawberry jam over your mouth."	Let me wipe off that strawberry jam over your mouth."	true	497.63	501.01	20
1498_140041_000015_000000	There was no jam there as a matter of fact, but the guilty Minnie's handkerchief went to her crimson face in a flash.	There was no jam there as a matter of fact, but the guilty Minnie's handkerchief went to her crimson face in a flash.	false	501.02	508.21	20.77791
1498_140041_000016_000000	Rebecca confessed to Emma Jane that same afternoon that she felt ashamed of her prank.	Rebecca confessed to Emma Jane that same afternoon that she felt ashamed of her prank.	true	509	513.58	18
1498_140041_000016_000001	"I do hate her ways," she exclaimed, "but I'm sorry I let her know we 'spected her; and so to make up, I gave her that little piece of broken coral I keep in my bead purse; you know the one?"	"I do hate her ways," she exclaimed, "but I'm sorry I let her know we 'spected her; and so to make up, I gave her that little piece of broken coral I keep in my bead purse; you know the one?"	true	513.62	523.6	19
1498_140041_000017_000000	"It don't hardly seem as if she deserved that, and her so greedy," remarked Emma Jane.	"It don't hardly seem as if she deserved that, and her so greedy," remarked Emma Jane.	true	524.9	530.14	18.36378
1498_140041_000018_000000	"I know it, but it makes me feel better," said Rebecca largely; "and then I've had it two years, and it's broken so it wouldn't ever be any real good, beautiful as it is to look at."	"I know it, but it makes me feel better," said Rebecca largely; "and then I've had it two years, and it's broken so it wouldn't ever be any real good, beautiful as it is to look at."	false	530.72	540.34	18
1498_140041_000019_000000	The coral had partly served its purpose as a reconciling bond, when one afternoon Rebecca, who had stayed after school for her grammar lesson as usual, was returning home by way of the short cut.	The coral had partly served its purpose as a reconciling bond, when one afternoon Rebecca, who had stayed after school for her grammar lesson as usual, was returning home by way of the short cut.	false	541.28	552.76	18
1498_140041_000019_000001	Far ahead, beyond the bars, she espied the Simpson children just entering the woodsy bit. Seesaw was not with them, so she hastened her steps in order to secure company on her homeward walk.	Far ahead, beyond the bars, she espied the Simpson children just entering the woodsy bit. Seesaw was not with them, so she hastened her steps in order to secure company on her homeward walk.	false	553.25	564.58	18.83165
1498_140041_000019_000002	They were speedily lost to view, but when she had almost overtaken them she heard, in the trees beyond, Minnie Smellie's voice lifted high in song, and the sound of a child's sobbing.	They were speedily lost to view, but when she had almost overtaken them she heard, in the trees beyond, Minnie Smellie's voice lifted high in song, and the sound of a child's sobbing.	false	565.13	575.98	19
1498_140041_000019_000003	Clara Belle, Susan, and the twins were running along the path, and Minnie was dancing up and down, shrieking:--	Clara Belle, Susan, and the twins were running along the path, and Minnie was dancing up and down, shrieking:--	false	576.56	582.04	13
1498_140041_000020_000000	"'What made the sleigh love Simpson so?' The eager children cried; 'Why Simpson loved the sleigh, you know,' The teacher quick replied."	"'What made the sleigh love Simpson so?' The eager children cried; 'Why Simpson loved the sleigh, you know,' The teacher quick replied."	true	583.34	590.47	15.999926
1498_140041_000021_000000	The last glimpse of the routed Simpson tribe, and the last futter of their tattered garments, disappeared in the dim distance.	The last glimpse of the routed Simpson tribe, and the last futter of their tattered garments, disappeared in the dim distance.	false	591.68	598.36	16
1498_140041_000021_000001	The fall of one small stone cast by the valiant Elijah, known as "the fighting twin," did break the stillness of the woods for a moment, but it did not come within a hundred yards of Minnie, who shouted "Jail Birds" at the top of her lungs and then turned, with an agreeable feeling of excitement, to meet Rebecca, standing perfectly still in the path, with a day of reckoning plainly set forth in her blazing eyes.	The fall of one small stone cast by the valiant Elijah, known as "the fighting twin," did break the stillness of the woods for a moment, but it did not come within a hundred yards of Minnie, who shouted "Jail Birds" at the top of her lungs and then turned, with an agreeable feeling of excitement, to meet Rebecca, standing perfectly still in the path, with a day of reckoning plainly set forth in her blazing eyes.	false	598.55	621.61	15
1498_140041_000022_000000	Minnie's face was not pleasant to see, for a coward detected at the moment of wrongdoing is not an object of delight.	Minnie's face was not pleasant to see, for a coward detected at the moment of wrongdoing is not an object of delight.	false	622.58	629.47	20.914143
1498_140041_000023_000000	"Minnie Smellie, if ever--I--catch--you--singing--that--to the Simpsons again--do you know what I'll do?" asked Rebecca in a tone of concentrated rage.	"Minnie Smellie, if ever-I-catch-you-singing-that-to the Simpsons again-do you know what I'll do?" asked Rebecca in a tone of concentrated rage.	false	630.14	643.84	20.196075
1498_140041_000024_000000	"I don't know and I don't care," said Minnie jauntily, though her looks belied her.	"I don't know and I don't care," said Minnie jauntily, though her looks belied her.	true	644.48	649.93	19
1498_140041_000025_000000	"I'll take that piece of coral away from you, and I THINK I shall slap you besides!"	"I'll take that piece of coral away from you, and I THINK I shall slap you besides!"	true	651.02	657.04	20
1498_140041_000026_000000	"You wouldn't darst," retorted Minnie.	"You wouldn't darst," retorted Minnie.	true	658.73	661.095	20
1498_140041_000026_000001	"If you do, I'll tell my mother and the teacher, so there!"	"If you do, I'll tell my mother and the teacher, so there!"	true	661.095	664.96	23.08697
1498_140041_000027_000000	"I don't care if you tell your mother, my mother, and all your relations, and the president," said Rebecca, gaining courage as the noble words fell from her lips.	"I don't care if you tell your mother, my mother, and all your relations, and the president," said Rebecca, gaining courage as the noble words fell from her lips.	true	666.44	676.15	18
1498_140041_000027_000001	"I don't care if you tell the town, the whole of York county, the state of Maine and--and the nation!" she finished grandiloquently.	"I don't care if you tell the town, the whole of York county, the state of Maine and-and the nation!" she finished grandiloquently.	false	676.67	684.49	20.537804
1498_140041_000027_000002	"Now you run home and remember what I say.	"Now you run home and remember what I say.	true	685.28	687.79	17.831745
1498_140041_000027_000003	If you do it again, and especially if you say 'Jail Birds,' if I think it's right and my duty, I shall punish you somehow."	If you do it again, and especially if you say 'Jail Birds,' if I think it's right and my duty, I shall punish you somehow."	false	687.83	697.29	20.267132
1498_140041_000028_000000	The next morning at recess Rebecca observed Minnie telling the tale with variations to Huldah Meserve.	The next morning at recess Rebecca observed Minnie telling the tale with variations to Huldah Meserve.	false	697.29	704.26	20.060314
1498_140041_000028_000001	"She THREATENED me," whispered Minnie, "but I never believe a word she says."	"She THREATENED me," whispered Minnie, "but I never believe a word she says."	true	704.75	711.19	21.257072
1498_140041_000029_000000	The latter remark was spoken with the direct intention of being overheard, for Minnie had spasms of bravery, when well surrounded by the machinery of law and order.	The latter remark was spoken with the direct intention of being overheard, for Minnie had spasms of bravery, when well surrounded by the machinery of law and order.	true	712.52	722.2	16
1498_140041_000030_000000	As Rebecca went back to her seat she asked Miss Dearborn if she might pass a note to Minnie Smellie and received permission.	As Rebecca went back to her seat she asked Miss Dearborn if she might pass a note to Minnie Smellie and received permission.	true	723.29	729.58	13
1498_140041_000030_000001	This was the note:--	This was the note:--	true	730.01	731.41	20.376446
1498_140041_000031_000000	Of all the girls that are so mean There's none like Minnie Smellie.	Of all the girls that are so mean There's none like Minnie Smellie.	false	732.08	735.58	17
1498_140041_000031_000001	I'll take away the gift I gave And pound her into jelly.	I'll take away the gift I gave And pound her into jelly.	true	735.74	739.41	17
1498_140041_000032_000000	_P.	underscore P.	false	739.41	740.7	35.16181
1498_140041_000032_000001	S. Now do you believe me?_	S. Now do you believe me?underscore	false	740.7	743.16	17.882505
1498_140041_000033_000000	R. Randall.	R. Randall.	true	743.16	744.37	21.25844
1498_140041_000034_000000	The effect of this piece of doggerel was entirely convincing, and for days afterwards whenever Minnie met the Simpsons even a mile from the brick house she shuddered and held her peace.	The effect of this piece of doggerel was entirely convincing, and for days afterwards whenever Minnie met the Simpsons even a mile from the brick house she shuddered and held her peace.	true	745.7	756.78	22.248169
1498_140041_000035_000000	VIII	eight	false	756.78	756.78	
1498_140041_000036_000000	COLOR OF ROSE	COLOR OF ROSE	false	756.78	756.87	-20
1498_140041_000037_000000	On the very next Friday after this "dreadfullest fight that ever was seen," as Bunyan says in Pilgrim's Progress, there were great doings in the little schoolhouse on the hill.	On the very next Friday after this "dreadfullest fight that ever was seen," as Bunyan says in Pilgrim's Progress, there were great doings in the little schoolhouse on the hill.	false	756.87	757.68	18.767017
1498_140041_000037_000001	Friday afternoon was always the time chosen for dialogues, songs, and recitations, but it cannot be stated that it was a gala day in any true sense of the word.	Friday afternoon was always the time chosen for dialogues, songs, and recitations, but it cannot be stated that it was a gala day in any true sense of the word.	false	757.68	758.46	2
1498_140041_000037_000002	Most of the children hated "speaking pieces;" hated the burden of learning them, dreaded the danger of breaking down in them.	Most of the children hated "speaking pieces;" hated the burden of learning them, dreaded the danger of breaking down in them.	false	758.46	759.03	0
1498_140041_000037_000003	Miss Dearborn commonly went home with a headache, and never left her bed during the rest of the afternoon or evening; and the casual female parent who attended the exercises sat on a front bench with beads of cold sweat on her forehead, listening to the all-too-familiar halts and stammers. Sometimes a bellowing infant who had clean forgotten his verse would cast himself bodily on the maternal bosom and be borne out into the open air, where he was sometimes kissed and occasionally spanked; but in any case the failure added an extra dash of gloom and dread to the occasion.	Miss Dearborn commonly went home with a headache, and never left her bed during the rest of the afternoon or evening; and the casual female parent who attended the exercises sat on a front bench with beads of cold sweat on her forehead, listening to the all too familiar halts and stammers. Sometimes a bellowing infant who had clean forgotten his verse would cast himself bodily on the maternal bosom and be borne out into the open air, where he was sometimes kissed and occasionally spanked; but in any case the failure added an extra dash of gloom and dread to the occasion.	false	759.03	763.71	22.174896
1498_140041_000037_000004	The advent of Rebecca had somehow infused a new spirit into these hitherto terrible afternoons.	The advent of Rebecca had somehow infused a new spirit into these hitherto terrible afternoons.	false	763.71	764.01	9
1498_140041_000037_000005	She had taught Elijah and Elisha Simpson so that they recited three verses of something with such comical effect that they delighted themselves, the teacher, and the school; while Susan, who lisped, had been provided with a humorous poem in which she impersonated a lisping child.	She had taught Elijah and Elisha Simpson so that they recited three verses of something with such comical effect that they delighted themselves, the teacher, and the school; while Susan, who lisped, had been provided with a humorous poem in which she impersonated a lisping child.	false	764.01	764.34	5
1498_140041_000037_000006	Emma Jane and Rebecca had a dialogue, and the sense of companionship buoyed up Emma Jane and gave her self-reliance.	Emma Jane and Rebecca had a dialogue, and the sense of companionship buoyed up Emma Jane and gave her self reliance.	false	764.34	767.13	13.417607
1498_140041_000037_000007	In fact, Miss Dearborn announced on this particular Friday morning that the exercises promised to be so interesting that she had invited the doctor's wife, the minister's wife, two members of the school committee, and a few mothers.	In fact, Miss Dearborn announced on this particular Friday morning that the exercises promised to be so interesting that she had invited the doctor's wife, the minister's wife, two members of the school committee, and a few mothers.	false	767.13	767.13	
1498_140041_000037_000008	Living Perkins was asked to decorate one of the black-boards and Rebecca the other.	Living Perkins was asked to decorate one of the black boards and Rebecca the other.	false	767.13	767.13	
1498_140041_000037_000009	Living, who was the star artist of the school, chose the map of North America.	Living, who was the star artist of the school, chose the map of North America.	false	767.13	767.13	
1498_140041_000037_000010	Rebecca liked better to draw things less realistic, and speedily, before the eyes of the enchanted multitude, there grew under her skillful fingers an American flag done in red, white, and blue chalk, every star in its right place, every stripe fluttering in the breeze.	Rebecca liked better to draw things less realistic, and speedily, before the eyes of the enchanted multitude, there grew under her skillful fingers an American flag done in red, white, and blue chalk, every star in its right place, every stripe fluttering in the breeze.	false	767.13	767.13	
1498_140041_000037_000011	Beside this appeared a figure of Columbia, copied from the top of the cigar box that held the crayons.	Beside this appeared a figure of Columbia, copied from the top of the cigar box that held the crayons.	false	767.13	767.13	
