2404_141240_000000_000000	"End of transmission," Brion said, and the screen went dark.	"End of transmission," Brion said, and the screen went dark.	false	0.45	3.3	21.337978
2404_141240_000013_000000	Stooping, he went through the nearest door.	Stooping, he went through the nearest door.	true	261.44	264.25	22
2404_141240_000013_000001	There was still no one in sight.	There was still no one in sight.	true	264.26	266.92	20.85754
2404_141240_000013_000002	The room inside was something out of a madman's funhouse. It was higher than it was wide, irregular in shape, and more like a hallway than a room.	The room inside was something out of a madman's funhouse. It was higher than it was wide, irregular in shape, and more like a hallway than a room.	true	267.08	277.81	20.159105
2404_141240_000013_000003	At one end it merged into an incline that became a stairwell.	At one end it merged into an incline that became a stairwell.	true	278.06	282.16	20.89201
2404_141240_000013_000004	At the other it ended in a hole that vanished in darkness below.	At the other it ended in a hole that vanished in darkness below.	true	282.41	287.17	22.503355
2404_141240_000013_000005	Light of sorts filtered in through slots and holes drilled into the thick stone wall.	Light of sorts filtered in through slots and holes drilled into the thick stone wall.	true	287.66	292.96	20.879934
2404_141240_000013_000006	Everything was built of the same crumble-textured but strong rock.	Everything was built of the same crumble textured but strong rock.	true	293.3	298.09	21.45454
2404_141240_000013_000007	Brion took the stairs.	Brion took the stairs.	true	298.52	300.25	19.77699
2404_141240_000013_000008	After a number of blind passages and wrong turns he saw a stronger light ahead, and went on.	After a number of blind passages and wrong turns he saw a stronger light ahead, and went on.	true	300.68	306.88	20.962095
2404_141240_000013_000009	There was food, metal, even artifacts of the unusual Disan design in the different rooms he passed through.	There was food, metal, even artifacts of the unusual Disan design in the different rooms he passed through.	true	307.19	314.41	20.936823
2404_141240_000013_000010	Yet no people.	Yet no people.	true	314.6	316.24	24.785099
2404_141240_000013_000011	The light ahead grew stronger, and the last passageway opened and swelled out until it led into the large central chamber.	The light ahead grew stronger, and the last passageway opened and swelled out until it led into the large central chamber.	true	316.79	325.15	21.784742
2404_141240_000014_000000	This was the heart of the strange structure.	This was the heart of the strange structure.	true	326.51	329.23	21.656488
2404_141240_000014_000001	All the rooms, passageways and halls existed just to give form to this gigantic chamber.	All the rooms, passageways and halls existed just to give form to this gigantic chamber.	true	329.48	336.01	20.924461
2404_141240_000014_000002	The walls rose sharply, the room being circular in cross section and growing narrower towards the top.	The walls rose sharply, the room being circular in cross section and growing narrower towards the top.	true	336.47	343.51	21.172104
2404_141240_000014_000003	It was a truncated cone, since there was no ceiling; a hot blue disk of sky cast light on the floor below.	It was a truncated cone, since there was no ceiling; a hot blue disk of sky cast light on the floor below.	true	343.76	351.88	21.645927
2404_141240_000015_000000	On the floor stood a knot of men who stared at Brion.	On the floor stood a knot of men who stared at Brion.	false	352.4	357.6	20.928846
2404_141240_000016_000000	Out of the corner of his eyes, and with the very periphery of his consciousness, he was aware of the rest of the room--barrels, stores, machinery, a radio transceiver, various bundles and heaps that made no sense at first glance.	Out of the corner of his eyes, and with the very periphery of his consciousness, he was aware of the rest of the room-barrels, stores, machinery, a radio transceiver, various bundles and heaps that made no sense at first glance.	true	357.6	373.33	21.543049
2404_141240_000016_000001	There was no time to look closer.	There was no time to look closer.	true	373.97	376.18	22.617891
2404_141240_000016_000002	Every fraction of his attention was focused on the muffled and hooded men.	Every fraction of his attention was focused on the muffled and hooded men.	true	376.34	381.13	19.56288
2404_141240_000017_000000	He had found the enemy.	He had found the enemy.	true	381.8	383.95	21.573904
2404_141240_000018_000000	Everything that had happened to him so far on Dis had been preparation for this moment.	Everything that had happened to him so far on Dis had been preparation for this moment.	true	385.01	391	21.865877
2404_141240_000018_000001	The attack in the desert, the escape, the dreadful heat of sun and sand.	The attack in the desert, the escape, the dreadful heat of sun and sand.	true	391.31	396.52	21.690825
2404_141240_000018_000002	All this had tempered and prepared him.	All this had tempered and prepared him.	true	396.89	399.79	22.048553
2404_141240_000018_000003	It had been nothing in itself.	It had been nothing in itself.	true	399.98	402.37	20.837008
2404_141240_000018_000004	Now the battle would begin in earnest.	Now the battle would begin in earnest.	true	402.5	404.98	20.27093
2404_141240_000019_000000	None of this was conscious in his mind.	None of this was conscious in his mind.	true	405.74	408.31	20.975397
2404_141240_000019_000001	His fighter's reflexes bent his shoulders, curved his hands before him as he walked softly in balance, ready to spring in any direction.	His fighter's reflexes bent his shoulders, curved his hands before him as he walked softly in balance, ready to spring in any direction.	true	408.32	417.46	22.599852
2404_141240_000019_000002	Yet none of this was really necessary.	Yet none of this was really necessary.	true	417.89	420.49	19.664795
2404_141240_000019_000003	All the danger so far was nonphysical.	All the danger so far was nonphysical.	true	420.65	424.18	23.595457
2404_141240_000019_000004	When he did give conscious thought to the situation he stopped, startled.	When he did give conscious thought to the situation he stopped, startled.	true	424.37	429.64	22.595608
2404_141240_000019_000005	What was wrong here?	What was wrong here?	true	429.92	431.77	18.675781
2404_141240_000019_000006	None of the men had moved or made a sound.	None of the men had moved or made a sound.	true	431.84	435.13	18.374155
2404_141240_000019_000007	How could he even know they were men?	How could he even know they were men?	true	435.32	437.86	19.874199
2404_141240_000019_000008	They were so muffled and wrapped in cloth that only their eyes were exposed.	They were so muffled and wrapped in cloth that only their eyes were exposed.	true	438.05	443.44	22.349459
2404_141240_000020_000000	No doubt, however, existed in Brion's mind.	No doubt, however, existed in Brion's mind.	true	443.96	447.34	19.595533
2404_141240_000020_000001	In spite of muffled cloth and silence, he knew them for what they were.	In spite of muffled cloth and silence, he knew them for what they were.	true	447.38	452.05	21.437826
2404_141240_000020_000002	The eyes were empty of expression and unmoving, yet were filled with the same negative emptiness as those of a bird of prey.	The eyes were empty of expression and unmoving, yet were filled with the same negative emptiness as those of a bird of prey.	true	452.27	460.81	21.08341
2404_141240_000020_000003	They could look on life, death, and the rending of flesh with the same lack of interest and compassion.	They could look on life, death, and the rending of flesh with the same lack of interest and compassion.	true	461.09	468.07	21.401785
2404_141240_000020_000004	All this Brion knew in an instant of time, without words being spoken.	All this Brion knew in an instant of time, without words being spoken.	true	468.59	473.65	21.990475
2404_141240_000020_000005	Between the time he lifted one foot and walked a step he understood what he had to face.	Between the time he lifted one foot and walked a step he understood what he had to face.	true	474.02	479.77	21.262772
2404_141240_000020_000006	There could be no doubt, not to an empathetic.	There could be no doubt, not to an empathetic.	true	480.11	483.64	22.827442
2404_141240_000021_000000	From the group of silent men poured a frost-white wave of unemotion. An empathetic shares what other men feel.	From the group of silent men poured a frost white wave of unemotion. An empathetic shares what other men feel.	true	484.19	492.85	22.4035
2404_141240_000021_000001	He gets his knowledge of their reaction by sensing lightly their emotions, the surges of interest, hate, love, fear, desire, the sweep of large and small sensations that accompany all thought and action.	He gets his knowledge of their reaction by sensing lightly their emotions, the surges of interest, hate, love, fear, desire, the sweep of large and small sensations that accompany all thought and action.	true	493.04	507.61	21.118546
2404_141240_000021_000002	The empathetic is always aware of this constant and silent surge, whether he makes the effort to understand it or not.	The empathetic is always aware of this constant and silent surge, whether he makes the effort to understand it or not.	true	508.31	516.73	21.700844
2404_141240_000021_000003	He is like a man glancing across the open pages of a tableful of books.	He is like a man glancing across the open pages of a tableful of books.	true	517.04	521.95	21.754803
2404_141240_000021_000004	He can see that the type, words, paragraphs, thoughts are there, even without focusing his attention to understand any of it.	He can see that the type, words, paragraphs, thoughts are there, even without focusing his attention to understand any of it.	true	522.68	531.37	23.054216
2404_141240_000022_000000	Then how does the man feel when he glances at the open books and sees only blank pages?	Then how does the man feel when he glances at the open books and sees only blank pages?	true	532.25	538.45	21.857029
2404_141240_000022_000001	The books are there--the words are not.	The books are there-the words are not.	true	538.82	541.78	20.712967
2404_141240_000022_000002	He turns the pages of one, of the others, flipping the pages, searching for meaning.	He turns the pages of one, of the others, flipping the pages, searching for meaning.	true	542.12	547.99	20.86564
2404_141240_000022_000003	There is no meaning.	There is no meaning.	true	548.27	549.7	20.732824
2404_141240_000022_000004	All of the pages are blank.	All of the pages are blank.	false	549.77	551.56	20.985706
2404_141240_000023_000000	This was the way in which the magter were blank, without emotions. There was a barely sensed surge and return that must have been neural impulses on a basic level--the automatic adjustments of nerve and muscle that keep an organism alive.	This was the way in which the magter were blank, without emotions. There was a barely sensed surge and return that must have been neural impulses on a basic level-the automatic adjustments of nerve and muscle that keep an organism alive.	false	551.84	568.785	20.260296
2404_141240_000023_000001	Nothing more.	Nothing more.	true	568.785	570.04	20.850624
2404_141240_000023_000002	Brion reached for other sensations, but there was nothing there to grasp.	Brion reached for other sensations, but there was nothing there to grasp.	true	570.23	574.9	20.45365
2404_141240_000023_000003	Either these men were without emotions, or they were able to block them from his detection; it was impossible to tell which.	Either these men were without emotions, or they were able to block them from his detection; it was impossible to tell which.	true	575.18	582.94	20.323446
2404_141240_000024_000000	Very little time had passed while Brion made these discoveries.	Very little time had passed while Brion made these discoveries.	true	583.64	587.44	21.198984
2404_141240_000024_000001	The knot of men still looked at him, silent and unmoving.	The knot of men still looked at him, silent and unmoving.	true	587.72	591.58	22.961967
2404_141240_000024_000002	They weren't expectant, their attitude could not have been called one of interest.	They weren't expectant, their attitude could not have been called one of interest.	true	592.1	597.58	23.439508
2404_141240_000024_000003	But he had come to them and now they waited to find out why.	But he had come to them and now they waited to find out why.	true	597.83	601.51	20.344965
2404_141240_000024_000004	Any questions or statements they spoke would be superfluous, so they didn't speak.	Any questions or statements they spoke would be superfluous, so they didn't speak.	true	602	607.57	21.73561
2404_141240_000024_000005	The responsibility was his.	The responsibility was his.	true	607.91	610.33	21.071169
2404_141240_000025_000000	"I have come to talk with Lig-magte.	"I have come to talk with Lig magte.	false	611.96	614.58	24.583014
2404_141240_000025_000001	Who is he?" Brion didn't like the tiny sound his voice made in the immense room.	Who is he?" Brion didn't like the tiny sound his voice made in the immense room.	true	614.58	620.65	20.131401
2404_141240_000026_000000	One of the men gave a slight motion to draw attention to himself. None of the others moved.	One of the men gave a slight motion to draw attention to himself. None of the others moved.	true	621.41	627.6	21.444296
2404_141240_000026_000001	They still waited.	They still waited.	true	627.6	629.02	25.540771
2404_141240_000027_000000	"I have a message for you," Brion said, speaking slowly to fill the silence of the room and the emptiness of his thoughts.	"I have a message for you," Brion said, speaking slowly to fill the silence of the room and the emptiness of his thoughts.	true	629.87	637.93	21.413239
2404_141240_000027_000001	This had to be handled right.	This had to be handled right.	true	638.54	640.69	19.56603
2404_141240_000027_000002	But what was right?	But what was right?	true	640.85	642.22	20.464298
2404_141240_000027_000003	"I'm from the Foundation in the city, as you undoubtedly know.	"I'm from the Foundation in the city, as you undoubtedly know.	true	643.07	647.17	21.66288
2404_141240_000027_000004	I've been talking to the people of Nyjord.	I've been talking to the people of Nyjord.	false	647.39	650.35	22.634924
2404_141240_000027_000005	They have a message for you."	They have a message for you."	true	650.36	652.18	22.366331
2404_141240_000028_000000	The silence grew longer.	The silence grew longer.	true	653.21	655	20.233912
2404_141240_000028_000001	Brion had no intention of making this a monologue.	Brion had no intention of making this a monologue.	true	655.07	658.33	17.701809
2404_141240_000028_000002	He needed facts to operate, to form an opinion.	He needed facts to operate, to form an opinion.	true	658.61	662.47	23.542608
2404_141240_000028_000003	Looking at the silent forms was telling him nothing.	Looking at the silent forms was telling him nothing.	true	662.69	665.92	20.725348
2404_141240_000028_000004	Time stretched taut, and finally Lig-magte spoke.	Time stretched taut, and finally Lig magte spoke.	true	666.23	671.65	21.604195
2404_141240_000029_000000	"The Nyjorders are going to surrender."	"The Nyjorders are going to surrender."	true	672.77	676.03	18
2404_141240_000030_000000	It was an impossibly strange sentence.	It was an impossibly strange sentence.	true	677.12	680.2	19
2404_141240_000030_000001	Brion had never realized before how much of the content of speech was made up of emotion. If the man had given it a positive emphasis, perhaps said it with enthusiasm, it would have meant, "Success!	Brion had never realized before how much of the content of speech was made up of emotion. If the man had given it a positive emphasis, perhaps said it with enthusiasm, it would have meant, "Success!	false	680.45	696.195	20.946089
2404_141240_000030_000002	The enemy is going to surrender!"	The enemy is going to surrender!"	true	696.195	698.53	21.081093
2404_141240_000030_000003	This wasn't the meaning.	This wasn't the meaning.	true	699.23	700.69	22.28277
2404_141240_000031_000000	With a rising inflection on the end it would have been a question. "Are they going to surrender?" It was neither of these.	With a rising inflection on the end it would have been a question. "Are they going to surrender?" It was neither of these.	true	701.27	710.47	21.645363
2404_141240_000031_000001	The sentence carried no other message than that contained in the simplest meanings of the separate words.	The sentence carried no other message than that contained in the simplest meanings of the separate words.	false	710.63	719.17	22.579203
2404_141240_000031_000002	It had intellectual connotations, but these could only be gained from past knowledge, not from the sound of the words.	It had intellectual connotations, but these could only be gained from past knowledge, not from the sound of the words.	true	719.42	728.11	22.143858
2404_141240_000031_000003	There was only one message they were prepared to receive from Nyjord.	There was only one message they were prepared to receive from Nyjord.	true	728.66	733.42	17.424364
2404_141240_000031_000004	Therefore Brion was bringing the message. If that was not the message Brion was bringing the men here were not interested.	Therefore Brion was bringing the message. If that was not the message Brion was bringing the men here were not interested.	true	733.46	741.43	21.8172
2404_141240_000032_000000	This was the vital fact.	This was the vital fact.	true	742.19	744.165	20.355247
2404_141240_000032_000001	If they were not interested he could have no further value to them.	If they were not interested he could have no further value to them.	true	744.165	748.63	18.53069
2404_141240_000032_000002	Since he came from the enemy, he was the enemy.	Since he came from the enemy, he was the enemy.	true	748.85	752.2	19.704742
2404_141240_000032_000003	Therefore he would be killed.	Therefore he would be killed.	true	752.33	754.42	23.018744
2404_141240_000032_000004	Because this was vital to his existence, Brion took the time to follow the thought through.	Because this was vital to his existence, Brion took the time to follow the thought through.	true	754.64	760.51	23.62237
2404_141240_000032_000005	It made logical sense--and logic was all he could depend on now.	It made logical sense-and logic was all he could depend on now.	true	760.73	765.37	21.237795
2404_141240_000032_000006	He could be talking to robots or alien creatures, for all the human response he was receiving.	He could be talking to robots or alien creatures, for all the human response he was receiving.	true	765.59	771.55	20.602865
2404_141240_000033_000000	"You can't win this war--all you can do is hurry your own deaths." He said this with as much conviction as he could, realizing at the same time that it was wasted effort.	"You can't win this war-all you can do is hurry your own deaths." He said this with as much conviction as he could, realizing at the same time that it was wasted effort.	true	772.61	784.99	20.647383
2404_141240_000033_000001	No flicker of response stirred in the men before him.	No flicker of response stirred in the men before him.	true	785.24	788.68	20.873613
2404_141240_000033_000002	"The Nyjorders know you have the cobalt bombs, and they have detected your jump-space projector.	"The Nyjorders know you have the cobalt bombs, and they have detected your jump space projector.	false	789.92	796.09	21.402517
2404_141240_000033_000003	They can't take any more chances.	They can't take any more chances.	true	796.31	798.495	23.77458
2404_141240_000033_000004	They have pushed the deadline closer by an entire day.	They have pushed the deadline closer by an entire day.	true	798.495	802	20.25729
2404_141240_000033_000005	There are one and a half days left before the bombs fall and you are all destroyed.	There are one and a half days left before the bombs fall and you are all destroyed.	false	802.31	808.3	22.561773
2404_141240_000033_000006	Do you realize what that means--"	Do you realize what that means-"	true	808.31	810.76	22.925253
2404_141240_000034_000000	"Is that the message?" Lig-magte asked.	"Is that the message?" Lig magte asked.	false	811.16	814.93	23.758846
2404_141240_000035_000000	"Yes," Brion said.	"Yes," Brion said.	true	815.69	817.54	22.277292
2404_141240_000036_000000	Two things saved his life then.	Two things saved his life then.	true	818.27	820.44	22.42571
2404_141240_000036_000001	He had guessed what would happen as soon as they had his message, though he hadn't been sure.	He had guessed what would happen as soon as they had his message, though he hadn't been sure.	true	820.44	825.64	20.695932
2404_141240_000036_000002	But even the suspicion had put him on his guard.	But even the suspicion had put him on his guard.	true	825.74	828.82	21.14625
2404_141240_000036_000003	This, combined with the reflexes of a Winner of the Twenties, was barely enough to enable him to survive.	This, combined with the reflexes of a Winner of the Twenties, was barely enough to enable him to survive.	true	829.01	836.5	20.44955
2404_141240_000037_000000	From frozen mobility Lig-magte had catapulted into headlong attack. As he leaped forward he drew a curved, double-edged blade from under his robes.	From frozen mobility Lig magte had catapulted into headlong attack. As he leaped forward he drew a curved, double edged blade from under his robes.	true	837.2	847.81	20.991533
2404_141240_000037_000001	It plunged unerringly through the spot where Brion's body had been an instant before.	It plunged unerringly through the spot where Brion's body had been an instant before.	true	847.97	853.54	21.336535
2404_141240_000038_000000	There had been no time to tense his muscles and jump, just the space of time to relax them and fall to one side.	There had been no time to tense his muscles and jump, just the space of time to relax them and fall to one side.	true	854.18	861.88	21.81868
2404_141240_000038_000001	His reasoning mind joined the battle as he hit the floor.	His reasoning mind joined the battle as he hit the floor.	true	862.28	865.9	18.85003
2404_141240_000038_000002	Lig-magte plunged by him, turning and bringing the knife down at the same time.	Lig magte plunged by him, turning and bringing the knife down at the same time.	true	866.24	871.54	21.771893
2404_141240_000038_000003	Brion's foot lashed out and caught the other man's leg, sending him sprawling.	Brion's foot lashed out and caught the other man's leg, sending him sprawling.	true	871.7	876.46	20.684525
2404_141240_000039_000000	They were both on their feet at the same instant, facing each other. Brion now had his hands clasped before him in the unarmed man's best defense against a knife, the two arms protecting the body, the two hands joined to beat aside the knife arm from whichever direction it came.	They were both on their feet at the same instant, facing each other. Brion now had his hands clasped before him in the unarmed man's best defense against a knife, the two arms protecting the body, the two hands joined to beat aside the knife arm from whichever direction it came.	true	877.07	895.48	21.810438
2404_141240_000039_000001	The Disan hunched low, flipped the knife quickly from hand to hand, then thrust it again at Brion's midriff.	The Disan hunched low, flipped the knife quickly from hand to hand, then thrust it again at Brion's midriff.	true	896.03	903.28	20.440722
2404_141240_000040_000000	Only by the merest fractional margin did Brion evade the attack for the second time.	Only by the merest fractional margin did Brion evade the attack for the second time.	true	904.64	909.94	21.315208
2404_141240_000040_000001	Lig-magte fought with utter violence.	Lig magte fought with utter violence.	true	910.25	913.03	21.303793
2404_141240_000040_000002	Every action was as intense as possible, deadly and thorough.	Every action was as intense as possible, deadly and thorough.	true	913.13	917.77	19.21768
2404_141240_000040_000003	There could be only one end to this unequal contest if Brion stayed on the defensive. The man with the knife had to win.	There could be only one end to this unequal contest if Brion stayed on the defensive. The man with the knife had to win.	true	918.02	926.41	20.030144
2404_141240_000041_000000	With the next charge Brion changed tactics.	With the next charge Brion changed tactics.	true	927.32	930.52	23.247925
2404_141240_000041_000001	He leaped inside the thrust, clutching for the knife arm.	He leaped inside the thrust, clutching for the knife arm.	true	930.74	934.41	20.357813
2404_141240_000041_000002	A burning slice of pain cut across his arm, then his fingers clutched the tendoned wrist.	A burning slice of pain cut across his arm, then his fingers clutched the tendoned wrist.	false	934.41	940.78	21.653894
2404_141240_000041_000003	They clamped down hard, grinding shut, compressing with the tightening intensity of a closing vise.	They clamped down hard, grinding shut, compressing with the tightening intensity of a closing vise.	true	941.36	948.22	20.651966
2404_141240_000042_000000	It was all he could do simply to hold on.	It was all he could do simply to hold on.	true	949.43	952.39	23.055344
2404_141240_000042_000001	There was no science in it, just his greater strength from exercise and existence on a heavier planet.	There was no science in it, just his greater strength from exercise and existence on a heavier planet.	true	952.52	959.23	20.08558
2404_141240_000042_000002	All of this strength went to his clutching hand, because he held his own life in that hand, forcing away the knife that wanted to terminate it forever.	All of this strength went to his clutching hand, because he held his own life in that hand, forcing away the knife that wanted to terminate it forever.	true	959.72	969.43	21.721384
2404_141240_000042_000003	Nothing else mattered--neither the frightening force of the knees that thudded into his body nor the hooked fingers that reached for his eyes to tear them out.	Nothing else mattered-neither the frightening force of the knees that thudded into his body nor the hooked fingers that reached for his eyes to tear them out.	true	969.8	979.48	20.852789
2404_141240_000042_000004	He protected his face as well as he could, while the nails tore furrows through his flesh and the cut on his arm bled freely.	He protected his face as well as he could, while the nails tore furrows through his flesh and the cut on his arm bled freely.	true	980	988.81	20.859423
2404_141240_000042_000005	These were only minor things to be endured.	These were only minor things to be endured.	true	989.12	992.11	18.730871
2404_141240_000042_000006	His life depended on the grasp of the fingers of his right hand.	His life depended on the grasp of the fingers of his right hand.	true	992.36	996.7	21.733517
2404_141240_000043_000000	There was a sudden immobility as Brion succeeded in clutching Lig-magte's other arm.	There was a sudden immobility as Brion succeeded in clutching Lig magte's other arm.	true	997.85	1003.24	19.765667
2404_141240_000043_000001	It was a good grip, and he could hold the arm immobilized.	It was a good grip, and he could hold the arm immobilized.	true	1003.31	1007.17	19.983664
2404_141240_000043_000002	They had reached stasis, standing knee to knee, their faces only a few inches apart.	They had reached stasis, standing knee to knee, their faces only a few inches apart.	true	1007.33	1013.11	22.803234
