2404_141240_000003_000000	"It's suicide," the taller guard grumbled.	"It's suicide," the taller guard grumbled.
2404_141240_000041_000000	With the next charge Brion changed tactics.	With the next charge Brion changed tactics.
2404_141240_000041_000001	He leaped inside the thrust, clutching for the knife arm.	He leaped inside the thrust, clutching for the knife arm.
2404_141240_000041_000003	They clamped down hard, grinding shut, compressing with the tightening intensity of a closing vise.	They clamped down hard, grinding shut, compressing with the tightening intensity of a closing vise.
2404_141240_000042_000000	It was all he could do simply to hold on.	It was all he could do simply to hold on.
2404_141240_000042_000001	There was no science in it, just his greater strength from exercise and existence on a heavier planet.	There was no science in it, just his greater strength from exercise and existence on a heavier planet.
2404_141240_000042_000002	All of this strength went to his clutching hand, because he held his own life in that hand, forcing away the knife that wanted to terminate it forever.	All of this strength went to his clutching hand, because he held his own life in that hand, forcing away the knife that wanted to terminate it forever.
2404_141240_000042_000003	Nothing else mattered--neither the frightening force of the knees that thudded into his body nor the hooked fingers that reached for his eyes to tear them out.	Nothing else mattered-neither the frightening force of the knees that thudded into his body nor the hooked fingers that reached for his eyes to tear them out.
2404_141240_000042_000004	He protected his face as well as he could, while the nails tore furrows through his flesh and the cut on his arm bled freely.	He protected his face as well as he could, while the nails tore furrows through his flesh and the cut on his arm bled freely.
2404_141240_000042_000006	His life depended on the grasp of the fingers of his right hand.	His life depended on the grasp of the fingers of his right hand.
2404_141240_000043_000002	They had reached stasis, standing knee to knee, their faces only a few inches apart.	They had reached stasis, standing knee to knee, their faces only a few inches apart.
2404_141240_000043_000003	The muffling cloth had fallen from the Disan's face during the struggle, and empty, frigid eyes stared into Brion's.	The muffling cloth had fallen from the Disan's face during the struggle, and empty, frigid eyes stared into Brion's.
2404_141240_000043_000004	No flicker of emotion crossed the harsh planes of the other man's face.	No flicker of emotion crossed the harsh planes of the other man's face.
2404_141240_000043_000005	A great puckered white scar covered one cheek and pulled up a corner of the mouth in a cheerless grimace.	A great puckered white scar covered one cheek and pulled up a corner of the mouth in a cheerless grimace.
2404_141240_000043_000006	It was false; there was still no expression here, even when the pain must be growing more intense.	It was false; there was still no expression here, even when the pain must be growing more intense.
2404_141240_000044_000000	Brion was winning--if none of the watchers broke the impasse. His greater weight and strength counted now.	Brion was winning-if none of the watchers broke the impasse. His greater weight and strength counted now.
2404_141240_000044_000001	The Disan would have to drop the knife before his arm was dislocated at the shoulder. He didn't do it.	The Disan would have to drop the knife before his arm was dislocated at the shoulder. He didn't do it.
2404_141240_000045_000000	A dull, hideous snap jerked through the Disan's body and the arm hung limp and dead.	A dull, hideous snap jerked through the Disan's body and the arm hung limp and dead.
2404_141240_000045_000001	No expression crossed the man's face.	No expression crossed the man's face.
2404_141240_000045_000002	The knife was still locked in the fingers of the paralyzed hand.	The knife was still locked in the fingers of the paralyzed hand.
2404_141240_000045_000004	Brion raised his foot and kicked the knife free, sending it spinning across the room.	Brion raised his foot and kicked the knife free, sending it spinning across the room.
2404_141240_000046_000000	Lig-magte made a fist of his good hand and crashed it into Brion's groin.	Lig magte made a fist of his good hand and crashed it into Brion's groin.
2404_141240_000046_000001	He was still fighting, as if nothing had changed.	He was still fighting, as if nothing had changed.
2404_141240_000046_000002	Brion backed slowly away from the man.	Brion backed slowly away from the man.
2404_141240_000046_000003	"Stop it," he said.	"Stop it," he said.
2404_141240_000046_000005	It's impossible." He called to the other men who were watching the unequal battle with expressionless immobility.	It's impossible." He called to the other men who were watching the unequal battle with expressionless immobility.
2404_141240_000046_000006	No one answered him.	No one answered him.
2404_141240_000047_000002	He would press the attack no matter what damage was done to him.	He would press the attack no matter what damage was done to him.
2404_141240_000047_000003	Brion had an insane vision of him breaking the man's other arm, fracturing both his legs, and the limbless broken creature still coming forward.	Brion had an insane vision of him breaking the man's other arm, fracturing both his legs, and the limbless broken creature still coming forward.
2404_141240_000047_000004	Crawling, rolling, teeth bared, since they were the only remaining weapon.	Crawling, rolling, teeth bared, since they were the only remaining weapon.
2404_141240_000048_000000	There was only one way to end it.	There was only one way to end it.
2404_141240_000048_000001	Brion feinted and the Lig-magte's arm moved clear of his body.	Brion feinted and the Lig magte's arm moved clear of his body.
2404_141240_000048_000002	The engulfing cloth was thin and through it Brion could see the outlines of the Disan's abdomen and rib cage, the clear location of the great nerve ganglion.	The engulfing cloth was thin and through it Brion could see the outlines of the Disan's abdomen and rib cage, the clear location of the great nerve ganglion.
2404_141240_000049_000002	The stiffened hand moving forward in a sudden surge, all the weight and energy of his body concentrated in his joined fingertips.	The stiffened hand moving forward in a sudden surge, all the weight and energy of his body concentrated in his joined fingertips.
2404_141240_000050_000000	Killing, not by accident or in sudden anger.	Killing, not by accident or in sudden anger.
2404_141240_000050_000001	Killing because this was the only way the battle could possibly end.	Killing because this was the only way the battle could possibly end.
2404_141240_000051_000000	Like a ruined tower of flesh, the Disan crumpled and fell.	Like a ruined tower of flesh, the Disan crumpled and fell.
2404_141240_000053_000000	Death filled the room.	Death filled the room.
