2688_144987_000000_000000	Remember this proportion:	Remember this proportion:	false	5.04	8.37	16.442638
2688_144987_000042_000000	The laws should permit the sale, under tag, of all species of game that can successfully be reared in preserves on a commercial basis.	The laws should permit the sale, under tag, of all species of game that can successfully be reared in preserves on a commercial basis.	false	490.64	500.1	20.583614
2688_144987_000043_000000	Two or three state game preserves, for deer, each at least four miles square, should be established without delay.	Two or three state game preserves, for deer, each at least four miles square, should be established without delay.	true	500.1	506.8	20
2688_144987_000044_000000	MINNESOTA:	MINNESOTA:	true	509.03	510.1	18.334288
2688_144987_000045_000000	This state should at once enact a bag-limit law that will do some good, instead of the statutory farce now on the books.	This state should at once enact a bag limit law that will do some good, instead of the statutory farce now on the books.	false	511.4	517.75	18
2688_144987_000045_000001	Make it fifteen birds per day of waterfowl, all species combined, and no grouse or quail.	Make it fifteen birds per day of waterfowl, all species combined, and no grouse or quail.	true	518.33	523.66	19
2688_144987_000046_000000	There should be five-year close seasons enacted for quail, grouse, plover, woodcock, snipe, and all other shore birds.	There should be five year close seasons enacted for quail, grouse, plover, woodcock, snipe, and all other shore birds.	true	524.84	531.57	20.670198
2688_144987_000047_000000	A law should be enacted prohibiting the use of firearms by unnaturalized aliens, and a $20 license for all naturalized aliens.	A law should be enacted prohibiting the use of firearms by unnaturalized aliens, and a twenty dollars license for all naturalized aliens.	false	531.57	540.58	17.876415
2688_144987_000048_000000	Provision should be made for a large state game refuge in southern Minnesota.	Provision should be made for a large state game refuge in southern Minnesota.	true	541.4	545.65	17
2688_144987_000049_000000	The state should prohibit the use of machine guns in hunting.	The state should prohibit the use of machine guns in hunting.	true	546.68	549.55	21.362846
2688_144987_000050_000000	To-day, direct and reliable advices show that the game situation in Minnesota is far from encouraging.	To day, direct and reliable advices show that the game situation in Minnesota is far from encouraging.	true	550.67	556.57	16
2688_144987_000050_000001	Several species are threatened with extinction at an early date.	Several species are threatened with extinction at an early date.	true	557.33	560.68	18.859476
2688_144987_000050_000002	In northern Minnesota it is reported that much game is surreptitiously trapped and slaughtered.	In northern Minnesota it is reported that much game is surreptitiously trapped and slaughtered.	false	561.11	566.47	19.408484
2688_144987_000050_000003	The bob white is reported as threatened with total extinction at an early date; but I think the prairie chicken will be the first bird species to go.	The bob white is reported as threatened with total extinction at an early date; but I think the prairie chicken will be the first bird species to go.	false	566.96	575.38	19.50069
2688_144987_000050_000004	Moose will soon be extinct everywhere in Minnesota except in the game preserves.	Moose will soon be extinct everywhere in Minnesota except in the game preserves.	true	576.5	580.6	17
2688_144987_000050_000005	Apparently there is now about one duck in Minnesota for every ten ducks that were there only ten years ago.	Apparently there is now about one duck in Minnesota for every ten ducks that were there only ten years ago.	false	580.88	586.39	16
2688_144987_000051_000000	Now, what is Minnesota going to do about all this?	Now, what is Minnesota going to do about all this?	true	587.75	590.23	18
2688_144987_000051_000001	Is she willing through Apathy to become a gameless state?	Is she willing through Apathy to become a gameless state?	true	590.84	593.86	19
2688_144987_000051_000002	Her people need to arouse themselves _now_, and pass several _strong_ laws.	Her people need to arouse themselves underscore now underscore, and pass several underscore strong underscore laws.	false	594.44	598.93	19.866863
2688_144987_000051_000003	Her bag limit of forty-five birds _per day_ of quail, grouse, woodcock and plover, and _fifty_ per day of the waterbirds, is a joke, and nothing more; but it is no laughing matter.	Her bag limit of forty five birds underscore per day underscore of quail, grouse, woodcock and plover, and underscore fifty underscore per day of the waterbirds, is a joke, and nothing more; but it is no laughing matter.	false	599.72	610.3	19.528242
2688_144987_000051_000004	It spells extermination.	It spells extermination.	true	610.52	612.34	19.849976
2688_144987_000052_000000	MISSISSIPPI:	MISSISSIPPI:	true	614.03	615.07	23.042437
2688_144987_000053_000000	The legalized slaughter of robins, cedar birds, grosbeaks and doves should cease immediately, on the basis of economy of resources and a square deal to all the states lying northward of Mississippi.	The legalized slaughter of robins, cedar birds, grosbeaks and doves should cease immediately, on the basis of economy of resources and a square deal to all the states lying northward of Mississippi.	true	615.86	627.97	20.65879
2688_144987_000054_000000	The shooting of all water-fowl should cease on January 1.	The shooting of all water fowl should cease on january first.	true	629.12	632.74	18.04747
2688_144987_000055_000000	A reasonable limit should be established on deer.	A reasonable limit should be established on deer.	true	633.62	636.15	17
2688_144987_000056_000000	A hunting license law should be passed at once, fixing the fee at $1 and devoting the revenue to the pay of a corps of non-political game wardens, selected on a basis of ability and fitness.	A hunting license law should be passed at once, fixing the fee at one dollar and devoting the revenue to the pay of a corps of non political game wardens, selected on a basis of ability and fitness.	false	636.15	648.01	19.102499
2688_144987_000057_000000	The administration of the game laws should be placed in charge of a salaried game commissioner.	The administration of the game laws should be placed in charge of a salaried game commissioner.	true	649.4	653.95	16
2688_144987_000058_000000	It is seriously to the discredit of Mississippi that her laws actually classify robins, cedar-birds, grosbeaks and doves as "game," and _make them killable as such from Sept. 1 to March 1!_ I should think that if no economic consideration carried weight in Mississippi, state pride alone would be sufficient to promote a correction of the evil.	It is seriously to the discredit of Mississippi that her laws actually classify robins, cedar birds, grosbeaks and doves as "game," and underscore make them killable as such from september first to march first!underscore I should think that if no economic consideration carried weight in Mississippi, state pride alone would be sufficient to promote a correction of the evil.	false	654.5	675.82	19.93266
2688_144987_000058_000001	If we of the North were to slaughter mockingbirds for food, when they come North to visit us, the men of the South would call us greedy barbarians; and they would be quite right.	If we of the North were to slaughter mockingbirds for food, when they come North to visit us, the men of the South would call us greedy barbarians; and they would be quite right.	true	676.16	686.05	19.791302
2688_144987_000059_000000	MISSOURI:	MISSOURI:	true	687.68	688.5	19.59115
2688_144987_000060_000000	The Missouri bag limits that permit the killing or possession of fifty birds per day are absurd, and fatally liberal.	The Missouri bag limits that permit the killing or possession of fifty birds per day are absurd, and fatally liberal.	false	688.5	696.4	18.605656
2688_144987_000060_000001	The utmost should be twenty-five; and even that is too high.	The utmost should be twenty five; and even that is too high.	true	696.71	700.36	19.668356
2688_144987_000061_000000	Doves should be taken off the list of game birds, and protected throughout the year; and so should all tree squirrels.	Doves should be taken off the list of game birds, and protected throughout the year; and so should all tree squirrels.	true	701.39	707.35	20
2688_144987_000062_000000	Spring shooting of shore birds and waterfowl should be prohibited without delay.	Spring shooting of shore birds and waterfowl should be prohibited without delay.	true	708.47	712.41	15
2688_144987_000063_000000	A law against automatic and pump guns should be enacted at the next legislative session, as a public lesson on the raising of the standard of ethics in shooting.	A law against automatic and pump guns should be enacted at the next legislative session, as a public lesson on the raising of the standard of ethics in shooting.	false	712.41	721.78	18.887306
2688_144987_000064_000000	The state of Missouri is really strong in her position as a game-protecting state.	The state of Missouri is really strong in her position as a game protecting state.	true	722.72	727	19.371107
2688_144987_000064_000001	She perpetually protects such vanishing species as the ruffed grouse, prairie chicken (pinnated grouse), woodcock, and all her shore birds save snipe and plover.	She perpetually protects such vanishing species as the ruffed grouse, prairie chicken (pinnated grouse), woodcock, and all her shore birds save snipe and plover.	false	727.4	736.6	20.144096
2688_144987_000064_000002	She prohibits the sale of native game and the killing of female deer; but she wisely permits the sale of preserve-bred elk and deer under the tags of the State Game Commission.	She prohibits the sale of native game and the killing of female deer; but she wisely permits the sale of preserve bred elk and deer under the tags of the State Game Commission.	true	737.72	747.88	19.838953
2688_144987_000064_000003	For nearly all the wild game that is accessible, her markets are tightly closed.	For nearly all the wild game that is accessible, her markets are tightly closed.	true	749.09	753.52	17.065887
2688_144987_000065_000000	We heartily congratulate Missouri on her advanced position on the sale of game, and we hope that the people of Iowa will even yet profit by her good example.	We heartily congratulate Missouri on her advanced position on the sale of game, and we hope that the people of Iowa will even yet profit by her good example.	true	754.43	762.97	18.876438
2688_144987_000066_000000	MONTANA:	MONTANA:	true	764.12	765.25	18.66112
2688_144987_000067_000000	Like Colorado and Wyoming, Montana is wasting a valuable heritage of wild game while she struggles to maintain the theory that she still is in the list of states that furnish big-game hunting.	Like Colorado and Wyoming, Montana is wasting a valuable heritage of wild game while she struggles to maintain the theory that she still is in the list of states that furnish big game hunting.	false	765.74	776.47	18.91297
2688_144987_000067_000001	It is a fact that ten years ago most sportsmen began to regard Montana as a has-been for big game, and began to seek better hunting-grounds elsewhere.	It is a fact that ten years ago most sportsmen began to regard Montana as a has been for big game, and began to seek better hunting grounds elsewhere.	false	777.65	786.22	18
2688_144987_000067_000002	British Columbia, Alberta and Alaska have done much for the game of Montana by drawing sportsmen away from it.	British Columbia, Alberta and Alaska have done much for the game of Montana by drawing sportsmen away from it.	false	786.95	796.11	19.748669
2688_144987_000067_000003	Mr. Henry Avare, the State Game Warden, is optimistic regarding even the big game, and believes that it is holding its own.	mr Henry Avare, the State Game Warden, is optimistic regarding even the big game, and believes that it is holding its own.	true	796.11	803.14	19.751627
2688_144987_000067_000004	This is partially true of white-tailed deer, or it was up to the time of great slaughter.	This is partially true of white tailed deer, or it was up to the time of great slaughter.	false	803.3	809.26	22.452984
2688_144987_000067_000005	It is said that in 1911, 11,000 deer were killed in Montana, all in the western part of the state, seventy per cent of which were white-tails.	It is said that in nineteen eleven, eleven thousand deer were killed in Montana, all in the western part of the state, seventy per cent of which were white tails.	true	809.45	818.32	20.559204
2688_144987_000067_000006	The deep snows and extreme cold of a long and unusually severe winter drove the hungry deer down out of the mountains into the settlements, where the ranchmen joyously slaughtered them.	The deep snows and extreme cold of a long and unusually severe winter drove the hungry deer down out of the mountains into the settlements, where the ranchmen joyously slaughtered them.	true	818.87	828.1	15
2688_144987_000067_000007	The destruction around Kalispell was described by Harry P. Stanford as "sickening."	The destruction around Kalispell was described by Harry p Stanford as "sickening."	true	828.74	833.8	18
2688_144987_000068_000000	Mr. Avare estimates the prong-horned antelope in Montana at three thousand head, of which about six hundred are under the quasi-protection of four ranches.	mr Avare estimates the prong horned antelope in Montana at three thousand head, of which about six hundred are under the quasi protection of four ranches.	true	834.62	843.67	17
2688_144987_000069_000000	The antelope need three or four small ranges, such as the Snow Creek Antelope Range, where the bad lands are too rough for ranchmen, but quite right for antelopes and other big game.	The antelope need three or four small ranges, such as the Snow Creek Antelope Range, where the bad lands are too rough for ranchmen, but quite right for antelopes and other big game.	true	845.6	855.73	20
2688_144987_000070_000000	All the grouse and ptarmigan of Montana need a five-year close season.	All the grouse and ptarmigan of Montana need a five year close season.	true	857.48	861.61	19
2688_144987_000070_000001	The splendid sage grouse is now extinct in many parts of its previous range.	The splendid sage grouse is now extinct in many parts of its previous range.	true	861.89	866.17	20
2688_144987_000070_000002	Fifty-eight thousand licensed gunners are too many for them!	Fifty eight thousand licensed gunners are too many for them!	true	866.48	869.92	19.971882
2688_144987_000071_000000	The few mountain sheep and mountain goats that survive should have a five-year close season, at once.	The few mountain sheep and mountain goats that survive should have a five year close season, at once.	true	870.98	876.34	15
2688_144987_000072_000000	The killing of female hoofed animals should be prohibited by law.	The killing of female hoofed animals should be prohibited by law.	true	877.01	880.36	19.79939
2688_144987_000073_000000	Montana has not yet adopted the model law for the protection of non-game birds.	Montana has not yet adopted the model law for the protection of non game birds.	true	881.12	885.55	17
2688_144987_000073_000001	Only seven states have failed in that respect.	Only seven states have failed in that respect.	true	885.77	888.43	20.836561
2688_144987_000074_000000	The use of automatic and pump shotguns, and silencers, should immediately be prohibited.	The use of automatic and pump shotguns, and silencers, should immediately be prohibited.	true	889.64	895	20
2688_144987_000075_000000	Montana's bag-limits are not wholly bad; but the grizzly bear has almost been exterminated, save in the Yellowstone Park.	Montana's bag limits are not wholly bad; but the grizzly bear has almost been exterminated, save in the Yellowstone Park.	true	895.88	902.65	20.665548
2688_144987_000075_000001	Some of these days, if things go on as they are now going, the people of Montana will be rudely awakened to the fact that they have 50,000 licensed hunters but no longer any killable game!	Some of these days, if things go on as they are now going, the people of Montana will be rudely awakened to the fact that they have fifty thousand licensed hunters but no longer any killable game!	true	903.17	914.11	19.517675
2688_144987_000075_000002	And then we will hear enthusiastic talk about "restocking."	And then we will hear enthusiastic talk about "restocking."	true	914.84	918.1	21.118673
2688_144987_000076_000000	NEBRASKA:	NEBRASKA:	true	919.64	920.8	19.45
2688_144987_000077_000000	No other state has bestowed close seasons upon as many extinct species of game as Nebraska.	No other state has bestowed close seasons upon as many extinct species of game as Nebraska.	true	921.74	927.79	20
2688_144987_000077_000001	Behold how she has resolutely locked the doors of her empty cage after all these species have flown: Elk, antelope, wild turkey, passenger pigeon, whooping crane, sage grouse, ptarmigan and curlew.	Behold how she has resolutely locked the doors of her empty cage after all these species have flown: Elk, antelope, wild turkey, passenger pigeon, whooping crane, sage grouse, ptarmigan and curlew.	true	928.31	942.93	19.924107
2688_144987_000077_000002	In a short time the pinnated grouse can be added to the list of has-beens.	In a short time the pinnated grouse can be added to the list of has beens.	false	942.93	947.41	20.591175
2688_144987_000078_000000	There is little to say regarding the future of the game of Nebraska; for its "future" is now history.	There is little to say regarding the future of the game of Nebraska; for its "future" is now history.	true	948.11	953.71	19.800253
2688_144987_000079_000000	Provision should be made for one or more state game preserves.	Provision should be made for one or more state game preserves.	true	954.86	958.42	18
2688_144987_000080_000000	Spring shooting of shore birds and waterfowl should be prohibited.	Spring shooting of shore birds and waterfowl should be prohibited.	true	958.7	962.29	17.433237
2688_144987_000081_000000	A larger and more effective warden service should be provided.	A larger and more effective warden service should be provided.	true	962.63	965.94	19
2688_144987_000082_000000	Doves should be removed from the game list.	Doves should be removed from the game list.	false	965.94	970.92	13.102678
2688_144987_000083_000000	NEVADA:	NEVADA:	true	970.92	971.89	20.30567
2688_144987_000084_000000	The sage grouse should be given a ten-year close season, for recuperation.	The sage grouse should be given a ten year close season, for recuperation.	true	973.25	977.35	19.459585
2688_144987_000085_000000	All non-game birds should have perpetual protection.	All non game birds should have perpetual protection.	true	978.08	981.04	21
2688_144987_000086_000000	The cranes, now verging on extinction, and the pigeons and doves should at once be taken out of the list of game birds, and forever protected.	The cranes, now verging on extinction, and the pigeons and doves should at once be taken out of the list of game birds, and forever protected.	true	981.35	988.99	19
2688_144987_000087_000000	All the shore birds need five years of close protection.	All the shore birds need five years of close protection.	true	990.44	993.7	19.329136
2688_144987_000088_000000	A State Game Warden whose term of office is not less than four years should be provided for.	A State Game Warden whose term of office is not less than four years should be provided for.	true	995.33	1000.12	18
2688_144987_000089_000000	A corps of salaried game protectors should be chosen for active and aggressive game protection.	A corps of salaried game protectors should be chosen for active and aggressive game protection.	true	1000.94	1005.82	20
2688_144987_000090_000000	Nevada's bag limits are among the best of any state, the only serious flaw being "10 sage grouse" per day: which should be 0!	Nevada's bag limits are among the best of any state, the only serious flaw being "ten sage grouse" per day: which should be zero!	true	1006.76	1014.37	21.05486
2688_144987_000091_000000	Nevada still has a few antelope; and _we beg her to protect them all from being hunted or killed!_ It is my belief that if the antelope is really saved anywhere in the United States outside of national parks and preserves, it will be in the wild and remote regions of Nevada, where it is to be hoped that lumpy-jaw has not yet taken hold of the herds.	Nevada still has a few antelope; and underscore we beg her to protect them all from being hunted or killed!underscore It is my belief that if the antelope is really saved anywhere in the United States outside of national parks and preserves, it will be in the wild and remote regions of Nevada, where it is to be hoped that lumpy jaw has not yet taken hold of the herds.	false	1015.46	1036.71	19.029171
2688_144987_000092_000000	NEW HAMPSHIRE:	NEW HAMPSHIRE:	true	1036.71	1037.71	22.088043
