1425_139297_000000_000000	CHAPTER VIII	CHAPTER eight	true	20.76	21.73	22.011929
1425_139297_000001_000012	I was only about five years old when I left it, to go and live with my old master on Colonel Lloyd's plantation; so that I was now between ten and eleven years old.	I was only about five years old when I left it, to go and live with my old master on Colonel Lloyd's plantation; so that I was now between ten and eleven years old.	true	101.27	110.92	16
1425_139297_000002_000000	We were all ranked together at the valuation.	We were all ranked together at the valuation.	true	111.71	114.49	19
1425_139297_000002_000001	Men and women, old and young, married and single, were ranked with horses, sheep, and swine. There were horses and men, cattle and women, pigs and children, all holding the same rank in the scale of being, and were all subjected to the same narrow examination.	Men and women, old and young, married and single, were ranked with horses, sheep, and swine. There were horses and men, cattle and women, pigs and children, all holding the same rank in the scale of being, and were all subjected to the same narrow examination.	false	114.65	131.11	16
1425_139297_000002_000002	Silvery-headed age and sprightly youth, maids and matrons, had to undergo the same indelicate inspection.	Silvery headed age and sprightly youth, maids and matrons, had to undergo the same indelicate inspection.	true	131.51	138.34	15
1425_139297_000002_000003	At this moment, I saw more clearly than ever the brutalizing effects of slavery upon both slave and slaveholder.	At this moment, I saw more clearly than ever the brutalizing effects of slavery upon both slave and slaveholder.	true	139.64	146.53	16
1425_139297_000003_000000	After the valuation, then came the division.	After the valuation, then came the division.	true	147.2	150.22	19.259514
1425_139297_000003_000001	I have no language to express the high excitement and deep anxiety which were felt among us poor slaves during this time.	I have no language to express the high excitement and deep anxiety which were felt among us poor slaves during this time.	true	150.56	157.87	15
1425_139297_000003_000002	Our fate for life was now to be decided. we had no more voice in that decision than the brutes among whom we were ranked.	Our fate for life was now to be decided. we had no more voice in that decision than the brutes among whom we were ranked.	true	158.3	165.43	16
1425_139297_000003_000003	A single word from the white men was enough--against all our wishes, prayers, and entreaties--to sunder forever the dearest friends, dearest kindred, and strongest ties known to human beings.	A single word from the white men was enough-against all our wishes, prayers, and entreaties-to sunder forever the dearest friends, dearest kindred, and strongest ties known to human beings.	true	165.56	178.03	15
1425_139297_000003_000004	In addition to the pain of separation, there was the horrid dread of falling into the hands of Master Andrew.	In addition to the pain of separation, there was the horrid dread of falling into the hands of Master Andrew.	true	178.79	184.45	14
1425_139297_000003_000005	He was known to us all as being a most cruel wretch,--a common drunkard, who had, by his reckless mismanagement and profligate dissipation, already wasted a large portion of his father's property.	He was known to us all as being a most cruel wretch,--a common drunkard, who had, by his reckless mismanagement and profligate dissipation, already wasted a large portion of his father's property.	true	184.73	197.02	18
1425_139297_000003_000006	We all felt that we might as well be sold at once to the Georgia traders, as to pass into his hands; for we knew that that would be our inevitable condition,--a condition held by us all in the utmost horror and dread.	We all felt that we might as well be sold at once to the Georgia traders, as to pass into his hands; for we knew that that would be our inevitable condition,--a condition held by us all in the utmost horror and dread.	false	197.75	211.15	16
1425_139297_000004_000000	I suffered more anxiety than most of my fellow-slaves.	I suffered more anxiety than most of my fellow slaves.	true	212.66	215.89	13
1425_139297_000004_000001	I had known what it was to be kindly treated; they had known nothing of the kind.	I had known what it was to be kindly treated; they had known nothing of the kind.	true	215.99	220.72	19
1425_139297_000004_000002	They had seen little or nothing of the world.	They had seen little or nothing of the world.	true	220.91	223.44	16.726868
1425_139297_000004_000003	They were in very deed men and women of sorrow, and acquainted with grief.	They were in very deed men and women of sorrow, and acquainted with grief.	true	223.44	228.13	13
1425_139297_000004_000004	Their backs had been made familiar with the bloody lash, so that they had become callous; mine was yet tender; for while at Baltimore I got few whippings, and few slaves could boast of a kinder master and mistress than myself; and the thought of passing out of their hands into those of Master Andrew--a man who, but a few days before, to give me a sample of his bloody disposition, took my little brother by the throat, threw him on the ground, and with the heel of his boot stamped upon his head till the blood gushed from his nose and ears--was well calculated to make me anxious as to my fate. After he had committed this savage outrage upon my brother, he turned to me, and said that was the way he meant to serve me one of these days,--meaning, I suppose, when I came into his possession.	Their backs had been made familiar with the bloody lash, so that they had become callous; mine was yet tender; for while at Baltimore I got few whippings, and few slaves could boast of a kinder master and mistress than myself; and the thought of passing out of their hands into those of Master Andrew-a man who, but a few days before, to give me a sample of his bloody disposition, took my little brother by the throat, threw him on the ground, and with the heel of his boot stamped upon his head till the blood gushed from his nose and ears-was well calculated to make me anxious as to my fate. After he had committed this savage outrage upon my brother, he turned to me, and said that was the way he meant to serve me one of these days,--meaning, I suppose, when I came into his possession.	false	228.41	276.34	17
1425_139297_000005_000000	Thanks to a kind Providence, I fell to the portion of Mrs. Lucretia, and was sent immediately back to Baltimore, to live again in the family of Master Hugh.	Thanks to a kind Providence, I fell to the portion of mrs Lucretia, and was sent immediately back to Baltimore, to live again in the family of Master Hugh.	true	277.94	287.05	17
1425_139297_000005_000001	Their joy at my return equalled their sorrow at my departure.	Their joy at my return equalled their sorrow at my departure.	true	287.42	291.13	18
1425_139297_000005_000002	It was a glad day to me.	It was a glad day to me.	false	291.62	293.35	22.49646
1425_139297_000005_000003	I had escaped a worse than lion's jaws.	I had escaped a worse than lion's jaws.	false	293.51	296.38	16
1425_139297_000005_000004	I was absent from Baltimore, for the purpose of valuation and division, just about one month, and it seemed to have been six.	I was absent from Baltimore, for the purpose of valuation and division, just about one month, and it seemed to have been six.	true	296.75	304.54	17
1425_139297_000006_000000	Very soon after my return to Baltimore, my mistress, Lucretia, died, leaving her husband and one child, Amanda; and in a very short time after her death, Master Andrew died.	Very soon after my return to Baltimore, my mistress, Lucretia, died, leaving her husband and one child, Amanda; and in a very short time after her death, Master Andrew died.	true	305.12	316.57	16
1425_139297_000006_000001	Now all the property of my old master, slaves included, was in the hands of strangers,--strangers who had had nothing to do with accumulating it.	Now all the property of my old master, slaves included, was in the hands of strangers,--strangers who had had nothing to do with accumulating it.	true	316.91	325.78	19.443953
1425_139297_000006_000002	Not a slave was left free. All remained slaves, from the youngest to the oldest.	Not a slave was left free. All remained slaves, from the youngest to the oldest.	true	326.15	331.48	20.168932
1425_139297_000006_000003	If any one thing in my experience, more than another, served to deepen my conviction of the infernal character of slavery, and to fill me with unutterable loathing of slaveholders, it was their base ingratitude to my poor old grandmother.	If any one thing in my experience, more than another, served to deepen my conviction of the infernal character of slavery, and to fill me with unutterable loathing of slaveholders, it was their base ingratitude to my poor old grandmother.	true	331.7	346.39	19
1425_139297_000006_000004	She had served my old master faithfully from youth to old age.	She had served my old master faithfully from youth to old age.	true	346.88	350.86	14
1425_139297_000006_000005	She had been the source of all his wealth; she had peopled his plantation with slaves; she had become a great grandmother in his service.	She had been the source of all his wealth; she had peopled his plantation with slaves; she had become a great grandmother in his service.	true	351.02	359.29	19
1425_139297_000006_000006	She had rocked him in infancy, attended him in childhood, served him through life, and at his death wiped from his icy brow the cold death-sweat, and closed his eyes forever.	She had rocked him in infancy, attended him in childhood, served him through life, and at his death wiped from his icy brow the cold death sweat, and closed his eyes forever.	true	359.54	370.84	19
1425_139297_000006_000007	She was nevertheless left a slave--a slave for life--a slave in the hands of strangers; and in their hands she saw her children, her grandchildren, and her great-grandchildren, divided, like so many sheep, without being gratified with the small privilege of a single word, as to their or her own destiny.	She was nevertheless left a slave-a slave for life-a slave in the hands of strangers; and in their hands she saw her children, her grandchildren, and her great grandchildren, divided, like so many sheep, without being gratified with the small privilege of a single word, as to their or her own destiny.	false	371.18	391.09	18
1425_139297_000006_000008	And, to cap the climax of their base ingratitude and fiendish barbarity, my grandmother, who was now very old, having outlived my old master and all his children, having seen the beginning and end of all of them, and her present owners finding she was of but little value, her frame already racked with the pains of old age, and complete helplessness fast stealing over her once active limbs, they took her to the woods, built her a little hut, put up a little mud-chimney, and then made her welcome to the privilege of supporting herself there in perfect loneliness; thus virtually turning her out to die!	And, to cap the climax of their base ingratitude and fiendish barbarity, my grandmother, who was now very old, having outlived my old master and all his children, having seen the beginning and end of all of them, and her present owners finding she was of but little value, her frame already racked with the pains of old age, and complete helplessness fast stealing over her once active limbs, they took her to the woods, built her a little hut, put up a little mud chimney, and then made her welcome to the privilege of supporting herself there in perfect loneliness; thus virtually turning her out to die!	true	391.61	428.68	17
1425_139297_000006_000009	If my poor old grandmother now lives, she lives to suffer in utter loneliness; she lives to remember and mourn over the loss of children, the loss of grandchildren, and the loss of great-grandchildren.	If my poor old grandmother now lives, she lives to suffer in utter loneliness; she lives to remember and mourn over the loss of children, the loss of grandchildren, and the loss of great grandchildren.	true	430.16	442.15	16
1425_139297_000006_000010	They are, in the language of the slave's poet, Whittier,--	They are, in the language of the slave's poet, Whittier,--	true	442.46	445.6	19.123222
1425_139297_000007_000000	"Gone, gone, sold and gone To the rice swamp dank and lone, Where the slave-whip ceaseless swings, Where the noisome insect stings, Where the fever-demon strews Poison with the falling dews, Where the sickly sunbeams glare Through the hot and misty air:&mdash; Gone, gone, sold and gone To the rice swamp dank and lone, From Virginia hills and waters&mdash; Woe is me, my stolen daughters!"	"Gone, gone, sold and gone To the rice swamp dank and lone, Where the slave whip ceaseless swings, Where the noisome insect stings, Where the fever demon strews Poison with the falling dews, Where the sickly sunbeams glare Through the hot and misty air:and m dash; Gone, gone, sold and gone To the rice swamp dank and lone, From Virginia hills and waters and m dash; Woe is me, my stolen daughters!"	false	446.06	476.98	18
1425_139297_000008_000000	The hearth is desolate.	The hearth is desolate.	true	479.12	480.7	20.056736
1425_139297_000008_000001	The children, the unconscious children, who once sang and danced in her presence, are gone.	The children, the unconscious children, who once sang and danced in her presence, are gone.	true	480.86	487	14
1425_139297_000008_000002	She gropes her way, in the darkness of age, for a drink of water.	She gropes her way, in the darkness of age, for a drink of water.	true	487.25	491.2	17
1425_139297_000008_000003	Instead of the voices of her children, she hears by day the moans of the dove, and by night the screams of the hideous owl.	Instead of the voices of her children, she hears by day the moans of the dove, and by night the screams of the hideous owl.	false	491.6	499.18	14
1425_139297_000008_000004	All is gloom.	All is gloom.	true	499.88	501.01	19.713873
1425_139297_000008_000005	The grave is at the door.	The grave is at the door.	true	501.5	503.02	18.827406
1425_139297_000008_000006	And now, when weighed down by the pains and aches of old age, when the head inclines to the feet, when the beginning and ending of human existence meet, and helpless infancy and painful old age combine together--at this time, this most needful time, the time for the exercise of that tenderness and affection which children only can exercise towards a declining parent--my poor old grandmother, the devoted mother of twelve children, is left all alone, in yonder little hut, before a few dim embers.	And now, when weighed down by the pains and aches of old age, when the head inclines to the feet, when the beginning and ending of human existence meet, and helpless infancy and painful old age combine together-at this time, this most needful time, the time for the exercise of that tenderness and affection which children only can exercise towards a declining parent-my poor old grandmother, the devoted mother of twelve children, is left all alone, in yonder little hut, before a few dim embers.	false	503.21	538.21	16
1425_139297_000008_000007	She stands--she sits--she staggers--she falls--she groans--she dies--and there are none of her children or grandchildren present, to wipe from her wrinkled brow the cold sweat of death, or to place beneath the sod her fallen remains.	She stands-she sits-she staggers-she falls-she groans-she dies-and there are none of her children or grandchildren present, to wipe from her wrinkled brow the cold sweat of death, or to place beneath the sod her fallen remains.	true	539.21	555.43	16
1425_139297_000008_000008	Will not a righteous God visit for these things?	Will not a righteous God visit for these things?	true	555.74	558.82	15
1425_139297_000009_000000	In about two years after the death of Mrs. Lucretia, Master Thomas married his second wife.	In about two years after the death of mrs Lucretia, Master Thomas married his second wife.	true	559.97	565.81	19
1425_139297_000009_000001	Her name was Rowena Hamilton.	Her name was Rowena Hamilton.	true	566.09	568.3	16
1425_139297_000009_000002	She was the eldest daughter of Mr. William Hamilton.	She was the eldest daughter of mr William Hamilton.	true	568.64	571.96	14
1425_139297_000009_000003	Master now lived in St. Michael's.	Master now lived in saint Michael's.	true	572.3	574.57	18
1425_139297_000009_000004	Not long after his marriage, a misunderstanding took place between himself and Master Hugh; and as a means of punishing his brother, he took me from him to live with himself at St. Michael's.	Not long after his marriage, a misunderstanding took place between himself and Master Hugh; and as a means of punishing his brother, he took me from him to live with himself at saint Michael's.	true	574.64	587.14	17
1425_139297_000009_000005	Here I underwent another most painful separation.	Here I underwent another most painful separation.	true	587.69	590.74	15
1425_139297_000009_000006	It, however, was not so severe as the one I dreaded at the division of property; for, during this interval, a great change had taken place in Master Hugh and his once kind and affectionate wife.	It, however, was not so severe as the one I dreaded at the division of property; for, during this interval, a great change had taken place in Master Hugh and his once kind and affectionate wife.	true	590.75	602.65	15
1425_139297_000009_000007	The influence of brandy upon him, and of slavery upon her, had effected a disastrous change in the characters of both; so that, as far as they were concerned, I thought I had little to lose by the change.	The influence of brandy upon him, and of slavery upon her, had effected a disastrous change in the characters of both; so that, as far as they were concerned, I thought I had little to lose by the change.	true	603.08	617.05	19
1425_139297_000009_000008	But it was not to them that I was attached.	But it was not to them that I was attached.	true	617.36	620.29	21
1425_139297_000009_000009	It was to those little Baltimore boys that I felt the strongest attachment. I had received many good lessons from them, and was still receiving them, and the thought of leaving them was painful indeed.	It was to those little Baltimore boys that I felt the strongest attachment. I had received many good lessons from them, and was still receiving them, and the thought of leaving them was painful indeed.	true	620.33	632.08	18
1425_139297_000009_000010	I was leaving, too, without the hope of ever being allowed to return.	I was leaving, too, without the hope of ever being allowed to return.	true	632.45	636.22	14
1425_139297_000009_000011	Master Thomas had said he would never let me return again.	Master Thomas had said he would never let me return again.	true	636.47	639.97	13
1425_139297_000009_000012	The barrier betwixt himself and brother he considered impassable.	The barrier betwixt himself and brother he considered impassable.	true	640.49	644.62	18
1425_139297_000010_000000	I then had to regret that I did not at least make the attempt to carry out my resolution to run away; for the chances of success are tenfold greater from the city than from the country.	I then had to regret that I did not at least make the attempt to carry out my resolution to run away; for the chances of success are tenfold greater from the city than from the country.	true	644.99	656.23	18
1425_139297_000011_000000	I sailed from Baltimore for St. Michael's in the sloop Amanda, Captain Edward Dodson.	I sailed from Baltimore for saint Michael's in the sloop Amanda, Captain Edward Dodson.	true	657.32	663.16	21.621418
1425_139297_000011_000001	On my passage, I paid particular attention to the direction which the steamboats took to go to Philadelphia.	On my passage, I paid particular attention to the direction which the steamboats took to go to Philadelphia.	true	664.28	671.29	21
1425_139297_000011_000002	I found, instead of going down, on reaching North Point they went up the bay, in a north-easterly direction.	I found, instead of going down, on reaching North Point they went up the bay, in a north easterly direction.	true	671.75	678.49	16
1425_139297_000011_000003	I deemed this knowledge of the utmost importance.	I deemed this knowledge of the utmost importance.	true	678.98	681.88	15
1425_139297_000011_000004	My determination to run away was again revived.	My determination to run away was again revived.	true	682.04	685.3	14
1425_139297_000011_000005	I resolved to wait only so long as the offering of a favorable opportunity.	I resolved to wait only so long as the offering of a favorable opportunity.	true	685.58	690.79	16
1425_139297_000011_000006	When that came, I was determined to be off.	When that came, I was determined to be off.	true	691.31	694.23	17
1425_139297_000012_000000	CHAPTER IX	CHAPTER nine	false	694.23	694.86	-20
1425_139297_000013_000000	I have now reached a period of my life when I can give dates.	I have now reached a period of my life when I can give dates.	false	694.86	696.9	13.194429
1425_139297_000013_000001	I left Baltimore, and went to live with Master Thomas Auld, at St. Michael's, in March, 1832.	I left Baltimore, and went to live with Master Thomas Auld, at saint Michael's, in March, eighteen thirty two.	false	696.9	697.08	9
1425_139297_000013_000002	It was now more than seven years since I lived with him in the family of my old master, on Colonel Lloyd's plantation.	It was now more than seven years since I lived with him in the family of my old master, on Colonel Lloyd's plantation.	false	697.08	697.32	14
1425_139297_000013_000003	We of course were now almost entire strangers to each other.	We of course were now almost entire strangers to each other.	false	697.32	697.44	-2
1425_139297_000013_000004	He was to me a new master, and I to him a new slave.	He was to me a new master, and I to him a new slave.	false	697.44	697.56	27
1425_139297_000013_000005	I was ignorant of his temper and disposition; he was equally so of mine.	I was ignorant of his temper and disposition; he was equally so of mine.	false	697.56	697.71	10
1425_139297_000013_000006	A very short time, however, brought us into full acquaintance with each other.	A very short time, however, brought us into full acquaintance with each other.	false	697.71	697.83	-20
1425_139297_000013_000007	I was made acquainted with his wife not less than with himself.	I was made acquainted with his wife not less than with himself.	false	697.83	697.95	-20
1425_139297_000013_000008	They were well matched, being equally mean and cruel.	They were well matched, being equally mean and cruel.	false	697.95	698.04	-20
1425_139297_000013_000009	I was now, for the first time during a space of more than seven years, made to feel the painful gnawings of hunger--a something which I had not experienced before since I left Colonel Lloyd's plantation.	I was now, for the first time during a space of more than seven years, made to feel the painful gnawings of hunger-a something which I had not experienced before since I left Colonel Lloyd's plantation.	false	698.04	698.43	-20
1425_139297_000013_000010	It went hard enough with me then, when I could look back to no period at which I had enjoyed a sufficiency.	It went hard enough with me then, when I could look back to no period at which I had enjoyed a sufficiency.	false	698.43	698.64	-20
1425_139297_000013_000011	It was tenfold harder after living in Master Hugh's family, where I had always had enough to eat, and of that which was good.	It was tenfold harder after living in Master Hugh's family, where I had always had enough to eat, and of that which was good.	false	698.64	698.88	-20
1425_139297_000013_000012	I have said Master Thomas was a mean man.	I have said Master Thomas was a mean man.	false	698.88	698.97	-20
1425_139297_000013_000013	He was so.	He was so.	false	698.97	699	-20
1425_139297_000013_000014	Not to give a slave enough to eat, is regarded as the most aggravated development of meanness even among slaveholders.	Not to give a slave enough to eat, is regarded as the most aggravated development of meanness even among slaveholders.	false	699	699.21	-20
1425_139297_000013_000015	The rule is, no matter how coarse the food, only let there be enough of it. This is the theory; and in the part of Maryland from which I came, it is the general practice,--though there are many exceptions.	The rule is, no matter how coarse the food, only let there be enough of it. This is the theory; and in the part of Maryland from which I came, it is the general practice,--though there are many exceptions.	false	699.21	702.36	22.121815
1425_139297_000013_000016	Master Thomas gave us enough of neither coarse nor fine food.	Master Thomas gave us enough of neither coarse nor fine food.	false	702.36	702.48	-4
1425_139297_000013_000017	There were four slaves of us in the kitchen--my sister Eliza, my aunt Priscilla, Henny, and myself; and we were allowed less than a half of a bushel of corn-meal per week, and very little else, either in the shape of meat or vegetables.	There were four slaves of us in the kitchen-my sister Eliza, my aunt Priscilla, Henny, and myself; and we were allowed less than a half of a bushel of corn meal per week, and very little else, either in the shape of meat or vegetables.	false	702.48	702.93	21
1425_139297_000013_000018	It was not enough for us to subsist upon.	It was not enough for us to subsist upon.	false	702.93	703.2	29
1425_139297_000013_000019	We were therefore reduced to the wretched necessity of living at the expense of our neighbors.	We were therefore reduced to the wretched necessity of living at the expense of our neighbors.	false	703.2	703.23	-20
1425_139297_000013_000020	This we did by begging and stealing, whichever came handy in the time of need, the one being considered as legitimate as the other. A great many times have we poor creatures been nearly perishing with hunger, when food in abundance lay mouldering in the safe and smoke-house, and our pious mistress was aware of the fact; and yet that mistress and her husband would kneel every morning, and pray that God would bless them in basket and store!	This we did by begging and stealing, whichever came handy in the time of need, the one being considered as legitimate as the other. A great many times have we poor creatures been nearly perishing with hunger, when food in abundance lay mouldering in the safe and smoke house, and our pious mistress was aware of the fact; and yet that mistress and her husband would kneel every morning, and pray that God would bless them in basket and store!	false	703.23	712.65	8.541137
