6550_65820_000000_000000	Adieu.	Adieu.	false	1.5	2.25	26.916126
6550_65820_000005_000002	Every object carried me back to past times, and impressed the manners of the age forcibly on my mind.	Every object carried me back to past times, and impressed the manners of the age forcibly on my mind.	true	215.57	222.46	23.107533
6550_65820_000005_000003	In this point of view the preservation of old palaces and their tarnished furniture is useful, for they may be considered as historical documents.	In this point of view the preservation of old palaces and their tarnished furniture is useful, for they may be considered as historical documents.	true	222.74	231.34	19
6550_65820_000006_000000	The vacuum left by departed greatness was everywhere observable, whilst the battles and processions portrayed on the walls told you who had here excited revelry after retiring from slaughter, or dismissed pageantry in search of pleasure.	The vacuum left by departed greatness was everywhere observable, whilst the battles and processions portrayed on the walls told you who had here excited revelry after retiring from slaughter, or dismissed pageantry in search of pleasure.	true	232.43	247.84	22
6550_65820_000006_000001	It seemed a vast tomb full of the shadowy phantoms of those who had played or toiled their hour out and sunk behind the tapestry which celebrated the conquests of love or war.	It seemed a vast tomb full of the shadowy phantoms of those who had played or toiled their hour out and sunk behind the tapestry which celebrated the conquests of love or war.	true	248.33	259.06	18
6550_65820_000006_000002	Could they be no more--to whom my imagination thus gave life?	Could they be no more-to whom my imagination thus gave life?	true	259.43	263.86	18
6550_65820_000006_000003	Could the thoughts, of which there remained so many vestiges, have vanished quite away?	Could the thoughts, of which there remained so many vestiges, have vanished quite away?	true	264.53	269.53	22
6550_65820_000006_000004	And these beings, composed of such noble materials of thinking and feeling, have they only melted into the elements to keep in motion the grand mass of life?	And these beings, composed of such noble materials of thinking and feeling, have they only melted into the elements to keep in motion the grand mass of life?	true	269.93	279.82	17
6550_65820_000006_000005	It cannot be!--as easily could I believe that the large silver lions at the top of the banqueting room thought and reasoned.	It cannot be!--as easily could I believe that the large silver lions at the top of the banqueting room thought and reasoned.	true	279.92	288.04	23.377531
6550_65820_000006_000006	But avaunt! ye waking dreams!	But avaunt! ye waking dreams!	true	288.38	290.89	24.158901
6550_65820_000006_000007	yet I cannot describe the curiosities to you.	yet I cannot describe the curiosities to you.	true	291.05	293.92	21.97503
6550_65820_000007_000000	There were cabinets full of baubles and gems, and swords which must have been wielded by giant's hand.	There were cabinets full of baubles and gems, and swords which must have been wielded by giant's hand.	true	295.22	301.39	22.631756
6550_65820_000007_000001	The coronation ornaments wait quietly here till wanted, and the wardrobe exhibits the vestments which formerly graced these shows.	The coronation ornaments wait quietly here till wanted, and the wardrobe exhibits the vestments which formerly graced these shows.	true	302.15	310.03	18
6550_65820_000007_000002	It is a pity they do not lend them to the actors, instead of allowing them to perish ingloriously.	It is a pity they do not lend them to the actors, instead of allowing them to perish ingloriously.	true	310.49	315.34	18
6550_65820_000008_000000	I have not visited any other palace, excepting Hirsholm, the gardens of which are laid out with taste, and command the finest views the country affords.	I have not visited any other palace, excepting Hirsholm, the gardens of which are laid out with taste, and command the finest views the country affords.	true	316.73	326.17	23.2885
6550_65820_000008_000001	As they are in the modern and English style, I thought I was following the footsteps of Matilda, who wished to multiply around her the images of her beloved country.	As they are in the modern and English style, I thought I was following the footsteps of Matilda, who wished to multiply around her the images of her beloved country.	true	326.84	336.7	22.67993
6550_65820_000008_000002	I was also gratified by the sight of a Norwegian landscape in miniature, which with great propriety makes a part of the Danish King's garden.	I was also gratified by the sight of a Norwegian landscape in miniature, which with great propriety makes a part of the Danish King's garden.	true	337.04	345.85	22.841381
6550_65820_000008_000003	The cottage is well imitated, and the whole has a pleasing effect, particularly so to me who love Norway--its peaceful farms and spacious wilds.	The cottage is well imitated, and the whole has a pleasing effect, particularly so to me who love Norway-its peaceful farms and spacious wilds.	true	346.22	355.93	22.01712
6550_65820_000009_000000	The public library consists of a collection much larger than I expected to see; and it is well arranged.	The public library consists of a collection much larger than I expected to see; and it is well arranged.	true	357.32	363.64	21.689219
6550_65820_000009_000001	Of the value of the Icelandic manuscripts I could not form a judgment, though the alphabet of some of them amused me, by showing what immense labour men will submit to, in order to transmit their ideas to posterity.	Of the value of the Icelandic manuscripts I could not form a judgment, though the alphabet of some of them amused me, by showing what immense labour men will submit to, in order to transmit their ideas to posterity.	true	363.98	377.95	19.922478
6550_65820_000009_000002	I have sometimes thought it a great misfortune for individuals to acquire a certain delicacy of sentiment, which often makes them weary of the common occurrences of life; yet it is this very delicacy of feeling and thinking which probably has produced most of the performances that have benefited mankind.	I have sometimes thought it a great misfortune for individuals to acquire a certain delicacy of sentiment, which often makes them weary of the common occurrences of life; yet it is this very delicacy of feeling and thinking which probably has produced most of the performances that have benefited mankind.	false	378.71	397.87	22.073994
6550_65820_000009_000003	It might with propriety, perhaps, be termed the malady of genius; the cause of that characteristic melancholy which "grows with its growth, and strengthens with its strength."	It might with propriety, perhaps, be termed the malady of genius; the cause of that characteristic melancholy which "grows with its growth, and strengthens with its strength."	true	398.24	411.31	23.700697
6550_65820_000010_000000	There are some good pictures in the royal museum.	There are some good pictures in the royal museum.	true	412.64	415.39	20.061874
6550_65820_000010_000001	Do not start, I am not going to trouble you with a dull catalogue, or stupid criticisms on masters to whom time has assigned their just niche in the temple of fame; had there been any by living artists of this country, I should have noticed them, as making a part of the sketches I am drawing of the present state of the place.	Do not start, I am not going to trouble you with a dull catalogue, or stupid criticisms on masters to whom time has assigned their just niche in the temple of fame; had there been any by living artists of this country, I should have noticed them, as making a part of the sketches I am drawing of the present state of the place.	false	415.76	435.49	21.79571
6550_65820_000010_000002	The good pictures were mixed indiscriminately with the bad ones, in order to assort the frames.	The good pictures were mixed indiscriminately with the bad ones, in order to assort the frames.	true	436.22	441.25	20
6550_65820_000010_000003	The same fault is conspicuous in the new splendid gallery forming at Paris; though it seems an obvious thought that a school for artists ought to be arranged in such a manner, as to show the progressive discoveries and improvements in the art.	The same fault is conspicuous in the new splendid gallery forming at Paris; though it seems an obvious thought that a school for artists ought to be arranged in such a manner, as to show the progressive discoveries and improvements in the art.	true	441.71	455.11	21
6550_65820_000011_000000	A collection of the dresses, arms, and implements of the Laplanders attracted my attention, displaying that first species of ingenuity which is rather a proof of patient perseverance, than comprehension of mind. The specimens of natural history, and curiosities of art, were likewise huddled together without that scientific order which alone renders them useful; but this may partly have been occasioned by the hasty manner in which they were removed from the palace when in flames.	A collection of the dresses, arms, and implements of the Laplanders attracted my attention, displaying that first species of ingenuity which is rather a proof of patient perseverance, than comprehension of mind. The specimens of natural history, and curiosities of art, were likewise huddled together without that scientific order which alone renders them useful; but this may partly have been occasioned by the hasty manner in which they were removed from the palace when in flames.	true	456.92	486.07	22
6550_65820_000012_000000	There are some respectable men of science here, but few literary characters, and fewer artists.	There are some respectable men of science here, but few literary characters, and fewer artists.	true	487.34	493.39	22.09326
6550_65820_000012_000001	They want encouragement, and will continue, I fear, from the present appearance of things, to languish unnoticed a long time; for neither the vanity of wealth, nor the enterprising spirit of commerce, has yet thrown a glance that way.	They want encouragement, and will continue, I fear, from the present appearance of things, to languish unnoticed a long time; for neither the vanity of wealth, nor the enterprising spirit of commerce, has yet thrown a glance that way.	true	493.7	507.61	19
6550_65820_000013_000000	Besides, the Prince Royal, determined to be economical, almost descends to parsimony; and perhaps depresses his subjects, by labouring not to oppress them; for his intentions always seem to be good--yet nothing can give a more forcible idea of the dulness which eats away all activity of mind, than the insipid routine of a court, without magnificence or elegance.	Besides, the Prince Royal, determined to be economical, almost descends to parsimony; and perhaps depresses his subjects, by labouring not to oppress them; for his intentions always seem to be good-yet nothing can give a more forcible idea of the dulness which eats away all activity of mind, than the insipid routine of a court, without magnificence or elegance.	true	508.52	530.26	22
6550_65820_000014_000000	The Prince, from what I can now collect, has very moderate abilities; yet is so well disposed, that Count Bernstorff finds him as tractable as he could wish; for I consider the Count as the real sovereign, scarcely behind the curtain; the Prince having none of that obstinate self-sufficiency of youth, so often the forerunner of decision of character.	The Prince, from what I can now collect, has very moderate abilities; yet is so well disposed, that Count Bernstorff finds him as tractable as he could wish; for I consider the Count as the real sovereign, scarcely behind the curtain; the Prince having none of that obstinate self sufficiency of youth, so often the forerunner of decision of character.	true	531.41	552.01	21.714293
6550_65820_000014_000001	He and the Princess his wife, dine every day with the King, to save the expense of two tables.	He and the Princess his wife, dine every day with the King, to save the expense of two tables.	false	552.95	558.7	19
6550_65820_000014_000002	What a mummery it must be to treat as a king a being who has lost the majesty of man!	What a mummery it must be to treat as a king a being who has lost the majesty of man!	true	558.95	564.22	16
6550_65820_000014_000003	But even Count Bernstorff's morality submits to this standing imposition; and he avails himself of it sometimes, to soften a refusal of his own, by saying it is the _will_ of the King, my master, when everybody knows that he has neither will nor memory.	But even Count Bernstorff's morality submits to this standing imposition; and he avails himself of it sometimes, to soften a refusal of his own, by saying it is the underscore will underscore of the King, my master, when everybody knows that he has neither will nor memory.	false	565.13	582.1	19
6550_65820_000014_000004	Much the same use is made of him as, I have observed, some termagant wives make of their husbands; they would dwell on the necessity of obeying their husbands, poor passive souls, who never were allowed _to will_, when they wanted to conceal their own tyranny.	Much the same use is made of him as, I have observed, some termagant wives make of their husbands; they would dwell on the necessity of obeying their husbands, poor passive souls, who never were allowed underscore to will underscore, when they wanted to conceal their own tyranny.	false	582.98	598.39	21
6550_65820_000015_000000	A story is told here of the King's formerly making a dog counsellor of state, because when the dog, accustomed to eat at the royal table, snatched a piece of meat off an old officer's plate, he reproved him jocosely, saying that he, _monsieur le chien_, had not the privilege of dining with his majesty, a privilege annexed to this distinction.	A story is told here of the King's formerly making a dog counsellor of state, because when the dog, accustomed to eat at the royal table, snatched a piece of meat off an old officer's plate, he reproved him jocosely, saying that he, underscore monsieur le chien underscore, had not the privilege of dining with his majesty, a privilege annexed to this distinction.	false	599.45	619.78	23.352694
6550_65820_000016_000000	The burning of the palace was, in fact, a fortunate circumstance, as it afforded a pretext for reducing the establishment of the household, which was far too great for the revenue of the Crown.	The burning of the palace was, in fact, a fortunate circumstance, as it afforded a pretext for reducing the establishment of the household, which was far too great for the revenue of the Crown.	true	621.26	632.29	21.983486
6550_65820_000016_000001	The Prince Royal, at present, runs into the opposite extreme; and the formality, if not the parsimony, of the court, seems to extend to all the other branches of society, which I had an opportunity of observing; though hospitality still characterises their intercourse with strangers.	The Prince Royal, at present, runs into the opposite extreme; and the formality, if not the parsimony, of the court, seems to extend to all the other branches of society, which I had an opportunity of observing; though hospitality still characterises their intercourse with strangers.	true	632.99	650.74	20
6550_65820_000017_000000	But let me now stop; I may be a little partial, and view everything with the jaundiced eye of melancholy--for I am sad--and have cause.	But let me now stop; I may be a little partial, and view everything with the jaundiced eye of melancholy-for I am sad-and have cause.	true	651.92	660.58	23.17274
6550_65820_000018_000000	God bless you!	God bless you!	true	660.68	661.68	21.880938
6550_65820_000019_000000	LETTER XXI.	LETTER twenty one.	false	661.68	662.55	-5
6550_65820_000020_000000	I have seen Count Bernstorff; and his conversation confirms me in the opinion I had previously formed of him; I mean, since my arrival at Copenhagen.	I have seen Count Bernstorff; and his conversation confirms me in the opinion I had previously formed of him; I mean, since my arrival at Copenhagen.	false	662.55	664.98	17.260052
6550_65820_000020_000001	He is a worthy man, a little vain of his virtue _a la_ Necker; and more anxious not to do wrong, that is to avoid blame, than desirous of doing good; especially if any particular good demands a change.	He is a worthy man, a little vain of his virtue underscore a la underscore Necker; and more anxious not to do wrong, that is to avoid blame, than desirous of doing good; especially if any particular good demands a change.	false	664.98	666.96	21.698286
6550_65820_000020_000002	Prudence, in short, seems to be the basis of his character; and, from the tenor of the Government, I should think inclining to that cautious circumspection which treads on the heels of timidity.	Prudence, in short, seems to be the basis of his character; and, from the tenor of the Government, I should think inclining to that cautious circumspection which treads on the heels of timidity.	false	666.96	668.52	-20
6550_65820_000020_000003	He has considerable information, and some finesse; or he could not be a Minister.	He has considerable information, and some finesse; or he could not be a Minister.	false	668.52	669.21	-20
6550_65820_000020_000004	Determined not to risk his popularity, for he is tenderly careful of his reputation, he will never gloriously fail like Struensee, or disturb, with the energy of genius, the stagnant state of the public mind.	Determined not to risk his popularity, for he is tenderly careful of his reputation, he will never gloriously fail like Struensee, or disturb, with the energy of genius, the stagnant state of the public mind.	false	669.21	670.89	-20
