6115_58776_000001_000000	CHAPTER XXVII.	CHAPTER twenty seven.
6115_58776_000015_000002	Another glacier plowed down through Lake Michigan, widening it out to its present dimensions, while the glacial drift was deposited at what is now the head of the lake, filling up the old outlet and thus making a great dam.	Another glacier plowed down through Lake Michigan, widening it out to its present dimensions, while the glacial drift was deposited at what is now the head of the lake, filling up the old outlet and thus making a great dam.
6115_58776_000015_000004	In a similar way Lake Erie was formed.	In a similar way Lake Erie was formed.
6115_58776_000015_000005	It is supposed, however, that this lake is entirely the product of glacial action, as there is no evidence of an old river bed in its bottom; besides, it is much shallower than the other lakes.	It is supposed, however, that this lake is entirely the product of glacial action, as there is no evidence of an old river bed in its bottom; besides, it is much shallower than the other lakes.
6115_58776_000015_000006	The same action that formed Lake Erie filled up the old river bed running through the province of Ontario, so that when the ice receded Lake Erie became the new channel for the old river.	The same action that formed Lake Erie filled up the old river bed running through the province of Ontario, so that when the ice receded Lake Erie became the new channel for the old river.
6115_58776_000015_000007	The same process filled up the Valley of the Mohawk to more than 100 feet in depth and also raised the Valley of the Hudson.	The same process filled up the Valley of the Mohawk to more than one hundred feet in depth and also raised the Valley of the Hudson.
6115_58776_000015_000011	At the same time it built great dams across the outlets which raised the surface of the water to a much higher level and caused them to form new outlets, thus changing the whole face of the country over which the ice drifted.	At the same time it built great dams across the outlets which raised the surface of the water to a much higher level and caused them to form new outlets, thus changing the whole face of the country over which the ice drifted.
6115_58776_000017_000003	Of course such a lake could not be permanent, because, when the ice melted away, it again opened the channel and allowed the water to flow off.	Of course such a lake could not be permanent, because, when the ice melted away, it again opened the channel and allowed the water to flow off.
6115_58776_000018_000004	Terraces were formed running up the Ohio and its tributaries corresponding to the level that the water must have risen to if the valley were filled up with ice.	Terraces were formed running up the Ohio and its tributaries corresponding to the level that the water must have risen to if the valley were filled up with ice.
6115_58776_000018_000006	The fact that in some places successive terraces are found does not disprove the theory, because it is more than likely that when the ice receded it did so in successive stages, remaining at different positions for a considerable length of time.	The fact that in some places successive terraces are found does not disprove the theory, because it is more than likely that when the ice receded it did so in successive stages, remaining at different positions for a considerable length of time.
6115_58776_000018_000007	There is abundant proof of this in the successive moraines and also in the formation of successive terraces. Some of these terraces could have been formed from other causes.	There is abundant proof of this in the successive moraines and also in the formation of successive terraces. Some of these terraces could have been formed from other causes.
6115_58776_000019_000001	The ice did not stand with an even thickness over the surface of the glaciated area, but at some points it moved down in great lobes, which marked the lines of greatest pressure as well as the greatest accumulation.	The ice did not stand with an even thickness over the surface of the glaciated area, but at some points it moved down in great lobes, which marked the lines of greatest pressure as well as the greatest accumulation.
6115_58776_000020_000000	All of the region about Winnipeg, in the Red River country, covering great areas of hundreds of miles in extent, is a level plain only lacking the coloring to give to one passing through it the effect of a great unruffled sea.	All of the region about Winnipeg, in the Red River country, covering great areas of hundreds of miles in extent, is a level plain only lacking the coloring to give to one passing through it the effect of a great unruffled sea.
6115_58776_000021_000000	We can imagine that during this period the water that flowed off through the great Mississippi must have been of enormous volume as compared to the present time.	We can imagine that during this period the water that flowed off through the great Mississippi must have been of enormous volume as compared to the present time.
6115_58776_000021_000002	Dr. Wright--as we have before stated--has estimated that there are a million square miles of country that has been covered to an average depth of fifty feet with glacial drift.	dr Wright-as we have before stated-has estimated that there are a million square miles of country that has been covered to an average depth of fifty feet with glacial drift.
6115_58776_000023_000002	When this great body of water was released it was to the northward.	When this great body of water was released it was to the northward.
