636_128310_000000_000000	"I can't say."	"I can't say."	false	8.67	16.86	6
636_128310_000016_000000	After hailing the morn with this second salutation, he threw a boot at the woman as a third.	After hailing the morn with this second salutation, he threw a boot at the woman as a third.	false	457.86	462.82	12
636_128310_000016_000001	It was a very muddy boot, and may introduce the odd circumstance connected with Mr. Cruncher's domestic economy, that, whereas he often came home after banking hours with clean boots, he often got up next morning to find the same boots covered with clay.	It was a very muddy boot, and may introduce the odd circumstance connected with mr Cruncher's domestic economy, that, whereas he often came home after banking hours with clean boots, he often got up next morning to find the same boots covered with clay.	true	462.95	476.98	13
636_128310_000017_000000	"What," said Mr. Cruncher, varying his apostrophe after missing his mark--"what are you up to, Aggerawayter?"	"What," said mr Cruncher, varying his apostrophe after missing his mark-"what are you up to, Aggerawayter?"	true	477.47	484.54	18
636_128310_000018_000000	"I was only saying my prayers."	"I was only saying my prayers."	true	485	487	8
636_128310_000019_000000	"Saying your prayers!	"Saying your prayers!	true	487.37	488.7	22.318876
636_128310_000019_000001	You're a nice woman!	You're a nice woman!	false	488.7	490.125	15
636_128310_000019_000002	What do you mean by flopping yourself down and praying agin me?"	What do you mean by flopping yourself down and praying agin me?"	false	490.125	493.42	15
636_128310_000020_000000	"I was not praying against you; I was praying for you."	"I was not praying against you; I was praying for you."	true	493.85	496.99	11
636_128310_000021_000000	"You weren't.	"You weren't.	true	497.24	498.255	21.603815
636_128310_000021_000001	And if you were, I won't be took the liberty with.	And if you were, I won't be took the liberty with.	true	498.255	500.94	18
636_128310_000021_000002	Here! your mother's a nice woman, young Jerry, going a praying agin your father's prosperity.	Here! your mother's a nice woman, young Jerry, going a praying agin your father's prosperity.	true	500.94	506.32	14
636_128310_000021_000003	You've got a dutiful mother, you have, my son. You've got a religious mother, you have, my boy: going and flopping herself down, and praying that the bread-and-butter may be snatched out of the mouth of her only child."	You've got a dutiful mother, you have, my son. You've got a religious mother, you have, my boy: going and flopping herself down, and praying that the bread and butter may be snatched out of the mouth of her only child."	true	506.51	518.23	16
636_128310_000022_000000	Master Cruncher (who was in his shirt) took this very ill, and, turning to his mother, strongly deprecated any praying away of his personal board.	Master Cruncher (who was in his shirt) took this very ill, and, turning to his mother, strongly deprecated any praying away of his personal board.	true	518.27	526.66	10
636_128310_000023_000000	"And what do you suppose, you conceited female," said Mr. Cruncher, with unconscious inconsistency, "that the worth of _your_ prayers may be? Name the price that you put _your_ prayers at!"	"And what do you suppose, you conceited female," said mr Cruncher, with unconscious inconsistency, "that the worth of underscore your underscore prayers may be? Name the price that you put underscore your underscore prayers at!"	false	527.12	537.94	18
636_128310_000024_000000	"They only come from the heart, Jerry.	"They only come from the heart, Jerry.	true	538.64	540.795	13
636_128310_000024_000001	They are worth no more than that."	They are worth no more than that."	true	540.795	542.8	14
636_128310_000025_000000	"Worth no more than that," repeated Mr. Cruncher.	"Worth no more than that," repeated mr Cruncher.	true	543.38	546.22	22
636_128310_000025_000001	"They ain't worth much, then.	"They ain't worth much, then.	false	546.23	547.84	24.692287
636_128310_000025_000002	Whether or no, I won't be prayed agin, I tell you.	Whether or no, I won't be prayed agin, I tell you.	false	547.88	550.62	17
636_128310_000025_000003	I can't afford it.	I can't afford it.	true	550.62	551.79	14
636_128310_000025_000004	I'm not a going to be made unlucky by _your_ sneaking.	I'm not a going to be made unlucky by underscore your underscore sneaking.	false	551.79	555.07	11
636_128310_000025_000005	If you must go flopping yourself down, flop in favour of your husband and child, and not in opposition to 'em.	If you must go flopping yourself down, flop in favour of your husband and child, and not in opposition to 'em.	false	555.14	561.12	14
636_128310_000025_000006	If I had had any but a unnat'ral wife, and this poor boy had had any but a unnat'ral mother, I might have made some money last week instead of being counter-prayed and countermined and religiously circumwented into the worst of luck. B-u-u-ust me!" said Mr. Cruncher, who all this time had been putting on his clothes, "if I ain't, what with piety and one blowed thing and another, been choused this last week into as bad luck as ever a poor devil of a honest tradesman met with!	If I had had any but a unnat'ral wife, and this poor boy had had any but a unnat'ral mother, I might have made some money last week instead of being counter prayed and countermined and religiously circumwented into the worst of luck. B u u ust me!" said mr Cruncher, who all this time had been putting on his clothes, "if I ain't, what with piety and one blowed thing and another, been choused this last week into as bad luck as ever a poor devil of a honest tradesman met with!	false	561.12	588.49	15
636_128310_000025_000007	Young Jerry, dress yourself, my boy, and while I clean my boots keep a eye upon your mother now and then, and if you see any signs of more flopping, give me a call.	Young Jerry, dress yourself, my boy, and while I clean my boots keep a eye upon your mother now and then, and if you see any signs of more flopping, give me a call.	false	588.65	597.85	14
636_128310_000025_000008	For, I tell you," here he addressed his wife once more, "I won't be gone agin, in this manner.	For, I tell you," here he addressed his wife once more, "I won't be gone agin, in this manner.	false	597.89	603.64	20.68456
636_128310_000025_000009	I am as rickety as a hackney-coach, I'm as sleepy as laudanum, my lines is strained to that degree that I shouldn't know, if it wasn't for the pain in 'em, which was me and which somebody else, yet I'm none the better for it in pocket; and it's my suspicion that you've been at it from morning to night to prevent me from being the better for it in pocket, and I won't put up with it, Aggerawayter, and what do you say now!"	I am as rickety as a hackney coach, I'm as sleepy as laudanum, my lines is strained to that degree that I shouldn't know, if it wasn't for the pain in 'em, which was me and which somebody else, yet I'm none the better for it in pocket; and it's my suspicion that you've been at it from morning to night to prevent me from being the better for it in pocket, and I won't put up with it, Aggerawayter, and what do you say now!"	true	603.95	626.89	15
636_128310_000026_000000	Growling, in addition, such phrases as "Ah! yes!	Growling, in addition, such phrases as "Ah! yes!	true	627.5	631.26	16.329414
636_128310_000026_000001	You're religious, too. You wouldn't put yourself in opposition to the interests of your husband and child, would you?	You're religious, too. You wouldn't put yourself in opposition to the interests of your husband and child, would you?	true	631.26	637	15
636_128310_000026_000002	Not you!" and throwing off other sarcastic sparks from the whirling grindstone of his indignation, Mr. Cruncher betook himself to his boot-cleaning and his general preparation for business. In the meantime, his son, whose head was garnished with tenderer spikes, and whose young eyes stood close by one another, as his father's did, kept the required watch upon his mother.	Not you!" and throwing off other sarcastic sparks from the whirling grindstone of his indignation, mr Cruncher betook himself to his boot cleaning and his general preparation for business. In the meantime, his son, whose head was garnished with tenderer spikes, and whose young eyes stood close by one another, as his father's did, kept the required watch upon his mother.	true	637.04	658.21	14
636_128310_000026_000003	He greatly disturbed that poor woman at intervals, by darting out of his sleeping closet, where he made his toilet, with a suppressed cry of "You are going to flop, mother. --Halloa, father!" and, after raising this fictitious alarm, darting in again with an undutiful grin.	He greatly disturbed that poor woman at intervals, by darting out of his sleeping closet, where he made his toilet, with a suppressed cry of "You are going to flop, mother. --Halloa, father!" and, after raising this fictitious alarm, darting in again with an undutiful grin.	true	658.34	672.31	16
636_128310_000027_000000	Mr. Cruncher's temper was not at all improved when he came to his breakfast.	mr Cruncher's temper was not at all improved when he came to his breakfast.	true	673.04	676.9	18
636_128310_000027_000001	He resented Mrs. Cruncher's saying grace with particular animosity.	He resented mrs Cruncher's saying grace with particular animosity.	true	677.03	680.86	13
636_128310_000028_000000	"Now, Aggerawayter!	"Now, Aggerawayter!	true	681.14	682.35	8
636_128310_000028_000001	What are you up to?	What are you up to?	true	682.35	683.34	13
636_128310_000028_000002	At it again?"	At it again?"	true	683.34	684.22	15
636_128310_000029_000000	His wife explained that she had merely "asked a blessing."	His wife explained that she had merely "asked a blessing."	true	684.44	687.49	10
636_128310_000030_000000	"Don't do it!" said Mr. Crunches looking about, as if he rather expected to see the loaf disappear under the efficacy of his wife's petitions.	"Don't do it!" said mr Crunches looking about, as if he rather expected to see the loaf disappear under the efficacy of his wife's petitions.	false	687.86	695.38	18
636_128310_000030_000001	"I ain't a going to be blest out of house and home.	"I ain't a going to be blest out of house and home.	true	695.54	698.34	16
636_128310_000030_000002	I won't have my wittles blest off my table.	I won't have my wittles blest off my table.	false	698.34	701.16	18
636_128310_000030_000003	Keep still!"	Keep still!"	true	701.16	702.28	20.670889
636_128310_000031_000000	Exceedingly red-eyed and grim, as if he had been up all night at a party which had taken anything but a convivial turn, Jerry Cruncher worried his breakfast rather than ate it, growling over it like any four-footed inmate of a menagerie.	Exceedingly red eyed and grim, as if he had been up all night at a party which had taken anything but a convivial turn, Jerry Cruncher worried his breakfast rather than ate it, growling over it like any four footed inmate of a menagerie.	true	702.83	716.05	13
636_128310_000031_000001	Towards nine o'clock he smoothed his ruffled aspect, and, presenting as respectable and business-like an exterior as he could overlay his natural self with, issued forth to the occupation of the day.	Towards nine o'clock he smoothed his ruffled aspect, and, presenting as respectable and business like an exterior as he could overlay his natural self with, issued forth to the occupation of the day.	true	716.45	728.05	15
636_128310_000032_000000	It could scarcely be called a trade, in spite of his favourite description of himself as "a honest tradesman." His stock consisted of a wooden stool, made out of a broken-backed chair cut down, which stool, young Jerry, walking at his father's side, carried every morning to beneath the banking-house window that was nearest Temple Bar: where, with the addition of the first handful of straw that could be gleaned from any passing vehicle to keep the cold and wet from the odd-job-man's feet, it formed the encampment for the day.	It could scarcely be called a trade, in spite of his favourite description of himself as "a honest tradesman." His stock consisted of a wooden stool, made out of a broken backed chair cut down, which stool, young Jerry, walking at his father's side, carried every morning to beneath the banking house window that was nearest Temple Bar: where, with the addition of the first handful of straw that could be gleaned from any passing vehicle to keep the cold and wet from the odd job man's feet, it formed the encampment for the day.	true	728.63	757.72	14
636_128310_000032_000001	On this post of his, Mr. Cruncher was as well known to Fleet-street and the Temple, as the Bar itself,--and was almost as in-looking.	On this post of his, mr Cruncher was as well known to Fleet street and the Temple, as the Bar itself,--and was almost as in looking.	false	758.21	765.82	12
636_128310_000033_000000	Encamped at a quarter before nine, in good time to touch his three-cornered hat to the oldest of men as they passed in to Tellson's, Jerry took up his station on this windy March morning, with young Jerry standing by him, when not engaged in making forays through the Bar, to inflict bodily and mental injuries of an acute description on passing boys who were small enough for his amiable purpose.	Encamped at a quarter before nine, in good time to touch his three cornered hat to the oldest of men as they passed in to Tellson's, Jerry took up his station on this windy March morning, with young Jerry standing by him, when not engaged in making forays through the Bar, to inflict bodily and mental injuries of an acute description on passing boys who were small enough for his amiable purpose.	true	766.43	787.75	11
636_128310_000033_000001	Father and son, extremely like each other, looking silently on at the morning traffic in Fleet-street, with their two heads as near to one another as the two eyes of each were, bore a considerable resemblance to a pair of monkeys. The resemblance was not lessened by the accidental circumstance, that the mature Jerry bit and spat out straw, while the twinkling eyes of the youthful Jerry were as restlessly watchful of him as of everything else in Fleet-street.	Father and son, extremely like each other, looking silently on at the morning traffic in Fleet street, with their two heads as near to one another as the two eyes of each were, bore a considerable resemblance to a pair of monkeys. The resemblance was not lessened by the accidental circumstance, that the mature Jerry bit and spat out straw, while the twinkling eyes of the youthful Jerry were as restlessly watchful of him as of everything else in Fleet street.	true	788.54	813.31	14
636_128310_000034_000000	The head of one of the regular indoor messengers attached to Tellson's establishment was put through the door, and the word was given:	The head of one of the regular indoor messengers attached to Tellson's establishment was put through the door, and the word was given:	true	813.74	820.51	13
636_128310_000035_000000	"Porter wanted!"	"Porter wanted!"	true	820.64	822.165	18.577282
636_128310_000036_000000	"Hooray, father!	"Hooray, father!	true	822.165	822.87	13
636_128310_000036_000001	Here's an early job to begin with!"	Here's an early job to begin with!"	true	822.87	824.71	15
636_128310_000037_000000	Having thus given his parent God speed, young Jerry seated himself on the stool, entered on his reversionary interest in the straw his father had been chewing, and cogitated.	Having thus given his parent God speed, young Jerry seated himself on the stool, entered on his reversionary interest in the straw his father had been chewing, and cogitated.	true	824.81	834.24	13
636_128310_000038_000000	"Al-ways rusty!	"Al ways rusty!	false	834.24	836.25	16.981287
636_128310_000038_000001	His fingers is al-ways rusty!" muttered young Jerry. "Where does my father get all that iron rust from?	His fingers is al ways rusty!" muttered young Jerry. "Where does my father get all that iron rust from?	false	836.25	842.985	14
636_128310_000038_000002	He don't get no iron rust here!"	He don't get no iron rust here!"	true	842.985	844.92	9
636_128310_000039_000000	II.	two.	false	844.92	845.01	-20
636_128310_000039_000001	A Sight	A Sight	false	845.01	845.25	-20
636_128310_000040_000000	"You know the Old Bailey well, no doubt?" said one of the oldest of clerks to Jerry the messenger.	"You know the Old Bailey well, no doubt?" said one of the oldest of clerks to Jerry the messenger.	false	845.25	849.93	14
