5206_19376_000000_000000	NOTES FOR LECTURE XVIII	NOTES FOR LECTURE eighteen
5206_19376_000051_000001	The planet rotates in twenty-four hours as we do; but its tides are following its moon more quickly than it rotates after them; they are therefore tending to increase its rate of spin, and to retard the revolution of the moon.	The planet rotates in twenty four hours as we do; but its tides are following its moon more quickly than it rotates after them; they are therefore tending to increase its rate of spin, and to retard the revolution of the moon.
5206_19376_000051_000002	Mars is therefore slowly but surely pulling its moon down on to itself, by a reverse action to that which separated our moon.	Mars is therefore slowly but surely pulling its moon down on to itself, by a reverse action to that which separated our moon.
5206_19376_000052_000000	This moon of Mars is not a large body: it is only twenty or thirty miles in diameter, but it weighs some forty billion tons, and will ultimately crash along the surface with a velocity of 8,000 miles an hour.	This moon of Mars is not a large body: it is only twenty or thirty miles in diameter, but it weighs some forty billion tons, and will ultimately crash along the surface with a velocity of eight thousand miles an hour.
5206_19376_000052_000001	Such a blow must produce the most astounding effects when it occurs, but I am unable to tell you its probable date.	Such a blow must produce the most astounding effects when it occurs, but I am unable to tell you its probable date.
5206_19376_000053_000000	So far we have dealt mainly with the earth and its moon; but is the existence of tides limited to these bodies?	So far we have dealt mainly with the earth and its moon; but is the existence of tides limited to these bodies?
5206_19376_000054_000001	The principal tide-generating bodies will be Venus and Jupiter; the greater nearness of one rather more than compensating for the greater mass of the other.	The principal tide generating bodies will be Venus and Jupiter; the greater nearness of one rather more than compensating for the greater mass of the other.
5206_19376_000055_000001	They are as follows, calling that of the earth 1,000:--	They are as follows, calling that of the earth one thousand:--
5206_19376_000057_000000	Mercury 1,121 Venus 2,339 Earth 1,000 Mars 304 Jupiter 2,136 Saturn 1,033 Uranus 21 Neptune 9	Mercury one thousand one hundred twenty one Venus two thousand three hundred thirty nine Earth one thousand Mars three hundred four Jupiter two thousand one hundred thirty six Saturn one thousand thirty three Uranus twenty one Neptune nine
5206_19376_000059_000000	The solar tides are, however, much too small to appreciably push any planet away, hence we are not to suppose that the planets originated by budding from the sun, in contradiction of the nebular hypothesis.	The solar tides are, however, much too small to appreciably push any planet away, hence we are not to suppose that the planets originated by budding from the sun, in contradiction of the nebular hypothesis.
5206_19376_000059_000001	Nor is it necessary to assume that the satellites, as a class, originated in the way ours did; though they may have done so.	Nor is it necessary to assume that the satellites, as a class, originated in the way ours did; though they may have done so.
5206_19376_000059_000002	They were more probably secondary rings.	They were more probably secondary rings.
5206_19376_000059_000003	Our moon differs from other satellites in being exceptionally large compared with the size of its primary; it is as big as some of the moons of Jupiter and Saturn.	Our moon differs from other satellites in being exceptionally large compared with the size of its primary; it is as big as some of the moons of Jupiter and Saturn.
5206_19376_000059_000004	The earth is the only one of the small planets that has an appreciable moon, and hence there is nothing forced or unnatural in supposing that it may have had an exceptional history.	The earth is the only one of the small planets that has an appreciable moon, and hence there is nothing forced or unnatural in supposing that it may have had an exceptional history.
5206_19376_000060_000000	Evidently, however, tidal phenomena must be taken into consideration in any treatment of the solar system through enormous length of time, and it will probably play a large part in determining its future.	Evidently, however, tidal phenomena must be taken into consideration in any treatment of the solar system through enormous length of time, and it will probably play a large part in determining its future.
5206_19376_000061_000000	When Laplace and Lagrange investigated the question of the stability or instability of the solar system, they did so on the hypothesis that the bodies composing it were rigid.	When Laplace and Lagrange investigated the question of the stability or instability of the solar system, they did so on the hypothesis that the bodies composing it were rigid.
5206_19376_000061_000001	They reached a grand conclusion--that all the mutual perturbations of the solar system were periodic--that whatever changes were going on would reach a maximum and then begin to diminish; then increase again, then diminish, and so on.	They reached a grand conclusion-that all the mutual perturbations of the solar system were periodic-that whatever changes were going on would reach a maximum and then begin to diminish; then increase again, then diminish, and so on.
5206_19376_000062_000000	But this conclusion is not final.	But this conclusion is not final.
5206_19376_000062_000001	The hypothesis that the bodies are rigid is not strictly true: and directly tidal deformation is taken into consideration it is perceived to be a potent factor, able in the long run to upset all their calculations.	The hypothesis that the bodies are rigid is not strictly true: and directly tidal deformation is taken into consideration it is perceived to be a potent factor, able in the long run to upset all their calculations.
5206_19376_000062_000003	Granted it is small, but it is terribly persistent; and it always acts in one direction.	Granted it is small, but it is terribly persistent; and it always acts in one direction.
5206_19376_000062_000004	Never does it cease: never does it begin to act oppositely and undo what it has done.	Never does it cease: never does it begin to act oppositely and undo what it has done.
5206_19376_000063_000000	We have been speaking of millions of years somewhat familiarly; but what, after all, is a million years that we should not speak familiarly of it?	We have been speaking of millions of years somewhat familiarly; but what, after all, is a million years that we should not speak familiarly of it?
5206_19376_000063_000002	To the ephemeral insects whose lifetime is an hour, a year might seem an awful period, the mid-day sun might seem an almost stationary body, the changes of the seasons would be unknown, everything but the most fleeting and rapid changes would appear permanent and at rest.	To the ephemeral insects whose lifetime is an hour, a year might seem an awful period, the mid day sun might seem an almost stationary body, the changes of the seasons would be unknown, everything but the most fleeting and rapid changes would appear permanent and at rest.
5206_19376_000063_000004	A continent would be sometimes dry, sometimes covered with ocean; the stars we now call fixed would be moving visibly before our eyes; the earth would be humming on its axis like a top, and the whole of human history might seem as fleeting as a cloud of breath on a mirror.	A continent would be sometimes dry, sometimes covered with ocean; the stars we now call fixed would be moving visibly before our eyes; the earth would be humming on its axis like a top, and the whole of human history might seem as fleeting as a cloud of breath on a mirror.
