5206_19376_000000_000000	NOTES FOR LECTURE XVIII	NOTES FOR LECTURE eighteen	true	22.89	24.76	24
5206_19376_000016_000000	The date of their formation no man yet can tell, but that it was vastly distant is certain.	The date of their formation no man yet can tell, but that it was vastly distant is certain.	false	319.52	325.87	22.553123
5206_19376_000016_000001	For the geological era is not over.	For the geological era is not over.	true	325.97	328.54	22
5206_19376_000016_000002	Aqueous action still goes on: still does frost chip the rocks into fragments; still do mountain torrents sweep stone and mud and _debris_ down the gulleys and watercourses; still do rivers erode their channels, and carry mud and silt far out to sea.	Aqueous action still goes on: still does frost chip the rocks into fragments; still do mountain torrents sweep stone and mud and underscore debris underscore down the gulleys and watercourses; still do rivers erode their channels, and carry mud and silt far out to sea.	false	328.64	346.3	21
5206_19376_000016_000003	And, more powerful than any of these agents of denudation, the waves and the tides are still at work along every coast-line, eating away into the cliffs, undermining gradually and submerging acre after acre, and making with the refuse a shingly, or a sandy, or a muddy beach--the nucleus of a new geological formation.	And, more powerful than any of these agents of denudation, the waves and the tides are still at work along every coast line, eating away into the cliffs, undermining gradually and submerging acre after acre, and making with the refuse a shingly, or a sandy, or a muddy beach-the nucleus of a new geological formation.	false	346.55	368.89	20
5206_19376_000017_000000	Of all denuding agents, there can be no doubt that, to the land exposed to them, the waves of the sea are by far the most powerful.	Of all denuding agents, there can be no doubt that, to the land exposed to them, the waves of the sea are by far the most powerful.	true	369.59	378.31	20
5206_19376_000017_000001	Think how they beat and tear, and drive and drag, until even the hardest rock, like basalt, becomes honeycombed into strange galleries and passages--Fingal's Cave, for instance--and the softer parts are crumbled away.	Think how they beat and tear, and drive and drag, until even the hardest rock, like basalt, becomes honeycombed into strange galleries and passages-Fingal's Cave, for instance-and the softer parts are crumbled away.	true	378.56	392.23	21.595669
5206_19376_000017_000002	But the area now exposed to the teeth of the waves is not great. The fury of a winter storm may dash them a little higher than usual, but they cannot reach cliffs 100 feet high.	But the area now exposed to the teeth of the waves is not great. The fury of a winter storm may dash them a little higher than usual, but they cannot reach cliffs one hundred feet high.	true	392.48	403.15	18
5206_19376_000017_000003	They can undermine such cliffs indeed, and then grind the fragments to powder, but their direct action is limited.	They can undermine such cliffs indeed, and then grind the fragments to powder, but their direct action is limited.	true	403.31	410.145	21.213903
5206_19376_000017_000004	Not so limited, however, as they would be without the tides. Consider for a moment the denudation import of the tides: how does the existence of tidal rise and fall affect the geological problem?	Not so limited, however, as they would be without the tides. Consider for a moment the denudation import of the tides: how does the existence of tidal rise and fall affect the geological problem?	true	410.145	422.29	22
5206_19376_000018_000000	The scouring action of the tidal currents themselves is not to be despised.	The scouring action of the tidal currents themselves is not to be despised.	true	423.08	427.6	20
5206_19376_000018_000001	It is the tidal ebb and flow which keeps open channel in the Mersey, for instance.	It is the tidal ebb and flow which keeps open channel in the Mersey, for instance.	true	427.67	432.4	18
5206_19376_000018_000002	But few places are so favourably situated as Liverpool in this respect, and the direct scouring action of the tides in general is not very great.	But few places are so favourably situated as Liverpool in this respect, and the direct scouring action of the tides in general is not very great.	true	432.65	441.315	19
5206_19376_000018_000003	Their geological import mainly consists in this--that they raise and lower the surface waves at regular intervals, so as to apply them to a considerable stretch of coast.	Their geological import mainly consists in this-that they raise and lower the surface waves at regular intervals, so as to apply them to a considerable stretch of coast.	false	441.315	451.96	20
5206_19376_000018_000004	The waves are a great planing machine attacking the land, and the tides raise and lower this planing machine, so that its denuding tooth is applied, now twenty feet vertically above mean level, now twenty feet below.	The waves are a great planing machine attacking the land, and the tides raise and lower this planing machine, so that its denuding tooth is applied, now twenty feet vertically above mean level, now twenty feet below.	true	452	465.49	20
5206_19376_000019_000000	Making all allowance for the power of winds and waves, currents, tides, and watercourses, assisted by glacial ice and frost, it must be apparent how slowly the work of forming the rocks is being carried on.	Making all allowance for the power of winds and waves, currents, tides, and watercourses, assisted by glacial ice and frost, it must be apparent how slowly the work of forming the rocks is being carried on.	true	466.4	480.04	17
5206_19376_000019_000001	It goes on steadily, but so slowly that it is estimated to take 6000 years to wear away one foot of the American continent by all the denuding causes combined.	It goes on steadily, but so slowly that it is estimated to take six thousand years to wear away one foot of the American continent by all the denuding causes combined.	true	480.29	491.17	17
5206_19376_000019_000002	To erode a stratum 5000 feet thick will require at this rate thirty million years.	To erode a stratum five thousand feet thick will require at this rate thirty million years.	true	491.36	498.25	19
5206_19376_000020_000000	The age of the earth is not at all accurately known, but there are many grounds for believing it not to be much older than some thirty million years.	The age of the earth is not at all accurately known, but there are many grounds for believing it not to be much older than some thirty million years.	true	499.97	508.84	17
5206_19376_000020_000001	That is to say, not greatly more than this period of time has elapsed since it was in a molten condition.	That is to say, not greatly more than this period of time has elapsed since it was in a molten condition.	true	508.94	515.41	20
5206_19376_000020_000002	It may be as old as a hundred million years, but its age is believed by those most competent to judge to be more likely within this limit than beyond it.	It may be as old as a hundred million years, but its age is believed by those most competent to judge to be more likely within this limit than beyond it.	true	515.75	524.71	18
5206_19376_000020_000003	But if we ask what is the thickness of the rocks which in past times have been formed, and denuded, and re-formed, over and over again, we get an answer, not in feet, but in miles.	But if we ask what is the thickness of the rocks which in past times have been formed, and denuded, and re-formed, over and over again, we get an answer, not in feet, but in miles.	false	525.02	536.41	20
5206_19376_000020_000004	The Laurentian and Huronian rocks of Canada constitute a stratum ten miles thick; and everywhere the rocks at the base of our stratified system are of the most stupendous volume and thickness.	The Laurentian and Huronian rocks of Canada constitute a stratum ten miles thick; and everywhere the rocks at the base of our stratified system are of the most stupendous volume and thickness.	true	536.69	548.65	20
5206_19376_000021_000000	It has always been a puzzle how known agents could have formed these mighty masses, and the only solution offered by geologists was, unlimited time.	It has always been a puzzle how known agents could have formed these mighty masses, and the only solution offered by geologists was, unlimited time.	true	549.11	557.83	16
5206_19376_000021_000001	Given unlimited time, they could, of course, be formed, no matter how slowly the process went on.	Given unlimited time, they could, of course, be formed, no matter how slowly the process went on.	true	557.96	563.38	18
5206_19376_000021_000002	But inasmuch as the time allowable since the earth was cool enough for water to exist on it except as steam is not by any means unlimited, it becomes necessary to look for a far more powerful engine than any now existing; there must have been some denuding agent in those remote ages--ages far more distant from us than the Carboniferous period, far older than any forms of life, fossil or otherwise, ages among the oldest known to geology--a denuding agent must have then existed, far more powerful than any we now know.	But inasmuch as the time allowable since the earth was cool enough for water to exist on it except as steam is not by any means unlimited, it becomes necessary to look for a far more powerful engine than any now existing; there must have been some denuding agent in those remote ages-ages far more distant from us than the Carboniferous period, far older than any forms of life, fossil or otherwise, ages among the oldest known to geology-a denuding agent must have then existed, far more powerful than any we now know.	false	563.54	597.91	19
5206_19376_000022_000000	Such an agent it has been the privilege of astronomy and physics, within the last ten years, to discover.	Such an agent it has been the privilege of astronomy and physics, within the last ten years, to discover.	false	598.94	604.69	17
5206_19376_000022_000001	To this discovery I now proceed to lead up.	To this discovery I now proceed to lead up.	true	604.94	607.63	22.49117
5206_19376_000023_000000	Our fundamental standard of time is the period of the earth's rotation--the length of the day.	Our fundamental standard of time is the period of the earth's rotation-the length of the day.	false	607.64	612.73	21
5206_19376_000023_000001	The earth is our one standard clock: all time is expressed in terms of it, and if it began to go wrong, or if it did not go with perfect uniformity, it would seem a most difficult thing to discover its error, and a most puzzling piece of knowledge to utilize when found.	The earth is our one standard clock: all time is expressed in terms of it, and if it began to go wrong, or if it did not go with perfect uniformity, it would seem a most difficult thing to discover its error, and a most puzzling piece of knowledge to utilize when found.	false	613.1	629.86	21.717611
5206_19376_000024_000000	That it does not go much wrong is proved by the fact that we can calculate back to past astronomical events--ancient eclipses and the like--and we find that the record of their occurrence, as made by the old magi of Chaldaea, is in very close accordance with the result of calculation.	That it does not go much wrong is proved by the fact that we can calculate back to past astronomical events-ancient eclipses and the like-and we find that the record of their occurrence, as made by the old magi of Chaldaea, is in very close accordance with the result of calculation.	false	630.26	648.07	22
5206_19376_000024_000001	One of these famous old eclipses was observed in Babylon about thirty-six centuries ago, and the Chaldaean astronomers have put on record the time of its occurrence.	One of these famous old eclipses was observed in Babylon about thirty six centuries ago, and the Chaldaean astronomers have put on record the time of its occurrence.	false	648.26	657.55	18
5206_19376_000024_000002	Modern astronomers have calculated back when it should have occurred, and the observed time agrees very closely with the actual, but not exactly.	Modern astronomers have calculated back when it should have occurred, and the observed time agrees very closely with the actual, but not exactly.	true	657.98	666.28	22.753868
5206_19376_000024_000003	Why not exactly?	Why not exactly?	true	666.62	667.78	22.446283
5206_19376_000025_000000	Partly because of the acceleration of the moon's mean motion, as explained in the lecture on Laplace (p. 262).	Partly because of the acceleration of the moon's mean motion, as explained in the lecture on Laplace (p. two hundred sixty two).	false	670.31	676.305	20
5206_19376_000025_000001	The orbit of the earth was at that time getting rounder, and so, as a secondary result, the speed of the moon was slightly increasing.	The orbit of the earth was at that time getting rounder, and so, as a secondary result, the speed of the moon was slightly increasing.	false	676.305	684.58	23
5206_19376_000025_000002	It is of the nature of a perturbation, and is therefore a periodic not a progressive or continuous change, and in a sufficiently long time it will be reversed. Still, for the last few thousand years the moon's motion has been, on the whole, accelerated (though there seems to be a very slight retarding force in action too).	It is of the nature of a perturbation, and is therefore a periodic not a progressive or continuous change, and in a sufficiently long time it will be reversed. Still, for the last few thousand years the moon's motion has been, on the whole, accelerated (though there seems to be a very slight retarding force in action too).	true	684.77	704.35	21.704428
5206_19376_000026_000000	Laplace thought that this fact accounted for the whole of the discrepancy; but recently, in 1853, Professor Adams re-examined the matter, and made a correction in the details of the theory which diminishes its effect by about one-half, leaving the other half to be accounted for in some other way.	Laplace thought that this fact accounted for the whole of the discrepancy; but recently, in eighteen fifty three, Professor Adams re examined the matter, and made a correction in the details of the theory which diminishes its effect by about one half, leaving the other half to be accounted for in some other way.	true	705.77	723.16	21.477655
5206_19376_000026_000001	His calculations have been confirmed by Professor Cayley.	His calculations have been confirmed by Professor Cayley.	true	723.26	726.31	19.958815
5206_19376_000026_000002	This residual discrepancy, when every known cause has been allowed for, amounts to about one hour.	This residual discrepancy, when every known cause has been allowed for, amounts to about one hour.	true	726.59	732.67	21.970701
5206_19376_000027_000000	The eclipse occurred later than calculation warrants.	The eclipse occurred later than calculation warrants.	true	734.36	737.86	21.662897
5206_19376_000027_000001	Now this would have happened from either of two causes, either an acceleration of the moon in her orbit, or a retardation of the earth in her diurnal rotation--a shortening of the month or a lengthening of the day, or both.	Now this would have happened from either of two causes, either an acceleration of the moon in her orbit, or a retardation of the earth in her diurnal rotation-a shortening of the month or a lengthening of the day, or both.	false	738.08	752.1	22.896631
5206_19376_000027_000002	The total discrepancy being, say, two hours, an acceleration of six seconds-per-century per century will in thirty-six centuries amount to one hour; and this, according to the corrected Laplacian theory, is what has occurred. But to account for the other hour some other cause must be sought, and at present it is considered most probably due to a steady retardation of the earth's rotation--a slow, very slow, lengthening of the day.	The total discrepancy being, say, two hours, an acceleration of six seconds per century per century will in thirty six centuries amount to one hour; and this, according to the corrected Laplacian theory, is what has occurred. But to account for the other hour some other cause must be sought, and at present it is considered most probably due to a steady retardation of the earth's rotation-a slow, very slow, lengthening of the day.	true	752.1	778.66	22
5206_19376_000028_000000	The statement that a solar eclipse thirty-six centuries ago was an hour late, means that a place on the earth's surface came into the shadow one hour behind time--that is, had lagged one twenty-fourth part of a revolution.	The statement that a solar eclipse thirty six centuries ago was an hour late, means that a place on the earth's surface came into the shadow one hour behind time-that is, had lagged one twenty fourth part of a revolution.	false	780.11	795.16	23
5206_19376_000028_000001	The earth, therefore, had lost this amount in the course of 3600 x 365-1/4 revolutions.	The earth, therefore, had lost this amount in the course of three thousand six hundred by three hundred sixty five minus one quarter revolutions.	false	795.29	803.77	23.23697
5206_19376_000028_000002	The loss per revolution is exceedingly small, but it accumulates, and at any era the total loss is the sum of all the losses preceding it.	The loss per revolution is exceedingly small, but it accumulates, and at any era the total loss is the sum of all the losses preceding it.	true	804.08	812.5	21
5206_19376_000028_000003	It may be worth while just to explain this point further.	It may be worth while just to explain this point further.	true	812.57	815.8	22.855453
5206_19376_000029_000000	Suppose the earth loses a small piece of time, which I will call an instant, per day; a locality on the earth will come up to a given position one instant late on the first day after an event.	Suppose the earth loses a small piece of time, which I will call an instant, per day; a locality on the earth will come up to a given position one instant late on the first day after an event.	false	816.92	830.11	23.445879
5206_19376_000029_000001	On the next day it would come up two instants late by reason of the previous loss; but it also loses another instant during the course of the second day, and so the total lateness by the end of that day amounts to three instants.	On the next day it would come up two instants late by reason of the previous loss; but it also loses another instant during the course of the second day, and so the total lateness by the end of that day amounts to three instants.	true	830.51	844.93	21.309853
5206_19376_000029_000002	The day after, it will be going slower from the beginning at the rate of two instants a day, it will lose another instant on the fresh day's own account, and it started three instants late; hence the aggregate loss by the end of the third day is 1 + 2 + 3 = 6.	The day after, it will be going slower from the beginning at the rate of two instants a day, it will lose another instant on the fresh day's own account, and it started three instants late; hence the aggregate loss by the end of the third day is one plus two plus three equals six.	false	845.42	863.98	21.77096
5206_19376_000029_000003	By the end of the fourth day the whole loss will be 1 + 2 + 3 + 4, and so on.	By the end of the fourth day the whole loss will be one plus two plus three plus four, and so on.	false	864.56	870.39	22
5206_19376_000029_000004	Wherefore by merely losing one instant every day the total loss in _n_ days is (1 + 2 + 3 + ... + _n_) instants, which amounts to 1/2_n_ (_n_ + 1) instants; or practically, when _n_ is big, to 1/2n^2.	Wherefore by merely losing one instant every day the total loss in underscore n underscore days is (one plus two plus three plus ... plus underscore n underscore) instants, which amounts to one half underscore n underscore (underscore n underscore plus one) instants; or practically, when underscore n underscore is big, to one half n squared.	false	870.39	891.73	23.329218
5206_19376_000029_000005	Now in thirty-six centuries there have been 3600 x 365-1/4 days, and the total loss has amounted to an hour; hence the length of "an instant," the loss per diem, can be found from the equation 1/2(3600 x 365)^2 instants = 1 hour; whence one "instant" equals the 240 millionth part of a second.	Now in thirty six centuries there have been three thousand six hundred by three hundred sixty five minus one quarter days, and the total loss has amounted to an hour; hence the length of "an instant," the loss per diem, can be found from the equation one half(three thousand six hundred by three hundred sixty five)squared instants equals one hour; whence one "instant" equals the two hundred forty millionth part of a second.	false	892.34	921.1	22.708443
5206_19376_000029_000006	This minute quantity represents the retardation of the earth per day.	This minute quantity represents the retardation of the earth per day.	true	921.41	925.93	25
5206_19376_000029_000007	In a year the aggregate loss mounts up to 1/3600th part of a second, in a century to about three seconds, and in thirty-six centuries to an hour.	In a year the aggregate loss mounts up to one three thousand six hundredth part of a second, in a century to about three seconds, and in thirty six centuries to an hour.	false	926.18	937.75	23.922598
5206_19376_000029_000008	But even at the end of the thirty-six centuries the day is barely any longer; it is only 3600 x 365 instants, that is 1/180th of a second, longer than it was at the beginning.	But even at the end of the thirty six centuries the day is barely any longer; it is only three thousand six hundred by three hundred sixty five instants, that is one one hundred eightieth of a second, longer than it was at the beginning.	false	938.09	952.41	21.165213
5206_19376_000029_000009	And even a million years ago, unless the rate of loss was different (as it probably was), the day would only be thirty-five minutes shorter, though by that time the aggregate loss, as measured by the apparent lateness of any perfectly punctual event reckoned now, would have amounted to nine years. (These numbers are to be taken as illustrative, not as precisely representing terrestrial fact.)	And even a million years ago, unless the rate of loss was different (as it probably was), the day would only be thirty five minutes shorter, though by that time the aggregate loss, as measured by the apparent lateness of any perfectly punctual event reckoned now, would have amounted to nine years. (These numbers are to be taken as illustrative, not as precisely representing terrestrial fact.)	false	952.41	978.79	20.831917
5206_19376_000030_000000	What can have caused the slowing down?	What can have caused the slowing down?	true	979.85	982.3	20.821724
5206_19376_000030_000001	Swelling of the earth by reason of accumulation of meteoric dust might do something, but probably very little.	Swelling of the earth by reason of accumulation of meteoric dust might do something, but probably very little.	false	982.46	989.2	18
5206_19376_000030_000002	Contraction of the earth as it goes on cooling would act in the opposite direction, and probably more than counterbalance the dust effect.	Contraction of the earth as it goes on cooling would act in the opposite direction, and probably more than counterbalance the dust effect.	true	989.48	997.57	22
5206_19376_000030_000003	The problem is thus not a simple one, for there are several disturbing causes, and for none of them are the data enough to base a quantitative estimate upon; but one certain agent in lengthening the day, and almost certainly the main agent, is to be found in the tides.	The problem is thus not a simple one, for there are several disturbing causes, and for none of them are the data enough to base a quantitative estimate upon; but one certain agent in lengthening the day, and almost certainly the main agent, is to be found in the tides.	false	997.7	1013.62	20.30761
5206_19376_000031_000000	Remember that the tidal humps were produced as the prolateness of a sphere whirled round and round a fixed centre, like a football whirled by a string.	Remember that the tidal humps were produced as the prolateness of a sphere whirled round and round a fixed centre, like a football whirled by a string.	false	1014.95	1026.04	20.187727
5206_19376_000031_000001	These humps are pulled at by the moon, and the earth rotates on its axis against this pull.	These humps are pulled at by the moon, and the earth rotates on its axis against this pull.	true	1026.14	1032.42	20.862541
5206_19376_000031_000002	Hence it tends to be constantly, though very slightly, dragged back.	Hence it tends to be constantly, though very slightly, dragged back.	false	1032.42	1036.84	23.339563
5206_19376_000032_000000	In so far as the tidal wave is allowed to oscillate freely, it will swing with barely any maintaining force, giving back at one quarter-swing what it has received at the previous quarter; but in so far as it encounters friction, which it does in all channels where there is an actual ebb and flow of the water, it has to receive more than it gives back, and the balance of energy has to be made up to it, or the tides would cease.	In so far as the tidal wave is allowed to oscillate freely, it will swing with barely any maintaining force, giving back at one quarter swing what it has received at the previous quarter; but in so far as it encounters friction, which it does in all channels where there is an actual ebb and flow of the water, it has to receive more than it gives back, and the balance of energy has to be made up to it, or the tides would cease.	false	1037.54	1064.98	20
5206_19376_000032_000001	The energy of the tides is, in fact, continually being dissipated by friction, and all the energy so dissipated is taken from the rotation of the earth.	The energy of the tides is, in fact, continually being dissipated by friction, and all the energy so dissipated is taken from the rotation of the earth.	true	1065.29	1076.05	21.647545
5206_19376_000032_000002	If tidal energy were utilized by engineers, the machines driven would be really driven at the expense of the earth's rotation: it would be a mode of harnessing the earth and using the moon as fixed point or fulcrum; the moon pulling at the tidal protuberance, and holding it still as the earth rotates, is the mechanism whereby the energy is extracted, the handle whereby the friction brake is applied.	If tidal energy were utilized by engineers, the machines driven would be really driven at the expense of the earth's rotation: it would be a mode of harnessing the earth and using the moon as fixed point or fulcrum; the moon pulling at the tidal protuberance, and holding it still as the earth rotates, is the mechanism whereby the energy is extracted, the handle whereby the friction brake is applied.	false	1076.09	1101.85	22
5206_19376_000033_000000	Winds and ocean currents have no such effect (as Mr. Fronde in _Oceania_ supposes they have), because they are all accompanied by a precisely equal counter-current somewhere else, and no internal rearrangement of fluid can affect the motion of a mass as a whole; but the tides are in different case, being produced, not by internal inequalities of temperature, but by a straightforward pull from an external body.	Winds and ocean currents have no such effect (as mr Fronde in underscore Oceania underscore supposes they have), because they are all accompanied by a precisely equal counter current somewhere else, and no internal rearrangement of fluid can affect the motion of a mass as a whole; but the tides are in different case, being produced, not by internal inequalities of temperature, but by a straightforward pull from an external body.	false	1103.09	1129.12	19
5206_19376_000034_000000	The ultimate effect of tidal friction and dissipation of energy will, therefore, be to gradually retard the earth till it does not rotate with reference to the moon, _i.e._ till it rotates once while the moon revolves once; in other words, to make the day and the month equal.	The ultimate effect of tidal friction and dissipation of energy will, therefore, be to gradually retard the earth till it does not rotate with reference to the moon, underscore i e underscore till it rotates once while the moon revolves once; in other words, to make the day and the month equal.	false	1130.27	1147.51	19
5206_19376_000034_000001	The same cause must have been in operation, but with eighty-fold greater intensity, on the moon.	The same cause must have been in operation, but with eighty fold greater intensity, on the moon.	true	1147.82	1153.9	22
5206_19376_000034_000002	It has ceased now, because the rotation has stopped, but if ever the moon rotated on its axis with respect to the earth, and if it were either fluid itself or possessed any liquid ocean, then the tides caused by the pull of the earth must have been prodigious, and would tend to stop its rotation.	It has ceased now, because the rotation has stopped, but if ever the moon rotated on its axis with respect to the earth, and if it were either fluid itself or possessed any liquid ocean, then the tides caused by the pull of the earth must have been prodigious, and would tend to stop its rotation.	false	1154.99	1174.38	23
5206_19376_000034_000003	Have they not succeeded?	Have they not succeeded?	false	1174.38	1176.01	19.769743
5206_19376_000034_000004	Is it not probable that this is _why_ the moon always now turns the same face towards us?	Is it not probable that this is underscore why underscore the moon always now turns the same face towards us?	false	1176.26	1181.98	13
