8635_295759_000000_000001	It would need gold to buy these things, as well as to pay for fresh troops.	It would need gold to buy these things, as well as to pay for fresh troops.
8635_295759_000021_000002	The plan was to ford the stream near the camp, march on the west bank of the stream for five miles or so, and then cross to the east side and push on to the fort.	The plan was to ford the stream near the camp, march on the west bank of the stream for five miles or so, and then cross to the east side and push on to the fort.
8635_295759_000023_000000	At one o'clock the whole force had crossed the ford north of the fort, and were on their way up the bank, when they were met by a fierce and sharp fire from foes they could not see.	At one o'clock the whole force had crossed the ford north of the fort, and were on their way up the bank, when they were met by a fierce and sharp fire from foes they could not see.
8635_295759_000023_000001	Wild war-whoops and fierce yells rent the air.	Wild war whoops and fierce yells rent the air.
8635_295759_000024_000000	Now and then one of the red-men would dart out of the woods with a wild yell to scalp a red-coat who had been shot down.	Now and then one of the red men would dart out of the woods with a wild yell to scalp a red coat who had been shot down.
8635_295759_000024_000001	Wild fear seized Brad-dock's men, who fired and took no aim.	Wild fear seized Brad dock's men, who fired and took no aim.
8635_295759_000024_000002	Those in the front rank were killed by those in the rear.	Those in the front rank were killed by those in the rear.
8635_295759_000024_000005	When some of them took to the trees, Brad-dock stormed at them, and called them hard names, and struck them with the flat of his sword.	When some of them took to the trees, Brad dock stormed at them, and called them hard names, and struck them with the flat of his sword.
8635_295759_000025_000001	He was in all parts of the field, a fine mark for the guns of the foe, and yet not a shot struck him to do him harm.	He was in all parts of the field, a fine mark for the guns of the foe, and yet not a shot struck him to do him harm.
8635_295759_000025_000002	Four small shots went through his coat.	Four small shots went through his coat.
8635_295759_000026_000000	The fight raged on.	The fight raged on.
8635_295759_000026_000001	Death swept through the ranks of the red-coats. The men at the guns were seized with fright.	Death swept through the ranks of the red coats. The men at the guns were seized with fright.
8635_295759_000026_000003	But this act did not bring the men back to their guns.	But this act did not bring the men back to their guns.
8635_295759_000027_000000	Brad-dock was on the field the whole day, and did his best to turn the tide.	Brad dock was on the field the whole day, and did his best to turn the tide.
8635_295759_000028_000000	At last a shot struck him in the right arm and went in-to his lungs. He fell from his horse, and was borne from the field.	At last a shot struck him in the right arm and went in to his lungs. He fell from his horse, and was borne from the field.
8635_295759_000028_000001	The troops took fright at once, and most of them fled.	The troops took fright at once, and most of them fled.
8635_295759_000029_000000	"All is lost!" they cried.	"All is lost!" they cried.
8635_295759_000030_000000	"Brad-dock is killed!"	"Brad dock is killed!"
8635_295759_000033_000002	But he was a proud man, and when he made up his mind to do a thing he would do it at all risks.	But he was a proud man, and when he made up his mind to do a thing he would do it at all risks.
8635_295759_000033_000003	Through this fault he missed the fame he hoped to win, lost his life, and found a grave in a strange land.	Through this fault he missed the fame he hoped to win, lost his life, and found a grave in a strange land.
