3380_64298_000000_000000	"Don't tell any one you are gone," he called after her, with a voice far from feeble.	"Don't tell any one you are gone," he called after her, with a voice far from feeble.	false	2.19	13.5	24.151955
3380_64298_000005_000004	As she drew near the common, she heard the steps more plainly, still soft and swift, and almost wished she had sought refuge in the cottage she had just passed--only it bore no very good character in the neighborhood. When she reached the spot where the paths united, feeling a little at home, she stopped to listen.	As she drew near the common, she heard the steps more plainly, still soft and swift, and almost wished she had sought refuge in the cottage she had just passed-only it bore no very good character in the neighborhood. When she reached the spot where the paths united, feeling a little at home, she stopped to listen.	true	98.24	118.12	22.752123
3380_64298_000005_000005	Behind her were the footsteps plain enough!	Behind her were the footsteps plain enough!	false	118.82	121.3	21.639418
3380_64298_000005_000006	The same moment the clouds thinned about the moon, and a pale light came filtering through upon the common in front of her.	The same moment the clouds thinned about the moon, and a pale light came filtering through upon the common in front of her.	true	121.82	128.77	24.557285
3380_64298_000005_000007	She cast one look over her shoulder, saw something turn a corner in the lane, and sped on again.	She cast one look over her shoulder, saw something turn a corner in the lane, and sped on again.	true	129.59	136.09	23.639725
3380_64298_000005_000008	She would have run, but there was no place of refuge now nearer than the corner of the turnpike-road, and she knew her breath would fail her long before that.	She would have run, but there was no place of refuge now nearer than the corner of the turnpike road, and she knew her breath would fail her long before that.	true	136.94	145.6	23.21381
3380_64298_000005_000009	How lonely and shelterless the common looked!	How lonely and shelterless the common looked!	true	146.99	149.38	22.492628
3380_64298_000005_000010	The soft, swift steps came nearer and nearer.	The soft, swift steps came nearer and nearer.	false	150.02	154.14	23.70657
3380_64298_000006_000000	Was that music she heard?	Was that music she heard?	true	154.14	155.62	26.145031
3380_64298_000006_000001	She dared not stop to listen.	She dared not stop to listen.	true	156.17	158.02	24.183065
3380_64298_000006_000002	But immediately, thereupon, was poured forth on the dim air such a stream of pearly sounds as if all the necklaces of some heavenly choir of woman-angels were broken, and the beads came pelting down in a cataract of hurtless hail.	But immediately, thereupon, was poured forth on the dim air such a stream of pearly sounds as if all the necklaces of some heavenly choir of woman angels were broken, and the beads came pelting down in a cataract of hurtless hail.	true	158.63	172.54	22.391375
3380_64298_000006_000003	From no source could they come save the bow and violin of Joseph Jasper!	From no source could they come save the bow and violin of Joseph Jasper!	true	173.6	178.51	22.230995
3380_64298_000006_000004	Where could he be?	Where could he be?	true	179.12	180.34	21.592941
3380_64298_000006_000005	She was so rejoiced to know that he must be somewhere near, that, for very delight of unsecured safety, she held her peace, and had almost stopped.	She was so rejoiced to know that he must be somewhere near, that, for very delight of unsecured safety, she held her peace, and had almost stopped.	true	181.01	190.66	24.44717
3380_64298_000006_000006	But she ran on again.	But she ran on again.	true	191.39	192.82	22.881289
3380_64298_000006_000007	She was now nigh the ruined hut with which my narrative has made the reader acquainted.	She was now nigh the ruined hut with which my narrative has made the reader acquainted.	false	193.46	198.49	22.771782
3380_64298_000006_000008	In the mean time the moon had been growing out of the clouds, clearer and clearer.	In the mean time the moon had been growing out of the clouds, clearer and clearer.	true	199.67	204.01	22.373796
3380_64298_000006_000009	The hut came in sight.	The hut came in sight.	true	204.68	206.14	23.791277
3380_64298_000006_000010	But the look of it was somehow altered--with an undefinable change, such as might appear on a familiar object in a dream; and leaning against the side of the door stood a figure she could not mistake for another than her musician.	But the look of it was somehow altered-with an undefinable change, such as might appear on a familiar object in a dream; and leaning against the side of the door stood a figure she could not mistake for another than her musician.	false	206.72	221.29	21.481337
3380_64298_000006_000011	Absorbed in his music, he did not see her.	Absorbed in his music, he did not see her.	true	221.84	224.53	21.475634
3380_64298_000006_000012	She called out, "Joseph!	She called out, "Joseph!	true	224.96	226.965	24.432241
3380_64298_000006_000013	Joseph!"	Joseph!"	true	226.965	227.92	24.462055
3380_64298_000006_000014	He started, threw his bow from him, tucked his violin under his arm, and bounded to meet her.	He started, threw his bow from him, tucked his violin under his arm, and bounded to meet her.	true	228.65	234.73	20.520105
3380_64298_000006_000015	She tried to stop, and the same moment to look behind her.	She tried to stop, and the same moment to look behind her.	false	235.52	239.23	25.768032
3380_64298_000006_000016	The consequence was that she fell--but safe in the smith's arms.	The consequence was that she fell-but safe in the smith's arms.	true	239.84	244.06	23.519695
3380_64298_000006_000017	That instant appeared a man running.	That instant appeared a man running.	true	245.36	247.39	19.966795
3380_64298_000006_000018	He half stopped, and, turning from the path, took to the common.	He half stopped, and, turning from the path, took to the common.	true	247.82	252.19	23.13303
3380_64298_000006_000019	Jasper handed his violin to Mary, and darted after him.	Jasper handed his violin to Mary, and darted after him.	true	253.04	256.63	21.044786
3380_64298_000006_000020	The chase did not last a minute; the man was nearly spent.	The chase did not last a minute; the man was nearly spent.	false	257.3	262.215	19.30708
3380_64298_000006_000021	Joseph seized him by the wrist, saw something glitter in his other hand, and turned sick.	Joseph seized him by the wrist, saw something glitter in his other hand, and turned sick.	true	262.215	267.79	21.038757
3380_64298_000006_000022	The fellow had stabbed him.	The fellow had stabbed him.	true	268.49	270.22	23.726301
3380_64298_000006_000023	With indignation, as if it were a snake that had bit him, the blacksmith flung from him the hand he held.	With indignation, as if it were a snake that had bit him, the blacksmith flung from him the hand he held.	true	270.95	277.45	21.69285
3380_64298_000006_000024	The man gave a cry, staggered, recovered himself, and ran.	The man gave a cry, staggered, recovered himself, and ran.	true	278.27	282.85	20.62282
3380_64298_000006_000025	Joseph would have followed again, but fell, and for a minute or two lost consciousness.	Joseph would have followed again, but fell, and for a minute or two lost consciousness.	true	283.97	289.3	23.158216
3380_64298_000006_000026	When he came to himself, Mary was binding up his arm.	When he came to himself, Mary was binding up his arm.	true	290.87	294.13	21.636513
3380_64298_000007_000000	"What a fool I am!" he said, trying to get up, but yielding at once to Mary's prevention.	"What a fool I am!" he said, trying to get up, but yielding at once to Mary's prevention.	false	294.92	300.54	22.9307
3380_64298_000007_000001	"Ain't it ridic'lous now, miss, that a man of my size, and ready to work a sledge with any smith in Yorkshire, should turn sick for a little bit of a job with a knife?	"Ain't it ridic'lous now, miss, that a man of my size, and ready to work a sledge with any smith in Yorkshire, should turn sick for a little bit of a job with a knife?	false	300.54	310.3	21.12827
3380_64298_000007_000002	But my father was just the same, and he was a stronger man than I'm like to be, I fancy."	But my father was just the same, and he was a stronger man than I'm like to be, I fancy."	true	311.03	315.67	20.891712
3380_64298_000008_000000	"It is no such wonder as you think," said Mary; "you have lost a good deal of blood."	"It is no such wonder as you think," said Mary; "you have lost a good deal of blood."	true	317.12	321.61	21.871817
3380_64298_000009_000000	Her voice faltered.	Her voice faltered.	true	322.52	323.8	25.970161
3380_64298_000009_000001	She had been greatly alarmed--and the more that she had not light enough to get the edges of the wound properly together.	She had been greatly alarmed-and the more that she had not light enough to get the edges of the wound properly together.	true	324.26	330.79	22.068295
3380_64298_000010_000000	"You've stopped it--ain't you, miss?"	"You've stopped it-ain't you, miss?"	true	331.7	333.76	28.074326
3380_64298_000011_000000	"I think so."	"I think so."	true	334.34	335.32	26.918177
3380_64298_000012_000000	"Then I'll be after the fellow."	"Then I'll be after the fellow."	true	336.29	337.9	26.154665
3380_64298_000013_000000	"No, no; you must not attempt it.	"No, no; you must not attempt it.	true	338.33	340.8	25.570452
3380_64298_000013_000001	You must lie still awhile.	You must lie still awhile.	true	340.8	342.37	24.309532
3380_64298_000013_000002	But I don't understand it at all!	But I don't understand it at all!	true	342.83	344.77	21.41117
3380_64298_000013_000003	That cottage used to be a mere hovel, without door or window!	That cottage used to be a mere hovel, without door or window!	true	345.08	348.79	21.15753
3380_64298_000013_000004	It can't be you live in it?"	It can't be you live in it?"	true	348.95	350.52	22.300701
3380_64298_000014_000000	"Ay, that I do! and it's not a bad place either," answered Joseph. "That's what I went to Yorkshire to get my money for.	"Ay, that I do! and it's not a bad place either," answered Joseph. "That's what I went to Yorkshire to get my money for.	false	350.52	358.48	20.608023
3380_64298_000014_000001	It's mine--bought and paid for."	It's mine-bought and paid for."	true	358.73	360.7	23.727678
3380_64298_000015_000000	"But what made you think of coming here?"	"But what made you think of coming here?"	true	362.06	364.03	21.460978
3380_64298_000016_000000	"Let's go into the smithy--house I won't presume to call it," said Joseph, "though it has a lean-to for the smith--and I'll tell you everything about it.	"Let's go into the smithy-house I won't presume to call it," said Joseph, "though it has a lean to for the smith-and I'll tell you everything about it.	true	364.97	373.72	20.227808
3380_64298_000016_000001	But really, miss, you oughtn't to be out like this after dark.	But really, miss, you oughtn't to be out like this after dark.	true	374.12	377.71	21.742561
3380_64298_000016_000002	There's too many vagabonds about."	There's too many vagabonds about."	true	377.96	379.87	20.798647
3380_64298_000017_000000	With but little need of the help Mary yet gave him, Joseph got up, and led her to what was now a respectable little smithy, with forge and bellows and anvil and bucket.	With but little need of the help Mary yet gave him, Joseph got up, and led her to what was now a respectable little smithy, with forge and bellows and anvil and bucket.	true	381.2	391.51	23.1235
3380_64298_000017_000001	Opening a door where had been none, he brought a chair, and making her sit down, began to blow the covered fire on the hearth, where he had not long before "boiled his kettle" for his tea.	Opening a door where had been none, he brought a chair, and making her sit down, began to blow the covered fire on the hearth, where he had not long before "boiled his kettle" for his tea.	false	392.42	403.72	20.254856
3380_64298_000017_000002	Then closing the door, he lighted a candle, and Mary looking about her could scarcely believe the change that had come upon the miserable vacuity.	Then closing the door, he lighted a candle, and Mary looking about her could scarcely believe the change that had come upon the miserable vacuity.	false	405.98	414.4	23
3380_64298_000017_000003	Joseph sat down upon his anvil, and begged to know where she had just been, and how far she had run from the rascal. When he had learned something of the peculiar relations in which Mary stood to the family at Durnmelling, he began to think there might have been something more in the pursuit than a chance ruffianly assault, and the greater were his regrets that he had not secured the miscreant.	Joseph sat down upon his anvil, and begged to know where she had just been, and how far she had run from the rascal. When he had learned something of the peculiar relations in which Mary stood to the family at Durnmelling, he began to think there might have been something more in the pursuit than a chance ruffianly assault, and the greater were his regrets that he had not secured the miscreant.	true	415.67	438.82	21.408207
3380_64298_000018_000000	"Anyhow, miss," he said, "you'll never come from there alone in the dark again!"	"Anyhow, miss," he said, "you'll never come from there alone in the dark again!"	true	439.61	444.01	20.590927
3380_64298_000019_000000	"I understand you, Joseph," answered Mary, "for I know you would not have me leave doing what I can for the poor man up there, because of a little danger in the way."	"I understand you, Joseph," answered Mary, "for I know you would not have me leave doing what I can for the poor man up there, because of a little danger in the way."	true	445.28	454	20.60461
3380_64298_000020_000000	"No, that I wouldn't, miss.	"No, that I wouldn't, miss.	false	454.91	456.52	23.8084
3380_64298_000020_000001	That would be as much as to say you would do the will of God when the devil would let you.	That would be as much as to say you would do the will of God when the devil would let you.	true	457.07	461.53	20
3380_64298_000020_000002	What I mean is, that here am I--your slave, or servant, or soldier, or whatever you may please to call me, ready at your word."	What I mean is, that here am I-your slave, or servant, or soldier, or whatever you may please to call me, ready at your word."	false	462.02	471.01	22.203505
3380_64298_000021_000000	"I must not take you from your work, you know, Joseph."	"I must not take you from your work, you know, Joseph."	true	472.07	474.85	24.573364
3380_64298_000022_000000	"Work's not everything, miss," he answered; "and it's seldom so pressing but that--except I be shoeing a horse--I can leave it when I choose.	"Work's not everything, miss," he answered; "and it's seldom so pressing but that-except I be shoeing a horse-I can leave it when I choose.	false	475.97	484.54	21.70156
3380_64298_000022_000001	Any time you want to go anywhere, don't forget as you've got enemies about, and just send for me.	Any time you want to go anywhere, don't forget as you've got enemies about, and just send for me.	true	485.15	491.17	22.194908
3380_64298_000022_000002	You won't have long to wait till I come.	You won't have long to wait till I come.	true	491.84	494.02	20.959763
3380_64298_000022_000003	But I am main sorry the rascal didn't have something to keep him in mind of his manners."	But I am main sorry the rascal didn't have something to keep him in mind of his manners."	true	494.9	499.36	18
3380_64298_000023_000000	Part of this conversation, and a good deal more, passed on their way to Testbridge, whither, as soon as Joseph seemed all right, Mary, who had forgotten her hunger and faintness, insisted on setting out at once.	Part of this conversation, and a good deal more, passed on their way to Testbridge, whither, as soon as Joseph seemed all right, Mary, who had forgotten her hunger and faintness, insisted on setting out at once.	true	500.96	513.94	21.440613
3380_64298_000023_000001	In her turn she questioned Joseph, and learned that, as soon as he knew she was going to settle at Testbridge, he started off to find if possible a place in the neighborhood humble enough to be within his reach, and near enough for the hope of seeing her sometimes, and having what help she might please to give him.	In her turn she questioned Joseph, and learned that, as soon as he knew she was going to settle at Testbridge, he started off to find if possible a place in the neighborhood humble enough to be within his reach, and near enough for the hope of seeing her sometimes, and having what help she might please to give him.	true	514.94	533.62	22.62125
3380_64298_000023_000002	The explanation afforded Mary more pleasure than she cared to show.	The explanation afforded Mary more pleasure than she cared to show.	true	534.89	538.63	21.353926
3380_64298_000023_000003	She had a real friend near her--one ready to help her on her own ground--one who understood her because he understood the things she loved!	She had a real friend near her-one ready to help her on her own ground-one who understood her because he understood the things she loved!	false	539.15	547.84	22.856817
3380_64298_000023_000004	He told her that already he had work enough to keep him going; that the horses he once shod were always brought to him again; that he was at no expense such as in a town; and that he had plenty of time both for his violin and his books.	He told her that already he had work enough to keep him going; that the horses he once shod were always brought to him again; that he was at no expense such as in a town; and that he had plenty of time both for his violin and his books.	false	548.75	563.59	23.121937
3380_64298_000024_000000	When they came to the suburbs, she sent him home, and went straight to Mr. Brett with Mr. Redmain's message.	When they came to the suburbs, she sent him home, and went straight to mr Brett with mr Redmain's message.	true	565.25	571.36	20.772612
3380_64298_000024_000001	He undertook to be at Durnmelling at the time appointed, and to let nothing prevent him from seeing his new client.	He undertook to be at Durnmelling at the time appointed, and to let nothing prevent him from seeing his new client.	true	571.97	578.58	22.424385
3380_64298_000025_000000	CHAPTER LIV.	CHAPTER fifty four.	false	578.58	578.67	0
3380_64298_000026_000000	THE NEXT NIGHT.	THE NEXT NIGHT.	false	578.67	578.79	-20
3380_64298_000027_000000	Mr. Bratt found no difficulty in the way of the interview, for Mr. Redmain had given Mewks instructions he dared not disobey: his master had often ailed, and recovered again, and he must not venture too far! As soon as he had shown the visitor into the room he was dismissed, but not before he had satisfied himself that he was a lawyer.	mr Bratt found no difficulty in the way of the interview, for mr Redmain had given Mewks instructions he dared not disobey: his master had often ailed, and recovered again, and he must not venture too far! As soon as he had shown the visitor into the room he was dismissed, but not before he had satisfied himself that he was a lawyer.	false	578.79	580.23	17.305817
3380_64298_000027_000001	He carried the news at once to Sepia, and it wrought no little anxiety in the house.	He carried the news at once to Sepia, and it wrought no little anxiety in the house.	false	580.23	580.23	
3380_64298_000027_000002	There was a will already in existence, and no ground for thinking a change in it boded anything good.	There was a will already in existence, and no ground for thinking a change in it boded anything good.	false	580.23	580.23	
3380_64298_000027_000003	Mr. Mortimer never deigned to share his thoughts, anxieties, or hopes with any of his people; but the ladies met in deep consultation, although of course there was nothing to be done.	mr Mortimer never deigned to share his thoughts, anxieties, or hopes with any of his people; but the ladies met in deep consultation, although of course there was nothing to be done.	false	580.23	580.77	19.69798
3380_64298_000027_000004	The only operative result was that it let Sepia know how, though for reasons somewhat different, her anxiety was shared by the others: unlike theirs, her sole desire was--_not_ to be mentioned in the will: that could only be for the sake of leaving her a substantial curse!	The only operative result was that it let Sepia know how, though for reasons somewhat different, her anxiety was shared by the others: unlike theirs, her sole desire was-underscore not underscore to be mentioned in the will: that could only be for the sake of leaving her a substantial curse!	false	580.77	581.97	23.939281
3380_64298_000027_000005	Mr. Redmain's utter silence, after, as she well knew, having gathered damning facts to her discredit, had long convinced her he was but biding his time.	mr Redmain's utter silence, after, as she well knew, having gathered damning facts to her discredit, had long convinced her he was but biding his time.	false	581.97	582.09	-3
3380_64298_000027_000006	Certain she was he would not depart this life without leaving his opinion of her and the proofs of its justice behind him, carrying weight as the affidavit of a dying man.	Certain she was he would not depart this life without leaving his opinion of her and the proofs of its justice behind him, carrying weight as the affidavit of a dying man.	false	582.09	582.24	7
3380_64298_000027_000007	Also she knew Hesper well enough to be certain that, however she might delight in opposition to the desire of her husband, she would for the sake of no one carry that opposition to a point where it became injurious to her interests.	Also she knew Hesper well enough to be certain that, however she might delight in opposition to the desire of her husband, she would for the sake of no one carry that opposition to a point where it became injurious to her interests.	false	582.24	583.71	21.144203
3380_64298_000027_000008	Sepia's one thought therefore was: could not something be done to prevent the making of another will, or the leaving of any fresh document behind him?	Sepia's one thought therefore was: could not something be done to prevent the making of another will, or the leaving of any fresh document behind him?	false	583.71	584.91	-1
3380_64298_000027_000009	What he might already have done, she could nowise help; what he might yet do, it would be well to prevent.	What he might already have done, she could nowise help; what he might yet do, it would be well to prevent.	false	584.91	585.87	-20
3380_64298_000027_000010	Once more, therefore, she impressed upon Mewks, and that in the names of Mrs. Redmain and Lady Margaret, as well as in her own person, the absolute necessity of learning as much as possible of what might pass between his master and the lawyer.	Once more, therefore, she impressed upon Mewks, and that in the names of mrs Redmain and Lady Margaret, as well as in her own person, the absolute necessity of learning as much as possible of what might pass between his master and the lawyer.	false	585.87	587.88	-10
