5717_94876_000000_000001	Johnny Dooit Does It	Johnny Dooit Does It
5717_94876_000005_000000	LAND OF OZ	LAND OF OZ
5717_94876_000006_000000	But no one can Reach that Beautiful Country because of these Destroying Sands	But no one can Reach that Beautiful Country because of these Destroying Sands
5717_94876_000009_000000	"Don't know," said Button-Bright.	"Don't know," said Button Bright.
5717_94876_000010_000000	"I'm sure I don't know, either," added Dorothy, despondently.	"I'm sure I don't know, either," added Dorothy, despondently.
5717_94876_000011_000000	"I wish father would come for me," sighed the pretty Rainbow's Daughter, "I would take you all to live upon the rainbow, where you could dance along its rays from morning till night, without a care or worry of any sort.	"I wish father would come for me," sighed the pretty Rainbow's Daughter, "I would take you all to live upon the rainbow, where you could dance along its rays from morning till night, without a care or worry of any sort.
5717_94876_000012_000000	"Don't want to dance," said Button-Bright, sitting down wearily upon the soft grass.	"Don't want to dance," said Button Bright, sitting down wearily upon the soft grass.
5717_94876_000013_000000	"It's very good of you, Polly," said Dorothy; "but there are other things that would suit me better than dancing on rainbows.	"It's very good of you, Polly," said Dorothy; "but there are other things that would suit me better than dancing on rainbows.
5717_94876_000014_000000	This didn't help to solve the problem, and they all fell silent and looked at one another questioningly.	This didn't help to solve the problem, and they all fell silent and looked at one another questioningly.
5717_94876_000015_000000	"Really, I don't know what to do," muttered the shaggy man, gazing hard at Toto; and the little dog wagged his tail and said "Bow-wow!" just as if he could not tell, either, what to do.	"Really, I don't know what to do," muttered the shaggy man, gazing hard at Toto; and the little dog wagged his tail and said "Bow wow!" just as if he could not tell, either, what to do.
5717_94876_000015_000001	Button-Bright got a stick and began to dig in the earth, and the others watched him for a while in deep thought.	Button Bright got a stick and began to dig in the earth, and the others watched him for a while in deep thought.
5717_94876_000016_000000	"It's nearly evening, now; so we may as well sleep in this pretty place and get rested; perhaps by morning we can decide what is best to be done."	"It's nearly evening, now; so we may as well sleep in this pretty place and get rested; perhaps by morning we can decide what is best to be done."
5717_94876_000019_000000	In the bright morning sunshine, as they ate of the strawberries and sweet juicy pears, Dorothy said:	In the bright morning sunshine, as they ate of the strawberries and sweet juicy pears, Dorothy said:
5717_94876_000020_000000	"Polly, can you do any magic?"	"Polly, can you do any magic?"
5717_94876_000021_000000	"No dear," answered Polychrome, shaking her dainty head.	"No dear," answered Polychrome, shaking her dainty head.
5717_94876_000022_000000	"You ought to know SOME magic, being the Rainbow's Daughter," continued Dorothy, earnestly.	"You ought to know SOME magic, being the Rainbow's Daughter," continued Dorothy, earnestly.
5717_94876_000024_000000	"What I'd like," said Dorothy, "is to find some way to cross the desert to the Land of Oz and its Emerald City.	"What I'd like," said Dorothy, "is to find some way to cross the desert to the Land of Oz and its Emerald City.
5717_94876_000024_000001	I've crossed it already, you know, more than once.	I've crossed it already, you know, more than once.
5717_94876_000024_000003	Then Ozma took me over on her Magic Carpet, and the Nome King's Magic Belt took me home that time.	Then Ozma took me over on her Magic Carpet, and the Nome King's Magic Belt took me home that time.
5717_94876_000024_000004	You see it was magic that did it every time 'cept the first, and we can't 'spect a cyclone to happen along and take us to the Emerald City now."	You see it was magic that did it every time 'cept the first, and we can't 'spect a cyclone to happen along and take us to the Emerald City now."
5717_94876_000025_000000	"No indeed," returned Polly, with a shudder, "I hate cyclones, anyway."	"No indeed," returned Polly, with a shudder, "I hate cyclones, anyway."
5717_94876_000026_000000	"That's why I wanted to find out if you could do any magic," said the little Kansas girl.	"That's why I wanted to find out if you could do any magic," said the little Kansas girl.
5717_94876_000026_000001	"I'm sure I can't; and I'm sure Button-Bright can't; and the only magic the shaggy man has is the Love Magnet, which won't help us much."	"I'm sure I can't; and I'm sure Button Bright can't; and the only magic the shaggy man has is the Love Magnet, which won't help us much."
5717_94876_000027_000000	"Don't be too sure of that, my dear," spoke the shaggy man, a smile on his donkey face.	"Don't be too sure of that, my dear," spoke the shaggy man, a smile on his donkey face.
5717_94876_000027_000001	"I may not be able to do magic myself, but I can call to us a powerful friend who loves me because I own the Love Magnet, and this friend surely will be able to help us."	"I may not be able to do magic myself, but I can call to us a powerful friend who loves me because I own the Love Magnet, and this friend surely will be able to help us."
5717_94876_000028_000000	"Who is your friend?" asked Dorothy.	"Who is your friend?" asked Dorothy.
5717_94876_000030_000000	"What can Johnny do?"	"What can Johnny do?"
5717_94876_000031_000000	"Anything," answered the shaggy man, with confidence.	"Anything," answered the shaggy man, with confidence.
5717_94876_000032_000000	"Ask him to come," she exclaimed, eagerly.	"Ask him to come," she exclaimed, eagerly.
5717_94876_000033_000000	The shaggy man took the Love Magnet from his pocket and unwrapped the paper that surrounded it.	The shaggy man took the Love Magnet from his pocket and unwrapped the paper that surrounded it.
5717_94876_000034_000000	"Dear Johnny Dooit, come to me. I need you bad as bad can be."	"Dear Johnny Dooit, come to me. I need you bad as bad can be."
5717_94876_000035_000000	"Well, here I am," said a cheery little voice; "but you shouldn't say you need me bad, 'cause I'm always, ALWAYS, good."	"Well, here I am," said a cheery little voice; "but you shouldn't say you need me bad, 'cause I'm always, ALWAYS, good."
5717_94876_000036_000000	At this they quickly whirled around to find a funny little man sitting on a big copper chest, puffing smoke from a long pipe.	At this they quickly whirled around to find a funny little man sitting on a big copper chest, puffing smoke from a long pipe.
5717_94876_000036_000001	His hair was grey, his whiskers were grey; and these whiskers were so long that he had wound the ends of them around his waist and tied them in a hard knot underneath the leather apron that reached from his chin nearly to his feet, and which was soiled and scratched as if it had been used a long time.	His hair was grey, his whiskers were grey; and these whiskers were so long that he had wound the ends of them around his waist and tied them in a hard knot underneath the leather apron that reached from his chin nearly to his feet, and which was soiled and scratched as if it had been used a long time.
5717_94876_000036_000002	His nose was broad, and stuck up a little; but his eyes were twinkling and merry.	His nose was broad, and stuck up a little; but his eyes were twinkling and merry.
5717_94876_000036_000003	The little man's hands and arms were as hard and tough as the leather in his apron, and Dorothy thought Johnny Dooit looked as if he had done a lot of hard work in his lifetime.	The little man's hands and arms were as hard and tough as the leather in his apron, and Dorothy thought Johnny Dooit looked as if he had done a lot of hard work in his lifetime.
5717_94876_000037_000000	"Good morning, Johnny," said the shaggy man.	"Good morning, Johnny," said the shaggy man.
5717_94876_000038_000000	"I never waste time," said the newcomer, promptly.	"I never waste time," said the newcomer, promptly.
5717_94876_000038_000001	"But what's happened to you?	"But what's happened to you?
5717_94876_000038_000002	Where did you get that donkey head?	Where did you get that donkey head?
5717_94876_000038_000003	Really, I wouldn't have known you at all, Shaggy Man, if I hadn't looked at your feet."	Really, I wouldn't have known you at all, Shaggy Man, if I hadn't looked at your feet."
5717_94876_000039_000000	The shaggy man introduced Johnny Dooit to Dorothy and Toto and Button-Bright and the Rainbow's Daughter, and told him the story of their adventures, adding that they were anxious now to reach the Emerald City in the Land of Oz, where Dorothy had friends who would take care of them and send them safe home again.	The shaggy man introduced Johnny Dooit to Dorothy and Toto and Button Bright and the Rainbow's Daughter, and told him the story of their adventures, adding that they were anxious now to reach the Emerald City in the Land of Oz, where Dorothy had friends who would take care of them and send them safe home again.
5717_94876_000040_000000	"But," said he, "we find that we can't cross this desert, which turns all living flesh that touches it into dust; so I have asked you to come and help us."	"But," said he, "we find that we can't cross this desert, which turns all living flesh that touches it into dust; so I have asked you to come and help us."
5717_94876_000041_000000	Johnny Dooit puffed his pipe and looked carefully at the dreadful desert in front of them--stretching so far away they could not see its end.	Johnny Dooit puffed his pipe and looked carefully at the dreadful desert in front of them-stretching so far away they could not see its end.
5717_94876_000042_000000	"You must ride," he said, briskly.	"You must ride," he said, briskly.
5717_94876_000043_000000	"What in?" asked the shaggy man.	"What in?" asked the shaggy man.
5717_94876_000044_000000	"In a sand-boat, which has runners like a sled and sails like a ship. The wind will blow you swiftly across the desert and the sand cannot touch your flesh to turn it into dust."	"In a sand boat, which has runners like a sled and sails like a ship. The wind will blow you swiftly across the desert and the sand cannot touch your flesh to turn it into dust."
5717_94876_000045_000000	"Good!" cried Dorothy, clapping her hands delightedly.	"Good!" cried Dorothy, clapping her hands delightedly.
5717_94876_000045_000001	"That was the way the Magic Carpet took us across.	"That was the way the Magic Carpet took us across.
5717_94876_000045_000002	We didn't have to touch the horrid sand at all."	We didn't have to touch the horrid sand at all."
5717_94876_000046_000000	"But where is the sand-boat?" asked the shaggy man, looking all around him.	"But where is the sand boat?" asked the shaggy man, looking all around him.
5717_94876_000047_000000	"I'll make you one," said Johnny Dooit.	"I'll make you one," said Johnny Dooit.
5717_94876_000048_000000	As he spoke, he knocked the ashes from his pipe and put it in his pocket.	As he spoke, he knocked the ashes from his pipe and put it in his pocket.
5717_94876_000049_000000	Johnny Dooit moved quickly now--so quickly that they were astonished at the work he was able to accomplish.	Johnny Dooit moved quickly now-so quickly that they were astonished at the work he was able to accomplish.
5717_94876_000049_000001	He had in his chest a tool for everything he wanted to do, and these must have been magic tools because they did their work so fast and so well.	He had in his chest a tool for everything he wanted to do, and these must have been magic tools because they did their work so fast and so well.
5717_94876_000050_000001	She thought the words were something like these:	She thought the words were something like these:
5717_94876_000052_000000	Whatever Johnny Dooit was singing he was certainly doing things, and they all stood by and watched him in amazement.	Whatever Johnny Dooit was singing he was certainly doing things, and they all stood by and watched him in amazement.
5717_94876_000053_000000	He seized an axe and in a couple of chops felled a tree.	He seized an axe and in a couple of chops felled a tree.
5717_94876_000053_000001	Next he took a saw and in a few minutes sawed the tree-trunk into broad, long boards.	Next he took a saw and in a few minutes sawed the tree trunk into broad, long boards.
5717_94876_000053_000002	He then nailed the boards together into the shape of a boat, about twelve feet long and four feet wide.	He then nailed the boards together into the shape of a boat, about twelve feet long and four feet wide.
5717_94876_000053_000003	He cut from another tree a long, slender pole which, when trimmed of its branches and fastened upright in the center of the boat, served as a mast.	He cut from another tree a long, slender pole which, when trimmed of its branches and fastened upright in the center of the boat, served as a mast.
5717_94876_000054_000000	Dorothy fairly gasped with wonder to see the thing grow so speedily before her eyes, and both Button-Bright and Polly looked on with the same absorbed interest.	Dorothy fairly gasped with wonder to see the thing grow so speedily before her eyes, and both Button Bright and Polly looked on with the same absorbed interest.
5717_94876_000055_000000	"It ought to be painted," said Johnny Dooit, tossing his tools back into the chest, "for that would make it look prettier.	"It ought to be painted," said Johnny Dooit, tossing his tools back into the chest, "for that would make it look prettier.
5717_94876_000055_000001	But 'though I can paint it for you in three seconds it would take an hour to dry, and that's a waste of time."	But 'though I can paint it for you in three seconds it would take an hour to dry, and that's a waste of time."
5717_94876_000056_000000	"We don't care how it looks," said the shaggy man, "if only it will take us across the desert."	"We don't care how it looks," said the shaggy man, "if only it will take us across the desert."
5717_94876_000057_000000	"It will do that," declared Johnny Dooit.	"It will do that," declared Johnny Dooit.
5717_94876_000057_000002	Did you ever sail a ship?"	Did you ever sail a ship?"
5717_94876_000059_000000	"Good.	"Good.
5717_94876_000060_000000	With this he slammed down the lid of the chest, and the noise made them all wink.	With this he slammed down the lid of the chest, and the noise made them all wink.
5717_94876_000060_000001	While they were winking the workman disappeared, tools and all.	While they were winking the workman disappeared, tools and all.
