2272_152264_000000_000000	The Northmen learned the language of the Franks and adopted their religion.	The Northmen learned the language of the Franks and adopted their religion.	false	0	4.86	21.74541
2272_152264_000014_000000	While still very young Alfred was sent by his father to Rome to be anointed by His Holiness, the Pope.	While still very young Alfred was sent by his father to Rome to be anointed by His Holiness, the Pope.	true	138.83	144.345	17
2272_152264_000014_000001	It was a long and tiresome journey, made mostly on horseback.	It was a long and tiresome journey, made mostly on horseback.	true	144.345	147.97	20
2272_152264_000015_000000	With imposing, solemn ceremony he was anointed by the Holy Father. Afterwards he spent a year in Rome receiving religious instruction.	With imposing, solemn ceremony he was anointed by the Holy Father. Afterwards he spent a year in Rome receiving religious instruction.	true	148.25	156.06	14
2272_152264_000016_000000	II	two	false	156.06	158.4	22.991076
2272_152264_000017_000000	In the year 871, when Alfred was twenty-two years old, the Danes invaded various parts of England.	In the year eight hundred seventy one, when Alfred was twenty two years old, the Danes invaded various parts of England.	false	158.4	164.71	17
2272_152264_000017_000001	Some great battles were fought, and Alfred's elder brother Ethelred, king of the West Saxons, was killed.	Some great battles were fought, and Alfred's elder brother Ethelred, king of the West Saxons, was killed.	true	164.78	170.77	21.233263
2272_152264_000017_000002	Thus Alfred became king.	Thus Alfred became king.	true	170.84	172.84	22.781296
2272_152264_000018_000000	The Danes still continued to fight the Saxons, and defeated Alfred in a long and severe struggle.	The Danes still continued to fight the Saxons, and defeated Alfred in a long and severe struggle.	true	173.09	178.51	17
2272_152264_000018_000001	They took for themselves the northern and eastern parts of England.	They took for themselves the northern and eastern parts of England.	true	178.61	181.57	16
2272_152264_000019_000000	Moreover, Danes from Denmark continued to cross the sea and ravage the coast of Saxon England.	Moreover, Danes from Denmark continued to cross the sea and ravage the coast of Saxon England.	true	181.76	187.09	18
2272_152264_000019_000001	They kept the people in constant alarm. Alfred therefore determined to meet the pirates on their own element, the sea.	They kept the people in constant alarm. Alfred therefore determined to meet the pirates on their own element, the sea.	true	187.19	193.3	20
2272_152264_000019_000002	So he built and equipped the first English navy, and in 875 gained the first naval victory ever won by the English.	So he built and equipped the first English navy, and in eight hundred seventy five gained the first naval victory ever won by the English.	false	193.46	200.47	17
2272_152264_000020_000000	A few years after this, however, great numbers of Danes from the northern part of England came pouring into the Saxon lands.	A few years after this, however, great numbers of Danes from the northern part of England came pouring into the Saxon lands.	true	200.6	206.89	13
2272_152264_000020_000001	Alfred himself was obliged to flee for his life.	Alfred himself was obliged to flee for his life.	true	207.02	210.03	22
2272_152264_000021_000000	For many months he wandered through forests and over hills to avoid being taken by the Danes.	For many months he wandered through forests and over hills to avoid being taken by the Danes.	true	210.03	214.66	11
2272_152264_000021_000001	He sometimes made his home in caves and in the huts of shepherds and cowherds.	He sometimes made his home in caves and in the huts of shepherds and cowherds.	true	214.7	218.53	12
2272_152264_000021_000002	Often he tended the cattle and sheep and was glad to get a part of the farmer's dinner in pay for his services.	Often he tended the cattle and sheep and was glad to get a part of the farmer's dinner in pay for his services.	true	218.66	224.01	14
2272_152264_000022_000000	[Illustration: INVASION OF ENGLAND BY THE DANES]	[Illustration: INVASION OF ENGLAND BY THE DANES]	false	224.01	224.43	-20
2272_152264_000023_000000	Once, when very hungry, he went into the house of a cowherd and asked for something to eat.	Once, when very hungry, he went into the house of a cowherd and asked for something to eat.	true	224.43	229.335	21
2272_152264_000023_000001	The cowherd's wife was baking cakes and she said she would give him some when they were done.	The cowherd's wife was baking cakes and she said she would give him some when they were done.	true	229.335	233.74	16
2272_152264_000024_000000	"Watch the cakes and do not let them burn, while I go across the field to look after the cows," said the woman, as she hurried away. Alfred took his seat on the chimney-corner to do as he was told. But soon his thoughts turned to his troubles and he forgot about the cakes.	"Watch the cakes and do not let them burn, while I go across the field to look after the cows," said the woman, as she hurried away. Alfred took his seat on the chimney corner to do as he was told. But soon his thoughts turned to his troubles and he forgot about the cakes.	false	234.02	247.99	19
2272_152264_000025_000000	When the woman came back she cried out with vexation, for the cakes were burned and spoiled.	When the woman came back she cried out with vexation, for the cakes were burned and spoiled.	true	248.27	252.97	18
2272_152264_000025_000001	"You lazy, good-for-nothing man!" she said, "I warrant you can eat cakes fast enough; but you are too lazy to help me bake them."	"You lazy, good for nothing man!" she said, "I warrant you can eat cakes fast enough; but you are too lazy to help me bake them."	true	252.98	259.81	17
2272_152264_000026_000000	With that she drove the poor hungry Alfred out of her house.	With that she drove the poor hungry Alfred out of her house.	false	260.27	263.5	15
2272_152264_000026_000001	In his ragged dress he certainly did not look like a king, and she had no idea that he was anything but a poor beggar.	In his ragged dress he certainly did not look like a king, and she had no idea that he was anything but a poor beggar.	true	263.6	269.8	18
2272_152264_000027_000000	III	three	true	270.56	271.18	25.669424
2272_152264_000028_000000	Some of Alfred's friends discovered where he was hiding and joined him.	Some of Alfred's friends discovered where he was hiding and joined him.	true	271.79	275.17	15
2272_152264_000028_000001	In a little time a body of soldiers came to him and a strong fort was built by them.	In a little time a body of soldiers came to him and a strong fort was built by them.	true	275.33	279.9	16
2272_152264_000028_000002	From this fort Alfred and his men went out now and then and gave battle to small parties of the Danes. Alfred was successful and his army grew larger and larger.	From this fort Alfred and his men went out now and then and gave battle to small parties of the Danes. Alfred was successful and his army grew larger and larger.	false	279.9	288.79	19
2272_152264_000029_000000	One day he disguised himself as a wandering minstrel and went into the camp of the Danes.	One day he disguised himself as a wandering minstrel and went into the camp of the Danes.	true	289.1	293.95	14
2272_152264_000029_000001	He strolled here and there, playing on a harp and singing Saxon ballads.	He strolled here and there, playing on a harp and singing Saxon ballads.	true	294.05	298.32	16
2272_152264_000029_000002	At last, Guth'rum, the commander of the Danes, ordered the minstrel to be brought to his tent.	At last, Guth'rum, the commander of the Danes, ordered the minstrel to be brought to his tent.	true	298.32	303.55	21.521978
2272_152264_000030_000000	Alfred went.	Alfred went.	true	303.86	304.9	25.112411
2272_152264_000030_000001	"Sing to me some of your charming songs," said Guthrum. "I never heard more beautiful music." So the kingly harper played and sang for the Dane, and went away with handsome presents.	"Sing to me some of your charming songs," said Guthrum. "I never heard more beautiful music." So the kingly harper played and sang for the Dane, and went away with handsome presents.	true	305.15	315.37	19
2272_152264_000030_000002	But better than that, he had gained information that was of the greatest value.	But better than that, he had gained information that was of the greatest value.	true	315.44	319.33	15
2272_152264_000031_000000	In a week he attacked the Danish forces and defeated them with great slaughter in a battle which lasted all day and far into the night.	In a week he attacked the Danish forces and defeated them with great slaughter in a battle which lasted all day and far into the night.	true	319.46	326.2	10
2272_152264_000031_000001	Guthrum was taken prisoner and brought before Alfred.	Guthrum was taken prisoner and brought before Alfred.	true	326.3	329.32	20
2272_152264_000032_000000	Taking his harp in his hands, Alfred played and sang one of the ballads with which he had entertained Guthrum in the camp.	Taking his harp in his hands, Alfred played and sang one of the ballads with which he had entertained Guthrum in the camp.	true	329.51	335.44	15
2272_152264_000032_000001	The Dane started in amazement and exclaimed:	The Dane started in amazement and exclaimed:	true	335.45	338.1	18
2272_152264_000033_000000	"You, then, King Alfred, were the wandering minstrel?"	"You, then, King Alfred, were the wandering minstrel?"	true	338.1	340.95	12
2272_152264_000034_000000	[Illustration: ALFRED THE GREAT IN DANISH CAMP]	[Illustration: ALFRED THE GREAT IN DANISH CAMP]	false	340.95	341.295	-8
2272_152264_000035_000000	"Yes," replied Alfred, "I was the musician whom you received so kindly.	"Yes," replied Alfred, "I was the musician whom you received so kindly.	true	341.295	345.315	13
2272_152264_000035_000001	Your life is now in my hands; but I will give you your liberty if you will become a Christian and never again make war on my people."	Your life is now in my hands; but I will give you your liberty if you will become a Christian and never again make war on my people."	true	345.315	352.03	15
2272_152264_000036_000000	"King Alfred," said Guthrum, "I will become a Christian, and so will all my men if you will grant liberty to them as to me; and henceforth, we will be your friends."	"King Alfred," said Guthrum, "I will become a Christian, and so will all my men if you will grant liberty to them as to me; and henceforth, we will be your friends."	false	352.19	361.09	16
2272_152264_000037_000000	Alfred then released the Danes, and they were baptized as Christians.	Alfred then released the Danes, and they were baptized as Christians.	true	361.34	364.99	19
2272_152264_000038_000000	An old road running across England from London to Chester was then agreed upon as the boundary between the Danish and Saxon kingdoms; and the Danes settled in East Anglia, as the eastern part of England was called.	An old road running across England from London to Chester was then agreed upon as the boundary between the Danish and Saxon kingdoms; and the Danes settled in East Anglia, as the eastern part of England was called.	true	365.27	376.24	15
2272_152264_000039_000000	Years of peace and prosperity followed for Alfred's kingdom.	Years of peace and prosperity followed for Alfred's kingdom.	true	376.43	379.57	18
2272_152264_000039_000001	During these years the king rebuilt the towns that had been destroyed by the Danes, erected new forts, and greatly strengthened his army and navy.	During these years the king rebuilt the towns that had been destroyed by the Danes, erected new forts, and greatly strengthened his army and navy.	true	379.58	387.28	16
2272_152264_000040_000000	He also encouraged trade; and he founded a school like that established by Charlemagne.	He also encouraged trade; and he founded a school like that established by Charlemagne.	true	387.41	392.2	17
2272_152264_000040_000001	He himself translated a number of Latin books into Saxon, and probably did more for the cause of education than any other king that ever wore the English crown.	He himself translated a number of Latin books into Saxon, and probably did more for the cause of education than any other king that ever wore the English crown.	false	392.3	407.07	22
