188_141613_000003_000000	CHAPTER XIV	CHAPTER fourteen
188_141613_000021_000003	"And, anyway, I DON'T understand why some folks should have such a lot, and other folks shouldn't have anything; and I DON'T like it.	"And, anyway, I DON'T understand why some folks should have such a lot, and other folks shouldn't have anything; and I DON'T like it.
188_141613_000021_000004	And if I ever have a lot I shall just give some of it to folks who don't have any, even if it does make me pauperized and pernicious, and--" But Mr. Pendleton was laughing so hard now that Pollyanna, after a moment's struggle, surrendered and laughed with him.	And if I ever have a lot I shall just give some of it to folks who don't have any, even if it does make me pauperized and pernicious, and-" But mr Pendleton was laughing so hard now that Pollyanna, after a moment's struggle, surrendered and laughed with him.
188_141613_000022_000000	"Well, anyway," she reiterated, when she had caught her breath, "I don't understand it, all the same."	"Well, anyway," she reiterated, when she had caught her breath, "I don't understand it, all the same."
188_141613_000023_000000	"No, dear, I'm afraid you don't," agreed the man, growing suddenly very grave and tender-eyed; "nor any of the rest of us, for that matter.	"No, dear, I'm afraid you don't," agreed the man, growing suddenly very grave and tender eyed; "nor any of the rest of us, for that matter.
188_141613_000023_000001	But, tell me," he added, after a minute, "who is this Jamie you've been talking so much about since you came?"	But, tell me," he added, after a minute, "who is this Jamie you've been talking so much about since you came?"
188_141613_000024_000000	And Pollyanna told him.	And Pollyanna told him.
188_141613_000025_000000	In talking of Jamie, Pollyanna lost her worried, baffled look. Pollyanna loved to talk of Jamie.	In talking of Jamie, Pollyanna lost her worried, baffled look. Pollyanna loved to talk of Jamie.
188_141613_000025_000001	Here was something she understood. Here was no problem that had to deal with big, fearsome-sounding words.	Here was something she understood. Here was no problem that had to deal with big, fearsome sounding words.
188_141613_000025_000002	Besides, in this particular instance--would not Mr. Pendleton be especially interested in Mrs. Carew's taking the boy into her home, for who better than himself could understand the need of a child's presence?	Besides, in this particular instance-would not mr Pendleton be especially interested in mrs Carew's taking the boy into her home, for who better than himself could understand the need of a child's presence?
188_141613_000026_000000	For that matter, Pollyanna talked to everybody about Jamie.	For that matter, Pollyanna talked to everybody about Jamie.
188_141613_000026_000001	She assumed that everybody would be as interested as she herself was.	She assumed that everybody would be as interested as she herself was.
188_141613_000026_000002	On most occasions she was not disappointed in the interest shown; but one day she met with a surprise.	On most occasions she was not disappointed in the interest shown; but one day she met with a surprise.
188_141613_000026_000003	It came through Jimmy Pendleton.	It came through Jimmy Pendleton.
188_141613_000027_000000	"Say, look a-here," he demanded one afternoon, irritably.	"Say, look a here," he demanded one afternoon, irritably.
188_141613_000027_000001	"Wasn't there ANYBODY else down to Boston but just that everlasting 'Jamie'?"	"Wasn't there ANYBODY else down to Boston but just that everlasting 'Jamie'?"
188_141613_000028_000000	"Why, Jimmy Bean, what do you mean?" cried Pollyanna.	"Why, Jimmy Bean, what do you mean?" cried Pollyanna.
188_141613_000029_000000	The boy lifted his chin a little.	The boy lifted his chin a little.
188_141613_000030_000001	I'm Jimmy Pendleton.	I'm Jimmy Pendleton.
188_141613_000030_000002	And I mean that I should think, from your talk, that there wasn't ANYBODY down to Boston but just that loony boy who calls them birds and squirrels 'Lady Lancelot,' and all that tommyrot."	And I mean that I should think, from your talk, that there wasn't ANYBODY down to Boston but just that loony boy who calls them birds and squirrels 'Lady Lancelot,' and all that tommyrot."
188_141613_000031_000000	"Why, Jimmy Be--Pendleton!" gasped Pollyanna.	"Why, Jimmy Be-Pendleton!" gasped Pollyanna.
188_141613_000031_000001	Then, with some spirit: "Jamie isn't loony!	Then, with some spirit: "Jamie isn't loony!
188_141613_000031_000002	He is a very nice boy.	He is a very nice boy.
188_141613_000031_000003	And he knows a lot--books and stories!	And he knows a lot-books and stories!
188_141613_000031_000004	Why, he can MAKE stories right out of his own head! Besides, it isn't 'Lady Lancelot,'--it's 'Sir Lancelot.' If you knew half as much as he does you'd know that, too!" she finished, with flashing eyes.	Why, he can MAKE stories right out of his own head! Besides, it isn't 'Lady Lancelot,'--it's 'Sir Lancelot.' If you knew half as much as he does you'd know that, too!" she finished, with flashing eyes.
188_141613_000032_000000	Jimmy Pendleton flushed miserably and looked utterly wretched.	Jimmy Pendleton flushed miserably and looked utterly wretched.
188_141613_000032_000001	Growing more and more jealous moment by moment, still doggedly he held his ground.	Growing more and more jealous moment by moment, still doggedly he held his ground.
188_141613_000033_000002	And I know somebody else that said so, too."	And I know somebody else that said so, too."
188_141613_000034_000000	"Who was it?"	"Who was it?"
188_141613_000035_000000	There was no answer.	There was no answer.
188_141613_000038_000000	"Your--dad?" repeated Pollyanna, in amazement.	"Your-dad?" repeated Pollyanna, in amazement.
188_141613_000038_000001	"Why, how could he know Jamie?"	"Why, how could he know Jamie?"
188_141613_000039_000000	"He didn't. 'Twasn't about that Jamie. 'Twas about me." The boy still spoke sullenly, with his eyes turned away.	"He didn't. 'Twasn't about that Jamie. 'twas about me." The boy still spoke sullenly, with his eyes turned away.
188_141613_000039_000001	Yet there was a curious softness in his voice that was always noticeable whenever he spoke of his father.	Yet there was a curious softness in his voice that was always noticeable whenever he spoke of his father.
188_141613_000040_000000	"YOU!"	"YOU!"
188_141613_000041_000001	We stopped 'most a week with a farmer.	We stopped 'most a week with a farmer.
188_141613_000041_000002	Dad helped about the hayin'--and I did, too, some. The farmer's wife was awful good to me, and pretty quick she was callin' me 'Jamie.' I don't know why, but she just did.	Dad helped about the hayin'--and I did, too, some. The farmer's wife was awful good to me, and pretty quick she was callin' me 'Jamie.' I don't know why, but she just did.
188_141613_000041_000003	And one day father heard her.	And one day father heard her.
188_141613_000041_000004	He got awful mad--so mad that I remembered it always--what he said.	He got awful mad-so mad that I remembered it always-what he said.
188_141613_000041_000005	He said 'Jamie' wasn't no sort of a name for a boy, and that no son of his should ever be called it.	He said 'Jamie' wasn't no sort of a name for a boy, and that no son of his should ever be called it.
188_141613_000041_000006	He said 'twas a sissy name, and he hated it.	He said 'twas a sissy name, and he hated it.
188_141613_000041_000008	He wouldn't even stay to finish the work, but him and me took to the road again that night.	He wouldn't even stay to finish the work, but him and me took to the road again that night.
188_141613_000041_000009	I was kind of sorry, 'cause I liked her--the farmer's wife, I mean.	I was kind of sorry, 'cause I liked her-the farmer's wife, I mean.
188_141613_000041_000010	She was good to me."	She was good to me."
188_141613_000042_000000	Pollyanna nodded, all sympathy and interest.	Pollyanna nodded, all sympathy and interest.
188_141613_000042_000001	It was not often that Jimmy said much of that mysterious past life of his, before she had known him.	It was not often that Jimmy said much of that mysterious past life of his, before she had known him.
188_141613_000043_000000	"And what happened next?" she prompted.	"And what happened next?" she prompted.
188_141613_000043_000001	Pollyanna had, for the moment, forgotten all about the original subject of the controversy--the name "Jamie" that was dubbed "sissy."	Pollyanna had, for the moment, forgotten all about the original subject of the controversy-the name "Jamie" that was dubbed "sissy."
188_141613_000044_000000	The boy sighed.	The boy sighed.
188_141613_000045_000000	"We just went on till we found another place.	"We just went on till we found another place.
188_141613_000045_000001	And 'twas there dad--died.	And 'twas there dad-died.
188_141613_000045_000002	Then they put me in the 'sylum."	Then they put me in the 'sylum."
188_141613_000046_000000	"And then you ran away and I found you that day, down by Mrs. Snow's," exulted Pollyanna, softly.	"And then you ran away and I found you that day, down by mrs Snow's," exulted Pollyanna, softly.
188_141613_000046_000001	"And I've known you ever since."	"And I've known you ever since."
188_141613_000047_000000	"Oh, yes--and you've known me ever since," repeated Jimmy--but in a far different voice: Jimmy had suddenly come back to the present, and to his grievance.	"Oh, yes-and you've known me ever since," repeated Jimmy-but in a far different voice: Jimmy had suddenly come back to the present, and to his grievance.
188_141613_000047_000001	"But, then, I ain't 'JAMIE,' you know," he finished with scornful emphasis, as he turned loftily away, leaving a distressed, bewildered Pollyanna behind him.	"But, then, I ain't 'JAMIE,' you know," he finished with scornful emphasis, as he turned loftily away, leaving a distressed, bewildered Pollyanna behind him.
