335_125945_000000_000000	Line-Art Drawing	Line Art Drawing	false	6.39	8.19	21.134201
335_125945_000056_000003	And we can't leave the horse behind because the Pumpkinhead is so stiff in his Joints that he has to ride."	And we can't leave the horse behind because the Pumpkinhead is so stiff in his Joints that he has to ride."	true	535.875	541.14	17
335_125945_000057_000000	156	one hundred fifty six	false	541.14	542.16	-1
335_125945_000058_000000	"How very unfortunate!" cried the Woggle-Bug.	"How very unfortunate!" cried the Woggle Bug.	true	542.16	545.175	26.345798
335_125945_000058_000001	Then he looked the party over carefully and said:	Then he looked the party over carefully and said:	true	545.175	547.72	24.483894
335_125945_000059_000000	"If the Pumpkinhead is to ride, why not use one of his legs to make a leg for the horse that carries him?	"If the Pumpkinhead is to ride, why not use one of his legs to make a leg for the horse that carries him?	true	547.88	553.63	23.014896
335_125945_000059_000001	I judge that both are made of wood."	I judge that both are made of wood."	true	553.79	556.54	21.942612
335_125945_000060_000000	"Now, that is what I call real cleverness," said the Scarecrow, approvingly. "I wonder my brains did not think of that long ago!	"Now, that is what I call real cleverness," said the Scarecrow, approvingly. "I wonder my brains did not think of that long ago!	true	557.12	565.87	22.72374
335_125945_000060_000001	Get to work, my dear Nick, and fit the Pumpkinhead's leg to the Saw-Horse."	Get to work, my dear Nick, and fit the Pumpkinhead's leg to the Saw Horse."	true	566.12	570.07	26.408527
335_125945_000061_000000	Jack was not especially pleased with this idea; but he submitted to having his left leg amputated by the Tin Woodman and whittled down to fit the left leg of the Saw-Horse.	Jack was not especially pleased with this idea; but he submitted to having his left leg amputated by the Tin Woodman and whittled down to fit the left leg of the Saw Horse.	true	570.89	580.96	24.31337
335_125945_000061_000001	Nor was the Saw-Horse especially pleased with the operation, either; for he growled a good deal about being "butchered," as he called it, and afterward declared that the new leg was a disgrace to a respectable Saw-Horse.	Nor was the Saw Horse especially pleased with the operation, either; for he growled a good deal about being "butchered," as he called it, and afterward declared that the new leg was a disgrace to a respectable Saw Horse.	true	581.24	593.86	23.104097
335_125945_000062_000000	"I beg you to be more careful in your speech," said the Pumpkinhead, sharply.	"I beg you to be more careful in your speech," said the Pumpkinhead, sharply.	true	595.07	599.71	25.209812
335_125945_000062_000001	"Remember, if you please, that it is my leg you are abusing."	"Remember, if you please, that it is my leg you are abusing."	true	599.84	603.46	21
335_125945_000063_000000	"I cannot forget it," retorted the Saw-Horse, "for it is quite as flimsy as the rest of your person."	"I cannot forget it," retorted the Saw Horse, "for it is quite as flimsy as the rest of your person."	true	604.34	611.23	23.13132
335_125945_000064_000000	"Flimsy! me flimsy!" cried Jack, in a rage.	"Flimsy! me flimsy!" cried Jack, in a rage.	true	611.9	615.615	25.228075
335_125945_000064_000001	"How dare you call me flimsy?"	"How dare you call me flimsy?"	true	615.615	617.65	27.40234
335_125945_000065_000000	"Because you are built as absurdly as a jumping-	"Because you are built as absurdly as a jumping	true	618.68	621.51	21
335_125945_000066_000000	157 jack," sneered the horse, rolling his knotty eyes in a vicious manner.	one hundred fifty seven jack," sneered the horse, rolling his knotty eyes in a vicious manner.	false	621.51	624.94	21.511152
335_125945_000066_000001	"Even your head won't stay straight, and you never can tell whether you are looking backwards or forwards!"	"Even your head won't stay straight, and you never can tell whether you are looking backwards or forwards!"	true	625.1	631.33	25.275198
335_125945_000067_000000	"Friends, I entreat you not to quarrel!" pleaded the Tin Woodman, anxiously." As a matter of fact, we are none of us above criticism; so let us bear with each others' faults."	"Friends, I entreat you not to quarrel!" pleaded the Tin Woodman, anxiously." As a matter of fact, we are none of us above criticism; so let us bear with each others' faults."	true	633.35	643.48	24.49456
335_125945_000068_000000	"An excellent suggestion," said the Woggle-Bug, approvingly.	"An excellent suggestion," said the Woggle Bug, approvingly.	true	644.39	647.92	23.263311
335_125945_000068_000001	"You must have an excellent heart, my metallic friend."	"You must have an excellent heart, my metallic friend."	true	648.08	650.77	24.098045
335_125945_000069_000000	"I have," returned Nick, well pleased.	"I have," returned Nick, well pleased.	true	651.41	654.36	24.48278
335_125945_000069_000001	"My heart is quite the best part of me.	"My heart is quite the best part of me.	true	654.36	656.16	24.596601
335_125945_000069_000002	But now let us start upon our Journey.	But now let us start upon our Journey.	false	656.16	680.01	22.660543
