639_124526_000002_000000	CHAPTER XIII	CHAPTER thirteen
639_124526_000037_000006	At least, I am making you talk!	At least, I am making you talk!
639_124526_000039_000000	"Would you have a fireplace for me?"	"Would you have a fireplace for me?"
639_124526_000040_000003	How old are you, Carol?"	How old are you, Carol?"
639_124526_000041_000000	"Twenty-six, Guy."	"Twenty six, Guy."
639_124526_000042_000008	There's one thing that's the matter with Gopher Prairie, at least with the ruling-class (there is a ruling-class, despite all our professions of democracy). And the penalty we tribal rulers pay is that our subjects watch us every minute.	There's one thing that's the matter with Gopher Prairie, at least with the ruling class (there is a ruling class, despite all our professions of democracy). And the penalty we tribal rulers pay is that our subjects watch us every minute.
639_124526_000042_000013	The widows themselves demand it!	The widows themselves demand it!
639_124526_000042_000016	Suppose I did dare to make love to--some exquisite married woman. I wouldn't admit it to myself.	Suppose I did dare to make love to-some exquisite married woman. I wouldn't admit it to myself.
639_124526_000042_000018	I'm broken.	I'm broken.
639_124526_000043_000000	"Guy!	"Guy!
639_124526_000043_000002	Really?"	Really?"
639_124526_000047_000000	"Oh, maybe once or twice, when Will has positively known of a case where Doctor--where one of the others has continued to call on patients longer than necessary, he has laughed about it, but----"	"Oh, maybe once or twice, when Will has positively known of a case where Doctor-where one of the others has continued to call on patients longer than necessary, he has laughed about it, but----"
639_124526_000049_000000	"No, REALLY!	"No, REALLY!
639_124526_000049_000003	But her mother, Mrs. Westlake--nobody could be sweeter."	But her mother, mrs Westlake-nobody could be sweeter."
639_124526_000050_000000	"Yes, I'm sure she's very bland.	"Yes, I'm sure she's very bland.
639_124526_000051_000000	"I won't be cajoled!	"I won't be cajoled!
639_124526_000055_000001	His elbow brushed her shoulder.	His elbow brushed her shoulder.
639_124526_000055_000002	He flitted over to the desk-chair, his thin back stooped.	He flitted over to the desk chair, his thin back stooped.
639_124526_000055_000003	He picked up the cloisonne vase. Across it he peered at her with such loneliness that she was startled. But his eyes faded into impersonality as he talked of the jealousies of Gopher Prairie.	He picked up the cloisonne vase. Across it he peered at her with such loneliness that she was startled. But his eyes faded into impersonality as he talked of the jealousies of Gopher Prairie.
639_124526_000055_000004	He stopped himself with a sharp, "Good Lord, Carol, you're not a jury.	He stopped himself with a sharp, "Good Lord, Carol, you're not a jury.
639_124526_000055_000007	Tell me your side.	Tell me your side.
639_124526_000055_000008	What is Gopher Prairie to you?"	What is Gopher Prairie to you?"
639_124526_000056_000000	"A bore!"	"A bore!"
639_124526_000058_000000	"How could you?"	"How could you?"
639_124526_000059_000000	"I don't know.	"I don't know.
639_124526_000063_000002	It's like blood on the wing of a humming-bird."	It's like blood on the wing of a humming bird."
639_124526_000064_000000	"I'm not a humming-bird.	"I'm not a humming bird.
639_124526_000065_000000	"Please stay and have some coffee with me."	"Please stay and have some coffee with me."
639_124526_000066_000000	"I'd like to.	"I'd like to.
639_124526_000066_000002	I'm afraid of what people might say."	I'm afraid of what people might say."
639_124526_000067_000002	"Carol!	"Carol!
639_124526_000070_000000	"Yes.	"Yes.
639_124526_000070_000002	He's a dentist, just come to town.	He's a dentist, just come to town.
639_124526_000070_000004	They don't know much of anybody----"	They don't know much of anybody----"
639_124526_000071_000001	And I've never thought to call.	And I've never thought to call.
639_124526_000072_000003	He slipped out, came back with Dr. and Mrs. Dillon.	He slipped out, came back with dr and mrs Dillon.
