2920_156224_000001_000000	Some Grave Talk In Gay Company	Some Grave Talk In Gay Company
2920_156224_000031_000001	It will set a good example to the neighbourhood," said Jane.	It will set a good example to the neighbourhood," said Jane.
2920_156224_000032_000000	"And, after all, it will not cost me more to build these cottages, and make thirty families more comfortable and more self-respecting, than it would to enlarge Cross Hall, as Mr. Chalmers advises me strongly to do--by building a new wing and adding a conservatory in the place of your modest little greenhouse.	"And, after all, it will not cost me more to build these cottages, and make thirty families more comfortable and more self respecting, than it would to enlarge Cross Hall, as mr Chalmers advises me strongly to do-by building a new wing and adding a conservatory in the place of your modest little greenhouse.
2920_156224_000032_000003	Our picked men, and many of our picked women, emigrate to America and Australia.	Our picked men, and many of our picked women, emigrate to America and Australia.
2920_156224_000032_000005	I confess that if I were in their place I should do the same; but let my experiment succeed, it may be imitated."	I confess that if I were in their place I should do the same; but let my experiment succeed, it may be imitated."
2920_156224_000033_000001	I will watch the result with the greatest interest.	I will watch the result with the greatest interest.
2920_156224_000033_000002	You know nothing could give me greater pleasure than your success in such a noble work," said Jane, with sparkling eyes.	You know nothing could give me greater pleasure than your success in such a noble work," said Jane, with sparkling eyes.
2920_156224_000037_000002	For myself, I think just as highly of my own abilities and acquirements as ever I did.	For myself, I think just as highly of my own abilities and acquirements as ever I did.
2920_156224_000037_000003	I am sorry that your minister has left his church, for I hoped to become acquainted with him; and he looked so cheerful that I thought he might do Elsie good. This new clergyman does not strike me as being so genial or kindly, though I certainly like his sermons and his devotional services very much.	I am sorry that your minister has left his church, for I hoped to become acquainted with him; and he looked so cheerful that I thought he might do Elsie good. This new clergyman does not strike me as being so genial or kindly, though I certainly like his sermons and his devotional services very much.
2920_156224_000038_000000	"Can you not place your sister in the same care?" asked Francis.	"Can you not place your sister in the same care?" asked Francis.
2920_156224_000041_000000	"How did our friends get acquainted with Mr. Dalzell?" said Jane.	"How did our friends get acquainted with mr Dalzell?" said Jane.
2920_156224_000043_000001	Mr. Dalzell, I forgot you."	mr Dalzell, I forgot you."
2920_156224_000045_000002	Miss Wilson was ward of Mrs. Rennie's, as Jane had heard, a West Indian heiress, somewhat stupid, and very much impressed with her own wealth and importance.	Miss Wilson was ward of mrs Rennie's, as Jane had heard, a West Indian heiress, somewhat stupid, and very much impressed with her own wealth and importance.
2920_156224_000045_000004	She had just left school, having made all the progress which money without natural ability or any of the usual incentives to application could attain, and was to live at the Rennies', which she thought a very dull place.	She had just left school, having made all the progress which money without natural ability or any of the usual incentives to application could attain, and was to live at the Rennies', which she thought a very dull place.
2920_156224_000046_000000	"Now," said Miss Rennie, "I have done my best for Mr. Dalzell.	"Now," said Miss Rennie, "I have done my best for mr Dalzell.
2920_156224_000046_000001	I must attend to my other stranger before I fulfil my engagement to you, Mr. Hogarth, and I hope you will excuse me, when it is to get a partner for Alice.	I must attend to my other stranger before I fulfil my engagement to you, mr Hogarth, and I hope you will excuse me, when it is to get a partner for Alice.
2920_156224_000046_000002	Miss Melville, I suppose, does not care about dancing, she is so dreadfully matter-of-fact.	Miss Melville, I suppose, does not care about dancing, she is so dreadfully matter of fact.
