637_127597_000001_000000	CHAPTER THIRTY-THREE	CHAPTER THIRTY THREE
637_127597_000010_000001	This passage, for no conceivable reason that I could devise, was always closed after the household had retired to rest, by drawing a heavy slide across it, composed of a dozen or more bits of wood, ingeniously fastened together by seizings of sinnate.	This passage, for no conceivable reason that I could devise, was always closed after the household had retired to rest, by drawing a heavy slide across it, composed of a dozen or more bits of wood, ingeniously fastened together by seizings of sinnate.
637_127597_000010_000002	When any of the inmates chose to go outside, the noise occasioned by the removing of this rude door awakened every body else; and on more than one occasion I had remarked that the islanders were nearly as irritable as more civilized beings under similar circumstances.	When any of the inmates chose to go outside, the noise occasioned by the removing of this rude door awakened every body else; and on more than one occasion I had remarked that the islanders were nearly as irritable as more civilized beings under similar circumstances.
637_127597_000011_000000	The difficulty thus placed in my way I, determined to obviate in the following manner.	The difficulty thus placed in my way I, determined to obviate in the following manner.
637_127597_000011_000002	On re-entering I would purposely omit closing the passage after me, and trusting that the indolence of the savages would prevent them from repairing my neglect, would return to my mat, and waiting patiently until all were again asleep, I would then steal forth, and at once take the route to Pueearka.	On re entering I would purposely omit closing the passage after me, and trusting that the indolence of the savages would prevent them from repairing my neglect, would return to my mat, and waiting patiently until all were again asleep, I would then steal forth, and at once take the route to Pueearka.
637_127597_000012_000000	The very night which followed Marnoo's departure, I proceeded to put this project into execution.	The very night which followed Marnoo's departure, I proceeded to put this project into execution.
637_127597_000012_000001	About midnight, as I imagined, I arose and drew the slide.	About midnight, as I imagined, I arose and drew the slide.
637_127597_000012_000003	On hearing my reply they sank back again, and in a minute or two I returned to my mat, anxiously awaiting the result of the experiment.	On hearing my reply they sank back again, and in a minute or two I returned to my mat, anxiously awaiting the result of the experiment.
637_127597_000013_000001	This was a sad blow to me; but as it might have aroused the suspicions of the islanders to have made another attempt that night, I was reluctantly obliged to defer it until the next.	This was a sad blow to me; but as it might have aroused the suspicions of the islanders to have made another attempt that night, I was reluctantly obliged to defer it until the next.
637_127597_000013_000002	Several times after I repeated the same manoeuvre, but with as little success as before. As my pretence for withdrawing from the house was to allay my thirst, Kory-Kory either suspecting some design on my part, or else prompted by a desire to please me, regularly every evening placed a calabash of water by my side.	Several times after I repeated the same manoeuvre, but with as little success as before. As my pretence for withdrawing from the house was to allay my thirst, Kory Kory either suspecting some design on my part, or else prompted by a desire to please me, regularly every evening placed a calabash of water by my side.
637_127597_000014_000001	For the present, therefore, I was obliged to abandon the attempt; but I endeavoured to console myself with the idea that by this mode I might yet effect my escape.	For the present, therefore, I was obliged to abandon the attempt; but I endeavoured to console myself with the idea that by this mode I might yet effect my escape.
637_127597_000015_000000	Shortly after Marnoo's visit I was reduced to such a state that it was with extreme difficulty I could walk, even with the assistance of a spear, and Kory-Kory, as formerly, was obliged to carry me daily to the stream.	Shortly after Marnoo's visit I was reduced to such a state that it was with extreme difficulty I could walk, even with the assistance of a spear, and Kory Kory, as formerly, was obliged to carry me daily to the stream.
637_127597_000017_000001	At my request my mats were always spread directly facing the door, opposite which, and at a little distance, was the hut of boughs that Marheyo was building.	At my request my mats were always spread directly facing the door, opposite which, and at a little distance, was the hut of boughs that Marheyo was building.
637_127597_000018_000000	Whenever my gentle Fayaway and Kory-Kory, laying themselves down beside me, would leave me awhile to uninterrupted repose, I took a strange interest in the slightest movements of the eccentric old warrior.	Whenever my gentle Fayaway and Kory Kory, laying themselves down beside me, would leave me awhile to uninterrupted repose, I took a strange interest in the slightest movements of the eccentric old warrior.
637_127597_000018_000001	All alone during the stillness of the tropical mid-day, he would pursue his quiet work, sitting in the shade and weaving together the leaflets of his cocoanut branches, or rolling upon his knee the twisted fibres of bark to form the cords with which he tied together the thatching of his tiny house.	All alone during the stillness of the tropical mid day, he would pursue his quiet work, sitting in the shade and weaving together the leaflets of his cocoanut branches, or rolling upon his knee the twisted fibres of bark to form the cords with which he tied together the thatching of his tiny house.
637_127597_000019_000002	It is strange how inanimate objects will twine themselves into our affections, especially in the hour of affliction.	It is strange how inanimate objects will twine themselves into our affections, especially in the hour of affliction.
637_127597_000019_000003	Even now, amidst all the bustle and stir of the proud and busy city in which I am dwelling, the image of those three trees seems to come as vividly before my eyes as if they were actually present, and I still feel the soothing quiet pleasure which I then had in watching hour after hour their topmost boughs waving gracefully in the breeze.	Even now, amidst all the bustle and stir of the proud and busy city in which I am dwelling, the image of those three trees seems to come as vividly before my eyes as if they were actually present, and I still feel the soothing quiet pleasure which I then had in watching hour after hour their topmost boughs waving gracefully in the breeze.
