637_127597_000000_000000	One only hope remained to me.	One only hope remained to me.	false	0	1.23	-20
637_127597_000011_000002	On re-entering I would purposely omit closing the passage after me, and trusting that the indolence of the savages would prevent them from repairing my neglect, would return to my mat, and waiting patiently until all were again asleep, I would then steal forth, and at once take the route to Pueearka.	On re entering I would purposely omit closing the passage after me, and trusting that the indolence of the savages would prevent them from repairing my neglect, would return to my mat, and waiting patiently until all were again asleep, I would then steal forth, and at once take the route to Pueearka.	true	396.15	414.67	23.693413
637_127597_000012_000000	The very night which followed Marnoo's departure, I proceeded to put this project into execution.	The very night which followed Marnoo's departure, I proceeded to put this project into execution.	true	416.6	421.84	25.399403
637_127597_000012_000001	About midnight, as I imagined, I arose and drew the slide.	About midnight, as I imagined, I arose and drew the slide.	true	422.45	426.55	21.943867
637_127597_000012_000002	The natives, just as I had expected, started up, while some of them asked, 'Arware poo awa, Tommo?' (where are you going, Tommo?) 'Wai' (water) I laconically answered, grasping the calabash.	The natives, just as I had expected, started up, while some of them asked, 'Arware poo awa, Tommo?' (where are you going, Tommo?) 'Wai' (water) I laconically answered, grasping the calabash.	false	426.98	440.83	24.792633
637_127597_000012_000003	On hearing my reply they sank back again, and in a minute or two I returned to my mat, anxiously awaiting the result of the experiment.	On hearing my reply they sank back again, and in a minute or two I returned to my mat, anxiously awaiting the result of the experiment.	true	441.74	450.04	22.433588
637_127597_000013_000000	One after another the savages, turning restlessly, appeared to resume their slumbers, and rejoicing at the stillness which prevailed, I was about to rise again from my couch, when I heard a slight rustling--a dark form was intercepted between me and the doorway--the slide was drawn across it, and the individual, whoever he was, returned to his mat.	One after another the savages, turning restlessly, appeared to resume their slumbers, and rejoicing at the stillness which prevailed, I was about to rise again from my couch, when I heard a slight rustling-a dark form was intercepted between me and the doorway-the slide was drawn across it, and the individual, whoever he was, returned to his mat.	false	451.67	473.94	21.512785
637_127597_000013_000001	This was a sad blow to me; but as it might have aroused the suspicions of the islanders to have made another attempt that night, I was reluctantly obliged to defer it until the next.	This was a sad blow to me; but as it might have aroused the suspicions of the islanders to have made another attempt that night, I was reluctantly obliged to defer it until the next.	true	473.94	484.66	22.431978
637_127597_000013_000002	Several times after I repeated the same manoeuvre, but with as little success as before. As my pretence for withdrawing from the house was to allay my thirst, Kory-Kory either suspecting some design on my part, or else prompted by a desire to please me, regularly every evening placed a calabash of water by my side.	Several times after I repeated the same manoeuvre, but with as little success as before. As my pretence for withdrawing from the house was to allay my thirst, Kory Kory either suspecting some design on my part, or else prompted by a desire to please me, regularly every evening placed a calabash of water by my side.	true	485.27	505.54	22.29062
637_127597_000014_000000	Even, under these inauspicious circumstances I again and again renewed the attempt, but when I did so, my valet always rose with me, as if determined I should not remove myself from his observation.	Even, under these inauspicious circumstances I again and again renewed the attempt, but when I did so, my valet always rose with me, as if determined I should not remove myself from his observation.	true	507.26	519.25	19.250593
637_127597_000014_000001	For the present, therefore, I was obliged to abandon the attempt; but I endeavoured to console myself with the idea that by this mode I might yet effect my escape.	For the present, therefore, I was obliged to abandon the attempt; but I endeavoured to console myself with the idea that by this mode I might yet effect my escape.	true	520.04	532.065	20.4432
637_127597_000015_000000	Shortly after Marnoo's visit I was reduced to such a state that it was with extreme difficulty I could walk, even with the assistance of a spear, and Kory-Kory, as formerly, was obliged to carry me daily to the stream.	Shortly after Marnoo's visit I was reduced to such a state that it was with extreme difficulty I could walk, even with the assistance of a spear, and Kory Kory, as formerly, was obliged to carry me daily to the stream.	true	532.065	546.49	23.702324
637_127597_000016_000000	For hours and hours during the warmest part of the day I lay upon my mat, and while those around me were nearly all dozing away in careless ease, I remained awake, gloomily pondering over the fate which it appeared now idle for me to resist, when I thought of the loved friends who were thousands and thousands of miles from the savage island in which I was held a captive, when I reflected that my dreadful fate would for ever be concealed from them, and that with hope deferred they might continue to await my return long after my inanimate form had blended with the dust of the valley--I could not repress a shudder of anguish.	For hours and hours during the warmest part of the day I lay upon my mat, and while those around me were nearly all dozing away in careless ease, I remained awake, gloomily pondering over the fate which it appeared now idle for me to resist, when I thought of the loved friends who were thousands and thousands of miles from the savage island in which I was held a captive, when I reflected that my dreadful fate would for ever be concealed from them, and that with hope deferred they might continue to await my return long after my inanimate form had blended with the dust of the valley-I could not repress a shudder of anguish.	true	547.67	588.37	22.286121
637_127597_000017_000000	How vividly is impressed upon my mind every minute feature of the scene which met my view during those long days of suffering and sorrow.	How vividly is impressed upon my mind every minute feature of the scene which met my view during those long days of suffering and sorrow.	true	589.13	597.49	19
637_127597_000017_000001	At my request my mats were always spread directly facing the door, opposite which, and at a little distance, was the hut of boughs that Marheyo was building.	At my request my mats were always spread directly facing the door, opposite which, and at a little distance, was the hut of boughs that Marheyo was building.	true	598.19	608.56	23.558472
637_127597_000018_000000	Whenever my gentle Fayaway and Kory-Kory, laying themselves down beside me, would leave me awhile to uninterrupted repose, I took a strange interest in the slightest movements of the eccentric old warrior.	Whenever my gentle Fayaway and Kory Kory, laying themselves down beside me, would leave me awhile to uninterrupted repose, I took a strange interest in the slightest movements of the eccentric old warrior.	true	609.83	623.11	21.45019
637_127597_000018_000001	All alone during the stillness of the tropical mid-day, he would pursue his quiet work, sitting in the shade and weaving together the leaflets of his cocoanut branches, or rolling upon his knee the twisted fibres of bark to form the cords with which he tied together the thatching of his tiny house.	All alone during the stillness of the tropical mid day, he would pursue his quiet work, sitting in the shade and weaving together the leaflets of his cocoanut branches, or rolling upon his knee the twisted fibres of bark to form the cords with which he tied together the thatching of his tiny house.	true	623.87	641.41	21.806465
637_127597_000018_000002	Frequently suspending his employment, and noticing my melancholy eye fixed upon him, he would raise his hand with a gesture expressive of deep commiseration, and then moving towards me slowly, would enter on tip-toes, fearful of disturbing the slumbering natives, and, taking the fan from my hand, would sit before me, swaying it gently to and fro, and gazing earnestly into my face.	Frequently suspending his employment, and noticing my melancholy eye fixed upon him, he would raise his hand with a gesture expressive of deep commiseration, and then moving towards me slowly, would enter on tip toes, fearful of disturbing the slumbering natives, and, taking the fan from my hand, would sit before me, swaying it gently to and fro, and gazing earnestly into my face.	false	642.23	667.63	22.044315
637_127597_000019_000000	Just beyond the pi-pi, and disposed in a triangle before the entrance of the house, were three magnificent bread-fruit trees.	Just beyond the pi pi, and disposed in a triangle before the entrance of the house, were three magnificent bread fruit trees.	false	669.86	678.22	24.138319
637_127597_000019_000001	At this moment I can recap to my mind their slender shafts, and the graceful inequalities of their bark, on which my eye was accustomed to dwell day after day in the midst of my solitary musings.	At this moment I can recap to my mind their slender shafts, and the graceful inequalities of their bark, on which my eye was accustomed to dwell day after day in the midst of my solitary musings.	false	679.01	691.45	21.59833
637_127597_000019_000002	It is strange how inanimate objects will twine themselves into our affections, especially in the hour of affliction.	It is strange how inanimate objects will twine themselves into our affections, especially in the hour of affliction.	true	692.54	699.55	20.489958
637_127597_000019_000003	Even now, amidst all the bustle and stir of the proud and busy city in which I am dwelling, the image of those three trees seems to come as vividly before my eyes as if they were actually present, and I still feel the soothing quiet pleasure which I then had in watching hour after hour their topmost boughs waving gracefully in the breeze.	Even now, amidst all the bustle and stir of the proud and busy city in which I am dwelling, the image of those three trees seems to come as vividly before my eyes as if they were actually present, and I still feel the soothing quiet pleasure which I then had in watching hour after hour their topmost boughs waving gracefully in the breeze.	true	700.46	723.87	21.341557
