708_129393_000000_000000	Farquharson Harris	Farquharson Harris	false	10.23	19.77	23.949038
708_129393_000006_000004	The editor of _The American_, a newspaper in New York City, has a memory that goes back to the time when he was a rascal, but not to the fact.	The editor of underscore The American underscore, a newspaper in New York City, has a memory that goes back to the time when he was a rascal, but not to the fact.	false	123.77	132.39	20
708_129393_000006_000005	The President of the United States was born so long ago that many of the friends of his youth have risen to high political and military preferment without the assistance of personal merit.	The President of the United States was born so long ago that many of the friends of his youth have risen to high political and military preferment without the assistance of personal merit.	true	132.39	143.92	15
708_129393_000006_000006	The verses following were written by a macrobian:	The verses following were written by a macrobian:	true	144.17	147.13	17
708_129393_000007_000000	When I was young the world was fair And amiable and sunny. A brightness was in all the air, In all the waters, honey. The jokes were fine and funny, The statesmen honest in their views, And in their lives, as well, And when you heard a bit of news 'Twas true enough to tell. Men were not ranting, shouting, reeking, Nor women "generally speaking."	When I was young the world was fair And amiable and sunny. A brightness was in all the air, In all the waters, honey. The jokes were fine and funny, The statesmen honest in their views, And in their lives, as well, And when you heard a bit of news 'twas true enough to tell. Men were not ranting, shouting, reeking, Nor women "generally speaking."	true	147.68	170.83	16
708_129393_000008_000000	The Summer then was long indeed: It lasted one whole season! The sparkling Winter gave no heed When ordered by Unreason To bring the early peas on. Now, where the dickens is the sense In calling that a year Which does no more than just commence Before the end is near? When I was young the year extended From month to month until it ended. I know not why the world has changed To something dark and dreary, And everything is now arranged To make a fellow weary. The Weather Man--I fear he Has much to do with it, for, sure, The air is not the same: It chokes you when it is impure, When pure it makes you lame. With windows closed you are asthmatic; Open, neuralgic or sciatic.	The Summer then was long indeed: It lasted one whole season! The sparkling Winter gave no heed When ordered by Unreason To bring the early peas on. Now, where the dickens is the sense In calling that a year Which does no more than just commence Before the end is near? When I was young the year extended From month to month until it ended. I know not why the world has changed To something dark and dreary, And everything is now arranged To make a fellow weary. The Weather Man-I fear he Has much to do with it, for, sure, The air is not the same: It chokes you when it is impure, When pure it makes you lame. With windows closed you are asthmatic; Open, neuralgic or sciatic.	false	171.26	220.42	17
708_129393_000009_000000	Well, I suppose this new regime Of dun degeneration Seems eviler than it would seem To a better observation, And has for compensation Some blessings in a deep disguise Which mortal sight has failed To pierce, although to angels' eyes They're visible unveiled. If Age is such a boon, good land! He's costumed by a master hand!	Well, I suppose this new regime Of dun degeneration Seems eviler than it would seem To a better observation, And has for compensation Some blessings in a deep disguise Which mortal sight has failed To pierce, although to angels' eyes They're visible unveiled. If Age is such a boon, good land! He's costumed by a master hand!	false	221.06	245.49	14
708_129393_000010_000000	Venable Strigg	Venable Strigg	true	245.49	247.36	18
708_129393_000011_000000	MAD, adj.	MAD, adj.	false	248.66	251.28	25.941313
708_129393_000011_000001	Affected with a high degree of intellectual independence; not conforming to standards of thought, speech and action derived by the conformants from study of themselves; at odds with the majority; in short, unusual.	Affected with a high degree of intellectual independence; not conforming to standards of thought, speech and action derived by the conformants from study of themselves; at odds with the majority; in short, unusual.	false	251.28	266.41	17
708_129393_000011_000002	It is noteworthy that persons are pronounced mad by officials destitute of evidence that themselves are sane.	It is noteworthy that persons are pronounced mad by officials destitute of evidence that themselves are sane.	false	266.81	274.09	16
708_129393_000011_000003	For illustration, this present (and illustrious) lexicographer is no firmer in the faith of his own sanity than is any inmate of any madhouse in the land; yet for aught he knows to the contrary, instead of the lofty occupation that seems to him to be engaging his powers he may really be beating his hands against the window bars of an asylum and declaring himself Noah Webster, to the innocent delight of many thoughtless spectators.	For illustration, this present (and illustrious) lexicographer is no firmer in the faith of his own sanity than is any inmate of any madhouse in the land; yet for aught he knows to the contrary, instead of the lofty occupation that seems to him to be engaging his powers he may really be beating his hands against the window bars of an asylum and declaring himself Noah Webster, to the innocent delight of many thoughtless spectators.	true	274.28	302.95	16
708_129393_000012_000000	MAGDALENE, n.	MAGDALENE, n.	false	304.7	306.66	22.484734
708_129393_000012_000001	An inhabitant of Magdala.	An inhabitant of Magdala.	false	306.66	308.44	18
708_129393_000012_000002	Popularly, a woman found out.	Popularly, a woman found out.	true	308.6	310.84	20.246132
708_129393_000012_000003	This definition of the word has the authority of ignorance, Mary of Magdala being another person than the penitent woman mentioned by St. Luke.	This definition of the word has the authority of ignorance, Mary of Magdala being another person than the penitent woman mentioned by saint Luke.	true	311.54	320.86	17
708_129393_000012_000004	It has also the official sanction of the governments of Great Britain and the United States.	It has also the official sanction of the governments of Great Britain and the United States.	false	321.05	325.93	18
708_129393_000012_000005	In England the word is pronounced Maudlin, whence maudlin, adjective, unpleasantly sentimental.	In England the word is pronounced Maudlin, whence maudlin, adjective, unpleasantly sentimental.	true	326	332.89	20
708_129393_000012_000006	With their Maudlin for Magdalene, and their Bedlam for Bethlehem, the English may justly boast themselves the greatest of revisers.	With their Maudlin for Magdalene, and their Bedlam for Bethlehem, the English may justly boast themselves the greatest of revisers.	true	333.29	341.92	18
708_129393_000013_000000	MAGIC, n.	MAGIC, n.	false	343.25	345.84	21.161985
708_129393_000013_000001	An art of converting superstition into coin.	An art of converting superstition into coin.	true	345.84	348.85	17
708_129393_000013_000002	There are other arts serving the same high purpose, but the discreet lexicographer does not name them.	There are other arts serving the same high purpose, but the discreet lexicographer does not name them.	true	349.04	355.36	20.68938
708_129393_000014_000000	MAGNET, n.	MAGNET, n.	false	356.54	358.59	24.284332
708_129393_000014_000001	Something acted upon by magnetism.	Something acted upon by magnetism.	true	358.59	361.15	21.498497
708_129393_000015_000000	MAGNETISM, n.	MAGNETISM, n.	false	361.64	363.99	22.822212
708_129393_000015_000001	Something acting upon a magnet.	Something acting upon a magnet.	true	363.99	366.37	20
708_129393_000016_000000	The two definitions immediately foregoing are condensed from the works of one thousand eminent scientists, who have illuminated the subject with a great white light, to the inexpressible advancement of human knowledge.	The two definitions immediately foregoing are condensed from the works of one thousand eminent scientists, who have illuminated the subject with a great white light, to the inexpressible advancement of human knowledge.	true	366.77	379.66	16
708_129393_000017_000000	MAGNIFICENT, adj.	MAGNIFICENT, adj.	false	381.32	384.24	20.548405
708_129393_000017_000001	Having a grandeur or splendor superior to that to which the spectator is accustomed, as the ears of an ass, to a rabbit, or the glory of a glowworm, to a maggot.	Having a grandeur or splendor superior to that to which the spectator is accustomed, as the ears of an ass, to a rabbit, or the glory of a glowworm, to a maggot.	false	384.24	395.38	20
708_129393_000018_000000	MAGNITUDE, n.	MAGNITUDE, n.	false	397.01	399.9	22.185785
708_129393_000018_000001	Size.	Size.	true	399.9	400.9	19.076916
708_129393_000018_000002	Magnitude being purely relative, nothing is large and nothing small.	Magnitude being purely relative, nothing is large and nothing small.	false	401.81	406.54	16
708_129393_000018_000003	If everything in the universe were increased in bulk one thousand diameters nothing would be any larger than it was before, but if one thing remain unchanged all the others would be larger than they had been.	If everything in the universe were increased in bulk one thousand diameters nothing would be any larger than it was before, but if one thing remain unchanged all the others would be larger than they had been.	true	406.67	418.6	14
708_129393_000018_000004	To an understanding familiar with the relativity of magnitude and distance the spaces and masses of the astronomer would be no more impressive than those of the microscopist. For anything we know to the contrary, the visible universe may be a small part of an atom, with its component ions, floating in the life-fluid (luminiferous ether) of some animal.	To an understanding familiar with the relativity of magnitude and distance the spaces and masses of the astronomer would be no more impressive than those of the microscopist. For anything we know to the contrary, the visible universe may be a small part of an atom, with its component ions, floating in the life fluid (luminiferous ether) of some animal.	true	418.67	441.97	16
708_129393_000018_000005	Possibly the wee creatures peopling the corpuscles of our own blood are overcome with the proper emotion when contemplating the unthinkable distance from one of these to another.	Possibly the wee creatures peopling the corpuscles of our own blood are overcome with the proper emotion when contemplating the unthinkable distance from one of these to another.	false	442.13	453.04	16
708_129393_000019_000000	MAGPIE, n.	MAGPIE, n.	false	453.89	456.63	21.407265
708_129393_000019_000001	A bird whose thievish disposition suggested to someone that it might be taught to talk.	A bird whose thievish disposition suggested to someone that it might be taught to talk.	true	456.63	462.46	20
708_129393_000020_000000	MAIDEN, n.	MAIDEN, n.	false	464.18	466.2	20.396912
708_129393_000020_000001	A young person of the unfair sex addicted to clewless conduct and views that madden to crime.	A young person of the unfair sex addicted to clewless conduct and views that madden to crime.	false	466.2	473.35	17
708_129393_000020_000002	The genus has a wide geographical distribution, being found wherever sought and deplored wherever found.	The genus has a wide geographical distribution, being found wherever sought and deplored wherever found.	true	473.54	480.85	17
708_129393_000020_000003	The maiden is not altogether unpleasing to the eye, nor (without her piano and her views) insupportable to the ear, though in respect to comeliness distinctly inferior to the rainbow, and, with regard to the part of her that is audible, bleating out of the field by the canary--which, also, is more portable.	The maiden is not altogether unpleasing to the eye, nor (without her piano and her views) insupportable to the ear, though in respect to comeliness distinctly inferior to the rainbow, and, with regard to the part of her that is audible, bleating out of the field by the canary-which, also, is more portable.	false	481.61	502.36	20
708_129393_000021_000000	A lovelorn maiden she sat and sang-- This quaint, sweet song sang she; "It's O for a youth with a football bang And a muscle fair to see! The Captain he Of a team to be! On the gridiron he shall shine, A monarch by right divine, And never to roast on it--me!"	A lovelorn maiden she sat and sang- This quaint, sweet song sang she; "It's O for a youth with a football bang And a muscle fair to see! The Captain he Of a team to be! On the gridiron he shall shine, A monarch by right divine, And never to roast on it-me!"	false	502.55	523.62	18.803137
708_129393_000022_000000	Opoline Jones	Opoline Jones	true	523.62	525.34	20.653639
708_129393_000023_000000	MAJESTY, n.	MAJESTY, n.	false	527.3	529.89	21.95555
708_129393_000023_000001	The state and title of a king.	The state and title of a king.	true	529.89	531.915	20
708_129393_000023_000002	Regarded with a just contempt by the Most Eminent Grand Masters, Grand Chancellors, Great Incohonees and Imperial Potentates of the ancient and honorable orders of republican America.	Regarded with a just contempt by the Most Eminent Grand Masters, Grand Chancellors, Great Incohonees and Imperial Potentates of the ancient and honorable orders of republican America.	true	531.915	546.16	18
708_129393_000024_000000	MALE, n.	MALE, n.	false	547.82	550.44	23.595512
708_129393_000024_000001	A member of the unconsidered, or negligible sex.	A member of the unconsidered, or negligible sex.	true	550.44	554.11	19
708_129393_000024_000002	The male of the human race is commonly known (to the female) as Mere Man.	The male of the human race is commonly known (to the female) as Mere Man.	false	554.36	559.98	21.874067
708_129393_000024_000003	The genus has two varieties: good providers and bad providers.	The genus has two varieties: good providers and bad providers.	true	559.98	565.69	20.452196
708_129393_000025_000000	MALEFACTOR, n.	MALEFACTOR, n.	false	566.69	569.43	22.208275
708_129393_000025_000001	The chief factor in the progress of the human race.	The chief factor in the progress of the human race.	true	569.43	572.44	17
708_129393_000026_000000	MALTHUSIAN, adj.	MALTHUSIAN, adj.	false	574.61	577.32	21.629862
708_129393_000026_000001	Pertaining to Malthus and his doctrines.	Pertaining to Malthus and his doctrines.	true	577.32	580	19
708_129393_000026_000002	Malthus believed in artificially limiting population, but found that it could not be done by talking.	Malthus believed in artificially limiting population, but found that it could not be done by talking.	true	580.34	586.5	19
708_129393_000026_000003	One of the most practical exponents of the Malthusian idea was Herod of Judea, though all the famous soldiers have been of the same way of thinking.	One of the most practical exponents of the Malthusian idea was Herod of Judea, though all the famous soldiers have been of the same way of thinking.	true	586.5	595.54	17
708_129393_000027_000000	MAMMALIA, n.pl.	MAMMALIA, n dot p l.	false	598.73	602.16	21.417955
708_129393_000027_000001	A family of vertebrate animals whose females in a state of nature suckle their young, but when civilized and enlightened put them out to nurse, or use the bottle.	A family of vertebrate animals whose females in a state of nature suckle their young, but when civilized and enlightened put them out to nurse, or use the bottle.	true	602.16	612.13	15
708_129393_000028_000000	MAMMON, n.	MAMMON, n.	false	613.4	615.99	21.994213
708_129393_000028_000001	The god of the world's leading religion.	The god of the world's leading religion.	true	615.99	618.18	16
708_129393_000028_000002	The chief temple is in the holy city of New York.	The chief temple is in the holy city of New York.	false	618.18	621.88	20
708_129393_000029_000000	He swore that all other religions were gammon, And wore out his knees in the worship of Mammon.	He swore that all other religions were gammon, And wore out his knees in the worship of Mammon.	false	622.46	628.98	19.118334
708_129393_000030_000000	Jared Oopf	Jared o o p f	false	628.98	631.5	19.168444
708_129393_000031_000000	MAN, n.	MAN, n.	false	631.5	634.29	19.745605
708_129393_000031_000001	An animal so lost in rapturous contemplation of what he thinks he is as to overlook what he indubitably ought to be.	An animal so lost in rapturous contemplation of what he thinks he is as to overlook what he indubitably ought to be.	true	634.29	642.79	14
708_129393_000031_000002	His chief occupation is extermination of other animals and his own species, which, however, multiplies with such insistent rapidity as to infest the whole habitable earth and Canada.	His chief occupation is extermination of other animals and his own species, which, however, multiplies with such insistent rapidity as to infest the whole habitable earth and Canada.	true	643.07	656.29	18
708_129393_000032_000000	When the world was young and Man was new, And everything was pleasant, Distinctions Nature never drew 'Mongst kings and priest and peasant. We're not that way at present, Save here in this Republic, where We have that old regime, For all are kings, however bare Their backs, howe'er extreme Their hunger.	When the world was young and Man was new, And everything was pleasant, Distinctions Nature never drew 'Mongst kings and priest and peasant. We're not that way at present, Save here in this Republic, where We have that old regime, For all are kings, however bare Their backs, howe'er extreme Their hunger.	false	657.86	679.3	18
708_129393_000032_000001	And, indeed, each has a voice To accept the tyrant of his party's choice.	And, indeed, each has a voice To accept the tyrant of his party's choice.	true	679.43	683.86	14
708_129393_000033_000000	A citizen who would not vote, And, therefore, was detested, Was one day with a tarry coat (With feathers backed and breasted) By patriots invested. "It is your duty," cried the crowd, "Your ballot true to cast For the man o' your choice." He humbly bowed, And explained his wicked past: "That's what I very gladly would have done, Dear patriots, but he has never run."	A citizen who would not vote, And, therefore, was detested, Was one day with a tarry coat (With feathers backed and breasted) By patriots invested. "It is your duty," cried the crowd, "Your ballot true to cast For the man o' your choice." He humbly bowed, And explained his wicked past: "That's what I very gladly would have done, Dear patriots, but he has never run."	false	684.11	710.55	20
708_129393_000034_000000	Apperton Duke	Apperton Duke	true	710.55	711.78	18.502058
708_129393_000035_000000	MANES, n.	MANES, n.	false	711.78	716.4	19.44054
708_129393_000035_000001	The immortal parts of dead Greeks and Romans.	The immortal parts of dead Greeks and romans.	true	716.4	719.11	16
708_129393_000035_000002	They were in a state of dull discomfort until the bodies from which they had exhaled were buried and burned; and they seem not to have been particularly happy afterward.	They were in a state of dull discomfort until the bodies from which they had exhaled were buried and burned; and they seem not to have been particularly happy afterward.	true	719.3	729.57	20
708_129393_000036_000000	MANICHEISM, n.	m a n i c h e i s m, n.	false	729.57	735.45	20.001904
708_129393_000036_000001	The ancient Persian doctrine of an incessant warfare between Good and Evil.	The ancient Persian doctrine of an incessant warfare between Good and Evil.	true	735.45	739.87	16
708_129393_000036_000002	When Good gave up the fight the Persians joined the victorious Opposition.	When Good gave up the fight the Persians joined the victorious Opposition.	true	740.24	744.16	20
708_129393_000037_000000	MANNA, n.	MANNA, n.	false	745.55	747.87	18.627668
708_129393_000037_000001	A food miraculously given to the Israelites in the wilderness.	A food miraculously given to the Israelites in the wilderness.	true	747.87	751.51	12
708_129393_000037_000002	When it was no longer supplied to them they settled down and tilled the soil, fertilizing it, as a rule, with the bodies of the original occupants.	When it was no longer supplied to them they settled down and tilled the soil, fertilizing it, as a rule, with the bodies of the original occupants.	false	751.61	759.52	17
708_129393_000038_000000	MARRIAGE, n.	MARRIAGE, n.	false	760.49	762.72	22.557404
708_129393_000038_000001	The state or condition of a community consisting of a master, a mistress and two slaves, making in all, two.	The state or condition of a community consisting of a master, a mistress and two slaves, making in all, two.	false	762.72	772.53	21.475645
708_129393_000039_000000	MARTYR, n.	MARTYR, n.	false	772.53	774.57	23.483103
708_129393_000039_000001	One who moves along the line of least reluctance to a desired death.	One who moves along the line of least reluctance to a desired death.	true	774.57	778.87	17
708_129393_000040_000000	MATERIAL, adj.	MATERIAL, adj.	false	780.59	782.73	21.03421
708_129393_000040_000001	Having an actual existence, as distinguished from an imaginary one.	Having an actual existence, as distinguished from an imaginary one.	true	782.73	786.79	17
708_129393_000040_000002	Important.	Important.	true	787.1	788.56	23.178383
708_129393_000041_000000	Material things I know, or fell, or see; All else is immaterial to me.	Material things I know, or fell, or see; All else is immaterial to me.	false	789.29	794.4	17
708_129393_000042_000000	Jamrach Holobom	Jamrach Holobom	false	794.4	800.7	18.938335
708_129393_000043_000000	MAUSOLEUM, n.	MAUSOLEUM, n.	false	800.7	802.83	21.439606
708_129393_000043_000001	The final and funniest folly of the rich.	The final and funniest folly of the rich.	true	802.83	805.63	18
708_129393_000044_000000	MAYONNAISE, n.	MAYONNAISE, n.	false	806.84	809.34	18.86948
708_129393_000044_000001	One of the sauces which serve the French in place of a state religion.	One of the sauces which serve the French in place of a state religion.	true	809.34	813.07	15
708_129393_000045_000000	ME, pro.	ME, pro.	false	815	818.28	19.21247
708_129393_000045_000001	The objectionable case of I.	The objectionable case of i	true	818.28	820.66	16
708_129393_000045_000002	The personal pronoun in English has three cases, the dominative, the objectionable and the oppressive.	The personal pronoun in English has three cases, the dominative, the objectionable and the oppressive.	true	821.21	828.61	21.803337
708_129393_000045_000003	Each is all three.	Each is all three.	true	828.98	830.83	20.95301
708_129393_000046_000000	MEANDER, n.	MEANDER, n.	false	833.45	836.22	20.306465
708_129393_000046_000001	To proceed sinuously and aimlessly.	To proceed sinuously and aimlessly.	true	836.22	839.11	17
708_129393_000046_000002	The word is the ancient name of a river about one hundred and fifty miles south of Troy, which turned and twisted in the effort to get out of hearing when the Greeks and Trojans boasted of their prowess.	The word is the ancient name of a river about one hundred and fifty miles south of Troy, which turned and twisted in the effort to get out of hearing when the Greeks and Trojans boasted of their prowess.	true	839.27	850.92	14
708_129393_000047_000000	MEDAL, n.	MEDAL, n.	false	850.92	854.4	18.001278
708_129393_000047_000001	A small metal disk given as a reward for virtues, attainments or services more or less authentic.	A small metal disk given as a reward for virtues, attainments or services more or less authentic.	true	854.4	861.66	15
708_129393_000048_000000	It is related of Bismark, who had been awarded a medal for gallantly rescuing a drowning person, that, being asked the meaning of the medal, he replied: "I save lives sometimes." And sometimes he didn't.	It is related of Bismark, who had been awarded a medal for gallantly rescuing a drowning person, that, being asked the meaning of the medal, he replied: "I save lives sometimes." And sometimes he didn't.	false	861.66	876.31	20.542126
708_129393_000049_000000	MEDICINE, n.	MEDICINE, n.	false	876.59	879.12	22.055506
708_129393_000049_000001	A stone flung down the Bowery to kill a dog in Broadway.	A stone flung down the Bowery to kill a dog in Broadway.	true	879.12	883	17
708_129393_000050_000000	MEEKNESS, n.	MEEKNESS, n.	false	884.99	887.25	20.094837
708_129393_000050_000001	Uncommon patience in planning a revenge that is worth while.	Uncommon patience in planning a revenge that is worth while.	true	887.25	891.13	16
708_129393_000051_000000	M is for Moses, Who slew the Egyptian. As sweet as a rose is The meekness of Moses. No monument shows his Post-mortem inscription, But M is for Moses Who slew the Egyptian.	M is for Moses, Who slew the Egyptian. As sweet as a rose is The meekness of Moses. No monument shows his Post mortem inscription, But M is for Moses Who slew the Egyptian.	true	892.01	904.2	16
708_129393_000052_000000	_The Biographical Alphabet_	underscore The Biographical Alphabet underscore	false	904.2	908.34	20.084505
708_129393_000053_000000	MEERSCHAUM, n.	MEERSCHAUM, n.	false	908.34	910.5	20.917086
708_129393_000053_000001	(Literally, seafoam, and by many erroneously supposed to be made of it.) A fine white clay, which for convenience in coloring it brown is made into tobacco pipes and smoked by the workmen engaged in that industry.	(Literally, seafoam, and by many erroneously supposed to be made of it.) A fine white clay, which for convenience in coloring it brown is made into tobacco pipes and smoked by the workmen engaged in that industry.	true	910.5	924.31	16
708_129393_000053_000002	The purpose of coloring it has not been disclosed by the manufacturers.	The purpose of coloring it has not been disclosed by the manufacturers.	true	924.47	927.88	17.40267
708_129393_000054_000000	There was a youth (you've heard before, This woeful tale, may be), Who bought a meerschaum pipe and swore That color it would he!	There was a youth (you've heard before, This woeful tale, may be), Who bought a meerschaum pipe and swore That color it would he!	false	928.7	936.85	13
708_129393_000055_000000	He shut himself from the world away, Nor any soul he saw. He smoke by night, he smoked by day, As hard as he could draw.	He shut himself from the world away, Nor any soul he saw. He smoke by night, he smoked by day, As hard as he could draw.	true	937.22	945.7	14
708_129393_000056_000000	His dog died moaning in the wrath Of winds that blew aloof; The weeds were in the gravel path, The owl was on the roof.	His dog died moaning in the wrath Of winds that blew aloof; The weeds were in the gravel path, The owl was on the roof.	false	946.01	954.19	16
708_129393_000057_000000	"He's gone afar, he'll come no more," The neighbors sadly say. And so they batter in the door To take his goods away.	"He's gone afar, he'll come no more," The neighbors sadly say. And so they batter in the door To take his goods away.	true	954.29	961.84	15
708_129393_000058_000000	Dead, pipe in mouth, the youngster lay, Nut-brown in face and limb. "That pipe's a lovely white," they say, "But it has colored him!"	Dead, pipe in mouth, the youngster lay, Nut brown in face and limb. "That pipe's a lovely white," they say, "But it has colored him!"	true	962.21	970.69	19
708_129393_000059_000000	The moral there's small need to sing-- 'Tis plain as day to you: Don't play your game on any thing That is a gamester too.	The moral there's small need to sing- 'tis plain as day to you: Don't play your game on any thing That is a gamester too.	false	970.97	981.15	20.855103
708_129393_000060_000000	Martin Bulstrode	Martin Bulstrode	true	981.15	982.99	19
708_129393_000061_000000	MENDACIOUS, adj.	MENDACIOUS, adj.	false	983.39	985.8	21.17397
708_129393_000061_000001	Addicted to rhetoric.	Addicted to rhetoric.	true	985.8	987.28	22
708_129393_000062_000000	MERCHANT, n.	MERCHANT, n.	false	988.61	990.69	21.768904
708_129393_000062_000001	One engaged in a commercial pursuit.	One engaged in a commercial pursuit.	true	990.69	993.09	19
708_129393_000062_000002	A commercial pursuit is one in which the thing pursued is a dollar.	A commercial pursuit is one in which the thing pursued is a dollar.	true	993.09	997.75	19.689047
708_129393_000063_000000	MERCY, n.	MERCY, n.	false	999.14	1001.37	22.775526
708_129393_000063_000001	An attribute beloved of detected offenders.	An attribute beloved of detected offenders.	true	1001.37	1005.51	22.822466
708_129393_000064_000000	MESMERISM, n.	MESMERISM, n.	false	1005.51	1008.48	21.719275
708_129393_000064_000001	Hypnotism before it wore good clothes, kept a carriage and asked Incredulity to dinner.	Hypnotism before it wore good clothes, kept a carriage and asked Incredulity to dinner.	false	1008.48	1015.06	17
708_129393_000065_000000	METROPOLIS, n.	METROPOLIS, n.	false	1015.22	1017.54	19.170525
708_129393_000065_000001	A stronghold of provincialism.	A stronghold of provincialism.	true	1017.54	1020.1	18
708_129393_000066_000000	MILLENNIUM, n.	MILLENNIUM, n.	false	1021.13	1023.39	19.9338
708_129393_000066_000001	The period of a thousand years when the lid is to be screwed down, with all reformers on the under side.	The period of a thousand years when the lid is to be screwed down, with all reformers on the under side.	true	1023.39	1029.31	16
708_129393_000067_000000	MIND, n.	MIND, n.	false	1029.89	1032.21	18
708_129393_000067_000001	A mysterious form of matter secreted by the brain.	A mysterious form of matter secreted by the brain.	true	1032.21	1035.48	13
708_129393_000067_000002	Its chief activity consists in the endeavor to ascertain its own nature, the futility of the attempt being due to the fact that it has nothing but itself to know itself with.	Its chief activity consists in the endeavor to ascertain its own nature, the futility of the attempt being due to the fact that it has nothing but itself to know itself with.	false	1035.48	1045.72	16
708_129393_000067_000003	From the Latin _mens_, a fact unknown to that honest shoe-seller, who, observing that his learned competitor over the way had displayed the motto "_Mens conscia recti_," emblazoned his own front with the words "Men's, women's and children's conscia recti."	From the Latin underscore mens underscore, a fact unknown to that honest shoe seller, who, observing that his learned competitor over the way had displayed the motto "underscore Mens conscia recti underscore," emblazoned his own front with the words "Men's, women's and children's conscia recti."	false	1045.85	1066.77	18.94186
708_129393_000068_000000	MINE, adj.	MINE, adj.	false	1066.77	1069.11	20.103216
708_129393_000068_000001	Belonging to me if I can hold or seize it.	Belonging to me if I can hold or seize it.	true	1069.11	1071.97	15
708_129393_000069_000000	MINISTER, n.	MINISTER, n.	false	1073.42	1075.68	19.393484
708_129393_000069_000001	An agent of a higher power with a lower responsibility. In diplomacy and officer sent into a foreign country as the visible embodiment of his sovereign's hostility.	An agent of a higher power with a lower responsibility. In diplomacy and officer sent into a foreign country as the visible embodiment of his sovereign's hostility.	true	1075.68	1086.82	14
708_129393_000069_000002	His principal qualification is a degree of plausible inveracity next below that of an ambassador.	His principal qualification is a degree of plausible inveracity next below that of an ambassador.	true	1086.98	1093.72	15
708_129393_000070_000000	MINOR, adj.	MINOR, adj.	false	1094.78	1096.68	23.334879
708_129393_000070_000001	Less objectionable.	Less objectionable.	true	1096.68	1098.31	20.065672
708_129393_000071_000000	MINSTREL, adj.	MINSTREL, adj.	false	1098.68	1100.97	24.40106
708_129393_000071_000001	Formerly a poet, singer or musician; now a nigger with a color less than skin deep and a humor more than flesh and blood can bear.	Formerly a poet, singer or musician; now a nigger with a color less than skin deep and a humor more than flesh and blood can bear.	false	1100.97	1108.9	16
708_129393_000072_000000	MIRACLE, n.	MIRACLE, n.	false	1109.66	1111.95	19.270609
708_129393_000072_000001	An act or event out of the order of nature and unaccountable, as beating a normal hand of four kings and an ace with four aces and a king.	An act or event out of the order of nature and unaccountable, as beating a normal hand of four kings and an ace with four aces and a king.	true	1111.95	1121.38	15
708_129393_000073_000000	MISCREANT, n.	MISCREANT, n.	false	1122.05	1123.89	21.470093
708_129393_000073_000001	A person of the highest degree of unworth. Etymologically, the word means unbeliever, and its present signification may be regarded as theology's noblest contribution to the development of our language.	A person of the highest degree of unworth. Etymologically, the word means unbeliever, and its present signification may be regarded as theology's noblest contribution to the development of our language.	false	1123.89	1138.75	14
708_129393_000074_000000	MISDEMEANOR, n.	MISDEMEANOR, n.	false	1139.48	1141.83	23.538368
