1638_84447_000001_000000	THE Phantom slowly, gravely, silently, approached.	THE Phantom slowly, gravely, silently, approached.
1638_84447_000029_000000	The Phantom glided on into a street.	The Phantom glided on into a street.
1638_84447_000029_000002	Scrooge listened again, thinking that the explanation might lie here.	Scrooge listened again, thinking that the explanation might lie here.
1638_84447_000030_000000	He knew these men, also, perfectly.	He knew these men, also, perfectly.
1638_84447_000030_000001	They were men of business: very wealthy, and of great importance.	They were men of business: very wealthy, and of great importance.
1638_84447_000030_000002	He had made a point always of standing well in their esteem: in a business point of view, that is; strictly in a business point of view.	He had made a point always of standing well in their esteem: in a business point of view, that is; strictly in a business point of view.
1638_84447_000031_000000	"How are you?" said one.	"How are you?" said one.
1638_84447_000032_000000	"How are you?" returned the other.	"How are you?" returned the other.
1638_84447_000033_000000	"Well!" said the first.	"Well!" said the first.
1638_84447_000034_000001	"Cold, isn't it?"	"Cold, isn't it?"
1638_84447_000036_000000	"No.	"no
1638_84447_000036_000002	Something else to think of.	Something else to think of.
1638_84447_000036_000003	Good morning!"	Good morning!"
1638_84447_000037_000000	Not another word.	Not another word.
1638_84447_000037_000001	That was their meeting, their conversation, and their parting.	That was their meeting, their conversation, and their parting.
1638_84447_000038_000001	Nor could he think of any one immediately connected with himself, to whom he could apply them.	Nor could he think of any one immediately connected with himself, to whom he could apply them.
1638_84447_000038_000003	For he had an expectation that the conduct of his future self would give him the clue he missed, and would render the solution of these riddles easy.	For he had an expectation that the conduct of his future self would give him the clue he missed, and would render the solution of these riddles easy.
1638_84447_000039_000000	He looked about in that very place for his own image; but another man stood in his accustomed corner, and though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.	He looked about in that very place for his own image; but another man stood in his accustomed corner, and though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.
1638_84447_000039_000001	It gave him little surprise, however; for he had been revolving in his mind a change of life, and thought and hoped he saw his new-born resolutions carried out in this.	It gave him little surprise, however; for he had been revolving in his mind a change of life, and thought and hoped he saw his new born resolutions carried out in this.
1638_84447_000040_000000	Quiet and dark, beside him stood the Phantom, with its outstretched hand.	Quiet and dark, beside him stood the Phantom, with its outstretched hand.
1638_84447_000040_000002	It made him shudder, and feel very cold.	It made him shudder, and feel very cold.
1638_84447_000041_000001	The ways were foul and narrow; the shops and houses wretched; the people half-naked, drunken, slipshod, ugly.	The ways were foul and narrow; the shops and houses wretched; the people half naked, drunken, slipshod, ugly.
1638_84447_000042_000000	Far in this den of infamous resort, there was a low-browed, beetling shop, below a pent-house roof, where iron, old rags, bottles, bones, and greasy offal, were bought.	Far in this den of infamous resort, there was a low browed, beetling shop, below a pent house roof, where iron, old rags, bottles, bones, and greasy offal, were bought.
1638_84447_000042_000001	Upon the floor within, were piled up heaps of rusty keys, nails, chains, hinges, files, scales, weights, and refuse iron of all kinds.	Upon the floor within, were piled up heaps of rusty keys, nails, chains, hinges, files, scales, weights, and refuse iron of all kinds.
1638_84447_000043_000001	But she had scarcely entered, when another woman, similarly laden, came in too; and she was closely followed by a man in faded black, who was no less startled by the sight of them, than they had been upon the recognition of each other.	But she had scarcely entered, when another woman, similarly laden, came in too; and she was closely followed by a man in faded black, who was no less startled by the sight of them, than they had been upon the recognition of each other.
1638_84447_000043_000002	After a short period of blank astonishment, in which the old man with the pipe had joined them, they all three burst into a laugh.	After a short period of blank astonishment, in which the old man with the pipe had joined them, they all three burst into a laugh.
1638_84447_000044_000000	"Let the charwoman alone to be the first!" cried she who had entered first.	"Let the charwoman alone to be the first!" cried she who had entered first.
1638_84447_000045_000002	Stop till I shut the door of the shop. Ah!	Stop till I shut the door of the shop. Ah!
1638_84447_000045_000007	Come into the parlour.	Come into the parlour.
1638_84447_000045_000008	Come into the parlour."	Come into the parlour."
1638_84447_000046_000001	The old man raked the fire together with an old stair-rod, and having trimmed his smoky lamp (for it was night), with the stem of his pipe, put it in his mouth again.	The old man raked the fire together with an old stair rod, and having trimmed his smoky lamp (for it was night), with the stem of his pipe, put it in his mouth again.
1638_84447_000047_000000	While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool; crossing her elbows on her knees, and looking with a bold defiance at the other two.	While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool; crossing her elbows on her knees, and looking with a bold defiance at the other two.
1638_84447_000048_000000	"What odds then!	"What odds then!
1638_84447_000048_000001	What odds, Mrs. Dilber?" said the woman.	What odds, mrs Dilber?" said the woman.
1638_84447_000048_000002	"Every person has a right to take care of themselves. He always did."	"Every person has a right to take care of themselves. He always did."
1638_84447_000049_000000	"That's true, indeed!" said the laundress.	"That's true, indeed!" said the laundress.
1638_84447_000049_000001	"No man more so."	"No man more so."
1638_84447_000050_000000	"Why then, don't stand staring as if you was afraid, woman; who's the wiser?	"Why then, don't stand staring as if you was afraid, woman; who's the wiser?
1638_84447_000050_000001	We're not going to pick holes in each other's coats, I suppose?"	We're not going to pick holes in each other's coats, I suppose?"
1638_84447_000051_000000	"No, indeed!" said Mrs. Dilber and the man together. "We should hope not."	"No, indeed!" said mrs Dilber and the man together. "We should hope not."
1638_84447_000052_000001	"That's enough. Who's the worse for the loss of a few things like these? Not a dead man, I suppose."	"That's enough. Who's the worse for the loss of a few things like these? Not a dead man, I suppose."
1638_84447_000053_000000	"No, indeed," said Mrs. Dilber, laughing.	"No, indeed," said mrs Dilber, laughing.
1638_84447_000054_000000	"If he wanted to keep 'em after he was dead, a wicked old screw," pursued the woman, "why wasn't he natural in his lifetime?	"If he wanted to keep 'em after he was dead, a wicked old screw," pursued the woman, "why wasn't he natural in his lifetime?
1638_84447_000055_000000	"It's the truest word that ever was spoke," said Mrs. Dilber.	"It's the truest word that ever was spoke," said mrs Dilber.
1638_84447_000055_000001	"It's a judgment on him."	"It's a judgment on him."
1638_84447_000056_000000	"I wish it was a little heavier judgment," replied the woman; "and it should have been, you may depend upon it, if I could have laid my hands on anything else.	"I wish it was a little heavier judgment," replied the woman; "and it should have been, you may depend upon it, if I could have laid my hands on anything else.
1638_84447_000056_000001	Open that bundle, old Joe, and let me know the value of it.	Open that bundle, old Joe, and let me know the value of it.
1638_84447_000056_000002	Speak out plain.	Speak out plain.
1638_84447_000056_000005	It's no sin.	It's no sin.
1638_84447_000056_000006	Open the bundle, Joe."	Open the bundle, Joe."
1638_84447_000057_000000	But the gallantry of her friends would not allow of this; and the man in faded black, mounting the breach first, produced his plunder.	But the gallantry of her friends would not allow of this; and the man in faded black, mounting the breach first, produced his plunder.
1638_84447_000057_000001	It was not extensive.	It was not extensive.
1638_84447_000057_000002	A seal or two, a pencil-case, a pair of sleeve-buttons, and a brooch of no great value, were all.	A seal or two, a pencil case, a pair of sleeve buttons, and a brooch of no great value, were all.
1638_84447_000058_000000	"That's your account," said Joe, "and I wouldn't give another sixpence, if I was to be boiled for not doing it. Who's next?"	"That's your account," said Joe, "and I wouldn't give another sixpence, if I was to be boiled for not doing it. Who's next?"
1638_84447_000059_000000	Mrs. Dilber was next.	mrs Dilber was next.
1638_84447_000059_000001	Sheets and towels, a little wearing apparel, two old-fashioned silver teaspoons, a pair of sugar-tongs, and a few boots.	Sheets and towels, a little wearing apparel, two old-fashioned silver teaspoons, a pair of sugar tongs, and a few boots.
1638_84447_000059_000002	Her account was stated on the wall in the same manner.	Her account was stated on the wall in the same manner.
1638_84447_000060_000000	"I always give too much to ladies.	"I always give too much to ladies.
1638_84447_000060_000001	It's a weakness of mine, and that's the way I ruin myself," said old Joe.	It's a weakness of mine, and that's the way I ruin myself," said old Joe.
1638_84447_000060_000002	"That's your account.	"That's your account.
1638_84447_000061_000000	"And now undo my bundle, Joe," said the first woman.	"And now undo my bundle, Joe," said the first woman.
1638_84447_000062_000000	Joe went down on his knees for the greater convenience of opening it, and having unfastened a great many knots, dragged out a large and heavy roll of some dark stuff.	Joe went down on his knees for the greater convenience of opening it, and having unfastened a great many knots, dragged out a large and heavy roll of some dark stuff.
1638_84447_000063_000000	"What do you call this?" said Joe.	"What do you call this?" said Joe.
1638_84447_000063_000001	"Bed-curtains!"	"Bed curtains!"
1638_84447_000064_000000	"Ah!" returned the woman, laughing and leaning forward on her crossed arms.	"Ah!" returned the woman, laughing and leaning forward on her crossed arms.
1638_84447_000064_000001	"Bed-curtains!"	"Bed curtains!"
1638_84447_000065_000000	"You don't mean to say you took 'em down, rings and all, with him lying there?" said Joe.	"You don't mean to say you took 'em down, rings and all, with him lying there?" said Joe.
1638_84447_000066_000000	"Yes I do," replied the woman.	"Yes I do," replied the woman.
1638_84447_000066_000001	"Why not?"	"Why not?"
1638_84447_000067_000000	"You were born to make your fortune," said Joe, "and you'll certainly do it."	"You were born to make your fortune," said Joe, "and you'll certainly do it."
1638_84447_000068_000001	"Don't drop that oil upon the blankets, now."	"Don't drop that oil upon the blankets, now."
1638_84447_000069_000000	"His blankets?" asked Joe.	"His blankets?" asked Joe.
1638_84447_000070_000001	"He isn't likely to take cold without 'em, I dare say."	"He isn't likely to take cold without 'em, I dare say."
1638_84447_000071_000000	"I hope he didn't die of anything catching?	"I hope he didn't die of anything catching?
1638_84447_000072_000000	"Don't you be afraid of that," returned the woman.	"Don't you be afraid of that," returned the woman.
1638_84447_000072_000003	It's the best he had, and a fine one too. They'd have wasted it, if it hadn't been for me."	It's the best he had, and a fine one too. They'd have wasted it, if it hadn't been for me."
1638_84447_000074_000000	"Putting it on him to be buried in, to be sure," replied the woman with a laugh.	"Putting it on him to be buried in, to be sure," replied the woman with a laugh.
1638_84447_000074_000001	"Somebody was fool enough to do it, but I took it off again.	"Somebody was fool enough to do it, but I took it off again.
1638_84447_000074_000002	If calico an't good enough for such a purpose, it isn't good enough for anything.	If calico an't good enough for such a purpose, it isn't good enough for anything.
1638_84447_000074_000003	It's quite as becoming to the body.	It's quite as becoming to the body.
1638_84447_000074_000004	He can't look uglier than he did in that one."	He can't look uglier than he did in that one."
1638_84447_000075_000000	Scrooge listened to this dialogue in horror.	Scrooge listened to this dialogue in horror.
1638_84447_000075_000001	As they sat grouped about their spoil, in the scanty light afforded by the old man's lamp, he viewed them with a detestation and disgust, which could hardly have been greater, though they had been obscene demons, marketing the corpse itself.	As they sat grouped about their spoil, in the scanty light afforded by the old man's lamp, he viewed them with a detestation and disgust, which could hardly have been greater, though they had been obscene demons, marketing the corpse itself.
1638_84447_000076_000001	"This is the end of it, you see!	"This is the end of it, you see!
1638_84447_000077_000001	"I see, I see.	"I see, I see.
1638_84447_000077_000002	The case of this unhappy man might be my own. My life tends that way, now.	The case of this unhappy man might be my own. My life tends that way, now.
1638_84447_000079_000000	The room was very dark, too dark to be observed with any accuracy, though Scrooge glanced round it in obedience to a secret impulse, anxious to know what kind of room it was.	The room was very dark, too dark to be observed with any accuracy, though Scrooge glanced round it in obedience to a secret impulse, anxious to know what kind of room it was.
1638_84447_000079_000001	A pale light, rising in the outer air, fell straight upon the bed; and on it, plundered and bereft, unwatched, unwept, uncared for, was the body of this man.	A pale light, rising in the outer air, fell straight upon the bed; and on it, plundered and bereft, unwatched, unwept, uncared for, was the body of this man.
1638_84447_000080_000000	Scrooge glanced towards the Phantom.	Scrooge glanced towards the Phantom.
1638_84447_000080_000001	Its steady hand was pointed to the head.	Its steady hand was pointed to the head.
1638_84447_000080_000003	He thought of it, felt how easy it would be to do, and longed to do it; but had no more power to withdraw the veil than to dismiss the spectre at his side.	He thought of it, felt how easy it would be to do, and longed to do it; but had no more power to withdraw the veil than to dismiss the spectre at his side.
1638_84447_000081_000000	Oh cold, cold, rigid, dreadful Death, set up thine altar here, and dress it with such terrors as thou hast at thy command: for this is thy dominion!	Oh cold, cold, rigid, dreadful Death, set up thine altar here, and dress it with such terrors as thou hast at thy command: for this is thy dominion!
1638_84447_000081_000001	But of the loved, revered, and honoured head, thou canst not turn one hair to thy dread purposes, or make one feature odious.	But of the loved, revered, and honoured head, thou canst not turn one hair to thy dread purposes, or make one feature odious.
1638_84447_000081_000002	It is not that the hand is heavy and will fall down when released; it is not that the heart and pulse are still; but that the hand WAS open, generous, and true; the heart brave, warm, and tender; and the pulse a man's.	It is not that the hand is heavy and will fall down when released; it is not that the heart and pulse are still; but that the hand WAS open, generous, and true; the heart brave, warm, and tender; and the pulse a man's.
1638_84447_000081_000003	Strike, Shadow, strike! And see his good deeds springing from the wound, to sow the world with life immortal!	Strike, Shadow, strike! And see his good deeds springing from the wound, to sow the world with life immortal!
1638_84447_000082_000000	No voice pronounced these words in Scrooge's ears, and yet he heard them when he looked upon the bed.	No voice pronounced these words in Scrooge's ears, and yet he heard them when he looked upon the bed.
1638_84447_000082_000001	He thought, if this man could be raised up now, what would be his foremost thoughts?	He thought, if this man could be raised up now, what would be his foremost thoughts?
1638_84447_000082_000002	Avarice, hard-dealing, griping cares? They have brought him to a rich end, truly!	Avarice, hard dealing, griping cares? They have brought him to a rich end, truly!
1638_84447_000083_000001	A cat was tearing at the door, and there was a sound of gnawing rats beneath the hearth-stone.	A cat was tearing at the door, and there was a sound of gnawing rats beneath the hearth stone.
1638_84447_000084_000000	"Spirit!" he said, "this is a fearful place.	"Spirit!" he said, "this is a fearful place.
1638_84447_000084_000001	In leaving it, I shall not leave its lesson, trust me.	In leaving it, I shall not leave its lesson, trust me.
1638_84447_000084_000002	Let us go!"	Let us go!"
1638_84447_000085_000000	Still the Ghost pointed with an unmoved finger to the head.	Still the Ghost pointed with an unmoved finger to the head.
1638_84447_000086_000001	But I have not the power, Spirit.	But I have not the power, Spirit.
1638_84447_000086_000002	I have not the power."	I have not the power."
1638_84447_000087_000000	Again it seemed to look upon him.	Again it seemed to look upon him.
1638_84447_000089_000000	The Phantom spread its dark robe before him for a moment, like a wing; and withdrawing it, revealed a room by daylight, where a mother and her children were.	The Phantom spread its dark robe before him for a moment, like a wing; and withdrawing it, revealed a room by daylight, where a mother and her children were.
1638_84447_000090_000000	She was expecting some one, and with anxious eagerness; for she walked up and down the room; started at every sound; looked out from the window; glanced at the clock; tried, but in vain, to work with her needle; and could hardly bear the voices of the children in their play.	She was expecting some one, and with anxious eagerness; for she walked up and down the room; started at every sound; looked out from the window; glanced at the clock; tried, but in vain, to work with her needle; and could hardly bear the voices of the children in their play.
1638_84447_000091_000000	At length the long-expected knock was heard.	At length the long expected knock was heard.
1638_84447_000091_000001	She hurried to the door, and met her husband; a man whose face was careworn and depressed, though he was young.	She hurried to the door, and met her husband; a man whose face was careworn and depressed, though he was young.
1638_84447_000091_000002	There was a remarkable expression in it now; a kind of serious delight of which he felt ashamed, and which he struggled to repress.	There was a remarkable expression in it now; a kind of serious delight of which he felt ashamed, and which he struggled to repress.
1638_84447_000092_000000	He sat down to the dinner that had been hoarding for him by the fire; and when she asked him faintly what news (which was not until after a long silence), he appeared embarrassed how to answer.	He sat down to the dinner that had been hoarding for him by the fire; and when she asked him faintly what news (which was not until after a long silence), he appeared embarrassed how to answer.
1638_84447_000096_000000	"No.	"no
1638_84447_000096_000001	There is hope yet, Caroline."	There is hope yet, Caroline."
1638_84447_000097_000000	"If he relents," she said, amazed, "there is!	"If he relents," she said, amazed, "there is!
1638_84447_000097_000001	Nothing is past hope, if such a miracle has happened."	Nothing is past hope, if such a miracle has happened."
1638_84447_000098_000000	"He is past relenting," said her husband.	"He is past relenting," said her husband.
1638_84447_000099_000000	She was a mild and patient creature if her face spoke truth; but she was thankful in her soul to hear it, and she said so, with clasped hands.	She was a mild and patient creature if her face spoke truth; but she was thankful in her soul to hear it, and she said so, with clasped hands.
1638_84447_000100_000000	"What the half-drunken woman whom I told you of last night, said to me, when I tried to see him and obtain a week's delay; and what I thought was a mere excuse to avoid me; turns out to have been quite true.	"What the half drunken woman whom I told you of last night, said to me, when I tried to see him and obtain a week's delay; and what I thought was a mere excuse to avoid me; turns out to have been quite true.
1638_84447_000100_000001	He was not only very ill, but dying, then."	He was not only very ill, but dying, then."
1638_84447_000101_000000	"To whom will our debt be transferred?"	"To whom will our debt be transferred?"
1638_84447_000102_000000	"I don't know.	"I don't know.
1638_84447_000102_000001	But before that time we shall be ready with the money; and even though we were not, it would be a bad fortune indeed to find so merciless a creditor in his successor.	But before that time we shall be ready with the money; and even though we were not, it would be a bad fortune indeed to find so merciless a creditor in his successor.
1638_84447_000102_000002	We may sleep to-night with light hearts, Caroline!"	We may sleep to night with light hearts, Caroline!"
1638_84447_000103_000000	Yes.	Yes.
1638_84447_000103_000002	The only emotion that the Ghost could show him, caused by the event, was one of pleasure.	The only emotion that the Ghost could show him, caused by the event, was one of pleasure.
1638_84447_000105_000000	The Ghost conducted him through several streets familiar to his feet; and as they went along, Scrooge looked here and there to find himself, but nowhere was he to be seen.	The Ghost conducted him through several streets familiar to his feet; and as they went along, Scrooge looked here and there to find himself, but nowhere was he to be seen.
1638_84447_000105_000001	They entered poor Bob Cratchit's house; the dwelling he had visited before; and found the mother and the children seated round the fire.	They entered poor Bob Cratchit's house; the dwelling he had visited before; and found the mother and the children seated round the fire.
1638_84447_000106_000000	Quiet.	Quiet.
1638_84447_000106_000001	Very quiet.	Very quiet.
1638_84447_000106_000004	But surely they were very quiet!	But surely they were very quiet!
1638_84447_000107_000000	"'And He took a child, and set him in the midst of them.'"	"'And He took a child, and set him in the midst of them.'"
1638_84447_000108_000001	He had not dreamed them.	He had not dreamed them.
1638_84447_000108_000003	Why did he not go on?	Why did he not go on?
1638_84447_000109_000000	The mother laid her work upon the table, and put her hand up to her face.	The mother laid her work upon the table, and put her hand up to her face.
1638_84447_000110_000000	"The colour hurts my eyes," she said.	"The colour hurts my eyes," she said.
1638_84447_000111_000000	The colour?	The colour?
1638_84447_000111_000001	Ah, poor Tiny Tim!	Ah, poor Tiny Tim!
1638_84447_000112_000001	"It makes them weak by candle-light; and I wouldn't show weak eyes to your father when he comes home, for the world.	"It makes them weak by candle light; and I wouldn't show weak eyes to your father when he comes home, for the world.
1638_84447_000112_000002	It must be near his time."	It must be near his time."
1638_84447_000114_000000	They were very quiet again.	They were very quiet again.
1638_84447_000116_000000	"And so have I," cried Peter.	"And so have I," cried peter.
1638_84447_000116_000001	"Often."	"Often."
1638_84447_000117_000000	"And so have I," exclaimed another.	"And so have I," exclaimed another.
1638_84447_000117_000001	So had all.	So had all.
1638_84447_000118_000001	And there is your father at the door!"	And there is your father at the door!"
1638_84447_000119_000000	She hurried out to meet him; and little Bob in his comforter --he had need of it, poor fellow--came in.	She hurried out to meet him; and little Bob in his comforter --he had need of it, poor fellow-came in.
1638_84447_000119_000001	His tea was ready for him on the hob, and they all tried who should help him to it most.	His tea was ready for him on the hob, and they all tried who should help him to it most.
1638_84447_000119_000003	Don't be grieved!"	Don't be grieved!"
1638_84447_000120_000000	Bob was very cheerful with them, and spoke pleasantly to all the family.	Bob was very cheerful with them, and spoke pleasantly to all the family.
1638_84447_000121_000000	"Sunday!	"Sunday!
1638_84447_000121_000001	You went to-day, then, Robert?" said his wife.	You went to day, then, Robert?" said his wife.
1638_84447_000122_000001	"I wish you could have gone.	"I wish you could have gone.
1638_84447_000122_000003	But you'll see it often.	But you'll see it often.
1638_84447_000122_000004	I promised him that I would walk there on a Sunday.	I promised him that I would walk there on a Sunday.
1638_84447_000122_000005	My little, little child!" cried Bob.	My little, little child!" cried Bob.
1638_84447_000122_000006	"My little child!"	"My little child!"
1638_84447_000123_000000	He broke down all at once.	He broke down all at once.
1638_84447_000123_000001	He couldn't help it.	He couldn't help it.
1638_84447_000123_000002	If he could have helped it, he and his child would have been farther apart perhaps than they were.	If he could have helped it, he and his child would have been farther apart perhaps than they were.
1638_84447_000124_000000	He left the room, and went up-stairs into the room above, which was lighted cheerfully, and hung with Christmas. There was a chair set close beside the child, and there were signs of some one having been there, lately.	He left the room, and went up stairs into the room above, which was lighted cheerfully, and hung with Christmas. There was a chair set close beside the child, and there were signs of some one having been there, lately.
1638_84447_000124_000001	Poor Bob sat down in it, and when he had thought a little and composed himself, he kissed the little face.	Poor Bob sat down in it, and when he had thought a little and composed himself, he kissed the little face.
1638_84447_000124_000002	He was reconciled to what had happened, and went down again quite happy.	He was reconciled to what had happened, and went down again quite happy.
1638_84447_000125_000000	They drew about the fire, and talked; the girls and mother working still.	They drew about the fire, and talked; the girls and mother working still.
1638_84447_000125_000002	"On which," said Bob, "for he is the pleasantest-spoken gentleman you ever heard, I told him.	"On which," said Bob, "for he is the pleasantest spoken gentleman you ever heard, I told him.
1638_84447_000126_000000	"Knew what, my dear?"	"Knew what, my dear?"
1638_84447_000127_000000	"Why, that you were a good wife," replied Bob.	"Why, that you were a good wife," replied Bob.
1638_84447_000128_000000	"Everybody knows that!" said Peter.	"Everybody knows that!" said peter.
1638_84447_000129_000000	"Very well observed, my boy!" cried Bob.	"Very well observed, my boy!" cried Bob.
1638_84447_000129_000001	"I hope they do.	"I hope they do.
1638_84447_000129_000002	'Heartily sorry,' he said, 'for your good wife.	'Heartily sorry,' he said, 'for your good wife.
1638_84447_000129_000004	Pray come to me.' Now, it wasn't," cried Bob, "for the sake of anything he might be able to do for us, so much as for his kind way, that this was quite delightful.	Pray come to me.' Now, it wasn't," cried Bob, "for the sake of anything he might be able to do for us, so much as for his kind way, that this was quite delightful.
1638_84447_000129_000005	It really seemed as if he had known our Tiny Tim, and felt with us."	It really seemed as if he had known our Tiny Tim, and felt with us."
1638_84447_000130_000000	"I'm sure he's a good soul!" said Mrs. Cratchit.	"I'm sure he's a good soul!" said mrs Cratchit.
1638_84447_000131_000000	"You would be surer of it, my dear," returned Bob, "if you saw and spoke to him.	"You would be surer of it, my dear," returned Bob, "if you saw and spoke to him.
1638_84447_000131_000001	I shouldn't be at all surprised-- mark what I say!--if he got Peter a better situation."	I shouldn't be at all surprised- mark what I say!--if he got peter a better situation."
1638_84447_000132_000000	"Only hear that, Peter," said Mrs. Cratchit.	"Only hear that, peter," said mrs Cratchit.
1638_84447_000133_000000	"And then," cried one of the girls, "Peter will be keeping company with some one, and setting up for himself."	"And then," cried one of the girls, "peter will be keeping company with some one, and setting up for himself."
1638_84447_000134_000000	"Get along with you!" retorted Peter, grinning.	"Get along with you!" retorted peter, grinning.
1638_84447_000135_000001	But however and whenever we part from one another, I am sure we shall none of us forget poor Tiny Tim--shall we--or this first parting that there was among us?"	But however and whenever we part from one another, I am sure we shall none of us forget poor Tiny Tim-shall we-or this first parting that there was among us?"
1638_84447_000136_000000	"Never, father!" cried they all.	"Never, father!" cried they all.
