3009_10328_000000_000000	QUESTION 51	QUESTION fifty one	true	0.75	2.475	24.117275
3009_10328_000009_000002	But it is clear that every created spirit needs corporeal substance." Augustine also says (Gen. ad lit.	But it is clear that every created spirit needs corporeal substance." Augustine also says (Gen. ad lit.	false	114.83	120.69	24.180176
3009_10328_000009_000003	iii): "The demons are called animals of the atmosphere because their nature is akin to that of aerial bodies." But the nature of demons and angels is the same.	iii): "The demons are called animals of the atmosphere because their nature is akin to that of aerial bodies." But the nature of demons and angels is the same.	false	120.69	130.56	20
3009_10328_000009_000004	Therefore angels have bodies naturally united to them.	Therefore angels have bodies naturally united to them.	true	130.56	134.04	21.985466
3009_10328_000010_000000	Obj. 2: Further, Gregory (Hom. x in Ev.) calls an angel a rational animal.	o b j. two: Further, Gregory (Hom. x in Ev.) calls an angel a rational animal.	false	134.04	140.59	20.624178
3009_10328_000010_000001	But every animal is composed of body and soul.	But every animal is composed of body and soul.	true	140.69	144.03	18
3009_10328_000010_000002	Therefore angels have bodies naturally united to them.	Therefore angels have bodies naturally united to them.	true	144.03	147.51	17
3009_10328_000011_000000	Obj. 3: Further, life is more perfect in the angels than in souls. But the soul not only lives, but gives life to the body.	o b j. three: Further, life is more perfect in the angels than in souls. But the soul not only lives, but gives life to the body.	false	147.51	156.79	20.99089
3009_10328_000011_000001	Therefore the angels animate bodies which are naturally united to them.	Therefore the angels animate bodies which are naturally united to them.	true	156.83	160.92	18
3009_10328_000012_000000	_On the contrary,_ Dionysius says (Div.	underscore On the contrary,underscore Dionysius says (d i v.	false	160.92	163.83	20.433868
3009_10328_000012_000001	Nom. iv) that "the angels are understood to be incorporeal."	Nom. i v) that "the angels are understood to be incorporeal."	false	163.83	167.37	20.995855
3009_10328_000013_000000	_I answer that,_ The angels have not bodies naturally united to them.	underscore I answer that,underscore The angels have not bodies naturally united to them.	false	167.37	172.48	20
3009_10328_000013_000001	For whatever belongs to any nature as an accident is not found universally in that nature; thus, for instance, to have wings, because it is not of the essence of an animal, does not belong to every animal.	For whatever belongs to any nature as an accident is not found universally in that nature; thus, for instance, to have wings, because it is not of the essence of an animal, does not belong to every animal.	true	172.49	186.91	23.392878
3009_10328_000013_000002	Now since to understand is not the act of a body, nor of any corporeal energy, as will be shown later (Q. 75, A. 2), it follows that to have a body united to it is not of the nature of an intellectual substance, as such; but it is accidental to some intellectual substance on account of something else.	Now since to understand is not the act of a body, nor of any corporeal energy, as will be shown later (Q. seventy five, a two), it follows that to have a body united to it is not of the nature of an intellectual substance, as such; but it is accidental to some intellectual substance on account of something else.	false	187.25	207.04	23.41264
3009_10328_000013_000003	Even so it belongs to the human soul to be united to a body, because it is imperfect and exists potentially in the genus of intellectual substances, not having the fulness of knowledge in its own nature, but acquiring it from sensible things through the bodily senses, as will be explained later on (Q. 84, A. 6; Q. 89, A. 1).	Even so it belongs to the human soul to be united to a body, because it is imperfect and exists potentially in the genus of intellectual substances, not having the fulness of knowledge in its own nature, but acquiring it from sensible things through the bodily senses, as will be explained later on (Q. eighty four, a six; q eighty nine, a one).	false	207.29	226.65	21
3009_10328_000013_000004	Now whenever we find something imperfect in any genus we must presuppose something perfect in that genus.	Now whenever we find something imperfect in any genus we must presuppose something perfect in that genus.	true	226.65	233.29	19
3009_10328_000013_000005	Therefore in the intellectual nature there are some perfectly intellectual substances, which do not need to acquire knowledge from sensible things.	Therefore in the intellectual nature there are some perfectly intellectual substances, which do not need to acquire knowledge from sensible things.	false	233.48	243.18	23
3009_10328_000013_000006	Consequently not all intellectual substances are united to bodies; but some are quite separated from bodies, and these we call angels.	Consequently not all intellectual substances are united to bodies; but some are quite separated from bodies, and these we call angels.	true	243.18	253	24
3009_10328_000014_000000	Reply Obj. 1: As was said above (Q.	Reply o b j. one: As was said above (Q.	false	253.55	256.89	22.78577
3009_10328_000014_000001	50, A. 1) it was the opinion of some that every being is a body; and consequently some seem to have thought that there were no incorporeal substances existing except as united to bodies; so much so that some even held that God was the soul of the world, as Augustine tells us (De Civ.	fifty, a one) it was the opinion of some that every being is a body; and consequently some seem to have thought that there were no incorporeal substances existing except as united to bodies; so much so that some even held that God was the soul of the world, as Augustine tells us (De Civ.	false	256.89	275.43	22.99921
3009_10328_000014_000002	Dei vii).	Dei vii).	false	275.43	275.67	2
3009_10328_000014_000003	As this is contrary to Catholic Faith, which asserts that God is exalted above all things, according to Ps. 8:2: "Thy magnificence is exalted beyond the heavens"; Origen, while refusing to say such a thing of God, followed the above opinion of others regarding the other substances; being deceived here as he was also in many other points, by following the opinions of the ancient philosophers.	As this is contrary to Catholic Faith, which asserts that God is exalted above all things, according to p's. eight to two: "Thy magnificence is exalted beyond the heavens"; Origen, while refusing to say such a thing of God, followed the above opinion of others regarding the other substances; being deceived here as he was also in many other points, by following the opinions of the ancient philosophers.	false	275.67	302.35	21.650694
3009_10328_000014_000004	Bernard's expression can be explained, that the created spirit needs some bodily instrument, which is not naturally united to it, but assumed for some purpose, as will be explained (A. 2).	Bernard's expression can be explained, that the created spirit needs some bodily instrument, which is not naturally united to it, but assumed for some purpose, as will be explained (A. two).	false	303.08	314.76	25
3009_10328_000014_000005	Augustine speaks, not as asserting the fact, but merely using the opinion of the Platonists, who maintained that there are some aerial animals, which they termed demons.	Augustine speaks, not as asserting the fact, but merely using the opinion of the Platonists, who maintained that there are some aerial animals, which they termed demons.	false	314.76	325.99	23
3009_10328_000015_000000	Reply Obj. 2: Gregory calls the angel a rational animal metaphorically, on account of the likeness to the rational nature.	Reply o b j. two: Gregory calls the angel a rational animal metaphorically, on account of the likeness to the rational nature.	false	326.3	335.35	24
3009_10328_000016_000000	Reply Obj. 3: To give life effectively is a perfection simply speaking; hence it belongs to God, as is said (1 Kings 2:6): "The Lord killeth, and maketh alive." But to give life formally belongs to a substance which is part of some nature, and which has not within itself the full nature of the species.	Reply o b j. three: To give life effectively is a perfection simply speaking; hence it belongs to God, as is said (first kings chapter two verse six): "The Lord killeth, and maketh alive." But to give life formally belongs to a substance which is part of some nature, and which has not within itself the full nature of the species.	false	336.05	357.28	24.85597
3009_10328_000016_000001	Hence an intellectual substance which is not united to a body is more perfect than one which is united to a body. _______________________	Hence an intellectual substance which is not united to a body is more perfect than one which is united to a body. , blank ,	false	357.38	365.25	24.415688
3009_10328_000017_000000	SECOND ARTICLE [I, Q. 51, Art. 2]	SECOND ARTICLE [I, q fifty one, Art. two]	false	365.25	366.15	20
3009_10328_000018_000000	Whether Angels Assume Bodies?	Whether Angels Assume Bodies?	true	366.15	368.98	22.52513
3009_10328_000019_000000	Objection 1: It would seem that angels do not assume bodies.	Objection one: It would seem that angels do not assume bodies.	true	369.35	373.83	22.290676
3009_10328_000019_000001	For there is nothing superfluous in the work of an angel, as there is nothing of the kind in the work of nature.	For there is nothing superfluous in the work of an angel, as there is nothing of the kind in the work of nature.	true	373.83	379.81	20.987286
3009_10328_000019_000002	But it would be superfluous for the angels to assume bodies, because an angel has no need for a body, since his own power exceeds all bodily power.	But it would be superfluous for the angels to assume bodies, because an angel has no need for a body, since his own power exceeds all bodily power.	true	380	389.44	19
3009_10328_000019_000003	Therefore an angel does not assume a body.	Therefore an angel does not assume a body.	true	389.51	392.46	21.597464
3009_10328_000020_000000	Obj. 2: Further, every assumption is terminated in some union; because to assume implies a taking to oneself [ad se sumere].	o b j. two: Further, every assumption is terminated in some union; because to assume implies a taking to oneself [ad se sumere].	false	392.46	401.835	22.457247
3009_10328_000020_000001	But a body is not united to an angel as to a form, as stated (A. 1); while in so far as it is united to the angel as to a mover, it is not said to be assumed, otherwise it would follow that all bodies moved by the angels are assumed by them.	But a body is not united to an angel as to a form, as stated (A. one); while in so far as it is united to the angel as to a mover, it is not said to be assumed, otherwise it would follow that all bodies moved by the angels are assumed by them.	false	401.835	418.78	21.831182
3009_10328_000020_000002	Therefore the angels do not assume bodies.	Therefore the angels do not assume bodies.	true	419.18	421.89	17
3009_10328_000021_000000	Obj. 3: Further, angels do not assume bodies from the earth or water, or they could not suddenly disappear; nor again from fire, otherwise they would burn whatever things they touched; nor again from air, because air is without shape or color.	o b j. three: Further, angels do not assume bodies from the earth or water, or they could not suddenly disappear; nor again from fire, otherwise they would burn whatever things they touched; nor again from air, because air is without shape or color.	false	421.89	438.31	21.3513
3009_10328_000021_000001	Therefore the angels do not assume bodies.	Therefore the angels do not assume bodies.	true	438.38	441.06	16
3009_10328_000022_000000	_On the contrary,_ Augustine says (De Civ.	underscore On the contrary,underscore Augustine says (De Civ.	false	441.06	443.73	21.956833
3009_10328_000022_000001	Dei xvi) that angels appeared to Abraham under assumed bodies.	Dei x v i) that angels appeared to Abraham under assumed bodies.	false	443.73	448.11	21.576485
3009_10328_000023_000000	_I answer that,_ Some have maintained that the angels never assume bodies, but that all that we read in Scripture of apparitions of angels happened in prophetic vision--that is, according to imagination.	underscore I answer that,underscore Some have maintained that the angels never assume bodies, but that all that we read in Scripture of apparitions of angels happened in prophetic vision-that is, according to imagination.	false	448.11	461.53	21
3009_10328_000023_000001	But this is contrary to the intent of Scripture; for whatever is beheld in imaginary vision is only in the beholder's imagination, and consequently is not seen by everybody.	But this is contrary to the intent of Scripture; for whatever is beheld in imaginary vision is only in the beholder's imagination, and consequently is not seen by everybody.	true	461.75	473.32	19
3009_10328_000023_000002	Yet Divine Scripture from time to time introduces angels so apparent as to be seen commonly by all; just as the angels who appeared to Abraham were seen by him and by his whole family, by Lot, and by the citizens of Sodom; in like manner the angel who appeared to Tobias was seen by all present.	Yet Divine Scripture from time to time introduces angels so apparent as to be seen commonly by all; just as the angels who appeared to Abraham were seen by him and by his whole family, by Lot, and by the citizens of Sodom; in like manner the angel who appeared to Tobias was seen by all present.	true	473.36	494.05	21
3009_10328_000023_000003	From all this it is clearly shown that such apparitions were beheld by bodily vision, whereby the object seen exists outside the person beholding it, and can accordingly be seen by all.	From all this it is clearly shown that such apparitions were beheld by bodily vision, whereby the object seen exists outside the person beholding it, and can accordingly be seen by all.	false	494.06	505.84	20
3009_10328_000023_000004	Now by such a vision only a body can be beheld.	Now by such a vision only a body can be beheld.	true	506.06	509.7	21
3009_10328_000023_000005	Consequently, since the angels are not bodies, nor have they bodies naturally united with them, as is clear from what has been said (A. 1; Q. 50, A. 1), it follows that they sometimes assume bodies.	Consequently, since the angels are not bodies, nor have they bodies naturally united with them, as is clear from what has been said (A. one; q fifty, a one), it follows that they sometimes assume bodies.	false	509.7	521.17	21
3009_10328_000024_000000	Reply Obj. 1: Angels need an assumed body, not for themselves, but on our account; that by conversing familiarly with men they may give evidence of that intellectual companionship which men expect to have with them in the life to come.	Reply o b j. one: Angels need an assumed body, not for themselves, but on our account; that by conversing familiarly with men they may give evidence of that intellectual companionship which men expect to have with them in the life to come.	false	521.57	538.93	22.343706
3009_10328_000024_000001	Moreover that angels assumed bodies under the Old Law was a figurative indication that the Word of God would take a human body; because all the apparitions in the Old Testament were ordained to that one whereby the Son of God appeared in the flesh.	Moreover that angels assumed bodies under the Old Law was a figurative indication that the Word of God would take a human body; because all the apparitions in the Old Testament were ordained to that one whereby the Son of God appeared in the flesh.	true	539.33	555.91	22
3009_10328_000025_000000	Reply Obj. 2: The body assumed is united to the angel not as its form, nor merely as its mover, but as its mover represented by the assumed movable body.	Reply o b j. two: The body assumed is united to the angel not as its form, nor merely as its mover, but as its mover represented by the assumed movable body.	false	557.12	570.61	23.901072
3009_10328_000025_000001	For as in the Sacred Scripture the properties of intelligible things are set forth by the likenesses of things sensible, in the same way by Divine power sensible bodies are so fashioned by angels as fittingly to represent the intelligible properties of an angel.	For as in the Sacred Scripture the properties of intelligible things are set forth by the likenesses of things sensible, in the same way by Divine power sensible bodies are so fashioned by angels as fittingly to represent the intelligible properties of an angel.	true	570.98	587.5	19
3009_10328_000025_000002	And this is what we mean by an angel assuming a body.	And this is what we mean by an angel assuming a body.	true	587.54	591.37	19
3009_10328_000026_000000	Reply Obj. 3: Although air as long as it is in a state of rarefaction has neither shape nor color, yet when condensed it can both be shaped and colored as appears in the clouds.	Reply o b j. three: Although air as long as it is in a state of rarefaction has neither shape nor color, yet when condensed it can both be shaped and colored as appears in the clouds.	false	592.46	606.46	22
3009_10328_000026_000001	Even so the angels assume bodies of air, condensing it by the Divine power in so far as is needful for forming the assumed body. _______________________	Even so the angels assume bodies of air, condensing it by the Divine power in so far as is needful for forming the assumed body. , blank ,	false	606.53	617.67	19.56514
3009_10328_000027_000000	THIRD ARTICLE [I, Q. 51, Art. 3]	THIRD ARTICLE [I, q fifty one, Art. three]	false	617.67	618.885	24.932384
3009_10328_000028_000000	Whether the Angels Exercise Functions of Life in the Bodies Assumed?	Whether the Angels Exercise Functions of Life in the Bodies Assumed?	true	618.885	623.86	19.453838
3009_10328_000029_000000	Objection 1: It would seem that the angels exercise functions of life in assumed bodies.	Objection one: It would seem that the angels exercise functions of life in assumed bodies.	true	624.8	631.125	20
3009_10328_000029_000001	For pretence is unbecoming in angels of truth.	For pretence is unbecoming in angels of truth.	true	631.125	634.54	22
3009_10328_000029_000002	But it would be pretence if the body assumed by them, which seems to live and to exercise vital functions, did not possess these functions. Therefore the angels exercise functions of life in the assumed body.	But it would be pretence if the body assumed by them, which seems to live and to exercise vital functions, did not possess these functions. Therefore the angels exercise functions of life in the assumed body.	true	634.73	647.76	19
3009_10328_000030_000000	Obj. 2: Further, in the works of the angels there is nothing without a purpose.	o b j. two: Further, in the works of the angels there is nothing without a purpose.	false	647.76	652.78	22.343513
3009_10328_000030_000001	But eyes, nostrils, and the other instruments of the senses, would be fashioned without a purpose in the body assumed by the angel, if he perceived nothing by their means.	But eyes, nostrils, and the other instruments of the senses, would be fashioned without a purpose in the body assumed by the angel, if he perceived nothing by their means.	true	653.33	664.215	18
3009_10328_000030_000002	Consequently, the angel perceives by the assumed body; and this is the most special function of life.	Consequently, the angel perceives by the assumed body; and this is the most special function of life.	true	664.215	670.77	22
3009_10328_000031_000000	Obj. 3: Further, to move hither and thither is one of the functions of life, as the Philosopher says (De Anima ii).	o b j. three: Further, to move hither and thither is one of the functions of life, as the Philosopher says (De Anima ii).	false	670.77	678.225	20.5549
3009_10328_000031_000001	But the angels are manifestly seen to move in their assumed bodies.	But the angels are manifestly seen to move in their assumed bodies.	true	678.225	682.72	18
3009_10328_000031_000002	For it was said (Gen. 18:16) that "Abraham walked with" the angels, who had appeared to him, "bringing them on the way"; and when Tobias said to the angel (Tob. 5:7, 8): "Knowest thou the way that leadeth to the city of Medes?" he answered: "I know it; and I have often walked through all the ways thereof." Therefore the angels often exercise functions of life in assumed bodies.	For it was said (Gen. eighteen sixteen) that "Abraham walked with" the angels, who had appeared to him, "bringing them on the way"; and when Tobias said to the angel (t o b. five to seven, eight): "Knowest thou the way that leadeth to the city of Medes?" he answered: "I know it; and I have often walked through all the ways thereof." Therefore the angels often exercise functions of life in assumed bodies.	false	682.82	705.27	21
3009_10328_000032_000000	Obj. 4: Further, speech is the function of a living subject, for it is produced by the voice, while the voice itself is a sound conveyed from the mouth.	o b j. four: Further, speech is the function of a living subject, for it is produced by the voice, while the voice itself is a sound conveyed from the mouth.	false	705.27	715.09	21.899435
3009_10328_000032_000001	But it is evident from many passages of Sacred Scripture that angels spoke in assumed bodies.	But it is evident from many passages of Sacred Scripture that angels spoke in assumed bodies.	true	715.22	721.42	25.060139
3009_10328_000032_000002	Therefore in their assumed bodies they exercise functions of life.	Therefore in their assumed bodies they exercise functions of life.	true	721.43	725.55	21.899336
3009_10328_000033_000000	Obj. 5: Further, eating is a purely animal function.	o b j. five: Further, eating is a purely animal function.	false	725.55	730.39	20.367363
3009_10328_000033_000001	Hence the Lord after His Resurrection ate with His disciples in proof of having resumed life (Luke 24).	Hence the Lord after His Resurrection ate with His disciples in proof of having resumed life (luke chapter twenty four).	false	730.43	736.38	21
3009_10328_000033_000002	Now when angels appeared in their assumed bodies they ate, and Abraham offered them food, after having previously adored them as God (Gen. 18).	Now when angels appeared in their assumed bodies they ate, and Abraham offered them food, after having previously adored them as God (Gen. eighteen).	false	736.38	744.54	22
3009_10328_000033_000003	Therefore the angels exercise functions of life in assumed bodies.	Therefore the angels exercise functions of life in assumed bodies.	true	744.54	748.89	19.983387
3009_10328_000034_000000	Obj. 6: Further, to beget offspring is a vital act.	o b j. six: Further, to beget offspring is a vital act.	false	748.89	753.55	25.812153
3009_10328_000034_000001	But this has befallen the angels in their assumed bodies; for it is related: "After the sons of God went in to the daughters of men, and they brought forth children, these are the mighty men of old, men of renown" (Gen.	But this has befallen the angels in their assumed bodies; for it is related: "After the sons of God went in to the daughters of men, and they brought forth children, these are the mighty men of old, men of renown" (Gen.	false	753.56	766.68	19
3009_10328_000034_000002	6:4).	six to four).	false	766.68	767.01	3
3009_10328_000034_000003	Consequently the angels exercised vital functions in their assumed bodies.	Consequently the angels exercised vital functions in their assumed bodies.	false	767.01	772.05	21.742273
3009_10328_000035_000000	_On the contrary,_ The bodies assumed by angels have no life, as was stated in the previous article (ad 3).	underscore On the contrary,underscore The bodies assumed by angels have no life, as was stated in the previous article (ad three).	false	772.05	779.79	21.330969
3009_10328_000035_000001	Therefore they cannot exercise functions of life through assumed bodies.	Therefore they cannot exercise functions of life through assumed bodies.	true	779.79	784.65	25.436811
3009_10328_000036_000000	_I answer that,_ Some functions of living subjects have something in common with other operations; just as speech, which is the function of a living creature, agrees with other sounds of inanimate things, in so far as it is sound; and walking agrees with other movements, in so far as it is movement.	underscore I answer that,underscore Some functions of living subjects have something in common with other operations; just as speech, which is the function of a living creature, agrees with other sounds of inanimate things, in so far as it is sound; and walking agrees with other movements, in so far as it is movement.	false	784.65	803.53	21.078072
3009_10328_000036_000001	Consequently vital functions can be performed in assumed bodies by the angels, as to that which is common in such operations; but not as to that which is special to living subjects; because, according to the Philosopher (De Somn. et Vig.	Consequently vital functions can be performed in assumed bodies by the angels, as to that which is common in such operations; but not as to that which is special to living subjects; because, according to the Philosopher (De s o m n. et Vig.	false	803.57	817.92	24.86239
3009_10328_000036_000002	i), "that which has the faculty has the action." Hence nothing can have a function of life except what has life, which is the potential principle of such action.	i), "that which has the faculty has the action." Hence nothing can have a function of life except what has life, which is the potential principle of such action.	false	817.92	828.22	24.360338
3009_10328_000037_000000	Reply Obj. 1: As it is in no wise contrary to truth for intelligible things to be set forth in Scripture under sensible figures, since it is not said for the purpose of maintaining that intelligible things are sensible, but in order that properties of intelligible things may be understood according to similitude through sensible figures; so it is not contrary to the truth of the holy angels that through their assumed bodies they appear to be living men, although they are really not.	Reply o b j. one: As it is in no wise contrary to truth for intelligible things to be set forth in Scripture under sensible figures, since it is not said for the purpose of maintaining that intelligible things are sensible, but in order that properties of intelligible things may be understood according to similitude through sensible figures; so it is not contrary to the truth of the holy angels that through their assumed bodies they appear to be living men, although they are really not.	false	829.04	862.09	22.963655
3009_10328_000037_000001	For the bodies are assumed merely for this purpose, that the spiritual properties and works of the angels may be manifested by the properties of man and of his works.	For the bodies are assumed merely for this purpose, that the spiritual properties and works of the angels may be manifested by the properties of man and of his works.	true	862.34	872.41	22
3009_10328_000037_000002	This could not so fittingly be done if they were to assume true men; because the properties of such men would lead us to men, and not to angels.	This could not so fittingly be done if they were to assume true men; because the properties of such men would lead us to men, and not to angels.	true	872.51	881.29	20
3009_10328_000038_000000	Reply Obj. 2: Sensation is entirely a vital function.	Reply o b j. two: Sensation is entirely a vital function.	false	881.72	887.41	20
3009_10328_000038_000001	Consequently it can in no way be said that the angels perceive through the organs of their assumed bodies.	Consequently it can in no way be said that the angels perceive through the organs of their assumed bodies.	true	887.48	894.31	20
3009_10328_000038_000002	Yet such bodies are not fashioned in vain; for they are not fashioned for the purpose of sensation through them, but to this end, that by such bodily organs the spiritual powers of the angels may be made manifest; just as by the eye the power of the angel's knowledge is pointed out, and other powers by the other members, as Dionysius teaches (Coel.	Yet such bodies are not fashioned in vain; for they are not fashioned for the purpose of sensation through them, but to this end, that by such bodily organs the spiritual powers of the angels may be made manifest; just as by the eye the power of the angel's knowledge is pointed out, and other powers by the other members, as Dionysius teaches (Coel.	false	894.68	917.64	21
3009_10328_000038_000003	Hier.).	Hier.).	false	917.64	918.15	10
3009_10328_000039_000000	Reply Obj. 3: Movement coming from a united mover is a proper function of life; but the bodies assumed by the angels are not thus moved, since the angels are not their forms.	Reply o b j. three: Movement coming from a united mover is a proper function of life; but the bodies assumed by the angels are not thus moved, since the angels are not their forms.	false	918.15	931.21	21.76037
3009_10328_000039_000001	Yet the angels are moved accidentally, when such bodies are moved, since they are in them as movers are in the moved; and they are here in such a way as not to be elsewhere, which cannot be said of God.	Yet the angels are moved accidentally, when such bodies are moved, since they are in them as movers are in the moved; and they are here in such a way as not to be elsewhere, which cannot be said of God.	true	931.49	944.23	21.367365
3009_10328_000039_000002	Accordingly, although God is not moved when the things are moved in which He exists, since He is everywhere; yet the angels are moved accidentally according to the movement of the bodies assumed.	Accordingly, although God is not moved when the things are moved in which He exists, since He is everywhere; yet the angels are moved accidentally according to the movement of the bodies assumed.	true	944.48	956.1	21
3009_10328_000039_000003	But they are not moved according to the movement of the heavenly bodies, even though they be in them as the movers in the thing moved, because the heavenly bodies do not change place in their entirety; nor for the spirit which moves the world is there any fixed locality according to any restricted part of the world's substance, which now is in the east, and now in the west, but according to a fixed quarter; because "the moving energy is always in the east," as stated in Phys. viii, text 84.	But they are not moved according to the movement of the heavenly bodies, even though they be in them as the movers in the thing moved, because the heavenly bodies do not change place in their entirety; nor for the spirit which moves the world is there any fixed locality according to any restricted part of the world's substance, which now is in the east, and now in the west, but according to a fixed quarter; because "the moving energy is always in the east," as stated in Phys. viii, text eighty four.	false	956.1	987.48	23.140377
3009_10328_000040_000000	Reply Obj. 4: Properly speaking, the angels do not talk through their assumed bodies; yet there is a semblance of speech, in so far as they fashion sounds in the air like to human voices.	Reply o b j. four: Properly speaking, the angels do not talk through their assumed bodies; yet there is a semblance of speech, in so far as they fashion sounds in the air like to human voices.	false	987.48	1001.02	23
3009_10328_000041_000000	Reply Obj. 5: Properly speaking, the angels cannot be said to eat, because eating involves the taking of food convertible into the substance of the eater.	Reply o b j. five: Properly speaking, the angels cannot be said to eat, because eating involves the taking of food convertible into the substance of the eater.	false	1001.51	1012.45	24.96977
3009_10328_000042_000000	Although after the Resurrection food was not converted into the substance of Christ's body, but resolved into pre-existing matter; nevertheless Christ had a body of such a true nature that food could be changed into it; hence it was a true eating.	Although after the Resurrection food was not converted into the substance of Christ's body, but resolved into pre-existing matter; nevertheless Christ had a body of such a true nature that food could be changed into it; hence it was a true eating.	false	1012.85	1028.35	24
3009_10328_000042_000001	But the food taken by angels was neither changed into the assumed body, nor was the body of such a nature that food could be changed into it; consequently, it was not a true eating, but figurative of spiritual eating.	But the food taken by angels was neither changed into the assumed body, nor was the body of such a nature that food could be changed into it; consequently, it was not a true eating, but figurative of spiritual eating.	true	1028.42	1042.5	22
3009_10328_000042_000002	This is what the angel said to Tobias: "When I was with you, I seemed indeed to eat and to drink; but I use an invisible meat and drink" (Tob. 12:19).	This is what the angel said to Tobias: "When I was with you, I seemed indeed to eat and to drink; but I use an invisible meat and drink" (t o b. twelve nineteen).	false	1042.5	1053.4	22.972864
3009_10328_000043_000000	Abraham offered them food, deeming them to be men, in whom, nevertheless, he worshipped God, as God is wont to be in the prophets, as Augustine says (De Civ.	Abraham offered them food, deeming them to be men, in whom, nevertheless, he worshipped God, as God is wont to be in the prophets, as Augustine says (De Civ.	false	1053.4	1063.29	20
3009_10328_000043_000001	Dei xvi).	Dei x v i).	false	1063.29	1063.82	4
3009_10328_000044_000000	Reply Obj. 6: As Augustine says (De Civ.	Reply o b j. six: As Augustine says (De Civ.	false	1063.82	1067.73	26.52206
3009_10328_000044_000001	Dei xv): "Many persons affirm that they have had the experience, or have heard from such as have experienced it, that the Satyrs and Fauns, whom the common folk call incubi, have often presented themselves before women, and have sought and procured intercourse with them.	Dei x v): "Many persons affirm that they have had the experience, or have heard from such as have experienced it, that the Satyrs and Fauns, whom the common folk call incubi, have often presented themselves before women, and have sought and procured intercourse with them.	false	1067.73	1084.81	22
3009_10328_000044_000002	Hence it is folly to deny it.	Hence it is folly to deny it.	true	1085.03	1087.36	26.336063
3009_10328_000044_000003	But God's holy angels could not fall in such fashion before the deluge.	But God's holy angels could not fall in such fashion before the deluge.	false	1087.49	1092.43	19
3009_10328_000044_000004	Hence by the sons of God are to be understood the sons of Seth, who were good; while by the daughters of men the Scripture designates those who sprang from the race of Cain.	Hence by the sons of God are to be understood the sons of Seth, who were good; while by the daughters of men the Scripture designates those who sprang from the race of Cain.	true	1092.68	1103.47	23.208263
3009_10328_000044_000005	Nor is it to be wondered at that giants should be born of them; for they were not all giants, albeit there were many more before than after the deluge." Still if some are occasionally begotten from demons, it is not from the seed of such demons, nor from their assumed bodies, but from the seed of men taken for the purpose; as when the demon assumes first the form of a woman, and afterwards of a man; just as they take the seed of other things for other generating purposes, as Augustine says (De Trin. iii), so that the person born is not the child of a demon, but of a man. _______________________	Nor is it to be wondered at that giants should be born of them; for they were not all giants, albeit there were many more before than after the deluge." Still if some are occasionally begotten from demons, it is not from the seed of such demons, nor from their assumed bodies, but from the seed of men taken for the purpose; as when the demon assumes first the form of a woman, and afterwards of a man; just as they take the seed of other things for other generating purposes, as Augustine says (De Trin. iii), so that the person born is not the child of a demon, but of a man. , blank ,	false	1103.6	1150.92	22.45245
