5656_44577_000008_000000	CHAPTER III	CHAPTER three
5656_44577_000025_000002	His big thoughts stand like huge oaks; his ideas of no especial value are merely like the grass around the tree.	His big thoughts stand like huge oaks; his ideas of no especial value are merely like the grass around the tree.
5656_44577_000027_000001	Note the following, printed in the same type as given here.	Note the following, printed in the same type as given here.
5656_44577_000031_000000	He looked at her in angry astonishment.	He looked at her in angry astonishment.
5656_44577_000033_000000	"Did you expect me to give you a chance to destroy me and poison Jacqueline's mind?	"Did you expect me to give you a chance to destroy me and poison Jacqueline's mind?
5656_44577_000033_000002	Otherwise, it is justified."	Otherwise, it is justified."
5656_44577_000034_000000	A Fifth Avenue bus would attract attention up at Minisink Ford, New York, while one of the ox teams that frequently pass there would attract attention on Fifth Avenue.	A Fifth Avenue bus would attract attention up at Minisink Ford, New York, while one of the ox teams that frequently pass there would attract attention on Fifth Avenue.
5656_44577_000034_000001	To make a word emphatic, deliver it differently from the manner in which the words surrounding it are delivered.	To make a word emphatic, deliver it differently from the manner in which the words surrounding it are delivered.
5656_44577_000034_000003	If you have been going fast, go very slow on the emphatic word.	If you have been going fast, go very slow on the emphatic word.
5656_44577_000034_000004	If you have been talking on a low pitch, jump to a high one on the emphatic word.	If you have been talking on a low pitch, jump to a high one on the emphatic word.
5656_44577_000034_000005	If you have been talking on a high pitch, take a low one on your emphatic ideas. Read the chapters on "Inflection," "Feeling," "Pause," "Change of Pitch," "Change of Tempo." Each of these will explain in detail how to get emphasis through the use of a certain principle.	If you have been talking on a high pitch, take a low one on your emphatic ideas. Read the chapters on "Inflection," "Feeling," "Pause," "Change of Pitch," "Change of Tempo." Each of these will explain in detail how to get emphasis through the use of a certain principle.
5656_44577_000035_000000	In this chapter, however, we are considering only one form of emphasis: that of applying force to the important word and subordinating the unimportant words.	In this chapter, however, we are considering only one form of emphasis: that of applying force to the important word and subordinating the unimportant words.
5656_44577_000035_000001	Do not forget: this is one of the main methods that you must continually employ in getting your effects.	Do not forget: this is one of the main methods that you must continually employ in getting your effects.
5656_44577_000036_000000	Let us not confound loudness with emphasis.	Let us not confound loudness with emphasis.
5656_44577_000036_000001	To yell is not a sign of earnestness, intelligence, or feeling.	To yell is not a sign of earnestness, intelligence, or feeling.
5656_44577_000036_000002	The kind of force that we want applied to the emphatic word is not entirely physical.	The kind of force that we want applied to the emphatic word is not entirely physical.
5656_44577_000036_000004	It must come from within, outward.	It must come from within, outward.
5656_44577_000037_000000	Last night a speaker said: "The curse of this country is not a lack of education.	Last night a speaker said: "The curse of this country is not a lack of education.
5656_44577_000037_000002	The other words were hurried over and thus given no comparative importance at all.	The other words were hurried over and thus given no comparative importance at all.
5656_44577_000037_000004	His emphasis was both correct and powerful.	His emphasis was both correct and powerful.
5656_44577_000038_000000	What would you think of a guide who agreed to show New York to a stranger and then took up his time by visiting Chinese laundries and boot-blacking "parlors" on the side streets?	What would you think of a guide who agreed to show New York to a stranger and then took up his time by visiting Chinese laundries and boot blacking "parlors" on the side streets?
5656_44577_000038_000002	If he wearies their attention with trifles they will have neither vivacity nor desire left when he reaches words of Wall-Street and skyscraper importance.	If he wearies their attention with trifles they will have neither vivacity nor desire left when he reaches words of Wall Street and skyscraper importance.
5656_44577_000038_000003	You do not dwell on these small words in your everyday conversation, because you are not a conversational bore.	You do not dwell on these small words in your everyday conversation, because you are not a conversational bore.
5656_44577_000038_000004	Apply the correct method of everyday speech to the platform.	Apply the correct method of everyday speech to the platform.
5656_44577_000038_000005	As we have noted elsewhere, public speaking is very much like conversation enlarged.	As we have noted elsewhere, public speaking is very much like conversation enlarged.
5656_44577_000040_000000	I ab-so-lute-ly refuse to grant your demand.	I ab so lute ly refuse to grant your demand.
5656_44577_000041_000000	Now and then this principle should be applied to an emphatic sentence by stressing each word.	Now and then this principle should be applied to an emphatic sentence by stressing each word.
5656_44577_000041_000001	It is a good device for exciting special attention, and it furnishes a pleasing variety.	It is a good device for exciting special attention, and it furnishes a pleasing variety.
5656_44577_000041_000002	Patrick Henry's notable climax could be delivered in that manner very effectively: "Give--me--liberty--or--give--me--death." The italicized part of the following might also be delivered with this every-word emphasis.	Patrick Henry's notable climax could be delivered in that manner very effectively: "Give-me-liberty-or-give-me-death." The italicized part of the following might also be delivered with this every word emphasis.
5656_44577_000041_000003	Of course, there are many ways of delivering it; this is only one of several good interpretations that might be chosen.	Of course, there are many ways of delivering it; this is only one of several good interpretations that might be chosen.
5656_44577_000042_000000	Knowing the price we must pay, the sacrifice we must make, the burdens we must carry, the assaults we must endure--knowing full well the cost--yet we enlist, and we enlist for the war.	Knowing the price we must pay, the sacrifice we must make, the burdens we must carry, the assaults we must endure-knowing full well the cost-yet we enlist, and we enlist for the war.
5656_44577_000044_000000	Strongly emphasizing a single word has a tendency to suggest its antithesis.	Strongly emphasizing a single word has a tendency to suggest its antithesis.
5656_44577_000044_000001	Notice how the meaning changes by merely putting the emphasis on different words in the following sentence.	Notice how the meaning changes by merely putting the emphasis on different words in the following sentence.
5656_44577_000044_000002	The parenthetical expressions would really not be needed to supplement the emphatic words.	The parenthetical expressions would really not be needed to supplement the emphatic words.
5656_44577_000051_000000	When a great battle is reported in the papers, they do not keep emphasizing the same facts over and over again.	When a great battle is reported in the papers, they do not keep emphasizing the same facts over and over again.
5656_44577_000051_000001	They try to get new information, or a "new slant." The news that takes an important place in the morning edition will be relegated to a small space in the late afternoon edition.	They try to get new information, or a "new slant." The news that takes an important place in the morning edition will be relegated to a small space in the late afternoon edition.
5656_44577_000051_000002	We are interested in new ideas and new facts.	We are interested in new ideas and new facts.
5656_44577_000051_000003	This principle has a very important bearing in determining your emphasis.	This principle has a very important bearing in determining your emphasis.
5656_44577_000051_000004	Do not emphasize the same idea over and over again unless you desire to lay extra stress on it; Senator Thurston desired to put the maximum amount of emphasis on "force" in his speech on page 50.	Do not emphasize the same idea over and over again unless you desire to lay extra stress on it; Senator Thurston desired to put the maximum amount of emphasis on "force" in his speech on page fifty.
5656_44577_000051_000005	Note how force is emphasized repeatedly.	Note how force is emphasized repeatedly.
5656_44577_000052_000000	In the following selection, "larger" is emphatic, for it is the new idea.	In the following selection, "larger" is emphatic, for it is the new idea.
5656_44577_000053_000001	"New stars and suns" are hardly as emphatic as the word "larger." Why?	"New stars and suns" are hardly as emphatic as the word "larger." Why?
5656_44577_000053_000002	Because we expect an astronomer to discover heavenly bodies rather than cooking recipes.	Because we expect an astronomer to discover heavenly bodies rather than cooking recipes.
5656_44577_000053_000003	The words, "Republic needs" in the next sentence, are emphatic; they introduce a new and important idea.	The words, "Republic needs" in the next sentence, are emphatic; they introduce a new and important idea.
5656_44577_000053_000005	"New" is emphatic because it introduces a new idea.	"New" is emphatic because it introduces a new idea.
5656_44577_000053_000006	In like manner, "soil," "grain," "tools," are also emphatic.	In like manner, "soil," "grain," "tools," are also emphatic.
5656_44577_000054_000001	Are there any others you would emphasize?	Are there any others you would emphasize?
5656_44577_000054_000002	Why?	Why?
5656_44577_000057_000001	One speaker will put one interpretation on a speech, another speaker will use different emphasis to bring out a different interpretation.	One speaker will put one interpretation on a speech, another speaker will use different emphasis to bring out a different interpretation.
5656_44577_000057_000002	No one can say that one interpretation is right and the other wrong.	No one can say that one interpretation is right and the other wrong.
5656_44577_000057_000003	This principle must be borne in mind in all our marked exercises.	This principle must be borne in mind in all our marked exercises.
5656_44577_000057_000004	Here your own intelligence must guide--and greatly to your profit.	Here your own intelligence must guide-and greatly to your profit.
5656_44577_000058_000000	QUESTIONS AND EXERCISES.	QUESTIONS AND EXERCISES.
5656_44577_000059_000000	1.	one.
5656_44577_000059_000001	What is emphasis?	What is emphasis?
5656_44577_000060_000001	Describe one method of destroying monotony of thought-presentation.	Describe one method of destroying monotony of thought presentation.
5656_44577_000061_000000	3.	three.
5656_44577_000061_000001	What relation does this have to the use of the voice?	What relation does this have to the use of the voice?
5656_44577_000062_000001	Which words should be emphasized, which subordinated, in a sentence?	Which words should be emphasized, which subordinated, in a sentence?
5656_44577_000063_000000	5.	five.
5656_44577_000063_000001	Read the selections on pages 50, 51, 52, 53 and 54, devoting special attention to emphasizing the important words or phrases and subordinating the unimportant ones.	Read the selections on pages fifty, fifty one, fifty two, fifty three and fifty four, devoting special attention to emphasizing the important words or phrases and subordinating the unimportant ones.
5656_44577_000063_000002	Read again, changing emphasis slightly.	Read again, changing emphasis slightly.
5656_44577_000063_000003	What is the effect?	What is the effect?
5656_44577_000064_000000	6.	six.
5656_44577_000064_000001	Read some sentence repeatedly, emphasizing a different word each time, and show how the meaning is changed, as is done on page 22.	Read some sentence repeatedly, emphasizing a different word each time, and show how the meaning is changed, as is done on page twenty two.
5656_44577_000065_000000	7.	seven.
5656_44577_000065_000001	What is the effect of a lack of emphasis?	What is the effect of a lack of emphasis?
5656_44577_000066_000000	8.	eight.
5656_44577_000066_000001	Read the selections on pages 30 and 48, emphasizing every word.	Read the selections on pages thirty and forty eight, emphasizing every word.
5656_44577_000066_000002	What is the effect on the emphasis?	What is the effect on the emphasis?
5656_44577_000067_000000	9.	nine.
5656_44577_000067_000001	When is it permissible to emphasize every single word in a sentence?	When is it permissible to emphasize every single word in a sentence?
5656_44577_000068_000000	10.	ten.
5656_44577_000068_000001	Note the emphasis and subordination in some conversation or speech you have heard.	Note the emphasis and subordination in some conversation or speech you have heard.
5656_44577_000068_000002	Were they well made?	Were they well made?
5656_44577_000068_000003	Why?	Why?
5656_44577_000068_000004	Can you suggest any improvement?	Can you suggest any improvement?
5656_44577_000069_000000	11.	eleven.
5656_44577_000069_000002	Mark the passage for emphasis and bring it with you to class.	Mark the passage for emphasis and bring it with you to class.
5656_44577_000070_000000	12.	twelve.
5656_44577_000070_000001	In the following passage, would you make any changes in the author's markings for emphasis?	In the following passage, would you make any changes in the author's markings for emphasis?
5656_44577_000070_000002	Where?	Where?
5656_44577_000070_000003	Why?	Why?
