119_129513_000000_000000	FROM THE EARTH TO THE MOON	FROM THE EARTH TO THE MOON	false	14.7	17.52	20.776514
119_129513_000013_000002	Still in default of practical experience what was the value of mere theories? Consequently, the clubrooms became deserted, the servants dozed in the antechambers, the newspapers grew mouldy on the tables, sounds of snoring came from dark corners, and the members of the Gun Club, erstwhile so noisy in their seances, were reduced to silence by this disastrous peace and gave themselves up wholly to dreams of a Platonic kind of artillery.	Still in default of practical experience what was the value of mere theories? Consequently, the clubrooms became deserted, the servants dozed in the antechambers, the newspapers grew mouldy on the tables, sounds of snoring came from dark corners, and the members of the Gun Club, erstwhile so noisy in their seances, were reduced to silence by this disastrous peace and gave themselves up wholly to dreams of a Platonic kind of artillery.	false	381.5	408.52	20.348137
119_129513_000014_000000	"This is horrible!" said Tom Hunter one evening, while rapidly carbonizing his wooden legs in the fireplace of the smoking-room; "nothing to do! nothing to look forward to!	"This is horrible!" said Tom Hunter one evening, while rapidly carbonizing his wooden legs in the fireplace of the smoking room; "nothing to do! nothing to look forward to!	true	408.83	419.055	20.882614
119_129513_000014_000001	what a loathsome existence!	what a loathsome existence!	true	419.055	420.73	17.441967
119_129513_000014_000002	When again shall the guns arouse us in the morning with their delightful reports?"	When again shall the guns arouse us in the morning with their delightful reports?"	true	421.07	425.62	20.10509
119_129513_000015_000000	"Those days are gone by," said jolly Bilsby, trying to extend his missing arms.	"Those days are gone by," said jolly Bilsby, trying to extend his missing arms.	false	426.2	430.335	21
119_129513_000015_000001	"It was delightful once upon a time! One invented a gun, and hardly was it cast, when one hastened to try it in the face of the enemy!	"It was delightful once upon a time! One invented a gun, and hardly was it cast, when one hastened to try it in the face of the enemy!	true	430.335	437.5	20
119_129513_000015_000002	Then one returned to camp with a word of encouragement from Sherman or a friendly shake of the hand from McClellan.	Then one returned to camp with a word of encouragement from Sherman or a friendly shake of the hand from McClellan.	true	437.72	443.26	18
119_129513_000015_000003	But now the generals are gone back to their counters; and in place of projectiles, they despatch bales of cotton.	But now the generals are gone back to their counters; and in place of projectiles, they despatch bales of cotton.	true	443.54	449.85	20.585367
119_129513_000015_000004	By Jove, the future of gunnery in America is lost!"	By Jove, the future of gunnery in America is lost!"	true	449.85	453.27	19.16488
119_129513_000016_000000	"Ay! and no war in prospect!" continued the famous James T. Maston, scratching with his steel hook his gutta-percha cranium. "Not a cloud on the horizon! and that too at such a critical period in the progress of the science of artillery!	"Ay! and no war in prospect!" continued the famous james t Maston, scratching with his steel hook his gutta percha cranium. "Not a cloud on the horizon! and that too at such a critical period in the progress of the science of artillery!	false	453.27	469.96	20.028484
119_129513_000016_000001	Yes, gentlemen! I who address you have myself this very morning perfected a model (plan, section, elevation, etc.) of a mortar destined to change all the conditions of warfare!"	Yes, gentlemen! I who address you have myself this very morning perfected a model (plan, section, elevation, etc) of a mortar destined to change all the conditions of warfare!"	true	470.06	481.48	19.32838
119_129513_000017_000000	"No! is it possible?" replied Tom Hunter, his thoughts reverting involuntarily to a former invention of the Hon.	"No! is it possible?" replied Tom Hunter, his thoughts reverting involuntarily to a former invention of the honorable	false	481.73	488.88	21.060701
119_129513_000017_000001	J. T. Maston, by which, at its first trial, he had succeeded in killing three hundred and thirty-seven people.	j t Maston, by which, at its first trial, he had succeeded in killing three hundred and thirty seven people.	true	488.88	495.19	19
119_129513_000018_000000	"Fact!" replied he.	"Fact!" replied he.	true	495.35	496.63	22.580702
119_129513_000018_000001	"Still, what is the use of so many studies worked out, so many difficulties vanquished?	"Still, what is the use of so many studies worked out, so many difficulties vanquished?	true	496.76	502.3	20.45333
119_129513_000018_000002	It's mere waste of time!	It's mere waste of time!	true	502.49	504.06	20.729404
119_129513_000018_000003	The New World seems to have made up its mind to live in peace; and our bellicose _Tribune_ predicts some approaching catastrophes arising out of this scandalous increase of population."	The New World seems to have made up its mind to live in peace; and our bellicose underscore Tribune underscore predicts some approaching catastrophes arising out of this scandalous increase of population."	false	504.06	515.17	20.053843
119_129513_000019_000000	"Nevertheless," replied Colonel Blomsberry, "they are always struggling in Europe to maintain the principle of nationalities."	"Nevertheless," replied Colonel Blomsberry, "they are always struggling in Europe to maintain the principle of nationalities."	true	515.72	522.22	18.91786
119_129513_000020_000000	"Well?"	"Well?"	true	522.32	523.06	22.552834
119_129513_000021_000000	"Well, there might be some field for enterprise down there; and if they would accept our services----"	"Well, there might be some field for enterprise down there; and if they would accept our services----"	false	523.43	528.43	21.557735
119_129513_000022_000000	"What are you dreaming of?" screamed Bilsby; "work at gunnery for the benefit of foreigners?"	"What are you dreaming of?" screamed Bilsby; "work at gunnery for the benefit of foreigners?"	false	528.83	533.71	22.993145
119_129513_000023_000000	"That would be better than doing nothing here," returned the colonel.	"That would be better than doing nothing here," returned the colonel.	true	534.14	537.01	19
119_129513_000024_000000	"Quite so," said J. T. Matson; "but still we need not dream of that expedient."	"Quite so," said j t Matson; "but still we need not dream of that expedient."	false	537.26	542.79	21.829245
119_129513_000025_000000	"And why not?" demanded the colonel.	"And why not?" demanded the colonel.	true	542.79	544.6	21.3377
119_129513_000026_000000	"Because their ideas of progress in the Old World are contrary to our American habits of thought.	"Because their ideas of progress in the Old World are contrary to our American habits of thought.	true	544.64	550.12	21.443909
119_129513_000026_000001	Those fellows believe that one can't become a general without having served first as an ensign; which is as much as to say that one can't point a gun without having first cast it oneself!"	Those fellows believe that one can't become a general without having served first as an ensign; which is as much as to say that one can't point a gun without having first cast it oneself!"	false	550.19	561.76	20.140604
119_129513_000027_000000	"Ridiculous!" replied Tom Hunter, whittling with his bowie-knife the arms of his easy chair; "but if that be the case there, all that is left for us is to plant tobacco and distill whale-oil."	"Ridiculous!" replied Tom Hunter, whittling with his bowie knife the arms of his easy chair; "but if that be the case there, all that is left for us is to plant tobacco and distill whale oil."	false	561.95	573.18	20.822887
119_129513_000028_000000	"What!" roared J. T. Maston, "shall we not employ these remaining years of our life in perfecting firearms?	"What!" roared j t Maston, "shall we not employ these remaining years of our life in perfecting firearms?	false	573.18	580.305	19.77274
119_129513_000028_000001	Shall there never be a fresh opportunity of trying the ranges of projectiles? Shall the air never again be lighted with the glare of our guns? No international difficulty ever arise to enable us to declare war against some transatlantic power?	Shall there never be a fresh opportunity of trying the ranges of projectiles? Shall the air never again be lighted with the glare of our guns? No international difficulty ever arise to enable us to declare war against some transatlantic power?	true	580.305	594.63	18
119_129513_000028_000002	Shall not the French sink one of our steamers, or the English, in defiance of the rights of nations, hang a few of our countrymen?"	Shall not the French sink one of our steamers, or the English, in defiance of the rights of nations, hang a few of our countrymen?"	false	594.63	601.39	20.49415
119_129513_000029_000000	"No such luck," replied Colonel Blomsberry; "nothing of the kind is likely to happen; and even if it did, we should not profit by it. American susceptibility is fast declining, and we are all going to the dogs."	"No such luck," replied Colonel Blomsberry; "nothing of the kind is likely to happen; and even if it did, we should not profit by it. American susceptibility is fast declining, and we are all going to the dogs."	false	601.73	614.02	21.651068
119_129513_000030_000000	"It is too true," replied J. T. Maston, with fresh violence; "there are a thousand grounds for fighting, and yet we don't fight. We save up our arms and legs for the benefit of nations who don't know what to do with them!	"It is too true," replied j t Maston, with fresh violence; "there are a thousand grounds for fighting, and yet we don't fight. We save up our arms and legs for the benefit of nations who don't know what to do with them!	false	614.24	626.7	20.817724
119_129513_000030_000001	But stop-- without going out of one's way to find a cause for war-- did not North America once belong to the English?"	But stop- without going out of one's way to find a cause for war- did not North America once belong to the English?"	false	626.7	633.49	20.842999
119_129513_000031_000000	"Undoubtedly," replied Tom Hunter, stamping his crutch with fury.	"Undoubtedly," replied Tom Hunter, stamping his crutch with fury.	true	633.68	637.54	20.807522
119_129513_000032_000000	"Well, then," replied J. T. Maston, "why should not England in her turn belong to the Americans?"	"Well, then," replied j t Maston, "why should not England in her turn belong to the Americans?"	false	637.61	643.11	19.341307
119_129513_000033_000000	"It would be but just and fair," returned Colonel Blomsberry.	"It would be but just and fair," returned Colonel Blomsberry.	false	643.11	646.3	16
119_129513_000034_000000	"Go and propose it to the President of the United States," cried J. T. Maston, "and see how he will receive you."	"Go and propose it to the President of the United States," cried j t Maston, "and see how he will receive you."	false	646.55	653.7	21.606783
119_129513_000035_000000	"Bah!" growled Bilsby between the four teeth which the war had left him; "that will never do!"	"Bah!" growled Bilsby between the four teeth which the war had left him; "that will never do!"	true	653.7	659.2	21.456926
119_129513_000036_000000	"By Jove!" cried J. T. Maston, "he mustn't count on my vote at the next election!"	"By Jove!" cried j t Maston, "he mustn't count on my vote at the next election!"	true	659.45	664.33	22.19211
119_129513_000037_000000	"Nor on ours," replied unanimously all the bellicose invalids.	"Nor on ours," replied unanimously all the bellicose invalids.	true	664.61	668.98	19.330954
119_129513_000038_000000	"Meanwhile," replied J. T. Maston, "allow me to say that, if I cannot get an opportunity to try my new mortars on a real field of battle, I shall say good-by to the members of the Gun Club, and go and bury myself in the prairies of Arkansas!"	"Meanwhile," replied j t Maston, "allow me to say that, if I cannot get an opportunity to try my new mortars on a real field of battle, I shall say good by to the members of the Gun Club, and go and bury myself in the prairies of Arkansas!"	false	669.17	683.38	21
119_129513_000039_000000	"In that case we will accompany you," cried the others.	"In that case we will accompany you," cried the others.	true	683.63	686.47	22.202705
119_129513_000040_000000	Matters were in this unfortunate condition, and the club was threatened with approaching dissolution, when an unexpected circumstance occurred to prevent so deplorable a catastrophe.	Matters were in this unfortunate condition, and the club was threatened with approaching dissolution, when an unexpected circumstance occurred to prevent so deplorable a catastrophe.	true	686.96	696.82	20.675806
119_129513_000041_000000	On the morrow after this conversation every member of the association received a sealed circular couched in the following terms:	On the morrow after this conversation every member of the association received a sealed circular couched in the following terms:	true	697.13	704.89	20.484053
119_129513_000042_000000	BALTIMORE, October 3. The president of the Gun Club has the honor to inform his colleagues that, at the meeting of the 5th instant, he will bring before them a communication of an extremely interesting nature.	BALTIMORE, october third. The president of the Gun Club has the honor to inform his colleagues that, at the meeting of the fifth instant, he will bring before them a communication of an extremely interesting nature.	true	705.41	719.32	21.990387
119_129513_000042_000001	He requests, therefore, that they will make it convenient to attend in accordance with the present invitation.	He requests, therefore, that they will make it convenient to attend in accordance with the present invitation.	false	719.51	725.5	22.970596
119_129513_000042_000002	Very cordially, IMPEY BARBICANE, P.G.C.	Very cordially, IMPEY b a r b i c a n e, p g c	false	725.63	735.93	20.49906
