7825_258970_000000_000000	[Sidenote: Rent and time-value are essentially different phrases of the value problem]	[Sidenote: Rent and time value are essentially different phrases of the value problem]	false	0	2.16	23.54755
7825_258970_000013_000004	Some replenishing agents will restore themselves if given time; the forest will grow up if left untouched by man; the field will recover its fertile quality if allowed to lie fallow.	Some replenishing agents will restore themselves if given time; the forest will grow up if left untouched by man; the field will recover its fertile quality if allowed to lie fallow.	true	313.58	325.21	24.163767
7825_258970_000013_000005	But this self-replenishing of agents is a slow process, and time is costly.	But this self replenishing of agents is a slow process, and time is costly.	true	325.4	330.79	21.219007
7825_258970_000013_000006	Man therefore tries in other ways to force more uses out of goods, until checked by the increasing difficulty.	Man therefore tries in other ways to force more uses out of goods, until checked by the increasing difficulty.	true	330.98	338.53	23.177044
7825_258970_000013_000007	The goods subject to "the law of increasing cost," as it was called formerly, were considered to be a peculiar class comprising only a small portion of wealth.	The goods subject to "the law of increasing cost," as it was called formerly, were considered to be a peculiar class comprising only a small portion of wealth.	false	338.87	349.69	21.805744
7825_258970_000013_000008	But it can now be seen that the law may apply ultimately, though in differing degrees, to every kind of economic goods.	But it can now be seen that the law may apply ultimately, though in differing degrees, to every kind of economic goods.	true	350.09	357.28	22.30145
7825_258970_000013_000009	Indeed, the principle just discussed is no more than one phase of the law of economic diminishing returns, which has a universal application to the realm of values.	Indeed, the principle just discussed is no more than one phase of the law of economic diminishing returns, which has a universal application to the realm of values.	true	357.65	367.08	21.89671
7825_258970_000014_000000	[Sidenote: Agents most nearly fixed in amount are somewhat increasable]	[Sidenote: Agents most nearly fixed in amount are somewhat increasable]	false	367.08	368.295	-20
7825_258970_000015_000000	4.	four.	true	368.295	368.88	24.796537
7825_258970_000015_000001	_There is a class of goods, natural agents and stores of materials which appears to be relatively fixed in quantity or which is increasable only with much difficulty._ The first part of this proposition expresses mildly the thought that long obtained among economists: it was said that the supply of certain things was absolutely fixed, the chief of these being land used for agriculture.	underscore There is a class of goods, natural agents and stores of materials which appears to be relatively fixed in quantity or which is increasable only with much difficulty.underscore The first part of this proposition expresses mildly the thought that long obtained among economists: it was said that the supply of certain things was absolutely fixed, the chief of these being land used for agriculture.	false	368.88	393.79	23.100565
7825_258970_000015_000002	The idea as held by Malthus and Ricardo was modified by John Stuart Mill in somewhat inconsistent ways. Land, it was said, is a thing which "man cannot make," therefore its supply is fixed.	The idea as held by Malthus and Ricardo was modified by john Stuart Mill in somewhat inconsistent ways. Land, it was said, is a thing which "man cannot make," therefore its supply is fixed.	false	394.28	408.79	23.578234
7825_258970_000015_000003	The second part of the opening proposition expresses the view here held: the supply of no important class of goods is absolutely fixed, in any reasonable sense.	The second part of the opening proposition expresses the view here held: the supply of no important class of goods is absolutely fixed, in any reasonable sense.	true	408.98	418.84	23.298706
7825_258970_000015_000004	Most, if not all, belong to the class that is increasable, although it may be with much difficulty. Even when the exact thing cannot be duplicated, as a bust by an ancient sculptor or an autograph of a dead author, many substitutes serving the same or closely related wants, affect and limit the demand, and thus increase the supply.	Most, if not all, belong to the class that is increasable, although it may be with much difficulty. Even when the exact thing cannot be duplicated, as a bust by an ancient sculptor or an autograph of a dead author, many substitutes serving the same or closely related wants, affect and limit the demand, and thus increase the supply.	true	418.91	440.76	22.762365
7825_258970_000015_000005	Men cannot, it is true, increase the stores of copper in the earth, but they devise new processes to extract it from ores before worthless, and invent methods of procuring aluminium, which yields some of the same utilities as copper.	Men cannot, it is true, increase the stores of copper in the earth, but they devise new processes to extract it from ores before worthless, and invent methods of procuring aluminium, which yields some of the same utilities as copper.	false	440.76	455.68	24.706564
7825_258970_000015_000006	Even the supply of land, as is shown elsewhere, is constantly changing.	Even the supply of land, as is shown elsewhere, is constantly changing.	true	456.23	461.35	19.796965
7825_258970_000015_000007	Thus all kinds of wealth can be increased in some degree; many kinds in the course of time are very greatly increased with little or no direct effort, but the supply of all alike can be secured in larger amount at any given moment only at the cost of increasing difficulty.	Thus all kinds of wealth can be increased in some degree; many kinds in the course of time are very greatly increased with little or no direct effort, but the supply of all alike can be secured in larger amount at any given moment only at the cost of increasing difficulty.	false	461.75	479.4	23.326231
7825_258970_000016_000000	Sec.	Sec.	false	479.4	480.66	100
7825_258970_000016_000001	II. SOCIAL SIGNIFICANCE OF THESE DIFFERENCES	two. SOCIAL SIGNIFICANCE OF THESE DIFFERENCES	false	480.66	484.41	21.364223
7825_258970_000017_000000	[Sidenote: Physical amount vs. economic supply]	[Sidenote: Physical amount vs economic supply]	false	484.41	485.13	-20
7825_258970_000018_000000	1.	one.	true	485.13	485.7	20.34827
7825_258970_000018_000001	_Not the fixity of the physical amount of agents, but the economic supply is significant._ There is danger of confusion between these two ideas.	underscore Not the fixity of the physical amount of agents, but the economic supply is significant.underscore There is danger of confusion between these two ideas.	false	485.7	495.465	21.519358
7825_258970_000018_000002	The statement that "land" cannot be created and that therefore "the supply is fixed" involves a fallacy.	The statement that "land" cannot be created and that therefore "the supply is fixed" involves a fallacy.	false	495.465	504.13	24.56061
7825_258970_000018_000003	The word supply means the amount that is available at the moment or during the period spoken of. The land in Greenland is not, and probably never can be, a part of the supply of land in England.	The word supply means the amount that is available at the moment or during the period spoken of. The land in Greenland is not, and probably never can be, a part of the supply of land in England.	true	504.59	517.12	21.657694
7825_258970_000018_000004	The land in America for centuries was not, but now has become, for some purposes, a part of the supply in the same market as the land of England.	The land in America for centuries was not, but now has become, for some purposes, a part of the supply in the same market as the land of England.	true	517.25	526.96	23.502867
7825_258970_000018_000005	The question of importance in economic discussion is not whether the physical material can be brought into existence, but whether the economic "supply" can be increased.	The question of importance in economic discussion is not whether the physical material can be brought into existence, but whether the economic "supply" can be increased.	false	527.09	537.85	22.648954
7825_258970_000018_000006	The existence of coal-mines in Venus or Mars is of no economic importance to us, but coal-mines on the earth, yet undiscovered, present a potential supply that at any moment may be realized.	The existence of coal mines in Venus or Mars is of no economic importance to us, but coal mines on the earth, yet undiscovered, present a potential supply that at any moment may be realized.	true	538.31	550.89	21.703157
7825_258970_000019_000000	[Sidenote: Discovery enlarges the supply of natural resources]	[Sidenote: Discovery enlarges the supply of natural resources]	false	550.89	552	-20
7825_258970_000020_000000	2.	two.	true	552	552.84	24.510887
7825_258970_000020_000001	_Discovery of new lands and of new natural deposits continually enlarges the economic supply of the agents most nearly fixed in physical amount._ This proposition states a historical fact.	underscore Discovery of new lands and of new natural deposits continually enlarges the economic supply of the agents most nearly fixed in physical amount.underscore This proposition states a historical fact.	false	552.84	566.14	25.012957
7825_258970_000020_000002	Any explanation of the economic occurrences of the last five centuries or of the immediate future, that ignores this fact of the increasing supply of many kinds of land and natural resources in the markets of the civilized world, must lead to false conclusions.	Any explanation of the economic occurrences of the last five centuries or of the immediate future, that ignores this fact of the increasing supply of many kinds of land and natural resources in the markets of the civilized world, must lead to false conclusions.	false	566.51	582.96	21.327276
7825_258970_000020_000003	The rate of this movement has been more rapid in the past century than theretofore, and perhaps more rapid than it will be henceforward; but that this development will continue in large measure and for a long period, is not open to question.	The rate of this movement has been more rapid in the past century than theretofore, and perhaps more rapid than it will be henceforward; but that this development will continue in large measure and for a long period, is not open to question.	false	582.96	597.22	23.81913
7825_258970_000020_000004	Undeveloped areas will be opened to the world, and new geologic realms will be explored.	Undeveloped areas will be opened to the world, and new geologic realms will be explored.	true	597.74	604.09	21.03186
7825_258970_000020_000005	Yet the notion criticized above is found in all the older text-books.	Yet the notion criticized above is found in all the older text books.	true	604.28	608.38	21.64923
7825_258970_000020_000006	The idea arose in England in the first quarter of the nineteenth century when land and food were rapidly rising in price, and it has vitiated a large part of both the economic theory and the practical conclusions on this subject.	The idea arose in England in the first quarter of the nineteenth century when land and food were rapidly rising in price, and it has vitiated a large part of both the economic theory and the practical conclusions on this subject.	false	608.81	622.92	22.50442
7825_258970_000021_000000	[Sidenote: The effective supply grows by invention]	[Sidenote: The effective supply grows by invention]	false	622.92	624.015	-20
7825_258970_000022_000000	3.	three.	true	624.015	624.54	24.121098
7825_258970_000022_000001	_Invention, including new modes of transportation and new processes, increases the economic supply of most scarce goods and provides substitutes for the others._ Some inventions increase economic supply by making available the uses in goods that were before unavailable.	underscore Invention, including new modes of transportation and new processes, increases the economic supply of most scarce goods and provides substitutes for the others.underscore Some inventions increase economic supply by making available the uses in goods that were before unavailable.	false	624.54	643.78	22.120693
7825_258970_000022_000002	Subsoil ploughing annexes to agricultural land new layers of soil that are just as important as new acres added to the surface.	Subsoil ploughing annexes to agricultural land new layers of soil that are just as important as new acres added to the surface.	true	643.88	652.45	23.08863
7825_258970_000022_000003	If land could be used three times as deep, it would be as good for many purposes as if it were of three times the extent.	If land could be used three times as deep, it would be as good for many purposes as if it were of three times the extent.	false	652.85	660.76	23.478165
7825_258970_000022_000004	New trade routes and new means of transportation add to the supplies available in the older countries as effectively as if their areas were increased.	New trade routes and new means of transportation add to the supplies available in the older countries as effectively as if their areas were increased.	true	660.92	670.21	21.4927
7825_258970_000022_000005	The building of railroads in western America had an effect on English rents identical in nature with that which would have been produced had an equal area of somewhat less fertile land touching England, risen out of the ocean.	The building of railroads in western America had an effect on English rents identical in nature with that which would have been produced had an equal area of somewhat less fertile land touching England, risen out of the ocean.	true	670.49	683.65	22.181704
7825_258970_000022_000006	Every country in Europe has repeatedly felt the shock of these great economic changes which have compelled the recapitalization on a lower plane, of nearly all kinds of their landed wealth.	Every country in Europe has repeatedly felt the shock of these great economic changes which have compelled the recapitalization on a lower plane, of nearly all kinds of their landed wealth.	true	684.05	695.65	23.859293
7825_258970_000022_000007	Where the same agents have not been multiplied, substitutes have been found that are just as effective in meeting the economic need.	Where the same agents have not been multiplied, substitutes have been found that are just as effective in meeting the economic need.	true	696.23	703.51	22.796724
7825_258970_000022_000008	It is the result, the gratification, that man seeks: any particular good is but the means to an end.	It is the result, the gratification, that man seeks: any particular good is but the means to an end.	true	703.67	710.43	23.370266
7825_258970_000023_000000	[Sidenote: Production of land by physical change]	[Sidenote: Production of land by physical change]	false	710.43	711.6	15
7825_258970_000024_000000	4.	four.	true	711.6	712.14	26.304512
7825_258970_000024_000001	_Increasing wealth and new labor make possible the increase of the agents that appear most nearly fixed in supply._ When the need arises men turn to new enterprises.	underscore Increasing wealth and new labor make possible the increase of the agents that appear most nearly fixed in supply.underscore When the need arises men turn to new enterprises.	false	712.14	722.56	20.412436
7825_258970_000024_000002	The reclaiming of land in Holland is a striking but far from isolated example.	The reclaiming of land in Holland is a striking but far from isolated example.	false	722.66	727.66	20.130836
7825_258970_000024_000003	Among the larger undertakings of this kind are the draining of the Haarlem Lake in 1840-58, by which 40,000 acres of rich land were made available, and the draining of the Zuyder Zee, which is adding 1,300,000 acres.	Among the larger undertakings of this kind are the draining of the Haarlem Lake in eighteen forty to fifty eight, by which forty thousand acres of rich land were made available, and the draining of the Zuyder Zee, which is adding one million three hundred thousand acres.	false	728.03	743.5	22.255299
7825_258970_000024_000004	Though there have been many minor undertakings of the kind, the area reclaimed is relatively small compared with the whole area of the land in the world used for agricultural purposes.	Though there have been many minor undertakings of the kind, the area reclaimed is relatively small compared with the whole area of the land in the world used for agricultural purposes.	true	743.9	754.63	18.689934
7825_258970_000024_000005	There are still great areas of fens, swamps, and marshlands, such as those on the Jersey coast in this country, which with moderate effort could be reclaimed.	There are still great areas of fens, swamps, and marshlands, such as those on the Jersey coast in this country, which with moderate effort could be reclaimed.	true	754.97	765.19	22.067383
7825_258970_000024_000006	While the possibility must be recognized, the increase of the area of available agricultural land by means of such physical changes is relatively small.	While the possibility must be recognized, the increase of the area of available agricultural land by means of such physical changes is relatively small.	false	765.47	775.5	21.501825
7825_258970_000025_000000	[Sidenote: And by the work of pioneers]	[Sidenote: And by the work of pioneers]	false	775.5	777.03	18.374287
7825_258970_000026_000000	The work of the pioneer, as a producer of a supply of land, is, however, of the greatest importance.	The work of the pioneer, as a producer of a supply of land, is, however, of the greatest importance.	false	777.03	783.34	21.39597
7825_258970_000026_000001	The pioneer annexes new areas to the economic world and to the market in which he has lived.	The pioneer annexes new areas to the economic world and to the market in which he has lived.	true	783.5	789.22	23.485586
7825_258970_000026_000002	This is recognized of late by writers that perhaps do not fully mark its significance to economic theory.	This is recognized of late by writers that perhaps do not fully mark its significance to economic theory.	true	789.47	795.76	23.381714
7825_258970_000026_000003	The work of the explorer and prospector is that of a producer of mineral resources, and daily market quotations reflect the changes in "the supply" of these natural stores.	The work of the explorer and prospector is that of a producer of mineral resources, and daily market quotations reflect the changes in "the supply" of these natural stores.	false	796.07	808.86	22.910334
7825_258970_000027_000000	[Sidenote: Successive utilization of various grades of agents]	[Sidenote: Successive utilization of various grades of agents]	false	808.86	809.97	-20
7825_258970_000028_000000	5.	five.	true	809.97	810.72	24.977066
7825_258970_000028_000001	_Limitation of the supply appears first in the better qualities, and efforts to increase wealth are then directed to making available the poorer grades._ Great quantities of the poorer grades of wealth, even of those things that are relatively fixed in supply, lie unused.	underscore Limitation of the supply appears first in the better qualities, and efforts to increase wealth are then directed to making available the poorer grades.underscore Great quantities of the poorer grades of wealth, even of those things that are relatively fixed in supply, lie unused.	false	810.72	827.44	22.33835
7825_258970_000028_000002	Great areas on the edge of civilization still await the pioneer, the prospector, and the miner.	Great areas on the edge of civilization still await the pioneer, the prospector, and the miner.	true	827.93	834.4	21.828999
7825_258970_000028_000003	Here is a source of wealth and a field for enterprise.	Here is a source of wealth and a field for enterprise.	true	834.59	837.97	22.792044
7825_258970_000028_000004	The growth of society may cause some of the poorer agents in time to become the best.	The growth of society may cause some of the poorer agents in time to become the best.	true	838.19	843.4	22.922068
7825_258970_000028_000005	When men crossed the ocean to settle on Manhattan Island, it was a wilderness; but the growth of commerce has caused the land in New York city to become more valuable than that in London.	When men crossed the ocean to settle on Manhattan Island, it was a wilderness; but the growth of commerce has caused the land in New York city to become more valuable than that in London.	true	843.68	854.26	21.101927
7825_258970_000028_000006	Changes are still in progress, for of late the smaller ports to the south have increased their trade at a more rapid pace than New York has.	Changes are still in progress, for of late the smaller ports to the south have increased their trade at a more rapid pace than New York has.	true	854.66	863.46	25.151981
7825_258970_000029_000000	[Sidenote: Goods ranged on a scale of increasableness]	[Sidenote: Goods ranged on a scale of increasableness]	false	863.46	864.6	9
7825_258970_000030_000000	The difference in increasableness of the various forms of wealth is of importance in considering various social questions such as the effects of an increase of population, and the kinds of taxation most equitable and most favorable to the progress of society.	The difference in increasableness of the various forms of wealth is of importance in considering various social questions such as the effects of an increase of population, and the kinds of taxation most equitable and most favorable to the progress of society.	true	864.6	879.76	22.16603
7825_258970_000030_000001	Account must be taken of the fact that the number of bricks can be increased more easily than the amount of land; but there must not be overlooked the possibility of increase in any of these forms of wealth, nor the limits to the increase of any one of them.	Account must be taken of the fact that the number of bricks can be increased more easily than the amount of land; but there must not be overlooked the possibility of increase in any of these forms of wealth, nor the limits to the increase of any one of them.	true	880.04	895.51	22.952627
7825_258970_000030_000002	When one wishes to save or increase wealth, he turns to these great unappropriated fields, unused things or things imperfectly used, and tries to convert them into effective agents.	When one wishes to save or increase wealth, he turns to these great unappropriated fields, unused things or things imperfectly used, and tries to convert them into effective agents.	true	895.79	908.44	24.00889
7825_258970_000030_000003	The different forms of wealth may be ranged on a scale according to the ease with which they can be increased by effort.	The different forms of wealth may be ranged on a scale according to the ease with which they can be increased by effort.	true	908.87	915.79	23.010756
7825_258970_000030_000004	They may therefore be classed as relatively fixed and relatively increasable.	They may therefore be classed as relatively fixed and relatively increasable.	false	916.01	921.49	21.99772
7825_258970_000030_000005	Some natural resources belong at one end, and some at the other end of this scale.	Some natural resources belong at one end, and some at the other end of this scale.	true	921.8	927.4	20.26682
7825_258970_000030_000006	No hard and fast line divides the different kinds of goods, but the difference in degree of increasableness is a fact of great social importance, affecting the direction in which industry can and must progress.	No hard and fast line divides the different kinds of goods, but the difference in degree of increasableness is a fact of great social importance, affecting the direction in which industry can and must progress.	false	927.56	945.45	23.578796
