398_123602_000000_000000	I sighed, and turned to the half-written page again.	I sighed, and turned to the half written page again.	false	4.98	19.47	22.652658
398_123602_000006_000000	he quoted, as he gazed out into the sunshine and up the long wooded shore.	he quoted, as he gazed out into the sunshine and up the long wooded shore.	false	108.56	113.79	21.044024
398_123602_000006_000001	Then he glanced at me, and looked all about him as pleased as a child.	Then he glanced at me, and looked all about him as pleased as a child.	true	113.79	118.84	21.211945
398_123602_000007_000000	"My quotation was from Paradise Lost: the greatest of poems, I suppose you know?" and I nodded.	"My quotation was from Paradise Lost: the greatest of poems, I suppose you know?" and I nodded.	false	119.57	127.23	18.922443
398_123602_000007_000001	"There's nothing that ranks, to my mind, with Paradise Lost; it's all lofty, all lofty," he continued.	"There's nothing that ranks, to my mind, with Paradise Lost; it's all lofty, all lofty," he continued.	false	127.23	134.46	17.600615
398_123602_000007_000002	"Shakespeare was a great poet; he copied life, but you have to put up with a great deal of low talk."	"Shakespeare was a great poet; he copied life, but you have to put up with a great deal of low talk."	true	134.46	141.76	20.903563
398_123602_000008_000000	I now remembered that Mrs. Todd had told me one day that Captain Littlepage had overset his mind with too much reading; she had also made dark reference to his having "spells" of some unexplainable nature.	I now remembered that mrs Todd had told me one day that Captain Littlepage had overset his mind with too much reading; she had also made dark reference to his having "spells" of some unexplainable nature.	false	143.09	157.725	19.036867
398_123602_000008_000001	I could not help wondering what errand had brought him out in search of me.	I could not help wondering what errand had brought him out in search of me.	true	157.725	161.77	17
398_123602_000008_000002	There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.	There was something quite charming in his appearance: it was a face thin and delicate with refinement, but worn into appealing lines, as if he had suffered from loneliness and misapprehension.	false	162.17	174.58	18.524858
398_123602_000008_000003	He looked, with his careful precision of dress, as if he were the object of cherishing care on the part of elderly unmarried sisters, but I knew Mari' Harris to be a very common-place, inelegant person, who would have no such standards; it was plain that the captain was his own attentive valet.	He looked, with his careful precision of dress, as if he were the object of cherishing care on the part of elderly unmarried sisters, but I knew Mari' Harris to be a very common place, inelegant person, who would have no such standards; it was plain that the captain was his own attentive valet.	true	174.89	195.4	21.54106
398_123602_000008_000004	He sat looking at me expectantly.	He sat looking at me expectantly.	true	195.68	198.07	19
398_123602_000008_000005	I could not help thinking that, with his queer head and length of thinness, he was made to hop along the road of life rather than to walk.	I could not help thinking that, with his queer head and length of thinness, he was made to hop along the road of life rather than to walk.	true	198.35	208.09	18.185385
398_123602_000008_000006	The captain was very grave indeed, and I bade my inward spirit keep close to discretion.	The captain was very grave indeed, and I bade my inward spirit keep close to discretion.	true	208.49	215.41	20.912233
398_123602_000009_000000	"Poor Mrs. Begg has gone," I ventured to say.	"Poor mrs Begg has gone," I ventured to say.	true	215.9	219.52	22.025328
398_123602_000009_000001	I still wore my Sunday gown by way of showing respect.	I still wore my Sunday gown by way of showing respect.	true	219.65	223.02	17.791574
398_123602_000010_000000	"She has gone," said the captain,--"very easy at the last, I was informed; she slipped away as if she were glad of the opportunity."	"She has gone," said the captain,--"very easy at the last, I was informed; she slipped away as if she were glad of the opportunity."	false	223.02	229.72	19.493446
398_123602_000011_000000	I thought of the Countess of Carberry, and felt that history repeated itself.	I thought of the Countess of Carberry, and felt that history repeated itself.	true	230.81	235.48	21.828423
398_123602_000012_000000	"She was one of the old stock," continued Captain Littlepage, with touching sincerity.	"She was one of the old stock," continued Captain Littlepage, with touching sincerity.	false	236.93	240.12	17.129183
398_123602_000012_000001	"She was very much looked up to in this town, and will be missed."	"She was very much looked up to in this town, and will be missed."	true	240.12	243.46	20.797506
398_123602_000013_000000	I wondered, as I looked at him, if he had sprung from a line of ministers; he had the refinement of look and air of command which are the heritage of the old ecclesiastical families of New England.	I wondered, as I looked at him, if he had sprung from a line of ministers; he had the refinement of look and air of command which are the heritage of the old ecclesiastical families of New England.	true	244.16	256.21	21.235222
398_123602_000013_000001	But as Darwin says in his autobiography, "there is no such king as a sea-captain; he is greater even than a king or a schoolmaster!"	But as Darwin says in his autobiography, "there is no such king as a sea captain; he is greater even than a king or a schoolmaster!"	false	257.18	267.19	18.237991
398_123602_000014_000000	Captain Littlepage moved his chair out of the wake of the sunshine, and still sat looking at me.	Captain Littlepage moved his chair out of the wake of the sunshine, and still sat looking at me.	true	267.83	274.42	19.985184
398_123602_000014_000001	I began to be very eager to know upon what errand he had come.	I began to be very eager to know upon what errand he had come.	true	274.97	279.19	21.447996
398_123602_000015_000000	"It may be found out some o' these days," he said earnestly.	"It may be found out some o' these days," he said earnestly.	false	280.85	284.595	19.234924
398_123602_000015_000001	"We may know it all, the next step; where Mrs. Begg is now, for instance. Certainty, not conjecture, is what we all desire."	"We may know it all, the next step; where mrs Begg is now, for instance. Certainty, not conjecture, is what we all desire."	true	284.595	295.36	21.532272
398_123602_000016_000000	"I suppose we shall know it all some day," said I.	"I suppose we shall know it all some day," said i	true	297.14	299.8	21.408384
398_123602_000017_000000	"We shall know it while yet below," insisted the captain, with a flush of impatience on his thin cheeks.	"We shall know it while yet below," insisted the captain, with a flush of impatience on his thin cheeks.	false	301.58	304.665	22.424522
398_123602_000017_000001	"We have not looked for truth in the right direction.	"We have not looked for truth in the right direction.	true	304.665	307.51	21.382183
398_123602_000017_000002	I know what I speak of; those who have laughed at me little know how much reason my ideas are based upon." He waved his hand toward the village below.	I know what I speak of; those who have laughed at me little know how much reason my ideas are based upon." He waved his hand toward the village below.	false	307.91	319.09	21.382633
398_123602_000017_000003	"In that handful of houses they fancy that they comprehend the universe."	"In that handful of houses they fancy that they comprehend the universe."	false	320.15	325.93	18.917433
398_123602_000018_000000	I smiled, and waited for him to go on.	I smiled, and waited for him to go on.	true	327.05	329.32	18
398_123602_000019_000000	"I am an old man, as you can see," he continued, "and I have been a shipmaster the greater part of my life,--forty-three years in all.	"I am an old man, as you can see," he continued, "and I have been a shipmaster the greater part of my life,--forty three years in all.	false	331.07	341.26	19.103804
398_123602_000019_000001	You may not think it, but I am above eighty years of age."	You may not think it, but I am above eighty years of age."	true	342.17	346.87	17.459011
398_123602_000020_000000	He did not look so old, and I hastened to say so.	He did not look so old, and I hastened to say so.	true	347.54	350.32	17
398_123602_000021_000000	"You must have left the sea a good many years ago, then, Captain Littlepage?" I said.	"You must have left the sea a good many years ago, then, Captain Littlepage?" I said.	true	351.47	355.6	20.936518
398_123602_000022_000000	"I should have been serviceable at least five or six years more," he answered.	"I should have been serviceable at least five or six years more," he answered.	false	356.54	361.92	17.705797
398_123602_000022_000001	"My acquaintance with certain--my experience upon a certain occasion, I might say, gave rise to prejudice.	"My acquaintance with certain-my experience upon a certain occasion, I might say, gave rise to prejudice.	false	361.92	371.23	19.058908
398_123602_000022_000002	I do not mind telling you that I chanced to learn of one of the greatest discoveries that man has ever made."	I do not mind telling you that I chanced to learn of one of the greatest discoveries that man has ever made."	false	371.9	381.07	19.961975
398_123602_000023_000000	Now we were approaching dangerous ground, but a sudden sense of his sufferings at the hands of the ignorant came to my help, and I asked to hear more with all the deference I really felt.	Now we were approaching dangerous ground, but a sudden sense of his sufferings at the hands of the ignorant came to my help, and I asked to hear more with all the deference I really felt.	true	381.32	392.08	21
398_123602_000023_000001	A swallow flew into the schoolhouse at this moment as if a kingbird were after it, and beat itself against the walls for a minute, and escaped again to the open air; but Captain Littlepage took no notice whatever of the flurry.	A swallow flew into the schoolhouse at this moment as if a kingbird were after it, and beat itself against the walls for a minute, and escaped again to the open air; but Captain Littlepage took no notice whatever of the flurry.	true	392.27	405.16	21
398_123602_000024_000000	"I had a valuable cargo of general merchandise from the London docks to Fort Churchill, a station of the old company on Hudson's Bay," said the captain earnestly.	"I had a valuable cargo of general merchandise from the London docks to Fort Churchill, a station of the old company on Hudson's Bay," said the captain earnestly.	false	406.61	419.67	19.055187
398_123602_000024_000001	"We were delayed in lading, and baffled by head winds and a heavy tumbling sea all the way north-about and across.	"We were delayed in lading, and baffled by head winds and a heavy tumbling sea all the way north about and across.	false	419.67	430.21	17.316559
398_123602_000024_000002	Then the fog kept us off the coast; and when I made port at last, it was too late to delay in those northern waters with such a vessel and such a crew as I had.	Then the fog kept us off the coast; and when I made port at last, it was too late to delay in those northern waters with such a vessel and such a crew as I had.	false	430.7	444.43	19.590399
398_123602_000024_000003	They cared for nothing, and idled me into a fit of sickness; but my first mate was a good, excellent man, with no more idea of being frozen in there until spring than I had, so we made what speed we could to get clear of Hudson's Bay and off the coast.	They cared for nothing, and idled me into a fit of sickness; but my first mate was a good, excellent man, with no more idea of being frozen in there until spring than I had, so we made what speed we could to get clear of Hudson's Bay and off the coast.	false	444.77	465.43	18.194883
398_123602_000024_000004	I owned an eighth of the vessel, and he owned a sixteenth of her.	I owned an eighth of the vessel, and he owned a sixteenth of her.	true	466.4	471.1	17.846796
398_123602_000024_000005	She was a full-rigged ship, called the Minerva, but she was getting old and leaky.	She was a full rigged ship, called the Minerva, but she was getting old and leaky.	true	471.32	476.59	19.755465
398_123602_000024_000006	I meant it should be my last v'y'ge in her, and so it proved.	I meant it should be my last v'y'ge in her, and so it proved.	false	477.92	482.83	19.732178
398_123602_000024_000007	She had been an excellent vessel in her day.	She had been an excellent vessel in her day.	true	483.29	485.98	17.254923
398_123602_000024_000008	Of the cowards aboard her I can't say so much."	Of the cowards aboard her I can't say so much."	true	486.35	490.17	16.301281
398_123602_000025_000000	"Then you were wrecked?" I asked, as he made a long pause.	"Then you were wrecked?" I asked, as he made a long pause.	false	490.17	495.07	18.20327
398_123602_000026_000000	"I wa'n't caught astern o' the lighter by any fault of mine," said the captain gloomily.	"I wa'n't caught astern o' the lighter by any fault of mine," said the captain gloomily.	false	495.53	500.88	19.804476
398_123602_000026_000001	"We left Fort Churchill and run out into the Bay with a light pair o' heels; but I had been vexed to death with their red-tape rigging at the company's office, and chilled with stayin' on deck an' tryin' to hurry up things, and when we were well out o' sight o' land, headin' for Hudson's Straits, I had a bad turn o' some sort o' fever, and had to stay below.	"We left Fort Churchill and run out into the Bay with a light pair o' heels; but I had been vexed to death with their red tape rigging at the company's office, and chilled with stayin' on deck an' tryin' to hurry up things, and when we were well out o' sight o' land, headin' for Hudson's Straits, I had a bad turn o' some sort o' fever, and had to stay below.	false	500.88	527.74	18.1994
398_123602_000026_000002	The days were getting short, and we made good runs, all well on board but me, and the crew done their work by dint of hard driving."	The days were getting short, and we made good runs, all well on board but me, and the crew done their work by dint of hard driving."	true	528.77	540.4	18.107761
398_123602_000027_000000	I began to find this unexpected narrative a little dull.	I began to find this unexpected narrative a little dull.	true	541.61	544.87	20.897116
398_123602_000027_000001	Captain Littlepage spoke with a kind of slow correctness that lacked the longshore high flavor to which I had grown used; but I listened respectfully while he explained the winds having become contrary, and talked on in a dreary sort of way about his voyage, the bad weather, and the disadvantages he was under in the lightness of his ship, which bounced about like a chip in a bucket, and would not answer the rudder or properly respond to the most careful setting of sails.	Captain Littlepage spoke with a kind of slow correctness that lacked the longshore high flavor to which I had grown used; but I listened respectfully while he explained the winds having become contrary, and talked on in a dreary sort of way about his voyage, the bad weather, and the disadvantages he was under in the lightness of his ship, which bounced about like a chip in a bucket, and would not answer the rudder or properly respond to the most careful setting of sails.	true	545	573.16	21.822765
398_123602_000028_000000	"So there we were blowin' along anyways," he complained; but looking at me at this moment, and seeing that my thoughts were unkindly wandering, he ceased to speak.	"So there we were blowin' along anyways," he complained; but looking at me at this moment, and seeing that my thoughts were unkindly wandering, he ceased to speak.	false	574.16	585.25	17.088963
398_123602_000029_000000	"It was a hard life at sea in those days, I am sure," said I, with redoubled interest.	"It was a hard life at sea in those days, I am sure," said I, with redoubled interest.	true	586.49	591.43	21.66784
398_123602_000030_000000	"It was a dog's life," said the poor old gentleman, quite reassured, "but it made men of those who followed it.	"It was a dog's life," said the poor old gentleman, quite reassured, "but it made men of those who followed it.	false	592.64	597.73	18.956324
398_123602_000030_000001	I see a change for the worse even in our own town here; full of loafers now, small and poor as 'tis, who once would have followed the sea, every lazy soul of 'em.	I see a change for the worse even in our own town here; full of loafers now, small and poor as 'tis, who once would have followed the sea, every lazy soul of 'em.	false	598.34	614.85	18.21267
398_123602_000030_000002	There is no occupation so fit for just that class o' men who never get beyond the fo'cas'le.	There is no occupation so fit for just that class o' men who never get beyond the fo'cas'le.	false	614.85	623.85	18.915928
398_123602_000030_000003	I view it, in addition, that a community narrows down and grows dreadful ignorant when it is shut up to its own affairs, and gets no knowledge of the outside world except from a cheap, unprincipled newspaper.	I view it, in addition, that a community narrows down and grows dreadful ignorant when it is shut up to its own affairs, and gets no knowledge of the outside world except from a cheap, unprincipled newspaper.	true	623.85	640.69	18.972433
398_123602_000030_000004	In the old days, a good part o' the best men here knew a hundred ports and something of the way folks lived in them.	In the old days, a good part o' the best men here knew a hundred ports and something of the way folks lived in them.	false	641.45	649.6	18.79888
398_123602_000030_000005	They saw the world for themselves, and like's not their wives and children saw it with them.	They saw the world for themselves, and like's not their wives and children saw it with them.	true	649.97	657.01	19.414282
398_123602_000030_000006	They may not have had the best of knowledge to carry with 'em sight-seein', but they were some acquainted with foreign lands an' their laws, an' could see outside the battle for town clerk here in Dunnet; they got some sense o' proportion.	They may not have had the best of knowledge to carry with 'em sight seein', but they were some acquainted with foreign lands an' their laws, an' could see outside the battle for town clerk here in Dunnet; they got some sense o' proportion.	false	658.4	673.36	16.98617
398_123602_000030_000007	Yes, they lived more dignified, and their houses were better within an' without.	Yes, they lived more dignified, and their houses were better within an' without.	true	673.4	678.46	18.969215
398_123602_000030_000008	Shipping's a terrible loss to this part o' New England from a social point o' view, ma'am."	Shipping's a terrible loss to this part o' New England from a social point o' view, ma'am."	false	678.8	684.19	18.081839
398_123602_000031_000000	"I have thought of that myself," I returned, with my interest quite awakened.	"I have thought of that myself," I returned, with my interest quite awakened.	false	686.3	690.46	22.94205
398_123602_000031_000001	"It accounts for the change in a great many things,--the sad disappearance of sea-captains,--doesn't it?"	"It accounts for the change in a great many things,--the sad disappearance of sea captains,--doesn't it?"	true	691.61	697.18	23.675905
398_123602_000032_000000	"A shipmaster was apt to get the habit of reading," said my companion, brightening still more, and taking on a most touching air of unreserve. "A captain is not expected to be familiar with his crew, and for company's sake in dull days and nights he turns to his book.	"A shipmaster was apt to get the habit of reading," said my companion, brightening still more, and taking on a most touching air of unreserve. "A captain is not expected to be familiar with his crew, and for company's sake in dull days and nights he turns to his book.	false	698.84	715.15	18.806257
398_123602_000032_000001	Most of us old shipmasters came to know 'most everything about something; one would take to readin' on farming topics, and some were great on medicine,--but Lord help their poor crews!--or some were all for history, and now and then there'd be one like me that gave his time to the poets.	Most of us old shipmasters came to know 'most everything about something; one would take to readin' on farming topics, and some were great on medicine,--but Lord help their poor crews!--or some were all for history, and now and then there'd be one like me that gave his time to the poets.	false	716.69	739.96	18.91322
398_123602_000032_000002	I was well acquainted with a shipmaster that was all for bees an' beekeepin'; and if you met him in port and went aboard, he'd sit and talk a terrible while about their havin' so much information, and the money that could be made out of keepin' 'em.	I was well acquainted with a shipmaster that was all for bees an' beekeepin'; and if you met him in port and went aboard, he'd sit and talk a terrible while about their havin' so much information, and the money that could be made out of keepin' 'em.	false	741.02	759.84	18.791348
398_123602_000032_000003	He was one of the smartest captains that ever sailed the seas, but they used to call the Newcastle, a great bark he commanded for many years, Tuttle's beehive.	He was one of the smartest captains that ever sailed the seas, but they used to call the Newcastle, a great bark he commanded for many years, Tuttle's beehive.	false	759.84	773.38	18.057724
398_123602_000032_000004	There was old Cap'n Jameson: he had notions of Solomon's Temple, and made a very handsome little model of the same, right from the Scripture measurements, same's other sailors make little ships and design new tricks of rigging and all that.	There was old Cap'n Jameson: he had notions of Solomon's Temple, and made a very handsome little model of the same, right from the Scripture measurements, same's other sailors make little ships and design new tricks of rigging and all that.	false	774.32	792.78	17.016022
398_123602_000032_000005	No, there's nothing to take the place of shipping in a place like ours.	No, there's nothing to take the place of shipping in a place like ours.	false	792.78	796.72	17
398_123602_000032_000006	These bicycles offend me dreadfully; they don't afford no real opportunities of experience such as a man gained on a voyage.	These bicycles offend me dreadfully; they don't afford no real opportunities of experience such as a man gained on a voyage.	true	796.88	805.84	18.02836
398_123602_000032_000007	No: when folks left home in the old days they left it to some purpose, and when they got home they stayed there and had some pride in it.	No: when folks left home in the old days they left it to some purpose, and when they got home they stayed there and had some pride in it.	true	805.91	816.1	20.167515
398_123602_000032_000008	There's no large-minded way of thinking now: the worst have got to be best and rule everything; we're all turned upside down and going back year by year."	There's no large minded way of thinking now: the worst have got to be best and rule everything; we're all turned upside down and going back year by year."	false	816.59	828.57	17.863506
398_123602_000033_000000	"Oh no, Captain Littlepage, I hope not," said I, trying to soothe his feelings.	"Oh no, Captain Littlepage, I hope not," said I, trying to soothe his feelings.	false	828.57	834.1	20.427876
398_123602_000034_000000	There was a silence in the schoolhouse, but we could hear the noise of the water on a beach below.	There was a silence in the schoolhouse, but we could hear the noise of the water on a beach below.	true	834.62	839.83	18.850327
398_123602_000034_000001	It sounded like the strange warning wave that gives notice of the turn of the tide.	It sounded like the strange warning wave that gives notice of the turn of the tide.	true	840.74	845.77	21
398_123602_000034_000002	A late golden robin, with the most joyful and eager of voices, was singing close by in a thicket of wild roses.	A late golden robin, with the most joyful and eager of voices, was singing close by in a thicket of wild roses.	false	846.14	859.11	19.987383
