6553_86683_000001_000000	The Story of Deirdre	The Story of Deirdre
6553_86683_000032_000003	Deirdre was clever in maidenly duties and wifely understanding, and Connachar thought he never saw with bodily eye a creature that pleased him more.	Deirdre was clever in maidenly duties and wifely understanding, and Connachar thought he never saw with bodily eye a creature that pleased him more.
6553_86683_000032_000006	Deirdre was looking at the men that were coming, and wondering at them.	Deirdre was looking at the men that were coming, and wondering at them.
6553_86683_000032_000010	She girded up her raiment and went after the men that went past the base of the knoll, leaving her women attendants there.	She girded up her raiment and went after the men that went past the base of the knoll, leaving her women attendants there.
6553_86683_000032_000012	They perceived the woman coming, and called on one another to hasten their step as they had a long distance to travel, and the dusk of night was coming on. They did so.	They perceived the woman coming, and called on one another to hasten their step as they had a long distance to travel, and the dusk of night was coming on. They did so.
6553_86683_000032_000014	"It isn't anything else but the wail of the wave-swans of Connachar," said his brothers.	"It isn't anything else but the wail of the wave swans of Connachar," said his brothers.
6553_86683_000032_000017	With the confusion that she was in, Deirdre went into a crimson blaze of fire, and her colour came and went as rapidly as the movement of the aspen by the stream side.	With the confusion that she was in, Deirdre went into a crimson blaze of fire, and her colour came and went as rapidly as the movement of the aspen by the stream side.
6553_86683_000033_000001	He reached the side of Loch Ness and made his habitation there.	He reached the side of Loch Ness and made his habitation there.
6553_86683_000034_000000	By this time the end of the period came at which Deirdre had to marry Connachar, king of Ulster.	By this time the end of the period came at which Deirdre had to marry Connachar, king of Ulster.
6553_86683_000034_000003	He sent word far and wide through Erin to all his kinspeople to come to the feast.	He sent word far and wide through Erin to all his kinspeople to come to the feast.
6553_86683_000041_000000	There came three white doves out of the South Flying over the sea, And drops of honey were in their mouth From the hive of the honey-bee.	There came three white doves out of the South Flying over the sea, And drops of honey were in their mouth From the hive of the honey bee.
6553_86683_000043_000000	I saw three grey hawks out of the South Come flying over the sea, And the red drops they bare in their mouth They were dearer than life to me.	I saw three grey hawks out of the South Come flying over the sea, And the red drops they bare in their mouth They were dearer than life to me.
6553_86683_000045_000000	It is nought but the fear of woman's heart, And a dream of the night, Deirdre.	It is nought but the fear of woman's heart, And a dream of the night, Deirdre.
6553_86683_000046_000000	"The day that Connachar sent the invitation to his feast will be unlucky for us if we don't go, O Deirdre."	"The day that Connachar sent the invitation to his feast will be unlucky for us if we don't go, O Deirdre."
6553_86683_000050_000001	Deirdre wept tears in showers and she sang:	Deirdre wept tears in showers and she sang:
6553_86683_000054_000002	But there is a house down yonder where I keep strangers, and let them go down to it to-day, and my house will be ready before them to-morrow."	But there is a house down yonder where I keep strangers, and let them go down to it to day, and my house will be ready before them to morrow."
6553_86683_000055_000000	But he that was up in the palace felt it long that he was not getting word as to how matters were going on for those down in the house of the strangers.	But he that was up in the palace felt it long that he was not getting word as to how matters were going on for those down in the house of the strangers.
6553_86683_000055_000001	"Go you, Gelban Grednach, son of Lochlin's King, go you down and bring me information as to whether her former hue and complexion are on Deirdre.	"Go you, Gelban Grednach, son of Lochlin's King, go you down and bring me information as to whether her former hue and complexion are on Deirdre.
6553_86683_000056_000002	Now she that he gazed upon used to go into a crimson blaze of blushes when any one looked at her.	Now she that he gazed upon used to go into a crimson blaze of blushes when any one looked at her.
6553_86683_000060_000000	Connachar ordered three hundred active heroes to go down to the abode of the strangers, and to take Deirdre up with them and kill the rest. "The pursuit is coming," said Deirdre.	Connachar ordered three hundred active heroes to go down to the abode of the strangers, and to take Deirdre up with them and kill the rest. "The pursuit is coming," said Deirdre.
6553_86683_000066_000000	"Well, Connachar, we will not accept that offer from you, nor thank you for it.	"Well, Connachar, we will not accept that offer from you, nor thank you for it.
6553_86683_000066_000001	Greater by far do we prefer to go home to our father and tell the deeds of heroism we have done, than accept anything on these terms from you.	Greater by far do we prefer to go home to our father and tell the deeds of heroism we have done, than accept anything on these terms from you.
6553_86683_000067_000001	Word came to the king that the company he was in pursuit of were gone.	Word came to the king that the company he was in pursuit of were gone.
6553_86683_000069_000000	"What is the good of that?	"What is the good of that?
6553_86683_000069_000001	that will not do yet," said Connachar. "They are off without bending of their feet or stopping of their step, without heed or respect to me, and I am without power to keep up to them, or opportunity to turn them back this night."	that will not do yet," said Connachar. "They are off without bending of their feet or stopping of their step, without heed or respect to me, and I am without power to keep up to them, or opportunity to turn them back this night."
6553_86683_000070_000000	"I will try another plan on them," said the druid; and he placed before them a grey sea instead of a green plain.	"I will try another plan on them," said the druid; and he placed before them a grey sea instead of a green plain.
6553_86683_000072_000000	"Though that be good, O Duanan, it will not make the heroes return," said Connachar; "they are gone without regard for me, and without honor to me, and without power on my part to pursue them, or to force them to return this night."	"Though that be good, O Duanan, it will not make the heroes return," said Connachar; "they are gone without regard for me, and without honor to me, and without power on my part to pursue them, or to force them to return this night."
6553_86683_000074_000000	"We shall try another method on them, since yon one did not stop them," said the druid.	"We shall try another method on them, since yon one did not stop them," said the druid.
6553_86683_000074_000002	Then Arden cried that he was getting tired, and nearly giving over.	Then Arden cried that he was getting tired, and nearly giving over.
6553_86683_000074_000005	Allen then cried out that he was getting faint and well-nigh giving up.	Allen then cried out that he was getting faint and well nigh giving up.
6553_86683_000075_000000	"They are gone," said Duanan Gacha Druid to the king, "and I have done what you desired me.	"They are gone," said Duanan Gacha Druid to the king, "and I have done what you desired me.
6553_86683_000076_000000	"Blessings for that upon you and may the good results accrue to me, Duanan.	"Blessings for that upon you and may the good results accrue to me, Duanan.
6553_86683_000076_000001	I count it no loss what I spent in the schooling and teaching of you.	I count it no loss what I spent in the schooling and teaching of you.
6553_86683_000076_000002	Now dry up the flood and let me see if I can behold Deirdre," said Connachar.	Now dry up the flood and let me see if I can behold Deirdre," said Connachar.
