208_126851_000000_000000	"You're a wise old bird," said the Doctor.	"You're a wise old bird," said the Doctor.	false	0.75	4.26	17.221682
208_126851_000006_000001	So he took the monkey away from the Italian, gave the man a shilling and told him to go.	So he took the monkey away from the Italian, gave the man a shilling and told him to go.	true	76.34	81.7	20.283535
208_126851_000006_000002	The organ-grinder got awfully angry and said that he wanted to keep the monkey.	The organ grinder got awfully angry and said that he wanted to keep the monkey.	true	83.3	87.33	14
208_126851_000006_000003	But the Doctor told him that if he didn't go away he would punch him on the nose.	But the Doctor told him that if he didn't go away he would punch him on the nose.	false	87.33	94.41	17.617962
208_126851_000006_000004	John Dolittle was a strong man, though he wasn't very tall.	john Dolittle was a strong man, though he wasn't very tall.	true	94.41	97.84	18
208_126851_000006_000005	So the Italian went away saying rude things and the monkey stayed with Doctor Dolittle and had a good home.	So the Italian went away saying rude things and the monkey stayed with Doctor Dolittle and had a good home.	true	98.45	103.96	10
208_126851_000006_000006	The other animals in the house called him "Chee-Chee"--which is a common word in monkey-language, meaning "ginger."	The other animals in the house called him "Chee Chee"--which is a common word in monkey language, meaning "ginger."	true	105.47	111.73	18.771774
208_126851_000007_000000	And another time, when the circus came to Puddleby, the crocodile who had a bad tooth-ache escaped at night and came into the Doctor's garden.	And another time, when the circus came to Puddleby, the crocodile who had a bad tooth ache escaped at night and came into the Doctor's garden.	false	113.57	121.6	21.755066
208_126851_000007_000001	The Doctor talked to him in crocodile-language and took him into the house and made his tooth better.	The Doctor talked to him in crocodile language and took him into the house and made his tooth better.	true	122.81	127.45	14
208_126851_000007_000002	But when the crocodile saw what a nice house it was--with all the different places for the different kinds of animals--he too wanted to live with the Doctor.	But when the crocodile saw what a nice house it was-with all the different places for the different kinds of animals-he too wanted to live with the Doctor.	false	128.54	136.36	17
208_126851_000007_000003	He asked couldn't he sleep in the fish-pond at the bottom of the garden, if he promised not to eat the fish.	He asked couldn't he sleep in the fish pond at the bottom of the garden, if he promised not to eat the fish.	true	137.03	142.48	21.515182
208_126851_000007_000004	When the circus-men came to take him back he got so wild and savage that he frightened them away.	When the circus men came to take him back he got so wild and savage that he frightened them away.	true	143.48	148.33	19
208_126851_000007_000005	But to every one in the house he was always as gentle as a kitten.	But to every one in the house he was always as gentle as a kitten.	true	149.84	153.64	20
208_126851_000008_000000	But now the old ladies grew afraid to send their lap-dogs to Doctor Dolittle because of the crocodile; and the farmers wouldn't believe that he would not eat the lambs and sick calves they brought to be cured.	But now the old ladies grew afraid to send their lap dogs to Doctor Dolittle because of the crocodile; and the farmers wouldn't believe that he would not eat the lambs and sick calves they brought to be cured.	true	156.38	167.44	19.66034
208_126851_000008_000001	So the Doctor went to the crocodile and told him he must go back to his circus.	So the Doctor went to the crocodile and told him he must go back to his circus.	false	168.05	172	15
208_126851_000008_000002	But he wept such big tears, and begged so hard to be allowed to stay, that the Doctor hadn't the heart to turn him out.	But he wept such big tears, and begged so hard to be allowed to stay, that the Doctor hadn't the heart to turn him out.	true	173.48	180.04	20
208_126851_000009_000000	So then the Doctor's sister came to him and said, "John, you must send that creature away.	So then the Doctor's sister came to him and said, "john, you must send that creature away.	false	181.64	187.24	21.113125
208_126851_000009_000001	Now the farmers and the old ladies are afraid to send their animals to you--just as we were beginning to be well off again.	Now the farmers and the old ladies are afraid to send their animals to you-just as we were beginning to be well off again.	false	187.73	193.78	16
208_126851_000009_000002	Now we shall be ruined entirely.	Now we shall be ruined entirely.	true	194.54	196.57	16
208_126851_000009_000003	This is the last straw.	This is the last straw.	true	196.91	198.43	21.962902
208_126851_000009_000004	I will no longer be housekeeper for you if you don't send away that alligator."	I will no longer be housekeeper for you if you don't send away that alligator."	true	198.62	202.66	14
208_126851_000010_000000	"It isn't an alligator," said the Doctor--"it's a crocodile."	"It isn't an alligator," said the Doctor-"it's a crocodile."	false	203.9	207.58	21
208_126851_000011_000000	"I don't care what you call it," said his sister.	"I don't care what you call it," said his sister.	true	209.03	211.36	20
208_126851_000011_000001	"It's a nasty thing to find under the bed.	"It's a nasty thing to find under the bed.	true	211.61	213.88	20
208_126851_000011_000002	I won't have it in the house."	I won't have it in the house."	true	214.04	215.71	19
208_126851_000012_000000	"But he has promised me," the Doctor answered, "that he will not bite any one.	"But he has promised me," the Doctor answered, "that he will not bite any one.	true	217.25	221.26	21.002634
208_126851_000012_000001	He doesn't like the circus; and I haven't the money to send him back to Africa where he comes from.	He doesn't like the circus; and I haven't the money to send him back to Africa where he comes from.	true	221.69	226.69	19.666327
208_126851_000012_000002	He minds his own business and on the whole is very well behaved.	He minds his own business and on the whole is very well behaved.	true	227.57	231.19	16
208_126851_000012_000003	Don't be so fussy."	Don't be so fussy."	true	231.41	232.72	21.711292
208_126851_000013_000000	"I tell you I WILL NOT have him around," said Sarah.	"I tell you I WILL NOT have him around," said Sarah.	false	234.38	237.39	14
208_126851_000013_000001	"He eats the linoleum.	"He eats the linoleum.	false	237.39	239.26	18.125198
208_126851_000013_000002	If you don't send him away this minute I'll--I'll go and get married!"	If you don't send him away this minute I'll-I'll go and get married!"	true	239.93	244.24	18.869963
208_126851_000014_000000	"All right," said the Doctor, "go and get married.	"All right," said the Doctor, "go and get married.	true	245.18	248.08	18.822744
208_126851_000014_000001	It can't be helped." And he took down his hat and went out into the garden.	It can't be helped." And he took down his hat and went out into the garden.	true	248.09	251.98	18
208_126851_000015_000000	So Sarah Dolittle packed up her things and went off; and the Doctor was left all alone with his animal family.	So Sarah Dolittle packed up her things and went off; and the Doctor was left all alone with his animal family.	true	252.98	259.21	19
208_126851_000016_000000	And very soon he was poorer than he had ever been before.	And very soon he was poorer than he had ever been before.	false	261.08	265.77	19.38737
208_126851_000016_000001	With all these mouths to fill, and the house to look after, and no one to do the mending, and no money coming in to pay the butcher's bill, things began to look very difficult.	With all these mouths to fill, and the house to look after, and no one to do the mending, and no money coming in to pay the butcher's bill, things began to look very difficult.	true	265.77	275.73	20.798845
208_126851_000016_000002	But the Doctor didn't worry at all.	But the Doctor didn't worry at all.	false	275.73	278.05	18.011322
208_126851_000017_000000	"Money is a nuisance," he used to say.	"Money is a nuisance," he used to say.	false	278.9	280.83	16
208_126851_000017_000001	"We'd all be much better off if it had never been invented.	"We'd all be much better off if it had never been invented.	false	280.83	284.47	18.094528
208_126851_000017_000002	What does money matter, so long as we are happy?"	What does money matter, so long as we are happy?"	true	285.44	288.07	18.940174
208_126851_000018_000000	But soon the animals themselves began to get worried.	But soon the animals themselves began to get worried.	true	289.58	292.39	18
208_126851_000018_000001	And one evening when the Doctor was asleep in his chair before the kitchen-fire they began talking it over among themselves in whispers.	And one evening when the Doctor was asleep in his chair before the kitchen fire they began talking it over among themselves in whispers.	true	293.21	301.03	19
208_126851_000018_000002	And the owl, Too-Too, who was good at arithmetic, figured it out that there was only money enough left to last another week--if they each had one meal a day and no more.	And the owl, Too Too, who was good at arithmetic, figured it out that there was only money enough left to last another week-if they each had one meal a day and no more.	true	301.79	312.34	19
208_126851_000019_000000	Then the parrot said, "I think we all ought to do the housework ourselves.	Then the parrot said, "I think we all ought to do the housework ourselves.	true	313.25	317.14	17
208_126851_000019_000001	At least we can do that much.	At least we can do that much.	true	317.54	319.57	20
208_126851_000019_000002	After all, it is for our sakes that the old man finds himself so lonely and so poor."	After all, it is for our sakes that the old man finds himself so lonely and so poor."	true	319.58	325.09	15
208_126851_000020_000000	So it was agreed that the monkey, Chee-Chee, was to do the cooking and mending; the dog was to sweep the floors; the duck was to dust and make the beds; the owl, Too-Too, was to keep the accounts, and the pig was to do the gardening.	So it was agreed that the monkey, Chee Chee, was to do the cooking and mending; the dog was to sweep the floors; the duck was to dust and make the beds; the owl, Too Too, was to keep the accounts, and the pig was to do the gardening.	true	326.24	339.79	20
208_126851_000020_000001	They made Polynesia, the parrot, housekeeper and laundress, because she was the oldest.	They made Polynesia, the parrot, housekeeper and laundress, because she was the oldest.	true	340.1	344.65	19
208_126851_000021_000000	Of course at first they all found their new jobs very hard to do--all except Chee-Chee, who had hands, and could do things like a man.	Of course at first they all found their new jobs very hard to do-all except Chee Chee, who had hands, and could do things like a man.	true	346.88	353.71	19
208_126851_000021_000001	But they soon got used to it; and they used to think it great fun to watch Jip, the dog, sweeping his tail over the floor with a rag tied onto it for a broom.	But they soon got used to it; and they used to think it great fun to watch Jip, the dog, sweeping his tail over the floor with a rag tied onto it for a broom.	true	354.41	362.02	17
208_126851_000021_000002	After a little they got to do the work so well that the Doctor said that he had never had his house kept so tidy or so clean before.	After a little they got to do the work so well that the Doctor said that he had never had his house kept so tidy or so clean before.	true	363.08	370.57	17
208_126851_000022_000000	In this way things went along all right for a while; but without money they found it very hard.	In this way things went along all right for a while; but without money they found it very hard.	false	371.75	377.47	18.820375
208_126851_000023_000000	Then the animals made a vegetable and flower stall outside the garden-gate and sold radishes and roses to the people that passed by along the road.	Then the animals made a vegetable and flower stall outside the garden gate and sold radishes and roses to the people that passed by along the road.	true	378.41	386.23	14
208_126851_000024_000000	But still they didn't seem to make enough money to pay all the bills--and still the Doctor wouldn't worry.	But still they didn't seem to make enough money to pay all the bills-and still the Doctor wouldn't worry.	true	387.41	393.88	20.945333
208_126851_000024_000001	When the parrot came to him and told him that the fishmonger wouldn't give them any more fish, he said,	When the parrot came to him and told him that the fishmonger wouldn't give them any more fish, he said,	false	394.76	399.67	13
208_126851_000025_000000	"Never mind.	"Never mind.	true	400.19	401.26	25.90018
208_126851_000025_000001	So long as the hens lay eggs and the cow gives milk we can have omelettes and junket.	So long as the hens lay eggs and the cow gives milk we can have omelettes and junket.	true	401.42	406.42	20
208_126851_000025_000002	And there are plenty of vegetables left in the garden.	And there are plenty of vegetables left in the garden.	true	407.03	409.63	14
208_126851_000025_000003	The Winter is still a long way off.	The Winter is still a long way off.	true	410.42	412.45	21.703299
208_126851_000025_000004	Don't fuss.	Don't fuss.	true	412.79	413.73	20.05537
208_126851_000025_000005	That was the trouble with Sarah--she would fuss.	That was the trouble with Sarah-she would fuss.	false	413.73	416.52	20.73617
208_126851_000025_000006	I wonder how Sarah's getting on--an excellent woman--in some ways--Well, well!"	I wonder how Sarah's getting on-an excellent woman-in some ways-Well, well!"	false	416.52	423.1	17.973612
208_126851_000026_000000	But the snow came earlier than usual that year; and although the old lame horse hauled in plenty of wood from the forest outside the town, so they could have a big fire in the kitchen, most of the vegetables in the garden were gone, and the rest were covered with snow; and many of the animals were really hungry.	But the snow came earlier than usual that year; and although the old lame horse hauled in plenty of wood from the forest outside the town, so they could have a big fire in the kitchen, most of the vegetables in the garden were gone, and the rest were covered with snow; and many of the animals were really hungry.	false	424.46	448.14	20.043436
