4054_11077_000002_000000	CHAPTER II.	CHAPTER two.
4054_11077_000012_000007	You understand, Doctor, she is to be my guest all through.	You understand, Doctor, she is to be my guest all through.
4054_11077_000012_000009	I am sure you won't deny me, when I have so set my heart upon having her."	I am sure you won't deny me, when I have so set my heart upon having her."
4054_11077_000013_000000	Mrs. Ashe was very pretty and persuasive, but still Dr. Carr hesitated. To send Katy for a year's pleasuring in Europe was a thing that had never occurred to his mind as possible.	mrs Ashe was very pretty and persuasive, but still dr Carr hesitated. To send Katy for a year's pleasuring in Europe was a thing that had never occurred to his mind as possible.
4054_11077_000013_000002	He finally consented to take time for consideration before making his decision.	He finally consented to take time for consideration before making his decision.
4054_11077_000014_000000	"I will talk it over with Katy," he said.	"I will talk it over with Katy," he said.
4054_11077_000014_000001	"The child ought to have a say in the matter; and whatever we decide, you must let me thank you in her name as well as my own for your great kindness in proposing it."	"The child ought to have a say in the matter; and whatever we decide, you must let me thank you in her name as well as my own for your great kindness in proposing it."
4054_11077_000015_000000	"Doctor, I'm not kind at all, and I don't want to be thanked.	"Doctor, I'm not kind at all, and I don't want to be thanked.
4054_11077_000015_000001	My desire to take Katy with me to Europe is purely selfish.	My desire to take Katy with me to Europe is purely selfish.
4054_11077_000015_000002	I am a lonely person," she went on; "I have no mother or sister, and no cousins of my own age. My brother's profession keeps him at sea; I scarcely ever see him.	I am a lonely person," she went on; "I have no mother or sister, and no cousins of my own age. My brother's profession keeps him at sea; I scarcely ever see him.
4054_11077_000015_000003	I have no one but a couple of old aunts, too feeble in health to travel with me or to be counted on in case of any emergency.	I have no one but a couple of old aunts, too feeble in health to travel with me or to be counted on in case of any emergency.
4054_11077_000015_000004	You see, I am a real case for pity."	You see, I am a real case for pity."
4054_11077_000016_000000	Mrs. Ashe spoke gayly, but her brown eyes were dim with tears as she ended her little appeal.	mrs Ashe spoke gayly, but her brown eyes were dim with tears as she ended her little appeal.
4054_11077_000016_000001	Dr. Carr, who was soft-hearted where women were concerned, was touched.	dr Carr, who was soft hearted where women were concerned, was touched.
4054_11077_000016_000002	Perhaps his face showed it, for Mrs. Ashe added in a more hopeful tone,--	Perhaps his face showed it, for mrs Ashe added in a more hopeful tone,--
4054_11077_000017_000000	"But I won't tease any more.	"But I won't tease any more.
4054_11077_000017_000001	I know you will not refuse me unless you think it right and necessary; and," she continued mischievously, "I have great faith in Katy as an ally.	I know you will not refuse me unless you think it right and necessary; and," she continued mischievously, "I have great faith in Katy as an ally.
4054_11077_000017_000002	I am pretty sure that she will say that she wants to go."	I am pretty sure that she will say that she wants to go."
4054_11077_000018_000000	And indeed Katy's cry of delight when the plan was proposed to her said that sufficiently, without need of further explanation.	And indeed Katy's cry of delight when the plan was proposed to her said that sufficiently, without need of further explanation.
4054_11077_000018_000001	To go to Europe for a year with Mrs. Ashe and Amy seemed simply too delightful to be true.	To go to Europe for a year with mrs Ashe and Amy seemed simply too delightful to be true.
4054_11077_000018_000003	Dr. Carr's objections, his reluctance to part with her, melted before the radiance of her satisfaction.	dr Carr's objections, his reluctance to part with her, melted before the radiance of her satisfaction.
4054_11077_000018_000004	He had no idea that Katy would care so much about it.	He had no idea that Katy would care so much about it.
4054_11077_000018_000005	After all, it was a great chance,--perhaps the only one of the sort that she would ever have. Mrs. Ashe could well afford to give Katy this treat, he knew; and it was quite true what she said, that it was a favor to her as well as to Katy.	After all, it was a great chance,--perhaps the only one of the sort that she would ever have. mrs Ashe could well afford to give Katy this treat, he knew; and it was quite true what she said, that it was a favor to her as well as to Katy.
4054_11077_000018_000006	This train of reasoning led to its natural results.	This train of reasoning led to its natural results.
4054_11077_000018_000007	Dr. Carr began to waver in his mind.	dr Carr began to waver in his mind.
4054_11077_000019_000000	But, the first excitement over, Katy's second thoughts were more sober ones.	But, the first excitement over, Katy's second thoughts were more sober ones.
4054_11077_000019_000001	How could papa manage without her for a whole year, she asked herself.	How could papa manage without her for a whole year, she asked herself.
4054_11077_000019_000002	He would miss her, she well knew, and might not the charge of the house be too much for Clover?	He would miss her, she well knew, and might not the charge of the house be too much for Clover?
4054_11077_000019_000004	A host of housewifely cares began to troop through Katy's mind, and a little pucker came into her forehead, and a worried look across the face which had been so bright a few minutes before.	A host of housewifely cares began to troop through Katy's mind, and a little pucker came into her forehead, and a worried look across the face which had been so bright a few minutes before.
4054_11077_000020_000000	"She is only twenty-one," he reflected; "hardly out of childhood.	"She is only twenty one," he reflected; "hardly out of childhood.
4054_11077_000020_000001	I don't want her to settle into an anxious, drudging state and lose her youth with caring for us all.	I don't want her to settle into an anxious, drudging state and lose her youth with caring for us all.
4054_11077_000020_000002	She shall go; though how we are to manage without her I don't see.	She shall go; though how we are to manage without her I don't see.
4054_11077_000021_000000	"Little Clover" came gallantly "to the fore" when the first shock of surprise was over, and she had relieved her mind with one long private cry over having to do without Katy for a year.	"Little Clover" came gallantly "to the fore" when the first shock of surprise was over, and she had relieved her mind with one long private cry over having to do without Katy for a year.
4054_11077_000021_000002	Anything and everything seemed possible to secure it for her; and she made light of all Katy's many anxieties and apprehensions.	Anything and everything seemed possible to secure it for her; and she made light of all Katy's many anxieties and apprehensions.
4054_11077_000022_000000	"My dear child, I know a flannel undershirt when I see one, just as well as you do," she declared.	"My dear child, I know a flannel undershirt when I see one, just as well as you do," she declared.
4054_11077_000022_000001	"Tucks in Johnnie's dress, forsooth!	"Tucks in Johnnie's dress, forsooth!
4054_11077_000022_000002	why, of course.	why, of course.
4054_11077_000022_000003	Ripping out a tuck doesn't require any superhuman ingenuity! Give me your scissors, and I'll show you at once.	Ripping out a tuck doesn't require any superhuman ingenuity! Give me your scissors, and I'll show you at once.
4054_11077_000022_000004	Quince marmalade? Debby can make that.	Quince marmalade? Debby can make that.
4054_11077_000022_000006	I'll make the spiced peaches!	I'll make the spiced peaches!
4054_11077_000022_000007	I'll order the kindling!	I'll order the kindling!
4054_11077_000022_000009	Don't worry about us.	Don't worry about us.
4054_11077_000022_000011	Wouldn't that be fine?" and Clover laughed merrily.	Wouldn't that be fine?" and Clover laughed merrily.
4054_11077_000022_000012	"So, Katy darling, cast that shadow from your brow, and look as a girl ought to look who's going to Europe.	"So, Katy darling, cast that shadow from your brow, and look as a girl ought to look who's going to Europe.
4054_11077_000023_000000	"Not a very convenient position for packing," said Katy, smiling.	"Not a very convenient position for packing," said Katy, smiling.
4054_11077_000024_000000	"Yes, it is, if you just turn your trunk upside down!	"Yes, it is, if you just turn your trunk upside down!
4054_11077_000024_000001	When I think of all the delightful things you are going to do, I can hardly sit still.	When I think of all the delightful things you are going to do, I can hardly sit still.
4054_11077_000025_000000	"So do I," said Katy, soberly.	"So do I," said Katy, soberly.
4054_11077_000025_000001	"It was the kindest thing!	"It was the kindest thing!
4054_11077_000025_000002	I can't think why she did it."	I can't think why she did it."
4054_11077_000026_000000	"Well, I can," replied Clover, always ready to defend Katy even against herself.	"Well, I can," replied Clover, always ready to defend Katy even against herself.
4054_11077_000026_000001	"She did it because she wanted you, and she wanted you because you are the dearest old thing in the world, and the nicest to have about.	"She did it because she wanted you, and she wanted you because you are the dearest old thing in the world, and the nicest to have about.
4054_11077_000026_000002	You needn't say you're not, for you are!	You needn't say you're not, for you are!
4054_11077_000026_000003	Now, Katy, don't waste another thought on such miserable things as pickles and undershirts.	Now, Katy, don't waste another thought on such miserable things as pickles and undershirts.
4054_11077_000026_000004	We shall get along perfectly well, I do assure you.	We shall get along perfectly well, I do assure you.
4054_11077_000026_000005	Just fix your mind instead on the dome of St. Peter's, or try to fancy how you'll feel the first time you step into a gondola or see the Mediterranean.	Just fix your mind instead on the dome of saint Peter's, or try to fancy how you'll feel the first time you step into a gondola or see the Mediterranean.
4054_11077_000026_000006	There will be a moment!	There will be a moment!
4054_11077_000026_000007	I feel a forty-horse power of housekeeping developing within me; and what fun it will be to get your letters!	I feel a forty horse power of housekeeping developing within me; and what fun it will be to get your letters!
4054_11077_000026_000009	We shall stick out all over with knowledge before you come back; and this makes it a plain duty to go, if it were only for our sakes." With these zealous promises, Katy was forced to be content.	We shall stick out all over with knowledge before you come back; and this makes it a plain duty to go, if it were only for our sakes." With these zealous promises, Katy was forced to be content.
4054_11077_000026_000010	Indeed, contentment was not difficult with such a prospect of delight before her.	Indeed, contentment was not difficult with such a prospect of delight before her.
4054_11077_000026_000011	When once her little anxieties had been laid aside, the idea of the coming journey grew in pleasantness every moment.	When once her little anxieties had been laid aside, the idea of the coming journey grew in pleasantness every moment.
4054_11077_000026_000013	But they didn't know that, and it made no real difference.	But they didn't know that, and it made no real difference.
4054_11077_000027_000000	Katy learned a great deal while thus talking over what she was to see and do.	Katy learned a great deal while thus talking over what she was to see and do.
4054_11077_000027_000001	She read every scrap she could lay her hand on which related to Rome or Florence or Venice or London.	She read every scrap she could lay her hand on which related to Rome or Florence or Venice or London.
4054_11077_000027_000002	The driest details had a charm for her now that she was likely to see the real places.	The driest details had a charm for her now that she was likely to see the real places.
4054_11077_000027_000003	She went about with scraps of paper in her pocket, on which were written such things as these: "Forum.	She went about with scraps of paper in her pocket, on which were written such things as these: "Forum.
4054_11077_000027_000004	When built?	When built?
4054_11077_000027_000005	By whom built?	By whom built?
4054_11077_000027_000006	More than one?"	More than one?"
4054_11077_000027_000008	"Cecilia Metella.	"Cecilia Metella.
4054_11077_000027_000010	People always wish this when they are starting for Europe; and they wish it more and more after they get there, and realize of what value exact ideas and information and a fuller knowledge of the foreign languages are to all travellers; how they add to the charm of everything seen, and enhance the ease of everything done.	People always wish this when they are starting for Europe; and they wish it more and more after they get there, and realize of what value exact ideas and information and a fuller knowledge of the foreign languages are to all travellers; how they add to the charm of everything seen, and enhance the ease of everything done.
4054_11077_000028_000000	All Burnet took an interest in Katy's plans, and almost everybody had some sort of advice or help, or some little gift to offer.	All Burnet took an interest in Katy's plans, and almost everybody had some sort of advice or help, or some little gift to offer.
4054_11077_000028_000002	Debby's sister-in-law brought a bundle of dried chamomile for the same purpose.	Debby's sister in law brought a bundle of dried chamomile for the same purpose.
4054_11077_000028_000005	Mrs. Hall's gift was a warm and very pretty woollen wrapper of dark blue flannel, with a pair of soft knitted slippers to match.	mrs Hall's gift was a warm and very pretty woollen wrapper of dark blue flannel, with a pair of soft knitted slippers to match.
4054_11077_000028_000006	Old Mr. Worrett sent a note of advice, recommending Katy to take a quinine pill every day that she was away, never to stay out late, because the dews "over there" were said to be unwholesome, and on no account to drink a drop of water which had not been boiled.	Old mr Worrett sent a note of advice, recommending Katy to take a quinine pill every day that she was away, never to stay out late, because the dews "over there" were said to be unwholesome, and on no account to drink a drop of water which had not been boiled.
4054_11077_000029_000001	Miss Inches sent a "History of Europe" in five fat volumes, which was so heavy that it had to be left at home.	Miss Inches sent a "History of Europe" in five fat volumes, which was so heavy that it had to be left at home.
4054_11077_000029_000002	In fact, a good many of Katy's presents had to be left at home, including a bronze paper-weight in the shape of a griffin, a large pair of brass screw candlesticks, and an ormolu inkstand with a pen-rest attached, which weighed at least a pound and a half.	In fact, a good many of Katy's presents had to be left at home, including a bronze paper weight in the shape of a griffin, a large pair of brass screw candlesticks, and an ormolu inkstand with a pen rest attached, which weighed at least a pound and a half.
4054_11077_000029_000003	These Katy laid aside to enjoy after her return.	These Katy laid aside to enjoy after her return.
4054_11077_000029_000004	Mrs. Ashe and Cousin Helen had both warned her of the inconvenient consequences of weight in baggage; and by their advice she had limited herself to a single trunk of moderate size, besides a little flat valise for use in her stateroom.	mrs Ashe and Cousin Helen had both warned her of the inconvenient consequences of weight in baggage; and by their advice she had limited herself to a single trunk of moderate size, besides a little flat valise for use in her stateroom.
4054_11077_000030_000000	Clover's gift was a set of blank books for notes, journals, etc.	Clover's gift was a set of blank books for notes, journals, etc
4054_11077_000030_000001	In one of these, Katy made out a list of "Things I must see," "Things I must do," "Things I would like to see," "Things I would like to do." Another she devoted to various good shopping addresses which had been given her; for though she did not expect to do any shopping herself, she thought Mrs. Ashe might find them useful.	In one of these, Katy made out a list of "Things I must see," "Things I must do," "Things I would like to see," "Things I would like to do." Another she devoted to various good shopping addresses which had been given her; for though she did not expect to do any shopping herself, she thought mrs Ashe might find them useful.
4054_11077_000030_000003	He also gave her five English sovereigns.	He also gave her five English sovereigns.
4054_11077_000031_000000	"Those are for immediate use," he said.	"Those are for immediate use," he said.
4054_11077_000031_000001	"Put the notes away carefully, and don't lose them.	"Put the notes away carefully, and don't lose them.
4054_11077_000031_000003	Mrs. Ashe will explain how.	mrs Ashe will explain how.
4054_11077_000032_000000	"But, papa," protested Katy, opening wide her candid eyes, "I didn't expect you to give me any money, and I'm afraid you are giving me too much.	"But, papa," protested Katy, opening wide her candid eyes, "I didn't expect you to give me any money, and I'm afraid you are giving me too much.
4054_11077_000032_000002	Really and truly, I don't want to buy things.	Really and truly, I don't want to buy things.
4054_11077_000032_000003	I shall see everything, you know, and that's enough."	I shall see everything, you know, and that's enough."
4054_11077_000033_000000	Her father only laughed.	Her father only laughed.
4054_11077_000034_000000	"You'll be wiser and greedier before the year is out, my dear," he replied.	"You'll be wiser and greedier before the year is out, my dear," he replied.
4054_11077_000034_000001	"Three hundred dollars won't go far, as you'll find.	"Three hundred dollars won't go far, as you'll find.
4054_11077_000035_000000	"Papa!	"Papa!
4054_11077_000035_000001	I should think not!" cried Katy, with unsophisticated horror.	I should think not!" cried Katy, with unsophisticated horror.
4054_11077_000036_000000	One very interesting thing was to happen before they sailed, the thought of which helped both Katy and Clover through the last hard days, when the preparations were nearly complete, and the family had leisure to feel dull and out of spirits.	One very interesting thing was to happen before they sailed, the thought of which helped both Katy and Clover through the last hard days, when the preparations were nearly complete, and the family had leisure to feel dull and out of spirits.
4054_11077_000036_000001	Katy was to make Rose Red a visit.	Katy was to make Rose Red a visit.
4054_11077_000037_000000	Rose had by no means been idle during the three years and a half which had elapsed since they all parted at Hillsover, and during which the girls had not seen her.	Rose had by no means been idle during the three years and a half which had elapsed since they all parted at Hillsover, and during which the girls had not seen her.
4054_11077_000037_000002	Mrs. Ashe had taken passage in the "Spartacus," sailing from Boston; and it was arranged that Katy should spend the last two days before sailing, with Rose, while Mrs. Ashe and Amy visited an old aunt in Hingham.	mrs Ashe had taken passage in the "Spartacus," sailing from Boston; and it was arranged that Katy should spend the last two days before sailing, with Rose, while mrs Ashe and Amy visited an old aunt in Hingham.
4054_11077_000037_000003	To see Rose in her own home, and Rose's husband, and Rose's baby, was only next in interest to seeing Europe.	To see Rose in her own home, and Rose's husband, and Rose's baby, was only next in interest to seeing Europe.
4054_11077_000039_000000	"My dearest child,--Your note made me dance with delight.	"My dearest child,--Your note made me dance with delight.
4054_11077_000039_000002	It is too enchanting, the whole of it.	It is too enchanting, the whole of it.
4054_11077_000039_000003	I put it at the head of all the nice things that ever happened, except my baby.	I put it at the head of all the nice things that ever happened, except my baby.
4054_11077_000039_000004	Write the moment you get this by what train you expect to reach Boston, and when you roll into the station you will behold two forms, one tall and stalwart, the other short and fatsome, waiting for you.	Write the moment you get this by what train you expect to reach Boston, and when you roll into the station you will behold two forms, one tall and stalwart, the other short and fatsome, waiting for you.
4054_11077_000039_000005	They will be those of Deniston and myself.	They will be those of Deniston and myself.
4054_11077_000039_000007	The baby is both good and beautiful, and you will adore her.	The baby is both good and beautiful, and you will adore her.
4054_11077_000039_000008	I am neither; but you know all about me, and I always did adore you and always shall.	I am neither; but you know all about me, and I always did adore you and always shall.
4054_11077_000039_000010	My funny little house, which is quite a dear little house too, assumes a new interest in my eyes from the fact that you so soon are to see it.	My funny little house, which is quite a dear little house too, assumes a new interest in my eyes from the fact that you so soon are to see it.
4054_11077_000040_000000	"I saw Silvery Mary the other day and told her you were coming.	"I saw Silvery Mary the other day and told her you were coming.
4054_11077_000041_000000	"Your loving	"Your loving
4054_11077_000042_000000	"ROSE RED."	"ROSE RED."
4054_11077_000043_000000	"She never signs herself Browne, I observe," said Clover, as she finished the letter.	"She never signs herself Browne, I observe," said Clover, as she finished the letter.
4054_11077_000044_000000	"Oh, Rose Red Browne would sound too funny.	"Oh, Rose Red Browne would sound too funny.
4054_11077_000044_000002	What fun it will be to see her and little Rose!"	What fun it will be to see her and little Rose!"
4054_11077_000045_000000	"And Deniston Browne," put in Clover.	"And Deniston Browne," put in Clover.
4054_11077_000048_000000	The last day came, as last days will.	The last day came, as last days will.
4054_11077_000048_000003	He now proceeded to prepare and paste on two square cards, labelled respectively, "Hold" and "State-room." Mrs. Hall had told them that this was the correct thing to do.	He now proceeded to prepare and paste on two square cards, labelled respectively, "Hold" and "State room." mrs Hall had told them that this was the correct thing to do.
4054_11077_000050_000000	The first bell rang.	The first bell rang.
4054_11077_000050_000001	Katy kissed everybody quietly and went on board with her father.	Katy kissed everybody quietly and went on board with her father.
4054_11077_000050_000002	Her parting from him, hardest of all, took place in the midst of a crowd of people; then he had to leave her, and as the wheels began to revolve she went out on the side deck to have a last glimpse of the home faces.	Her parting from him, hardest of all, took place in the midst of a crowd of people; then he had to leave her, and as the wheels began to revolve she went out on the side deck to have a last glimpse of the home faces.
4054_11077_000050_000004	Why had she said she would go?	Why had she said she would go?
4054_11077_000050_000005	What was all Europe in comparison with what she was leaving?	What was all Europe in comparison with what she was leaving?
4054_11077_000050_000006	Life was so short, how could she take a whole year out of it to spend away from the people she loved best?	Life was so short, how could she take a whole year out of it to spend away from the people she loved best?
4054_11077_000051_000000	But it was not left for her to choose.	But it was not left for her to choose.
4054_11077_000051_000003	But there were Mrs. Ashe and Amy, inclined to be homesick also, and in need of cheering; and Katy, as she tried to brighten them, gradually grew bright herself, and recovered her hopeful spirits.	But there were mrs Ashe and Amy, inclined to be homesick also, and in need of cheering; and Katy, as she tried to brighten them, gradually grew bright herself, and recovered her hopeful spirits.
4054_11077_000051_000004	Burnet pulled less strongly as it got farther away, and Europe beckoned more brilliantly now that they were fairly embarked on their journey.	Burnet pulled less strongly as it got farther away, and Europe beckoned more brilliantly now that they were fairly embarked on their journey.
