688_1070_000001_000000	CHAPTER XXXIV	CHAPTER thirty four
688_1070_000022_000001	Not only had he alarmed--Louise and himself, he admitted--on the circular staircase, but he had dug the hole in the trunk-room wall, and later sent Eliza into hysteria.	Not only had he alarmed-Louise and himself, he admitted-on the circular staircase, but he had dug the hole in the trunk room wall, and later sent Eliza into hysteria.
688_1070_000022_000002	The note Liddy had found in Gertrude's scrap-basket was from him, and it was he who had startled me into unconsciousness by the clothes chute, and, with Gertrude's help, had carried me to Louise's room.	The note Liddy had found in Gertrude's scrap basket was from him, and it was he who had startled me into unconsciousness by the clothes chute, and, with Gertrude's help, had carried me to Louise's room.
688_1070_000022_000003	Gertrude, I learned, had watched all night beside me, in an extremity of anxiety about me.	Gertrude, I learned, had watched all night beside me, in an extremity of anxiety about me.
688_1070_000023_000000	That old Thomas had seen his master, and thought he had seen the Sunnyside ghost, there could be no doubt.	That old Thomas had seen his master, and thought he had seen the Sunnyside ghost, there could be no doubt.
688_1070_000023_000001	Of that story of Thomas', about seeing Jack Bailey in the footpath between the club and Sunnyside, the night Liddy and I heard the noise on the circular staircase--that, too, was right.	Of that story of Thomas', about seeing Jack Bailey in the footpath between the club and Sunnyside, the night Liddy and I heard the noise on the circular staircase-that, too, was right.
688_1070_000023_000002	On the night before Arnold Armstrong was murdered, Jack Bailey had made his first attempt to search for the secret room.	On the night before Arnold Armstrong was murdered, Jack Bailey had made his first attempt to search for the secret room.
688_1070_000023_000003	He secured Arnold's keys from his room at the club and got into the house, armed with a golf-stick for sounding the walls.	He secured Arnold's keys from his room at the club and got into the house, armed with a golf stick for sounding the walls.
688_1070_000023_000004	He ran against the hamper at the head of the stairs, caught his cuff-link in it, and dropped the golf-stick with a crash.	He ran against the hamper at the head of the stairs, caught his cuff link in it, and dropped the golf stick with a crash.
688_1070_000023_000005	He was glad enough to get away without an alarm being raised, and he took the "owl" train to town.	He was glad enough to get away without an alarm being raised, and he took the "owl" train to town.
688_1070_000024_000000	The oddest thing to me was that Mr. Jamieson had known for some time that Alex was Jack Bailey.	The oddest thing to me was that mr Jamieson had known for some time that Alex was Jack Bailey.
688_1070_000024_000001	But the face of the pseudo-gardener was very queer indeed, when that night, in the card-room, the detective turned to him and said:	But the face of the pseudo gardener was very queer indeed, when that night, in the card room, the detective turned to him and said:
688_1070_000025_000000	"How long are you and I going to play our little comedy, MR.	"How long are you and I going to play our little comedy, mr
688_1070_000025_000001	BAILEY?"	BAILEY?"
688_1070_000026_000000	Well, it is all over now.	Well, it is all over now.
688_1070_000026_000001	Paul Armstrong rests in Casanova churchyard, and this time there is no mistake.	Paul Armstrong rests in Casanova churchyard, and this time there is no mistake.
688_1070_000026_000002	I went to the funeral, because I wanted to be sure he was really buried, and I looked at the step of the shaft where I had sat that night, and wondered if it was all real. Sunnyside is for sale--no, I shall not buy it.	I went to the funeral, because I wanted to be sure he was really buried, and I looked at the step of the shaft where I had sat that night, and wondered if it was all real. Sunnyside is for sale-no, I shall not buy it.
688_1070_000026_000003	Little Lucien Armstrong is living with his step-grandmother, and she is recovering gradually from troubles that had extended over the entire period of her second marriage.	Little Lucien Armstrong is living with his step grandmother, and she is recovering gradually from troubles that had extended over the entire period of her second marriage.
688_1070_000026_000005	Thomas, the fourth victim of the conspiracy, is buried on the hill.	Thomas, the fourth victim of the conspiracy, is buried on the hill.
688_1070_000026_000006	With Nina Carrington, five lives were sacrificed in the course of this grim conspiracy.	With Nina Carrington, five lives were sacrificed in the course of this grim conspiracy.
688_1070_000027_000000	There will be two weddings before long, and Liddy has asked for my heliotrope poplin to wear to the church.	There will be two weddings before long, and Liddy has asked for my heliotrope poplin to wear to the church.
688_1070_000027_000001	I knew she would.	I knew she would.
688_1070_000027_000002	She has wanted it for three years, and she was quite ugly the time I spilled coffee on it.	She has wanted it for three years, and she was quite ugly the time I spilled coffee on it.
688_1070_000027_000003	We are very quiet, just the two of us.	We are very quiet, just the two of us.
688_1070_000027_000004	Liddy still clings to her ghost theory, and points to my wet and muddy boots in the trunk-room as proof.	Liddy still clings to her ghost theory, and points to my wet and muddy boots in the trunk room as proof.
688_1070_000027_000005	I am gray, I admit, but I haven't felt as well in a dozen years.	I am gray, I admit, but I haven't felt as well in a dozen years.
688_1070_000027_000006	Sometimes, when I am bored, I ring for Liddy, and we talk things over.	Sometimes, when I am bored, I ring for Liddy, and we talk things over.
688_1070_000027_000007	When Warner married Rosie, Liddy sniffed and said what I took for faithfulness in Rosie had been nothing but mawkishness. I have not yet outlived Liddy's contempt because I gave them silver knives and forks as a wedding gift.	When Warner married Rosie, Liddy sniffed and said what I took for faithfulness in Rosie had been nothing but mawkishness. I have not yet outlived Liddy's contempt because I gave them silver knives and forks as a wedding gift.
688_1070_000028_000000	So we sit and talk, and sometimes Liddy threatens to leave, and often I discharge her, but we stay together somehow.	So we sit and talk, and sometimes Liddy threatens to leave, and often I discharge her, but we stay together somehow.
688_1070_000028_000001	I am talking of renting a house next year, and Liddy says to be sure there is no ghost.	I am talking of renting a house next year, and Liddy says to be sure there is no ghost.
688_1070_000028_000002	To be perfectly frank, I never really lived until that summer.	To be perfectly frank, I never really lived until that summer.
688_1070_000028_000003	Time has passed since I began this story.	Time has passed since I began this story.
688_1070_000028_000004	My neighbors are packing up for another summer.	My neighbors are packing up for another summer.
