2512_157480_000000_000000	"Last one up is a Cocoa baby!" cried Raggedy Ann, as she scrambled to her feet.	"Last one up is a Cocoa baby!" cried Raggedy Ann, as she scrambled to her feet.	false	5.1	11.82	20.658321
2512_157480_000034_000000	"Did the tiny creatures get back into the water safely?" he asked the beautiful shell.	"Did the tiny creatures get back into the water safely?" he asked the beautiful shell.	true	267.5	271.39	23.419231
2512_157480_000035_000000	"Oh, yes!" the shell whispered in reply.	"Oh, yes!" the shell whispered in reply.	true	271.79	274	23.325708
2512_157480_000035_000001	"The man held me over the side of the boat, so the tiny creatures went safely back into the water!"	"The man held me over the side of the boat, so the tiny creatures went safely back into the water!"	true	274.1	278.32	19.849178
2512_157480_000036_000000	"I am so glad!" Raggedy Andy said, with a sigh of relief.	"I am so glad!" Raggedy Andy said, with a sigh of relief.	true	279.44	282.675	20.674217
2512_157480_000036_000001	"He must have been a kindly man!"	"He must have been a kindly man!"	true	282.675	284.23	20.28215
2512_157480_000037_000000	"Yes, indeed!" the beautiful shell replied.	"Yes, indeed!" the beautiful shell replied.	true	285.29	287.62	22.086708
2512_157480_000037_000001	"So I was placed along with a lot of other shells in the bottom of the boat and every once in a while another shell was placed amongst us.	"So I was placed along with a lot of other shells in the bottom of the boat and every once in a while another shell was placed amongst us.	true	287.81	294.49	22.288897
2512_157480_000037_000002	We whispered together and wondered where we were going.	We whispered together and wondered where we were going.	true	294.59	297.13	21
2512_157480_000037_000003	We were finally sold to different people and I have been at Gran'ma's house for a long, long time."	We were finally sold to different people and I have been at Gran'ma's house for a long, long time."	true	297.77	302.44	21
2512_157480_000038_000000	"You lived there when Gran'ma was a little girl, didn't you?" Raggedy Ann asked.	"You lived there when Gran'ma was a little girl, didn't you?" Raggedy Ann asked.	true	303.05	306.97	20.139591
2512_157480_000039_000000	"Yes," replied the shell, "I have lived there ever since Gran'ma was a little girl.	"Yes," replied the shell, "I have lived there ever since Gran'ma was a little girl.	true	307.43	311.08	22.390745
2512_157480_000039_000001	She often used to play with me and listen to me sing."	She often used to play with me and listen to me sing."	false	311.24	315.27	21.851076
2512_157480_000040_000000	"Raggedy Ann can play 'Peter, Peter, Pumpkin Eater' on the piano, with one hand," said Uncle Clem, "but none of us can sing.	"Raggedy Ann can play 'peter, peter, Pumpkin Eater' on the piano, with one hand," said Uncle Clem, "but none of us can sing.	true	315.27	321.105	21.526148
2512_157480_000040_000001	Will you sing for us?" he asked the shell.	Will you sing for us?" he asked the shell.	true	321.105	322.99	23.528929
2512_157480_000041_000000	"I sing all the time," the shell replied, "for I cannot help singing, but my singing is a secret and so is very soft and low.	"I sing all the time," the shell replied, "for I cannot help singing, but my singing is a secret and so is very soft and low.	true	323.66	330.58	20.237503
2512_157480_000041_000001	Put your head close to the opening in my shell and listen!"	Put your head close to the opening in my shell and listen!"	true	330.95	333.73	20.360205
2512_157480_000042_000000	The dolls took turns doing this, and heard the shell sing softly and very sweetly.	The dolls took turns doing this, and heard the shell sing softly and very sweetly.	true	334.58	339.1	24.137129
2512_157480_000043_000000	"How strange and far away it sounds!" exclaimed the French doll.	"How strange and far away it sounds!" exclaimed the French doll.	true	340.31	343.78	25
2512_157480_000043_000001	"Like fairies singing in the distance!	"Like fairies singing in the distance!	true	343.85	345.765	22.068756
2512_157480_000043_000002	The shell must be singing the songs of the mermaids and the water-fairies!"	The shell must be singing the songs of the mermaids and the water fairies!"	true	345.765	348.97	18
2512_157480_000044_000000	"It is queer that anything so rough on the outside could be so pretty within!" said Raggedy Andy.	"It is queer that anything so rough on the outside could be so pretty within!" said Raggedy Andy.	true	350.03	354.85	21.946043
2512_157480_000044_000001	"It must be a great pleasure to be able to sing so sweetly!"	"It must be a great pleasure to be able to sing so sweetly!"	false	355.01	357.61	22.862623
2512_157480_000045_000000	"Indeed it is," replied the beautiful shell, "and I get a great happiness from singing all the time."	"Indeed it is," replied the beautiful shell, "and I get a great happiness from singing all the time."	true	358.82	363.25	20
2512_157480_000046_000000	"And you will bring lots of pleasure to us, by being so happy!" said Raggedy Andy.	"And you will bring lots of pleasure to us, by being so happy!" said Raggedy Andy.	true	364.1	367.93	22
2512_157480_000046_000001	"For although you may not enter into our games, we will always know that you are happily singing, and that will make us all happy!"	"For although you may not enter into our games, we will always know that you are happily singing, and that will make us all happy!"	true	368.09	374.05	19
2512_157480_000047_000000	"I will tell you the secret of my singing," said the shell.	"I will tell you the secret of my singing," said the shell.	true	375.11	377.74	21.576635
2512_157480_000047_000001	"When anyone puts his ear to me and listens, he hears the reflection of his own heart's music, singing; so, you see, while I say that I am singing all the time, in reality I sing only when someone full of happiness hears his own singing as if it were mine."	"When anyone puts his ear to me and listens, he hears the reflection of his own heart's music, singing; so, you see, while I say that I am singing all the time, in reality I sing only when someone full of happiness hears his own singing as if it were mine."	false	378.08	393.315	20.336468
2512_157480_000048_000000	"How unselfish you are to say this!" said Raggedy Andy.	"How unselfish you are to say this!" said Raggedy Andy.	true	393.315	395.98	23
2512_157480_000048_000001	"Now we are ever so much more glad to have you with us.	"Now we are ever so much more glad to have you with us.	true	396.23	398.85	18
2512_157480_000048_000002	Aren't we?" he asked, turning to the rest of the dolls.	Aren't we?" he asked, turning to the rest of the dolls.	true	398.85	401.23	25.27912
2512_157480_000049_000000	"Yes, indeed!" came the answer from all the dolls, even the tiny penny dolls.	"Yes, indeed!" came the answer from all the dolls, even the tiny penny dolls.	true	401.63	405.46	21
2512_157480_000050_000000	"That is why the shell is so beautiful inside!" said Raggedy Ann.	"That is why the shell is so beautiful inside!" said Raggedy Ann.	true	405.83	408.88	22
2512_157480_000050_000001	"Those who are unselfish may wear rough clothes, but inside they are always beautiful, just like the shell, and reflect to others the happiness and sunny music within their hearts!"	"Those who are unselfish may wear rough clothes, but inside they are always beautiful, just like the shell, and reflect to others the happiness and sunny music within their hearts!"	false	409.16	435.81	19.744768
