7783_107487_000000_000000	"Who do you suppose, Bunny, my boy?" she asked with a grin.	"Who do you suppose, Bunny, my boy?" she asked with a grin.	false	0	4.08	22.22091
7783_107487_000019_000003	They're happy."	They're happy."	true	238.875	239.77	23.517708
7783_107487_000020_000000	"Mrs. Innitt, though--I envy her," said Henriette; "that is, in a way. She has no conversation at all, but her little dinners are the swellest things of the season.	"mrs Innitt, though-I envy her," said Henriette; "that is, in a way. She has no conversation at all, but her little dinners are the swellest things of the season.	true	240.59	250.09	21.965567
7783_107487_000020_000001	Never more than ten people at a time and everything cooked to a turn."	Never more than ten people at a time and everything cooked to a turn."	true	250.37	254.32	20.65804
7783_107487_000021_000000	"That's just it," said I.	"That's just it," said i	true	254.72	256.18	24.312418
7783_107487_000021_000001	"I hear enough at the club to know just what cinches Mrs. Innitt's position.	"I hear enough at the club to know just what cinches mrs Innitt's position.	true	256.37	260.37	19.889717
7783_107487_000021_000002	It's her cook, that's what does it.	It's her cook, that's what does it.	true	260.37	262.3	22.04789
7783_107487_000021_000003	If she lost her cook she'd be Mrs. Outofit.	If she lost her cook she'd be mrs Outofit.	true	262.46	265.27	22.927786
7783_107487_000021_000004	There never were such pancakes, such purees, such made dishes as that woman gets up.	There never were such pancakes, such purees, such made dishes as that woman gets up.	true	265.4	270.49	21.23754
7783_107487_000021_000005	She turns hash into a confection and liver and bacon into a delicacy.	She turns hash into a confection and liver and bacon into a delicacy.	true	270.62	274.96	21.919147
7783_107487_000021_000006	Corned-beef in her hands is a discovery and her sauces are such that a bit of roast rhinoceros hide tastes like the tenderest of squab when served by her. No wonder Mrs. Innitt holds her own.	Corned beef in her hands is a discovery and her sauces are such that a bit of roast rhinoceros hide tastes like the tenderest of squab when served by her. No wonder mrs Innitt holds her own.	true	275.24	285.645	18
7783_107487_000021_000007	A woman with a cook like Norah Sullivan could rule an empire."	A woman with a cook like Norah Sullivan could rule an empire."	true	285.645	289	21.998304
7783_107487_000022_000000	A moment later I was sorry I had spoken, for my words electrified her.	A moment later I was sorry I had spoken, for my words electrified her.	true	289.61	293.58	19.725687
7783_107487_000023_000000	"_I must have her!_" cried Henriette.	"underscore I must have her!underscore" cried Henriette.	false	293.58	295.75	21.798319
7783_107487_000024_000000	"What, Mrs. Innitt?" I asked.	"What, mrs Innitt?" I asked.	true	295.94	298	22.747776
7783_107487_000025_000000	"No--her cook," said Henriette.	"No-her cook," said Henriette.	true	298.07	300.22	21.565857
7783_107487_000026_000000	I stood aghast.	I stood aghast.	true	300.53	301.72	20.123947
7783_107487_000026_000001	Full of sympathy as I had always been with the projects of Mrs. Van Raffles, and never in the least objecting on moral grounds to any of her schemes of acquisition, I could not but think that this time she proposed to go too far.	Full of sympathy as I had always been with the projects of mrs Van Raffles, and never in the least objecting on moral grounds to any of her schemes of acquisition, I could not but think that this time she proposed to go too far.	true	301.79	315.31	21.751867
7783_107487_000026_000002	To rob a millionaire of his bonds, a national bank of its surplus, a philanthropist of a library, or a Metropolitan Boxholder of a diamond stomacher, all that seemed reasonable to me and proper according to my way of looking at it, but to rob a neighbor of her cook--if there is any worse social crime than that I don't know what it is.	To rob a millionaire of his bonds, a national bank of its surplus, a philanthropist of a library, or a Metropolitan Boxholder of a diamond stomacher, all that seemed reasonable to me and proper according to my way of looking at it, but to rob a neighbor of her cook-if there is any worse social crime than that I don't know what it is.	false	315.56	335.35	22.017601
7783_107487_000027_000000	"You'd better think twice on that proposition, Henriette," I advised with a gloomy shake of the head.	"You'd better think twice on that proposition, Henriette," I advised with a gloomy shake of the head.	true	335.99	340.75	21.05805
7783_107487_000027_000001	"It is not only a mean crime, but a dangerous one to boot.	"It is not only a mean crime, but a dangerous one to boot.	true	341	344.5	21.173286
7783_107487_000027_000002	Success would in itself bring ruin.	Success would in itself bring ruin.	false	344.63	346.9	22.979687
7783_107487_000027_000003	Mrs. Innitt would never forgive you, and society at large--"	mrs Innitt would never forgive you, and society at large-"	true	347.18	350.37	21.452848
7783_107487_000028_000000	"Society at large would dine with me instead of with Mrs. Innitt, that's all," said Henriette.	"Society at large would dine with me instead of with mrs Innitt, that's all," said Henriette.	true	350.37	355.51	23.517984
7783_107487_000028_000001	"I mean to have her before the season's over."	"I mean to have her before the season's over."	true	355.52	357.85	19.476353
7783_107487_000029_000000	"Well, I draw the line at stealing a cook," said I, coldly.	"Well, I draw the line at stealing a cook," said I, coldly.	true	358.4	361.51	24.217644
7783_107487_000029_000001	"I've robbed churches and I've made way with fresh-air funds, and I've helped you in many another legitimate scheme, but in this, Mrs. Van Raffles, you'll have to go it alone."	"I've robbed churches and I've made way with fresh air funds, and I've helped you in many another legitimate scheme, but in this, mrs Van Raffles, you'll have to go it alone."	true	361.76	371.92	22.074556
7783_107487_000030_000000	"Oh, don't you be afraid, Bunny," she answered.	"Oh, don't you be afraid, Bunny," she answered.	true	372.38	375.13	21.215836
7783_107487_000030_000001	"I'm not going to use your charms as a bait to lure this culinary Phyllis into the Arcadia in which you with your Strephonlike form disport yourself."	"I'm not going to use your charms as a bait to lure this culinary Phyllis into the Arcadia in which you with your Strephonlike form disport yourself."	true	375.2	384.22	19.984074
7783_107487_000031_000000	"You oughtn't to do it at all," said I, gruffly.	"You oughtn't to do it at all," said I, gruffly.	false	384.59	387.01	24.384293
7783_107487_000031_000001	"It's worse than murder, for it is prohibited twice in the decalogue, while murder is only mentioned once."	"It's worse than murder, for it is prohibited twice in the decalogue, while murder is only mentioned once."	true	387.14	393.03	21.604156
7783_107487_000032_000000	"What!" cried Henrietta "What, pray, does the decalogue say about cooks, I'd like to know?"	"What!" cried Henrietta "What, pray, does the decalogue say about cooks, I'd like to know?"	true	393.03	398.05	24.93138
7783_107487_000033_000000	"First, thou shalt not steal.	"First, thou shalt not steal.	true	398.54	400.78	25.252623
7783_107487_000033_000001	You propose to steal this woman.	You propose to steal this woman.	true	400.85	402.61	21.104977
7783_107487_000033_000002	Second, thou shalt not covet thy neighbor's maid-servant.	Second, thou shalt not covet thy neighbor's maid servant.	true	402.86	406.36	26.013319
7783_107487_000033_000003	How many times does that make?" I asked.	How many times does that make?" I asked.	true	406.49	408.82	21.44688
7783_107487_000034_000000	"Dear me, Bunny," said Henriette, "but you _are_ a little tuppenny Puritan, aren't you?	"Dear me, Bunny," said Henriette, "but you underscore are underscore a little tuppenny Puritan, aren't you?	false	409.16	413.92	22.83241
7783_107487_000034_000001	Anybody'd know you were the son of a clergyman! Well, let me tell you, I sha'n't steal the woman, and I sha'n't covet her.	Anybody'd know you were the son of a clergyman! Well, let me tell you, I sha'n't steal the woman, and I sha'n't covet her.	true	414.17	421.3	22.031496
7783_107487_000034_000002	I'm just going to get her, that's all."	I'm just going to get her, that's all."	true	421.34	423.34	24.326725
7783_107487_000035_000000	It was two weeks later that Norah Sullivan left the employ of Mrs. Innitt and was installed in our kitchen; and, strange to relate, she came as a matter of charity on Henriette's part--having been discharged by Mrs. Innitt.	It was two weeks later that Norah Sullivan left the employ of mrs Innitt and was installed in our kitchen; and, strange to relate, she came as a matter of charity on Henriette's part-having been discharged by mrs Innitt.	false	424.25	437.05	21.833092
7783_107487_000036_000000	The Friday before Norah's arrival Henriette requested me to get her a rusty nail, a piece of gravel from the drive, two hair-pins, and a steel nut from the automobile.	The Friday before Norah's arrival Henriette requested me to get her a rusty nail, a piece of gravel from the drive, two hair pins, and a steel nut from the automobile.	true	437.9	447.52	20.735718
7783_107487_000037_000000	"What on earth--" I began, but she shut me off with an imperious gesture.	"What on earth-" I began, but she shut me off with an imperious gesture.	true	448.07	452.35	22.318361
7783_107487_000038_000000	"Do as I tell you," she commanded.	"Do as I tell you," she commanded.	true	452.45	454.24	24.234798
7783_107487_000038_000001	"You are not in on this venture." And then apparently she relented.	"You are not in on this venture." And then apparently she relented.	true	454.25	458.02	20.764107
7783_107487_000038_000002	"But I'm willing to tell you just one thing, Bunny"--here her eyes began to twinkle joyously--"I'm going to Mrs. Innitt's to dinner to-morrow night--so look out for Norah by Monday."	"But I'm willing to tell you just one thing, Bunny"--here her eyes began to twinkle joyously-"I'm going to mrs Innitt's to dinner to morrow night-so look out for Norah by Monday."	true	458.15	468.43	21.692223
7783_107487_000039_000000	I turned sulkily away.	I turned sulkily away.	true	468.92	470.53	22.422382
7783_107487_000040_000000	"You know how I feel on that subject," said I. "This business of going into another person's house as a guest and inducing their servants to leave is an infraction of the laws of hospitality.	"You know how I feel on that subject," said i "This business of going into another person's house as a guest and inducing their servants to leave is an infraction of the laws of hospitality.	true	471.11	480.85	20.204048
7783_107487_000040_000001	How would you like it if Mrs. Gaster stole me away from you?"	How would you like it if mrs Gaster stole me away from you?"	true	481.1	483.97	22
7783_107487_000041_000000	Henriette's answer was a puzzling smile.	Henriette's answer was a puzzling smile.	true	484.58	486.94	22
7783_107487_000041_000001	"You are free to better your condition, Bunny," she said.	"You are free to better your condition, Bunny," she said.	true	487.28	490.21	22.493853
7783_107487_000041_000002	"But I am not going to rob Mrs. Innitt, as I told you once before.	"But I am not going to rob mrs Innitt, as I told you once before.	true	490.34	493.84	22.586994
7783_107487_000041_000003	She will discharge Norah and I will take her, that's all; so do be a good boy and bring me the nail and gravel and the hair-pins and the automobile nut."	She will discharge Norah and I will take her, that's all; so do be a good boy and bring me the nail and gravel and the hair pins and the automobile nut."	false	493.97	502.59	21.761347
7783_107487_000042_000000	I secured the desired articles for my mistress, and the next evening she went to Mrs. Innitt's little dinner to Miss Gullet and her fiance, Lord Dullpate, eldest son of the Duke of Lackshingles, who had come over to America to avoid the scrutiny of the Bankruptcy Court, taking the absurd objects with her.	I secured the desired articles for my mistress, and the next evening she went to mrs Innitt's little dinner to Miss Gullet and her fiance, Lord Dullpate, eldest son of the Duke of Lackshingles, who had come over to America to avoid the scrutiny of the Bankruptcy Court, taking the absurd objects with her.	false	502.59	518.77	22.8136
7783_107487_000042_000001	Upon her return at 2 A.M. she was radiant and triumphant.	Upon her return at two a m she was radiant and triumphant.	true	518.99	522.79	19.99908
7783_107487_000043_000000	"I won out, Bunny--I won out!" she cried.	"I won out, Bunny-I won out!" she cried.	true	523.01	526.18	24.363274
7783_107487_000044_000000	"How?" I inquired.	"How?" I inquired.	false	526.25	527.91	22.528841
7783_107487_000045_000000	"Mrs. Innitt has discharged Norah, though I begged her not to," she fairly sang.	"mrs Innitt has discharged Norah, though I begged her not to," she fairly sang.	true	527.91	532.3	22
7783_107487_000046_000000	"On what grounds?"	"On what grounds?"	true	532.52	533.71	21.053007
7783_107487_000047_000000	"Several," said Henriette, unfastening her glove.	"Several," said Henriette, unfastening her glove.	true	533.87	536.74	21.707865
7783_107487_000047_000001	"To begin with, there was a rusty nail in my clam cocktail, and it nearly choked me to death. I tried hard to keep Mrs. Innitt from seeing what had happened, but she is watchful if not brainy, and all my efforts went for naught.	"To begin with, there was a rusty nail in my clam cocktail, and it nearly choked me to death. I tried hard to keep mrs Innitt from seeing what had happened, but she is watchful if not brainy, and all my efforts went for naught.	true	537.02	549.19	21.295355
7783_107487_000047_000002	She was much mortified of course and apologized profusely.	She was much mortified of course and apologized profusely.	true	549.35	552.61	22.398136
7783_107487_000047_000003	All went well until the fish, when one of the two hair-pins turned up in the pompano to the supreme disgust of my hostess, who was now beginning to look worried. Hair-pin number two made its debut in my timbale.	All went well until the fish, when one of the two hair pins turned up in the pompano to the supreme disgust of my hostess, who was now beginning to look worried. Hair pin number two made its debut in my timbale.	true	552.8	564.76	22.240854
7783_107487_000047_000004	This was too much for the watchful Mrs. Innitt, self-poised though she always is, and despite my remonstrances she excused herself from the table for a moment, and I judge from the flushed appearance of her cheeks when she returned five minutes later that somebody had had the riot act read to her somewhere.	This was too much for the watchful mrs Innitt, self poised though she always is, and despite my remonstrances she excused herself from the table for a moment, and I judge from the flushed appearance of her cheeks when she returned five minutes later that somebody had had the riot act read to her somewhere.	true	565.49	581.65	21.213978
7783_107487_000048_000000	"'I don't understand it at all, Mrs. Van Raffles,' she said with a sheepish smile.	"'I don't understand it at all, mrs Van Raffles,' she said with a sheepish smile.	true	582.35	587.02	20.31463
7783_107487_000048_000001	'Cook's perfectly sober.	'Cook's perfectly sober.	true	587.24	588.88	23.121933
7783_107487_000048_000002	If anything of the kind ever happens again she shall go.'"	If anything of the kind ever happens again she shall go.'"	true	588.95	591.97	21.225334
7783_107487_000049_000000	"Even as Mrs. Innitt spoke I conveyed a luscious morsel of filet mignon with mushrooms to my mouth and nearly broke my tooth on a piece of gravel that went with it, and Norah was doomed, for although we all laughed heartily, the thing had come to be such a joke, it was plain from the expression of Mrs. Innitt's countenance that she was very, very angry.	"Even as mrs Innitt spoke I conveyed a luscious morsel of filet mignon with mushrooms to my mouth and nearly broke my tooth on a piece of gravel that went with it, and Norah was doomed, for although we all laughed heartily, the thing had come to be such a joke, it was plain from the expression of mrs Innitt's countenance that she was very, very angry.	true	592.7	612.16	22.15339
7783_107487_000050_000000	"'Forgive her this time for my sake, Mrs. Innitt,' I pleaded.	"'Forgive her this time for my sake, mrs Innitt,' I pleaded.	true	613.04	616.06	19.197401
7783_107487_000050_000001	'After all it is the little surprises that give zest to life.'"	'After all it is the little surprises that give zest to life.'"	true	616.16	619.72	22.956533
7783_107487_000051_000000	"And you didn't have to use the automobile nut?" I asked, deeply impressed with the woman's ingenuity.	"And you didn't have to use the automobile nut?" I asked, deeply impressed with the woman's ingenuity.	true	620.24	625.54	22.183184
7783_107487_000052_000000	"Oh yes," said Henriette.	"Oh yes," said Henriette.	true	625.76	627.46	20.649008
7783_107487_000052_000001	"As dinner progressed I thought it wise to use it to keep Mrs. Innitt from weakening; so when the salad was passed I managed, without anybody's observing it, to drop the automobile nut into the bowl.	"As dinner progressed I thought it wise to use it to keep mrs Innitt from weakening; so when the salad was passed I managed, without anybody's observing it, to drop the automobile nut into the bowl.	false	627.68	637.36	22.344084
7783_107487_000052_000002	The Duke of Snarleyow got it and the climax was capped. Mrs. Innitt burst into a flood of tears and--well, to-morrow, Bunny, Norah leaves.	The Duke of Snarleyow got it and the climax was capped. mrs Innitt burst into a flood of tears and-well, to morrow, Bunny, Norah leaves.	true	637.67	646.24	22.659065
7783_107487_000052_000003	You will take her this ten-dollar bill from me, and tell her that I am sorry she got into so much trouble on my account.	You will take her this ten dollar bill from me, and tell her that I am sorry she got into so much trouble on my account.	true	646.52	652.24	19.888466
7783_107487_000052_000004	Say that if I can be of any assistance to her all she has to do is to call here and I will do what I can to get her another place."	Say that if I can be of any assistance to her all she has to do is to call here and I will do what I can to get her another place."	false	652.58	659.79	20.518057
7783_107487_000053_000000	[Illustration: "ON HER WAY TO BARLY CHURCH I WAYLAID NORAH"]	[Illustration: "ON HER WAY TO BARLY CHURCH I WAYLAID NORAH"]	false	659.79	660.84	-20
7783_107487_000054_000000	With this Henriette retired and the next morning on her way to early church I waylaid Norah.	With this Henriette retired and the next morning on her way to early church I waylaid Norah.	true	660.84	666.04	20.57595
7783_107487_000054_000001	Her eyes were red with weeping, but a more indignant woman never lived.	Her eyes were red with weeping, but a more indignant woman never lived.	false	666.08	670.3	20.251343
7783_107487_000054_000002	Her discharge was unrighteous; Mrs. Innitt was no lady; the butler was in a conspiracy to ruin her--and all that; indeed, her mood was most receptive to the furtherance of Henriette's plans.	Her discharge was unrighteous; mrs Innitt was no lady; the butler was in a conspiracy to ruin her-and all that; indeed, her mood was most receptive to the furtherance of Henriette's plans.	true	670.67	681.67	20.966951
7783_107487_000054_000003	The ten-dollar bill was soothing, and indicated that my mistress was a "foine woman" and "surely Norah would come 'round in the evening to ask her aid."	The ten dollar bill was soothing, and indicated that my mistress was a "foine woman" and "surely Norah would come 'round in the evening to ask her aid."	false	681.92	689.62	21.59601
7783_107487_000055_000000	"It's ruined I am unless somebody'll be good to me and give me a riference, which Mrs. Innitt, bad cess to her, won't do, at all, at all," she wailed, and then I left her.	"It's ruined I am unless somebody'll be good to me and give me a riference, which mrs Innitt, bad cess to her, won't do, at all, at all," she wailed, and then I left her.	true	690.11	699.34	21.914875
7783_107487_000056_000000	She called that night, and two days later was installed in the Van Raffles's kitchen.	She called that night, and two days later was installed in the Van Raffles's kitchen.	true	699.92	703.93	20.21069
7783_107487_000057_000000	A new treasure was added to the stores of our loot, but somehow or other I have never been happy over the successful issue of the enterprise.	A new treasure was added to the stores of our loot, but somehow or other I have never been happy over the successful issue of the enterprise.	true	704.24	712	21.705158
7783_107487_000057_000001	I can't quite make up my mind that it was a lady-like thing for Henriette to do even in Newport.	I can't quite make up my mind that it was a lady like thing for Henriette to do even in Newport.	false	712.19	726.21	20.179707
