2254_152831_000000_000000	The Trail of Ninety-Eight	The Trail of Ninety Eight	false	0.51	8.31	20.577585
2254_152831_000024_000000	Beneath us the green tumult churning, above us the cavernous gloom; Around us, swift twisting and turning, the black, sullen walls of a tomb. We spun like a chip in a mill-race; our hearts hammered under the test; Then--oh, the relief on each chill face!--we soared into sunlight and rest.	Beneath us the green tumult churning, above us the cavernous gloom; Around us, swift twisting and turning, the black, sullen walls of a tomb. We spun like a chip in a mill race; our hearts hammered under the test; Then-oh, the relief on each chill face!--we soared into sunlight and rest.	true	464.45	489.76	21.418816
2254_152831_000025_000000	Hand sought for hand on the instant.	Hand sought for hand on the instant.	true	490.46	493.21	17
2254_152831_000025_000001	Cried we, "Our troubles are o'er!" Then, like a rumble of thunder, heard we a canorous roar. Leaping and boiling and seething, saw we a cauldron afume; There was the rage of the rapids, there was the menace of doom.	Cried we, "Our troubles are o'er!" Then, like a rumble of thunder, heard we a canorous roar. Leaping and boiling and seething, saw we a cauldron afume; There was the rage of the rapids, there was the menace of doom.	false	493.4	513.94	20.184711
2254_152831_000026_000000	The river springs like a racer, sweeps through a gash in the rock; Buts at the boulder-ribbed bottom, staggers and rears at the shock; Leaps like a terrified monster, writhes in its fury and pain; Then with the crash of a demon springs to the onset again.	The river springs like a racer, sweeps through a gash in the rock; Buts at the boulder ribbed bottom, staggers and rears at the shock; Leaps like a terrified monster, writhes in its fury and pain; Then with the crash of a demon springs to the onset again.	true	514.46	536.17	19.998549
2254_152831_000027_000000	Dared we that ravening terror; heard we its din in our ears; Called on the Gods of our fathers, juggled forlorn with our fears; Sank to our waists in its fury, tossed to the sky like a fleece; Then, when our dread was the greatest, crashed into safety and peace.	Dared we that ravening terror; heard we its din in our ears; Called on the Gods of our fathers, juggled forlorn with our fears; Sank to our waists in its fury, tossed to the sky like a fleece; Then, when our dread was the greatest, crashed into safety and peace.	true	537.29	560.26	19.465664
2254_152831_000028_000000	But what of the others that followed, losing their boats by the score? Well could we see them and hear them, strung down that desolate shore. What of the poor souls that perished?	But what of the others that followed, losing their boats by the score? Well could we see them and hear them, strung down that desolate shore. What of the poor souls that perished?	true	561.05	574.36	20.099524
2254_152831_000028_000001	Little of them shall be said-- On to the Golden Valley, pause not to bury the dead.	Little of them shall be said- On to the Golden Valley, pause not to bury the dead.	true	574.37	581.95	19.704163
2254_152831_000029_000000	Then there were days of drifting, breezes soft as a sigh; Night trailed her robe of jewels over the floor of the sky. The moonlit stream was a python, silver, sinuous, vast, That writhed on a shroud of velvet--well, it was done at last.	Then there were days of drifting, breezes soft as a sigh; Night trailed her robe of jewels over the floor of the sky. The moonlit stream was a python, silver, sinuous, vast, That writhed on a shroud of velvet-well, it was done at last.	true	582.98	606.79	19.449009
2254_152831_000030_000000	There were the tents of Dawson, there the scar of the slide; Swiftly we poled o'er the shallows, swiftly leapt o'er the side. Fires fringed the mouth of Bonanza; sunset gilded the dome; The test of the trail was over--thank God, thank God, we were Home!	There were the tents of Dawson, there the scar of the slide; Swiftly we poled o'er the shallows, swiftly leapt o'er the side. Fires fringed the mouth of Bonanza; sunset gilded the dome; The test of the trail was over-thank God, thank God, we were Home!	true	607.76	634.35	19.914133
2254_152831_000031_000000	The Ballad of Gum-Boot Ben	The Ballad of Gum Boot Ben	false	634.35	634.47	-20
2254_152831_000032_000000	_He was an old prospector with a vision bleared and dim. He asked me for a grubstake, and the same I gave to him. He hinted of a hidden trove, and when I made so bold To question his veracity, this is the tale he told._	underscore He was an old prospector with a vision bleared and dim. He asked me for a grubstake, and the same I gave to him. He hinted of a hidden trove, and when I made so bold To question his veracity, this is the tale he told.underscore	false	634.47	643.59	18.715555
