2853_164187_000000_000000	CHAPTER THREE	CHAPTER THREE	false	0.51	26.1	23.458178
2853_164187_000003_000001	Though she worked with zealous diligence, she had an eye to the movements in the street outside, for it was shopping-hour, and there were many observations to be made.	Though she worked with zealous diligence, she had an eye to the movements in the street outside, for it was shopping hour, and there were many observations to be made.	true	146.69	155.5	20.669458
2853_164187_000003_000002	She had not anything like Miss Mapp's genius for conjecture, but her memory was appallingly good, and this was the third morning running on which Elizabeth had gone into the grocer's.	She had not anything like Miss Mapp's genius for conjecture, but her memory was appallingly good, and this was the third morning running on which Elizabeth had gone into the grocer's.	false	155.66	166.63	21.768255
2853_164187_000003_000003	It was odd to go to your grocer's every day like that: groceries twice a week was sufficient for most people.	It was odd to go to your grocer's every day like that: groceries twice a week was sufficient for most people.	true	167.09	173.53	22.895447
2853_164187_000003_000004	From here on the floor above the street she could easily look into Elizabeth's basket, and she certainly was carrying nothing away with her from the grocer's, for the only thing there was a small bottle done up in white paper with sealing wax, which, Diva had no need to be told, certainly came from the chemist's, and was no doubt connected with too many plums.	From here on the floor above the street she could easily look into Elizabeth's basket, and she certainly was carrying nothing away with her from the grocer's, for the only thing there was a small bottle done up in white paper with sealing wax, which, Diva had no need to be told, certainly came from the chemist's, and was no doubt connected with too many plums.	true	173.9	194.29	23.555908
2853_164187_000004_000000	Miss Mapp crossed the street to the pavement below Diva's house, and precisely as she reached it, Diva's maid opened the door into the drawing-room, bringing in the second post, or rather not bringing in the second post, but the announcement that there wasn't any second post.	Miss Mapp crossed the street to the pavement below Diva's house, and precisely as she reached it, Diva's maid opened the door into the drawing room, bringing in the second post, or rather not bringing in the second post, but the announcement that there wasn't any second post.	true	195.08	209.44	22.664507
2853_164187_000004_000001	This opening of the door caused a draught, and the bunches of roses which littered the window-seat rose brightly in the air.	This opening of the door caused a draught, and the bunches of roses which littered the window seat rose brightly in the air.	false	209.93	216.07	24
2853_164187_000004_000002	Diva managed to beat most of them down again, but two fluttered out of the window.	Diva managed to beat most of them down again, but two fluttered out of the window.	true	216.29	220.45	22.325916
2853_164187_000004_000003	Precisely then, and at no other time, Miss Mapp looked up, and one settled on her face, the other fell into her basket.	Precisely then, and at no other time, Miss Mapp looked up, and one settled on her face, the other fell into her basket.	true	220.46	228.97	22.297361
2853_164187_000004_000004	Her trained faculties were all on the alert, and she thrust them both inside her glove for future consideration, without stopping to examine them just then.	Her trained faculties were all on the alert, and she thrust them both inside her glove for future consideration, without stopping to examine them just then.	true	229.19	238.03	23.291592
2853_164187_000004_000005	She only knew that they were little pink roses, and that they had fluttered out of Diva's window. . . .	She only knew that they were little pink roses, and that they had fluttered out of Diva's window. . . .	true	238.19	243.61	25.45172
2853_164187_000005_000000	She paused on the pavement, and remembered that Diva had not yet expressed regret about the worsted, and that she still "popped" as much as ever.	She paused on the pavement, and remembered that Diva had not yet expressed regret about the worsted, and that she still "popped" as much as ever.	false	244.34	251.76	26.756153
2853_164187_000005_000001	Thus Diva deserved a punishment of some sort, and happily, at that very moment she thought of a subject on which she might be able to make her uncomfortable.	Thus Diva deserved a punishment of some sort, and happily, at that very moment she thought of a subject on which she might be able to make her uncomfortable.	false	251.76	259.72	23.90662
2853_164187_000005_000002	The street was full, and it would be pretty to call up to her, instead of ringing her bell, in order to save trouble to poor overworked Janet. (Diva only kept two servants, though of course poverty was no crime.)	The street was full, and it would be pretty to call up to her, instead of ringing her bell, in order to save trouble to poor overworked Janet. (Diva only kept two servants, though of course poverty was no crime.)	false	260.15	273.51	24.061028
2853_164187_000006_000000	"Diva darling!" she cooed.	"Diva darling!" she cooed.	false	273.51	275.92	19.119596
2853_164187_000007_000000	Diva's head looked out like a cuckoo in a clock preparing to chime the hour.	Diva's head looked out like a cuckoo in a clock preparing to chime the hour.	true	275.96	279.9	24.881044
2853_164187_000008_000000	"Hullo!" she said.	"Hullo!" she said.	false	279.9	281.895	20.613192
2853_164187_000008_000001	"Want me?"	"Want me?"	true	281.895	282.82	26.687656
2853_164187_000009_000000	"May I pop up for a moment, dear?" said Miss Mapp.	"May I pop up for a moment, dear?" said Miss Mapp.	true	283.97	286.87	26.363708
2853_164187_000009_000001	"That's to say if you're not very busy."	"That's to say if you're not very busy."	true	287	289.36	23.54047
2853_164187_000010_000000	"Pop away," said Diva.	"Pop away," said Diva.	true	289.61	291.45	19.900352
2853_164187_000010_000001	She was quite aware that Miss Mapp said "pop" in crude inverted commas, so to speak, for purposes of mockery, and so she said it herself more than ever.	She was quite aware that Miss Mapp said "pop" in crude inverted commas, so to speak, for purposes of mockery, and so she said it herself more than ever.	true	291.45	300.85	23.19586
2853_164187_000010_000002	"I'll tell my maid to pop down and open the door."	"I'll tell my maid to pop down and open the door."	true	301.07	303.94	29.919256
2853_164187_000011_000000	While this was being done, Diva bundled her chintz curtains together and stored them and the roses she had cut out into her work-cupboard, for secrecy was an essential to the construction of these decorations.	While this was being done, Diva bundled her chintz curtains together and stored them and the roses she had cut out into her work cupboard, for secrecy was an essential to the construction of these decorations.	true	304.34	314.68	22
2853_164187_000011_000001	But in order to appear naturally employed, she pulled out the woollen scarf she was knitting for the autumn and winter, forgetting for the moment that the rose-madder stripe at the end on which she was now engaged was made of that fatal worsted which Miss Mapp considered to have been feloniously appropriated. That was the sort of thing Miss Mapp never forgot.	But in order to appear naturally employed, she pulled out the woollen scarf she was knitting for the autumn and winter, forgetting for the moment that the rose madder stripe at the end on which she was now engaged was made of that fatal worsted which Miss Mapp considered to have been feloniously appropriated. That was the sort of thing Miss Mapp never forgot.	false	314.78	334.87	23
2853_164187_000011_000002	Even among her sweet flowers.	Even among her sweet flowers.	true	335.06	337.09	20.984352
2853_164187_000011_000003	Her eye fell on it the moment she entered the room, and she tucked the two chintz roses more securely into her glove.	Her eye fell on it the moment she entered the room, and she tucked the two chintz roses more securely into her glove.	true	337.97	344.17	22
2853_164187_000012_000000	"I thought I would just pop across from the grocer's," she said. "What a pretty scarf, dear!	"I thought I would just pop across from the grocer's," she said. "What a pretty scarf, dear!	true	344.78	349.56	24.467323
2853_164187_000012_000001	That's a lovely shade of rose-madder. Where can I have seen something like it before?"	That's a lovely shade of rose madder. Where can I have seen something like it before?"	false	349.56	354.91	22.832205
2853_164187_000013_000000	This was clearly ironical, and had best be answered by irony.	This was clearly ironical, and had best be answered by irony.	true	355.64	359.8	26
2853_164187_000013_000001	Diva was no coward.	Diva was no coward.	true	360.05	361.72	25.893997
2853_164187_000014_000000	"Couldn't say, I'm sure," she said.	"Couldn't say, I'm sure," she said.	true	362	364.71	22.427982
2853_164187_000015_000000	Miss Mapp appeared to recollect, and smiled as far back as her wisdom-teeth. (Diva couldn't do that.)	Miss Mapp appeared to recollect, and smiled as far back as her wisdom teeth. (Diva couldn't do that.)	true	364.71	371.71	24.580343
2853_164187_000016_000000	"I have it," she said.	"I have it," she said.	true	372.32	374.055	16
2853_164187_000016_000001	"It was the wool I ordered at Heynes's, and then he sold it you, and I couldn't get any more."	"It was the wool I ordered at Heynes's, and then he sold it you, and I couldn't get any more."	true	374.055	379.27	20
2853_164187_000017_000000	"So it was," said Diva.	"So it was," said Diva.	false	379.85	382.02	25.434847
2853_164187_000017_000001	"Upset you a bit.	"Upset you a bit.	true	382.02	383.26	28.07044
2853_164187_000017_000002	There was the wool in the shop.	There was the wool in the shop.	true	383.33	385.005	22.152555
2853_164187_000017_000003	I bought it."	I bought it."	true	385.005	385.9	23.565397
2853_164187_000018_000000	"Yes, dear; I see you did.	"Yes, dear; I see you did.	true	386.39	388.725	22.822336
2853_164187_000018_000001	But that wasn't what I popped in about. This coal-strike, you know."	But that wasn't what I popped in about. This coal strike, you know."	true	388.725	392.5	26.52315
2853_164187_000019_000000	"Got a cellar-full," said Diva.	"Got a cellar full," said Diva.	true	392.81	395.08	20.724934
2853_164187_000020_000000	"Diva, you've not been hoarding, have you?" asked Miss Mapp with great anxiety.	"Diva, you've not been hoarding, have you?" asked Miss Mapp with great anxiety.	true	395.51	400.18	23.178354
2853_164187_000020_000001	"They can take away every atom of coal you've got, if so, and fine you I don't know what for every hundredweight of it."	"They can take away every atom of coal you've got, if so, and fine you I don't know what for every hundredweight of it."	true	400.49	407.04	22
2853_164187_000021_000000	"Pooh!" said Diva, rather forcing the indifference of this rude interjection.	"Pooh!" said Diva, rather forcing the indifference of this rude interjection.	false	407.04	412.03	20.422832
2853_164187_000022_000000	"Yes, love, pooh by all means, if you like poohing!" said Miss Mapp.	"Yes, love, pooh by all means, if you like poohing!" said Miss Mapp.	true	412.37	416.745	22.225952
2853_164187_000022_000001	"But I should have felt very unfriendly if one morning I found you were fined--found you were fined--quite a play upon words-- and I hadn't warned you."	"But I should have felt very unfriendly if one morning I found you were fined-found you were fined-quite a play upon words- and I hadn't warned you."	false	416.745	426.51	23.193928
2853_164187_000023_000000	Diva felt a little less poohish.	Diva felt a little less poohish.	false	426.51	428.86	23.094692
2853_164187_000024_000000	"But how much do they allow you to have?" she asked.	"But how much do they allow you to have?" she asked.	true	429.26	432.49	22.305605
2853_164187_000025_000000	"Oh, quite a little: enough to go on with.	"Oh, quite a little: enough to go on with.	true	432.65	435.99	24.578302
2853_164187_000025_000001	But I daresay they won't discover you.	But I daresay they won't discover you.	true	435.99	437.985	18
2853_164187_000025_000002	I just took the trouble to come and warn you."	I just took the trouble to come and warn you."	true	437.985	440.5	26.358932
2853_164187_000026_000000	Diva did remember something about hoarding; there had surely been dreadful exposures of prudent housekeepers in the papers which were very uncomfortable reading.	Diva did remember something about hoarding; there had surely been dreadful exposures of prudent housekeepers in the papers which were very uncomfortable reading.	true	441.23	449.65	22
2853_164187_000027_000000	"But all these orders were only for the period of the war," she said.	"But all these orders were only for the period of the war," she said.	true	449.78	453.76	26.885191
2853_164187_000028_000000	"No doubt you're right, dear," said Miss Mapp brightly.	"No doubt you're right, dear," said Miss Mapp brightly.	true	453.8	456.48	26.01597
2853_164187_000028_000001	"I'm sure I hope you are.	"I'm sure I hope you are.	true	456.48	458.11	18
2853_164187_000028_000002	Only if the coal strike comes on, I think you'll find that the regulations against hoarding are quite as severe as they ever were.	Only if the coal strike comes on, I think you'll find that the regulations against hoarding are quite as severe as they ever were.	false	458.36	464.47	20
2853_164187_000028_000003	Food hoarding, too.	Food hoarding, too.	true	464.48	465.82	20.319105
2853_164187_000028_000004	Twemlow--such a civil man-- tells me that he thinks we shall have plenty of food, or anyhow sufficient for everybody for quite a long time, provided that there's no hoarding.	Twemlow-such a civil man- tells me that he thinks we shall have plenty of food, or anyhow sufficient for everybody for quite a long time, provided that there's no hoarding.	true	465.83	476.53	23.513632
2853_164187_000028_000005	Not been hoarding food, too, dear Diva?	Not been hoarding food, too, dear Diva?	true	476.75	479.53	26.727276
2853_164187_000028_000006	You naughty thing: I believe that great cupboard is full of sardines and biscuits and Bovril."	You naughty thing: I believe that great cupboard is full of sardines and biscuits and Bovril."	true	479.54	486.1	24.321419
2853_164187_000029_000000	"Nothing of the kind," said Diva indignantly.	"Nothing of the kind," said Diva indignantly.	false	486.35	489.55	25.138227
2853_164187_000029_000001	"You shall see for yourself"--and then she suddenly remembered that the cupboard was full of chintz curtains and little bunches of pink roses, neatly cut out of them, and a pair of nail scissors.	"You shall see for yourself"--and then she suddenly remembered that the cupboard was full of chintz curtains and little bunches of pink roses, neatly cut out of them, and a pair of nail scissors.	true	489.86	500.41	24.462065
2853_164187_000030_000000	There was a perfectly perceptible pause, during which Miss Mapp noticed that there were no curtains over the window.	There was a perfectly perceptible pause, during which Miss Mapp noticed that there were no curtains over the window.	true	500.96	507.91	24.46098
2853_164187_000030_000001	There certainly used to be, and they matched with the chintz cover of the window-seat, which was decorated with little bunches of pink roses peeping through trellis.	There certainly used to be, and they matched with the chintz cover of the window seat, which was decorated with little bunches of pink roses peeping through trellis.	true	507.98	516.82	23.9769
2853_164187_000030_000002	This was in the nature of a bonus: she had not up till then connected the chintz curtains with the little things that had fluttered down upon her and were now safe in her glove; her only real object in this call had been to instill a general uneasiness into Diva's mind about the coal strike and the danger of being well provided with fuel.	This was in the nature of a bonus: she had not up till then connected the chintz curtains with the little things that had fluttered down upon her and were now safe in her glove; her only real object in this call had been to instill a general uneasiness into Diva's mind about the coal strike and the danger of being well provided with fuel.	false	517.31	535.69	24.37876
2853_164187_000030_000003	That she humbly hoped that she had accomplished.	That she humbly hoped that she had accomplished.	true	535.82	539.295	22.963903
2853_164187_000030_000004	She got up.	She got up.	true	539.295	540.37	28.470367
2853_164187_000031_000000	"Must be going," she said.	"Must be going," she said.	true	540.68	542.68	22.918732
2853_164187_000031_000001	"Such a lovely little chat!	"Such a lovely little chat!	true	542.75	544.6	24.280836
2853_164187_000031_000002	But what has happened to your pretty curtains?"	But what has happened to your pretty curtains?"	true	544.7	547.06	24.647274
2853_164187_000032_000000	"Gone to the wash,'" said Diva firmly.	"Gone to the wash,'" said Diva firmly.	false	547.43	550.18	23.548471
2853_164187_000033_000000	"Liar," thought Miss Mapp, as she tripped downstairs.	"Liar," thought Miss Mapp, as she tripped downstairs.	true	550.55	553.99	21.15822
2853_164187_000033_000001	"Diva would have sent the cover of the window-seat too, if that was the case. Liar," she thought again as she kissed her hand to Diva, who was looking gloomily out of the window.	"Diva would have sent the cover of the window seat too, if that was the case. Liar," she thought again as she kissed her hand to Diva, who was looking gloomily out of the window.	true	554.12	564.46	24.142494
2853_164187_000034_000000	As soon as Miss Mapp had gained her garden-room, she examined the mysterious treasures in her left-hand glove.	As soon as Miss Mapp had gained her garden room, she examined the mysterious treasures in her left hand glove.	true	566.3	572.23	20.000048
2853_164187_000034_000001	Without the smallest doubt Diva had taken down her curtains (and high time too, for they were sadly shabby), and was cutting the roses out of them.	Without the smallest doubt Diva had taken down her curtains (and high time too, for they were sadly shabby), and was cutting the roses out of them.	true	572.42	581.65	22.732866
2853_164187_000034_000002	But what on earth was she doing that for?	But what on earth was she doing that for?	true	582.29	585.19	23.668983
2853_164187_000034_000003	For what garish purpose could she want to use bunches of roses cut out of chintz curtains?	For what garish purpose could she want to use bunches of roses cut out of chintz curtains?	true	585.59	590.74	22
2853_164187_000035_000000	Miss Mapp had put the two specimens of which she had so providentially become possessed in her lap, and they looked very pretty against the navy-blue of her skirt.	Miss Mapp had put the two specimens of which she had so providentially become possessed in her lap, and they looked very pretty against the navy blue of her skirt.	true	591.47	600.37	21.191044
2853_164187_000035_000001	Diva was very ingenious: she used up all sorts of odds and ends in a way that did credit to her undoubtedly parsimonious qualities.	Diva was very ingenious: she used up all sorts of odds and ends in a way that did credit to her undoubtedly parsimonious qualities.	true	601.22	609.61	21.97895
2853_164187_000035_000002	She could trim a hat with a tooth-brush and a banana in such a way that it looked quite Parisian till you firmly analysed its component parts, and most of her ingenuity was devoted to dress: the more was the pity that she had such a round-about figure that her waistband always reminded you of the equator. . . .	She could trim a hat with a tooth brush and a banana in such a way that it looked quite Parisian till you firmly analysed its component parts, and most of her ingenuity was devoted to dress: the more was the pity that she had such a round about figure that her waistband always reminded you of the equator. . . .	false	609.86	628.21	23.428831
2853_164187_000036_000000	"Eureka!" said Miss Mapp aloud, and, though the telephone bell was ringing, and the postulant might be one of the servants' friends ringing them up at an hour when their mistress was usually in the High Street, she glided swiftly to the large cupboard underneath the stairs which was full of the things which no right-minded person could bear to throw away: broken basket-chairs, pieces of brown paper, cardboard boxes without lids, and cardboard lids without boxes, old bags with holes in them, keys without locks and locks without keys and worn chintz covers.	"Eureka!" said Miss Mapp aloud, and, though the telephone bell was ringing, and the postulant might be one of the servants' friends ringing them up at an hour when their mistress was usually in the High Street, she glided swiftly to the large cupboard underneath the stairs which was full of the things which no right minded person could bear to throw away: broken basket chairs, pieces of brown paper, cardboard boxes without lids, and cardboard lids without boxes, old bags with holes in them, keys without locks and locks without keys and worn chintz covers.	false	629.3	662.14	23.4258
2853_164187_000036_000001	There was one--it had once adorned the sofa in the garden-room--covered with red poppies (very easy to cut out), and Miss Mapp dragged it dustily from its corner, setting in motion a perfect cascade of cardboard lids and some door-handles.	There was one-it had once adorned the sofa in the garden room-covered with red poppies (very easy to cut out), and Miss Mapp dragged it dustily from its corner, setting in motion a perfect cascade of cardboard lids and some door handles.	true	662.66	678.19	22.158182
2853_164187_000037_000000	Withers had answered the telephone, and came to announce that Twemlow the grocer regretted he had only two large tins of corned beef, but--	Withers had answered the telephone, and came to announce that Twemlow the grocer regretted he had only two large tins of corned beef, but-	true	678.77	686.5	22
2853_164187_000038_000000	"Then say I will have the tongue as well, Withers," said Miss Mapp. "Just a tongue--and then I shall want you and Mary to do some cutting out for me."	"Then say I will have the tongue as well, Withers," said Miss Mapp. "Just a tongue-and then I shall want you and Mary to do some cutting out for me."	true	686.84	694.84	21.920643
2853_164187_000039_000000	The three went to work with feverish energy, for Diva had got a start, and by four o'clock that afternoon there were enough poppies cut out to furnish, when in seed, a whole street of opium dens. The dress selected for decoration was, apart from a few mildew- spots, the colour of ripe corn, which was superbly appropriate for September.	The three went to work with feverish energy, for Diva had got a start, and by four o'clock that afternoon there were enough poppies cut out to furnish, when in seed, a whole street of opium dens. The dress selected for decoration was, apart from a few mildew spots, the colour of ripe corn, which was superbly appropriate for September.	true	695.84	717.46	22.428774
2853_164187_000039_000001	"Poppies in the corn," said Miss Mapp over and over to herself, remembering some sweet verses she had once read by Bernard Shaw or Clement Shorter or somebody like that about a garden of sleep somewhere in Norfolk. . . .	"Poppies in the corn," said Miss Mapp over and over to herself, remembering some sweet verses she had once read by Bernard Shaw or Clement Shorter or somebody like that about a garden of sleep somewhere in Norfolk. . . .	true	718.04	730.78	21
2853_164187_000040_000000	"No one can work as neatly as you, Withers," she said gaily, "and I shall ask you to do the most difficult part.	"No one can work as neatly as you, Withers," she said gaily, "and I shall ask you to do the most difficult part.	true	731.84	738.225	23.77179
2853_164187_000040_000001	I want you to sew my lovely poppies over the collar and facings of the jacket, just spacing them a little and making a dainty irregularity.	I want you to sew my lovely poppies over the collar and facings of the jacket, just spacing them a little and making a dainty irregularity.	true	738.225	745.78	21.74303
2853_164187_000040_000002	And then Mary--won't you, Mary?--will do the same with the waistband while I put a border of them round the skirt, and my dear old dress will look quite new and lovely.	And then Mary-won't you, Mary?--will do the same with the waistband while I put a border of them round the skirt, and my dear old dress will look quite new and lovely.	false	746.15	755.865	23
2853_164187_000040_000003	I shall be at home to nobody, Withers, this afternoon, even if the Prince of Wales came and sat on my doorstep again.	I shall be at home to nobody, Withers, this afternoon, even if the Prince of Wales came and sat on my doorstep again.	true	755.865	761.92	21
2853_164187_000040_000004	We'll all work together in the garden, shall we, and you and Mary must scold me if you think I'm not working hard enough.	We'll all work together in the garden, shall we, and you and Mary must scold me if you think I'm not working hard enough.	true	762.2	768.285	22.366085
2853_164187_000040_000005	It will be delicious in the garden."	It will be delicious in the garden."	true	768.285	770.65	21.273119
2853_164187_000041_000000	Thanks to this pleasant plan, there was not much opportunity for Withers and Mary to be idle. . . .	Thanks to this pleasant plan, there was not much opportunity for Withers and Mary to be idle. . . .	true	771.56	777.43	24.125706
2853_164187_000042_000000	Just about the time that this harmonious party began their work, a far from harmonious couple were being just as industrious in the grand spacious bunker in front of the tee to the last hole on the golf-links.	Just about the time that this harmonious party began their work, a far from harmonious couple were being just as industrious in the grand spacious bunker in front of the tee to the last hole on the golf links.	true	778.13	789.94	22
2853_164187_000042_000001	It was a beautiful bunker, consisting of a great slope of loose, steep sand against the face of the hill, and solidly shored up with timber.	It was a beautiful bunker, consisting of a great slope of loose, steep sand against the face of the hill, and solidly shored up with timber.	false	790.64	799.3	22
2853_164187_000042_000002	The Navy had been in better form to-day, and after a decisive victory over the Army in the morning and an indemnity of half a crown, its match in the afternoon, with just the last hole to play, was all square.	The Navy had been in better form to day, and after a decisive victory over the Army in the morning and an indemnity of half a crown, its match in the afternoon, with just the last hole to play, was all square.	false	799.55	811.93	22.808802
2853_164187_000042_000003	So Captain Puffin, having the honour, hit a low, nervous drive that tapped loudly at the timbered wall of the bunker, and cuddled down below it, well protected from any future assault.	So Captain Puffin, having the honour, hit a low, nervous drive that tapped loudly at the timbered wall of the bunker, and cuddled down below it, well protected from any future assault.	false	812.33	822.81	22.812399
2853_164187_000043_000000	"Phew!	"Phew!	false	822.81	824.34	19.917055
2853_164187_000043_000001	That about settles it," said Major Flint boisterously. "Bad place to top a ball!	That about settles it," said Major Flint boisterously. "Bad place to top a ball!	true	824.34	829.29	26.180605
2853_164187_000043_000002	Give me the hole?"	Give me the hole?"	true	829.29	830.35	31.088491
2853_164187_000044_000000	This insolent question needed no answer, and Major Flint drove, skying the ball to a prodigious height.	This insolent question needed no answer, and Major Flint drove, skying the ball to a prodigious height.	true	830.6	836.89	23.224216
2853_164187_000044_000001	But it had to come to earth sometime, and it fell like Lucifer, son of the morning, in the middle of the same bunker. . . .	But it had to come to earth sometime, and it fell like Lucifer, son of the morning, in the middle of the same bunker. . . .	true	837.26	845.95	22.322762
2853_164187_000044_000002	So the Army played three more, and, sweating profusely, got out.	So the Army played three more, and, sweating profusely, got out.	true	846.38	851.05	26.98535
2853_164187_000044_000003	Then it was the Navy's turn, and the Navy had to lie on its keel above the boards of the bunker, in order to reach its ball at all, and missed it twice.	Then it was the Navy's turn, and the Navy had to lie on its keel above the boards of the bunker, in order to reach its ball at all, and missed it twice.	true	851.45	859.33	21
2853_164187_000045_000000	"Better give it up, old chap," said Major Flint.	"Better give it up, old chap," said Major Flint.	true	859.94	862.93	28.993551
2853_164187_000045_000001	"Unplayable."	"Unplayable."	true	862.94	864.18	28.55906
2853_164187_000046_000000	"Then see me play it," said Captain Puffin, with a chewing motion of his jaws.	"Then see me play it," said Captain Puffin, with a chewing motion of his jaws.	false	864.18	869.8	24.185911
2853_164187_000047_000000	"We shall miss the tram," said the Major, and, with the intention of giving annoyance, he sat down in the bunker with his back to Captain Puffin, and lit a cigarette.	"We shall miss the tram," said the Major, and, with the intention of giving annoyance, he sat down in the bunker with his back to Captain Puffin, and lit a cigarette.	true	870.44	878.41	24.4454
2853_164187_000047_000001	At his third attempt nothing happened; at the fourth the ball flew against the boards, rebounded briskly again into the bunker, trickled down the steep, sandy slope and hit the Major's boot.	At his third attempt nothing happened; at the fourth the ball flew against the boards, rebounded briskly again into the bunker, trickled down the steep, sandy slope and hit the Major's boot.	true	878.81	890.2	24.065779
2853_164187_000048_000000	"Hit you, I think," said Captain Puffin.	"Hit you, I think," said Captain Puffin.	true	890.66	892.74	26.836876
2853_164187_000048_000001	"Ha!	"Ha!	true	892.74	893.34	30.664486
2853_164187_000048_000002	So it's my hole, Major!"	So it's my hole, Major!"	true	893.34	895.12	25.15949
2853_164187_000049_000000	Major Flint had a short fit of aphasia.	Major Flint had a short fit of aphasia.	true	895.55	898.51	20.00254
2853_164187_000049_000001	He opened and shut his mouth and foamed.	He opened and shut his mouth and foamed.	true	898.64	901.05	21.956419
2853_164187_000049_000002	Then he took a half-crown from his pocket.	Then he took a half crown from his pocket.	true	901.05	903.22	22.597515
2853_164187_000050_000000	"Give that to the Captain," he said to his caddie, and without looking round, walked away in the direction of the tram.	"Give that to the Captain," he said to his caddie, and without looking round, walked away in the direction of the tram.	true	904.04	910.63	22.33472
2853_164187_000050_000001	He had not gone a hundred yards when the whistle sounded, and it puffed away homewards with ever-increasing velocity.	He had not gone a hundred yards when the whistle sounded, and it puffed away homewards with ever increasing velocity.	false	910.91	917.17	23.506037
2853_164187_000051_000000	Weak and trembling from passion, Major Flint found that after a few tottering steps in the direction of Tilling he would be totally unable to get there unless fortified by some strong stimulant, and turned back to the club-house to obtain it.	Weak and trembling from passion, Major Flint found that after a few tottering steps in the direction of Tilling he would be totally unable to get there unless fortified by some strong stimulant, and turned back to the club house to obtain it.	true	917.78	931	21
2853_164187_000051_000001	He always went dead- lame when beaten at golf, while Captain Puffin was lame in any circumstances, and the two, no longer on speaking terms, hobbled into the club-house, one after the other, each unconscious of the other's presence.	He always went dead lame when beaten at golf, while Captain Puffin was lame in any circumstances, and the two, no longer on speaking terms, hobbled into the club house, one after the other, each unconscious of the other's presence.	false	931.76	944.83	23.191
2853_164187_000051_000002	Summoning his last remaining strength Major Flint roared for whisky, and was told that, according to regulation, he could not be served until six.	Summoning his last remaining strength Major Flint roared for whisky, and was told that, according to regulation, he could not be served until six.	true	945.29	954.67	21.226954
2853_164187_000051_000003	There was lemonade and stone ginger-beer. . . .	There was lemonade and stone ginger beer. . . .	true	954.77	957.19	22.763771
