3157_168062_000012_000000	CHAPTER I.	CHAPTER one
3157_168062_000043_000000	"Which is a difficult thing to do, however," Dr. Van Anden said, speaking soberly too.	"Which is a difficult thing to do, however," dr Van Anden said, speaking soberly too.
3157_168062_000044_000000	"I don't know, sir; if I had nothing to do but that, I think I could manage it."	"I don't know, sir; if I had nothing to do but that, I think I could manage it."
3157_168062_000045_000000	"I have found trouble sometimes in keeping myself at the right temperature even in January."	"I have found trouble sometimes in keeping myself at the right temperature even in January."
3157_168062_000046_000000	Ester's cheeks glowed yet more.	Ester's cheeks glowed yet more.
3157_168062_000046_000001	She understood Dr. Van Anden, and she knew her face did not look very self-controlled.	She understood dr Van Anden, and she knew her face did not look very self controlled.
3157_168062_000046_000002	No one knows what prompted Minnie to speak just then.	No one knows what prompted Minnie to speak just then.
3157_168062_000047_000001	Were you, Auntie Essie?"	Were you, Auntie Essie?"
3157_168062_000048_000000	The household laughed, and Sadie came to the rescue.	The household laughed, and Sadie came to the rescue.
3157_168062_000049_000000	"Why, Minnie! you must not tell what Aunt Sadie says.	"Why, Minnie! you must not tell what Aunt Sadie says.
3157_168062_000051_000000	Sadie hovered around the pale, sad-faced woman while she ate.	Sadie hovered around the pale, sad faced woman while she ate.
3157_168062_000052_000001	I've been worried half to pieces about you all day."	I've been worried half to pieces about you all day."
3157_168062_000053_000000	"O, yes; I'm better.	"O, yes; I'm better.
3157_168062_000053_000001	Ester, you look dreadfully tired.	Ester, you look dreadfully tired.
3157_168062_000053_000002	Have you much more to do?"	Have you much more to do?"
3157_168062_000054_000000	"Only to trim the lamps, and make three beds that I had not time for this morning, and get things ready for breakfast, and finish Sadie's dress."	"Only to trim the lamps, and make three beds that I had not time for this morning, and get things ready for breakfast, and finish Sadie's dress."
3157_168062_000055_000000	"Can't Maggie do any of these things?"	"Can't Maggie do any of these things?"
3157_168062_000056_000000	"Maggie is ironing."	"Maggie is ironing."
3157_168062_000057_000000	Mrs. Ried sighed.	mrs Ried sighed.
3157_168062_000057_000002	Sadie, are you going to the lyceum tonight?"	Sadie, are you going to the lyceum tonight?"
3157_168062_000058_000000	"Yes, ma'am.	"Yes, ma'am.
3157_168062_000058_000002	Ester, can't you go down?	Ester, can't you go down?
3157_168062_000058_000003	Never mind that dress; let it go to Guinea."	Never mind that dress; let it go to Guinea."
3157_168062_000059_000000	"You wouldn't think so by to-morrow evening," Ester said, shortly. "No, I can't go."	"You wouldn't think so by to morrow evening," Ester said, shortly. "No, I can't go."
3157_168062_000060_000000	The work was all done at last, and Ester betook herself to her room. How tired she was!	The work was all done at last, and Ester betook herself to her room. How tired she was!
3157_168062_000060_000001	Every nerve seemed to quiver with weariness.	Every nerve seemed to quiver with weariness.
3157_168062_000061_000000	It was a pleasant little room, this one which she entered, with its low windows looking out toward the river, and its cosy furniture all neatly arranged by Sadie's tasteful fingers.	It was a pleasant little room, this one which she entered, with its low windows looking out toward the river, and its cosy furniture all neatly arranged by Sadie's tasteful fingers.
