764_132280_000000_000000	Of Masques And Triumphs	Of Masques And Triumphs	false	18.48	24.58	20.401802
764_132280_000004_000005	Where nature is mighty, and therefore the victory hard, the degrees had need be, first to stay and arrest nature in time; like to him that would say over the four and twenty letters when he was angry; then to go less in quantity; as if one should, in forbearing wine, come from drinking healths, to a draught at a meal; and lastly, to discontinue altogether.	Where nature is mighty, and therefore the victory hard, the degrees had need be, first to stay and arrest nature in time; like to him that would say over the four and twenty letters when he was angry; then to go less in quantity; as if one should, in forbearing wine, come from drinking healths, to a draught at a meal; and lastly, to discontinue altogether.	false	332.45	356.92	20.337305
764_132280_000004_000006	But if a man have the fortitude, and resolution, to enfranchise himself at once, that is the best:	But if a man have the fortitude, and resolution, to enfranchise himself at once, that is the best:	true	357.08	363.43	19.961468
764_132280_000005_000000	Optimus ille animi vindex laedentia pectus Vincula qui rupit, dedoluitque semel.	Optimus ille animi vindex laedentia pectus Vincula qui rupit, dedoluitque semel.	false	364.01	374.14	21.696953
764_132280_000006_000000	Neither is the ancient rule amiss, to bend nature, as a wand, to a contrary extreme, whereby to set it right, understanding it, where the contrary extreme is no vice.	Neither is the ancient rule amiss, to bend nature, as a wand, to a contrary extreme, whereby to set it right, understanding it, where the contrary extreme is no vice.	true	374.78	386.23	17
764_132280_000006_000001	Let not a man force a habit upon himself, with a perpetual continuance, but with some intermission.	Let not a man force a habit upon himself, with a perpetual continuance, but with some intermission.	true	386.81	393.1	20.59467
764_132280_000006_000002	For both the pause reinforceth the new onset; and if a man that is not perfect, be ever in practice, he shall as well practise his errors, as his abilities, and induce one habit of both; and there is no means to help this, but by seasonable intermissions.	For both the pause reinforceth the new onset; and if a man that is not perfect, be ever in practice, he shall as well practise his errors, as his abilities, and induce one habit of both; and there is no means to help this, but by seasonable intermissions.	true	393.32	410.71	20.756826
764_132280_000006_000003	But let not a man trust his victory over his nature, too far; for nature will lay buried a great time, and yet revive, upon the occasion or temptation.	But let not a man trust his victory over his nature, too far; for nature will lay buried a great time, and yet revive, upon the occasion or temptation.	true	411.11	421.45	21.076895
764_132280_000006_000004	Like as it was with AEsop's damsel, turned from a cat to a woman, who sat very demurely at the board's end, till a mouse ran before her.	Like as it was with AEsop's damsel, turned from a cat to a woman, who sat very demurely at the board's end, till a mouse ran before her.	true	422.06	431.08	19
764_132280_000006_000005	Therefore, let a man either avoid the occasion altogether; or put himself often to it, that he may be little moved with it.	Therefore, let a man either avoid the occasion altogether; or put himself often to it, that he may be little moved with it.	true	431.63	440.29	20.73216
764_132280_000006_000006	A man's nature is best perceived in privateness, for there is no affectation; in passion, for that putteth a man out of his precepts; and in a new case or experiment, for there custom leaveth him.	A man's nature is best perceived in privateness, for there is no affectation; in passion, for that putteth a man out of his precepts; and in a new case or experiment, for there custom leaveth him.	true	440.87	454.87	21.63123
764_132280_000006_000007	They are happy men, whose natures sort with their vocations; otherwise they may say, multum incola fuit anima mea; when they converse in those things, they do not affect.	They are happy men, whose natures sort with their vocations; otherwise they may say, multum incola fuit anima mea; when they converse in those things, they do not affect.	false	455.36	469.21	21.138573
764_132280_000006_000008	In studies, whatsoever a man commandeth upon himself, let him set hours for it; but whatsoever is agreeable to his nature, let him take no care for any set times; for his thoughts will fly to it, of themselves; so as the spaces of other business, or studies, will suffice.	In studies, whatsoever a man commandeth upon himself, let him set hours for it; but whatsoever is agreeable to his nature, let him take no care for any set times; for his thoughts will fly to it, of themselves; so as the spaces of other business, or studies, will suffice.	true	469.64	488.35	20.904432
764_132280_000006_000009	A man's nature, runs either to herbs or weeds; therefore let him seasonably water the one, and destroy the other.	A man's nature, runs either to herbs or weeds; therefore let him seasonably water the one, and destroy the other.	false	489.02	501.81	19.53904
764_132280_000007_000000	Of Custom And Education	Of Custom And Education	true	501.81	504.01	22
764_132280_000008_000000	MEN'S thoughts, are much according to their inclination; their discourse and speeches, according to their learning and infused opinions; but their deeds, are after as they have been accustomed.	MEN'S thoughts, are much according to their inclination; their discourse and speeches, according to their learning and infused opinions; but their deeds, are after as they have been accustomed.	true	505.16	517.9	21
764_132280_000008_000001	And therefore, as Machiavel well noteth (though in an evil-favored instance), there is no trusting to the force of nature, nor to the bravery of words, except it be corroborate by custom.	And therefore, as Machiavel well noteth (though in an evil favored instance), there is no trusting to the force of nature, nor to the bravery of words, except it be corroborate by custom.	true	518.03	530.74	21.343386
764_132280_000008_000002	His instance is, that for the achieving of a desperate conspiracy, a man should not rest upon the fierceness of any man's nature, or his resolute undertakings; but take such an one, as hath had his hands formerly in blood.	His instance is, that for the achieving of a desperate conspiracy, a man should not rest upon the fierceness of any man's nature, or his resolute undertakings; but take such an one, as hath had his hands formerly in blood.	true	531.14	546.04	21
764_132280_000008_000003	But Machiavel knew not of a Friar Clement, nor a Ravillac, nor a Jaureguy, nor a Baltazar Gerard; yet his rule holdeth still, that nature, nor the engagement of words, are not so forcible, as custom.	But Machiavel knew not of a Friar Clement, nor a Ravillac, nor a Jaureguy, nor a Baltazar Gerard; yet his rule holdeth still, that nature, nor the engagement of words, are not so forcible, as custom.	false	546.26	563.47	21.055492
764_132280_000008_000004	Only superstition is now so well advanced, that men of the first blood, are as firm as butchers by occupation; and votary resolution, is made equipollent to custom, even in matter of blood.	Only superstition is now so well advanced, that men of the first blood, are as firm as butchers by occupation; and votary resolution, is made equipollent to custom, even in matter of blood.	true	563.99	576.7	20.763998
764_132280_000008_000005	In other things, the predominancy of custom is everywhere visible; insomuch as a man would wonder, to hear men profess, protest, engage, give great words, and then do, just as they have done before; as if they were dead images, and engines moved only by the wheels of custom.	In other things, the predominancy of custom is everywhere visible; insomuch as a man would wonder, to hear men profess, protest, engage, give great words, and then do, just as they have done before; as if they were dead images, and engines moved only by the wheels of custom.	false	577.25	596.2	20
764_132280_000008_000006	We see also the reign or tyranny of custom, what it is.	We see also the reign or tyranny of custom, what it is.	true	596.66	600.76	19.64209
764_132280_000008_000007	The Indians (I mean the sect of their wise men) lay themselves quietly upon a stock of wood, and so sacrifice themselves by fire.	The Indians (I mean the sect of their wise men) lay themselves quietly upon a stock of wood, and so sacrifice themselves by fire.	true	600.95	610.11	20
764_132280_000008_000008	Nay, the wives strive to be burned, with the corpses of their husbands.	Nay, the wives strive to be burned, with the corpses of their husbands.	false	610.11	615.04	19.502886
764_132280_000008_000009	The lads of Sparta, of ancient time, were wont to be scourged upon the altar of Diana, without so much as queching.	The lads of Sparta, of ancient time, were wont to be scourged upon the altar of Diana, without so much as queching.	true	615.38	623.53	20.743725
764_132280_000008_000010	I remember, in the beginning of Queen Elizabeth's time of England, an Irish rebel condemned, put up a petition to the deputy, that he might be hanged in a withe, and not in an halter; because it had been so used, with former rebels.	I remember, in the beginning of Queen Elizabeth's time of England, an Irish rebel condemned, put up a petition to the deputy, that he might be hanged in a withe, and not in an halter; because it had been so used, with former rebels.	false	624.17	640.45	19.1064
764_132280_000008_000011	There be monks in Russia, for penance, that will sit a whole night in a vessel of water, till they be engaged with hard ice.	There be monks in Russia, for penance, that will sit a whole night in a vessel of water, till they be engaged with hard ice.	true	640.97	649	21
764_132280_000008_000012	Many examples may be put of the force of custom, both upon mind and body.	Many examples may be put of the force of custom, both upon mind and body.	true	649.46	654.34	19
764_132280_000008_000013	Therefore, since custom is the principal magistrate of man's life, let men by all means endeavor, to obtain good customs. Certainly custom is most perfect, when it beginneth in young years: this we call education; which is, in effect, but an early custom.	Therefore, since custom is the principal magistrate of man's life, let men by all means endeavor, to obtain good customs. Certainly custom is most perfect, when it beginneth in young years: this we call education; which is, in effect, but an early custom.	true	654.86	673.42	21.732992
764_132280_000008_000014	So we see, in languages, the tongue is more pliant to all expressions and sounds, the joints are more supple, to all feats of activity and motions, in youth than afterwards.	So we see, in languages, the tongue is more pliant to all expressions and sounds, the joints are more supple, to all feats of activity and motions, in youth than afterwards.	true	673.79	686.53	21.667683
764_132280_000008_000015	For it is true, that late learners cannot so well take the ply; except it be in some minds, that have not suffered themselves to fix, but have kept themselves open, and prepared to receive continual amendment, which is exceeding rare.	For it is true, that late learners cannot so well take the ply; except it be in some minds, that have not suffered themselves to fix, but have kept themselves open, and prepared to receive continual amendment, which is exceeding rare.	true	686.99	702.94	21.515425
764_132280_000008_000016	But if the force of custom simple and separate, be great, the force of custom copulate and conjoined and collegiate, is far greater.	But if the force of custom simple and separate, be great, the force of custom copulate and conjoined and collegiate, is far greater.	true	703.52	712.81	21.919231
764_132280_000008_000017	For there example teacheth, company comforteth, emulation quickeneth, glory raiseth: so as in such places the force of custom is in his exaltation.	For there example teacheth, company comforteth, emulation quickeneth, glory raiseth: so as in such places the force of custom is in his exaltation.	true	713.3	725.92	20.585604
764_132280_000008_000018	Certainly the great multiplication of virtues upon human nature, resteth upon societies well ordained and disciplined.	Certainly the great multiplication of virtues upon human nature, resteth upon societies well ordained and disciplined.	true	726.65	734.38	20
764_132280_000008_000019	For commonwealths, and good governments, do nourish virtue grown but do not much mend the deeds. But the misery is, that the most effectual means, are now applied to the ends, least to be desired.	For commonwealths, and good governments, do nourish virtue grown but do not much mend the deeds. But the misery is, that the most effectual means, are now applied to the ends, least to be desired.	false	734.84	752.16	20.330734
764_132280_000009_000000	Of Fortune	Of Fortune	false	752.16	753.76	18.949867
764_132280_000010_000000	IT CANNOT be denied, but outward accidents conduce much to fortune; favor, opportunity, death of others, occasion fitting virtue.	IT CANNOT be denied, but outward accidents conduce much to fortune; favor, opportunity, death of others, occasion fitting virtue.	true	754.67	764.29	20.854616
764_132280_000010_000001	But chiefly, the mould of a man's fortune is in his own hands.	But chiefly, the mould of a man's fortune is in his own hands.	true	764.69	768.45	17
764_132280_000010_000002	Faber quisque fortunae suae, saith the poet.	Faber quisque fortunae s u a e, saith the poet.	false	768.45	773.5	20.565405
764_132280_000010_000003	And the most frequent of external causes is, that the folly of one man, is the fortune of another.	And the most frequent of external causes is, that the folly of one man, is the fortune of another.	true	774.23	780.31	20.950342
764_132280_000010_000004	For no man prospers so suddenly, as by others' errors.	For no man prospers so suddenly, as by others' errors.	true	780.59	784.69	20.649797
764_132280_000010_000005	Serpens nisi serpentem comederit non fit draco.	Serpens nisi serpentem comederit non fit draco.	true	785.3	791.2	24.113365
764_132280_000010_000006	Overt and apparent virtues, bring forth praise; but there be secret and hidden virtues, that bring forth fortune; certain deliveries of a man's self, which have no name.	Overt and apparent virtues, bring forth praise; but there be secret and hidden virtues, that bring forth fortune; certain deliveries of a man's self, which have no name.	true	791.93	803.14	20.85895
764_132280_000010_000007	The Spanish name, desemboltura, partly expresseth them; when there be not stonds nor restiveness in a man's nature; but that the wheels of his mind, keep way with the wheels of his fortune.	The Spanish name, desemboltura, partly expresseth them; when there be not stonds nor restiveness in a man's nature; but that the wheels of his mind, keep way with the wheels of his fortune.	true	803.69	817.84	20.810343
764_132280_000010_000008	For so Livy (after he had described Cato Major in these words, In illo viro tantum robur corporis et animi fuit, ut quocunque loco natus esset, fortunam sibi facturus videretur) falleth upon that, that he had versatile ingenium.	For so Livy (after he had described Cato Major in these words, In illo viro tantum robur corporis et animi fuit, ut quocunque loco natus esset, fortunam sibi facturus videretur) falleth upon that, that he had versatile ingenium.	false	818.24	841.99	21.092276
764_132280_000010_000009	Therefore if a man look sharply and attentively, he shall see Fortune: for though she be blind, yet she is not invisible.	Therefore if a man look sharply and attentively, he shall see Fortune: for though she be blind, yet she is not invisible.	false	842.18	850.3	22.047014
764_132280_000010_000010	The way of fortune, is like the Milken Way in the sky; which is a meeting or knot of a number of small stars; not seen asunder, but giving light together.	The way of fortune, is like the Milken Way in the sky; which is a meeting or knot of a number of small stars; not seen asunder, but giving light together.	true	851.12	861.55	20.937853
764_132280_000010_000011	So are there a number of little, and scarce discerned virtues, or rather faculties and customs, that make men fortunate.	So are there a number of little, and scarce discerned virtues, or rather faculties and customs, that make men fortunate.	true	861.98	870.25	20.985859
764_132280_000010_000012	The Italians note some of them, such as a man would little think.	The Italians note some of them, such as a man would little think.	true	870.68	874.84	19.908386
764_132280_000010_000013	When they speak of one that cannot do amiss, they will throw in, into his other conditions, that he hath Poco di matto.	When they speak of one that cannot do amiss, they will throw in, into his other conditions, that he hath Poco di matto.	false	875.03	883.21	22.959248
764_132280_000010_000014	And certainly there be not two more fortunate properties, than to have a little of the fool, and not too much of the honest.	And certainly there be not two more fortunate properties, than to have a little of the fool, and not too much of the honest.	true	883.67	891.85	21.159266
764_132280_000010_000015	Therefore extreme lovers of their country or masters, were never fortunate, neither can they be.	Therefore extreme lovers of their country or masters, were never fortunate, neither can they be.	true	892.22	898.45	20.246248
764_132280_000010_000016	For when a man placeth his thoughts without himself, he goeth not his own way. An hasty fortune maketh an enterpriser and remover (the French hath it better, entreprenant, or remuant); but the exercised fortune maketh the able man.	For when a man placeth his thoughts without himself, he goeth not his own way. An hasty fortune maketh an enterpriser and remover (the French hath it better, entreprenant, or remuant); but the exercised fortune maketh the able man.	false	898.64	917.47	21.69983
764_132280_000010_000017	Fortune is to be honored and respected, and it be but for her daughters, Confidence and Reputation.	Fortune is to be honored and respected, and it be but for her daughters, Confidence and Reputation.	true	917.96	924.88	20.654673
764_132280_000010_000018	For those two, Felicity breedeth; the first within a man's self, the latter in others towards him.	For those two, Felicity breedeth; the first within a man's self, the latter in others towards him.	true	925.07	932.32	20.594675
764_132280_000010_000019	All wise men, to decline the envy of their own virtues, use to ascribe them to Providence and Fortune; for so they may the better assume them: and, besides, it is greatness in a man, to be the care of the higher powers. So Caesar said to the pilot in the tempest, Caesarem portas, et fortunam ejus.	All wise men, to decline the envy of their own virtues, use to ascribe them to Providence and Fortune; for so they may the better assume them: and, besides, it is greatness in a man, to be the care of the higher powers. So Caesar said to the pilot in the tempest, Caesarem portas, et fortunam ejus.	false	932.9	956.8	18.916836
764_132280_000010_000020	So Sylla chose the name of Felix, and not of Magnus.	So Sylla chose the name of Felix, and not of Magnus.	true	957.35	961.965	20.987963
764_132280_000010_000021	And it hath been noted, that those who ascribe openly too much to their own wisdom and policy, end infortunate.	And it hath been noted, that those who ascribe openly too much to their own wisdom and policy, end infortunate.	false	961.965	969.88	21.541702
764_132280_000010_000022	It is written that Timotheus the Athenian, after he had, in the account he gave to the state of his government, often interlaced this speech, and in this, Fortune had no part, never prospered in anything, he undertook afterwards.	It is written that Timotheus the Athenian, after he had, in the account he gave to the state of his government, often interlaced this speech, and in this, Fortune had no part, never prospered in anything, he undertook afterwards.	true	970.55	986.5	22.155176
764_132280_000010_000023	Certainly there be, whose fortunes are like Homer's verses, that have a slide and easiness more than the verses of other poets; as Plutarch saith of Timoleon's fortune, in respect of that of Agesilaus or Epaminondas.	Certainly there be, whose fortunes are like Homer's verses, that have a slide and easiness more than the verses of other poets; as Plutarch saith of Timoleon's fortune, in respect of that of Agesilaus or Epaminondas.	false	986.99	1004.74	21.049988
764_132280_000010_000024	And that this should be, no doubt it is much, in a man's self.	And that this should be, no doubt it is much, in a man's self.	false	1005.56	1013.07	21.036766
764_132280_000011_000000	Of Usury	Of Usury	false	1013.07	1013.61	23.021105
764_132280_000012_000000	MANY have made witty invectives against usury.	MANY have made witty invectives against usury.	false	1013.61	1013.76	-12
764_132280_000012_000001	They say that it is a pity, the devil should have God's part, which is the tithe.	They say that it is a pity, the devil should have God's part, which is the tithe.	false	1013.76	1014.15	25
764_132280_000012_000002	That the usurer is the greatest Sabbath-breaker, because his plough goeth every Sunday.	That the usurer is the greatest Sabbath breaker, because his plough goeth every Sunday.	false	1014.15	1014.27	8
764_132280_000012_000003	That the usurer is the drone, that Virgil speaketh of;	That the usurer is the drone, that Virgil speaketh of;	false	1014.27	1014.36	9
764_132280_000013_000000	Ignavum fucos pecus a praesepibus arcent.	Ignavum fucos pecus a praesepibus arcent.	false	1014.36	1014.54	-2
764_132280_000014_000000	That the usurer breaketh the first law, that was made for mankind after the fall, which was, in sudore vultus tui comedes panem tuum; not, in sudore vultus alieni.	That the usurer breaketh the first law, that was made for mankind after the fall, which was, in sudore vultus tui comedes panem tuum; not, in sudore vultus alieni.	false	1014.54	1014.54	
764_132280_000014_000001	That usurers should have orange-tawny bonnets, because they do judaize.	That usurers should have orange tawny bonnets, because they do judaize.	false	1014.54	1014.54	
764_132280_000014_000002	That it is against nature for money to beget money; and the like.	That it is against nature for money to beget money; and the like.	false	1014.54	1014.54	
764_132280_000014_000003	I say this only, that usury is a concessum propter duritiem cordis; for since there must be borrowing and lending, and men are so hard of heart, as they will not lend freely, usury must be permitted.	I say this only, that usury is a concessum propter duritiem cordis; for since there must be borrowing and lending, and men are so hard of heart, as they will not lend freely, usury must be permitted.	false	1014.54	1014.78	12
764_132280_000014_000004	Some others, have made suspicious and cunning propositions of banks, discovery of men's estates, and other inventions.	Some others, have made suspicious and cunning propositions of banks, discovery of men's estates, and other inventions.	false	1014.78	1017.6	20.7933
764_132280_000014_000005	But few have spoken of usury usefully.	But few have spoken of usury usefully.	false	1017.6	1019.64	20.19155
764_132280_000014_000006	It is good to set before us, the incommodities and commodities of usury, that the good, may be either weighed out or culled out; and warily to provide, that while we make forth to that which is better, we meet not with that which is worse.	It is good to set before us, the incommodities and commodities of usury, that the good, may be either weighed out or culled out; and warily to provide, that while we make forth to that which is better, we meet not with that which is worse.	false	1019.64	1025.49	19.583391
