1025_92814_000000_000000	There was no string, but I frolicked along with my master to the Twenty-third street ferry.	There was no string, but I frolicked along with my master to the Twenty third street ferry.	false	0	2.97	16.521498
1025_92814_000018_000005	Ikey--Rosy and me are goin' to run away and get married to-night."	Ikey-Rosy and me are goin' to run away and get married to night."	false	228.15	231.91	19.201187
1025_92814_000019_000000	Ikey's left forefinger was doubled over the edge of the mortar, holding it steady.	Ikey's left forefinger was doubled over the edge of the mortar, holding it steady.	true	232.04	236.38	21.892258
1025_92814_000019_000001	He gave it a wild rap with the pestle, but felt it not. Meanwhile Mr. McGowan's smile faded to a look of perplexed gloom.	He gave it a wild rap with the pestle, but felt it not. Meanwhile mr McGowan's smile faded to a look of perplexed gloom.	false	236.78	244.93	21.469475
1025_92814_000020_000000	"That is," he continued, "if she keeps in the notion until the time comes.	"That is," he continued, "if she keeps in the notion until the time comes.	false	245.27	249.285	21
1025_92814_000020_000001	We've been layin' pipes for the getaway for two weeks.	We've been layin' pipes for the getaway for two weeks.	false	249.285	252.28	22
1025_92814_000020_000002	One day she says she will; the same evenin' she says nixy.	One day she says she will; the same evenin' she says nixy.	true	252.44	256.42	20.497156
1025_92814_000020_000003	We've agreed on to-night, and Rosy's stuck to the affirmative this time for two whole days.	We've agreed on to night, and Rosy's stuck to the affirmative this time for two whole days.	true	256.43	261.585	20
1025_92814_000020_000004	But it's five hours yet till the time, and I'm afraid she'll stand me up when it comes to the scratch."	But it's five hours yet till the time, and I'm afraid she'll stand me up when it comes to the scratch."	true	261.585	267.07	24.271055
1025_92814_000021_000000	"You said you wanted drugs," remarked Ikey.	"You said you wanted drugs," remarked Ikey.	false	267.17	269.53	20.767601
1025_92814_000022_000000	Mr. McGowan looked ill at ease and harassed--a condition opposed to his usual line of demeanour.	mr McGowan looked ill at ease and harassed-a condition opposed to his usual line of demeanour.	true	269.54	275.47	20.942842
1025_92814_000022_000001	He made a patent-medicine almanac into a roll and fitted it with unprofitable carefulness about his finger.	He made a patent medicine almanac into a roll and fitted it with unprofitable carefulness about his finger.	true	275.48	282.42	23
1025_92814_000023_000000	"I wouldn't have this double handicap make a false start to-night for a million," he said.	"I wouldn't have this double handicap make a false start to night for a million," he said.	false	282.42	287.25	19
1025_92814_000023_000001	"I've got a little flat up in Harlem all ready, with chrysanthemums on the table and a kettle ready to boil.	"I've got a little flat up in Harlem all ready, with chrysanthemums on the table and a kettle ready to boil.	true	287.25	292.68	17
1025_92814_000023_000002	And I've engaged a pulpit pounder to be ready at his house for us at 9.30.	And I've engaged a pulpit pounder to be ready at his house for us at nine point three zero.	false	292.68	297.12	21
1025_92814_000023_000003	It's got to come off.	It's got to come off.	true	297.12	298.305	15
1025_92814_000023_000004	And if Rosy don't change her mind again!"--Mr.	And if Rosy don't change her mind again!"--mr	true	298.305	300.81	16.314207
1025_92814_000023_000005	McGowan ceased, a prey to his doubts.	McGowan ceased, a prey to his doubts.	true	300.81	303.28	24.073599
1025_92814_000024_000000	"I don't see then yet," said Ikey, shortly, "what makes it that you talk of drugs, or what I can be doing about it."	"I don't see then yet," said Ikey, shortly, "what makes it that you talk of drugs, or what I can be doing about it."	true	303.35	310.005	21.628683
1025_92814_000025_000000	"Old man Riddle don't like me a little bit," went on the uneasy suitor, bent upon marshalling his arguments.	"Old man Riddle don't like me a little bit," went on the uneasy suitor, bent upon marshalling his arguments.	true	310.005	316.06	17
1025_92814_000025_000001	"For a week he hasn't let Rosy step outside the door with me.	"For a week he hasn't let Rosy step outside the door with me.	true	316.25	319.72	21.918903
1025_92814_000025_000002	If it wasn't for losin' a boarder they'd have bounced me long ago.	If it wasn't for losin' a boarder they'd have bounced me long ago.	true	319.82	323.46	17
1025_92814_000025_000003	I'm makin' $20 a week and she'll never regret flyin' the coop with Chunk McGowan."	I'm makin' twenty dollars a week and she'll never regret flyin' the coop with Chunk McGowan."	false	323.46	328.24	21
1025_92814_000026_000000	"You will excuse me, Chunk," said Ikey.	"You will excuse me, Chunk," said Ikey.	true	328.61	330.75	24
1025_92814_000026_000001	"I must make a prescription that is to be called for soon."	"I must make a prescription that is to be called for soon."	true	330.75	334	22.324411
1025_92814_000027_000000	"Say," said McGowan, looking up suddenly, "say, Ikey, ain't there a drug of some kind--some kind of powders that'll make a girl like you better if you give 'em to her?"	"Say," said McGowan, looking up suddenly, "say, Ikey, ain't there a drug of some kind-some kind of powders that'll make a girl like you better if you give 'em to her?"	false	334.07	343.54	21.339712
1025_92814_000028_000000	Ikey's lip beneath his nose curled with the scorn of superior enlightenment; but before he could answer, McGowan continued:	Ikey's lip beneath his nose curled with the scorn of superior enlightenment; but before he could answer, McGowan continued:	true	343.64	350.32	23
1025_92814_000029_000000	"Tim Lacy told me he got some once from a croaker uptown and fed 'em to his girl in soda water.	"Tim Lacy told me he got some once from a croaker uptown and fed 'em to his girl in soda water.	true	350.45	355.75	21
1025_92814_000029_000001	From the very first dose he was ace-high and everybody else looked like thirty cents to her.	From the very first dose he was ace high and everybody else looked like thirty cents to her.	false	355.79	361.17	20.277925
1025_92814_000029_000002	They was married in less than two weeks."	They was married in less than two weeks."	true	361.17	363.34	21
1025_92814_000030_000000	Strong and simple was Chunk McGowan.	Strong and simple was Chunk McGowan.	true	363.53	365.76	21
1025_92814_000030_000001	A better reader of men than Ikey was could have seen that his tough frame was strung upon fine wires. Like a good general who was about to invade the enemy's territory he was seeking to guard every point against possible failure.	A better reader of men than Ikey was could have seen that his tough frame was strung upon fine wires. Like a good general who was about to invade the enemy's territory he was seeking to guard every point against possible failure.	false	365.76	379.695	17
1025_92814_000031_000000	"I thought," went on Chunk hopefully, "that if I had one of them powders to give Rosy when I see her at supper to-night it might brace her up and keep her from reneging on the proposition to skip.	"I thought," went on Chunk hopefully, "that if I had one of them powders to give Rosy when I see her at supper to night it might brace her up and keep her from reneging on the proposition to skip.	true	379.695	389.7	18
1025_92814_000031_000001	I guess she don't need a mule team to drag her away, but women are better at coaching than they are at running bases.	I guess she don't need a mule team to drag her away, but women are better at coaching than they are at running bases.	true	389.7	395.91	18
1025_92814_000031_000002	If the stuff'll work just for a couple of hours it'll do the trick."	If the stuff'll work just for a couple of hours it'll do the trick."	false	395.91	399.49	21.96897
1025_92814_000032_000000	"When is this foolishness of running away to be happening?" asked Ikey.	"When is this foolishness of running away to be happening?" asked Ikey.	false	399.5	402.91	19
1025_92814_000033_000000	"Nine o'clock," said Mr. McGowan.	"Nine o'clock," said mr McGowan.	true	403.01	404.79	16
1025_92814_000033_000001	"Supper's at seven.	"Supper's at seven.	false	404.79	405.945	23
1025_92814_000033_000002	At eight Rosy goes to bed with a headache.	At eight Rosy goes to bed with a headache.	true	405.945	408.24	24.714111
1025_92814_000033_000003	At nine old Parvenzano lets me through to his back yard, where there's a board off Riddle's fence, next door.	At nine old Parvenzano lets me through to his back yard, where there's a board off Riddle's fence, next door.	true	408.24	414.91	21
1025_92814_000033_000004	I go under her window and help her down the fire-escape.	I go under her window and help her down the fire escape.	true	414.95	418.17	19.848953
1025_92814_000033_000005	We've got to make it early on the preacher's account.	We've got to make it early on the preacher's account.	false	418.17	420.72	25
1025_92814_000033_000006	It's all dead easy if Rosy don't balk when the flag drops.	It's all dead easy if Rosy don't balk when the flag drops.	true	420.72	424.21	20
1025_92814_000033_000007	Can you fix me one of them powders, Ikey?"	Can you fix me one of them powders, Ikey?"	true	424.22	426.34	22.987831
1025_92814_000034_000000	Ikey Schoenstein rubbed his nose slowly.	Ikey Schoenstein rubbed his nose slowly.	true	426.74	429.27	16
1025_92814_000035_000000	"Chunk," said he, "it is of drugs of that nature that pharmaceutists must have much carefulness.	"Chunk," said he, "it is of drugs of that nature that pharmaceutists must have much carefulness.	true	429.27	434.77	20
1025_92814_000035_000001	To you alone of my acquaintance would I intrust a powder like that.	To you alone of my acquaintance would I intrust a powder like that.	true	434.78	438.61	20
1025_92814_000035_000002	But for you I shall make it, and you shall see how it makes Rosy to think of you."	But for you I shall make it, and you shall see how it makes Rosy to think of you."	true	438.62	442.74	19.719751
1025_92814_000036_000000	Ikey went behind the prescription desk.	Ikey went behind the prescription desk.	false	442.74	445.11	23.99486
1025_92814_000036_000001	There he crushed to a powder two soluble tablets, each containing a quarter of a grain of morphia.	There he crushed to a powder two soluble tablets, each containing a quarter of a grain of morphia.	true	445.11	450.99	21
1025_92814_000036_000002	To them he added a little sugar of milk to increase the bulk, and folded the mixture neatly in a white paper.	To them he added a little sugar of milk to increase the bulk, and folded the mixture neatly in a white paper.	false	450.99	456.97	16
1025_92814_000036_000003	Taken by an adult this powder would insure several hours of heavy slumber without danger to the sleeper. This he handed to Chunk McGowan, telling him to administer it in a liquid if possible, and received the hearty thanks of the backyard Lochinvar.	Taken by an adult this powder would insure several hours of heavy slumber without danger to the sleeper. This he handed to Chunk McGowan, telling him to administer it in a liquid if possible, and received the hearty thanks of the backyard Lochinvar.	true	457.07	471.6	20
1025_92814_000037_000000	The subtlety of Ikey's action becomes apparent upon recital of his subsequent move.	The subtlety of Ikey's action becomes apparent upon recital of his subsequent move.	true	471.6	476.385	16
1025_92814_000037_000001	He sent a messenger for Mr. Riddle and disclosed the plans of Mr. McGowan for eloping with Rosy.	He sent a messenger for mr Riddle and disclosed the plans of mr McGowan for eloping with Rosy.	false	476.385	481.81	21
1025_92814_000037_000002	Mr. Riddle was a stout man, brick-dusty of complexion and sudden in action.	mr Riddle was a stout man, brick dusty of complexion and sudden in action.	true	481.85	486.43	23
1025_92814_000038_000000	"Much obliged," he said, briefly, to Ikey.	"Much obliged," he said, briefly, to Ikey.	true	486.56	488.94	21
1025_92814_000038_000001	"The lazy Irish loafer!	"The lazy Irish loafer!	true	488.94	490.72	23
1025_92814_000038_000002	My own room's just above Rosy's.	My own room's just above Rosy's.	true	490.73	492.85	23
1025_92814_000038_000003	I'll just go up there myself after supper and load the shot-gun and wait.	I'll just go up there myself after supper and load the shot gun and wait.	true	492.86	496.77	22
1025_92814_000038_000004	If he comes in my back yard he'll go away in a ambulance instead of a bridal chaise."	If he comes in my back yard he'll go away in a ambulance instead of a bridal chaise."	true	496.77	501.37	18
1025_92814_000039_000000	With Rosy held in the clutches of Morpheus for a many-hours deep slumber, and the bloodthirsty parent waiting, armed and forewarned, Ikey felt that his rival was close, indeed, upon discomfiture.	With Rosy held in the clutches of Morpheus for a many hours deep slumber, and the bloodthirsty parent waiting, armed and forewarned, Ikey felt that his rival was close, indeed, upon discomfiture.	false	501.62	513.46	21.288258
1025_92814_000040_000000	All night in the Blue Light Drug Store he waited at his duties for chance news of the tragedy, but none came.	All night in the Blue Light Drug Store he waited at his duties for chance news of the tragedy, but none came.	true	513.53	520.395	18
1025_92814_000041_000000	At eight o'clock in the morning the day clerk arrived and Ikey started hurriedly for Mrs. Riddle's to learn the outcome.	At eight o'clock in the morning the day clerk arrived and Ikey started hurriedly for mrs Riddle's to learn the outcome.	true	520.395	526.515	18
1025_92814_000041_000001	And, lo! as he stepped out of the store who but Chunk McGowan sprang from a passing street car and grasped his hand--Chunk McGowan with a victor's smile and flushed with joy.	And, lo! as he stepped out of the store who but Chunk McGowan sprang from a passing street car and grasped his hand-Chunk McGowan with a victor's smile and flushed with joy.	true	526.515	536.775	19
1025_92814_000042_000000	"Pulled it off," said Chunk with Elysium in his grin.	"Pulled it off," said Chunk with Elysium in his grin.	true	536.775	539.44	19
1025_92814_000042_000001	"Rosy hit the fire-escape on time to a second, and we was under the wire at the Reverend's at 9.3O 1/4.	"Rosy hit the fire escape on time to a second, and we was under the wire at the Reverend's at nine point three O one quarter.	false	539.51	545.98	20
1025_92814_000042_000002	She's up at the flat--she cooked eggs this mornin' in a blue kimono--Lord! how lucky I am!	She's up at the flat-she cooked eggs this mornin' in a blue kimono-Lord! how lucky I am!	true	546.05	551.77	21.011507
1025_92814_000042_000003	You must pace up some day, Ikey, and feed with us.	You must pace up some day, Ikey, and feed with us.	true	551.87	554.8	26.94604
1025_92814_000042_000004	I've got a job down near the bridge, and that's where I'm heading for now."	I've got a job down near the bridge, and that's where I'm heading for now."	true	554.84	558.52	22.13277
1025_92814_000043_000000	"The--the--powder?" stammered Ikey.	"The-the-powder?" stammered Ikey.	true	558.68	560.86	22
1025_92814_000044_000000	"Oh, that stuff you gave me!" said Chunk, broadening his grin; "well, it was this way.	"Oh, that stuff you gave me!" said Chunk, broadening his grin; "well, it was this way.	true	560.87	565.17	23.517761
1025_92814_000044_000001	I sat down at the supper table last night at Riddle's, and I looked at Rosy, and I says to myself, 'Chunk, if you get the girl get her on the square--don't try any hocus-pocus with a thoroughbred like her.' And I keeps the paper you give me in my pocket.	I sat down at the supper table last night at Riddle's, and I looked at Rosy, and I says to myself, 'Chunk, if you get the girl get her on the square-don't try any hocus pocus with a thoroughbred like her.' And I keeps the paper you give me in my pocket.	true	565.17	579.15	22
1025_92814_000044_000002	And then my lamps fall on another party present, who, I says to myself, is failin' in a proper affection toward his comin' son-in-law, so I watches my chance and dumps that powder in old man Riddle's coffee--see?"	And then my lamps fall on another party present, who, I says to myself, is failin' in a proper affection toward his comin' son in law, so I watches my chance and dumps that powder in old man Riddle's coffee-see?"	false	579.15	598.5	23.772558
