806_124221_000000_000000	14.	fourteen.
806_124221_000005_000005	It was part of Psmith's philosophy that a man who wore detachable cuffs had passed beyond the limit of human toleration.	It was part of Psmith's philosophy that a man who wore detachable cuffs had passed beyond the limit of human toleration.
806_124221_000006_000000	Mike would sometimes stroll round to the Postage Department to listen to the conversations between the two.	Mike would sometimes stroll round to the Postage Department to listen to the conversations between the two.
806_124221_000006_000001	Bristow was always friendliness itself.	Bristow was always friendliness itself.
806_124221_000007_000003	It was this tolerance which sometimes got him into trouble with Mr Bickersdyke.	It was this tolerance which sometimes got him into trouble with Mr Bickersdyke.
806_124221_000007_000004	The manager did not often perambulate the office, but he did occasionally, and the interview which ensued upon his finding Hutchinson, the underling in the Cash Department at that time, with his stool tilted comfortably against the wall, reading the sporting news from a pink paper to a friend from the Outward Bills Department who lay luxuriously on the floor beside him, did not rank among Mr Waller's pleasantest memories.	The manager did not often perambulate the office, but he did occasionally, and the interview which ensued upon his finding Hutchinson, the underling in the Cash Department at that time, with his stool tilted comfortably against the wall, reading the sporting news from a pink paper to a friend from the Outward Bills Department who lay luxuriously on the floor beside him, did not rank among Mr Waller's pleasantest memories.
806_124221_000007_000005	But Mr Waller was too soft-hearted to interfere with his assistants unless it was absolutely necessary.	But Mr Waller was too soft hearted to interfere with his assistants unless it was absolutely necessary.
806_124221_000007_000006	The truth of the matter was that the New Asiatic Bank was over-staffed.	The truth of the matter was that the New Asiatic Bank was over staffed.
806_124221_000007_000007	There were too many men for the work.	There were too many men for the work.
806_124221_000007_000008	The London branch of the bank was really only a nursery.	The London branch of the bank was really only a nursery.
806_124221_000007_000009	New men were constantly wanted in the Eastern branches, so they had to be put into the London branch to learn the business, whether there was any work for them to do or not.	New men were constantly wanted in the Eastern branches, so they had to be put into the London branch to learn the business, whether there was any work for them to do or not.
806_124221_000008_000000	It was after one of these visits of Psmith's that Mr Waller displayed a new and unsuspected side to his character.	It was after one of these visits of Psmith's that Mr Waller displayed a new and unsuspected side to his character.
806_124221_000009_000001	The whisper is beginning to circulate, "Psmith's number is up--As a reformer he is merely among those present.	The whisper is beginning to circulate, "Psmith's number is up-As a reformer he is merely among those present.
806_124221_000009_000003	The moment I concentrate myself on Comrade Bickersdyke for a brief spell, and seem to be doing him a bit of good, what happens?	The moment I concentrate myself on Comrade Bickersdyke for a brief spell, and seem to be doing him a bit of good, what happens?
806_124221_000009_000004	Why, Comrade Bristow sneaks off and buys a sort of woollen sunset.	Why, Comrade Bristow sneaks off and buys a sort of woollen sunset.
806_124221_000009_000005	I saw the thing unexpectedly.	I saw the thing unexpectedly.
806_124221_000009_000006	I tell you I was shaken.	I tell you I was shaken.
806_124221_000009_000007	It is the suddenness of that waistcoat which hits you.	It is the suddenness of that waistcoat which hits you.
806_124221_000009_000008	It's discouraging, this sort of thing.	It's discouraging, this sort of thing.
806_124221_000009_000009	I try always to think well of my fellow man.	I try always to think well of my fellow man.
806_124221_000010_000000	Mr Waller intervened at this point.	Mr Waller intervened at this point.
806_124221_000011_000000	'I think you must really let Jackson go on with his work, Smith,' he said.	'I think you must really let Jackson go on with his work, Smith,' he said.
806_124221_000011_000001	'There seems to be too much talking.'	'There seems to be too much talking.'
806_124221_000012_000001	'Well, well, I will go back and do my best to face it, but it's a tough job.'	'Well, well, I will go back and do my best to face it, but it's a tough job.'
806_124221_000013_000000	He tottered wearily away in the direction of the Postage Department.	He tottered wearily away in the direction of the Postage Department.
806_124221_000014_000000	'Oh, Jackson,' said Mr Waller, 'will you kindly take my place for a few minutes?	'Oh, Jackson,' said Mr Waller, 'will you kindly take my place for a few minutes?
806_124221_000014_000002	I shall be back very soon.'	I shall be back very soon.'
806_124221_000015_000000	Mike was becoming accustomed to deputizing for the cashier for short spaces of time.	Mike was becoming accustomed to deputizing for the cashier for short spaces of time.
806_124221_000015_000001	It generally happened that he had to do so once or twice a day.	It generally happened that he had to do so once or twice a day.
806_124221_000015_000002	Strictly speaking, perhaps, Mr Waller was wrong to leave such an important task as the actual cashing of cheques to an inexperienced person of Mike's standing; but the New Asiatic Bank differed from most banks in that there was not a great deal of cross-counter work.	Strictly speaking, perhaps, Mr Waller was wrong to leave such an important task as the actual cashing of cheques to an inexperienced person of Mike's standing; but the New Asiatic Bank differed from most banks in that there was not a great deal of cross counter work.
806_124221_000015_000003	People came in fairly frequently to cash cheques of two or three pounds, but it was rare that any very large dealings took place.	People came in fairly frequently to cash cheques of two or three pounds, but it was rare that any very large dealings took place.
806_124221_000016_000000	Having completed his business with the Inward Bills, Mr Waller made his way back by a circuitous route, taking in the Postage desk.	Having completed his business with the Inward Bills, Mr Waller made his way back by a circuitous route, taking in the Postage desk.
806_124221_000022_000002	And yet I do not give way.'	And yet I do not give way.'
806_124221_000023_000000	'Oh--er--Smith,' said Mr Waller, 'when you were talking to Jackson just now--'	'Oh-er-Smith,' said Mr Waller, 'when you were talking to Jackson just now-'
806_124221_000024_000001	'It shall not occur again.	'It shall not occur again.
806_124221_000024_000002	Why should I dislocate the work of your department in my efforts to win a sympathetic word?	Why should I dislocate the work of your department in my efforts to win a sympathetic word?
806_124221_000024_000003	I will bear Comrade Bristow like a man here.	I will bear Comrade Bristow like a man here.
806_124221_000024_000004	After all, there are worse things at the Zoo.'	After all, there are worse things at the Zoo.'
806_124221_000025_000001	By all means pay us a visit now and then, if it does not interfere with your own work.	By all means pay us a visit now and then, if it does not interfere with your own work.
806_124221_000025_000002	But I noticed just now that you spoke to Bristow as Comrade Bristow.'	But I noticed just now that you spoke to Bristow as Comrade Bristow.'
806_124221_000026_000001	He will be getting above himself.'	He will be getting above himself.'
806_124221_000027_000000	'And when you were speaking to Jackson, you spoke of yourself as a Socialist.'	'And when you were speaking to Jackson, you spoke of yourself as a Socialist.'
806_124221_000029_000000	Mr Waller's face grew animated.	Mr Waller's face grew animated.
806_124221_000029_000001	He stammered in his eagerness.	He stammered in his eagerness.
806_124221_000030_000000	'I am delighted,' he said.	'I am delighted,' he said.
806_124221_000030_000002	I also--'	I also-'
806_124221_000033_000001	Mr Waller shook it with enthusiasm.	Mr Waller shook it with enthusiasm.
806_124221_000034_000000	'I have never liked to speak of it to anybody in the office,' said Mr Waller, 'but I, too, am heart and soul in the movement.'	'I have never liked to speak of it to anybody in the office,' said Mr Waller, 'but I, too, am heart and soul in the movement.'
806_124221_000036_000000	'Just so.	'Just so.
806_124221_000036_000001	Just so.	Just so.
806_124221_000036_000002	Exactly.	Exactly.
806_124221_000037_000000	'Hyde Park?'	'Hyde Park?'
806_124221_000038_000000	'No.	'no
806_124221_000038_000001	No.	no
806_124221_000038_000002	Clapham Common.	Clapham Common.
806_124221_000038_000004	Now, as you are interested in the movement, I was thinking that perhaps you might care to come and hear me speak next Sunday.	Now, as you are interested in the movement, I was thinking that perhaps you might care to come and hear me speak next Sunday.
806_124221_000038_000005	Of course, if you have nothing better to do.'	Of course, if you have nothing better to do.'
806_124221_000040_000000	'Excellent.	'Excellent.
806_124221_000040_000001	Bring Jackson with you, and both of you come to supper afterwards, if you will.'	Bring Jackson with you, and both of you come to supper afterwards, if you will.'
806_124221_000041_000000	'Thanks very much.'	'Thanks very much.'
806_124221_000042_000000	'Perhaps you would speak yourself?'	'Perhaps you would speak yourself?'
806_124221_000043_000003	I seldom speak.	I seldom speak.
806_124221_000043_000004	But it would be a treat to listen to you.	But it would be a treat to listen to you.
806_124221_000044_000001	Well, I am perhaps a little bitter--'	Well, I am perhaps a little bitter-'
806_124221_000045_000000	'Yes, yes.'	'Yes, yes.'
806_124221_000046_000000	'A little mordant and ironical.'	'A little mordant and ironical.'
806_124221_000047_000001	'I shall look forward to Sunday with every fibre quivering.	'I shall look forward to Sunday with every fibre quivering.
806_124221_000047_000002	And Comrade Jackson shall be at my side.'	And Comrade Jackson shall be at my side.'
806_124221_000048_000000	'Excellent,' said Mr Waller.	'Excellent,' said Mr Waller.
