4289_21393_000004_000000	CHAPTER XXVI	CHAPTER twenty six
4289_21393_000025_000004	I used to say I'd rather die than come back here to live, but lately it has been growing so attractive, I've been here about half my time, and wished I were the other half."	I used to say I'd rather die than come back here to live, but lately it has been growing so attractive, I've been here about half my time, and wished I were the other half."
4289_21393_000026_000000	Kate slipped her arm around Nancy Ellen as they walked to the gate.	Kate slipped her arm around Nancy Ellen as they walked to the gate.
4289_21393_000027_000001	Usually it's sickness, and sorrow, and losing their friends that bring people to the consolations of the church.	Usually it's sickness, and sorrow, and losing their friends that bring people to the consolations of the church.
4289_21393_000027_000002	You bore those things like a stoic.	You bore those things like a stoic.
4289_21393_000027_000004	Kate, you make me think of the 'Winged Victory,' this afternoon. If I get this darling little girl, will she make me big, and splendid, and fine, like you?"	Kate, you make me think of the 'Winged Victory,' this afternoon. If I get this darling little girl, will she make me big, and splendid, and fine, like you?"
4289_21393_000028_000000	Kate suddenly drew Nancy Ellen to her and kissed her a long, hard kiss on the lips.	Kate suddenly drew Nancy Ellen to her and kissed her a long, hard kiss on the lips.
4289_21393_000029_000001	Good-bye and good luck to you, and remember me to Robert."	Good bye and good luck to you, and remember me to Robert."
4289_21393_000030_000000	Nancy Ellen stood intently studying the picture she held in her hand. Then she looked at Kate, smiling with misty eyes: "I think, Kate, I'm very close, if I am not really where you are this minute," she said. Then she started her car; but she looked back, waving and smiling until the car swerved so that Kate called after her: "Do drive carefully, Nancy Ellen!"	Nancy Ellen stood intently studying the picture she held in her hand. Then she looked at Kate, smiling with misty eyes: "I think, Kate, I'm very close, if I am not really where you are this minute," she said. Then she started her car; but she looked back, waving and smiling until the car swerved so that Kate called after her: "Do drive carefully, Nancy Ellen!"
4289_21393_000031_000000	Kate went slowly up the walk.	Kate went slowly up the walk.
4289_21393_000031_000001	She stopped several times to examine the shrubs and bushes closely, to wish for rain for the flowers.	She stopped several times to examine the shrubs and bushes closely, to wish for rain for the flowers.
4289_21393_000031_000002	She sat on the porch a few minutes talking to Little Poll, then she went inside to answer the phone.	She sat on the porch a few minutes talking to Little Poll, then she went inside to answer the phone.
4289_21393_000032_000000	"Kate?" cried a sharp voice.	"Kate?" cried a sharp voice.
4289_21393_000033_000000	"Yes," said Kate, recognizing a neighbour, living a few miles down the road.	"Yes," said Kate, recognizing a neighbour, living a few miles down the road.
4289_21393_000034_000000	"Did Nancy Ellen just leave your house?" came a breathless query.	"Did Nancy Ellen just leave your house?" came a breathless query.
4289_21393_000035_000000	"Yes," said Kate again.	"Yes," said Kate again.
4289_21393_000036_000000	"I just saw a car that looked like hers slip in the fresh sand at the river levee, and it went down, and two or three times over."	"I just saw a car that looked like hers slip in the fresh sand at the river levee, and it went down, and two or three times over."
4289_21393_000037_000000	"O God!" said Kate.	"O God!" said Kate.
4289_21393_000037_000002	I'll phone Robert, and come as soon as I can get there."	I'll phone Robert, and come as soon as I can get there."
4289_21393_000038_000000	Kate called Dr. Gray's office.	Kate called dr Gray's office.
4289_21393_000038_000003	Rush him!"	Rush him!"
4289_21393_000039_000001	Kate was at the little garage they had built, and had the door open.	Kate was at the little garage they had built, and had the door open.
4289_21393_000039_000002	She told him what she had heard, ran to get the baby, and met him at the gate.	She told him what she had heard, ran to get the baby, and met him at the gate.
4289_21393_000039_000004	You know where her things are, and how to feed her.	You know where her things are, and how to feed her.
4289_21393_000039_000005	Don't you dare let them change any way I do.	Don't you dare let them change any way I do.
4289_21393_000039_000006	Baby knows Milly; she will be good for her and for you.	Baby knows Milly; she will be good for her and for you.
4289_21393_000039_000007	You'll be careful?"	You'll be careful?"
4289_21393_000040_000000	"Of course, Mother," said Adam.	"Of course, Mother," said Adam.
4289_21393_000041_000000	He called her attention to the road.	He called her attention to the road.
4289_21393_000042_000000	"Look at those tracks," he said.	"Look at those tracks," he said.
4289_21393_000042_000001	"Was she sick?	"Was she sick?
4289_21393_000042_000002	She might have been drunk, from them."	She might have been drunk, from them."
4289_21393_000043_000001	She WAS drunk, drunken with joy. She had a picture of the most beautiful little baby girl.	She WAS drunk, drunken with joy. She had a picture of the most beautiful little baby girl.
4289_21393_000043_000002	They were to start to Chicago after her to-night.	They were to start to Chicago after her to night.
4289_21393_000043_000004	Oh, my God, have mercy!"	Oh, my God, have mercy!"
4289_21393_000044_000000	They had come to deep grooves in loose gravel, then the cut in the embankment, then they could see the wrecked car standing on the engine and lying against a big tree, near the water, while two men and a woman were carrying a limp form across the meadow toward the house.	They had come to deep grooves in loose gravel, then the cut in the embankment, then they could see the wrecked car standing on the engine and lying against a big tree, near the water, while two men and a woman were carrying a limp form across the meadow toward the house.
4289_21393_000044_000001	As their car stopped, Kate kissed the baby mechanically, handed her to Adam, and ran into the house where she dragged a couch to the middle of the first room she entered, found a pillow, and brought a bucket of water and a towel from the kitchen.	As their car stopped, Kate kissed the baby mechanically, handed her to Adam, and ran into the house where she dragged a couch to the middle of the first room she entered, found a pillow, and brought a bucket of water and a towel from the kitchen.
4289_21393_000044_000004	Kate gathered her sister's feet in her arms and hid her face beside them. The neighbours silently began taking away things that had been used, while Mrs. Howe chose her whitest sheet, and laid it on a chair near Robert.	Kate gathered her sister's feet in her arms and hid her face beside them. The neighbours silently began taking away things that had been used, while mrs Howe chose her whitest sheet, and laid it on a chair near Robert.
4289_21393_000045_000000	Two days later they laid Nancy Ellen beside her mother.	Two days later they laid Nancy Ellen beside her mother.
4289_21393_000045_000001	Then they began trying to face the problem of life without her.	Then they began trying to face the problem of life without her.
4289_21393_000045_000002	Robert said nothing.	Robert said nothing.
4289_21393_000045_000003	He seemed too stunned to think.	He seemed too stunned to think.
4289_21393_000045_000004	Kate wanted to tell him of her final visit with Nancy Ellen, but she could not at that time. Robert's aged mother came to him, and said she could remain as long as he wanted her, so that was a comfort to Kate, who took time to pity him, even in her blackest hour.	Kate wanted to tell him of her final visit with Nancy Ellen, but she could not at that time. Robert's aged mother came to him, and said she could remain as long as he wanted her, so that was a comfort to Kate, who took time to pity him, even in her blackest hour.
4289_21393_000045_000005	She had some very black ones.	She had some very black ones.
4289_21393_000045_000006	She could have wailed, and lamented, and relinquished all she had gained, but she did not.	She could have wailed, and lamented, and relinquished all she had gained, but she did not.
4289_21393_000045_000007	She merely went on with life, as she always had lived it, to the best of her ability when she was so numbed with grief she scarcely knew what she was doing.	She merely went on with life, as she always had lived it, to the best of her ability when she was so numbed with grief she scarcely knew what she was doing.
4289_21393_000045_000009	Every Sabbath, and often during the week, her feet carried her to the cemetery, where she sat in the deep grass and looked at those three long mounds and tried to understand life; deeper still, to fathom death.	Every Sabbath, and often during the week, her feet carried her to the cemetery, where she sat in the deep grass and looked at those three long mounds and tried to understand life; deeper still, to fathom death.
4289_21393_000046_000000	She and her mother had agreed that there was "something." Now Kate tried as never before to understand what, and where, and why, that "something" was.	She and her mother had agreed that there was "something." Now Kate tried as never before to understand what, and where, and why, that "something" was.
4289_21393_000046_000002	One day after she had arranged the fall roses she had grown, and some roadside asters she had gathered in passing, she sat in deep thought, when a car stopped on the road.	One day after she had arranged the fall roses she had grown, and some roadside asters she had gathered in passing, she sat in deep thought, when a car stopped on the road.
4289_21393_000046_000003	Kate looked up to see Robert coming across the churchyard with his arms full of greenhouse roses.	Kate looked up to see Robert coming across the churchyard with his arms full of greenhouse roses.
4289_21393_000046_000004	He carried a big bunch of deep red for her mother, white for Polly, and a large sheaf of warm pink for Nancy Ellen.	He carried a big bunch of deep red for her mother, white for Polly, and a large sheaf of warm pink for Nancy Ellen.
4289_21393_000046_000005	Kate knelt up and taking her flowers, she moved them lower, and silently helped Robert place those he had brought.	Kate knelt up and taking her flowers, she moved them lower, and silently helped Robert place those he had brought.
4289_21393_000046_000006	Then she sat where she had been, and looked at him.	Then she sat where she had been, and looked at him.
4289_21393_000047_000000	Finally he asked: "Still hunting the 'why,' Kate?"	Finally he asked: "Still hunting the 'why,' Kate?"
4289_21393_000048_000001	Polly had a clear case of uric poison, while I'd stake my life Nancy Ellen was gloating over the picture she carried when she ran into that loose sand.	Polly had a clear case of uric poison, while I'd stake my life Nancy Ellen was gloating over the picture she carried when she ran into that loose sand.
4289_21393_000048_000002	In each of their cases I am satisfied as to 'why,' as well as about Father.	In each of their cases I am satisfied as to 'why,' as well as about Father.
4289_21393_000048_000003	The thing that holds me, and fascinates me, and that I have such a time being sure of, is 'where.'"	The thing that holds me, and fascinates me, and that I have such a time being sure of, is 'where.'"
4289_21393_000049_000000	Robert glanced upward and asked: "Isn't there room enough up there, Kate?"	Robert glanced upward and asked: "Isn't there room enough up there, Kate?"
4289_21393_000050_000000	"Too much!" said Kate.	"Too much!" said Kate.
4289_21393_000050_000001	"And what IS the soul, and HOW can it bridge the vortex lying between us and other worlds, that man never can, because of the lack of air to breathe, and support him?"	"And what IS the soul, and HOW can it bridge the vortex lying between us and other worlds, that man never can, because of the lack of air to breathe, and support him?"
4289_21393_000051_000000	"I don't know," said Robert; "and in spite of the fact that I do know what a man CANNOT do, I still believe in the immortality of the soul."	"I don't know," said Robert; "and in spite of the fact that I do know what a man CANNOT do, I still believe in the immortality of the soul."
4289_21393_000052_000000	"Oh, yes," said Kate.	"Oh, yes," said Kate.
4289_21393_000052_000001	"If there is any such thing in science as a self-evident fact, that is one.	"If there is any such thing in science as a self evident fact, that is one.
4289_21393_000052_000002	THAT is provable."	THAT is provable."
4289_21393_000053_000000	Robert looked at her eager face.	Robert looked at her eager face.
4289_21393_000053_000001	"How would you go about proving it, Kate?" he asked.	"How would you go about proving it, Kate?" he asked.
4289_21393_000054_000001	They all reproduce themselves, they all make something intended for music, they all express a feeling in their hearts by the exercise we call dance, they all believe in the after life of the soul.	They all reproduce themselves, they all make something intended for music, they all express a feeling in their hearts by the exercise we call dance, they all believe in the after life of the soul.
4289_21393_000054_000002	This belief is as much a PART of any man, ever born in any location, as his hands and his feet. Whether he believes his soul enters a cat and works back to man again after long transmigration, or goes to a Happy Hunting Ground as our Indians, makes no difference with the fact that he enters this world with belief in after life of some kind.	This belief is as much a PART of any man, ever born in any location, as his hands and his feet. Whether he believes his soul enters a cat and works back to man again after long transmigration, or goes to a Happy Hunting Ground as our Indians, makes no difference with the fact that he enters this world with belief in after life of some kind.
4289_21393_000054_000003	We see material evidence in increase that man is not defeated in his desire to reproduce himself; we have advanced to something better than tom-toms and pow-wows for music and dance; these desires are fulfilled before us, now tell me why the very strongest of all, the most deeply rooted, the belief in after life, should come to nothing.	We see material evidence in increase that man is not defeated in his desire to reproduce himself; we have advanced to something better than tom toms and pow wows for music and dance; these desires are fulfilled before us, now tell me why the very strongest of all, the most deeply rooted, the belief in after life, should come to nothing.
4289_21393_000054_000004	Why should the others be real, and that a dream?"	Why should the others be real, and that a dream?"
4289_21393_000055_000000	"I don't think it is," said Robert.	"I don't think it is," said Robert.
4289_21393_000056_000000	"It's my biggest self-evident fact," said Kate, conclusively.	"It's my biggest self evident fact," said Kate, conclusively.
4289_21393_000056_000001	"I never heard any one else say these things, but I think them, and they are provable.	"I never heard any one else say these things, but I think them, and they are provable.
4289_21393_000056_000003	She stood in full evening light, I looked straight in her face, and Robert, you know I'm no creature of fancies and delusions, I tell you I SAW HER SOUL PASS.	She stood in full evening light, I looked straight in her face, and Robert, you know I'm no creature of fancies and delusions, I tell you I SAW HER SOUL PASS.
4289_21393_000056_000004	I saw the life go from her and go on, and on.	I saw the life go from her and go on, and on.
4289_21393_000056_000005	I saw her body stand erect, long enough for me to reach her, and pick her up, after its passing.	I saw her body stand erect, long enough for me to reach her, and pick her up, after its passing.
4289_21393_000056_000006	That I know."	That I know."
4289_21393_000057_000000	"I shouldn't think of questioning it, Kate," said Robert.	"I shouldn't think of questioning it, Kate," said Robert.
4289_21393_000058_000000	"Oh, I don't know," said Kate.	"Oh, I don't know," said Kate.
4289_21393_000058_000001	"Air to breathe and food to sustain are presupposed.	"Air to breathe and food to sustain are presupposed.
4289_21393_000058_000002	Man LEARNS to fight in self-defense, and to acquire what he covets.	Man LEARNS to fight in self defense, and to acquire what he covets.
4289_21393_000058_000003	He learns to covet by seeing stronger men, in better locations, surpass his achievements, so if he is strong enough he goes and robs them by force.	He learns to covet by seeing stronger men, in better locations, surpass his achievements, so if he is strong enough he goes and robs them by force.
4289_21393_000058_000004	He learns the desire for the chase in food hunting; I think four are plenty to start with."	He learns the desire for the chase in food hunting; I think four are plenty to start with."
4289_21393_000059_000001	"I must go now. Shall I take you home?"	"I must go now. Shall I take you home?"
4289_21393_000060_000000	Kate glanced at the sun and shook her head.	Kate glanced at the sun and shook her head.
4289_21393_000060_000001	"I can stay half an hour longer.	"I can stay half an hour longer.
4289_21393_000060_000002	I don't mind the walk.	I don't mind the walk.
4289_21393_000060_000003	I need exercise to keep me in condition.	I need exercise to keep me in condition.
4289_21393_000060_000004	Good-bye!"	Good bye!"
4289_21393_000061_000000	As he started his car he glanced back.	As he started his car he glanced back.
4289_21393_000061_000002	Kate sat looking straight before her until time to help with the evening work, and prepare supper, then she arose.	Kate sat looking straight before her until time to help with the evening work, and prepare supper, then she arose.
4289_21393_000061_000003	She stood looking down a long time; finally she picked up a fine specimen of each of the roses and slowly dropped them on her father's grave.	She stood looking down a long time; finally she picked up a fine specimen of each of the roses and slowly dropped them on her father's grave.
4289_21393_000062_000000	"There!	"There!
4289_21393_000062_000001	You may have that many," she said.	You may have that many," she said.
