3923_181420_000001_000000	ADRIFT ON AN ICE-PAN	ADRIFT ON AN ICE PAN
3923_181420_000026_000000	"Four wheels to Charles's wain: Grenville, Trevanion, Slanning, Godolphin slain."	"Four wheels to Charles's wain: Grenville, Trevanion, Slanning, Godolphin slain."
3923_181420_000027_000000	There was also Sir Richard Grenville, immortalized by Tennyson in "The Revenge," and John Pascoe Grenville, the right-hand man of Admiral Cochrane, who boarded the Spanish admiral's ship, the Esmeralda, on the port side, while Cochrane came up on the starboard, when together they made short work of the capture.	There was also Sir Richard Grenville, immortalized by Tennyson in "The Revenge," and john Pascoe Grenville, the right-hand man of Admiral Cochrane, who boarded the Spanish admiral's ship, the Esmeralda, on the port side, while Cochrane came up on the starboard, when together they made short work of the capture.
3923_181420_000027_000001	Nor has the strain died out, as is demonstrated in the present generation by many of Dr. Grenfell's cousins, among them General Francis Wallace Grenfell, Lord Kilvey, and by Dr. Grenfell himself on the Labrador in the fight against disease and disaster and distress along a stormy and uncharted coast.	Nor has the strain died out, as is demonstrated in the present generation by many of dr Grenfell's cousins, among them General Francis Wallace Grenfell, Lord Kilvey, and by dr Grenfell himself on the Labrador in the fight against disease and disaster and distress along a stormy and uncharted coast.
3923_181420_000028_000000	On his mother's side, four of her brothers were generals or colonels in the trying times of service in India.	On his mother's side, four of her brothers were generals or colonels in the trying times of service in India.
3923_181420_000028_000001	The eldest fought with distinction throughout the Indian Mutiny and in the defence of Lucknow, and another commanded the crack cavalry regiment, the "Guides," at Peshawar, and fell fighting in one of the turbulent North of India wars.	The eldest fought with distinction throughout the Indian Mutiny and in the defence of Lucknow, and another commanded the crack cavalry regiment, the "Guides," at Peshawar, and fell fighting in one of the turbulent North of India wars.
3923_181420_000029_000000	Of teachers, there was Dr. Grenfell's paternal grandfather, the Rev. Algernon Grenfell, the second of three brothers, house master at Rugby under Arnold, and a fine classical scholar, whose elder and younger brothers each felt the ancestral call of the sea and became admirals, with brave records of daring and success.	Of teachers, there was dr Grenfell's paternal grandfather, the reverend Algernon Grenfell, the second of three brothers, house master at Rugby under Arnold, and a fine classical scholar, whose elder and younger brothers each felt the ancestral call of the sea and became admirals, with brave records of daring and success.
3923_181420_000030_000000	Dr. Grenfell's father, after a brilliant career at Rugby School and at Balliol College, Oxford, became assistant master at Repton, and later, when he married, head master of Mostyn House School, a position which he resigned in 1882 to become Chaplain of the London Hospital.	dr Grenfell's father, after a brilliant career at Rugby School and at Balliol College, Oxford, became assistant master at Repton, and later, when he married, head master of Mostyn House School, a position which he resigned in eighteen eighty two to become Chaplain of the London Hospital.
3923_181420_000030_000001	"He was a man of much learning, with a keen interest in science, a remarkable eloquence, and a fervent evangelistic faith."	"He was a man of much learning, with a keen interest in science, a remarkable eloquence, and a fervent evangelistic faith."
3923_181420_000031_000000	Mostyn House School still stands, enlarged and modernized, in the charge of Dr. Grenfell's elder brother, and in it his mother is still the real head and controlling genius.	Mostyn House School still stands, enlarged and modernized, in the charge of dr Grenfell's elder brother, and in it his mother is still the real head and controlling genius.
3923_181420_000032_000000	Parkgate, at one time a seaport of renown, when Liverpool was still unimportant, and later a seaside health resort to which came the fashion and beauty of England, had fallen, through the silting of the estuary and the broadening of the "Sands of Dee," to the level of a hamlet in the time of Dr. Grenfell's boyhood.	Parkgate, at one time a seaport of renown, when Liverpool was still unimportant, and later a seaside health resort to which came the fashion and beauty of England, had fallen, through the silting of the estuary and the broadening of the "Sands of Dee," to the level of a hamlet in the time of dr Grenfell's boyhood.
3923_181420_000032_000001	The broad stretch of seaward trending sand, with its interlacing rivulets of fresh and brackish water, made a tempting though treacherous playground, alluring alike in the varied forms of life it harbored and in the adventure which whetted exploration.	The broad stretch of seaward trending sand, with its interlacing rivulets of fresh and brackish water, made a tempting though treacherous playground, alluring alike in the varied forms of life it harbored and in the adventure which whetted exploration.
3923_181420_000032_000002	Thither came Charles Kingsley, Canon of Chester, who married a Grenfell, and who coupled his verse with scientific study and made geological excursions to the river's mouth with the then Master of Mostyn House School.	Thither came Charles Kingsley, Canon of Chester, who married a Grenfell, and who coupled his verse with scientific study and made geological excursions to the river's mouth with the then Master of Mostyn House School.
3923_181420_000032_000003	In these excursions the youthful Wilfred was a participant, and therein he learned some of his first lessons in that accuracy of observation essential to his later life work.	In these excursions the youthful Wilfred was a participant, and therein he learned some of his first lessons in that accuracy of observation essential to his later life work.
3923_181420_000034_000000	From the school-days at Parkgate came the step to Marlborough College, where three years were marked by earnest study, both in books and in play, for the one gained a scholarship and the other an enduring interest in Rugby football.	From the school days at Parkgate came the step to Marlborough College, where three years were marked by earnest study, both in books and in play, for the one gained a scholarship and the other an enduring interest in Rugby football.
3923_181420_000034_000001	Matriculating later at the University of London, Grenfell entered the London Hospital, and there laid not only the foundation of his medical education, but that of his friendship with Sir Frederick Treves, renowned surgeon and daring sailor and master mariner as well.	Matriculating later at the University of London, Grenfell entered the London Hospital, and there laid not only the foundation of his medical education, but that of his friendship with Sir Frederick Treves, renowned surgeon and daring sailor and master mariner as well.
3923_181420_000034_000002	With plenty of work to the fore, as a hospital interne, the ruling spirit still asserted itself, and the young doctor became an inspiration among the waifs of the teeming city; he was one of the founders of the great Lads' Brigades which have done much good, and fostered more, in the example that they have set for allied activities.	With plenty of work to the fore, as a hospital interne, the ruling spirit still asserted itself, and the young doctor became an inspiration among the waifs of the teeming city; he was one of the founders of the great Lads' Brigades which have done much good, and fostered more, in the example that they have set for allied activities.
3923_181420_000034_000003	Nor were the needs of his own bodily machine neglected; football, rowing, and the tennis court kept him in condition, and his athletics served to strengthen his appeals to the London boys whom he enrolled in the brigades.	Nor were the needs of his own bodily machine neglected; football, rowing, and the tennis court kept him in condition, and his athletics served to strengthen his appeals to the London boys whom he enrolled in the brigades.
3923_181420_000034_000004	He founded the inter-hospital rowing club at Putney and rowed in the first inter-hospital race; he played on the Varsity football team, and won the "throwing the hammer" at the sports.	He founded the inter hospital rowing club at Putney and rowed in the first inter hospital race; he played on the Varsity football team, and won the "throwing the hammer" at the sports.
3923_181420_000035_000000	A couple of terms at Queen's College, Oxford, followed the London experience, but here the conditions were too easy and luxurious for one who, by both inheritance and training, had within him the incentive to the strenuous life.	A couple of terms at Queen's College, Oxford, followed the London experience, but here the conditions were too easy and luxurious for one who, by both inheritance and training, had within him the incentive to the strenuous life.
3923_181420_000035_000001	Need called, misery appealed, the message of life, of hope, and of salvation awaited, and the young doctor turned from Oxford to the medical mission work in which his record stands among the foremost for its effectiveness and for the spirituality of its purpose.	Need called, misery appealed, the message of life, of hope, and of salvation awaited, and the young doctor turned from Oxford to the medical mission work in which his record stands among the foremost for its effectiveness and for the spirituality of its purpose.
3923_181420_000036_000000	Seeking some way in which he could satisfy his medical aspirations, as well as his desire for adventure and for definite Christian work, he appealed to Sir Frederick Treves, a member of the Council of the Royal National Mission to Deep Sea Fishermen, who suggested his joining the staff of the mission and establishing a medical mission to the fishermen of the North Sea.	Seeking some way in which he could satisfy his medical aspirations, as well as his desire for adventure and for definite Christian work, he appealed to Sir Frederick Treves, a member of the Council of the Royal National Mission to Deep Sea Fishermen, who suggested his joining the staff of the mission and establishing a medical mission to the fishermen of the North Sea.
3923_181420_000036_000001	The conditions of the life were onerous, the existing traffic in spirituous liquors and in all other demoralizing influences had to be fought step by step, prejudice and evil habit had to be overcome and to be replaced by better knowledge and better desire, there was room for both fighting and teaching, and the medical mission won its way.	The conditions of the life were onerous, the existing traffic in spirituous liquors and in all other demoralizing influences had to be fought step by step, prejudice and evil habit had to be overcome and to be replaced by better knowledge and better desire, there was room for both fighting and teaching, and the medical mission won its way.
3923_181420_000036_000002	"When you set out to commend your gospel to men who don't want it, there's only one way to go about it,--to do something for them that they'll be sure to understand.	"When you set out to commend your gospel to men who don't want it, there's only one way to go about it,--to do something for them that they'll be sure to understand.
3923_181420_000039_000000	To accomplish this, to make of the scattered settlements a united and independent people, to safeguard their future by such measures as the establishment of a Seamen's Institute at St. John's, Newfoundland, and the insurance of communication with the outside world, and to raise, by personal solicitation, the money needed for these enterprises, requires an unusual personality.	To accomplish this, to make of the scattered settlements a united and independent people, to safeguard their future by such measures as the establishment of a Seamen's Institute at saint John's, Newfoundland, and the insurance of communication with the outside world, and to raise, by personal solicitation, the money needed for these enterprises, requires an unusual personality.
