8718_295446_000001_000000	CHAPTER II	CHAPTER two
8718_295446_000021_000000	Cousin Dennis Hanks gives the following quaint description of "Nancy's boy baby," as reported by Mrs. Eleanor Atkinson in her little book on "Lincoln's Boyhood."	Cousin Dennis Hanks gives the following quaint description of "Nancy's boy baby," as reported by mrs Eleanor Atkinson in her little book on "Lincoln's Boyhood."
8718_295446_000024_000000	"You bet I was tickled to death.	"You bet I was tickled to death.
8718_295446_000024_000001	Babies wasn't as common as blackberries in the woods o' Kaintucky.	Babies wasn't as common as blackberries in the woods o' Kaintucky.
8718_295446_000025_000001	Nancy let me hold him purty soon.	Nancy let me hold him purty soon.
8718_295446_000025_000002	Folks often ask me if Abe was a good lookin' baby.	Folks often ask me if Abe was a good lookin' baby.
8718_295446_000025_000005	Abe never was much fur looks.	Abe never was much fur looks.
8718_295446_000025_000006	I ricollect how Tom joked about Abe's long legs when he was toddlin' round the cabin.	I ricollect how Tom joked about Abe's long legs when he was toddlin' round the cabin.
8718_295446_000026_000000	"But he was mighty good comp'ny, solemn as a papoose, but interested in everything.	"But he was mighty good comp'ny, solemn as a papoose, but interested in everything.
8718_295446_000026_000003	If he told us what he was laughin' at, half the time we couldn't see no joke.	If he told us what he was laughin' at, half the time we couldn't see no joke.
8718_295446_000027_000000	"Abe never give Nancy no trouble after he could walk excep' to keep him in clothes.	"Abe never give Nancy no trouble after he could walk excep' to keep him in clothes.
8718_295446_000027_000002	Ever wear a wet buckskin glove?	Ever wear a wet buckskin glove?
8718_295446_000028_000000	When little Abe was four years old his father and mother moved from Rock Spring Farm to a better place on Knob Creek, a few miles to the northeast of the farm where he was born.	When little Abe was four years old his father and mother moved from Rock Spring Farm to a better place on Knob Creek, a few miles to the northeast of the farm where he was born.
