2010_121416_000002_000000	46.	forty six.
2010_121416_000088_000001	He remarked that a light was burning in one of the highest windows of the tower.	He remarked that a light was burning in one of the highest windows of the tower.
2010_121416_000088_000002	"Good," said he, "our syndic is at his post."	"Good," said he, "our syndic is at his post."
2010_121416_000089_000000	He knocked and the door was opened.	He knocked and the door was opened.
2010_121416_000089_000001	The vicar himself awaited him, conducted him to the top of the tower, and when there pointed to a little door, placed the light which he had brought with him in a corner of the wall, that the coadjutor might be able to find it on his return, and went down again.	The vicar himself awaited him, conducted him to the top of the tower, and when there pointed to a little door, placed the light which he had brought with him in a corner of the wall, that the coadjutor might be able to find it on his return, and went down again.
2010_121416_000090_000000	"Come in," said a voice which he recognized as that of the mendicant, whom he found lying on a kind of truckle bed.	"Come in," said a voice which he recognized as that of the mendicant, whom he found lying on a kind of truckle bed.
2010_121416_000090_000001	He rose on the entrance of the coadjutor, and at that moment ten o'clock struck.	He rose on the entrance of the coadjutor, and at that moment ten o'clock struck.
2010_121416_000091_000000	"Well," said Gondy, "have you kept your word with me?"	"Well," said Gondy, "have you kept your word with me?"
2010_121416_000092_000000	"Not exactly," replied the mendicant.	"Not exactly," replied the mendicant.
2010_121416_000093_000000	"How is that?"	"How is that?"
2010_121416_000094_000000	"You asked me for five hundred men, did you not?	"You asked me for five hundred men, did you not?
2010_121416_000094_000001	Well, I have ten thousand for you."	Well, I have ten thousand for you."
2010_121416_000095_000000	"You are not boasting?"	"You are not boasting?"
2010_121416_000096_000000	"Do you wish for a proof?"	"Do you wish for a proof?"
2010_121416_000097_000000	"Yes."	"Yes."
2010_121416_000098_000000	There were three candles alight, each of which burnt before a window, one looking upon the city, the other upon the Palais Royal, and a third upon the Rue Saint Denis.	There were three candles alight, each of which burnt before a window, one looking upon the city, the other upon the Palais Royal, and a third upon the Rue Saint Denis.
2010_121416_000099_000000	The man went silently to each of the candles and blew them out one after the other.	The man went silently to each of the candles and blew them out one after the other.
2010_121416_000100_000000	"What are you doing?" asked the coadjutor.	"What are you doing?" asked the coadjutor.
2010_121416_000101_000000	"I have given the signal."	"I have given the signal."
2010_121416_000102_000000	"For what?"	"For what?"
2010_121416_000103_000000	"For the barricades.	"For the barricades.
2010_121416_000104_000001	Now remember that you are a general and do not go and drink."	Now remember that you are a general and do not go and drink."
2010_121416_000105_000000	"For twenty years I have tasted nothing but water."	"For twenty years I have tasted nothing but water."
2010_121416_000106_000000	The man took the bag from the hands of the coadjutor, who heard the sound of his fingers counting and handling the gold pieces.	The man took the bag from the hands of the coadjutor, who heard the sound of his fingers counting and handling the gold pieces.
2010_121416_000108_000000	The mendicant sighed and threw down the bag.	The mendicant sighed and threw down the bag.
2010_121416_000109_000001	Oh, misery, oh, vanity!"	Oh, misery, oh, vanity!"
2010_121416_000110_000000	"You take it, however."	"You take it, however."
2010_121416_000111_000000	"Yes, but I make hereby a vow in your presence, to employ all that remains to me in pious works."	"Yes, but I make hereby a vow in your presence, to employ all that remains to me in pious works."
2010_121416_000112_000000	His face was pale and drawn, like that of a man who had just undergone some inward struggle.	His face was pale and drawn, like that of a man who had just undergone some inward struggle.
2010_121416_000113_000000	"Singular man!" muttered Gondy, taking his hat to go away; but on turning around he saw the beggar between him and the door.	"Singular man!" muttered Gondy, taking his hat to go away; but on turning around he saw the beggar between him and the door.
2010_121416_000115_000000	"Your holiness!" said Gondy; "my friend, you take me for some one else."	"Your holiness!" said Gondy; "my friend, you take me for some one else."
2010_121416_000116_000000	"No, your holiness, I take you for what you are, that is to say, the coadjutor; I recognized you at the first glance."	"No, your holiness, I take you for what you are, that is to say, the coadjutor; I recognized you at the first glance."
2010_121416_000117_000000	Gondy smiled.	Gondy smiled.
2010_121416_000117_000001	"And you want my blessing?" he said.	"And you want my blessing?" he said.
2010_121416_000118_000000	"Yes, I have need of it."	"Yes, I have need of it."
2010_121416_000119_000000	The mendicant uttered these words in a tone of such humility, such earnest repentance, that Gondy placed his hand upon him and gave him his benediction with all the unction of which he was capable.	The mendicant uttered these words in a tone of such humility, such earnest repentance, that Gondy placed his hand upon him and gave him his benediction with all the unction of which he was capable.
2010_121416_000120_000000	"Now," said Gondy, "there is a communion between us.	"Now," said Gondy, "there is a communion between us.
2010_121416_000120_000001	I have blessed you and you are sacred to me.	I have blessed you and you are sacred to me.
2010_121416_000120_000002	Come, have you committed some crime, pursued by human justice, from which I can protect you?"	Come, have you committed some crime, pursued by human justice, from which I can protect you?"
2010_121416_000121_000000	The beggar shook his head.	The beggar shook his head.
2010_121416_000121_000001	"The crime which I have committed, my lord, has no call upon human justice, and you can only deliver me from it by blessing me frequently, as you have just done."	"The crime which I have committed, my lord, has no call upon human justice, and you can only deliver me from it by blessing me frequently, as you have just done."
2010_121416_000123_000001	I have pursued it for six years only."	I have pursued it for six years only."
2010_121416_000125_000000	"In the Bastile."	"In the Bastile."
2010_121416_000126_000000	"And before you went to the Bastile?"	"And before you went to the Bastile?"
2010_121416_000128_000000	"Good!	"Good!
2010_121416_000128_000001	At whatsoever hour of the day or night you may present yourself, remember that I shall be ready to give you absolution."	At whatsoever hour of the day or night you may present yourself, remember that I shall be ready to give you absolution."
2010_121416_000129_000000	"Thank you, my lord," said the mendicant in a hoarse voice.	"Thank you, my lord," said the mendicant in a hoarse voice.
2010_121416_000129_000001	"But I am not yet ready to receive it."	"But I am not yet ready to receive it."
2010_121416_000130_000000	"Very well.	"Very well.
2010_121416_000130_000001	Adieu."	Adieu."
2010_121416_000131_000000	"Adieu, your holiness," said the mendicant, opening the door and bending low before the prelate.	"Adieu, your holiness," said the mendicant, opening the door and bending low before the prelate.
