4145_104606_000004_000000	CHAPTER VI	CHAPTER six
4145_104606_000020_000000	"I'm afraid, Miss Brodie, that I've behaved very badly.	"I'm afraid, Miss Brodie, that I've behaved very badly.
4145_104606_000020_000001	I trust you will allow me to express my contrition."	I trust you will allow me to express my contrition."
4145_104606_000022_000000	There came a voice from behind her.	There came a voice from behind her.
4145_104606_000023_000000	"You needn't--Ella is aware of it already."	"You needn't-Ella is aware of it already."
4145_104606_000024_000000	As Ella came into the room, she moved to leave it.	As Ella came into the room, she moved to leave it.
4145_104606_000024_000001	Jack caught her by the arm.	Jack caught her by the arm.
4145_104606_000025_000001	Do you know that we're standing in the presence of a romance in real life--on the verge of a blood-curdling mystery? Fact!--aren't we, Graham?"	Do you know that we're standing in the presence of a romance in real life-on the verge of a blood curdling mystery? Fact!--aren't we, Graham?"
4145_104606_000026_000000	Mr. Graham's language was slightly less emphatic.	mr Graham's language was slightly less emphatic.
4145_104606_000028_000000	Jack waved his arm excitedly.	Jack waved his arm excitedly.
4145_104606_000029_000000	"I say it's the most extraordinary thing.	"I say it's the most extraordinary thing.
4145_104606_000029_000001	Now, honestly, Graham, isn't it a most extraordinary thing?"	Now, honestly, Graham, isn't it a most extraordinary thing?"
4145_104606_000030_000000	"It certainly is rather a striking illustration of the long arm of coincidence."	"It certainly is rather a striking illustration of the long arm of coincidence."
4145_104606_000031_000000	"Listen to him.	"Listen to him.
4145_104606_000031_000001	Isn't he cold-blooded?	Isn't he cold blooded?
4145_104606_000031_000002	If you'd heard him an hour or two ago, he was hot enough to melt all the ice-cream in town.	If you'd heard him an hour or two ago, he was hot enough to melt all the ice cream in town.
4145_104606_000031_000003	But you wait a bit.	But you wait a bit.
4145_104606_000031_000004	This is my show, and I'll let you know it.	This is my show, and I'll let you know it.
4145_104606_000031_000005	Sit down, Ella--sit down, Madge--Graham, take a chair.	Sit down, Ella-sit down, Madge-Graham, take a chair.
4145_104606_000031_000006	To you a tale I will unfold."	To you a tale I will unfold."
4145_104606_000032_000000	Taking up his position on the hearthrug in front of the fireplace, he commenced to orate.	Taking up his position on the hearthrug in front of the fireplace, he commenced to orate.
4145_104606_000033_000000	"You see this man.	"You see this man.
4145_104606_000033_000001	His name's Graham.	His name's Graham.
4145_104606_000033_000002	He digs in the same house I do. To be perfectly frank, his rooms are on the opposite side of the landing.	He digs in the same house I do. To be perfectly frank, his rooms are on the opposite side of the landing.
4145_104606_000033_000003	You may have heard me speak of him."	You may have heard me speak of him."
4145_104606_000034_000001	Often!"	Often!"
4145_104606_000034_000002	This was Ella.	This was Ella.
4145_104606_000035_000000	"Have you?	"Have you?
4145_104606_000035_000001	You must know, Graham, that there are frequently occasions on which I have nothing whatever to talk about, so I fill up the blanks with what I may call padding.	You must know, Graham, that there are frequently occasions on which I have nothing whatever to talk about, so I fill up the blanks with what I may call padding.
4145_104606_000035_000002	I say this, because I don't want you to misunderstand the situation.	I say this, because I don't want you to misunderstand the situation.
4145_104606_000035_000003	This morning he lunched at the same crib I did.	This morning he lunched at the same crib I did.
4145_104606_000035_000006	'I'm always insulting a lady.'--I may explain that when I made that remark, Ella, you were the lady I had in my mind's eye.	'I'm always insulting a lady.'--I may explain that when I made that remark, Ella, you were the lady I had in my mind's eye.
4145_104606_000035_000007	At this point I would pause to inquire why, Miss Brodie, you did not take me into your confidence yesterday afternoon?"	At this point I would pause to inquire why, Miss Brodie, you did not take me into your confidence yesterday afternoon?"
4145_104606_000036_000000	"I did."	"I did."
4145_104606_000037_000000	"You did not."	"You did not."
4145_104606_000038_000000	"I did."	"I did."
4145_104606_000039_000000	"You told me about the lunatic lady, because, I suppose, you could not help it--since you were caught in the act--but you said nothing about a lunatic gentleman." He wagged his finger portentously.	"You told me about the lunatic lady, because, I suppose, you could not help it-since you were caught in the act-but you said nothing about a lunatic gentleman." He wagged his finger portentously.
4145_104606_000039_000001	"Don't think you deceive me, Madge Brodie--I smell a rat, and one of considerable size."	"Don't think you deceive me, Madge Brodie-I smell a rat, and one of considerable size."
4145_104606_000041_000000	This was Ella.	This was Ella.
4145_104606_000042_000001	If you bustle me, I'll keep going on for ever.	If you bustle me, I'll keep going on for ever.
4145_104606_000042_000002	Don't I tell you this is my show?	Don't I tell you this is my show?
4145_104606_000042_000003	Do you want to queer it?	Do you want to queer it?
4145_104606_000042_000004	Well, as I was about to observe--when I was interrupted--Graham started spinning a yarn about how he had forced his way into a house, in which there was a young woman all alone, by herself, and, so far as I could make out, gone on awful.	Well, as I was about to observe-when I was interrupted-Graham started spinning a yarn about how he had forced his way into a house, in which there was a young woman all alone, by herself, and, so far as I could make out, gone on awful.
4145_104606_000042_000005	'May I ask,' I said, beginning to think that his yarn smelt somewhat fishy, 'what house this was?' 'The place,' he replied, as cool as a cucumber, 'is called Clover Cottage.' 'What's that!' I cried--I almost jumped out of my chair.	'May I ask,' I said, beginning to think that his yarn smelt somewhat fishy, 'what house this was?' 'The place,' he replied, as cool as a cucumber, 'is called Clover Cottage.' 'What's that!' I cried-I almost jumped out of my chair.
4145_104606_000042_000006	'I say that the place is called Clover Cottage.' I had to hold on to the hair of my head with both my hands.	'I say that the place is called Clover Cottage.' I had to hold on to the hair of my head with both my hands.
4145_104606_000042_000007	'And whereabouts may Clover Cottage be?' 'On Wandsworth Common.' When he said that, as calmly as if he were asking me to pass the salt, I collapsed.	'And whereabouts may Clover Cottage be?' 'On Wandsworth Common.' When he said that, as calmly as if he were asking me to pass the salt, I collapsed.
4145_104606_000042_000008	I daresay he thought that I'd gone mad."	I daresay he thought that I'd gone mad."
4145_104606_000043_000000	"I began to wonder."	"I began to wonder."
4145_104606_000043_000001	This was Graham.	This was Graham.
4145_104606_000044_000000	"Did you?	"Did you?
4145_104606_000044_000001	Let me tell you, sir, that as far as you were concerned, I had long since passed the stage of wonder, and had reached the haven of assurance.	Let me tell you, sir, that as far as you were concerned, I had long since passed the stage of wonder, and had reached the haven of assurance.
4145_104606_000044_000002	'Are you aware?' I cried, 'that Clover Cottage, Wandsworth Common, is the residence of the lady whom I hope to make my wife?' 'Good Lord!' he said.	'Are you aware?' I cried, 'that Clover Cottage, Wandsworth Common, is the residence of the lady whom I hope to make my wife?' 'Good Lord!' he said.
4145_104606_000044_000004	'It seems to me,' I said, 'that if the lady you insulted was not the lady whom I hope to make my wife, it was that lady's friend, which is the same thing----'"	'It seems to me,' I said, 'that if the lady you insulted was not the lady whom I hope to make my wife, it was that lady's friend, which is the same thing----'"
4145_104606_000045_000000	"Is it?" interposed Ella.	"Is it?" interposed Ella.
4145_104606_000046_000000	"I hear."	"I hear."
4145_104606_000047_000000	"'Which is the same thing,'" continued Jack.	"'Which is the same thing,'" continued Jack.
4145_104606_000047_000001	"'And therefore, sir, I must ask you to explain.' He explained, I am bound to admit that he explained there and then.	"'And therefore, sir, I must ask you to explain.' He explained, I am bound to admit that he explained there and then.
4145_104606_000047_000002	He gave me an explanation which I have no hesitation in asserting"--Jack, holding his left hand out in front of him, brought his right list solemnly down upon his open palm--"was the most astonishing I ever heard.	He gave me an explanation which I have no hesitation in asserting"--Jack, holding his left hand out in front of him, brought his right list solemnly down upon his open palm-"was the most astonishing I ever heard.
4145_104606_000047_000003	It shows the hand of Providence; it shows that the age of miracles is not yet past; it shows----"	It shows the hand of Providence; it shows that the age of miracles is not yet past; it shows----"
4145_104606_000048_000000	Ella cut the orator short.	Ella cut the orator short.
4145_104606_000049_000000	"Never mind what it shows; what's the explanation?"	"Never mind what it shows; what's the explanation?"
4145_104606_000050_000000	Jack shook his head sadly.	Jack shook his head sadly.
4145_104606_000051_000000	"I was about to point out several other things which that explanation shows, with a view, as I might phrase it, of improving the occasion, but, having been interrupted for the third time, I refrain.	"I was about to point out several other things which that explanation shows, with a view, as I might phrase it, of improving the occasion, but, having been interrupted for the third time, I refrain.
4145_104606_000051_000001	The explanation itself you will hear from Graham's own lips--after tea.	The explanation itself you will hear from Graham's own lips-after tea.
4145_104606_000051_000002	He is here for the purpose of giving you that explanation--after tea.	He is here for the purpose of giving you that explanation-after tea.
4145_104606_000051_000003	I believe, Graham, I am correct in saying so?"	I believe, Graham, I am correct in saying so?"
4145_104606_000052_000000	"Perfectly.	"Perfectly.
4145_104606_000052_000001	Only, so far as I am concerned, I am ready to give my explanation now.	Only, so far as I am concerned, I am ready to give my explanation now.
4145_104606_000052_000002	I cannot but feel that I shall occupy an invidious position in, at any rate, Miss Brodie's eyes until I have explained."	I cannot but feel that I shall occupy an invidious position in, at any rate, Miss Brodie's eyes until I have explained."
4145_104606_000053_000000	"Then feel!	"Then feel!
4145_104606_000053_000001	I'll be hanged if you shall explain now.	I'll be hanged if you shall explain now.
4145_104606_000053_000002	Dash it, man, I want my tea; I want a high tea, a good tea--at once!"	Dash it, man, I want my tea; I want a high tea, a good tea-at once!"
4145_104606_000054_000000	Ella sprang up from her chair.	Ella sprang up from her chair.
4145_104606_000056_000000	It was a curious meal--if only because of the curious terms on which two members of the party stood toward each other.	It was a curious meal-if only because of the curious terms on which two members of the party stood toward each other.
4145_104606_000056_000001	The two girls sat at each end of the table, the men on either side.	The two girls sat at each end of the table, the men on either side.
4145_104606_000056_000002	Madge, unlike her usual self, was reserved and frosty; what little she did say was addressed to Ella or to Jack.	Madge, unlike her usual self, was reserved and frosty; what little she did say was addressed to Ella or to Jack.
4145_104606_000056_000003	Mr. Graham she ignored, treating his timorous attempts in a conversational direction with complete inattention.	mr Graham she ignored, treating his timorous attempts in a conversational direction with complete inattention.
4145_104606_000056_000004	His position could hardly have been more uncomfortable.	His position could hardly have been more uncomfortable.
4145_104606_000056_000005	Ella, influenced by Madge's attitude, seemed as if she could not make up her mind how to treat him on her own account; her bearing towards him, to say the least, was chilly.	Ella, influenced by Madge's attitude, seemed as if she could not make up her mind how to treat him on her own account; her bearing towards him, to say the least, was chilly.
4145_104606_000056_000006	On the other hand.	On the other hand.
4145_104606_000056_000007	Jack's somewhat cumbrous attempts at humour and sociability did not mend matters; and more than once before the meal was over Mr. Graham must have heartily wished that he had never sat down to it.	Jack's somewhat cumbrous attempts at humour and sociability did not mend matters; and more than once before the meal was over mr Graham must have heartily wished that he had never sat down to it.
4145_104606_000057_000000	Still, even Madge might have admitted, and perhaps in her heart she did admit, that, under the circumstances, he bore himself surprisingly well; that he looked as if he was deserving of better treatment.	Still, even Madge might have admitted, and perhaps in her heart she did admit, that, under the circumstances, he bore himself surprisingly well; that he looked as if he was deserving of better treatment.
4145_104606_000057_000001	Half unconsciously to herself--and probably quite unconsciously to him--she kept a corner of her eye upon him all the time.	Half unconsciously to herself-and probably quite unconsciously to him-she kept a corner of her eye upon him all the time.
4145_104606_000057_000002	He scarcely looked the sort of man to do anything unworthy.	He scarcely looked the sort of man to do anything unworthy.
4145_104606_000057_000003	The strong rough face suggested honesty, the bright clear eyes were frank and open; the broad brow spelt intellect, the lines of the mouth and jaw were bold and firm. The man's whole person was suggestive of strength, both physical and mental.	The strong rough face suggested honesty, the bright clear eyes were frank and open; the broad brow spelt intellect, the lines of the mouth and jaw were bold and firm. The man's whole person was suggestive of strength, both physical and mental.
4145_104606_000057_000004	And when he came to tell the story which Jack Martyn had foreshadowed, it was difficult, as one listened, not to believe that he was one who had been raised by nature above the common sort.	And when he came to tell the story which Jack Martyn had foreshadowed, it was difficult, as one listened, not to believe that he was one who had been raised by nature above the common sort.
