5868_55088_000000_000000	Title: Madam How and Lady Why or, First Lessons in Earth Lore for Children	Title: Madam How and Lady Why or, First Lessons in Earth Lore for Children	false	1.23	4.83	19.372253
5868_55088_000013_000000	"Well, Robert, where have you been walking this afternoon?" said Mr. Andrews to one of his pupils at the close of a holiday.	"Well, Robert, where have you been walking this afternoon?" said mr Andrews to one of his pupils at the close of a holiday.	true	110.18	117.73	21.1806
5868_55088_000014_000000	Oh--Robert had been to Broom Heath, and round by Camp Mount, and home through the meadows.	Oh-Robert had been to Broom Heath, and round by Camp Mount, and home through the meadows.	false	119.06	124.39	19.877266
5868_55088_000014_000001	But it was very dull.	But it was very dull.	true	124.55	126.15	20.351543
5868_55088_000014_000002	He hardly saw a single person.	He hardly saw a single person.	true	126.15	127.93	22.01671
5868_55088_000014_000003	He had much rather have gone by the turnpike-road.	He had much rather have gone by the turnpike road.	false	128.21	132.15	24.200605
5868_55088_000015_000000	Presently in comes Master William, the other pupil, dressed, I suppose, as wretched boys used to be dressed forty years ago, in a frill collar, and skeleton monkey-jacket, and tight trousers buttoned over it, and hardly coming down to his ancles; and low shoes, which always came off in sticky ground; and terribly dirty and wet he is: but he never (he says) had such a pleasant walk in his life; and he has brought home his handkerchief (for boys had no pockets in those days much bigger than key- holes) full of curiosities.	Presently in comes Master William, the other pupil, dressed, I suppose, as wretched boys used to be dressed forty years ago, in a frill collar, and skeleton monkey jacket, and tight trousers buttoned over it, and hardly coming down to his ancles; and low shoes, which always came off in sticky ground; and terribly dirty and wet he is: but he never (he says) had such a pleasant walk in his life; and he has brought home his handkerchief (for boys had no pockets in those days much bigger than key holes) full of curiosities.	true	132.15	165.04	21.986052
5868_55088_000016_000000	He has got a piece of mistletoe, wants to know what it is; and he has seen a woodpecker, and a wheat-ear, and gathered strange flowers on the heath; and hunted a peewit because he thought its wing was broken, till of course it led him into a bog, and very wet he got.	He has got a piece of mistletoe, wants to know what it is; and he has seen a woodpecker, and a wheat ear, and gathered strange flowers on the heath; and hunted a peewit because he thought its wing was broken, till of course it led him into a bog, and very wet he got.	false	166.82	181.32	22.429878
5868_55088_000016_000001	But he did not mind it, because he fell in with an old man cutting turf, who told him all about turf-cutting, and gave him a dead adder.	But he did not mind it, because he fell in with an old man cutting turf, who told him all about turf cutting, and gave him a dead adder.	true	181.32	189.25	23.06942
5868_55088_000016_000002	And then he went up a hill, and saw a grand prospect; and wanted to go again, and make out the geography of the country from Cary's old county maps, which were the only maps in those days.	And then he went up a hill, and saw a grand prospect; and wanted to go again, and make out the geography of the country from Cary's old county maps, which were the only maps in those days.	false	190.64	200.56	21.583784
5868_55088_000016_000003	And then, because the hill was called Camp Mount, he looked for a Roman camp, and found one; and then he went down to the river, saw twenty things more; and so on, and so on, till he had brought home curiosities enough, and thoughts enough, to last him a week.	And then, because the hill was called Camp Mount, he looked for a Roman camp, and found one; and then he went down to the river, saw twenty things more; and so on, and so on, till he had brought home curiosities enough, and thoughts enough, to last him a week.	false	200.96	216.07	22.527807
5868_55088_000017_000000	Whereon Mr. Andrews, who seems to have been a very sensible old gentleman, tells him all about his curiosities: and then it comes out--if you will believe it--that Master William has been over the very same ground as Master Robert, who saw nothing at all.	Whereon mr Andrews, who seems to have been a very sensible old gentleman, tells him all about his curiosities: and then it comes out-if you will believe it-that Master William has been over the very same ground as Master Robert, who saw nothing at all.	true	217.49	234.1	21.9417
5868_55088_000018_000000	Whereon Mr. Andrews says, wisely enough, in his solemn old-fashioned way,--	Whereon mr Andrews says, wisely enough, in his solemn old-fashioned way,--	true	235.19	239.86	14
5868_55088_000019_000000	"So it is.	"So it is.	true	241.25	242.49	20.515114
5868_55088_000019_000001	One man walks through the world with his eyes open, another with his eyes shut; and upon this difference depends all the superiority of knowledge which one man acquires over another.	One man walks through the world with his eyes open, another with his eyes shut; and upon this difference depends all the superiority of knowledge which one man acquires over another.	false	242.49	253.36	18
5868_55088_000019_000002	I have known sailors who had been in all the quarters of the world, and could tell you nothing but the signs of the tippling-houses, and the price and quality of the liquor.	I have known sailors who had been in all the quarters of the world, and could tell you nothing but the signs of the tippling houses, and the price and quality of the liquor.	false	253.79	262.99	20.486647
5868_55088_000019_000003	On the other hand, Franklin could not cross the Channel without making observations useful to mankind.	On the other hand, Franklin could not cross the Channel without making observations useful to mankind.	true	263.81	269.86	20
5868_55088_000019_000004	While many a vacant thoughtless youth is whirled through Europe without gaining a single idea worth crossing the street for, the observing eye and inquiring mind find matter of improvement and delight in every ramble.	While many a vacant thoughtless youth is whirled through Europe without gaining a single idea worth crossing the street for, the observing eye and inquiring mind find matter of improvement and delight in every ramble.	true	270.14	283.51	16
5868_55088_000019_000005	You, then, William, continue to use your eyes.	You, then, William, continue to use your eyes.	true	283.88	287.11	17
5868_55088_000019_000006	And you, Robert, learn that eyes were given to you to use."	And you, Robert, learn that eyes were given to you to use."	true	287.27	291.82	21.169874
5868_55088_000020_000000	So said Mr. Andrews: and so I say, dear boys--and so says he who has the charge of you--to you.	So said mr Andrews: and so I say, dear boys-and so says he who has the charge of you-to you.	false	292.97	300.04	18.532213
5868_55088_000020_000001	Therefore I beg all good boys among you to think over this story, and settle in their own minds whether they will be eyes or no eyes; whether they will, as they grow up, look and see for themselves what happens: or whether they will let other people look for them, or pretend to look; and dupe them, and lead them about--the blind leading the blind, till both fall into the ditch.	Therefore I beg all good boys among you to think over this story, and settle in their own minds whether they will be eyes or no eyes; whether they will, as they grow up, look and see for themselves what happens: or whether they will let other people look for them, or pretend to look; and dupe them, and lead them about-the blind leading the blind, till both fall into the ditch.	false	300.5	324.34	19.754652
5868_55088_000021_000000	I say "good boys;" not merely clever boys, or prudent boys: because using your eyes, or not using them, is a question of doing Right or doing Wrong.	I say "good boys;" not merely clever boys, or prudent boys: because using your eyes, or not using them, is a question of doing Right or doing Wrong.	true	325.7	335.8	22
5868_55088_000021_000001	God has given you eyes; it is your duty to God to use them.	God has given you eyes; it is your duty to God to use them.	true	335.84	339.7	22.2721
5868_55088_000021_000002	If your parents tried to teach you your lessons in the most agreeable way, by beautiful picture-books, would it not be ungracious, ungrateful, and altogether naughty and wrong, to shut your eyes to those pictures, and refuse to learn?	If your parents tried to teach you your lessons in the most agreeable way, by beautiful picture books, would it not be ungracious, ungrateful, and altogether naughty and wrong, to shut your eyes to those pictures, and refuse to learn?	true	340.25	354.91	22.265192
5868_55088_000021_000003	And is it not altogether naughty and wrong to refuse to learn from your Father in Heaven, the Great God who made all things, when he offers to teach you all day long by the most beautiful and most wonderful of all picture-books, which is simply all things which you can see, hear, and touch, from the sun and stars above your head to the mosses and insects at your feet?	And is it not altogether naughty and wrong to refuse to learn from your Father in Heaven, the Great God who made all things, when he offers to teach you all day long by the most beautiful and most wonderful of all picture books, which is simply all things which you can see, hear, and touch, from the sun and stars above your head to the mosses and insects at your feet?	true	355.76	377.77	22.378908
5868_55088_000021_000004	It is your duty to learn His lessons: and it is your interest.	It is your duty to learn His lessons: and it is your interest.	true	378.26	382.45	22.81549
5868_55088_000021_000005	God's Book, which is the Universe, and the reading of God's Book, which is Science, can do you nothing but good, and teach you nothing but truth and wisdom.	God's Book, which is the Universe, and the reading of God's Book, which is Science, can do you nothing but good, and teach you nothing but truth and wisdom.	true	383.06	393.97	21.955683
5868_55088_000021_000006	God did not put this wondrous world about your young souls to tempt or to mislead them.	God did not put this wondrous world about your young souls to tempt or to mislead them.	true	394.82	400.03	22.700268
5868_55088_000021_000007	If you ask Him for a fish, he will not give you a serpent.	If you ask Him for a fish, he will not give you a serpent.	true	400.43	404.26	24.392942
5868_55088_000021_000008	If you ask Him for bread, He will not give you a stone.	If you ask Him for bread, He will not give you a stone.	true	404.84	408.79	19.491495
5868_55088_000022_000000	So use your eyes and your intellect, your senses and your brains, and learn what God is trying to teach you continually by them.	So use your eyes and your intellect, your senses and your brains, and learn what God is trying to teach you continually by them.	true	409.97	417.04	19.396734
5868_55088_000022_000001	I do not mean that you must stop there, and learn nothing more.	I do not mean that you must stop there, and learn nothing more.	true	417.38	420.4	18
5868_55088_000022_000002	Anything but that. There are things which neither your senses nor your brains can tell you; and they are not only more glorious, but actually more true and more real than any things which you can see or touch.	Anything but that. There are things which neither your senses nor your brains can tell you; and they are not only more glorious, but actually more true and more real than any things which you can see or touch.	false	420.5	433.06	21.138731
5868_55088_000022_000003	But you must begin at the beginning in order to end at the end, and sow the seed if you wish to gather the fruit.	But you must begin at the beginning in order to end at the end, and sow the seed if you wish to gather the fruit.	true	433.82	439.93	20.070219
5868_55088_000022_000004	God has ordained that you, and every child which comes into the world, should begin by learning something of the world about him by his senses and his brain; and the better you learn what they can teach you, the more fit you will be to learn what they cannot teach you.	God has ordained that you, and every child which comes into the world, should begin by learning something of the world about him by his senses and his brain; and the better you learn what they can teach you, the more fit you will be to learn what they cannot teach you.	true	440.45	455.44	22.021128
5868_55088_000022_000005	The more you try now to understand _things_, the more you will be able hereafter to understand men, and That which is above men.	The more you try now to understand underscore things underscore, the more you will be able hereafter to understand men, and That which is above men.	false	455.87	463.72	24.549706
5868_55088_000022_000006	You began to find out that truly Divine mystery, that you had a mother on earth, simply by lying soft and warm upon her bosom; and so (as Our Lord told the Jews of old) it is by watching the common natural things around you, and considering the lilies of the field, how they grow, that you will begin at least to learn that far Diviner mystery, that you have a Father in Heaven.	You began to find out that truly Divine mystery, that you had a mother on earth, simply by lying soft and warm upon her bosom; and so (as Our Lord told the Jews of old) it is by watching the common natural things around you, and considering the lilies of the field, how they grow, that you will begin at least to learn that far Diviner mystery, that you have a Father in Heaven.	false	465.17	490.21	21.189178
5868_55088_000022_000007	And so you will be delivered (if you will) out of the tyranny of darkness, and distrust, and fear, into God's free kingdom of light, and faith, and love; and will be safe from the venom of that tree which is more deadly than the fabled upas of the East.	And so you will be delivered (if you will) out of the tyranny of darkness, and distrust, and fear, into God's free kingdom of light, and faith, and love; and will be safe from the venom of that tree which is more deadly than the fabled upas of the East.	true	490.61	508.12	22.37291
5868_55088_000022_000008	Who planted that tree I know not, it was planted so long ago: but surely it is none of God's planting, neither of the Son of God: yet it grows in all lands and in all climes, and sends its hidden suckers far and wide, even (unless we be watchful) into your hearts and mine.	Who planted that tree I know not, it was planted so long ago: but surely it is none of God's planting, neither of the Son of God: yet it grows in all lands and in all climes, and sends its hidden suckers far and wide, even (unless we be watchful) into your hearts and mine.	true	508.52	527.62	20.133867
5868_55088_000022_000009	And its name is the Tree of Unreason, whose roots are conceit and ignorance, and its juices folly and death.	And its name is the Tree of Unreason, whose roots are conceit and ignorance, and its juices folly and death.	true	528.8	536.89	20.234425
5868_55088_000022_000010	It drops its venom into the finest brains; and makes them call sense, nonsense; and nonsense, sense; fact, fiction; and fiction, fact. It drops its venom into the tenderest hearts, alas! and makes them call wrong, right; and right, wrong; love, cruelty; and cruelty, love.	It drops its venom into the finest brains; and makes them call sense, nonsense; and nonsense, sense; fact, fiction; and fiction, fact. It drops its venom into the tenderest hearts, alas! and makes them call wrong, right; and right, wrong; love, cruelty; and cruelty, love.	true	537.77	562.84	21.484741
5868_55088_000022_000011	Some say that the axe is laid to the root of it just now, and that it is already tottering to its fall: while others say that it is growing stronger than ever, and ready to spread its upas-shade over the whole earth.	Some say that the axe is laid to the root of it just now, and that it is already tottering to its fall: while others say that it is growing stronger than ever, and ready to spread its upas shade over the whole earth.	true	563.51	576.85	21.934654
5868_55088_000022_000012	For my part, I know not, save that all shall be as God wills.	For my part, I know not, save that all shall be as God wills.	true	577.37	581.95	24.387201
5868_55088_000022_000013	The tree has been cut down already again and again; and yet has always thrown out fresh shoots and dropped fresh poison from its boughs.	The tree has been cut down already again and again; and yet has always thrown out fresh shoots and dropped fresh poison from its boughs.	true	582.68	591.28	22.182901
5868_55088_000022_000014	But this at least I know: that any little child, who will use the faculties God has given him, may find an antidote to all its poison in the meanest herb beneath his feet.	But this at least I know: that any little child, who will use the faculties God has given him, may find an antidote to all its poison in the meanest herb beneath his feet.	true	591.8	602.38	22.850279
5868_55088_000023_000000	There, you do not understand me, my boys; and the best prayer I can offer for you is, perhaps, that you should never need to understand me: but if that sore need should come, and that poison should begin to spread its mist over your brains and hearts, then you will be proof against it; just in proportion as you have used the eyes and the common sense which God has given you, and have considered the lilies of the field, how they grow.	There, you do not understand me, my boys; and the best prayer I can offer for you is, perhaps, that you should never need to understand me: but if that sore need should come, and that poison should begin to spread its mist over your brains and hearts, then you will be proof against it; just in proportion as you have used the eyes and the common sense which God has given you, and have considered the lilies of the field, how they grow.	false	603.23	650.43	20.261484
