6395_84349_000000_000000	The police appear to have made great efforts to discover the assassin, but without success.	The police appear to have made great efforts to discover the assassin, but without success.	false	0	1.5	17.771894
6395_84349_000007_000001	M. de Beauchesne, to whom the world is chiefly indebted for the harrowing story of Louis the Seventeenth's wretched fate, has, it is to be hoped, overdrawn the terrible picture; but, after making every allowance for royalist exaggeration, enough of horror remains to excite the pity of the hardest hearted.	M. de Beauchesne, to whom the world is chiefly indebted for the harrowing story of Louis the Seventeenth's wretched fate, has, it is to be hoped, overdrawn the terrible picture; but, after making every allowance for royalist exaggeration, enough of horror remains to excite the pity of the hardest hearted.	false	365.52	385.18	22.271435
6395_84349_000007_000002	Brutal and debasing as was Simon's regimen, it was not rapid enough in its process to satisfy "the Committee of Public Safety;" they, therefore, dismissed him from his post, and made different arrangements.	Brutal and debasing as was Simon's regimen, it was not rapid enough in its process to satisfy "the Committee of Public Safety;" they, therefore, dismissed him from his post, and made different arrangements.	true	385.97	399.85	21.736069
6395_84349_000007_000003	For the future the poor innocent little victim was confined in one room, into which his coarse food was passed through a wicket, and from which he was never permitted to emerge either for exercise or fresh air.	For the future the poor innocent little victim was confined in one room, into which his coarse food was passed through a wicket, and from which he was never permitted to emerge either for exercise or fresh air.	false	400.55	412.3	22
6395_84349_000007_000004	"He had a room to walk in, and a bed to lie upon; he had bread and water, and linen, and clothes, but he had neither fire nor candle." For months this system of solitary confinement was endured by the child, who, reduced to a state of helpless stupidity, no longer attempted to change his linen, or cleanse himself, and was allowed to drift into a condition of utter imbecility.	"He had a room to walk in, and a bed to lie upon; he had bread and water, and linen, and clothes, but he had neither fire nor candle." For months this system of solitary confinement was endured by the child, who, reduced to a state of helpless stupidity, no longer attempted to change his linen, or cleanse himself, and was allowed to drift into a condition of utter imbecility.	false	413.27	436.9	20.933048
6395_84349_000007_000005	Ultimately an improvement was effected in the little captive's condition, and under the better treatment accorded him he rallied for some time; but the cruelty he had endured had been too certain in its operation to allow of any permanent restoration to health.	Ultimately an improvement was effected in the little captive's condition, and under the better treatment accorded him he rallied for some time; but the cruelty he had endured had been too certain in its operation to allow of any permanent restoration to health.	false	437.6	453.88	21.12717
6395_84349_000007_000006	In the month of May, 1795, his jailers reported to the Government that "little Capet was dangerously ill." A physician was sent to attend on the child, but his prescriptions were no longer of any use.	In the month of May, seventeen ninety five, his jailers reported to the Government that "little Capet was dangerously ill." A physician was sent to attend on the child, but his prescriptions were no longer of any use.	false	454.67	468.31	20.828186
6395_84349_000007_000007	On the 8th of June he told one of his keepers, "I have something to tell you!" but the man waited in vain for the revelation, for whilst he listened the poor child's life had passed away.	On the eighth of June he told one of his keepers, "I have something to tell you!" but the man waited in vain for the revelation, for whilst he listened the poor child's life had passed away.	true	469.13	480.34	20.254045
6395_84349_000008_000000	When the dauphin died he was ten years and two months old.	When the dauphin died he was ten years and two months old.	true	481.07	484.54	21.801558
6395_84349_000008_000001	The members of the Committee of Public Safety having concluded their day's sitting when the news was brought, it was deemed advisable to conceal the event until the morrow.	The members of the Committee of Public Safety having concluded their day's sitting when the news was brought, it was deemed advisable to conceal the event until the morrow.	true	484.97	494.86	21.380928
6395_84349_000008_000002	Supper was prepared for the child as usual, and Gomin, his attendant, took it up to the room.	Supper was prepared for the child as usual, and Gomin, his attendant, took it up to the room.	true	495.68	500.89	21
6395_84349_000008_000003	Many years afterwards this man stated that when he entered the apartment he went to the bed and gazed upon the corpse of the little dauphin.	Many years afterwards this man stated that when he entered the apartment he went to the bed and gazed upon the corpse of the little dauphin.	false	501.47	510.15	19.072624
6395_84349_000008_000004	"His eyes, which while suffering had half-closed," he relates, "were now open, and shone as pure as the blue heaven, and his beautiful fair hair, which had not been cut for two months, fell like a frame round his face."	"His eyes, which while suffering had half closed," he relates, "were now open, and shone as pure as the blue heaven, and his beautiful fair hair, which had not been cut for two months, fell like a frame round his face."	true	510.15	523.96	21.858898
6395_84349_000008_000005	The next morning four medical men came to examine the body, and make their report, which they did in somewhat ambiguous terms, stating that at the Temple on a bed in a room of the second floor of the Tower they had seen "the dead body of a child, apparently about ten years old, which the commissaries declared to be that of the late Louis Capet's son, and which two of our number recognized as that of the child they had been attending for several days." About twenty soldiers, however, who are stated to have known the "little Capet" by sight when at the Tuileries, were also admitted, at their own request, to view the body of the child, and signed an attestation to the effect that they recognized it. The body was finally put into a coffin, and on the 10th of June, 1795, was taken to the cemetery of Sainte Marguerite, by the Rue St. Bernard, and buried in an unknown spot, which to this day no one has been enabled to find out.	The next morning four medical men came to examine the body, and make their report, which they did in somewhat ambiguous terms, stating that at the Temple on a bed in a room of the second floor of the Tower they had seen "the dead body of a child, apparently about ten years old, which the commissaries declared to be that of the late Louis Capet's son, and which two of our number recognized as that of the child they had been attending for several days." About twenty soldiers, however, who are stated to have known the "little Capet" by sight when at the Tuileries, were also admitted, at their own request, to view the body of the child, and signed an attestation to the effect that they recognized it. The body was finally put into a coffin, and on the tenth of June, seventeen ninety five, was taken to the cemetery of Sainte Marguerite, by the Rue saint Bernard, and buried in an unknown spot, which to this day no one has been enabled to find out.	false	524.63	594.93	20.688143
