7832_258250_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
7832_258250_000016_000000	When it was the Six Hundred and Thirty-ninth Night,	When it was the Six Hundred and Thirty ninth Night,
7832_258250_000017_000002	Then dashed out the Ghul of the Mountain, with a club on his shoulder, two hundred pounds in weight, and wheeled and careered, saying, "Ho, worshippers of idols, come ye out and renown it this day, for 'tis a day of onslaught!	Then dashed out the Ghul of the Mountain, with a club on his shoulder, two hundred pounds in weight, and wheeled and careered, saying, "Ho, worshippers of idols, come ye out and renown it this day, for 'tis a day of onslaught!
7832_258250_000017_000003	Whoso knoweth me hath enough of my mischief and whoso knoweth me not, I will make myself known to him.	Whoso knoweth me hath enough of my mischief and whoso knoweth me not, I will make myself known to him.
7832_258250_000017_000005	Who is for jousting?	Who is for jousting?
7832_258250_000017_000006	Who is for fighting? Let no faintheart come forth to me to-day nor weakling." And there rushed upon him a Champion of the Infidels, as he were a flame of fire, and drove at him, but Sa'adan charged home at him and dealt him with his club a blow which broke his ribs and cast him lifeless to the earth.	Who is for fighting? Let no faintheart come forth to me to day nor weakling." And there rushed upon him a Champion of the Infidels, as he were a flame of fire, and drove at him, but Sa'adan charged home at him and dealt him with his club a blow which broke his ribs and cast him lifeless to the earth.
7832_258250_000017_000012	So he entered and going up to the candles which burnt in the tent snuffed them and sprinkled levigated henbane on the wicks; after which he withdrew and waited without the marquee, till the smoke of the burning henbane reached Ajib and his Princes and they fell to the ground like dead men.	So he entered and going up to the candles which burnt in the tent snuffed them and sprinkled levigated henbane on the wicks; after which he withdrew and waited without the marquee, till the smoke of the burning henbane reached Ajib and his Princes and they fell to the ground like dead men.
7832_258250_000017_000014	So he cried out at the guards, saying, "Woe to you!	So he cried out at the guards, saying, "Woe to you!
7832_258250_000017_000016	Thereupon he loosed their bonds and collars, and when they saw him, they blessed him and rejoiced In him.	Thereupon he loosed their bonds and collars, and when they saw him, they blessed him and rejoiced In him.
7832_258250_000017_000017	After this they went forth and took all the arms of the guards and Sahim said to them, "Go to your own camp;" while he re entered Ajib's pavilion and, wrapping him in his cloak, lifted him up and made for the Moslem encampment.	After this they went forth and took all the arms of the guards and Sahim said to them, "Go to your own camp;" while he re entered Ajib's pavilion and, wrapping him in his cloak, lifted him up and made for the Moslem encampment.
7832_258250_000017_000021	Victory!" And he blessed Sahim and bade him arouse Ajib.	Victory!" And he blessed Sahim and bade him arouse Ajib.
7832_258250_000017_000022	So he made him smell the vinegar mixed with incense, and he opened his eyes and, finding himself bound and shackled, hung down his head earth wards.	So he made him smell the vinegar mixed with incense, and he opened his eyes and, finding himself bound and shackled, hung down his head earth wards.
