7956_245687_000001_000000	QUESTION 76	QUESTION seventy six
7956_245687_000057_000001	But "rational," which is the difference constituting man, is taken from the intellectual soul; while he is called "animal" by reason of his having a body animated by a sensitive soul.	But "rational," which is the difference constituting man, is taken from the intellectual soul; while he is called "animal" by reason of his having a body animated by a sensitive soul.
7956_245687_000057_000002	Therefore the intellectual soul may be compared to the body animated by a sensitive soul, as form to matter.	Therefore the intellectual soul may be compared to the body animated by a sensitive soul, as form to matter.
7956_245687_000057_000003	Therefore in man the intellectual soul is not essentially the same as the sensitive soul, but presupposes it as a material subject.	Therefore in man the intellectual soul is not essentially the same as the sensitive soul, but presupposes it as a material subject.
7956_245687_000059_000001	Now this would not be the case if the various principles of the soul's operations were essentially different, and distributed in the various parts of the body.	Now this would not be the case if the various principles of the soul's operations were essentially different, and distributed in the various parts of the body.
7956_245687_000059_000002	But with regard to the intellectual part, he seems to leave it in doubt whether it be "only logically" distinct from the other parts of the soul, "or also locally."	But with regard to the intellectual part, he seems to leave it in doubt whether it be "only logically" distinct from the other parts of the soul, "or also locally."
7956_245687_000060_000001	If we suppose, however, that the soul is united to the body as its form, it is quite impossible for several essentially different souls to be in one body.	If we suppose, however, that the soul is united to the body as its form, it is quite impossible for several essentially different souls to be in one body.
7956_245687_000060_000002	This can be made clear by three different reasons.	This can be made clear by three different reasons.
7956_245687_000061_000000	In the first place, an animal would not be absolutely one, in which there were several souls.	In the first place, an animal would not be absolutely one, in which there were several souls.
7956_245687_000061_000004	It cannot be said that they are united by the one body; because rather does the soul contain the body and make it one, than the reverse.	It cannot be said that they are united by the one body; because rather does the soul contain the body and make it one, than the reverse.
7956_245687_000062_000000	Secondly, this is proved to be impossible by the manner in which one thing is predicated of another.	Secondly, this is proved to be impossible by the manner in which one thing is predicated of another.
7956_245687_000062_000002	But both of these consequences are clearly false: because "animal" is predicated of man essentially and not accidentally; and man is not part of the definition of an animal, but the other way about. Therefore of necessity by the same form a thing is animal and man; otherwise man would not really be the thing which is an animal, so that animal can be essentially predicated of man.	But both of these consequences are clearly false: because "animal" is predicated of man essentially and not accidentally; and man is not part of the definition of an animal, but the other way about. Therefore of necessity by the same form a thing is animal and man; otherwise man would not really be the thing which is an animal, so that animal can be essentially predicated of man.
7956_245687_000063_000000	Thirdly, this is shown to be impossible by the fact that when one operation of the soul is intense it impedes another, which could never be the case unless the principle of action were essentially one.	Thirdly, this is shown to be impossible by the fact that when one operation of the soul is intense it impedes another, which could never be the case unless the principle of action were essentially one.
7956_245687_000064_000000	We must therefore conclude that in man the sensitive soul, the intellectual soul, and the nutritive soul are numerically one soul. This can easily be explained, if we consider the differences of species and forms.	We must therefore conclude that in man the sensitive soul, the intellectual soul, and the nutritive soul are numerically one soul. This can easily be explained, if we consider the differences of species and forms.
7956_245687_000064_000001	For we observe that the species and forms of things differ from one another, as the perfect and imperfect; as in the order of things, the animate are more perfect than the inanimate, and animals more perfect than plants, and man than brute animals; and in each of these genera there are various degrees.	For we observe that the species and forms of things differ from one another, as the perfect and imperfect; as in the order of things, the animate are more perfect than the inanimate, and animals more perfect than plants, and man than brute animals; and in each of these genera there are various degrees.
7956_245687_000064_000004	Thus the intellectual soul contains virtually whatever belongs to the sensitive soul of brute animals, and to the nutritive souls of plants.	Thus the intellectual soul contains virtually whatever belongs to the sensitive soul of brute animals, and to the nutritive souls of plants.
7956_245687_000064_000005	Therefore, as a surface which is of a pentagonal shape, is not tetragonal by one shape, and pentagonal by another--since a tetragonal shape would be superfluous as contained in the pentagonal--so neither is Socrates a man by one soul, and animal by another; but by one and the same soul he is both animal and man.	Therefore, as a surface which is of a pentagonal shape, is not tetragonal by one shape, and pentagonal by another-since a tetragonal shape would be superfluous as contained in the pentagonal-so neither is Socrates a man by one soul, and animal by another; but by one and the same soul he is both animal and man.
7956_245687_000065_000001	When, therefore, a soul is sensitive only, it is corruptible; but when with sensibility it has also intellectuality, it is incorruptible.	When, therefore, a soul is sensitive only, it is corruptible; but when with sensibility it has also intellectuality, it is incorruptible.
7956_245687_000065_000002	For although sensibility does not give incorruptibility, yet it cannot deprive intellectuality of its incorruptibility.	For although sensibility does not give incorruptibility, yet it cannot deprive intellectuality of its incorruptibility.
7956_245687_000066_000001	Now man is corruptible like other animals.	Now man is corruptible like other animals.
7956_245687_000066_000002	And so the difference of corruptible and incorruptible which is on the part of the forms does not involve a generic difference between man and the other animals.	And so the difference of corruptible and incorruptible which is on the part of the forms does not involve a generic difference between man and the other animals.
7956_245687_000068_000001	Therefore since, as we have said, the intellectual soul contains virtually what belongs to the sensitive soul, and something more, reason can consider separately what belongs to the power of the sensitive soul, as something imperfect and material.	Therefore since, as we have said, the intellectual soul contains virtually what belongs to the sensitive soul, and something more, reason can consider separately what belongs to the power of the sensitive soul, as something imperfect and material.
