2971_4275_000000_000000	I. A DISCUSSION SOMEWHAT IN THE AIR	I. A DISCUSSION SOMEWHAT IN THE AIR	false	22.23	27.4	22.740948
2971_4275_000003_000001	Him, also, by a curious coincidence, the professor had not invented, and him he had not even very greatly improved, though he had fished him up with a lasso out of his own back garden, in Western Bulgaria, with the pure object of improving him.	Him, also, by a curious coincidence, the professor had not invented, and him he had not even very greatly improved, though he had fished him up with a lasso out of his own back garden, in Western Bulgaria, with the pure object of improving him.	true	147.5	164.38	21.811985
2971_4275_000003_000002	He was an exceedingly holy man, almost entirely covered with white hair.	He was an exceedingly holy man, almost entirely covered with white hair.	true	166.25	171.04	21.301222
2971_4275_000003_000003	You could see nothing but his eyes, and he seemed to talk with them.	You could see nothing but his eyes, and he seemed to talk with them.	true	171.38	174.61	20.889748
2971_4275_000003_000004	A monk of immense learning and acute intellect he had made himself happy in a little stone hut and a little stony garden in the Balkans, chiefly by writing the most crushing refutations of exposures of certain heresies, the last professors of which had been burnt (generally by each other) precisely 1,119 years previously.	A monk of immense learning and acute intellect he had made himself happy in a little stone hut and a little stony garden in the Balkans, chiefly by writing the most crushing refutations of exposures of certain heresies, the last professors of which had been burnt (generally by each other) precisely one thousand one hundred nineteen years previously.	false	174.98	198.52	20.762112
2971_4275_000003_000005	They were really very plausible and thoughtful heresies, and it was really a creditable or even glorious circumstance, that the old monk had been intellectual enough to detect their fallacy; the only misfortune was that nobody in the modern world was intellectual enough even to understand their argument.	They were really very plausible and thoughtful heresies, and it was really a creditable or even glorious circumstance, that the old monk had been intellectual enough to detect their fallacy; the only misfortune was that nobody in the modern world was intellectual enough even to understand their argument.	true	198.86	216.88	20.503298
2971_4275_000003_000006	The old monk, one of whose names was Michael, and the other a name quite impossible to remember or repeat in our Western civilization, had, however, as I have said, made himself quite happy while he was in a mountain hermitage in the society of wild animals.	The old monk, one of whose names was Michael, and the other a name quite impossible to remember or repeat in our Western civilization, had, however, as I have said, made himself quite happy while he was in a mountain hermitage in the society of wild animals.	false	217.31	234.58	21.57062
2971_4275_000003_000007	And now that his luck had lifted him above all the mountains in the society of a wild physicist, he made himself happy still.	And now that his luck had lifted him above all the mountains in the society of a wild physicist, he made himself happy still.	true	235.1	243.88	20.966574
2971_4275_000004_000000	"I have no intention, my good Michael," said Professor Lucifer, "of endeavouring to convert you by argument.	"I have no intention, my good Michael," said Professor Lucifer, "of endeavouring to convert you by argument.	true	244.64	250.72	22.936588
2971_4275_000004_000001	The imbecility of your traditions can be quite finally exhibited to anybody with mere ordinary knowledge of the world, the same kind of knowledge which teaches us not to sit in draughts or not to encourage friendliness in impecunious people.	The imbecility of your traditions can be quite finally exhibited to anybody with mere ordinary knowledge of the world, the same kind of knowledge which teaches us not to sit in draughts or not to encourage friendliness in impecunious people.	false	251.81	268.3	21.575357
2971_4275_000004_000002	It is folly to talk of this or that demonstrating the rationalist philosophy.	It is folly to talk of this or that demonstrating the rationalist philosophy.	true	268.46	273.13	22.231234
2971_4275_000004_000003	Everything demonstrates it.	Everything demonstrates it.	true	273.38	275.17	21.89689
2971_4275_000004_000004	Rubbing shoulders with men of all kinds----"	Rubbing shoulders with men of all kinds----"	true	275.21	277.08	20.616432
2971_4275_000005_000000	"You will forgive me," said the monk, meekly from under loads of white beard, "but I fear I do not understand; was it in order that I might rub my shoulder against men of all kinds that you put me inside this thing?"	"You will forgive me," said the monk, meekly from under loads of white beard, "but I fear I do not understand; was it in order that I might rub my shoulder against men of all kinds that you put me inside this thing?"	false	277.08	292.51	21.703753
2971_4275_000006_000000	"An entertaining retort, in the narrow and deductive manner of the Middle Ages," replied the Professor, calmly, "but even upon your own basis I will illustrate my point.	"An entertaining retort, in the narrow and deductive manner of the Middle Ages," replied the Professor, calmly, "but even upon your own basis I will illustrate my point.	true	292.79	305.86	23.711605
2971_4275_000006_000001	We are up in the sky.	We are up in the sky.	true	306.23	307.96	27.839954
2971_4275_000006_000002	In your religion and all the religions, as far as I know (and I know everything), the sky is made the symbol of everything that is sacred and merciful.	In your religion and all the religions, as far as I know (and I know everything), the sky is made the symbol of everything that is sacred and merciful.	true	308.3	318.85	22.252914
2971_4275_000006_000003	Well, now you are in the sky, you know better.	Well, now you are in the sky, you know better.	true	319.19	323.44	21.396057
2971_4275_000006_000004	Phrase it how you like, twist it how you like, you know that you know better.	Phrase it how you like, twist it how you like, you know that you know better.	true	323.9	328.93	22.240993
2971_4275_000006_000005	You know what are a man's real feelings about the heavens, when he finds himself alone in the heavens, surrounded by the heavens.	You know what are a man's real feelings about the heavens, when he finds himself alone in the heavens, surrounded by the heavens.	true	329.6	337.87	20.115177
2971_4275_000006_000006	You know the truth, and the truth is this.	You know the truth, and the truth is this.	false	338	340.83	22.747404
2971_4275_000006_000007	The heavens are evil, the sky is evil, the stars are evil.	The heavens are evil, the sky is evil, the stars are evil.	false	340.83	346.36	19.498333
2971_4275_000006_000008	This mere space, this mere quantity, terrifies a man more than tigers or the terrible plague.	This mere space, this mere quantity, terrifies a man more than tigers or the terrible plague.	false	346.58	353.53	25.015265
2971_4275_000006_000009	You know that since our science has spoken, the bottom has fallen out of the Universe.	You know that since our science has spoken, the bottom has fallen out of the Universe.	true	353.6	358.69	23.751282
2971_4275_000006_000010	Now, heaven is the hopeless thing, more hopeless than any hell.	Now, heaven is the hopeless thing, more hopeless than any hell.	true	358.91	363.43	21.624594
2971_4275_000006_000011	Now, if there be any comfort for all your miserable progeny of morbid apes, it must be in the earth, underneath you, under the roots of the grass, in the place where hell was of old. The fiery crypts, the lurid cellars of the underworld, to which you once condemned the wicked, are hideous enough, but at least they are more homely than the heaven in which we ride.	Now, if there be any comfort for all your miserable progeny of morbid apes, it must be in the earth, underneath you, under the roots of the grass, in the place where hell was of old. The fiery crypts, the lurid cellars of the underworld, to which you once condemned the wicked, are hideous enough, but at least they are more homely than the heaven in which we ride.	false	363.8	390.22	21.469807
2971_4275_000006_000012	And the time will come when you will all hide in them, to escape the horror of the stars."	And the time will come when you will all hide in them, to escape the horror of the stars."	true	390.77	396.94	22.460905
2971_4275_000007_000000	"I hope you will excuse my interrupting you," said Michael, with a slight cough, "but I have always noticed----"	"I hope you will excuse my interrupting you," said Michael, with a slight cough, "but I have always noticed----"	true	397.7	406.155	21.896843
2971_4275_000008_000000	"Go on, pray go on," said Professor Lucifer, radiantly, "I really like to draw out your simple ideas."	"Go on, pray go on," said Professor Lucifer, radiantly, "I really like to draw out your simple ideas."	false	406.155	414.43	20.408373
2971_4275_000009_000000	"Well, the fact is," said the other, "that much as I admire your rhetoric and the rhetoric of your school, from a purely verbal point of view, such little study of you and your school in human history as I have been enabled to make has led me to--er--rather singular conclusion, which I find great difficulty in expressing, especially in a foreign language."	"Well, the fact is," said the other, "that much as I admire your rhetoric and the rhetoric of your school, from a purely verbal point of view, such little study of you and your school in human history as I have been enabled to make has led me to-er-rather singular conclusion, which I find great difficulty in expressing, especially in a foreign language."	false	414.92	440.16	22.038935
2971_4275_000010_000000	"Come, come," said the Professor, encouragingly, "I'll help you out.	"Come, come," said the Professor, encouragingly, "I'll help you out.	true	440.16	444.495	21.879042
2971_4275_000010_000001	How did my view strike you?"	How did my view strike you?"	true	444.495	446.44	19.236012
2971_4275_000011_000000	"Well, the truth is, I know I don't express it properly, but somehow it seemed to me that you always convey ideas of that kind with most eloquence, when--er--when----"	"Well, the truth is, I know I don't express it properly, but somehow it seemed to me that you always convey ideas of that kind with most eloquence, when-er-when----"	true	447.26	459.855	23.247662
2971_4275_000012_000000	"Oh! get on," cried Lucifer, boisterously.	"Oh! get on," cried Lucifer, boisterously.	true	459.855	463.33	21.04241
2971_4275_000013_000000	"Well, in point of fact when your flying ship is just going to run into something.	"Well, in point of fact when your flying ship is just going to run into something.	true	463.52	469	22.222126
2971_4275_000013_000001	I thought you wouldn't mind my mentioning it, but it's running into something now."	I thought you wouldn't mind my mentioning it, but it's running into something now."	true	469.1	473.5	21.295198
2971_4275_000014_000000	Lucifer exploded with an oath and leapt erect, leaning hard upon the handle that acted as a helm to the vessel.	Lucifer exploded with an oath and leapt erect, leaning hard upon the handle that acted as a helm to the vessel.	true	473.75	481.5	23.847786
2971_4275_000014_000001	For the last ten minutes they had been shooting downwards into great cracks and caverns of cloud.	For the last ten minutes they had been shooting downwards into great cracks and caverns of cloud.	false	481.5	487.69	21.906504
2971_4275_000014_000002	Now, through a sort of purple haze, could be seen comparatively near to them what seemed to be the upper part of a huge, dark orb or sphere, islanded in a sea of cloud.	Now, through a sort of purple haze, could be seen comparatively near to them what seemed to be the upper part of a huge, dark orb or sphere, islanded in a sea of cloud.	true	488	502.27	20.860886
2971_4275_000014_000003	The Professor's eyes were blazing like a maniac's.	The Professor's eyes were blazing like a maniac's.	true	502.37	506.68	20.344862
2971_4275_000015_000000	"It is a new world," he cried, with a dreadful mirth.	"It is a new world," he cried, with a dreadful mirth.	false	507.2	511.12	19.483673
2971_4275_000015_000001	"It is a new planet and it shall bear my name.	"It is a new planet and it shall bear my name.	true	511.34	514.63	18.657387
2971_4275_000015_000002	This star and not that other vulgar one shall be 'Lucifer, sun of the morning.' Here we will have no chartered lunacies, here we will have no gods.	This star and not that other vulgar one shall be 'Lucifer, sun of the morning.' Here we will have no chartered lunacies, here we will have no gods.	true	514.97	526.9	21.900602
2971_4275_000015_000003	Here man shall be as innocent as the daisies, as innocent and as cruel--here the intellect----"	Here man shall be as innocent as the daisies, as innocent and as cruel-here the intellect----"	true	527.54	535.245	21.348602
2971_4275_000016_000000	"There seems," said Michael, timidly, "to be something sticking up in the middle of it."	"There seems," said Michael, timidly, "to be something sticking up in the middle of it."	true	535.245	541.18	21.479551
2971_4275_000017_000000	"So there is," said the Professor, leaning over the side of the ship, his spectacles shining with intellectual excitement.	"So there is," said the Professor, leaning over the side of the ship, his spectacles shining with intellectual excitement.	true	541.4	549.22	23.81772
2971_4275_000017_000001	"What can it be?	"What can it be?	true	549.35	550.69	23.334843
2971_4275_000017_000002	It might of course be merely a----"	It might of course be merely a----"	false	551.09	553.87	24.468718
2971_4275_000018_000000	Then a shriek indescribable broke out of him of a sudden, and he flung up his arms like a lost spirit.	Then a shriek indescribable broke out of him of a sudden, and he flung up his arms like a lost spirit.	true	554.24	562.48	23.301645
2971_4275_000018_000001	The monk took the helm in a tired way; he did not seem much astonished for he came from an ignorant part of the world in which it is not uncommon for lost spirits to shriek when they see the curious shape which the Professor had just seen on the top of the mysterious ball, but he took the helm only just in time, and by driving it hard to the left he prevented the flying ship from smashing into St. Paul's Cathedral.	The monk took the helm in a tired way; he did not seem much astonished for he came from an ignorant part of the world in which it is not uncommon for lost spirits to shriek when they see the curious shape which the Professor had just seen on the top of the mysterious ball, but he took the helm only just in time, and by driving it hard to the left he prevented the flying ship from smashing into saint Paul's Cathedral.	false	562.97	591.97	23.317533
2971_4275_000019_000000	A plain of sad-coloured cloud lay along the level of the top of the Cathedral dome, so that the ball and the cross looked like a buoy riding on a leaden sea.	A plain of sad coloured cloud lay along the level of the top of the Cathedral dome, so that the ball and the cross looked like a buoy riding on a leaden sea.	false	592.07	604.92	24.154058
2971_4275_000019_000001	As the flying ship swept towards it, this plain of cloud looked as dry and definite and rocky as any grey desert.	As the flying ship swept towards it, this plain of cloud looked as dry and definite and rocky as any grey desert.	true	604.92	613.33	24.284039
2971_4275_000019_000002	Hence it gave to the mind and body a sharp and unearthly sensation when the ship cut and sank into the cloud as into any common mist, a thing without resistance.	Hence it gave to the mind and body a sharp and unearthly sensation when the ship cut and sank into the cloud as into any common mist, a thing without resistance.	true	613.64	624.88	24.057137
2971_4275_000019_000003	There was, as it were, a deadly shock in the fact that there was no shock.	There was, as it were, a deadly shock in the fact that there was no shock.	false	625.16	630.13	23.98337
2971_4275_000019_000004	It was as if they had cloven into ancient cliffs like so much butter.	It was as if they had cloven into ancient cliffs like so much butter.	true	630.56	635.35	22.727531
2971_4275_000019_000005	But sensations awaited them which were much stranger than those of sinking through the solid earth.	But sensations awaited them which were much stranger than those of sinking through the solid earth.	false	636.14	642.79	19.806635
2971_4275_000019_000006	For a moment their eyes and nostrils were stopped with darkness and opaque cloud; then the darkness warmed into a kind of brown fog.	For a moment their eyes and nostrils were stopped with darkness and opaque cloud; then the darkness warmed into a kind of brown fog.	true	643.07	652	24.112505
2971_4275_000019_000007	And far, far below them the brown fog fell until it warmed into fire.	And far, far below them the brown fog fell until it warmed into fire.	true	652.13	658.48	21.494373
2971_4275_000019_000008	Through the dense London atmosphere they could see below them the flaming London lights; lights which lay beneath them in squares and oblongs of fire.	Through the dense London atmosphere they could see below them the flaming London lights; lights which lay beneath them in squares and oblongs of fire.	true	659.48	669.76	20.191628
2971_4275_000019_000009	The fog and fire were mixed in a passionate vapour; you might say that the fog was drowning the flames; or you might say that the flames had set the fog on fire.	The fog and fire were mixed in a passionate vapour; you might say that the fog was drowning the flames; or you might say that the flames had set the fog on fire.	true	670.16	681.49	22.052874
2971_4275_000019_000010	Beside the ship and beneath it (for it swung just under the ball), the immeasurable dome itself shot out and down into the dark like a combination of voiceless cataracts.	Beside the ship and beneath it (for it swung just under the ball), the immeasurable dome itself shot out and down into the dark like a combination of voiceless cataracts.	true	681.92	694.27	22.499035
2971_4275_000019_000011	Or it was like some cyclopean sea-beast sitting above London and letting down its tentacles bewilderingly on every side, a monstrosity in that starless heaven.	Or it was like some cyclopean sea beast sitting above London and letting down its tentacles bewilderingly on every side, a monstrosity in that starless heaven.	true	694.94	708.13	21.57561
2971_4275_000019_000012	For the clouds that belonged to London had closed over the heads of the voyagers sealing up the entrance of the upper air.	For the clouds that belonged to London had closed over the heads of the voyagers sealing up the entrance of the upper air.	true	708.8	716.47	23.982813
2971_4275_000019_000013	They had broken through a roof and come into a temple of twilight.	They had broken through a roof and come into a temple of twilight.	true	716.69	721.3	25.741346
2971_4275_000020_000000	They were so near to the ball that Lucifer leaned his hand against it, holding the vessel away, as men push a boat off from a bank.	They were so near to the ball that Lucifer leaned his hand against it, holding the vessel away, as men push a boat off from a bank.	false	721.94	730.84	24.354694
2971_4275_000020_000001	Above it the cross already draped in the dark mists of the borderland was shadowy and more awful in shape and size.	Above it the cross already draped in the dark mists of the borderland was shadowy and more awful in shape and size.	true	731.18	739.87	24.483107
2971_4275_000021_000000	Professor Lucifer slapped his hand twice upon the surface of the great orb as if he were caressing some enormous animal.	Professor Lucifer slapped his hand twice upon the surface of the great orb as if he were caressing some enormous animal.	true	740.24	748.18	23.617098
2971_4275_000021_000001	"This is the fellow," he said, "this is the one for my money."	"This is the fellow," he said, "this is the one for my money."	true	748.52	754.45	23.986786
2971_4275_000022_000000	"May I with all respect inquire," asked the old monk, "what on earth you are talking about?"	"May I with all respect inquire," asked the old monk, "what on earth you are talking about?"	false	755.66	763.03	25.619318
2971_4275_000023_000000	"Why this," cried Lucifer, smiting the ball again, "here is the only symbol, my boy.	"Why this," cried Lucifer, smiting the ball again, "here is the only symbol, my boy.	true	763.19	769.35	19.911205
2971_4275_000023_000001	So fat.	So fat.	true	769.35	770.41	19.509937
2971_4275_000023_000002	So satisfied.	So satisfied.	true	770.42	771.91	25.070763
2971_4275_000023_000003	Not like that scraggy individual, stretching his arms in stark weariness." And he pointed up to the cross, his face dark with a grin.	Not like that scraggy individual, stretching his arms in stark weariness." And he pointed up to the cross, his face dark with a grin.	true	772.22	782.92	24.593748
2971_4275_000023_000004	"I was telling you just now, Michael, that I can prove the best part of the rationalist case and the Christian humbug from any symbol you liked to give me, from any instance I came across. Here is an instance with a vengeance.	"I was telling you just now, Michael, that I can prove the best part of the rationalist case and the Christian humbug from any symbol you liked to give me, from any instance I came across. Here is an instance with a vengeance.	false	783.53	799.21	25.302095
2971_4275_000023_000005	What could possibly express your philosophy and my philosophy better than the shape of that cross and the shape of this ball?	What could possibly express your philosophy and my philosophy better than the shape of that cross and the shape of this ball?	true	800.06	808.36	24.189058
2971_4275_000023_000006	This globe is reasonable; that cross is unreasonable.	This globe is reasonable; that cross is unreasonable.	true	808.58	812.11	20.932968
2971_4275_000023_000007	It is a four-legged animal, with one leg longer than the others.	It is a four legged animal, with one leg longer than the others.	true	812.48	816.76	22.092028
2971_4275_000023_000008	The globe is inevitable.	The globe is inevitable.	true	816.92	819.04	22.981852
2971_4275_000023_000009	The cross is arbitrary.	The cross is arbitrary.	true	819.08	820.81	19.250198
2971_4275_000023_000010	Above all the globe is at unity with itself; the cross is primarily and above all things at enmity with itself.	Above all the globe is at unity with itself; the cross is primarily and above all things at enmity with itself.	true	821.06	830.89	24.1888
2971_4275_000023_000011	The cross is the conflict of two hostile lines, of irreconcilable direction.	The cross is the conflict of two hostile lines, of irreconcilable direction.	true	831.14	836.86	22.15872
2971_4275_000023_000012	That silent thing up there is essentially a collision, a crash, a struggle in stone.	That silent thing up there is essentially a collision, a crash, a struggle in stone.	true	837.29	843.54	24.110031
2971_4275_000023_000013	Pah! that sacred symbol of yours has actually given its name to a description of desperation and muddle.	Pah! that sacred symbol of yours has actually given its name to a description of desperation and muddle.	true	843.54	850.18	23.385466
2971_4275_000023_000014	When we speak of men at once ignorant of each other and frustrated by each other, we say they are at cross-purposes. Away with the thing!	When we speak of men at once ignorant of each other and frustrated by each other, we say they are at cross purposes. Away with the thing!	false	850.4	858.94	24.74082
2971_4275_000023_000015	The very shape of it is a contradiction in terms."	The very shape of it is a contradiction in terms."	true	859.13	862.72	24.132153
2971_4275_000024_000000	"What you say is perfectly true," said Michael, with serenity.	"What you say is perfectly true," said Michael, with serenity.	true	863.45	867.58	25.06243
2971_4275_000024_000001	"But we like contradictions in terms.	"But we like contradictions in terms.	true	868.28	871.48	21.833227
2971_4275_000024_000002	Man is a contradiction in terms; he is a beast whose superiority to other beasts consists in having fallen.	Man is a contradiction in terms; he is a beast whose superiority to other beasts consists in having fallen.	true	871.52	879.45	22.445154
2971_4275_000024_000003	That cross is, as you say, an eternal collision; so am I. That is a struggle in stone.	That cross is, as you say, an eternal collision; so am i That is a struggle in stone.	false	879.45	887.53	21.646774
2971_4275_000024_000004	Every form of life is a struggle in flesh.	Every form of life is a struggle in flesh.	true	888.02	891.37	21.422844
2971_4275_000024_000005	The shape of the cross is irrational, just as the shape of the human animal is irrational.	The shape of the cross is irrational, just as the shape of the human animal is irrational.	true	891.56	896.92	21.673471
2971_4275_000024_000006	You say the cross is a quadruped with one limb longer than the rest.	You say the cross is a quadruped with one limb longer than the rest.	false	897.47	903.37	21.87282
2971_4275_000024_000007	I say man is a quadruped who only uses two of his legs."	I say man is a quadruped who only uses two of his legs."	false	903.44	908.56	17.86548
2971_4275_000025_000000	The Professor frowned thoughtfully for an instant, and said: "Of course everything is relative, and I would not deny that the element of struggle and self-contradiction, represented by that cross, has a necessary place at a certain evolutionary stage.	The Professor frowned thoughtfully for an instant, and said: "Of course everything is relative, and I would not deny that the element of struggle and self contradiction, represented by that cross, has a necessary place at a certain evolutionary stage.	false	908.93	928.27	23.136927
2971_4275_000025_000001	But surely the cross is the lower development and the sphere the higher.	But surely the cross is the lower development and the sphere the higher.	true	928.46	933.67	20.64001
2971_4275_000025_000002	After all it is easy enough to see what is really wrong with Wren's architectural arrangement."	After all it is easy enough to see what is really wrong with Wren's architectural arrangement."	true	933.98	941.11	23.402287
2971_4275_000026_000000	"And what is that, pray?" inquired Michael, meekly.	"And what is that, pray?" inquired Michael, meekly.	true	941.42	945.43	27.498623
2971_4275_000027_000000	"The cross is on top of the ball," said Professor Lucifer, simply.	"The cross is on top of the ball," said Professor Lucifer, simply.	true	946.31	951.16	21.310713
2971_4275_000027_000001	"That is surely wrong.	"That is surely wrong.	true	951.26	952.87	19.462715
2971_4275_000027_000002	The ball should be on top of the cross.	The ball should be on top of the cross.	true	953.09	956.05	22.838442
2971_4275_000027_000003	The cross is a mere barbaric prop; the ball is perfection.	The cross is a mere barbaric prop; the ball is perfection.	true	956.42	961.36	20.889904
2971_4275_000027_000004	The cross at its best is but the bitter tree of man's history; the ball is the rounded, the ripe and final fruit.	The cross at its best is but the bitter tree of man's history; the ball is the rounded, the ripe and final fruit.	false	961.58	970.57	19.773268
2971_4275_000027_000005	And the fruit should be at the top of the tree, not at the bottom of it."	And the fruit should be at the top of the tree, not at the bottom of it."	false	970.91	975.615	27.028223
2971_4275_000028_000000	"Oh!" said the monk, a wrinkle coming into his forehead, "so you think that in a rationalistic scheme of symbolism the ball should be on top of the cross?"	"Oh!" said the monk, a wrinkle coming into his forehead, "so you think that in a rationalistic scheme of symbolism the ball should be on top of the cross?"	true	975.615	988.23	25.111414
2971_4275_000029_000000	"It sums up my whole allegory," said the professor.	"It sums up my whole allegory," said the professor.	true	988.23	991.39	22.729025
2971_4275_000030_000000	"Well, that is really very interesting," resumed Michael slowly, "because I think in that case you would see a most singular effect, an effect that has generally been achieved by all those able and powerful systems which rationalism, or the religion of the ball, has produced to lead or teach mankind.	"Well, that is really very interesting," resumed Michael slowly, "because I think in that case you would see a most singular effect, an effect that has generally been achieved by all those able and powerful systems which rationalism, or the religion of the ball, has produced to lead or teach mankind.	false	991.7	1018.3	22.133524
2971_4275_000030_000001	You would see, I think, that thing happen which is always the ultimate embodiment and logical outcome of your logical scheme."	You would see, I think, that thing happen which is always the ultimate embodiment and logical outcome of your logical scheme."	true	1018.52	1028.56	23.693995
2971_4275_000031_000000	"What are you talking about?" asked Lucifer.	"What are you talking about?" asked Lucifer.	true	1028.57	1031.59	24.837286
2971_4275_000031_000001	"What would happen?"	"What would happen?"	true	1031.63	1032.85	21.66068
2971_4275_000032_000000	"I mean it would fall down," said the monk, looking wistfully into the void.	"I mean it would fall down," said the monk, looking wistfully into the void.	true	1033.37	1038.88	20.287643
2971_4275_000033_000000	Lucifer made an angry movement and opened his mouth to speak, but Michael, with all his air of deliberation, was proceeding before he could bring out a word.	Lucifer made an angry movement and opened his mouth to speak, but Michael, with all his air of deliberation, was proceeding before he could bring out a word.	false	1039.4	1050.04	22.92907
2971_4275_000034_000000	"I once knew a man like you, Lucifer," he said, with a maddening monotony and slowness of articulation.	"I once knew a man like you, Lucifer," he said, with a maddening monotony and slowness of articulation.	true	1050.08	1056.94	24.883558
2971_4275_000034_000001	"He took this----"	"He took this----"	true	1057.4	1058.22	30.40665
2971_4275_000035_000000	"There is no man like me," cried Lucifer, with a violence that shook the ship.	"There is no man like me," cried Lucifer, with a violence that shook the ship.	true	1058.22	1063.66	21.098751
2971_4275_000036_000000	"As I was observing," continued Michael, "this man also took the view that the symbol of Christianity was a symbol of savagery and all unreason.	"As I was observing," continued Michael, "this man also took the view that the symbol of Christianity was a symbol of savagery and all unreason.	true	1064.24	1073.31	20.618523
2971_4275_000036_000001	His history is rather amusing.	His history is rather amusing.	false	1073.31	1075.9	19.84719
2971_4275_000036_000002	It is also a perfect allegory of what happens to rationalists like yourself.	It is also a perfect allegory of what happens to rationalists like yourself.	true	1076.48	1081.69	26.64374
2971_4275_000036_000003	He began, of course, by refusing to allow a crucifix in his house, or round his wife's neck, or even in a picture.	He began, of course, by refusing to allow a crucifix in his house, or round his wife's neck, or even in a picture.	false	1082.18	1089.67	22.233807
2971_4275_000036_000004	He said, as you say, that it was an arbitrary and fantastic shape, that it was a monstrosity, loved because it was paradoxical.	He said, as you say, that it was an arbitrary and fantastic shape, that it was a monstrosity, loved because it was paradoxical.	false	1089.98	1099.39	22.08131
2971_4275_000036_000005	Then he began to grow fiercer and more eccentric; he would batter the crosses by the roadside; for he lived in a Roman Catholic country.	Then he began to grow fiercer and more eccentric; he would batter the crosses by the roadside; for he lived in a Roman Catholic country.	true	1099.76	1109.35	21.175978
2971_4275_000036_000006	Finally in a height of frenzy he climbed the steeple of the Parish Church and tore down the cross, waving it in the air, and uttering wild soliloquies up there under the stars.	Finally in a height of frenzy he climbed the steeple of the Parish Church and tore down the cross, waving it in the air, and uttering wild soliloquies up there under the stars.	true	1109.93	1122.61	25.263628
2971_4275_000036_000007	Then one still summer evening as he was wending his way homewards, along a lane, the devil of his madness came upon him with a violence and transfiguration which changes the world.	Then one still summer evening as he was wending his way homewards, along a lane, the devil of his madness came upon him with a violence and transfiguration which changes the world.	true	1123.19	1137.13	21.376163
2971_4275_000036_000008	He was standing smoking, for a moment, in the front of an interminable line of palings, when his eyes were opened.	He was standing smoking, for a moment, in the front of an interminable line of palings, when his eyes were opened.	false	1137.41	1147.03	22.569622
2971_4275_000036_000009	Not a light shifted, not a leaf stirred, but he saw as if by a sudden change in the eyesight that this paling was an army of innumerable crosses linked together over hill and dale.	Not a light shifted, not a leaf stirred, but he saw as if by a sudden change in the eyesight that this paling was an army of innumerable crosses linked together over hill and dale.	true	1147.73	1163.83	20.863688
2971_4275_000036_000010	And he whirled up his heavy stick and went at it as if at an army.	And he whirled up his heavy stick and went at it as if at an army.	true	1164.2	1170.19	23.22388
2971_4275_000036_000011	Mile after mile along his homeward path he broke it down and tore it up.	Mile after mile along his homeward path he broke it down and tore it up.	true	1170.5	1176.64	22.754543
