1777_142750_000000_000001	TRUTH AND FALSEHOOD	TRUTH AND FALSEHOOD
1777_142750_000016_000006	Thus the actual occurrence, at the moment when Othello is entertaining his belief, is that the relation called 'believing' is knitting together into one complex whole the four terms Othello, Desdemona, loving, and Cassio.	Thus the actual occurrence, at the moment when Othello is entertaining his belief, is that the relation called 'believing' is knitting together into one complex whole the four terms Othello, Desdemona, loving, and Cassio.
1777_142750_000016_000007	What is called belief or judgement is nothing but this relation of believing or judging, which relates a mind to several things other than itself.	What is called belief or judgement is nothing but this relation of believing or judging, which relates a mind to several things other than itself.
1777_142750_000017_000000	We are now in a position to understand what it is that distinguishes a true judgement from a false one.	We are now in a position to understand what it is that distinguishes a true judgement from a false one.
1777_142750_000017_000001	For this purpose we will adopt certain definitions.	For this purpose we will adopt certain definitions.
1777_142750_000017_000002	In every act of judgement there is a mind which judges, and there are terms concerning which it judges.	In every act of judgement there is a mind which judges, and there are terms concerning which it judges.
1777_142750_000017_000004	Thus, when Othello judges that Desdemona loves Cassio, Othello is the subject, while the objects are Desdemona and loving and Cassio.	Thus, when Othello judges that Desdemona loves Cassio, Othello is the subject, while the objects are Desdemona and loving and Cassio.
1777_142750_000017_000007	Similarly, if Cassio judges that Desdemona loves Othello, the constituents of the judgement are still the same, but their order is different.	Similarly, if Cassio judges that Desdemona loves Othello, the constituents of the judgement are still the same, but their order is different.
1777_142750_000017_000008	This property of having a 'sense' or 'direction' is one which the relation of judging shares with all other relations.	This property of having a 'sense' or 'direction' is one which the relation of judging shares with all other relations.
1777_142750_000017_000009	The 'sense' of relations is the ultimate source of order and series and a host of mathematical concepts; but we need not concern ourselves further with this aspect.	The 'sense' of relations is the ultimate source of order and series and a host of mathematical concepts; but we need not concern ourselves further with this aspect.
1777_142750_000018_000001	In this respect, judging is exactly like every other relation.	In this respect, judging is exactly like every other relation.
1777_142750_000018_000002	Whenever a relation holds between two or more terms, it unites the terms into a complex whole.	Whenever a relation holds between two or more terms, it unites the terms into a complex whole.
1777_142750_000018_000003	If Othello loves Desdemona, there is such a complex whole as 'Othello's love for Desdemona'.	If Othello loves Desdemona, there is such a complex whole as 'Othello's love for Desdemona'.
1777_142750_000018_000005	Wherever there is a relation which relates certain terms, there is a complex object formed of the union of those terms; and conversely, wherever there is a complex object, there is a relation which relates its constituents.	Wherever there is a relation which relates certain terms, there is a complex object formed of the union of those terms; and conversely, wherever there is a complex object, there is a relation which relates its constituents.
1777_142750_000018_000006	When an act of believing occurs, there is a complex, in which 'believing' is the uniting relation, and subject and objects are arranged in a certain order by the 'sense' of the relation of believing.	When an act of believing occurs, there is a complex, in which 'believing' is the uniting relation, and subject and objects are arranged in a certain order by the 'sense' of the relation of believing.
1777_142750_000018_000008	But this relation, as it occurs in the act of believing, is not the relation which creates the unity of the complex whole consisting of the subject and the objects.	But this relation, as it occurs in the act of believing, is not the relation which creates the unity of the complex whole consisting of the subject and the objects.
1777_142750_000018_000009	The relation 'loving', as it occurs in the act of believing, is one of the objects--it is a brick in the structure, not the cement.	The relation 'loving', as it occurs in the act of believing, is one of the objects-it is a brick in the structure, not the cement.
1777_142750_000018_000010	The cement is the relation 'believing'.	The cement is the relation 'believing'.
1777_142750_000019_000002	This constitutes the definition of truth and falsehood that we were in search of.	This constitutes the definition of truth and falsehood that we were in search of.
1777_142750_000020_000002	This correspondence ensures truth, and its absence entails falsehood.	This correspondence ensures truth, and its absence entails falsehood.
1777_142750_000021_000002	Thus a belief is true when there is a corresponding fact, and is false when there is no corresponding fact.	Thus a belief is true when there is a corresponding fact, and is false when there is no corresponding fact.
1777_142750_000022_000001	They create beliefs, but when once the beliefs are created, the mind cannot make them true or false, except in the special case where they concern future things which are within the power of the person believing, such as catching trains.	They create beliefs, but when once the beliefs are created, the mind cannot make them true or false, except in the special case where they concern future things which are within the power of the person believing, such as catching trains.
