5635_58137_000000_000000	"Well, a giraffe's neck runs out at a more convenient angle," said the Donkey.	"Well, a giraffe's neck runs out at a more convenient angle," said the Donkey.	false	0	3.84	25.954659
5635_58137_000006_000002	Nay, so transcendent seemed Mr. Merchator's claims, when his _show_ or _sample_ maps were exhibited to us, that some in our Board, and nearly everybody out of it, were confident he would do for Professor of Mathematics and even Principal.	Nay, so transcendent seemed mr Merchator's claims, when his underscore show underscore or underscore sample underscore maps were exhibited to us, that some in our Board, and nearly everybody out of it, were confident he would do for Professor of Mathematics and even Principal.	false	159.77	173.02	21.491306
5635_58137_000007_000000	But of all our unsuccessful candidates, we shall introduce by name only two--Mr.	But of all our unsuccessful candidates, we shall introduce by name only two-mr	true	174.2	178.86	24.242386
5635_58137_000007_000001	James Jimmy, A.S.S., and Mr. Solomon Rapid, A. to Z.	james Jimmy, a s s, and mr Solomon Rapid, a to z	true	178.86	183.7	25.906275
5635_58137_000008_000000	Mr. Jimmy, who aspired to the mathematical chair, was master of a small school of all sexes, near Woodville.	mr Jimmy, who aspired to the mathematical chair, was master of a small school of all sexes, near Woodville.	true	185.18	190.69	22.055185
5635_58137_000008_000001	At the first, he was kindly, yet honestly told, his knowledge was too limited and inaccurate; yet, notwithstanding this, and some almost rude repulses afterward, he persisted in his application and his hopes.	At the first, he was kindly, yet honestly told, his knowledge was too limited and inaccurate; yet, notwithstanding this, and some almost rude repulses afterward, he persisted in his application and his hopes.	true	191.09	202.66	23.829042
5635_58137_000008_000002	To give evidence of competency, he once told me he was arranging a new spelling-book, the publication of which would make him known as a literary man, and be an unspeakable advantage to "the rising generation." And this naturally brought on the following colloquy about the work:	To give evidence of competency, he once told me he was arranging a new spelling book, the publication of which would make him known as a literary man, and be an unspeakable advantage to "the rising generation." And this naturally brought on the following colloquy about the work:	true	203	216.79	21.203308
5635_58137_000009_000000	"Ah! indeed!	"Ah! indeed!	true	217.34	218.475	23.054174
5635_58137_000009_000001	Mr. Jimmy?"	mr Jimmy?"	true	218.475	219.28	33.380924
5635_58137_000010_000000	"Yes, indeed, Mr. Carlton."	"Yes, indeed, mr Carlton."	true	220.1	221.8	19.231955
5635_58137_000011_000000	"On what new principle do you go, sir?"	"On what new principle do you go, sir?"	true	222.71	224.8	24.721775
5635_58137_000012_000000	"Why, sir, on the principles of nature and common sense.	"Why, sir, on the principles of nature and common sense.	false	225.77	228.73	23.719723
5635_58137_000012_000001	I allow school-books for schools are all too powerful obstruse and hard-like to be understood without exemplifying illustrations."	I allow school books for schools are all too powerful obstruse and hard like to be understood without exemplifying illustrations."	true	229.16	236.65	23.618786
5635_58137_000013_000000	"Yes, but Mr. Jimmy, how is a child's spelling-book to be made any plainer?"	"Yes, but mr Jimmy, how is a child's spelling book to be made any plainer?"	true	237.5	242.29	23.915024
5635_58137_000014_000000	"Why, sir, by clear explifications of the words in one column, by exemplifying illustrations in the other."	"Why, sir, by clear explifications of the words in one column, by exemplifying illustrations in the other."	true	243.14	249.85	23.513147
5635_58137_000015_000000	"I do not understand you, Mr. Jimmy, give me a specimen--"	"I do not understand you, mr Jimmy, give me a specimen-"	true	251.09	254.41	22.97615
5635_58137_000016_000000	"Sir?"	"Sir?"	true	255.26	256.93	21.539946
5635_58137_000017_000000	"An example--"	"An example-"	true	257.06	258.07	28.102545
5635_58137_000018_000000	"To be sure--here's a spes-a-example; you see, for instance, I put in the spelling-column, C-r-e-a-m, _cream_, and here in the explification column, I put the exemplifying illustration--_Unctious part of milk!_"	"To be sure-here's a spes a example; you see, for instance, I put in the spelling column, C r e a m, underscore cream underscore, and here in the explification column, I put the exemplifying illustration-underscore Unctious part of milk!underscore"	false	258.95	276.48	23.412024
5635_58137_000019_000000	We had asked, at our first interview, if our candidate was an algebraist, and his reply was _negative_; but, "he allowed he could '_qualify_' by the time of election, as he was powerful good at figures, and had cyphered clean through every arithmetic he had ever seen, the rule of promiscuous questions and all!" Hence, some weeks after, as I was passing his door, on my way to a squirrel hunt, with a party of friends, Mr. Jimmy, hurrying out with a slate in his hand, begged me to stop a moment, and thus addressed me:	We had asked, at our first interview, if our candidate was an algebraist, and his reply was underscore negative underscore; but, "he allowed he could 'underscore qualify underscore' by the time of election, as he was powerful good at figures, and had cyphered clean through every arithmetic he had ever seen, the rule of promiscuous questions and all!" Hence, some weeks after, as I was passing his door, on my way to a squirrel hunt, with a party of friends, mr Jimmy, hurrying out with a slate in his hand, begged me to stop a moment, and thus addressed me:	false	276.48	303.01	23.54173
5635_58137_000020_000000	"Well, Mr. Carlton, this algebra is a most powerful thing--ain't it?"	"Well, mr Carlton, this algebra is a most powerful thing-ain't it?"	true	304.31	308.26	22.167252
5635_58137_000021_000000	"Indeed it is, Mr. Jimmy--have you been looking into it?"	"Indeed it is, mr Jimmy-have you been looking into it?"	true	309.5	312.43	24.626017
5635_58137_000022_000000	"Looking into it!	"Looking into it!	true	313.76	314.76	21.678127
5635_58137_000022_000001	I have been all through this here fust part; and by election time, I allow I'll be ready for examination."	I have been all through this here fust part; and by election time, I allow I'll be ready for examination."	false	314.76	320.47	22.128773
5635_58137_000023_000000	"Indeed!"	"Indeed!"	true	321.35	322.3	21.007227
5635_58137_000024_000000	"Yes, sir! but it is such a pretty thing!	"Yes, sir! but it is such a pretty thing!	true	323.36	326.2	25.87235
5635_58137_000024_000001	Only to think of cyphering by letters!	Only to think of cyphering by letters!	true	326.33	328.27	22.996416
5635_58137_000024_000002	Why, sir, the sums come out, and bring the answers exactly like figures.	Why, sir, the sums come out, and bring the answers exactly like figures.	true	328.85	332.35	20.573318
5635_58137_000024_000003	Jist stop a minute--look here: _a_ stands for 6, and _b_ stands for 8, and _c_ stands for 4, and _d_ stands for figure 10; now if I say a plus b minus c equals d, it is all the same as if I said, 6 is 6 and 8 makes 14, and 4 subtracted, leaves 10!	Jist stop a minute-look here: underscore a underscore stands for six, and underscore b underscore stands for eight, and underscore c underscore stands for four, and underscore d underscore stands for figure ten; now if I say a plus b minus c equals d, it is all the same as if I said, six is six and eight makes fourteen, and four subtracted, leaves ten!	false	332.63	347.92	23.751257
5635_58137_000024_000004	Why, sir, I done a whole slate full of letters and signs; and afterward, when I tried by figures, they every one of them came out right and brung the answer!	Why, sir, I done a whole slate full of letters and signs; and afterward, when I tried by figures, they every one of them came out right and brung the answer!	true	348.32	355.9	24.249645
5635_58137_000024_000005	I mean to cypher by letters altogether."	I mean to cypher by letters altogether."	true	356.27	358.36	25.698883
5635_58137_000025_000000	"Mr. Jimmy, my company is nearly out of sight--if you can get along this way through simple and quadratic equations by our meeting, your chance will not be so bad--good morning, sir."	"mr Jimmy, my company is nearly out of sight-if you can get along this way through simple and quadratic equations by our meeting, your chance will not be so bad-good morning, sir."	true	359.36	369.34	23.573463
5635_58137_000026_000000	But our man of "letters" quit cyphering the new way, and returned to plain figures long before reaching equations; and so he could not become our professor.	But our man of "letters" quit cyphering the new way, and returned to plain figures long before reaching equations; and so he could not become our professor.	true	370.82	378.22	22.568802
5635_58137_000026_000001	Yet anxious to do us all the good in his power, after our college opened, he waited on me, a leading trustee, with a proposal to board our students, and authorized me to publish--"as how Mr. James Jimmy will take strange students--students not belonging to Woodville--to board, at one dollar a week, and find everything, washing included, and will black their _shoes_ three times a week to _boot_, and--_give them their dog-wood and cherry-bitters every morning into the bargain!_"	Yet anxious to do us all the good in his power, after our college opened, he waited on me, a leading trustee, with a proposal to board our students, and authorized me to publish-"as how mr james Jimmy will take strange students-students not belonging to Woodville-to board, at one dollar a week, and find everything, washing included, and will black their underscore shoes underscore three times a week to underscore boot underscore, and-underscore give them their dog wood and cherry bitters every morning into the bargain!underscore"	false	378.44	404.73	22.238365
5635_58137_000027_000000	The most extraordinary candidate, however, was Mr. Solomon Rapid.	The most extraordinary candidate, however, was mr Solomon Rapid.	true	404.73	408.22	25.958672
5635_58137_000027_000001	He was now somewhat advanced into the shaving age, and was ready to assume offices the most opposite in character; although justice compels us to say Mr. Rapid was as fit for one thing as another.	He was now somewhat advanced into the shaving age, and was ready to assume offices the most opposite in character; although justice compels us to say mr Rapid was as fit for one thing as another.	true	408.38	418.21	23.54967
5635_58137_000027_000002	Deeming it waste of time to prepare for any station till he was certain of obtaining it, he wisely demanded the place first, and then set to work to become qualified for its duties, being, I suspect, the very man, or some relation of his, who is recorded as not knowing whether he could read Greek, as he had never tried.	Deeming it waste of time to prepare for any station till he was certain of obtaining it, he wisely demanded the place first, and then set to work to become qualified for its duties, being, I suspect, the very man, or some relation of his, who is recorded as not knowing whether he could read Greek, as he had never tried.	true	418.76	435.52	22.770624
5635_58137_000027_000003	And, besides, Mr. Solomon Rapid contended that all offices, from president down to fence-viewer, were open to every white American citizen; and that every republican had a blood-bought right to seek any that struck his fancy; and if the profits were less, or the duties more onerous than had been anticipated, that a man ought to resign and try another.	And, besides, mr Solomon Rapid contended that all offices, from president down to fence viewer, were open to every white American citizen; and that every republican had a blood bought right to seek any that struck his fancy; and if the profits were less, or the duties more onerous than had been anticipated, that a man ought to resign and try another.	false	436.07	454.6	23.960743
5635_58137_000028_000000	Naturally, therefore, Mr. Rapid thought he would like to sit in our chair of languages, or have some employment in the State college; and hence he called for that purpose on Dr. Sylvan, who, knowing the candidate's character, maliciously sent him to me.	Naturally, therefore, mr Rapid thought he would like to sit in our chair of languages, or have some employment in the State college; and hence he called for that purpose on dr Sylvan, who, knowing the candidate's character, maliciously sent him to me.	false	455.51	468.67	25.64289
5635_58137_000028_000001	Accordingly, the young gentleman presented himself, and without ceremony, instantly made known his business thus:	Accordingly, the young gentleman presented himself, and without ceremony, instantly made known his business thus:	true	469.61	474.88	19
5635_58137_000029_000000	"I heerd, sir, you wanted somebody to teach the State school, and I'm come to let you know I'm willing to take the place."	"I heerd, sir, you wanted somebody to teach the State school, and I'm come to let you know I'm willing to take the place."	true	475.7	481.63	24.24599
5635_58137_000030_000000	"Yes, sir, we are going to elect a professor of languages who is to be the principal and a professor--"	"Yes, sir, we are going to elect a professor of languages who is to be the principal and a professor-"	true	482.63	487.63	24.012526
5635_58137_000031_000000	"Well, I don't care which I take, but I'm willing to be the principal. I can teach sifring, reading, writing, joggerfee, surveying, grammur, spelling, definition, parsin--"	"Well, I don't care which I take, but I'm willing to be the principal. I can teach sifring, reading, writing, joggerfee, surveying, grammur, spelling, definition, parsin-"	false	488.69	499.81	23.270222
5635_58137_000032_000000	"Are you a linguist?"	"Are you a linguist?"	true	501.02	502.51	29.323748
5635_58137_000033_000000	"Sir?"	"Sir?"	true	503.54	504.25	27.846172
5635_58137_000034_000000	"You, of course, understand the dead languages?"	"You, of course, understand the dead languages?"	true	505.1	507.52	21.664747
5635_58137_000035_000000	"Well, can't say I ever seed much of them, though I have heerd tell of them; but I can soon larn them--they ain't more than a few of them I allow?"	"Well, can't say I ever seed much of them, though I have heerd tell of them; but I can soon larn them-they ain't more than a few of them I allow?"	false	508.94	517.875	21.790123
5635_58137_000036_000000	"Oh! my dear sir, it is not possible--we--can't--"	"Oh! my dear sir, it is not possible-we-can't-"	true	517.875	522.61	23.551092
5635_58137_000037_000000	"Well, I never seed what I couldn't larn about as smart as anybody--"	"Well, I never seed what I couldn't larn about as smart as anybody-"	true	523.46	526.69	18.709667
5635_58137_000038_000000	"Mr. Rapid, I do not mean to question your abilities; but if you are now wholly unacquainted with the dead languages, it is impossible for you or any other talented man to learn them under four or five years."	"mr Rapid, I do not mean to question your abilities; but if you are now wholly unacquainted with the dead languages, it is impossible for you or any other talented man to learn them under four or five years."	true	527.72	537.99	23.43726
5635_58137_000039_000000	"Pshoo! foo!	"p shoo! foo!	false	537.99	540.78	21.835325
5635_58137_000039_000001	I'll bet I larn one in three weeks!	I'll bet I larn one in three weeks!	false	540.78	542.98	25.528862
5635_58137_000039_000002	Try me, sir,--let's have the furst one furst--how many are there?"	Try me, sir,--let's have the furst one furst-how many are there?"	true	543.2	546.61	22.96499
5635_58137_000040_000000	"Mr. Rapid, it is utterly impossible; but if you insist, I will loan you a Latin book--"	"mr Rapid, it is utterly impossible; but if you insist, I will loan you a Latin book-"	true	547.67	553.18	26.981873
5635_58137_000041_000000	"That's your sort, let's have it, that's all I want, fair play."	"That's your sort, let's have it, that's all I want, fair play."	true	554.24	557.68	24.774189
5635_58137_000042_000000	Accordingly, I handed him a copy of Historiae Sacrae, with which he soon went away, saying, he "didn't allow it would take long to git through Latin, if 'twas only sich a thin patch of a book as that."	Accordingly, I handed him a copy of Historiae Sacrae, with which he soon went away, saying, he "didn't allow it would take long to git through Latin, if 'twas only sich a thin patch of a book as that."	false	558.89	569.29	23.214333
5635_58137_000043_000000	In a few weeks, to my no small surprise, Mr. Solomon Rapid again presented himself; and drawing forth the book began with a triumphant expression of countenance:	In a few weeks, to my no small surprise, mr Solomon Rapid again presented himself; and drawing forth the book began with a triumphant expression of countenance:	true	570.11	578.5	25.401197
5635_58137_000044_000000	"Well, sir, I have done the Latin."	"Well, sir, I have done the Latin."	true	578.99	581.41	22.7718
5635_58137_000045_000000	"Done the Latin!"	"Done the Latin!"	true	582.47	583.63	31.69776
5635_58137_000046_000000	"Yes, I can read it as fast as English."	"Yes, I can read it as fast as English."	true	584.42	587.02	19.852032
5635_58137_000047_000000	"Read it as fast as English!!"	"Read it as fast as English!!"	true	587.75	589.48	19.82999
5635_58137_000048_000000	"Yes, as fast as English--and I didn't find it hard at all."	"Yes, as fast as English-and I didn't find it hard at all."	true	590.12	593.86	23.277887
5635_58137_000049_000000	"May I try you on a page?"	"May I try you on a page?"	true	594.92	597.25	24.16581
5635_58137_000050_000000	"Try away, try away; that's what I've come for."	"Try away, try away; that's what I've come for."	true	598.13	601.18	21.861185
5635_58137_000051_000000	"Please read here then, Mr. Rapid;" and in order to give him a fair chance, I pointed to the first lines of the first chapter, viz.: "In principio Deus creavit coelum et terram intra sex dies; primo die fecit lucem," etc.	"Please read here then, mr Rapid;" and in order to give him a fair chance, I pointed to the first lines of the first chapter, viz.: "In principio Deus creavit coelum et terram intra sex dies; primo die fecit lucem," etc	false	602.81	618.52	23.539154
5635_58137_000052_000000	"That, sir?" and then he read thus, "In prinspo duse creevit kalelum et terrum intra sex dyes--primmo dye fe-fe-sit looseum," etc.	"That, sir?" and then he read thus, "In prinspo duse creevit kalelum et terrum intra sex dyes-primmo dye fe fe sit looseum," etc	false	619.94	634.12	22.498747
5635_58137_000053_000000	"That will do, Mr. Rapid--"	"That will do, mr Rapid-"	true	635.12	636.64	21.088938
5635_58137_000054_000000	"Ah! ha!	"Ah! ha!	false	637.31	638.94	23.012571
5635_58137_000054_000001	I told you so."	I told you so."	true	638.94	640	25.376772
5635_58137_000055_000000	"Yes, yes--but translate."	"Yes, yes-but translate."	true	641.03	643.63	25.678082
5635_58137_000056_000000	"Translate!" (eyebrows elevating.)	"Translate!" (eyebrows elevating.)	true	644.66	647.41	25.561256
5635_58137_000057_000000	"Yes, translate, render it."	"Yes, translate, render it."	true	648.08	650.74	23.230099
5635_58137_000058_000000	"Render it!! how's that?" (forehead more wrinkled.)	"Render it!! how's that?" (forehead more wrinkled.)	true	651.8	655.87	23.795399
5635_58137_000059_000000	"Why, yes, render it into English--give me the meaning of it."	"Why, yes, render it into English-give me the meaning of it."	true	656.78	660.22	26.116106
5635_58137_000060_000000	"MEANING!!" (staring full in my face, his eyes like saucers, and forehead wrinkled with the furrows of eighty)--"MEANING!!	"MEANING!!" (staring full in my face, his eyes like saucers, and forehead wrinkled with the furrows of eighty)--"MEANING!!	false	661.55	669.4	25.694221
5635_58137_000060_000001	I didn't know it _had_ any meaning.	I didn't know it underscore had underscore any meaning.	false	669.89	671.68	16.652601
5635_58137_000060_000002	I thought it was a DEAD language!!"	I thought it was a DEAD language!!"	true	671.84	673.54	19.252459
5635_58137_000061_000000	Well, reader, I am glad you are _not_ laughing at Mr. Rapid; for how should anything _dead_ speak out so as to be understood?	Well, reader, I am glad you are underscore not underscore laughing at mr Rapid; for how should anything underscore dead underscore speak out so as to be understood?	false	675.38	682.9	22.66094
5635_58137_000061_000001	And indeed, does not his definition suit the vexed feelings of some young gentlemen attempting to read Latin without any interlinear translation? and who inwardly, cursing both book and teacher, blast their souls "if they can make any sense out of it." The ancients may yet speak in their own languages to a few; but to most who boast the honor of their acquaintance, they are certainly dead in the sense of Solomon Rapid.	And indeed, does not his definition suit the vexed feelings of some young gentlemen attempting to read Latin without any interlinear translation? and who inwardly, cursing both book and teacher, blast their souls "if they can make any sense out of it." The ancients may yet speak in their own languages to a few; but to most who boast the honor of their acquaintance, they are certainly dead in the sense of Solomon Rapid.	false	683.09	719.1	22.727192
